PID	SYMBOL	TITLE	CYTOBAND	ENTREZ GENE ID	REFSEQ ACCESSION NUMBER	Location	Type(s)	t-test (t)	t-test (p)	FDR	Status
226878_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	6p21.3	3111	AL581873	Plasma Membrane	transmembrane receptor	7.2	3.78171E-09	2.9385E-07	up High vs Low
213309_at	PLCL2	phospholipase C-like 2	3p24.3	23228	AL117515	Cytoplasm	enzyme	7.19	1.3309E-08	8.95922E-07	up High vs Low
210072_at	CCL19	chemokine (C-C motif) ligand 19	9p13	6363	U88321	Extracellular Space	cytokine	7.19	7.69116E-10	7.47032E-08	up High vs Low
1405_i_at	CCL5	chemokine (C-C motif) ligand 5	17q11.2-q12	6352	M21121	Extracellular Space	cytokine	7.18	1.06791E-09	1.00147E-07	up High vs Low
212829_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	10p12.2	5305	BE878277	Cytoplasm	kinase	7.17	1.88448E-09	1.66397E-07	up High vs Low
202664_at	WIPF1	WAS/WASL interacting protein family, member 1	2q31.1	7456	AW058622	Cytoplasm	other	7.17	4.81623E-09	3.57875E-07	up High vs Low
223514_at	CARD11	caspase recruitment domain family, member 11	7p22	84433	AF322641	Cytoplasm	kinase	7.17	1.52767E-08	1.00841E-06	up High vs Low
207907_at	TNFSF14	tumor necrosis factor (ligand) superfamily, member 14	19p13.3	8740	NM_003807	Extracellular Space	cytokine	7.16	1.34813E-09	1.22422E-07	up High vs Low
230925_at	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	10p12.1	54518	AI093231	Cytoplasm	other	7.14	2.33488E-09	1.95986E-07	up High vs Low
36030_at	IFFO1	intermediate filament family orphan 1	12p13.3	25900	AL080214	unknown	other	7.12	2.12082E-09	1.82525E-07	up High vs Low
225373_at	C10orf54	chromosome 10 open reading frame 54	10q22.1	64115	BE271644	unknown	other	7.12	2.60563E-09	2.16045E-07	up High vs Low
205159_at	CSF2RB	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	22q13.1	1439	AV756141	Plasma Membrane	transmembrane receptor	7.11	4.12935E-09	3.15455E-07	up High vs Low
204046_at	PLCB2	phospholipase C, beta 2	15q15	5330	NM_004573	Cytoplasm	enzyme	7.1	1.23701E-08	8.49539E-07	up High vs Low
219014_at	PLAC8	placenta-specific 8	4q21.22	51316	NM_016619	Nucleus	other	7.09	3.69678E-09	2.88901E-07	up High vs Low
209829_at	FAM65B	family with sequence similarity 65, member B	6p22.3-p21.32	9750	AB002384	unknown	other	7.09	3.97931E-08	2.40492E-06	up High vs Low
229723_at	TAGAP	T-cell activation RhoGTPase activating protein	6q25.3	117289	BF591040	unknown	other	7.08	2.45106E-09	2.04476E-07	up High vs Low
227607_at	STAMBPL1	STAM binding protein-like 1	10q23.31	57559	AI638611	unknown	other	7.08	4.56582E-09	3.43017E-07	up High vs Low
232253_at	LOC441108	hypothetical gene supported by AK128882	5q31.1	441108	AL564637	unknown	other	7.07	8.60438E-09	6.09388E-07	up High vs Low
218913_s_at	GMIP	GEM interacting protein	19p12-p11	51291	NM_016573	unknown	enzyme	7.07	2.92221E-09	2.37942E-07	up High vs Low
217143_s_at	TRA@	T cell receptor alpha locus	14q11.2	6955	X06557	Plasma Membrane		7.06	5.07739E-09	3.7523E-07	up High vs Low
206687_s_at	PTPN6	protein tyrosine phosphatase, non-receptor type 6	12p13	5777	NM_002831	Cytoplasm	phosphatase	7.05	5.61308E-09	4.06093E-07	up High vs Low
205790_at	SKAP1	src kinase associated phosphoprotein 1	17q21.32	8631	NM_003726	Cytoplasm	kinase	7.03	2.21489E-09	1.88238E-07	up High vs Low
222920_s_at	KIAA0748	KIAA0748	12q13.2	9840	BG231515	unknown	other	7.03	3.30813E-08	2.07299E-06	up High vs Low
220423_at	PLA2G2D	phospholipase A2, group IID	1p36.12	26279	NM_012400	Extracellular Space	enzyme	7.02	1.0332E-07	5.59738E-06	up High vs Low
214617_at	PRF1	perforin 1 (pore forming protein)	10q22	5551	AI445650	Cytoplasm	other	7.02	1.0155E-08	7.08139E-07	up High vs Low
230110_at	MCOLN2	mucolipin 2	1p22	255231	AV713773	Cytoplasm	ion channel	7.01	8.03081E-09	5.74752E-07	up High vs Low
40420_at	STK10	serine/threonine kinase 10	5q35.1	6793	AB015718	Cytoplasm	kinase	7.01	2.07055E-09	1.79333E-07	up High vs Low
218600_at	LIMD2	LIM domain containing 2	17q23.3	80774	NM_030576	unknown	other	7.01	1.36868E-09	1.23254E-07	up High vs Low
204220_at	GMFG	glia maturation factor, gamma	19q13.2	9535	NM_004877	Cytoplasm	growth factor	7.01	2.11497E-08	1.36949E-06	up High vs Low
213106_at	ATP8A1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	4p14-p12	10396	AI769688	Cytoplasm	transporter	7	2.3168E-09	1.95676E-07	up High vs Low
1552497_a_at	SLAMF6	SLAM family member 6	1q23.2	114836	NM_052931	Plasma Membrane	transmembrane receptor	6.95	4.25297E-08	2.54766E-06	up High vs Low
208450_at	LGALS2	lectin, galactoside-binding, soluble, 2	22q12-q13|22q13.1	3957	NM_006498	Cytoplasm	other	6.91	3.4731E-08	2.14669E-06	up High vs Low
204897_at	PTGER4	prostaglandin E receptor 4 (subtype EP4)	5p13.1	5734	AA897516	Plasma Membrane	G-protein coupled receptor	6.91	5.45677E-09	3.98931E-07	up High vs Low
206398_s_at	CD19	CD19 molecule	16p11.2	930	NM_001770	Plasma Membrane	other	6.91	1.05207E-07	5.67701E-06	up High vs Low
206060_s_at	PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	1p13.3-p13.1	26191	NM_015967	Cytoplasm	phosphatase	6.86	6.87812E-09	4.94861E-07	up High vs Low
39318_at	TCL1A	T-cell leukemia/lymphoma 1A	14q32.1	8115	X82240	Nucleus	other	6.82	3.01189E-07	1.4627E-05	up High vs Low
207677_s_at	NCF4	neutrophil cytosolic factor 4, 40kDa	22q13.1	4689	NM_013416	Cytoplasm	enzyme	6.79	9.1835E-09	6.47032E-07	up High vs Low
211795_s_at	FYB	FYN binding protein (FYB-120/130)	5p13.1	2533	AF198052	Nucleus	other	6.77	9.66266E-09	6.77282E-07	up High vs Low
225763_at	RCSD1	RCSD domain containing 1	1q22-q24	92241	AI659418	unknown	other	6.77	1.32194E-08	8.94317E-07	up High vs Low
202531_at	IRF1	interferon regulatory factor 1	5q31.1	3659	NM_002198	Nucleus	transcription regulator	6.76	4.24342E-09	3.22358E-07	up High vs Low
210184_at	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	16p11.2	3687	M81695	Plasma Membrane	other	6.76	1.71711E-08	1.12798E-06	up High vs Low
210164_at	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	14q11.2	3002	J03189	Cytoplasm	peptidase	6.75	1.43708E-08	9.53241E-07	up High vs Low
203932_at	HLA-DMB	major histocompatibility complex, class II, DM beta	6p21.3	3109	NM_002118	Plasma Membrane	transmembrane receptor	6.75	1.87062E-08	1.22291E-06	up High vs Low
228298_at	FAM113B	family with sequence similarity 113, member B	12q13.11	91523	BF056901	unknown	other	6.75	8.2041E-09	5.84081E-07	up High vs Low
205242_at	CXCL13	chemokine (C-X-C motif) ligand 13	4q21	10563	NM_006419	Extracellular Space	cytokine	6.73	3.8765E-09	2.99504E-07	up High vs Low
204950_at	CARD8	caspase recruitment domain family, member 8	19q13.32	22900	NM_014959	Nucleus	other	6.72	5.86889E-08	3.42512E-06	up High vs Low
1556601_a_at	SPATA13	spermatogenesis associated 13	13q12.12	221178	R69077	unknown	other	6.69	5.37121E-09	3.94799E-07	up High vs Low
228372_at	C10orf128	chromosome 10 open reading frame 128	10q11.22	170371	AW204712	unknown	other	6.68	1.88441E-08	1.22604E-06	up High vs Low
221978_at	HLA-F	major histocompatibility complex, class I, F	6p21.3	3134	BE138825	Plasma Membrane	transmembrane receptor	6.68	1.12994E-08	7.79942E-07	up High vs Low
210448_s_at	P2RX5	purinergic receptor P2X, ligand-gated ion channel, 5	17p13.3	5026	U49396	Plasma Membrane	ion channel	6.68	1.15987E-07	6.1369E-06	up High vs Low
227182_at	SUSD3	sushi domain containing 3	9q22.31	203328	AW966474	unknown	other	6.65	3.07606E-08	1.9455E-06	up High vs Low
205049_s_at	CD79A	CD79a molecule, immunoglobulin-associated alpha	19q13.2	973	NM_001783	Plasma Membrane	transmembrane receptor	6.65	6.82158E-08	3.88117E-06	up High vs Low
242814_at	SERPINB9	serpin peptidase inhibitor, clade B (ovalbumin), member 9	6p25	5272	AI986192	Cytoplasm	other	6.62	2.9133E-08	1.85117E-06	up High vs Low
219836_at	ZBED2	zinc finger, BED-type containing 2	3q13.13	79413	NM_024508	unknown	other	6.6	1.54146E-07	8.00027E-06	up High vs Low
205718_at	ITGB7	integrin, beta 7	12q13.13	3695	NM_000889	Plasma Membrane	transmembrane receptor	6.54	6.54051E-08	3.76855E-06	up High vs Low
228658_at	MIAT	myocardial infarction associated transcript (non-protein coding)	22q12.1	440823	R54042	unknown	other	6.53	1.31807E-08	8.94317E-07	up High vs Low
226074_at	PPM1M	protein phosphatase 1M (PP2C domain containing)	3p21.1	132160	N22918	Nucleus	phosphatase	6.5	5.46365E-08	3.20236E-06	up High vs Low
212415_at	38961	septin 6	Xq24	23157	AW150913	Cytoplasm	other	6.49	3.72514E-08	2.29206E-06	up High vs Low
219584_at	PLA1A	phospholipase A1 member A	3q13.13-q13.2	51365	NM_015900	Extracellular Space	enzyme	6.49	6.27302E-08	3.62981E-06	up High vs Low
235175_at	GBP4	guanylate binding protein 4	1p22.2	115361	BG260886	Cytoplasm	enzyme	6.47	3.10703E-08	1.95599E-06	up High vs Low
214186_s_at	HCG26	HLA complex group 26	6p21.3	352961	AI346483	unknown	other	6.46	6.0296E-08	3.50387E-06	up High vs Low
231747_at	CYSLTR1	cysteinyl leukotriene receptor 1	Xq13.2-q21.1	10800	NM_006639	Plasma Membrane	G-protein coupled receptor	6.44	7.56092E-08	4.24849E-06	up High vs Low
227791_at	SLC9A9	solute carrier family 9 (sodium/hydrogen exchanger), member 9	3q24	285195	BE222668	Cytoplasm	other	6.44	1.07159E-07	5.75947E-06	up High vs Low
210538_s_at	BIRC3	baculoviral IAP repeat-containing 3	11q22	330	U37546	Cytoplasm	enzyme	6.44	2.65378E-08	1.70001E-06	up High vs Low
207734_at	LAX1	lymphocyte transmembrane adaptor 1	1q32.1	54900	NM_017773	Cytoplasm	other	6.44	1.97885E-07	1.00781E-05	up High vs Low
204949_at	ICAM3	intercellular adhesion molecule 3	19p13.3-p13.2	3385	NM_002162	Plasma Membrane	other	6.43	6.7595E-08	3.862E-06	up High vs Low
217478_s_at	HLA-DMA	major histocompatibility complex, class II, DM alpha	6p21.3	3108	X76775	Plasma Membrane	transmembrane receptor	6.41	3.36219E-08	2.0972E-06	up High vs Low
214450_at	CTSW	cathepsin W	11q13.1	1521	NM_001335	Cytoplasm	peptidase	6.38	1.98924E-07	1.00932E-05	up High vs Low
212646_at	RFTN1	raftlin, lipid raft linker 1	3p24.3	23180	D42043	Plasma Membrane	other	6.37	5.40536E-08	3.18191E-06	up High vs Low
202746_at	ITM2A	integral membrane protein 2A	Xq13.3-Xq21.2	9452	AL021786	Plasma Membrane	other	6.35	4.15899E-08	2.50239E-06	up High vs Low
223395_at	ABI3BP	ABI family, member 3 (NESH) binding protein	3q12	25890	AB056106	unknown	other	6.33	3.78589E-08	2.31894E-06	up High vs Low
218764_at	PRKCH	protein kinase C, eta	14q22-q23	5583	NM_024064	Cytoplasm	kinase	6.32	7.77088E-08	4.3485E-06	up High vs Low
219734_at	SIDT1	SID1 transmembrane family, member 1	3q13.2	54847	NM_017699	unknown	other	6.3	3.97103E-08	2.40492E-06	up High vs Low
213261_at	LBA1	lupus brain antigen 1	3p22.2	9881	AA035414	Nucleus	transcription regulator	6.3	9.68156E-08	5.30846E-06	up High vs Low
204425_at	ARHGAP4	Rho GTPase activating protein 4	Xq28	393	NM_001666	Cytoplasm	other	6.28	9.03682E-08	5.01562E-06	up High vs Low
204436_at	PLEKHO2	pleckstrin homology domain containing, family O member 2	15q22.1	80301	NM_025201	unknown	other	6.28	3.40817E-08	2.11618E-06	up High vs Low
242946_at	CD53	CD53 molecule	1p13	963	AW293276	Plasma Membrane	other	6.27	3.12683E-07	1.51312E-05	up High vs Low
227265_at	FGL2	fibrinogen-like 2	7q11.23	10875	AW135176	Extracellular Space	peptidase	6.23	9.21387E-08	5.0931E-06	up High vs Low
209584_x_at	APOBEC3C	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C	22q13.1|22q13.1-q13.2	27350	AF165520	unknown	enzyme	6.23	7.51958E-08	4.24849E-06	up High vs Low
226991_at	NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	20q13.2-q13.3	4773	AA489681	Nucleus	transcription regulator	6.23	1.41073E-07	7.37192E-06	up High vs Low
208268_at	ADAM28	ADAM metallopeptidase domain 28	8p21.2	10863	NM_021777	Plasma Membrane	peptidase	6.22	1.8073E-07	9.27386E-06	up High vs Low
228532_at	C1orf162	chromosome 1 open reading frame 162	1p13.2	128346	AW662189	unknown	transporter	6.22	1.01171E-07	5.525E-06	up High vs Low
203281_s_at	UBA7	ubiquitin-like modifier activating enzyme 7	3p21	7318	NM_003335	Cytoplasm	enzyme	6.21	4.57289E-08	2.72729E-06	up High vs Low
220059_at	STAP1	signal transducing adaptor family member 1	4q13.2	26228	NM_012108	Cytoplasm	other	6.2	7.7512E-07	3.43325E-05	up High vs Low
205267_at	POU2AF1	POU class 2 associating factor 1	11q23.1	5450	NM_006235	Nucleus	transcription regulator	6.2	4.72285E-08	2.80442E-06	up High vs Low
38964_r_at	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	Xp11.4-p11.21	7454	U12707	Cytoplasm	other	6.2	1.89749E-07	9.7E-06	up High vs Low
215118_s_at	IGHA1	immunoglobulin heavy constant alpha 1	14q32.33	3493	AW519168	Extracellular Space	other	6.19	2.00956E-07	1.01207E-05	up High vs Low
207536_s_at	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	1p36	3604	NM_001561	Plasma Membrane	other	6.16	3.61956E-07	1.72697E-05	up High vs Low
203915_at	CXCL9	chemokine (C-X-C motif) ligand 9	4q21	4283	NM_002416	Extracellular Space	cytokine	6.16	6.75372E-08	3.862E-06	up High vs Low
208438_s_at	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	1p36.2-p36.1	2268	NM_005248	Nucleus	kinase	6.15	4.8213E-08	2.85043E-06	up High vs Low
206974_at	CXCR6	chemokine (C-X-C motif) receptor 6	3p21	10663	NM_006564	Plasma Membrane	G-protein coupled receptor	6.14	1.3446E-07	7.05939E-06	up High vs Low
1558827_a_at	ZNF831	zinc finger protein 831	20q13.32	128611	AL713683	unknown	other	6.14	6.9128E-07	3.10232E-05	up High vs Low
205101_at	CIITA	class II, major histocompatibility complex, transactivator	16p13	4261	NM_000246	Nucleus	transcription regulator	6.14	1.77274E-07	9.16567E-06	up High vs Low
212486_s_at	FYN	FYN oncogene related to SRC, FGR, YES	6q21	2534	N20923	Plasma Membrane	kinase	6.12	1.14666E-07	6.09073E-06	up High vs Low
204698_at	ISG20	interferon stimulated exonuclease gene 20kDa	15q26	3669	NM_002201	Nucleus	enzyme	6.11	9.65457E-08	5.30846E-06	up High vs Low
221581_s_at	LAT2	linker for activation of T cells family, member 2	7q11.23	7462	AF257135	Plasma Membrane	other	6.11	4.13682E-07	1.93307E-05	up High vs Low
205692_s_at	CD38	CD38 molecule	4p15	952	NM_001775	Plasma Membrane	enzyme	6.11	1.41497E-07	7.37192E-06	up High vs Low
214181_x_at	LST1	leukocyte specific transcript 1	6p21.3	7940	AI735692	Plasma Membrane	other	6.08	2.53491E-07	1.2489E-05	up High vs Low
210260_s_at	TNFAIP8	tumor necrosis factor, alpha-induced protein 8	5q23.1	25816	BC005352	Cytoplasm	other	6.06	5.18263E-07	2.34131E-05	up High vs Low
209354_at	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	1p36.3-p36.2	8764	BC002794	Plasma Membrane	transmembrane receptor	6.06	7.53826E-08	4.24849E-06	up High vs Low
238581_at	GBP5	guanylate binding protein 5	1p22.2	115362	BG271923	Plasma Membrane	enzyme	6.05	1.03042E-07	5.59738E-06	up High vs Low
242020_s_at	ZBP1	Z-DNA binding protein 1	20q13.31	81030	AI925506	unknown	other	6.04	1.07866E-07	5.77466E-06	up High vs Low
35974_at	LRMP	lymphoid-restricted membrane protein	12p12.1	4033	U10485	Cytoplasm	other	6.03	4.48517E-07	2.05351E-05	up High vs Low
1553043_a_at	CD300LF	CD300 molecule-like family member f	17q25.1	146722	NM_139018	unknown	other	6.02	2.11862E-07	1.05527E-05	up High vs Low
210321_at	GZMH	granzyme H (cathepsin G-like 2, protein h-CCPX)	14q11.2	2999	M36118	Cytoplasm	peptidase	6.02	4.3727E-07	2.01559E-05	up High vs Low
210313_at	LILRA4	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4	19q13.4	23547	AF041261	Plasma Membrane	other	6.01	3.45719E-07	1.66116E-05	up High vs Low
205153_s_at	CD40	CD40 molecule, TNF receptor superfamily member 5	20q12-q13.2	958	NM_001250	Plasma Membrane	transmembrane receptor	6.01	2.11194E-07	1.05527E-05	up High vs Low
229437_at	MIRN155	microRNA 155	-	406947	BG231961	unknown	other	6	3.52194E-07	1.68632E-05	up High vs Low
218298_s_at	C14orf159	chromosome 14 open reading frame 159	14q32.12	80017	NM_024952	Cytoplasm	other	6	8.76769E-08	4.88619E-06	up High vs Low
204269_at	PIM2	pim-2 oncogene	Xp11.23	11040	NM_006875	unknown	kinase	5.99	1.08821E-07	5.80291E-06	up High vs Low
224909_s_at	PREX1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	20q13.13	57580	BF308645	Cytoplasm	other	5.99	1.79348E-07	9.23779E-06	up High vs Low
226879_at	HVCN1	hydrogen voltage-gated channel 1	12q24.11	84329	AW406569	unknown	ion channel	5.94	1.05007E-06	4.51862E-05	up High vs Low
209907_s_at	ITSN2	intersectin 2	2pter-p25.1	50618	AF182198	Cytoplasm	other	5.92	3.92384E-07	1.85209E-05	up High vs Low
206478_at	KIAA0125	KIAA0125	14q32.33	9834	NM_014792	unknown	other	5.92	2.89199E-07	1.40951E-05	up High vs Low
215785_s_at	CYFIP2	cytoplasmic FMR1 interacting protein 2	5q33.3	26999	AL161999	Cytoplasm	other	5.91	2.00579E-07	1.01207E-05	up High vs Low
218223_s_at	PLEKHO1	pleckstrin homology domain containing, family O member 1	1q21.2	51177	NM_016274	Plasma Membrane	other	5.91	1.24701E-07	6.57244E-06	up High vs Low
230011_at	MEI1	meiosis inhibitor 1	22q13.2	150365	AW195720	unknown	other	5.88	1.02968E-06	4.44496E-05	up High vs Low
223565_at	MGC29506	hypothetical protein MGC29506	5q23-q31	51237	AF151024	Extracellular Space	other	5.87	3.38298E-07	1.63127E-05	up High vs Low
227232_at	EVL	Enah/Vasp-like	14q32.2	51466	T58044	Cytoplasm	other	5.87	8.91089E-07	3.89615E-05	up High vs Low
204236_at	FLI1	Friend leukemia virus integration 1	11q24.1-q24.3	2313	NM_002017	Nucleus	transcription regulator	5.86	4.68078E-07	2.13588E-05	up High vs Low
204103_at	CCL4	chemokine (C-C motif) ligand 4	17q12	6351	NM_002984	Extracellular Space	cytokine	5.86	5.025E-07	2.27766E-05	up High vs Low
220146_at	TLR7	toll-like receptor 7	Xp22.3	51284	NM_016562	Plasma Membrane	transmembrane receptor	5.85	4.34489E-07	2.01559E-05	up High vs Low
1555349_a_at	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	21q22.3	3689	L78790	Plasma Membrane	other	5.84	3.64964E-07	1.73524E-05	up High vs Low
205590_at	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	15q14	10125	NM_005739	Cytoplasm	other	5.83	2.03351E-07	1.02036E-05	up High vs Low
214369_s_at	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	11q13	10235	AI688812	Cytoplasm	other	5.82	1.62042E-06	6.57746E-05	up High vs Low
230550_at	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A	11q12.1	64231	AA045175	unknown	other	5.81	4.296E-07	2.00058E-05	up High vs Low
230753_at	PATL2	protein associated with topoisomerase II homolog 2 (yeast)	15q21.1	197135	R12665	unknown	other	5.8	1.23942E-06	5.20052E-05	up High vs Low
205484_at	SIT1	signaling threshold regulating transmembrane adaptor 1	9p13-p12	27240	NM_014450	Plasma Membrane	other	5.79	9.74421E-07	4.24685E-05	up High vs Low
208885_at	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	13q14.3	3936	J02923	Cytoplasm	other	5.77	2.45183E-07	1.21679E-05	up High vs Low
244654_at	MYO1G	myosin IG	7p13-p11.2	64005	BE646398	Cytoplasm	other	5.76	1.10358E-06	4.6895E-05	up High vs Low
213620_s_at	ICAM2	intercellular adhesion molecule 2	17q23-q25	3384	AA126728	Plasma Membrane	other	5.75	2.80294E-07	1.37102E-05	up High vs Low
206641_at	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	16p13.1	608	NM_001192	Plasma Membrane	other	5.75	1.24295E-06	5.20052E-05	up High vs Low
213045_at	MAST3	microtubule associated serine/threonine kinase 3	19p13.11	23031	AB011133	unknown	kinase	5.74	4.88917E-07	2.22351E-05	up High vs Low
1555812_a_at	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	12p12.3	397	AF498927	Cytoplasm	other	5.74	2.48233E-07	1.22745E-05	up High vs Low
219690_at	TMEM149	transmembrane protein 149	19q13.12	79713	NM_024660	unknown	other	5.74	1.06882E-06	4.5848E-05	up High vs Low
206486_at	LAG3	lymphocyte-activation gene 3	12p13.32	3902	NM_002286	Plasma Membrane	transmembrane receptor	5.73	5.45225E-07	2.45496E-05	up High vs Low
208436_s_at	IRF7	interferon regulatory factor 7	11p15.5	3665	NM_004030	Nucleus	transcription regulator	5.71	2.54496E-07	1.24933E-05	up High vs Low
238025_at	MLKL	mixed lineage kinase domain-like	16q22.3	197259	AA706818	unknown	kinase	5.69	3.76002E-07	1.78149E-05	up High vs Low
225626_at	PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	8q21.13	55824	AK000680	Plasma Membrane	other	5.69	4.36255E-07	2.01559E-05	up High vs Low
205988_at	CD84	CD84 molecule	1q24	8832	NM_003874	Plasma Membrane	other	5.69	1.0127E-06	4.38555E-05	up High vs Low
235023_at	VPS13C	vacuolar protein sorting 13 homolog C (S. cerevisiae)	15q22.2	54832	AA828371	unknown	other	5.68	7.17696E-07	3.21027E-05	up High vs Low
219667_s_at	BANK1	B-cell scaffold protein with ankyrin repeats 1	4q24	55024	NM_017935	unknown	other	5.68	3.69563E-06	0.000131898	up High vs Low
221081_s_at	DENND2D	DENN/MADD domain containing 2D	1p13.3	79961	NM_024901	Cytoplasm	other	5.68	4.40283E-07	2.02262E-05	up High vs Low
205298_s_at	BTN2A2	butyrophilin, subfamily 2, member A2	6p22.1	10385	W58757	unknown	other	5.67	1.64614E-06	6.66009E-05	up High vs Low
243981_at	STK4	serine/threonine kinase 4	20q11.2-q13.2	6789	AI763206	Cytoplasm	kinase	5.67	1.54253E-06	6.33693E-05	up High vs Low
219866_at	CLIC5	chloride intracellular channel 5	6p21.1-p12.1	53405	NM_016929	Cytoplasm	ion channel	5.66	7.25184E-07	3.23313E-05	up High vs Low
210288_at	KLRG1	killer cell lectin-like receptor subfamily G, member 1	12p12-p13	10219	AF081675	Plasma Membrane	other	5.64	2.85957E-06	0.000105093	up High vs Low
1568943_at	INPP5D	inositol polyphosphate-5-phosphatase, 145kDa	2q37.1	3635	BC027960	Cytoplasm	phosphatase	5.64	3.39938E-06	0.000122288	up High vs Low
228585_at	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	10q24	953	AI301948	Plasma Membrane	enzyme	5.64	4.10145E-07	1.92316E-05	up High vs Low
244556_at	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	5q33.1-qter	3937	AI824014	Cytoplasm	other	5.62	2.20855E-06	8.53178E-05	up High vs Low
214467_at	GPR65	G protein-coupled receptor 65	14q31-q32.1	8477	NM_003608	Plasma Membrane	G-protein coupled receptor	5.62	1.23222E-06	5.18754E-05	up High vs Low
37145_at	GNLY	granulysin	2p11.2	10578	M85276	Cytoplasm	other	5.61	1.00358E-06	4.35996E-05	up High vs Low
213293_s_at	TRIM22	tripartite motif-containing 22	11p15	10346	AA083478	Cytoplasm	transcription regulator	5.6	3.93626E-07	1.85209E-05	up High vs Low
220330_s_at	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	21q11	64092	NM_022136	Nucleus	other	5.6	8.60722E-07	3.77551E-05	up High vs Low
206255_at	BLK	B lymphoid tyrosine kinase	8p23-p22	640	NM_001715	Cytoplasm	kinase	5.59	5.04013E-06	0.000171803	up High vs Low
229560_at	TLR8	toll-like receptor 8	Xp22	51311	AW872374	Plasma Membrane	transmembrane receptor	5.58	2.47417E-06	9.37152E-05	up High vs Low
215933_s_at	HHEX	hematopoietically expressed homeobox	10q23.33	3087	Z21533	Nucleus	transcription regulator	5.56	2.44997E-06	9.30578E-05	up High vs Low
203413_at	NELL2	NEL-like 2 (chicken)	12q13.11-q13.12	4753	NM_006159	Extracellular Space	other	5.56	1.20538E-06	5.09029E-05	up High vs Low
215602_at	FGD2	FYVE, RhoGEF and PH domain containing 2	6p21.2	221472	AK024456	Cytoplasm	other	5.55	3.72723E-06	0.000132678	up High vs Low
212314_at	KIAA0746	KIAA0746 protein	4p15.2	23231	AB018289	unknown	other	5.55	7.57283E-07	3.36521E-05	up High vs Low
204446_s_at	ALOX5	arachidonate 5-lipoxygenase	10q11.2	240	NM_000698	Cytoplasm	enzyme	5.55	1.11003E-06	4.70224E-05	up High vs Low
1554834_a_at	RASSF5	Ras association (RalGDS/AF-6) domain family member 5	1q32.1	83593	AY062002	Plasma Membrane	other	5.55	1.07454E-06	4.59485E-05	up High vs Low
1557718_at	PPP2R5C	protein phosphatase 2, regulatory subunit B, gamma isoform	14q32	5527	AL834350	Nucleus	peptidase	5.54	2.48352E-06	9.38079E-05	up High vs Low
214735_at	PIP3-E	phosphoinositide-binding protein PIP3-E	6q25.2	26034	AW166711	Cytoplasm	enzyme	5.53	3.75667E-06	0.000133377	up High vs Low
205504_at	BTK	Bruton agammaglobulinemia tyrosine kinase	Xq21.33-q22	695	NM_000061	Cytoplasm	kinase	5.53	2.85678E-06	0.000105093	up High vs Low
203620_s_at	FCHSD2	FCH and double SH3 domains 2	11q13.4	9873	NM_014824	unknown	other	5.5	1.49012E-06	6.1402E-05	up High vs Low
225530_at	MOBKL2A	MOB1, Mps One Binder kinase activator-like 2A (yeast)	19p13.3	126308	BE396735	unknown	other	5.49	1.73491E-06	6.89803E-05	up High vs Low
232645_at	LOC153684	hypothetical LOC153684	5p12	153684	AW665885	unknown	other	5.49	2.03628E-06	8.00271E-05	up High vs Low
206785_s_at	KLRC1	killer cell lectin-like receptor subfamily C, member 1	12p13	3821	NM_002260	Plasma Membrane	transmembrane receptor	5.49	4.52119E-06	0.000156436	up High vs Low
219563_at	C14orf139	chromosome 14 open reading frame 139	14q32.13	79686	NM_024633	unknown	other	5.49	1.55658E-06	6.35078E-05	up High vs Low
215925_s_at	CD72	CD72 molecule	9p13.3	971	AF283777	Plasma Membrane	transmembrane receptor	5.49	4.38227E-06	0.000152404	up High vs Low
