Rank	Accession No.	Title	Symbol	Mean fold change	P Value	q-Value
279	NM_004946.1	Dedicator of cytokinesis 2	DOCK2	4.1	0.0000301	0.0028431
280	NM_002661.1	Phospholipase C, gamma 2	PLCG2	4.1	0.0000682	0.0040836
281	NM_020990.3	Creatine kinase, mitochondrial 1B , nuclear gene encoding mitochondrial protein	CKMT1B	4.1	0.0018793	0.0233237
282	NM_002763.3	Prospero-related homeobox 1	PROX1	4	0.0009217	0.0159791
283	NM_006633.1	IQ motif containing gtpase activating protein 2	IQGAP2	4	0.00000907	0.0016192
284	NM_174918.1	Mast cell-expressed membrane protein 1	MCEMP1	4	0.0073945	0.0506156
285	NM_175571.2	Gtpase, IMAP family member 8	GIMAP8	4	0.0001187	0.0055009
286	NM_017786.2	Hypothetical protein FLJ20366	FLJ20366	4	0.0040415	0.0359301
287	NM_021784.3	Forkhead box A2 , transcript variant 1	FOXA2	4	0.0016758	0.0220421
288	NM_001767.2	CD2 antigen , sheep red blood cell receptor	CD2	4	0.0000312	0.0028582
289	NM_005623.2	Chemokine  ligand 8	CCL8	4	0.0019016	0.0234635
290	NM_152309.2	Phosphoinositide-3-kinase adaptor protein 1	PIK3AP1	4	0.0017199	0.0223797
291	BC035116	Cdna clone IMAGE:5263177	Hs.19339	4	0.0002225	0.0077066
292	NM_000442.2	Platelet/endothelial cell adhesion molecule	PECAM1	4	0.00000434	0.0010797
293	NM_001776.3	Ectonucleoside triphosphate diphosphohydrolase 1	ENTPD1	4	0.0000175	0.0023005
294	NM_021969.1	Nuclear receptor subfamily 0, group B, member 2	NR0B2	4	0.0019811	0.0239775
295	NM_014141.3	Contactin associated protein-like 2	CNTNAP2	4	0.0085192	0.0547133
296	NM_001467.3	Solute carrier family 37 , member 4	SLC37A4	4	0.0003002	0.0089558
297	NM_003294.3	Tryptase alpha/beta 1	TPSAB1	4	0.0027822	0.0288554
298	NM_000247.1	MHC class I polypeptide-related sequence A	MICA	-4	0.0027865	0.0288775
299	NM_145244.2	DNA-damage-inducible transcript 4-like	DDIT4L	-4	0.0019033	0.0234743
300	NM_017420.2	Sine oculis homeobox homolog 4	SIX4	-4	0.0001163	0.0054659
301	NM_052839.2	Pannexin 2	PANX2	-4	0.0007162	0.0140247
302	NM_003596.2	Tyrosylprotein sulfotransferase 1	TPST1	-4	0.0049835	0.0404664
303	NM_052947.2	Heart alpha-kinase	HAK	-4	0.0075176	0.0510192
304	NM_013451.2	Fer-1-like 3, myoferlin  , transcript variant 1	FER1L3	-4	0.0002766	0.0086154
305	NM_007085.3	Follistatin-like 1	FSTL1	-4	0.0074643	0.0508771
306	NM_207371.2	FLJ45187 protein	FLJ45187	-4	0.0005895	0.012606
307	NM_002064.1	Glutaredoxin	GLRX	-4.1	0.0001728	0.0067894
308	NM_012068.2	Activating transcription factor 5	ATF5	-4.1	0.0068359	0.0482557
309	NM_002430.2	Meningioma  1	MN1	-4.1	0.0013252	0.0195327
310	NM_033184.2	Keratin associated protein 2-4	KRTAP2-4	-4.1	0.0057712	0.0439543
311	NM_000992.2	Ribosomal protein L29	RPL29	-4.2	0.0033561	0.0321172
312	NM_022475.1	Hedgehog interacting protein	HHIP	-4.2	0.0001932	0.0072166
313	NM_203394.1	E2F transcription factor 7	E2F7	-4.2	0.0000609	0.0039049
314	NM_024692.3	Restin-like 2	RSNL2	-4.2	0.0001308	0.0057963
315	NM_014365.2	Heat shock 22kda protein 8	HSPB8	-4.2	0.0044207	0.0378458
316	NM_014903.3	Neuron navigator 3	NAV3	-4.2	0.0000213	0.0024707
317	NM_013943.1	Chloride intracellular channel 4	CLIC4	-4.2	0.0010428	0.0172024
318	NM_005953.2	Metallothionein 2A	MT2A	-4.2	0.001983	0.0239775
319	NM_078467.1	Cyclin-dependent kinase inhibitor 1A  , transcript variant 2	CDKN1A	-4.2	0.0004952	0.0114111
320	NM_001235.2	Serpin peptidase inhibitor, clade H , member 1,	SERPINH1	-4.3	0.0042161	0.0367627
321	NM_002300.3	Lactate dehydrogenase B	LDHB	-4.3	0.0065512	0.0471928
322	NM_017946.2	FK506 binding protein 14, 22 kda	FKBP14	-4.3	0.0000811	0.0044556
323	NM_032211.6	Lysyl oxidase-like 4	LOXL4	-4.3	0.0030203	0.0303631
324	NM_003798.1	Catenin , alpha-like 1	CTNNAL1	-4.3	0.0001033	0.0050775
325	NM_005168.3	Rho family gtpase 3	RND3	-4.4	0.00000568	0.0012279
326	NM_080655.1	Chromosome 9 open reading frame 30	C9ORF30	-4.4	0.00000261	0.0008237
327	NM_206833.1	Cortexin 1	CTXN1	-4.4	0.0036828	0.033995
328	NM_022356.2	Leucine proline-enriched proteoglycan  1	LEPRE1	-4.4	0.0003678	0.0099631
329	XM_940079.1	PREDICTED:  tubulin, beta 6	TUBB6	-4.4	0.0002845	0.0087177
330	NM_152359.1	Carnitine palmitoyltransferase 1C	CPT1C	-4.5	0.0009439	0.0161717
331	NM_001699.3	AXL receptor tyrosine kinase , transcript variant 2	AXL	-4.5	0.0032601	0.0316232
332	NM_005458.5	Gamma-aminobutyric acid  B receptor, 2	GABBR2	-4.5	0.0025613	0.027631
333	NM_020814.1	Membrane-associated ring finger  4	41337	-4.5	0.0001937	0.0072198
334	NM_003246.2	Thrombospondin 1	THBS1	-4.5	0.0004727	0.0112321
335	NM_145753.1	Pleckstrin homology-like domain, family B, member 2	PHLDB2	-4.5	0.0002752	0.0086092
336	NM_002526.1	5-nucleotidase, ecto	NT5E	-4.5	0.0009369	0.0161183
337	NM_013363.2	Procollagen C-endopeptidase enhancer 2	PCOLCE2	-4.6	0.0030204	0.0303631
338	NM_000700.1	Annexin A1	ANXA1	-4.6	0.0045044	0.0381603
339	NM_014601.2	EH-domain containing 2	EHD2	-4.6	0.0001576	0.0064512
340	NM_003486.5	Solute carrier family 7 , member 5	SLC7A5	-4.6	0.0001772	0.0068827
341	NM_000963.1	Prostaglandin-endoperoxide synthase 2	PTGS2	-4.7	0.0012741	0.0191438
342	NM_003632.1	Contactin associated protein 1	CNTNAP1	-4.7	0.0007277	0.0141588
343	NM_006851.1	GLI pathogenesis-related 1	GLIPR1	-4.7	0.0003362	0.0094774
344	NM_182507.1	Hypothetical protein LOC144501	LOC144501	-4.8	0.0068451	0.0483055
345	NM_001554.3	Cysteine-rich, angiogenic inducer, 61	CYR61	-4.9	0.0005159	0.0116401
346	NM_006206.3	Platelet-derived growth factor receptor, alpha polypeptide	PDGFRA	-4.9	0.0060692	0.0452224
347	NM_005429.2	Vascular endothelial growth factor C	VEGFC	-4.9	0.0012043	0.0186087
348	NM_006825.2	Cytoskeleton-associated protein 4	CKAP4	-4.9	0.0000407	0.0032504
349	NM_005279.2	G protein-coupled receptor 1	GPR1	-5	0.0035321	0.0331811
350	NM_030786.1	Syncoilin, intermediate filament 1	SYNC1	-5	0.0014926	0.0207812
351	NM_052913.2	Kiaa1913	KIAA1913	-5	0.0009445	0.0161717
352	CD640673	AGENCOURT_14535501 NIH_MGC_191  cdna clone IMAGE:30415823 5, mrna sequence	Hs.543887	-5.2	1.34E-08	0.0000767
353	NM_024563.2	Hypothetical protein FLJ14054	FLJ14054	-5.3	0.0004292	0.0108174
354	NM_014286.2	Frequenin homolog	FREQ	-5.3	0.00000495	0.0011448
355	NM_006216.2	Serpin peptidase inhibitor, clade E , member 2	SERPINE2	-5.3	0.0010166	0.0169564
356	NM_007026.1	Dual specificity phosphatase 14	DUSP14	-5.3	0.0000024	0.0008005
357	NM_002373.4	Microtubule-associated protein 1A	MAP1A	-5.4	0.0013351	0.0196084
358	XM_927536.1	PREDICTED:  aldehyde dehydrogenase 1 family, member L2	ALDH1L2	-5.5	0.0043156	0.0373464
359	NM_002658.2	Plasminogen activator, urokinase	PLAU	-5.6	0.0044889	0.0381528
360	NM_001451.1	Forkhead box F1	FOXF1	-5.6	0.0004521	0.0110078
361	NM_173213.1	Keratin 23  , transcript variant 2	KRT23	-5.7	0.0066876	0.0475793
362	NM_013409.1	Follistatin , transcript variant FST344	FST	-5.7	0.0069086	0.0486044
363	NM_019102.2	Homeobox A5	HOXA5	-5.7	0.0065274	0.0471331
364	NM_005504.4	Branched chain aminotransferase 1, cytosolic	BCAT1	-5.8	0.0043153	0.0373464
365	NM_001001991.1	Regeneration associated muscle protease , transcript variant 2	DKFZP586H2123	-6	0.0073797	0.0505547
366	NM_006307.2	Sushi-repeat-containing protein, X-linked	SRPX	-6.1	0.0024584	0.0270482
367	NM_001628.2	Aldo-keto reductase family 1, member B1	AKR1B1	-6.1	0.0005778	0.0124477
368	NM_000641.2	Interleukin 11	IL11	-6.3	0.00000762	0.0014162
369	NM_152330.2	FERM domain containing 6	FRMD6	-6.5	0.0009865	0.016638
370	NM_138440.1	Slit-like 2	SLITL2	-6.5	0.0024298	0.0268757
371	XM_934895.1	PREDICTED:  similar to keratin 17, transcript variant 3	LOC440421	-6.5	0.0066872	0.0475793
372	NM_001008397.1	Similar to RIKEN cdna 2310016C16	LOC493869	-6.6	0.0002934	0.0088416
373	NM_002982.3	Chemokine  ligand 2	CCL2	-6.7	0.003253	0.0315787
374	NM_021013.3	Keratin, hair, acidic, 4	KRTHA4	-6.8	0.0051248	0.0411079
375	NM_002781.2	Pregnancy specific beta-1-glycoprotein 5	PSG5	-6.8	0.0004275	0.0108127
376	NM_003330.2	Thioredoxin reductase 1 , transcript variant 1	TXNRD1	-6.9	0.000000641	0.0005177
377	NM_058179.2	Phosphoserine aminotransferase 1 , transcript variant 1	PSAT1	-6.9	0.0006932	0.0138048
378	XM_498969.2	PREDICTED:  hypothetical LOC441019	LOC441019	-7	0.0002766	0.0086154
379	NM_144617.1	Heat shock protein, alpha-crystallin-related, B6	HSPB6	-7	0.0031221	0.0308747
380	NM_197958.1	La ribonucleoprotein domain family, member 6 , transcript variant 2	LARP6	-7.1	0.0001148	0.0054244
381	NM_014241.2	Protein tyrosine phosphatase-like , member a	PTPLA	-7.2	0.0000649	0.0040208
382	XM_087386.8	PREDICTED:  HEG homolog 1	HEG1	-7.4	0.0015096	0.020887
383	NM_004932.2	Cadherin 6, type 2, K-cadherin	CDH6	-7.5	0.0000362	0.00305
384	NM_006086.2	Tubulin, beta 3	TUBB3	-7.6	0.0018495	0.0231938
385	NM_001958.2	Eukaryotic translation elongation factor 1 alpha 2	EEF1A2	-8	0.0022402	0.0255741
386	NM_004750.2	Cytokine receptor-like factor 1	CRLF1	-8.1	0.0000622	0.003948
387	NM_006042.1	Heparan sulfate  3-O-sulfotransferase 3A1	HS3ST3A1	-8.1	0.000021	0.0024522
388	XM_938715.1	PREDICTED:  hyaluronan synthase 2	HAS2	-8.4	0.000000845	0.0005331
389	NM_004472.1	Forkhead box D1	FOXD1	-8.7	0.0011154	0.0178367
390	NM_003012.3	Secreted frizzled-related protein 1	SFRP1	-9.5	0.0003217	0.0092982
391	NM_001031692.1	Leucine rich repeat containing 17 , transcript variant 1	LRRC17	-9.8	0.0000251	0.0026584
392	NM_013372.5	Gremlin 1, cysteine knot superfamily, homolog	GREM1	-10	0.0012765	0.0191598
393	NM_001878.2	Cellular retinoic acid binding protein 2	CRABP2	-10.2	0.0000708	0.0041469
394	NM_000710.2	Bradykinin receptor B1	BDKRB1	-10.3	0.0000145	0.0020416
395	NM_001458.2	Filamin C, gamma	FLNC	-10.3	0.0000329	0.0029374
396	NM_001323.2	Cystatin E/M	CST6	-10.4	0.0016168	0.021643
397	NM_080927.3	Discoidin, CUB and LCCL domain containing 2	DCBLD2	-10.5	0.0000694	0.0040925
398	NM_002581.3	Pregnancy-associated plasma protein A, pappalysin 1	PAPPA	-10.9	0.0001174	0.0054731
399	XM_937100.1	PREDICTED:  keratin associated protein 2-1, transcript variant 3	KRTAP2-1	-11.3	0.0001969	0.0072816
400	NM_002704.2	Pro-platelet basic protein  ligand 7)	PPBP	-11.6	0.0092201	0.0569149
401	NM_003714.2	Stanniocalcin 2	STC2	-11.8	0.0000373	0.0031017
402	NM_005613.3	Regulator of G-protein signalling 4	RGS4	-12	0.00000998	0.001656
403	NM_002178.2	Insulin-like growth factor binding protein 6	IGFBP6	-13	0.0006727	0.0135451
404	NM_002317.3	Lysyl oxidase	LOX	-13.3	0.0002356	0.007969
405	NM_004598.2	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan	SPOCK	-13.6	0.0003278	0.0093462
406	NM_012242.2	Dickkopf homolog 1	DKK1	-14.1	0.0007496	0.0143321
407	NM_000600.1	Interleukin 6	IL6	-14.2	0.0001714	0.0067749
408	NM_153360.1	Hypothetical protein FLJ90166	FLJ90166	-14.4	0.0001074	0.0052011
409	NM_001792.2	Cadherin 2, type 1, N-cadherin	CDH2	-15.9	0.0006107	0.0128001
410	NM_006528.2	Tissue factor pathway inhibitor 2	TFPI2	-17.1	0.0002148	0.0075745
411	NM_006818.3	Myeloid/lymphoid or mixed-lineage leukemia ; translocated to, 11	MLLT11	-17.9	0.000000616	0.0005177
412	NM_007281.1	Scrapie responsive protein 1	SCRG1	-18.1	0.0003639	0.009939
413	NM_000602.1	Serpin peptidase inhibitor, clade E , member 1	SERPINE1	-18.8	0.0000229	0.0025793
414	NM_002852.2	Pentraxin-related gene, rapidly induced by IL-1 beta	PTX3	-19.3	0.0002407	0.0080659
415	NM_003480.2	Microfibrillar associated protein 5	MFAP5	-21.3	0.0001319	0.0058189
416	NM_153370.2	Peptidase inhibitor 16	PI16	-23.9	0.0000937	0.0047769
417	NM_004181.3	Ubiquitin carboxyl-terminal esterase L1	UCHL1	-27.7	0.0000315	0.002872
418	NM_014391.2	Ankyrin repeat domain 1	ANKRD1	-32.4	0.000000277	0.0004472
419	NM_002575.1	Serpin peptidase inhibitor, clade B , member 2	SERPINB2	-35.6	0.0000184	0.0023392
420	NM_000693.1	Aldehyde dehydrogenase 1 family, member A3	ALDH1A3	-50.5	0.00000401	0.0010164
