# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_013292|NM_013292	hgnc_symbol|MYLPF|MYLPF
refseq_dna|NM_006078|NM_006078	hgnc_symbol|CACNG2|CACNG2
refseq_dna|NM_006539|NM_006539	hgnc_symbol|CACNG3|CACNG3
refseq_dna|NM_014405|NM_014405	hgnc_symbol|CACNG4|CACNG4
refseq_dna|NM_014404|NM_014404	hgnc_symbol|CACNG5|CACNG5
refseq_dna|NM_145815|NM_145815	hgnc_symbol|CACNG6|CACNG6
refseq_dna|NM_031896|NM_031896	hgnc_symbol|CACNG7|CACNG7
refseq_dna|NM_031895|NM_031895	hgnc_symbol|CACNG8|CACNG8
refseq_dna|NM_031895|NM_031895	hgnc_symbol|CACNG8|CACNG8
refseq_dna|NM_000718|NM_000718	hgnc_symbol|CACNA1B|CACNA1B
refseq_dna|NM_000719|NM_000719	hgnc_symbol|CACNA1C|CACNA1C
refseq_dna|NM_000720|NM_000720	hgnc_symbol|CACNA1D|CACNA1D
refseq_dna|NM_000069|NM_000069	hgnc_symbol|CACNA1S|CACNA1S
refseq_dna|NM_023035|NM_023035	hgnc_symbol|CACNA1A|CACNA1A
refseq_dna|NM_014316|NM_014316	hgnc_symbol|CARHSP1|CARHSP1
refseq_dna|NM_001220|NM_001220	hgnc_symbol|CAMK2B|CAMK2B
hgnc_symbol|CAMK2G|CAMK2G
refseq_dna|NM_001744|NM_001744	hgnc_symbol|CAMK4|CAMK4
refseq_dna|NM_003688|NM_003688	hgnc_symbol|CASK|CASK
refseq_dna|NM_012189|NM_012189	hgnc_symbol|CABYR|CABYR
refseq_dna|NM_004342|NM_004342	hgnc_symbol|CALD1|CALD1
refseq_dna|NM_004362|NM_004362	hgnc_symbol|CLGN|CLGN
refseq_dna|NM_001743|NM_001743	hgnc_symbol|CALM2|CALM2
refseq_dna|NM_005184|NM_005184	hgnc_symbol|CALM3|CALM3
refseq_dna|NM_001746|NM_001746	hgnc_symbol|CANX|CANX
refseq_dna|NM_001299|NM_001299	hgnc_symbol|CNN1|CNN1
refseq_dna|NM_004368|NM_004368	hgnc_symbol|CNN2|CNN2
refseq_dna|NM_001839|NM_001839	hgnc_symbol|CNN3|CNN3
refseq_dna|NM_013434|NM_013434	hgnc_symbol|KCNIP3|KCNIP3
refseq_dna|NM_001231|NM_001231	hgnc_symbol|CASQ1|CASQ1
refseq_dna|NM_001232|NM_001232	hgnc_symbol|CASQ2|CASQ2
refseq_dna|NM_014944|NM_014944	hgnc_symbol|CLSTN1|CLSTN1
refseq_dna|NM_001219|NM_001219	hgnc_symbol|CALU|CALU
refseq_dna|NM_004379|NM_004379	hgnc_symbol|CREB1|CREB1
refseq_dna|NM_004379|NM_004379	hgnc_symbol|CREB1|CREB1
refseq_dna|NM_006368|NM_006368	hgnc_symbol|CREB3|CREB3
refseq_dna|NG_000013|NG_000013	hgnc_symbol|ATF6B|ATF6B
refseq_dna|NM_001881|NM_001881	hgnc_symbol|CREM|CREM
refseq_dna|NM_001327|NM_001327	hgnc_symbol|CTAG1B|CTAG1B
refseq_dna|NM_020994|NM_020994	hgnc_symbol|CTAG2|CTAG2
refseq_dna|NM_020381|NM_020381
refseq_dna|NM_006135|NM_006135	hgnc_symbol|CAPZA1|CAPZA1
refseq_dna|NM_001747|NM_001747	hgnc_symbol|CAPG|CAPG
refseq_dna|NM_014918|NM_014918	hgnc_symbol|CHSY1|CHSY1
refseq_dna|NM_003654|NM_003654	hgnc_symbol|CHST1|CHST1
refseq_dna|NM_019886|NM_019886	hgnc_symbol|CHST7|CHST7
refseq_dna|NM_004267|NM_004267	hgnc_symbol|CHST2|CHST2
refseq_dna|NM_005181|NM_005181	hgnc_symbol|CA3|CA3
refseq_dna|NM_005182|NM_005182	hgnc_symbol|CA7|CA7
refseq_dna|NM_012113|NM_012113	hgnc_symbol|CA14|CA14
refseq_dna|NM_001869|NM_001869	hgnc_symbol|CPA2|CPA2
refseq_dna|NM_001871|NM_001871	hgnc_symbol|CPB1|CPB1
refseq_dna|NM_003652|NM_003652	hgnc_symbol|CPZ|CPZ
refseq_dna|NM_013246|NM_013246	hgnc_symbol|CLC|CLC
refseq_dna|NM_000755|NM_000755	hgnc_symbol|CRAT|CRAT
refseq_dna|NM_004377|NM_004377	hgnc_symbol|CPT1B|CPT1B
refseq_dna|NM_000098|NM_000098	hgnc_symbol|CPT2|CPT2
refseq_dna|NM_001884|NM_001884	hgnc_symbol|HAPLN1|HAPLN1
refseq_dna|NM_001894|NM_001894	hgnc_symbol|CSNK1E|CSNK1E
refseq_dna|NM_001896|NM_001896	hgnc_symbol|CSNK2A2|CSNK2A2
refseq_dna|NM_001320|NM_001320	hgnc_symbol|CSNK2B|CSNK2B
refseq_dna|NM_001223|NM_001223	hgnc_symbol|CASP1|CASP1
refseq_dna|NM_001224|NM_001224	hgnc_symbol|CASP2|CASP2
refseq_dna|NM_004346|NM_004346	hgnc_symbol|CASP3|CASP3
refseq_dna|NM_001225|NM_001225	hgnc_symbol|CASP4|CASP4
refseq_dna|NM_001903|NM_001903	hgnc_symbol|CTNNA1|CTNNA1
refseq_dna|NM_004389|NM_004389	hgnc_symbol|CTNNA2|CTNNA2
refseq_dna|NM_001904|NM_001904	hgnc_symbol|CTNNB1|CTNNB1
refseq_dna|NM_001331|NM_001331	hgnc_symbol|CTNND1|CTNND1
refseq_dna|NM_001332|NM_001332	hgnc_symbol|CTNND2|CTNND2
refseq_dna|NM_001908|NM_001908	hgnc_symbol|CTSB|CTSB
refseq_dna|NM_001814|NM_001814	hgnc_symbol|CTSC|CTSC
refseq_dna|NM_001909|NM_001909	hgnc_symbol|CTSD|CTSD
refseq_dna|NM_003793|NM_003793	hgnc_symbol|CTSF|CTSF
refseq_dna|NM_000396|NM_000396	hgnc_symbol|CTSK|CTSK
refseq_dna|NM_001912|NM_001912	hgnc_symbol|CTSL1|CTSL1
refseq_dna|NM_004079|NM_004079	hgnc_symbol|CTSS|CTSS
refseq_dna|NM_001753|NM_001753	hgnc_symbol|CAV1|CAV1
refseq_dna|NM_001233|NM_001233	hgnc_symbol|CAV2|CAV2
refseq_dna|NM_001234|NM_001234	hgnc_symbol|CAV3|CAV3
refseq_dna|NM_004882|NM_004882	hgnc_symbol|CIR1|CIR1
refseq_dna|NM_006565|NM_006565	hgnc_symbol|CTCF|CTCF
refseq_dna|NM_014516|NM_014516	hgnc_symbol|CNOT3|CNOT3
refseq_dna|NM_000591|NM_000591	hgnc_symbol|CD14|CD14
refseq_dna|NM_006016|NM_006016	hgnc_symbol|CD164|CD164
refseq_dna|NM_006427|NM_006427	hgnc_symbol|SIVA1|SIVA1
refseq_dna|NM_001773|NM_001773	hgnc_symbol|CD34|CD34
refseq_dna|NM_000072|NM_000072	hgnc_symbol|CD36|CD36
refseq_dna|NM_000610|NM_000610	hgnc_symbol|CD44|CD44
refseq_dna|NM_001780|NM_001780	hgnc_symbol|CD63|CD63
refseq_dna|NM_001251|NM_001251	hgnc_symbol|CD68|CD68
refseq_dna|NM_000626|NM_000626	hgnc_symbol|CD79B|CD79B
refseq_dna|NM_004233|NM_004233	hgnc_symbol|CD83|CD83
refseq_dna|NM_001769|NM_001769	hgnc_symbol|CD9|CD9
refseq_dna|NM_003671|NM_003671	hgnc_symbol|CDC14B|CDC14B
refseq_dna|NM_001255|NM_001255	hgnc_symbol|CDC20|CDC20
refseq_dna|NM_007065|NM_007065	hgnc_symbol|CDC37|CDC37
refseq_dna|NM_004071|NM_004071	hgnc_symbol|CLK1|CLK1
refseq_dna|NM_003992|NM_003992	hgnc_symbol|CLK3|CLK3
refseq_dna|NM_020666|NM_020666	hgnc_symbol|CLK4|CLK4
refseq_dna|NM_016082|NM_016082	hgnc_symbol|CDK5RAP1|CDK5RAP1
refseq_dna|NM_018249|NM_018249	hgnc_symbol|CDK5RAP2|CDK5RAP2
refseq_dna|NM_003818|NM_003818	hgnc_symbol|CDS2|CDS2
refseq_dna|NM_015965|NM_015965	hgnc_symbol|NDUFA13|NDUFA13
refseq_dna|NM_001786|NM_001786	hgnc_symbol|CDK1|CDK1
refseq_dna|NM_004358|NM_004358	hgnc_symbol|CDC25B|CDC25B
refseq_dna|NM_044472|NM_044472	hgnc_symbol|CDC42|CDC42
refseq_dna|NM_006569|NM_006569	hgnc_symbol|CGREF1|CGREF1
refseq_dna|NM_005200|NM_005200	hgnc_symbol|SPG7|SPG7
refseq_dna|NM_018404|NM_018404	hgnc_symbol|ADAP2|ADAP2
refseq_dna|NM_014914|NM_014914	hgnc_symbol|AGAP1|AGAP1
refseq_dna|NM_004344|NM_004344	hgnc_symbol|CETN2|CETN2
refseq_dna|NM_004861|NM_004861	hgnc_symbol|GAL3ST1|GAL3ST1
refseq_dna|NM_015935|NM_015935	hgnc_symbol|METTL13|METTL13
refseq_dna|NM_015939|NM_015939	hgnc_symbol|TRMT6|TRMT6
refseq_dna|NM_016047|NM_016047
refseq_dna|NM_015942|NM_015942	hgnc_symbol|MTERFD1|MTERFD1
refseq_dna|NM_016062|NM_016062	hgnc_symbol|FAM96B|FAM96B
refseq_dna|NM_016068|NM_016068	hgnc_symbol|FIS1|FIS1
refseq_dna|NM_016074|NM_016074	hgnc_symbol|BOLA1|BOLA1
refseq_dna|NM_015949|NM_015949	hgnc_symbol|GET4|GET4
refseq_dna|NM_015999|NM_015999
refseq_dna|NM_016014|NM_016014	hgnc_symbol|FAM108B1|FAM108B1
refseq_dna|NM_016016|NM_016016	hgnc_symbol|SLC25A39|SLC25A39
hgnc_symbol|METTL9|METTL9
refseq_dna|NM_020247|NM_020247	hgnc_symbol|ADCK3|ADCK3
refseq_dna|NM_001762|NM_001762	hgnc_symbol|CCT6A|CCT6A
refseq_dna|NM_005283|NM_005283	hgnc_symbol|XCR1|XCR1
refseq_dna|NM_002986|NM_002986	hgnc_symbol|CCL11|CCL11
refseq_dna|NM_005408|NM_005408	hgnc_symbol|CCL13|CCL13
refseq_dna|NM_002988|NM_002988	hgnc_symbol|CCL18|CCL18
refseq_dna|NM_002989|NM_002989	hgnc_symbol|CCL21|CCL21
refseq_dna|NM_002990|NM_002990	hgnc_symbol|CCL22|CCL22
refseq_dna|NM_005624|NM_005624	hgnc_symbol|CCL25|CCL25
refseq_dna|NM_019846|NM_019846	hgnc_symbol|CCL28|CCL28
refseq_dna|NM_002985|NM_002985	hgnc_symbol|CCL5|CCL5
refseq_dna|NM_006273|NM_006273	hgnc_symbol|CCL7|CCL7
refseq_dna|NM_005623|NM_005623	hgnc_symbol|CCL8|CCL8
refseq_dna|NM_001295|NM_001295	hgnc_symbol|CCR1|CCR1
refseq_dna|NM_000647|NM_000647	hgnc_symbol|CCR2|CCR2
refseq_dna|NM_001837|NM_001837	hgnc_symbol|CCR3|CCR3
refseq_dna|NM_005508|NM_005508	hgnc_symbol|CCR4|CCR4
refseq_dna|NM_000579|NM_000579	hgnc_symbol|CCR5|CCR5
refseq_dna|NM_004367|NM_004367	hgnc_symbol|CCR6|CCR6
refseq_dna|NM_001838|NM_001838	hgnc_symbol|CCR7|CCR7
refseq_dna|NM_005201|NM_005201	hgnc_symbol|CCR8|CCR8
refseq_dna|NM_006641|NM_006641	hgnc_symbol|CCR9|CCR9
refseq_dna|NM_016557|NM_016557	hgnc_symbol|CCRL1|CCRL1
refseq_dna|NM_003965|NM_003965	hgnc_symbol|CCRL2|CCRL2
refseq_dna|NM_001337|NM_001337	hgnc_symbol|CX3CR1|CX3CR1
refseq_dna|NM_001511|NM_001511	hgnc_symbol|CXCL1|CXCL1
refseq_dna|NM_001565|NM_001565	hgnc_symbol|CXCL10|CXCL10
refseq_dna|NM_005409|NM_005409	hgnc_symbol|CXCL11|CXCL11
refseq_dna|NM_000609|NM_000609	hgnc_symbol|CXCL12|CXCL12
refseq_dna|NM_002416|NM_002416	hgnc_symbol|CXCL9|CXCL9
refseq_dna|NM_001504|NM_001504	hgnc_symbol|CXCR3|CXCR3
refseq_dna|NM_003467|NM_003467	hgnc_symbol|CXCR4|CXCR4
refseq_dna|NM_006564|NM_006564	hgnc_symbol|CXCR6|CXCR6
refseq_dna|NM_001296|NM_001296	hgnc_symbol|CCBP2|CCBP2
refseq_dna|NM_004072|NM_004072	hgnc_symbol|CMKLR1|CMKLR1
refseq_dna|NM_003465|NM_003465	hgnc_symbol|CHIT1|CHIT1
refseq_dna|NM_004000|NM_004000	hgnc_symbol|CHI3L2|CHI3L2
refseq_dna|NM_007194|NM_007194	hgnc_symbol|CHEK2|CHEK2
refseq_dna|NM_000083|NM_000083	hgnc_symbol|CLCN1|CLCN1
refseq_dna|NM_004366|NM_004366	hgnc_symbol|CLCN2|CLCN2
refseq_dna|NM_001829|NM_001829	hgnc_symbol|CLCN3|CLCN3
refseq_dna|NM_001830|NM_001830	hgnc_symbol|CLCN4|CLCN4
refseq_dna|NM_000084|NM_000084	hgnc_symbol|CLCN5|CLCN5
refseq_dna|NM_001286|NM_001286	hgnc_symbol|CLCN6|CLCN6
refseq_dna|NM_000085|NM_000085	hgnc_symbol|CLCNKB|CLCNKB
refseq_dna|NM_001285|NM_001285	hgnc_symbol|CLCA1|CLCA1
refseq_dna|NM_006536|NM_006536	hgnc_symbol|CLCA2|CLCA2
refseq_dna|NM_004921|NM_004921	hgnc_symbol|CLCA3P|CLCA3P
refseq_dna|NM_004921|NM_004921	hgnc_symbol|CLCA3P|CLCA3P
refseq_dna|NM_012128|NM_012128	hgnc_symbol|CLCA4|CLCA4
refseq_dna|NM_001288|NM_001288	hgnc_symbol|CLIC1|CLIC1
refseq_dna|NM_001289|NM_001289	hgnc_symbol|CLIC2|CLIC2
refseq_dna|NM_004669|NM_004669	hgnc_symbol|CLIC3|CLIC3
refseq_dna|NM_013943|NM_013943	hgnc_symbol|CLIC4|CLIC4
refseq_dna|NM_016929|NM_016929	hgnc_symbol|CLIC5|CLIC5
refseq_dna|NM_000740|NM_000740	hgnc_symbol|CHRM3|CHRM3
refseq_dna|NM_000080|NM_000080	hgnc_symbol|CHRNE|CHRNE
refseq_dna|NM_005199|NM_005199	hgnc_symbol|CHRNG|CHRNG
refseq_dna|NM_001267|NM_001267	hgnc_symbol|CHAD|CHAD
refseq_dna|NM_004385|NM_004385	hgnc_symbol|VCAN|VCAN
refseq_dna|NM_005441|NM_005441	hgnc_symbol|CHAF1B|CHAF1B
refseq_dna|NM_012117|NM_012117	hgnc_symbol|CBX5|CBX5
refseq_dna|NM_001275|NM_001275	hgnc_symbol|CHGA|CHGA
refseq_dna|NM_052965|NM_052965	hgnc_symbol|TSEN15|TSEN15
refseq_dna|NM_052966|NM_052966	hgnc_symbol|FAM129A|FAM129A
refseq_dna|NM_024319|NM_024319	hgnc_symbol|C1orf35|C1orf35
refseq_dna|NM_004872|NM_004872	hgnc_symbol|TMEM59|TMEM59
refseq_dna|NM_020154|NM_020154
refseq_dna|NM_014206|NM_014206	hgnc_symbol|TMEM258|TMEM258
refseq_dna|NM_020645|NM_020645	hgnc_symbol|NRIP3|NRIP3
refseq_dna|NM_020642|NM_020642	hgnc_symbol|AKIP1|AKIP1
refseq_dna|NM_020373|NM_020373	hgnc_symbol|ANO2|ANO2
refseq_dna|NM_006817|NM_006817	hgnc_symbol|ERP29|ERP29
refseq_dna|NM_018185|NM_018185	hgnc_symbol|DCUN1D2|DCUN1D2
refseq_dna|NM_018185|NM_018185	hgnc_symbol|DCUN1D2|DCUN1D2
refseq_dna|NM_025113|NM_025113	hgnc_symbol|KIAA0226L|KIAA0226L
refseq_dna|NM_017630|NM_017630	hgnc_symbol|NA|NA
refseq_dna|NM_017926|NM_017926	hgnc_symbol|GPATCH2L|GPATCH2L
refseq_dna|NM_022067|NM_022067	hgnc_symbol|VIPAS39|VIPAS39
refseq_dna|NM_024633|NM_024633	hgnc_symbol|LINC00341|LINC00341
refseq_dna|NM_024643|NM_024643	hgnc_symbol|ZC2HC1C|ZC2HC1C
refseq_dna|NM_016106|NM_016106	hgnc_symbol|SCFD1|SCFD1
refseq_dna|NM_004894|NM_004894	hgnc_symbol|C14orf2|C14orf2
refseq_dna|NM_017791|NM_017791	hgnc_symbol|FLVCR2|FLVCR2
hgnc_symbol|NA|NA
refseq_dna|NM_017575|NM_017575	hgnc_symbol|SMG6|SMG6
refseq_dna|NM_004338|NM_004338	hgnc_symbol|LDLRAD4|LDLRAD4
hgnc_symbol|DDRGK1|DDRGK1
refseq_dna|NM_033421|NM_033421	hgnc_symbol|SNX21|SNX21
refseq_dna|NM_018270|NM_018270	hgnc_symbol|MRGBP|MRGBP
refseq_dna|NM_020356|NM_020356	hgnc_symbol|CASS4|CASS4
refseq_dna|NM_017671|NM_017671	hgnc_symbol|FERMT1|FERMT1
refseq_dna|NM_018354|NM_018354	hgnc_symbol|TMEM74B|TMEM74B
refseq_dna|NM_021158|NM_021158	hgnc_symbol|TRIB3|TRIB3
refseq_dna|NM_004928|NM_004928	hgnc_symbol|C21orf2|C21orf2
refseq_dna|NM_004649|NM_004649	hgnc_symbol|C21orf33|C21orf33
hgnc_symbol|POFUT2|POFUT2
refseq_dna|NM_021941|NM_021941	hgnc_symbol|PDXK|PDXK
refseq_dna|NM_012265|NM_012265	hgnc_symbol|RHBDD3|RHBDD3
refseq_dna|NM_016604|NM_016604	hgnc_symbol|KDM3B|KDM3B
refseq_dna|NM_017633|NM_017633	hgnc_symbol|FAM46A|FAM46A
refseq_dna|NM_022107|NM_022107	hgnc_symbol|GPSM3|GPSM3
hgnc_symbol|NOM1|NOM1
refseq_dna|NM_018956|NM_018956	hgnc_symbol|C9orf9|C9orf9
refseq_dna|NM_022346|NM_022346
refseq_dna|NM_014865|NM_014865	hgnc_symbol|NCAPD2|NCAPD2
refseq_dna|NM_003492|NM_003492	hgnc_symbol|TMEM187|TMEM187
refseq_dna|NM_001586|NM_001586	hgnc_symbol|SLITRK2|SLITRK2
refseq_dna|NM_005491|NM_005491	hgnc_symbol|MAMLD1|MAMLD1
refseq_dna|NM_007272|NM_007272	hgnc_symbol|CTRC|CTRC
refseq_dna|NM_001835|NM_001835	hgnc_symbol|CLTCL1|CLTCL1
refseq_dna|NM_001833|NM_001833	hgnc_symbol|CLTA|CLTA
refseq_dna|NM_001834|NM_001834	hgnc_symbol|CLTB|CLTB
refseq_dna|NM_001834|NM_001834	hgnc_symbol|CLTB|CLTB
refseq_dna|NM_012130|NM_012130	hgnc_symbol|CLDN14|CLDN14
refseq_dna|NM_003277|NM_003277	hgnc_symbol|CLDN5|CLDN5
refseq_dna|NM_006693|NM_006693	hgnc_symbol|CPSF4|CPSF4
refseq_dna|NM_001831|NM_001831	hgnc_symbol|CLU|CLU
refseq_dna|NM_000506|NM_000506	hgnc_symbol|F2|F2
refseq_dna|NM_001992|NM_001992	hgnc_symbol|F2R|F2R
refseq_dna|NM_003950|NM_003950	hgnc_symbol|F2RL3|F2RL3
refseq_dna|NM_001993|NM_001993	hgnc_symbol|F3|F3
refseq_dna|NM_000133|NM_000133	hgnc_symbol|F9|F9
refseq_dna|NM_000132|NM_000132	hgnc_symbol|F8|F8
refseq_dna|NM_000505|NM_000505	hgnc_symbol|F12|F12
refseq_dna|NM_000129|NM_000129	hgnc_symbol|F13A1|F13A1
refseq_dna|NM_001994|NM_001994	hgnc_symbol|F13B|F13B
refseq_dna|NM_016451|NM_016451	hgnc_symbol|COPB1|COPB1
refseq_dna|NM_016429|NM_016429	hgnc_symbol|COPZ2|COPZ2
refseq_dna|NM_016429|NM_016429	hgnc_symbol|COPZ2|COPZ2
refseq_dna|NM_000082|NM_000082	hgnc_symbol|ERCC8|ERCC8
refseq_dna|NM_004831|NM_004831	hgnc_symbol|MED26|MED26
refseq_dna|NM_005507|NM_005507	hgnc_symbol|CFL1|CFL1
refseq_dna|NM_000088|NM_000088	hgnc_symbol|COL1A1|COL1A1
refseq_dna|NM_000089|NM_000089	hgnc_symbol|COL1A2|COL1A2
refseq_dna|NM_001844|NM_001844	hgnc_symbol|COL2A1|COL2A1
refseq_dna|NM_000090|NM_000090	hgnc_symbol|COL3A1|COL3A1
refseq_dna|NM_001845|NM_001845	hgnc_symbol|COL4A1|COL4A1
refseq_dna|NM_000091|NM_000091	hgnc_symbol|COL4A3|COL4A3
refseq_dna|NM_005713|NM_005713	hgnc_symbol|COL4A3BP|COL4A3BP
refseq_dna|NM_000092|NM_000092	hgnc_symbol|COL4A4|COL4A4
refseq_dna|NM_000495|NM_000495	hgnc_symbol|COL4A5|COL4A5
refseq_dna|NM_000495|NM_000495	hgnc_symbol|COL4A5|COL4A5
refseq_dna|NM_000495|NM_000495	hgnc_symbol|COL4A5|COL4A5
refseq_dna|NM_001847|NM_001847	hgnc_symbol|COL4A6|COL4A6
refseq_dna|NM_001847|NM_001847	hgnc_symbol|COL4A6|COL4A6
refseq_dna|NM_001853|NM_001853	hgnc_symbol|COL9A3|COL9A3
refseq_dna|NM_001848|NM_001848	hgnc_symbol|COL6A1|COL6A1
refseq_dna|NM_001849|NM_001849	hgnc_symbol|COL6A2|COL6A2
refseq_dna|NM_004369|NM_004369	hgnc_symbol|COL6A3|COL6A3
refseq_dna|NM_080679|NM_080679	hgnc_symbol|COL11A2|COL11A2
refseq_dna|NM_004370|NM_004370	hgnc_symbol|COL12A1|COL12A1
refseq_dna|NM_080815|NM_080815	hgnc_symbol|COL13A1|COL13A1
refseq_dna|NM_001855|NM_001855	hgnc_symbol|COL15A1|COL15A1
refseq_dna|NM_030582|NM_030582	hgnc_symbol|COL18A1|COL18A1
refseq_dna|NM_000757|NM_000757	hgnc_symbol|CSF1|CSF1
refseq_dna|NM_005211|NM_005211	hgnc_symbol|CSF1R|CSF1R
refseq_dna|NM_000758|NM_000758	hgnc_symbol|CSF2|CSF2
refseq_dna|NM_000573|NM_000573	hgnc_symbol|CR1|CR1
refseq_dna|NM_000491|NM_000491	hgnc_symbol|C1QB|C1QB
refseq_dna|NM_001733|NM_001733	hgnc_symbol|C1R|C1R
refseq_dna|NM_000064|NM_000064	hgnc_symbol|C3|C3
refseq_dna|NM_007293|NM_007293	hgnc_symbol|C4A|C4A
refseq_dna|NM_000065|NM_000065	hgnc_symbol|C6|C6
refseq_dna|NM_000587|NM_000587	hgnc_symbol|C7|C7
refseq_dna|NM_000562|NM_000562	hgnc_symbol|C8A|C8A
refseq_dna|NM_153603|NM_153603	hgnc_symbol|COG7|COG7
refseq_dna|NM_001901|NM_001901	hgnc_symbol|CTGF|CTGF
refseq_dna|NM_006314|NM_006314	hgnc_symbol|CNKSR1|CNKSR1
refseq_dna|NM_020660|NM_020660	hgnc_symbol|GJD2|GJD2
refseq_dna|NM_014461|NM_014461	hgnc_symbol|CNTN6|CNTN6
refseq_dna|NM_016319|NM_016319	hgnc_symbol|COPS7A|COPS7A
refseq_dna|NM_006032|NM_006032	hgnc_symbol|CPNE6|CPNE6
refseq_dna|NM_005125|NM_005125	hgnc_symbol|CCS|CCS
refseq_dna|NM_007074|NM_007074	hgnc_symbol|CORO1A|CORO1A
refseq_dna|NM_003389|NM_003389	hgnc_symbol|CORO2A|CORO2A
refseq_dna|NM_000756|NM_000756	hgnc_symbol|CRH|CRH
refseq_dna|NM_004375|NM_004375	hgnc_symbol|COX11|COX11
refseq_dna|NM_005694|NM_005694	hgnc_symbol|COX17|COX17
refseq_dna|NM_006324|NM_006324	hgnc_symbol|CFDP1|CFDP1
refseq_dna|NM_001825|NM_001825	hgnc_symbol|CKMT2|CKMT2
refseq_dna|NM_001824|NM_001824	hgnc_symbol|CKM|CKM
refseq_dna|NM_014335|NM_014335	hgnc_symbol|EID1|EID1
refseq_dna|NM_016652|NM_016652	hgnc_symbol|CRNKL1|CRNKL1
refseq_dna|NM_001885|NM_001885	hgnc_symbol|CRYAB|CRYAB
refseq_dna|NM_005208|NM_005208	hgnc_symbol|CRYBA1|CRYBA1
refseq_dna|NM_001887|NM_001887	hgnc_symbol|CRYBB1|CRYBB1
refseq_dna|NM_020989|NM_020989	hgnc_symbol|CRYGC|CRYGC
refseq_dna|NM_006891|NM_006891	hgnc_symbol|CRYGD|CRYGD
refseq_dna|NM_001888|NM_001888	hgnc_symbol|CRYM|CRYM
refseq_dna|NM_001889|NM_001889	hgnc_symbol|CRYZ|CRYZ
refseq_dna|NM_004383|NM_004383	hgnc_symbol|CSK|CSK
refseq_dna|NM_022663|NM_022663
refseq_dna|NM_001328|NM_001328	hgnc_symbol|CTBP1|CTBP1
hgnc_symbol|NOS1AP|NOS1AP
refseq_dna|NM_020428|NM_020428	hgnc_symbol|SLC44A2|SLC44A2
refseq_dna|NM_005127|NM_005127	hgnc_symbol|CLEC2B|CLEC2B
refseq_dna|NM_016509|NM_016509
refseq_dna|NM_006561|NM_006561	hgnc_symbol|CELF2|CELF2
refseq_dna|NM_003591|NM_003591	hgnc_symbol|CUL2|CUL2
refseq_dna|NM_016300|NM_016300	hgnc_symbol|ARPP21|ARPP21
refseq_dna|NM_000087|NM_000087	hgnc_symbol|CNGA1|CNGA1
refseq_dna|NM_001297|NM_001297	hgnc_symbol|CNGB1|CNGB1
refseq_dna|NM_003914|NM_003914	hgnc_symbol|CCNA1|CCNA1
refseq_dna|NM_004701|NM_004701	hgnc_symbol|CCNB2|CCNB2
refseq_dna|NM_005190|NM_005190	hgnc_symbol|CCNC|CCNC
refseq_dna|NM_021145|NM_021145	hgnc_symbol|DMTF1|DMTF1
refseq_dna|NM_001759|NM_001759	hgnc_symbol|CCND2|CCND2
refseq_dna|NM_001760|NM_001760	hgnc_symbol|CCND3|CCND3
refseq_dna|NM_005255|NM_005255	hgnc_symbol|GAK|GAK
refseq_dna|NM_004060|NM_004060	hgnc_symbol|CCNG1|CCNG1
refseq_dna|NM_004354|NM_004354	hgnc_symbol|CCNG2|CCNG2
refseq_dna|NM_006835|NM_006835	hgnc_symbol|CCNI|CCNI
refseq_dna|NM_020348|NM_020348	hgnc_symbol|CNNM1|CNNM1
refseq_dna|NM_003936|NM_003936	hgnc_symbol|CDK5R2|CDK5R2
refseq_dna|NM_000389|NM_000389	hgnc_symbol|CDKN1A|CDKN1A
refseq_dna|NM_000076|NM_000076	hgnc_symbol|CDKN1C|CDKN1C
refseq_dna|NM_015247|NM_015247	hgnc_symbol|CYLD|CYLD
refseq_dna|NM_000100|NM_000100	hgnc_symbol|CSTB|CSTB
refseq_dna|NM_000099|NM_000099	hgnc_symbol|CST3|CST3
refseq_dna|NM_003476|NM_003476	hgnc_symbol|CSRP3|CSRP3
refseq_dna|NM_016441|NM_016441	hgnc_symbol|CRIM1|CRIM1
refseq_dna|NM_001311|NM_001311	hgnc_symbol|CRIP1|CRIP1
refseq_dna|NM_001554|NM_001554	hgnc_symbol|CYR61|CYR61
refseq_dna|NM_004937|NM_004937	hgnc_symbol|CTNS|CTNS
refseq_dna|NM_000101|NM_000101	hgnc_symbol|CYBA|CYBA
refseq_dna|NM_000397|NM_000397	hgnc_symbol|CYBB|CYBB
refseq_dna|NM_001914|NM_001914	hgnc_symbol|CYB5A|CYB5A
refseq_dna|NM_001861|NM_001861	hgnc_symbol|COX4I1|COX4I1
refseq_dna|NM_004255|NM_004255	hgnc_symbol|COX5A|COX5A
refseq_dna|NM_001862|NM_001862	hgnc_symbol|COX5B|COX5B
refseq_dna|NM_001864|NM_001864	hgnc_symbol|COX7A1|COX7A1
refseq_dna|NM_001866|NM_001866	hgnc_symbol|COX7B|COX7B

