Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	GenBank	Gene	Localization	Description	Function
206830_at	U133A	1.7	2	2.3	NM_022058.1	SLC4A10	2q23-q24	solute carrier family 4, sodium bicarbonate transporter-like, member 10	Metabolism
207184_at	U133A	1.6	1.7	1.9	NM_016615.1	SLC6A13	12p13.3	solute carrier family 6 (neurotransmitter transporter, GABA), member 13	Metabolism
213843_x_at	U133A	1.8	2.5	2.4	AW276522	SLC6A8	Xq28	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	Metabolism
220463_at	U133A	1.5	1.8	1.7	NM_024971.1	TRPM3	9q21.11	transient receptor potential cation channel, subfamily M, member 3	Metabolism
219632_s_at	U133A	1.5	1.7	2	AF196175.1	TRPV1	17p13.3	transient receptor potential cation channel, subfamily V, member 1	Metabolism
204255_s_at	U133A	1.6	1.8	1.9	NM_000376.1	VDR	12q12-q14	vitamin D (1,25- dihydroxyvitamin D3) receptor	Metabolism
203864_s_at	U133A	1.6	1.9	2.2	NM_001112.1	ADARB1	21q22.3	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)	Nuclear functions
220671_at	U133A	1.6	1.8	1.8	NM_012118.1	CCRN4L	19	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	Nuclear functions
209383_at	U133A	1.6	1.9	1.9	BC003637.1	DDIT3	12q13.1-q13.2	DNA-damage-inducible transcript 3	Nuclear functions
208382_s_at	U133A	1.5	1.7	1.8	D63882.1	DMC1	22q13.1	DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination	Nuclear functions
217264_s_at	U133A	2.1	2.9	3.1	U81961	ELF3	1q32.2	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	Nuclear functions
204667_at	U133A	1.7	1.9	2.1	NM_004496.1	FOXA1	14q12-q13	forkhead box A1	Nuclear functions
206377_at	U133A	1.8	2	2.2	NM_001452.1	FOXF2	6p25.3	forkhead box F2	Nuclear functions
213826_s_at	U133A	1.6	1.8	2.4	AA292281	H3F3A	1q41	H3 histone, family 3A	Nuclear functions
218279_s_at	U133A	1.8	2.4	3.2	BC001629.1	HIST2H2AA	1q21.2	histone 2, H2aa	Nuclear functions
208025_s_at	U133A	1.6	1.9	1.9	NM_003483.2	HMGA2	12q15	high mobility group AT-hook 2	Nuclear functions
214379_at	U133A	1.9	2.6	3.1	AI954458	HNRPDL	4q13-q21	heterogeneous nuclear ribonucleoprotein D-like	Nuclear functions
208557_at	U133A	1.5	1.8	1.9	NM_024014.1	HOXA6	7p15-p14	homeo box A6	Nuclear functions
205318_at	U133A	1.6	1.6	1.7	NM_004984.1	KIF5A	12q13	kinesin family member 5A	Nuclear functions
226646_at	U133B	1.7	1.9	2.4	AI831932	KLF2	19p13.13-p13.11	Kruppel-like factor 2 (lung)	Nuclear functions
214213_x_at	U133A	2.1	2.5	2.5	AA063189	LMNA	1q21.2-q21.3	lamin A/C	Nuclear functions
203003_at	U133A	1.8	2.2	2.5	AL530331	MEF2D	1q12-q23	MADS box transcription enhancer factor 2, polypeptide D (myocyte enhancer factor 2D)	Nuclear functions
207233_s_at	U133A	1.6	1.7	1.8	NM_000248.1	MITF	3p14.1-p12.3	microphthalmia-associated transcription factor	Nuclear functions
202247_s_at	U133A	2	2.7	2.7	BE561596	MTA1	14q32.3	metastasis associated 1	Nuclear functions
235047_x_at	U133B	1.6	1.8	1.8	BE408145	NAC1	19p13.12	transcriptional repressor NAC1	Nuclear functions
210271_at	U133A	1.5	1.7	1.8	AB021742.1	NEUROD2	17p13.1	neurogenic differentiation 2	Nuclear functions
200874_s_at	U133A	1.8	2.4	2.7	BE796327	NOL5A	20p13	nucleolar protein 5A (56kDa with KKE/D repeat)	Nuclear functions
210226_at	U133A	2	2.1	2.1	D85245.1	NR4A1	12q13	nuclear receptor subfamily 4, group A, member 1	Nuclear functions
205660_at	U133A	1.6	1.8	2.1	NM_003733.1	OASL	12q24.2	2-5-oligoadenylate synthetase-like	Nuclear functions
211097_s_at	U133A	1.5	1.8	1.8	BC003111.1	PBX2	6p21.3	pre-B-cell leukemia transcription factor 2	Nuclear functions
40446_at	U133A	1.6	2	2.2	AL021366	PHF1	6p21.3	PHD finger protein 1	Nuclear functions
211014_s_at	U133A	1.6	1.9	1.9	AF230410.1	PML	15q22	promyelocytic leukemia	Nuclear functions
211660_at	U133A	1.7	2.1	2.3	M36653.1	POU2F2	19q13.2	POU domain, class 2, transcription factor 2	Nuclear functions
201785_at	U133A	2.1	2.7	2.7	NM_002933.1	RNASE1	14q11.1	ribonuclease, RNase A family, 1 (pancreatic)	Nuclear functions
212430_at	U133A	1.5	1.8	2	AL109955	RNPC1	20q13.31	RNA-binding region (RNP1, RRM) containing 1	Nuclear functions
214698_at	U133A	1.8	2.1	2.2	AW190873	ROD1	9q32	ROD1 regulator of differentiation 1 (S. pombe)	Nuclear functions
204104_at	U133A	1.9	2.2	2.6	NM_003083.1	SNAPC2	19p13.3-p13.2	small nuclear RNA activating complex, polypeptide 2, 45kDa	Nuclear functions
204432_at	U133A	1.8	1.8	2.1	NM_006943.1	SOX12	20p13	SRY (sex determining region Y)-box 12	Nuclear functions
217040_x_at	U133A	1.9	2.5	2.6	AB025355	SOX15	17p13	SRY (sex determining region Y)-box 15	Nuclear functions
206546_at	U133A	2	3.3	5	NM_014258.1	SYCP2	20q13.33	synaptonemal complex protein 2	Nuclear functions
204287_at	U133A	1.7	1.7	1.9	NM_004711.1	SYNGR1	22q13.1	synaptogyrin 1	Nuclear functions
215511_at	U133A	1.5	1.8	1.7	U19345.1	TCF20	22q13.3	transcription factor 20 (AR1)	Nuclear functions
221680_s_at	U133A	1.8	2.3	2.6	AF147782.1	TEL2	6p21	transcription factor ets	Nuclear functions
AFFX-r2-Ec-bioB-5_at	U133B	2.5	2	1.7	J04423				Others
AFFX-r2-Ec-bioB-5_at	U133B	2.5	2	1.7	J04423				Others
216927_at	U133A	2.4	3.1	3.2	AC_003030				Others
202615_at	U133A	2.4	2.7	4	BF222895	---	---	Homo sapiens mRNA; cDNA DKFZp686D0521 (from clone DKFZp686D0521)	Others
215674_at	U133A	2.2	2.2	2.5	AB051446.1				Others
237013_at	U133B	2.2	2.3	2.3	BF116038	---	---	ESTs	Others
213788_s_at	U133A	2.1	2.2	2.2	AI701156	---	---	Homo sapiens clone 23718 mRNA sequence	Others
217081_at	U133A	2.1	2	2.1	AL031983				Others
221419_s_at	U133A	2	3.1	3	NM_013307.1				Others
216051_x_at	U133A	2	2.6	2.9	AK022045.1	---	---	Homo sapiens cDNA FLJ11983 fis, clone HEMBB1001337.	Others
43511_s_at	U133A	2	2.6	2.8	AI201594	---	---	Homo sapiens mRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	Others
216377_x_at	U133A	2	2.3	2.5	X07247				Others
216647_at	U133A	1.9	2.4	2.9	AL117663.1	---	---	Homo sapiens mRNA; cDNA DKFZp586L1824 (from clone DKFZp586L1824)	Others
215811_at	U133A	1.9	2	2.3	AF238870.1	---	---	Homo sapiens clone GLSH-3 similar to gliadin mRNA sequence	Others
216816_at	U133A	1.9	2	2	AL050335	---	---	---	Others
AFFX-r2-P1-cre-5_at	U133A	1.9	1.9	1.5	X03453	---	---	---	Others
AFFX-r2-P1-cre-5_at	U133A	1.9	1.9	1.5	X03453	---	---	---	Others
216444_at	U133A	1.9	2	2	AK024138.1	---	---	Homo sapiens cDNA FLJ14076 fis, clone HEMBB1001925.	Others
221717_at	U133A	1.8	2.2	2.2	L25664.1	---	---	---	Others
237187_at	U133B	1.8	2.1	2	AW665665	---	---	ESTs	Others
216658_at	U133A	1.8	2.2	2.4	AK000185.1	---	---	Homo sapiens cDNA FLJ20178 fis, clone COL09990	Others
214798_at	U133A	1.8	2.1	2	AW291664	---	---	Homo sapiens mRNA; cDNA DKFZp434L231 (from clone DKFZp434L231)	Others
229465_s_at	U133B	1.8	2.1	2	BF433071	---	---	ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	Others
217224_at	U133A	1.8	1.9	2.2	U53583				Others
217637_at	U133A	1.8	2.1	2	R25692	---	---	Homo sapiens cDNA FLJ30824 fis, clone FEBRA2001698	Others
214610_at	U133A	1.8	2	2.2	AV702430	---	---	Homo sapiens cDNA FLJ36771 fis.	Others
216722_at	U133A	1.8	2.1	2.3	AF164963.1	---	---	Homo sapiens tumor antigen NA88-A pseudogene, complete sequence	Others
238871_at	U133B	1.8	1.8	2	AI086124	---	---	Homo sapiens cDNA FLJ31127 fis, clone IMR322000859	Others
216993_s_at	U133A	1.7	2	2.3	U32169	---	---	---	Others
215860_at	U133A	1.7	2	2.1	AK024381.1	---	---	---	Others
237925_at	U133B	1.7	1.8	2	BE502965	---	---	ESTs	Others
216437_at	U133A	1.7	1.9	2.2	AK024949.1	---	---	Homo sapiens cDNA: FLJ21296 fis, clone COL02029.	Others
214335_at	U133A	1.7	1.9	2	AI669349	---	---	Homo sapiens cDNA FLJ33938 fis, clone CTONG2017998.	Others
216595_at	U133A	1.7	1.7	1.9	AL049983.1	---	---	Homo sapiens mRNA; cDNA DKFZp564D042 (from clone DKFZp564D042)	Others
215226_at	U133A	1.7	2.1	2	AK000786.1	---	---	Homo sapiens cDNA FLJ20779 fis, clone COL05077.	Others
215993_at	U133A	1.7	1.9	1.7	AF070543.1	---	---	Homo sapiens clone 24740 mRNA sequence	Others
222356_at	U133A	1.7	1.8	1.8	AW974910	---	---	ESTs	Others
215756_at	U133A	1.7	1.7	1.7	AU153979	---	---	Homo sapiens cDNA FLJ14231 fis, clone NT2RP3004470	Others
217490_at	U133A	1.7	1.8	1.9	AL049301.1	---	---	Homo sapiens mRNA; cDNA DKFZp564P073 (from clone DKFZp564P073)	Others
242793_at	U133B	1.7	2.2	2	BG542645	---	---	ESTs	Others
221176_x_at	U133A	1.7	2.2	2	NM_025042.1	---	---	---	Others
237287_at	U133B	1.7	1.9	2.2	AW450386	---	---	ESTs	Others
214915_at	U133A	1.7	2.2	2.3	AK021842.1	---	---	Homo sapiens cDNA FLJ11780 fis, clone HEMBA1005931.	Others
216142_at	U133A	1.7	2.2	2.7	AL137403.1	---	---	Homo sapiens mRNA; cDNA DKFZp434L092 (from clone DKFZp434L092)	Others
215583_at	U133A	1.7	2.2	2.8	AU148184	---	---	Homo sapiens cDNA FLJ12403 fis, clone MAMMA1002820.	Others
220897_at	U133A	1.7	1.9	1.8	NM_024964.1	---	---	---	Others
243576_at	U133B	1.7	1.9	2.1	BF732484	---	---	ESTs	Others
216372_at	U133A	1.7	1.8	1.8	AF103295.1	---	---	---	Others
215479_at	U133A	1.7	1.8	1.9	AK000787.1	---	---	Homo sapiens cDNA FLJ20780 fis, clone COL04256.	Others
211096_at	U133A	1.7	2	2.4	BC003111.1				Others
51226_at	U133A	1.6	2	2	N53536	---	---	Homo sapiens, Similar to RIKEN cDNA 3000004N20 gene.	Others
216363_at	U133A	1.6	2	2.1	S73614.1				Others
210703_at	U133A	1.6	1.7	2.2	AF132204.1	---	---	Homo sapiens PRO2259 mRNA, complete cds	Others
235317_at	U133B	1.6	2.2	2.1	AW975045	---	---	Homo sapiens mRNA; cDNA DKFZp686D0720 (from clone DKFZp686D0720)	Others
215126_at	U133A	1.6	1.8	1.9	AL109716.2	---	---	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 208948.	Others
236673_at	U133B	1.6	2	2	AI554057	---	---	ESTs	Others
213386_at	U133A	1.6	1.9	1.9	AV726900	---	---	Homo sapiens cDNA FLJ37094 fis, clone BRACE2018337	Others
216739_at	U133A	1.6	1.9	2	AK024527.1	---	---	Homo sapiens cDNA: FLJ20874 fis, clone ADKA02818	Others
238404_x_at	U133B	1.6	2.1	2	BF316510	---	---	ESTs, Moderately similar to type I transmembrane receptor (seizure-related protein)	Others
215787_at	U133A	1.6	1.8	1.8	AK025094.1	---	---	Homo sapiens cDNA: FLJ21441 fis, clone COL04422	Others
236111_at	U133B	1.6	1.8	2	BE219874	---	---	Homo sapiens, clone IMAGE:4796019, mRNA	Others
222301_at	U133A	1.6	1.9	2.1	BF530257	---	---	Homo sapiens, clone IMAGE:5297753, mRNA	Others
238359_at	U133B	1.6	2.3	2.4	BE786383	---	---	Homo sapiens cDNA FLJ33616 fis, clone BRAMY2018785	Others
237370_at	U133B	1.6	1.9	1.9	AW452551	---	---	ESTs	Others
222381_at	U133A	1.6	1.8	1.8	AI907083	---	---	ESTs	Others
216770_at	U133A	1.6	1.9	1.9	AK025325.1	---	---	Homo sapiens cDNA: FLJ21672 fis, clone COL09025.	Others
216164_at	U133A	1.6	2	2.3	AK024867.1	---	---	Homo sapiens cDNA: FLJ21214 fis, clone COL00523.	Others
222318_at	U133A	1.6	2.1	2.2	AI744673	---	---	ESTs	Others
234789_at	U133B	1.6	2	1.8	AK022113.1	---	---	Homo sapiens cDNA FLJ12051 fis, clone HEMBB1002005	Others
240501_at	U133B	1.6	1.6	1.7	BE217929	---	---	ESTs	Others
207593_at	U133B	1.6	1.6	1.8	AK023395.1	---	---	---	Others
216716_at	U133B	1.6	1.7	1.9	BE143535	---	---	Homo sapiens cDNA FLJ11954 fis, clone HEMBB1000888	Others
211004_s_at	U133A	1.6	1.8	1.7	AU144900	---	---	Homo sapiens cDNA FLJ10146 fis, clone HEMBA1003327	Others
233282_at	U133B	1.5	1.7	1.7	AL133656.1	---	---	Homo sapiens mRNA; cDNA DKFZp434O2017 (from clone DKFZp434O2017)	Others
232471_at	U133B	1.5	1.6	1.6	AI742434	---	---	Homo sapiens mRNA; cDNA DKFZp761L0723 (from clone DKFZp761L0723)	Others
215557_at	U133A	1.5	1.9	2.3	AW301806	---	---	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	Others
233511_at	U133B	1.5	1.5	1.7	AA478981	---	---	ESTs	Others
227909_at	U133A	1.5	1.7	1.9	AU147799	---	---	Homo sapiens cDNA FLJ12280 fis, clone MAMMA1001744.	Others
217580_x_at	U133B	1.5	1.7	1.8	AA032156	---	---	Homo sapiens cDNA FLJ32184 fis, clone PLACE6001923	Others
239502_at	U133A	1.5	1.6	1.8	AW007988	---	---	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	Others
213909_at	U133A	1.5	1.8	1.9	AI921841	---	---	ESTs	Others
243017_at	U133B	1.5	1.7	1.7	AI939547	---	---	ESTs	Others
217618_x_at	U133A	1.5	1.8	1.9	AF336878.1	---	---	---	Others
222367_at	U133B	1.5	1.8	1.7	T15748	---	---	ESTs	Others
243004_at	U133B	1.5	1.9	2.2	AW341794	---	---	ESTs	Others
211454_x_at	U133B	1.5	1.7	1.7	AL359560.1	---	---	---	Others
239837_at	U133B	1.5	1.6	1.5	X04603	---	---	---	Others
236508_at	U133A	1.5	1.7	2	AC_005587	---	---	Homo sapiens, clone MGC:41943 IMAGE:5296763, mRNA, complete cds	Others
233761_at	U133A	1.5	1.6	1.8	AF209975.1				Others
AFFX-r2-Bs-thr-5_s_at	U133A	1.5	1.9	2	AL390143.1	---	---	Homo sapiens mRNA; cDNA DKFZp547N074 (from clone DKFZp547N074)	Others
215549_x_at	U133B	1.5	1.8	1.7	AF339829.1				Others
217293_at	U133A	1.5	1.7	1.7	AW340588	---	---	Homo sapiens mRNA; cDNA	Others
215062_at	U133B	1.5	1.6	1.5	X04603				Others
233372_at	U133A	1.5	2	2	AK025065.1	---	---	Homo sapiens cDNA: FLJ21412 fis, clone COL03987.	Others
214180_at	U133A	1.7	2	2.1	R77097	7h3	19p13.11	hypothetical protein FLJ13511	Others
202002_at	U133A	1.7	2	2.2	NM_001612.2	ACRV1	11p12-q13	acrosomal vesicle protein 1	Others
207820_at	U133A	1.5	1.7	1.8	NM_023948.1	AF053356_CDS3	7q22	hypothetical protein AF053356_CDS3	Others
205257_s_at	U133A	1.9	2.4	2.8	NM_001635.1	AMPH	7p14-p13	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)	Others
203074_at	U133A	1.5	1.9	1.7	NM_001630.1	ANXA8	10q11.2	annexin A8	Others
204589_at	U133A	2.2	7	10.6	NM_014840.1	ARK5	12q24.11	KIAA0537 gene product	Others
218554_s_at	U133A	1.6	1.9	1.9	NM_018489.1	ASH1	1q21.3	hypothetical protein ASH1	Others
217014_s_at	U133A	2	2.5	2.7	AC_004522	AZGP1	7q22.1	alpha-2-glycoprotein 1, zinc	Others
218332_at	U133A	2	2.2	2.7	NM_018476.1	BEX1	Xq21-q23	brain expressed, X-linked 1	Others
240334_at	U133B	1.6	1.7	2.1	H41587	C14orf146	14q13.3	chromosome 14 open reading frame 146	Others
208280_at	U133A	1.8	2.2	2.2	NM_006382.1	C17orf1A	17p12	chromosome 17 open reading frame 1A	Others
222252_x_at	U133A	1.7	2.1	2.6	AK023354.1	C1orf6	1q21	chromosome 1 open reading frame 6	Others
233560_x_at	U133B	1.6	1.8	2.1	AA370141	C20orf154	20p12.3	chromosome 20 open reading frame 154	Others
216119_s_at	U133A	1.7	2	2.2	AL109804	C20orf28	20pter-q11.23	chromosome 20 open reading frame 28	Others
209578_s_at	U133A	1.6	1.8	1.9	BC000626.1	C21orf80	21q22.3	chromosome 21 open reading frame 80	Others
204968_at	U133A	1.5	1.7	1.8	NM_021184.1	C6orf47	6p21.3	chromosome 6 open reading frame 47	Others
217128_s_at	U133A	1.5	1.8	1.7	AL049688.1	CAMK1G	1q32-q41	calcium/calmodulin-dependent protein kinase IG	Others
34846_at	U133A	1.6	1.9	1.9	AF112472	CAMK2B	7p14.3-p14.1	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	Others
231710_at	U133B	1.7	2	1.9	AI923108	CAPS	19p13.3	calcyphosine	Others
223703_at	U133B	1.7	2.1	2.2	AF267860.1	CDA017	10q23.1	CDA017 protein	Others
213183_s_at	U133A	2.5	3	2.9	R78668	CDKN1C	11p15.5	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Others
207568_at	U133A	1.6	2.1	2.3	NM_004198.1	CHRNA6	8p11.1	cholinergic receptor, nicotinic, alpha polypeptide 6	Others
206586_at	U133A	1.6	1.7	1.7	NM_001841.1	CNR2	1p36.11	cannabinoid receptor 2 (macrophage)	Others
206353_at	U133A	1.7	1.9	2.1	NM_005205.1	COX6A2	16p	cytochrome c oxidase subunit VIa polypeptide 2	Others
205489_at	U133A	1.5	1.8	2	NM_001888.1	CRYM	16p13.11-p12.3	crystallin, mu	Others
205088_at	U133A	2	2.1	1.9	NM_005491.1	CXorf6	Xq28	chromosome X open reading frame 6	Others
214779_s_at	U133A	1.5	1.8	2	R51077		22q13.1-q13.2	hypothetical protein DJ1042K10.2	Others
214699_x_at	U133A	1.5	1.8	1.8	AK024279.1	DKFZP434J154	7p22.2	DKFZP434J154 protein	Others
221537_at	U133A	1.9	2.2	2.5	T16388	DKFZp564A176	3q21.2	hypothetical protein DKFZp564A176	Others
212004_at	U133A	1.6	1.9	1.8	AL050028.1	DKFZP566C0424	1p36.13	DKFZP566C0424 protein	Others
221696_s_at	U133A	1.6	1.9	2.2	AF251059.1	DKFZp761P1010	12p13.2	hypothetical protein DKFZp761P1010	Others
208486_at	U133A	1.6	1.9	1.9	NM_000798.1	DRD5	4p16.1	dopamine receptor D5	Others
207267_s_at	U133A	2	2.5	3.1	NM_018962.1	DSCR6	21q22.2	Down syndrome critical region gene 6	Others
222247_at	U133A	1.6	1.9	1.8	S58722.1	DXS542	Xp11.3-q12	putative X-linked retinopathy protein	Others
219091_s_at	U133A	1.6	1.9	1.9	NM_024756.1	ENDOGLYX1	10q23.2	EMILIN-like protein EndoGlyx-1	Others
206501_x_at	U133A	1.5	1.7	1.7	NM_004956.1	ETV1	7p22	ets variant gene 1	Others
207300_s_at	U133A	1.5	1.9	2	NM_000131.2	F7	13q34	coagulation factor VII (serum prothrombin conversion accelerator)	Others
222082_at	U133A	1.7	2	1.8	AI568395	FBI1	19p13.3	HIV-1 inducer of short transcripts binding protein	Others
214417_s_at	U133A	1.6	1.9	2.3	N39010	FETUB	3q27	fetuin B	Others
216492_at	U133A	1.6	1.8	1.8	AK024467.1	FLJ00060	19q13.42	hypothetical gene FLJ00060	Others
220826_at	U133A	1.8	2.2	2.5	NM_018277.1	FLJ10932	21q22.11	hypothetical protein FLJ10932	Others
219503_s_at	U133A	1.6	1.8	1.7	NM_018306.1	FLJ11036	3p25.1	hypothetical protein FLJ11036	Others
219021_at	U133A	1.5	1.5	1.5	NM_018320.1	FLJ11099	11q13.2	hypothetical protein FLJ11099	Others
219975_x_at	U133A	1.6	1.7	2.1	NM_018324.1	FLJ11106	10p13	hypothetical protein FLJ11106	Others
220465_at	U133A	1.6	2	2.2	NM_024988.1	FLJ12355	19q13.11	hypothetical protein FLJ12355	Others
219897_at	U133A	1.6	2	2.1	NM_024787.1	FLJ12526	8p11.23	hypothetical protein FLJ12526	Others
221701_s_at	U133A	1.7	2.1	2.3	AF352728.1	FLJ12541	15q22.33	hypothetical protein FLJ12541 similar to Stra6	Others
219893_at	U133A	1.9	2.2	2.7	NM_022903.1	FLJ12800	3p21.31	hypothetical protein FLJ12800	Others
220323_at	U133A	1.8	2.2	2.5	NM_024877.1	FLJ13265	19q13.13	hypothetical protein FLJ13265	Others
220128_s_at	U133A	1.8	2.3	2.5	NM_024759.1	FLJ13955	8q22.1	hypothetical protein FLJ13955	Others
219620_x_at	U133A	1.6	1.8	2	NM_017723.1	FLJ20245	---	hypothetical protein FLJ20245	Others
220015_at	U133A	1.7	1.8	1.7	NM_017766.1	FLJ20321	1p36.22	hypothetical protein FLJ20321	Others
220096_at	U133A	1.5	2	2.1	NM_017795.1	FLJ20378	6q27	hypothetical protein FLJ20378	Others
218144_s_at	U133A	1.9	2.5	2.6	NM_022489.1	FLJ22056	14q32.33	hypothetical protein FLJ22056	Others
218965_s_at	U133A	1.8	2.2	2.3	NM_022830.1	FLJ22347	11q12.2	hypothetical protein FLJ22347	Others
220591_s_at	U133A	1.5	1.7	1.6	NM_025184.1	FLJ22843	Xp11.3	hypothetical protein FLJ22843	Others
220769_s_at	U133A	1.6	2.3	2	NM_024763.1	FLJ23129	1p31.2	hypothetical protein FLJ23129	Others
220908_at	U133A	1.6	2	1.9	NM_025055.1	FLJ23168	15q22.33	hypothetical protein FLJ23168	Others
228568_at	U133B	1.5	1.7	1.8	AI926697	FLJ30973	15q21.2	hypothetical protein FLJ30973	Others
52741_at	U133A	1.6	2	2.1	AI962879	FLJ40452	14q32.33	hypothetical protein FLJ40452	Others
77508_r_at	U133A	1.6	1.9	2	AW001436	FRA	16p12.1	Fos-related antigen	Others
238569_at	U133B	1.5	1.6	1.8	N45228	GABBR1	6p21.31	gamma-aminobutyric acid (GABA) B receptor, 1	Others
213560_at	U133A	3.1	4.4	5.1	AV658684	GADD45B	19p13.3	growth arrest and DNA-damage-inducible, beta	Others
208390_s_at	U133A	1.5	1.8	1.9	U01104.1	GLP1R	6p21	glucagon-like peptide 1 receptor	Others
217008_s_at	U133A	1.6	1.8	1.6	X94552.1	GRM7	3p26.1-p25.1	glutamate receptor, metabotropic 7	Others
220491_at	U133A	1.6	1.9	2	NM_021175.1	HAMP	19q13.1	hepcidin antimicrobial peptide	Others
215246_at	U133A	1.7	2.1	2.3	AK000089.1	HDCMA18P	4q25	HDCMA18P protein	Others
217130_at	U133A	1.5	1.9	1.7	AF072164.1	HFSE-1	9q22.1	HFSE-1 protein	Others
219671_at	U133A	1.6	1.9	1.9	AL136591.1	HPCAL4	1p34.2	hippocalcin like 4	Others
216210_x_at	U133A	1.5	1.8	1.9	AA046650	HRIHFB2122	22q13.1	Tara-like protein	Others
221435_x_at	U133A	1.6	2	1.9	NM_031207.1	HT036	1p34.1	hypothetical protein HT036	Others
207577_at	U133A	1.5	2.2	2.2	AJ131724.1	HTR4	5q31-q33	5-hydroxytryptamine (serotonin) receptor 4	Others
217236_x_at	U133A	1.9	2.6	2.8	S74639.1	IGHM	14q32.33	immunoglobulin heavy constant mu	Others
221651_x_at	U133A	1.5	2	1.9	BC005332.1	IGKC	2p12	immunoglobulin kappa constant	Others
217235_x_at	U133A	5.7	3.3	9	D84140.1	IGLJ3	22q11.1-q11.2	immunoglobulin lambda joining 3	Others
204371_s_at	U133A	1.8	2.2	2.6	AI933301	KHSRP	19p13.3	KH-type splicing regulatory protein (FUSE binding protein 2)	Others
213242_x_at	U133A	1.5	1.9	1.8	AB006622.2	KIAA0284	14q32.33	KIAA0284 protein	Others
225611_at	U133B	1.8	1.9	2	AI096389	KIAA0303	5q12.3	KIAA0303 protein	Others
212319_at	U133A	1.6	1.7	1.8	AB007857.2	KIAA0397	17p13.3	KIAA0397 gene product	Others
37232_at	U133A	1.5	1.7	1.9	AB011158	KIAA0586	14q22.3	KIAA0586 gene product	Others
215232_at	U133A	1.6	2	2	AK023797.1	KIAA0672	17p12	KIAA0672 gene product	Others
41644_at	U133A	1.5	2	2.1	AB018333	KIAA0790	6q24.3	KIAA0790 protein	Others
202700_s_at	U133A	2.1	2.5	2.8	NM_014698.1	KIAA0792	1q42.13	KIAA0792 gene product	Others
210879_s_at	U133A	1.5	1.8	1.7	AF334812.1	KIAA0857	2p13-p12	KIAA0857 protein	Others
205705_at	U133A	1.9	1.9	1.9	AL137351.1	KIAA1074	10pter-q22.1	KIAA1074 protein	Others
221011_s_at	U133A	1.8	2.3	2.3	NM_030915.1	LBH	2p23.2	likely ortholog of mouse limb-bud and heart gene	Others
235399_at	U133B	1.6	1.8	1.9	AA682499	LOC147700	19q13.32	similar to kinesin light chain KLCt	Others
221832_s_at	U133A	1.8	1.9	2	AK025345.1	LOC148894	1p36.11	hypothetical protein LOC148894	Others
215556_at	U133A	1.7	2	2.2	AK023774.1	LOC148936	1p36.11	hypothetical protein LOC148936	Others
238071_at	U133B	1.6	1.8	1.8	AI823802	LOC158062	9q34.3	hypothetical protein LOC158062	Others
213866_at	U133A	2.3	2.7	2.9	AL134453	LOC201191	17q21.32	hypothetical protein LOC201191	Others
227399_at	U133B	1.6	1.8	2.2	AI754423	LOC51159	3p12.1	colon carcinoma related protein	Others
207041_at	U133A	1.6	1.8	1.8	NM_006610.1	MASP2	1p36.3-p36.2	mannan-binding lectin serine protease 2	Others
219127_at	U133A	1.9	2.1	2.3	NM_024320.1	MGC11242	17q21.32	hypothetical protein MGC11242	Others
230807_at	U133B	1.6	2	2.4	AI807422	MGC20983	19p13.13	hypothetical protein MGC20983	Others
237781_at	U133B	1.5	1.7	2	AI017631	MGC26710	22q12.1	hypothetical protein MGC26710	Others
214965_at	U133A	1.7	2.1	2.2	AF070574.1	MGC26885	16q24.3	hypothetical protein MGC26885	Others
224431_s_at	U133B	1.7	2.3	2	BC005842.1	MGC2705	19q13.42	hypothetical protein MGC2705	Others
217198_x_at	U133A	2	2.7	3.7	U80164	MGC27165	14	hypothetical protein MGC27165	Others
225428_s_at	U133B	1.8	2.2	2.2	AI346600	MGC2835	12q24.21	DEAD box helicase 97 KDa	Others
213422_s_at	U133A	1.5	1.7	1.8	AW888223	MGC3047	1p36.33	hypothetical protein MGC3047	Others
228312_at	U133B	1.7	1.9	2.1	AI524085	MGC45378	6p21.2	hypothetical protein MGC45378	Others
219986_s_at	U133A	1.7	2.3	2.6	NM_025247.1	MGC5601	12q24.13	hypothetical protein MGC5601	Others
210360_s_at	U133A	1.9	2.2	2.1	AF116674.1	MIM	8p22	KIAA0429 gene product	Others
218211_s_at	U133A	1.6	2	2.2	NM_024101.1	MLPH	2q37.3	melanophilin	Others
235163_at	U133B	1.9	2.6	2.7	BE311936	moblak	19p13.3	MOB-LAK	Others
215765_at	U133A	1.6	1.7	1.7	AK024051.1	MUF1	1p33	MUF1 protein	Others
