probe set	Gene	Gene	Accession	EntrezGene	CEF NY72-4P/CEF NY72-4NP	t statistic	P value
Gga.16846.1.S1_s_at	LOC422945	hypothetical gene supported by CR406243	BU106500	422945	-1.62	-12.693	0.001954
Gga.19049.1.S1_at	IL-18	interleukin 18	BU419878	395312	-1.03	-14.387	0.00228
Gga.10012.1.S1_s_at	LOC421377	hypothetical LOC421377	BU291821	421377	1.66	4.419	0.023456
Gga.6250.1.S1_at	SELENBP1	selenium binding protein 1	BX935001.2	425664	-1.36	-4.982	0.007993
Gga.14246.1.S1_at	Finished cDNA, clone ChEST439p1	Finished cDNA, clone ChEST439p1	BU354123	0	1.12	10.398	0.000488
Gga.19050.1.S1_at	Finished cDNA, clone ChEST960i9	Finished cDNA, clone ChEST960i9	CR406456.1	0	-1.3	-4.683	0.023805
Gga.16921.1.S1_at			BU474896		-1.5	-9.831	0.003596
Gga.15017.1.S1_at	LOC424815	hypothetical LOC424815	BU238786	424815	-1.08	-14.347	0.003004
Gga.8734.1.S1_at	LOC416431	similar to ubiquitin specific protease 42	BU277783	416431	1.36	18.338	0.000104
Gga.12634.1.S1_at	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	BU456683	421898	1.18	11.186	0.0006
Gga.17021.1.S1_at	LOC769894	similar to Transmembrane anchor protein 1	BU412398	769894	-1.57	-12.727	0.000974
Gga.9212.1.S1_at	LOC422880	similar to RIKEN cDNA 2610033H07 gene	BU308976	422880	1.45	11.599	0.001059
Gga.9212.1.S1_s_at	LOC422880	similar to RIKEN cDNA 2610033H07 gene	BU308976	422880	1.29	7.015	0.007927
Gga.14371.1.S1_at		Finished cDNA, clone ChEST78p3	CR352393.1	0	-1.08	-5.319	0.022898
Gga.11919.1.S1_s_at	LOC417717	hypothetical LOC417717	BU344961	417717	1.17	9.242	0.004846
Gga.14498.1.S1_at		Finished cDNA, clone ChEST533o24	BU258089	0	-1.72	-26.909	0.000011
Gga.11764.2.S1_a_at	GCHFR	GTP cyclohydrolase I feedback regulator	BU228679	423003	-1.43	-11.249	0.005622
Gga.1256.2.S1_a_at	LOC768910	Hypothetical protein LOC768910	BU259973	768910	1.06	11.958	0.006703
Gga.2745.1.S1_at	LOC770638	similar to COX11 homolog, cytochrome c oxidase assembly protein (yeast)	BU398600	770638	1.2	7.632	0.011371
Gga.5631.2.S1_at	LOC417925	IKK interacting protein	BU448716	417925	-2.19	-7.884	0.002179
Gga.14484.1.S1_at		Finished cDNA, clone ChEST321p20	CR387849.1	0	1.15	10.997	0.001621
Gga.19048.1.S1_at	ATAD3B	ATPase family, AAA domain containing 3B	BU470687	419412	1.03	6.015	0.026035
Gga.17883.1.S1_at		Finished cDNA, clone ChEST756l8	BU127432	0	1.59	16.668	0.002923
Gga.12407.1.S1_at	LOC422654	similar to K60 protein	CR386350.1	422654	1.55	6.596	0.004549
Gga.16889.1.S1_at	MYLIP	myosin regulatory light chain interacting protein	BU407468	420841	-1.49	-16.762	0.001982
Gga.1852.1.S1_at	LOC419512	similar to AAK1 protein	BU228617	419512	1.15	11.399	0.003222
Gga.9756.1.S1_at	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	BU483566	427339	-1.1	-5.127	0.006879
Gga.16070.1.S1_s_at	LOC422580	hypothetical LOC422580	BU323883	422580	1.18	6.404	0.008082
Gga.16606.1.S1_at	LOC424026	hypothetical gene supported by CR387553	BU279862	424026	1.01	4.385	0.021205
Gga.5995.1.S1_at	LOC419371	similar to acyl-CoA hydrolase	BX933094.2	419371	1.05	13.115	0.001149
Gga.19024.1.S1_s_at	RCJMB04_18d18	nicalin homolog (zebrafish)	BU360090	426048	1.21	6.601	0.021027
Gga.13594.1.S1_at	LOC430750	similar to RAB31, member RAS oncogene family	BX950442.2	430750	-1	-5.72	0.005961
Gga.9673.1.S1_at	CBR4	carbonyl reductase 4	BX933251.1	422435	1.2	38.873	0.000029
Gga.16285.1.S1_at		Finished cDNA, clone ChEST140e21	BU337922	0	1.46	13.726	0.003065
Gga.16495.1.S1_at		Finished cDNA, clone ChEST400g6	CR385134.1	0	-1.44	-7.594	0.004978
Gga.10110.1.S1_at		Finished cDNA, clone ChEST992o1	CR386923.1	0	-1.1	-22.46	0.000075
Gga.19147.1.S1_at		Finished cDNA, clone ChEST766h5	BU480146	0	1.04	17.589	0.003196
Gga.16406.1.S1_at		Finished cDNA, clone ChEST237g13	BU270848	0	1.25	6.21	0.020621
Gga.9686.2.S1_a_at	LOC420183	similar to retinol dehydrogenase 10	BX933788.2	420183	1.15	4.603	0.013554
Gga.13838.1.S1_at		Finished cDNA, clone ChEST64i7	BU448882	0	-2.48	-9.649	0.008089
Gga.17860.1.S1_at	LOC422875	hypothetical LOC422875	CN223885	422875	-1.39	-7.927	0.009624
Gga.16057.1.S1_s_at	E2F8	E2F transcription factor 8	CR385109.1	422978	1.23	7.598	0.006466
Gga.15316.1.S1_s_at	RCJMB04_12n17	START domain containing 4, sterol regulated	BU479128	769322	1.07	11.518	0.001301
Gga.10658.1.S1_at		Finished cDNA, clone ChEST1007e10	BU321027	0	2.21	4.248	0.019777
Gga.11913.1.S1_at	LOC426170	similar to RIKEN cDNA 2310016C16	BU477745	426170	-1.35	-8.361	0.00214
Gga.16905.1.S1_at		Finished cDNA, clone ChEST169c4	BU110828	0	-1.16	-4.171	0.020822
Gga.16459.1.S1_s_at	LOC768898	similar to Gu protein	BU135080	768898	1.23	5.729	0.024989
Gga.9725.1.S1_at	LOC776031	similar to angiopoietin-related protein-2	BX930996.2	776031	-1.1	-10.659	0.001172
Gga.2331.1.S1_at	DDX6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	BU297971	419783	1.2	11.859	0.002258
Gga.15350.1.S1_at	CEP55	centrosomal protein 55kDa	BU237143	423804	1.09	24.723	0.000024
Gga.13535.1.S1_at	LOC776634	similar to DNA-dependent protein kinase catalytic subunit	AW198611	776634	-1.39	-6.895	0.005386
Gga.15786.1.S1_s_at	RCJMB04_16p3	N-acetyltransferase 10	BU233552	426609	1.09	10.73	0.008203
Gga.15175.1.S1_at		Finished cDNA, clone ChEST843i22	BU460539	0	-1.52	-16.717	0.000094
Gga.14469.1.S1_at		Finished cDNA, clone ChEST328j11	BU276312	0	1.6	11.451	0.000355
Gga.14976.1.S1_at		Finished cDNA, clone ChEST132d10	CR386242.1	0	-2.23	-5.6	0.016507
Gga.14273.1.S1_at		Finished cDNA, clone ChEST39a8	BU259232	0	2.06	8.005	0.001328
Gga.19673.1.S1_s_at		Finished cDNA, clone ChEST481h16	BI065252	0	1.48	4.546	0.035907
Gga.2724.1.S1_at		Finished cDNA, clone ChEST446j8	BU274023	0	-1.23	-6.997	0.006854
Gga.12991.1.S1_at		Finished cDNA, clone ChEST397k15	CR352895.1	0	1.05	7.347	0.006399
Gga.17235.1.S1_at		Finished cDNA, clone ChEST953c1	CR389198.1	0	1.05	7.24	0.001947
Gga.14835.1.S1_at		Finished cDNA, clone ChEST286i13	BU468873	0	-1.11	-26.403	0.000013
Gga.16384.1.S1_at		Finished cDNA, clone ChEST229g1	BU236248	0	-1.35	-18.532	0.000933
Gga.15995.1.S1_at		Finished cDNA, clone ChEST316e4	BU388414	0	-1.01	-13.442	0.000286
Gga.19094.1.S1_s_at	SLC39A6	solute carrier family 39 (zinc transporter), member 6	BU479906	420984	1.2	6.996	0.00245
Gga.14725.1.S1_at	RCJMB04_19h3	betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	BU352300	421092	1	3.807	0.019052
Gga.5113.1.S1_s_at	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	BU204876	422683	-1.11	-12.704	0.000823
Gga.10300.1.S1_s_at	THBS1	thrombospondin 1	BU420112	373987	-1.54	-4.817	0.039385
Gga.18801.1.S1_at		Finished cDNA, clone ChEST766f10	CR391511.1	0	1.16	4.705	0.024989
Gga.14579.1.S1_at	CUBN	cubilin (intrinsic factor-cobalamin receptor)	BU294131	420523	1.14	10.69	0.002282
Gga.11449.1.S1_at	LOC419995	Similar to myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	BX929825.1	419995	1.15	5.327	0.009494
Gga.10464.1.S1_at	SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	BU256080	419007	1.62	8.852	0.001153
Gga.13171.1.S1_s_at	RCJMB04_14d15	similar to hypothetical protein FLJ34969	BU395191	416006	1.5	12.258	0.000605
Gga.12660.2.S1_a_at	PCSK5	proprotein convertase subtilisin/kexin type 5	BX930369.1	395456	-1.23	-3.461	0.027199
Gga.5748.1.S1_at	IL13RA2	interleukin 13 receptor, alpha 2	BX934144.2	422219	1.08	10.035	0.004165
Gga.17428.1.S1_at		Finished cDNA, clone ChEST933h9	BU237730	0	-1.2	-9.649	0.000687
Gga.3448.1.S1_at	THBS1	thrombospondin 1	U76994.1	373987	-1.55	-5.253	0.020905
Gga.5091.1.S1_at	CAV1	caveolin 1, caveolae protein, 22kDa	BU435620	373996	1.05	4.475	0.011085
Gga.14155.1.S1_at	TSPAN2	tetraspanin 2	CR353115.1	419889	-1.02	-7.799	0.002073
Gga.13441.1.S1_x_at		Finished cDNA, clone ChEST40a19	BU394918	0	-1.55	-6.3	0.006106
Gga.8046.2.S1_a_at	LOC776112	similar to growth hormone-inducible soluble protein	CR353895.1	776112	-1.13	-7.073	0.008641
Gga.17601.1.S1_at		Finished cDNA, clone ChEST199k16	CR391187.1	0	1.42	6.387	0.008197
Gga.2058.1.S1_s_at	RCJMB04_23e15	glutaminase	BX931198.2	424043	-1.22	-3.399	0.02737
Gga.18968.1.S1_at		Finished cDNA, clone ChEST661b11	BU474814	0	1.47	7.812	0.01319
Gga.12174.1.S1_at	LOC418211	similar to sarcospan-2	BU321894	418211	-1.2	-5.307	0.016174
Gga.9907.1.S1_s_at	RCJMB04_15m14	nucleolar complex associated 2 homolog (S. cerevisiae)	BU227654	419433	1.01	20.483	0.000636
Gga.12867.1.S1_at	NR2C1	nuclear receptor subfamily 2, group C, member 1	CN221312	373913	-1.26	-15.342	0.000741
Gga.11978.1.S1_at	HSPA14	heat shock 70kDa protein 14	BU442374	418802	1.16	13.889	0.00049
Gga.1107.1.S1_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2	AJ447153	396409	1.04	12.479	0.002273
Gga.10681.1.S1_x_at	LOC429823	Similar to OTTHUMP00000065631	CR354016.1	429823	-1.45	-4.271	0.043884
Gga.17936.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	BU458704	396332	-1.54	-9.298	0.007228
Gga.4108.5.S1_x_at	TPM1	tropomyosin 1 (alpha)	J00910.1	396366	-1.24	-7.496	0.003297
Gga.11142.2.S1_s_at	LOC420120	similar to cartilage oligomeric matrix protein	CR353695.1	420120	-1.07	-4.047	0.04019
Gga.19230.1.S1_s_at	EAF2	ELL associated factor 2	CR406825.1	424243	1.51	16.002	0.002069
Gga.7837.1.S1_at	LOC424381	Hypothetical LOC424381	BX930701.2	424381	-1.75	-6.354	0.004064
Gga.13253.1.S1_at	LOC421074	similar to sudD suppressor of bimD6 homolog	BU408918	421074	1.36	6.063	0.020391
Gga.8853.3.S1_s_at	LOC422661 /// SULT1B1	sulfotransferase family, cytosolic, 1B, member 1 /// similar to sulfotransferase 1B	CR353745.1	395227 /// 422661	-1.93	-16.064	0.001056
Gga.1964.1.S1_at			BU436680		-1.27	-4.291	0.013879
Gga.1964.1.S1_s_at			BU436680		-1.14	-3.536	0.024123
Gga.17980.1.S1_at	RCJMB04_3e14	similar to Auh protein	BU320477	427269	1.39	13.872	0.002048
Gga.15105.1.S1_at	AHNAK2	AHNAK nucleoprotein 2	BU451588	423497	2.11	17.557	0.002666
Gga.14339.1.S1_s_at	LOC418833	response gene to complement 32	CR352504.1	418833	-2.91	-9.174	0.004306
Gga.11797.1.S1_s_at	VRK1	vaccinia related kinase 1	AJ447034	423443	1.29	7.759	0.001493
Gga.18130.1.S1_at		Finished cDNA, clone ChEST478c4	BU272119	0	-1.65	-4.843	0.008607
Gga.552.1.S1_at	DIO3	deiodinase, iodothyronine, type III	Y11273.1	395939	-2.38	-8.963	0.005941
Gga.14243.1.S1_s_at		Finished cDNA, clone ChEST711g2	CR352806.1	0	1.7	10.63	0.005071
Gga.9783.1.S1_s_at	LOC417151	Hypothetical LOC417151	BX933023.1	417151	-1.34	-11.679	0.00681
Gga.19012.1.S1_at	LOC423782	hypothetical LOC423782	CR388601.1	423782	-1.05	-13.264	0.000441
Gga.9874.1.S1_at	LOC418551	similar to PWP2H protein	BX950300.1	418551	1	7.927	0.012172
Gga.12481.1.S1_s_at	RCJMB04_25n2	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	CR352863.1	424251	1.08	4.32	0.034901
Gga.14925.1.S1_at	RCJMB04_3o8	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	CR386440.1	418692	1.99	3.459	0.025856
Gga.12637.2.S1_a_at	LOC417388	similar to CGI-48 protein	BU474006	417388	1.01	15.636	0.000157
Gga.18636.1.S1_at		Finished cDNA, clone ChEST208a22	CR391132.1	0	-1.7	-15.826	0.00014
Gga.9366.3.S1_a_at	LOC420870	similar to RIO kinase 1	CR352923.1	420870	1.16	10.145	0.005442
Gga.10321.1.S1_a_at	PTX3	pentraxin-related gene, rapidly induced by IL-1 beta	BX950436.2	548626	-1.19	-9.222	0.004331
Gga.5778.1.S1_a_at	LOC769246	hypothetical protein LOC769246	CR406934.1	769246	2.15	8.373	0.006952
Gga.10623.1.S1_s_at	LOC421906	similar to F-box protein 25	BX933159.2	421906	-1.23	-6.114	0.006258
Gga.18643.1.S1_s_at	LOC768444	similar to voltage-gated calcium channel alpha2/delta-1 subunit	CR391148.1	768444	-1.09	-5.45	0.016636
Gga.13978.1.S1_s_at	LHFPL5	lipoma HMGIC fusion partner-like 5	CR353711.1	378916	-1.16	-6.462	0.003085
Gga.18038.1.A1_at		Finished cDNA, clone ChEST184g12	CR389443.1	0	-1.79	-5.918	0.00409
Gga.18263.1.S1_at		Finished cDNA, clone ChEST1007c2	CR390087.1	0	-1.11	-20.264	0.000365
Gga.5421.1.S1_at	LOC416511	similar to ATP synthase mitochondrial F1 complex assembly factor 2	BU286282	416511	1.1	7.526	0.004168
Gga.11046.1.S1_s_at		Finished cDNA, clone ChEST202i20	BU453999	0	-2.25	-24.162	0.000018
Gga.17775.1.S1_s_at	LOC421544	similar to digestive tract-specific calpain; calcium-dependent cysteine proteinase	BU315754	421544	1.11	3.467	0.04014
Gga.6326.1.S1_s_at	LOC423693	similar to Gu protein	CR385767.1	423693	1.02	7.425	0.013063
Gga.13466.1.S1_at	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	CR352387.1	423686	1.04	4.653	0.018386
Gga.4965.3.S1_a_at	COL12A1	collagen, type XII, alpha 1	X67327.1	395875	-1.42	-5.302	0.025939
Gga.19244.1.S1_at	VPS13B	vacuolar protein sorting 13 homolog B (yeast)	BU362262	420242	1.7	26.175	0.000049
Gga.13276.1.S1_at		Finished cDNA, clone ChEST978m14	BU440165	0	1.03	3.974	0.030873
Gga.2606.1.S1_at		Finished cDNA, clone ChEST380k16	BU320234	0	1.88	6.122	0.01018
Gga.2606.1.S1_x_at		Finished cDNA, clone ChEST380k16	BU320234	0	1.69	6.42	0.00318
Gga.18558.1.S1_at		Finished cDNA, clone ChEST739l13	CR390929.1	0	-1.4	-11.03	0.000503
Gga.18793.1.S1_at		Finished cDNA, clone ChEST763b14	BU227437	0	1.03	3.283	0.035453
Gga.17450.1.S1_at		Finished cDNA, clone ChEST714i23	CR389762.1	0	1.11	3.826	0.039419
Gga.19301.1.S1_at		Finished cDNA, clone ChEST43m2	CR353242.1	0	1.23	9.319	0.008131
Gga.10957.1.S1_s_at	UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1	BU323157	420154	1.12	7.489	0.00396
Gga.4851.1.A1_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	CR389359.1	396340	-1.58	-7.211	0.015522
Gga.4851.1.S1_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	CR389359.1	396340	-1.37	-12.25	0.002992
Gga.2829.1.S1_at		Finished cDNA, clone ChEST888b4	BU279348	0	-1.33	-7.635	0.006315
Gga.4797.1.S1_at		Finished cDNA, clone ChEST464g7	BU346051	0	1.01	4.721	0.039141
Gga.696.1.S1_at	BDNF	brain-derived neurotrophic factor	X61476.1	396186	-1.34	-5.093	0.014084
Gga.5044.1.S1_at		Clone cDNA37A forward sequence, reverse contains microsatellite MCW162	L48917.1	0	-1.12	-3.511	0.025456
GgaAffx.13234.1.S1_at	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	AJ719522	426038	1.03	7.033	0.010663
GgaAffx.13080.1.S1_at	YPEL2	yippee-like 2 (Drosophila)	AJ720977	417632	-1.42	-3.691	0.030311
GgaAffx.12320.1.S1_at	RCJMB04_12n17	START domain containing 4, sterol regulated	AJ720217	769322	1.08	6.984	0.012341
GgaAffx.11417.1.S1_at	RCJMB04_1f15	kinesin family member 11	AJ719314	423809	1.15	10.358	0.002856
GgaAffx.12404.1.S1_s_at	RCJMB04_14h1	GTPase activating Rap/RanGAP domain-like 3	AJ720301	417087	-1.26	-5.786	0.006669
GgaAffx.12504.1.S1_s_at	RCJMB04_16p3	N-acetyltransferase 10	AJ720401	426609	1.26	5.365	0.027315
GgaAffx.12349.1.S1_at	RCJMB04_13g17	WD repeat domain 3	AJ720246	427952	1.12	9.848	0.000813
Gga.4514.2.S1_s_at	RCJMB04_2p9	ribonucleotide reductase M1 polypeptide	BU332242	419081	1.08	11.352	0.000586
GgaAffx.13090.1.S1_s_at	RCJMB04_31o11	NF-kappaB repressing factor	AJ720987	422370	1.07	8.782	0.007942
GgaAffx.12498.1.S1_s_at	RCJMB04_16n14	similar to LOC330189 protein	AJ720395	416847	1.86	23.514	0.00125
GgaAffx.12565.1.S1_at	RCJMB04_18d18	nicalin homolog (zebrafish)	AJ720462	426048	1.15	6.331	0.008084
GgaAffx.11513.1.S1_at	RCJMB04_2a15	cyclin E2	AJ719410	420231	1.1	15.982	0.000237
GgaAffx.11541.1.S1_at	RCJMB04_2f9	selenoprotein P, plasma, 1	AJ719438	431587	-1.74	-5.136	0.016781
GgaAffx.12641.1.S1_s_at	SPTLC2	serine palmitoyltransferase, long chain base subunit 2	AJ720538	423379	1	12.651	0.005061
GgaAffx.13168.1.S1_s_at	RCJMB04_33o17	slowmo homolog 1 (Drosophila)	AJ721065	421035	1.08	5.804	0.027098
Gga.8109.1.S1_s_at	RCJMB04_2n8	similar to Protein KIAA0020	BU350681	427350	1.03	10.215	0.001493
GgaAffx.13119.1.S1_s_at	RCJMB04_32i2	ribosomal protein S14	AJ721016	416275	-1.25	-19.191	0.000059
Gga.4645.3.S1_s_at	RCJMB04_2h4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	BU132620	426133	1.22	13.197	0.001611
Gga.4074.1.S1_s_at	LOC420709	similar to RIKEN cDNA 1110059G10	BU116226	420709	1.25	7.852	0.009023
GgaAffx.2313.2.S1_s_at	RCJMB04_30k11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	ENSGALT00000005865.1	417425	1.08	9.31	0.011065
GgaAffx.12549.1.S1_s_at	LOC768335 /// RCJMB04_17m23	coiled-coil domain containing 13 /// similar to similar to hypothetical protein FLJ25467	AJ720446	420392 /// 768335	1.28	4.786	0.026629
GgaAffx.13200.1.S1_at	RCJMB04_35b4	surfeit 6	AJ721097	417160	1.21	11.54	0.000416
GgaAffx.13053.1.S1_s_at	RCJMB04_30m16	similar to chromosome 10 open reading frame 58	AJ720950	423625	1.58	5.615	0.005104
GgaAffx.12572.1.S1_at	LOC422090	LOC422090	AJ720469	422090	1.01	32.405	0.000713
GgaAffx.11405.1.S1_at	RCJMB04_1d22	nucleoporin 160kDa	AJ719302	431122	1.01	39.234	0.000149
GgaAffx.9707.1.S1_s_at	RCJMB04_1g9	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	ENSGALT00000024605.1	421114	-2.27	-9.859	0.000796
GgaAffx.12597.1.S1_at	RCJMB04_19b7	ubiquitin specific peptidase 1	AJ720494	424685	1.03	16.772	0.000136
Gga.7238.1.S1_s_at	RCJMB04_19j12	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	BU122219	426429	1.02	3.186	0.034879
GgaAffx.12858.1.S1_s_at	RCJMB04_24n6	syntaxin binding protein 3	AJ720755	424341	1.24	5.277	0.009729
GgaAffx.12448.1.S1_at	RCJMB04_15m14	nucleolar complex associated 2 homolog (S. cerevisiae)	AJ720345	419433	1.21	8.534	0.006175
GgaAffx.11645.1.S1_at	RCJMB04_3d14	septin 6	AJ719542	422369	1.06	7.837	0.009984
GgaAffx.11918.1.S1_s_at	MXD4	MAX dimerization protein 4	AJ719815	422890	-1.8	-7.862	0.003403
GgaAffx.11442.1.S1_at	RCJMB04_1i4	nuclear autoantigenic sperm protein (histone-binding)	AJ719339	424600	1.68	8.726	0.01286
GgaAffx.11571.1.S1_at	VRK1	vaccinia related kinase 1	AJ719468	423443	1.21	6.142	0.004935
GgaAffx.11933.1.S1_s_at	RCJMB04_6p13	pre-B-cell colony enhancing factor 1	AJ719830	417707	1.02	26.58	0.000571
GgaAffx.11865.1.S1_s_at	RCJMB04_6d9	ARP6 actin-related protein 6 homolog (yeast)	AJ719762	395348	1.01	6.316	0.021784
GgaAffx.26118.1.S1_at	LOC423693	similar to Gu protein	ENSGALT00000006590.1	423693	1.07	8.095	0.001946
GgaAffx.6962.1.S1_s_at	LOC421517	similar to TAR RNA loop binding protein	ENSGALT00000017913.1	421517	1.13	12.141	0.00204
GgaAffx.4686.1.S1_at			ENSGALT00000012152.1		1.13	9.759	0.000647
GgaAffx.4625.1.S1_at	LOC423848	similar to Pprc1 protein	ENSGALT00000012011.1	423848	1.02	4.085	0.015335
GgaAffx.26298.1.S1_at	LOC417212	hypothetical LOC417212	ENSGALT00000007545.1	417212	1.02	12.883	0.00072
GgaAffx.8504.2.S1_s_at	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	ENSGALT00000021792.1	426038	1.05	8.248	0.008094
GgaAffx.10732.1.S1_at	RCJMB04_3o8	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	ENSGALT00000027052.1	418692	1.12	4.041	0.029999
GgaAffx.8722.1.S1_at	LOC421653	similar to membrane-associated DHHC14 zinc finger protein	ENSGALT00000022265.1	421653	1.29	6.969	0.019904
GgaAffx.6403.1.S1_at	LOC421439	hypothetical LOC421439	ENSGALT00000016551.1	421439	1.37	6.567	0.02161
GgaAffx.3119.1.S1_at	LOC426482	similar to rai-like protein RaLP	ENSGALT00000008025.1	426482	1.12	15.272	0.000119
GgaAffx.5725.1.S1_at	ACTL6A	actin-like 6A	ENSGALT00000014749.1	424975	1.09	6.351	0.010278
GgaAffx.5725.1.S1_s_at	ACTL6A	actin-like 6A	ENSGALT00000014749.1	424975	1.13	6.375	0.02212
GgaAffx.8303.1.S1_at	LOC418173	similar to RAS-like, estrogen-regulated, growth inhibitor	ENSGALT00000021352.1	418173	-1.14	-6.026	0.00571
GgaAffx.3414.1.S1_at	RCJMB04_10p19	zinc finger, DHHC-type containing 21	ENSGALT00000008729.1	427356	1.21	8.493	0.009205
GgaAffx.10213.1.S1_at	VPS13B	vacuolar protein sorting 13 homolog B (yeast)	ENSGALT00000025823.1	420242	1.68	21.963	0.000618
GgaAffx.10727.2.S1_at	LOC418685	similar to mKIAA0566 protein	ENSGALT00000027031.1	418685	-1.32	-16.925	0.000143
GgaAffx.26432.1.S1_s_at	COL11A1	collagen, type XI, alpha 1	ENSGALT00000008321.1	374046	-1.79	-15.071	0.002871
GgaAffx.3719.1.S1_s_at	LOC424504	similar to KIAA1107 protein	ENSGALT00000009612.1	424504	1.07	20.483	0.000256
GgaAffx.25521.1.S1_s_at	COL5A2	collagen, type V, alpha 2	ENSGALT00000003956.1	423986	-1.11	-9.035	0.010987
GgaAffx.4223.1.S1_s_at	RCJMB04_1f15	kinesin family member 11	ENSGALT00000010981.1	423809	1.2	11.362	0.000922
GgaAffx.23927.6.S1_at	RBL1	retinoblastoma-like 1 (p107)	ENSGALT00000002032.1	419126	1.07	2.96	0.048659
GgaAffx.23729.1.S1_at	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	ENSGALT00000019581.1	422683	-1.11	-15.382	0.001358
GgaAffx.26527.1.S1_at	RCJMB04_25f13	Treacher Collins-Franceschetti syndrome 1	ENSGALT00000008880.1	416276	1.05	4.329	0.022649
GgaAffx.23623.1.S1_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019051.1	423497	2.65	14.125	0.000247
GgaAffx.23623.1.S1_s_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019051.1	423497	2.32	18.661	0.000681
GgaAffx.26131.1.S1_at	LOC415401	hypothetical LOC415401	ENSGALT00000006663.1	415401	1.05	10.253	0.000662
GgaAffx.23623.2.S1_at	AHNAK2	AHNAK nucleoprotein 2	ENSGALT00000019050.1	423497	2.13	13.111	0.003201
GgaAffx.1501.1.S1_s_at	RCJMB04_6f12	eukaryotic translation initiation factor 2C, 3	ENSGALT00000003524.1	419628	1.08	4.647	0.013019
GgaAffx.23729.2.S1_s_at	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	ENSGALT00000019582.1	422683	-1.02	-13.722	0.004998
GgaAffx.8040.1.S1_s_at	ALDH1L2	aldehyde dehydrogenase 1 family, member L2	ENSGALT00000020712.1	418078	-1.28	-3.44	0.029642
GgaAffx.4536.1.S1_s_at	LOC420473	similar to rho-GAP domain containing protein ARHGAP12b	ENSGALT00000011742.1	420473	1.01	10.131	0.001234
GgaAffx.11002.1.S1_at	CUL5	cullin 5	ENSGALT00000027725.1	418969	1.1	7.188	0.016649
GgaAffx.6785.1.S1_at	LOC421505	similar to Exonuclease 1	ENSGALT00000017486.1	421505	1.38	18.331	0.000443
GgaAffx.25765.1.S1_s_at	LOC416428	hypothetical LOC416428	ENSGALT00000004992.1	416428	1.02	15.625	0.000216
GgaAffx.21964.1.S1_at	NOC3L	nucleolar complex associated 3 homolog (S. cerevisiae)	ENSGALT00000010542.1	423799	1.03	6.736	0.010343
GgaAffx.2014.1.S1_at	RCJMB04_5d7	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	ENSGALT00000005046.1	417565	1.18	8.518	0.011696
GgaAffx.2014.2.S1_s_at	RCJMB04_5d7	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	ENSGALT00000005047.1	417565	1.27	10.883	0.0059
GgaAffx.9972.1.S1_at	LOC422880	similar to RIKEN cDNA 2610033H07 gene	ENSGALT00000025233.1	422880	1.39	10.258	0.005984
GgaAffx.25795.1.S1_s_at	LOC420120	similar to cartilage oligomeric matrix protein	ENSGALT00000005192.1	420120	-1.83	-4.903	0.021976
GgaAffx.22457.1.S1_s_at	ACSL4	acyl-CoA synthetase long-chain family member 4	ENSGALT00000013127.1	422345	1.12	8.68	0.003201
GgaAffx.9712.1.S1_at	COL8A1	collagen, type VIII, alpha 1	ENSGALT00000024611.1	418378	-1.27	-3.279	0.030525
GgaAffx.25869.1.S1_at	LOC419533	hypothetical LOC419533	ENSGALT00000000548.1	419533	-1.43	-3.282	0.043912
GgaAffx.6936.1.S1_s_at	RCJMB04_19b7	ubiquitin specific peptidase 1	ENSGALT00000017833.1	424685	1.14	7.518	0.007311
