Rank	Parametric p-value	FDR	Geom mean of intensities in class 1 (3.75 Gy)	Geom mean of intensities in class 2 (Control)	Fold-change	Unique id	Description	Gene symbol
412	0.000009	0.0004304	107.2136224	67.8488802	1.5801826	A_23_P205228	Homo sapiens ATPase, Cu++ transporting, beta polypeptide (ATP7B), transcript variant 1, mRNA [NM_000053]	ATP7B
413	0.0000091	0.0004342	617.5264545	372.3533318	1.6584421	A_23_P323685	Homo sapiens histone cluster 1, H4h (HIST1H4H), mRNA [NM_003543]	HIST1H4H
414	0.0000093	0.0004426	753.1675685	1313.995098	0.573189	A_23_P309850	Homo sapiens RNA pseudouridylate synthase domain containing 2 (RPUSD2), mRNA [NM_152260]	RPUSD2
415	0.0000094	0.0004463	1247.50946	698.5529205	1.7858482	A_23_P152356	Homo sapiens zinc finger protein 200 (ZNF200), transcript variant 1, mRNA [NM_003454]	ZNF200
416	0.0000095	0.00045	32.3562082	68.328006	0.4735424	A_24_P192627	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (MLLT3), mRNA [NM_004529]	MLLT3
417	0.0000096	0.0004515	31.4023543	100.8150283	0.3114849	A_23_P354341	Homo sapiens CD160 molecule (CD160), mRNA [NM_007053]	CD160
418	0.0000096	0.0004515	541.6698719	850.012439	0.6372493	A_32_P49334	Homo sapiens, clone IMAGE:5164782, mRNA. [BC036909]	LOC284889
419	0.0000096	0.0004515	102.4483599	224.1523819	0.4570478	A_23_P420873	Homo sapiens nuclear receptor subfamily 1, group D, member 1 (NR1D1), mRNA [NM_021724]	NR1D1
420	0.0000097	0.000454	316.0846274	613.934081	0.5148511	A_23_P97265	Homo sapiens G patch domain containing 4 (GPATCH4), transcript variant 2, mRNA [NM_182679]	GPATCH4
421	0.0000097	0.000454	839.3011936	450.8191465	1.8617248	A_23_P219045	Homo sapiens histone cluster 1, H3d (HIST1H3D), mRNA [NM_003530]	HIST1H3D
422	0.0000099	0.0004623	102.571896	250.730708	0.4090919	A_24_P396167	Homo sapiens cathepsin W (CTSW), mRNA [NM_001335]	CTSW
423	0.00001	0.0004636	5883.047085	9150.393669	0.6429283	A_23_P44112	Homo sapiens linker for activation of T cells (LAT), transcript variant 1, mRNA [NM_014387]	LAT
424	0.00001	0.0004636	263.5893048	682.2254925	0.3863668	A_24_P751074	Homo sapiens v-ets erythroblastosis virus E26 oncogene homolog 1 (avian) (ETS1), mRNA [NM_005238]	ETS1
425	0.00001	0.0004636	335.8362469	747.5700218	0.4492372	A_23_P354805	Homo sapiens Kruppel-like factor 12 (KLF12), mRNA [NM_007249]	KLF12
426	0.0000101	0.0004672	1826.462809	2929.079407	0.6235621	A_23_P346093	Homo sapiens mRNA for FLJ00400 protein. [AK090478]	TMC8
427	0.0000102	0.0004707	795.3207951	1368.016773	0.5813677	A_23_P25121	Homo sapiens FK506 binding protein 11, 19 kDa (FKBP11), mRNA [NM_016594]	FKBP11
428	0.0000107	0.0004926	799.076029	1575.158111	0.5072989	A_23_P146572	Homo sapiens neural proliferation, differentiation and control, 1 (NPDC1), mRNA [NM_015392]	NPDC1
429	0.0000108	0.000496	7324.209818	4404.549061	1.6628739	A_24_P114124	Homo sapiens lysosomal associated multispanning membrane protein 5 (LAPTM5), mRNA [NM_006762]	LAPTM5
430	0.0000109	0.0004995	99.6044786	212.5088809	0.4687074	A_23_P371076	Krueppel-like factor 12 (Transcriptional repressor AP-2rep). [Source:Uniprot/SWISSPROT;Acc:Q9Y4X4] [ENST00000342812]	ENST00000342812
431	0.000011	0.0005017	609.4737434	356.9594741	1.7074032	A_23_P162300	Homo sapiens interleukin-1 receptor-associated kinase 3 (IRAK3), mRNA [NM_007199]	IRAK3
432	0.000011	0.0005017	199.5065891	110.8553135	1.7997025	A_32_P180435	Homo sapiens hypothetical LOC441257 (LOC441257), mRNA [NM_001023562]	LOC441257
433	0.0000111	0.0005051	682.2683199	1138.93849	0.5990388	A_23_P13364	Homo sapiens nucleobindin 2 (NUCB2), mRNA [NM_005013]	NUCB2
434	0.0000114	0.0005152	126.85449	322.831415	0.3929435	A_23_P252155	Homo sapiens spermatid perinuclear RNA binding protein (STRBP), mRNA [NM_018387]	STRBP
435	0.0000114	0.0005152	275.6604003	162.0596886	1.7009807	A_24_P65722	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4 (LILRB4), mRNA [NM_006847]	LILRB4
436	0.0000114	0.0005152	6436.317957	10220.15766	0.629767	A_23_P76529	Homo sapiens integrin, beta 7 (ITGB7), mRNA [NM_000889]	ITGB7
437	0.0000115	0.0005185	116.3883344	213.8276097	0.5443092	A_32_P71113	Q25GJ8_MACFA (Q25GJ8) Brain cDNA, clone: QflA-22015, complete [THC2508355]	THC2508355
438	0.0000117	0.0005263	80.3937549	142.8934691	0.5626132	A_24_P23625	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1 (EC 2.8.2.30) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3B1) (Heparan sulfate 3-O-sulfotransferase 3B1) (h3-OST-3B). [Source:Uniprot/SWISSPROT;Acc:Q9Y662] [ENST00000360954]	HS3ST3B1
439	0.0000118	0.0005272	108.5212453	241.2086775	0.4499061	A_23_P44154	Homo sapiens CD96 molecule (CD96), transcript variant 1, mRNA [NM_198196]	CD96
440	0.0000118	0.0005272	48.5992933	125.8901024	0.3860454	A_24_P50738	Homo sapiens clone B2E9D5H myosin-reactive immunoglobulin heavy chain variable region mRNA, partial cds. [AF035020]	AF035020
441	0.0000118	0.0005272	23.3533909	54.5736546	0.4279243	A_23_P92334	Homo sapiens transmembrane protein 156 (TMEM156), mRNA [NM_024943]	TMEM156
442	0.0000119	0.0005305	72.0458171	143.3516727	0.5025809	A_32_P203728	Unknown	THC2631297
443	0.0000121	0.000537	83.4287893	140.6581719	0.5931315	A_24_P113686	Homo sapiens chromosome 1 open reading frame 181 (C1orf181), mRNA [NM_017953]	C1orf181
444	0.0000121	0.000537	20.4173176	46.8919258	0.4354122	A_23_P420551	Homo sapiens citron (rho-interacting, serine/threonine kinase 21) (CIT), mRNA [NM_007174]	CIT
445	0.0000122	0.000539	4470.653801	2727.765305	1.6389437	A_23_P51646	Homo sapiens polo-like kinase 3 (Drosophila) (PLK3), mRNA [NM_004073]	PLK3
446	0.0000122	0.000539	1411.573185	2488.548295	0.5672276	A_23_P1594	Homo sapiens vascular endothelial growth factor B (VEGFB), mRNA [NM_003377]	VEGFB
447	0.0000123	0.0005422	1440.444089	691.1405998	2.0841549	A_23_P127385	Homo sapiens myosin binding protein C, cardiac (MYBPC3), mRNA [NM_000256]	MYBPC3
448	0.0000124	0.000543	6589.933604	11113.88285	0.5929461	A_23_P165061	Homo sapiens amino-terminal enhancer of split (AES), transcript variant 1, mRNA [NM_198969]	AES
449	0.0000124	0.000543	610.2819993	354.5249385	1.7214078	A_23_P436281	Homo sapiens histone cluster 2, H4b (HIST2H4B), mRNA [NM_001034077]	HIST2H4B
450	0.0000124	0.000543	370.3291335	209.030826	1.7716484	A_24_P63290	Homo sapiens chromosome 3 open reading frame 62 (C3orf62), mRNA [NM_198562]	C3orf62
451	0.0000126	0.0005505	1287.277674	2151.687462	0.5982642	A_23_P205567	Homo sapiens protein kinase C, eta (PRKCH), mRNA [NM_006255]	PRKCH
452	0.0000129	0.0005617	35.709047	17.4548133	2.0457994	A_23_P167711	Homo sapiens microfibrillar-associated protein 3 (MFAP3), mRNA [NM_005927]	MFAP3
453	0.000013	0.0005617	13.5753964	39.6529703	0.3423551	A_24_P166807	Homo sapiens tumor protein D52 (TPD52), transcript variant 1, mRNA [NM_001025252]	TPD52
454	0.000013	0.0005617	4361.081915	2070.707375	2.1060832	A_32_P226786	Homo sapiens cDNA clone IMAGE:5273245. [BC045174]	BC045174
455	0.000013	0.0005617	976.6205964	1785.20358	0.547064	A_24_P6725	Ankyrin repeat domain-containing protein 36A. [Source:Uniprot/SWISSPROT;Acc:Q6UX02] [ENST00000288911]	ENST00000288911
456	0.000013	0.0005617	44.5392924	20.2122668	2.2035773	A_23_P53226	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA [NM_005188]	CBL
457	0.0000131	0.0005648	503.0646747	847.5031622	0.5935844	A_23_P91991	Homo sapiens oxidoreductase NAD-binding domain containing 1 (OXNAD1), mRNA [NM_138381]	OXNAD1
458	0.0000132	0.0005667	7182.544495	4804.129611	1.4950772	A_23_P142055	PREDICTED: Homo sapiens hypothetical LOC255809, transcript variant 1 (LOC255809), mRNA [XM_172995]	LOC255809
459	0.0000132	0.0005667	6402.887962	3660.337406	1.7492617	A_23_P22433	Homo sapiens retinitis pigmentosa 2 (X-linked recessive) (RP2), mRNA [NM_006915]	RP2
460	0.0000133	0.0005697	107.1165825	195.3645473	0.5482908	A_32_P72341	Homo sapiens tripartite motif-containing 59 (TRIM59), mRNA [NM_173084]	TRIM59
461	0.0000134	0.0005727	96.8364369	222.0977538	0.4360082	A_23_P115482	Homo sapiens ubiquitin-conjugating enzyme E2T (putative) (UBE2T), mRNA [NM_014176]	UBE2T
462	0.0000135	0.0005733	33.2537561	50.0195739	0.6648149	A_32_P200901	Homo sapiens cDNA clone IMAGE:3528660,  WARNING: chimeric clone . [BC013025]	BC013025
463	0.0000135	0.0005733	65.6203205	163.0508444	0.4024531	A_23_P57379	Homo sapiens CDC45 cell division cycle 45-like (S. cerevisiae) (CDC45L), mRNA [NM_003504]	CDC45L
464	0.0000135	0.0005733	325.3529697	191.1815106	1.7018014	A_23_P65870	Homo sapiens F-box protein 22 (FBXO22), transcript variant 2, mRNA [NM_012170]	FBXO22
465	0.0000137	0.0005805	385.528518	150.8557964	2.5556096	A_23_P150053	Homo sapiens actin, alpha 2, smooth muscle, aorta (ACTA2), mRNA [NM_001613]	ACTA2
466	0.0000139	0.0005865	152.3869948	286.9627227	0.5310341	A_23_P35205	Calcipressin-3 (Down syndrome candidate region 1-like protein 2) (Myocyte-enriched calcineurin-interacting protein 3) (MCIP3). [Source:Uniprot/SWISSPROT;Acc:Q9UKA8] [ENST00000374395]	DSCR1L2
467	0.0000139	0.0005865	72.9200385	115.7894334	0.6297642	A_23_P209066	Q569K0_HUMAN (Q569K0) ZNF599 protein, partial (84%) [THC2616195]	THC2616195
468	0.0000142	0.0005953	360.5880559	635.4477146	0.5674551	A_23_P258190	Homo sapiens aldo-keto reductase family 1, member B1 (aldose reductase) (AKR1B1), mRNA [NM_001628]	AKR1B1
469	0.0000142	0.0005953	213.0322063	401.3791991	0.5307505	A_23_P211207	Homo sapiens adenosine deaminase, RNA-specific, B1 (RED1 homolog rat) (ADARB1), transcript variant 1, mRNA [NM_001112]	ADARB1
470	0.0000142	0.0005953	6469.12603	3868.822238	1.6721177	A_23_P12514	Homo sapiens ras homolog gene family, member C (RHOC), transcript variant 1, mRNA [NM_175744]	RHOC
471	0.0000149	0.0006233	168.722815	337.7201576	0.4995936	A_24_P364221	Homo sapiens CD5 molecule (CD5), mRNA [NM_014207]	CD5
472	0.0000153	0.0006387	82.9595374	168.5757983	0.4921201	A_24_P927090	Homo sapiens PRO1995 mRNA, complete cds. [AF116678]	AF116678
473	0.0000154	0.0006415	150.2397443	356.847953	0.4210189	A_32_P180185	Unknown	A_32_P180185
474	0.0000156	0.0006485	11.6440729	28.1900515	0.4130561	A_24_P273014	Unknown	A_24_P273014
475	0.0000158	0.0006554	243.8566592	465.5067024	0.5238521	A_23_P68072	Homo sapiens WD repeat domain 54 (WDR54), mRNA [NM_032118]	WDR54
476	0.000016	0.0006568	315.0512662	738.0405702	0.4268753	A_23_P144274	Homo sapiens janus kinase and microtubule interacting protein 1 (JAKMIP1), mRNA [NM_144720]	JAKMIP1
477	0.000016	0.0006568	317.1041168	554.6683269	0.5717004	A_23_P35099	Homo sapiens mRNA turnover 4 homolog (S. cerevisiae) (MRT4), mRNA [NM_016183]	MRT4
478	0.000016	0.0006568	2753.256669	4379.459985	0.6286749	A_24_P101402	Homo sapiens nucleolar protein 5A (56kDa with KKE/D repeat) (NOL5A), mRNA [NM_006392]	NOL5A
479	0.000016	0.0006568	1163.829601	609.4513277	1.909635	A_23_P203419	Homo sapiens fatty acid desaturase 1 (FADS1), mRNA [NM_013402]	FADS1
480	0.000016	0.0006568	1161.291551	506.887969	2.2910221	A_24_P750164	Homo sapiens cDNA FLJ31315 fis, clone LIVER1000303. [AK055877]	LOC151438
481	0.0000161	0.0006595	156.9464382	330.1939031	0.475316	A_23_P19517	Homo sapiens inositol 1,4,5-triphosphate receptor, type 3 (ITPR3), mRNA [NM_002224]	ITPR3
482	0.0000162	0.0006623	130.2744204	281.4256013	0.4629089	A_23_P61487	Homo sapiens leucine rich repeat containing 20 (LRRC20), transcript variant 3, mRNA [NM_018205]	LRRC20
483	0.0000163	0.000665	4598.874408	2961.191064	1.5530489	A_24_P2584	Homo sapiens chromosome 1 open reading frame 63, mRNA (cDNA clone MGC:74698 IMAGE:6147639), complete cds. [BC065040]	C1orf63
484	0.0000165	0.0006703	63.3675366	110.8632544	0.5715829	A_32_P179807	Unknown	A_32_P179807
485	0.0000165	0.0006703	3921.499654	1885.813131	2.0794741	A_23_P330561	Homo sapiens chromosome 19 open reading frame 59 (C19orf59), mRNA [NM_174918]	C19orf59
486	0.0000167	0.0006757	17.7576313	33.5635335	0.5290751	A_23_P117274	Homo sapiens mitochondrial intermediate peptidase (MIPEP), nuclear gene encoding mitochondrial protein, mRNA [NM_005932]	MIPEP
487	0.0000167	0.0006757	15674.53079	9293.988364	1.6865236	A_23_P148410	Homo sapiens ferritin, heavy polypeptide-like 17 (FTHL17), mRNA [NM_031894]	FTHL17
488	0.0000168	0.0006769	48.0942651	102.5917663	0.4687926	A_23_P305198	Homo sapiens signal transducer and activator of transcription 4 (STAT4), mRNA [NM_003151]	STAT4
489	0.0000168	0.0006769	305.9517931	684.9580675	0.4466723	A_23_P406385	Homo sapiens F-box and leucine-rich repeat protein 16 (FBXL16), mRNA [NM_153350]	FBXL16
490	0.000017	0.0006836	41.8371935	85.7439611	0.4879317	A_23_P377141	Homo sapiens vacuolar protein sorting 13 homolog A (S. cerevisiae) (VPS13A), transcript variant B, mRNA [NM_015186]	VPS13A
491	0.0000171	0.0006862	1424.948072	747.2317009	1.9069695	A_24_P214858	Homo sapiens triggering receptor expressed on myeloid cells-like 2 (TREML2), mRNA [NM_024807]	TREML2
492	0.0000172	0.0006888	18.9769821	70.7983089	0.2680429	A_23_P157299	Homo sapiens AE binding protein 1 (AEBP1), mRNA [NM_001129]	AEBP1
493	0.0000173	0.0006914	927.6029012	1584.498754	0.5854236	A_24_P322847	Homo sapiens polymerase (RNA) III (DNA directed) polypeptide H (22.9kD) (POLR3H), transcript variant 4, mRNA [NM_001018051]	POLR3H
494	0.0000174	0.0006938	203.9884393	112.2890271	1.8166373	A_24_P925241	Homo sapiens cDNA FLJ20415 fis, clone KAT02189. [AK000422]	AK000422
495	0.0000175	0.0006938	3542.870893	2331.494946	1.5195705	A_24_P921823	Transcription factor 7-like 2 (HMG box transcription factor 4) (T- cell-specific transcription factor 4) (TCF-4) (hTCF-4). [Source:Uniprot/SWISSPROT;Acc:Q9NQB0] [ENST00000369397]	TCF7L2
496	0.0000175	0.0006938	216.1036532	360.8231933	0.5989184	A_24_P4212	Homo sapiens pyrroline-5-carboxylate reductase-like (PYCRL), mRNA [NM_023078]	PYCRL
497	0.0000175	0.0006938	20.3668982	72.4879482	0.2809694	A_23_P10356	Homo sapiens ADAM metallopeptidase domain 28 (ADAM28), transcript variant 3, mRNA [NM_021777]	ADAM28
498	0.0000176	0.0006964	906.1192998	601.6972241	1.505939	A_23_P424080	Homo sapiens Yip1 domain family, member 4 (YIPF4), mRNA [NM_032312]	YIPF4
499	0.0000177	0.0006975	2563.808054	3976.941891	0.6446682	A_32_P188674	Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin) (NPM1), transcript variant 1, mRNA [NM_002520]	NPM1
500	0.0000177	0.0006975	289.6677377	624.4981046	0.4638409	A_23_P212715	Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence b (CBLB), mRNA [NM_170662]	CBLB
501	0.0000181	0.0007119	63.6841849	21.2735829	2.9935806	A_23_P153958	Unknown	THC2651501
502	0.0000182	0.0007144	1191.303867	573.552188	2.0770627	A_23_P334864	Homo sapiens family with sequence similarity 126, member B (FAM126B), mRNA [NM_173822]	FAM126B
503	0.0000184	0.0007194	217.0433066	117.1248653	1.8530933	A_32_P9924	Unknown	THC2525505
504	0.0000184	0.0007194	13139.73338	8413.437779	1.5617556	A_23_P202978	Homo sapiens caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase) (CASP1), transcript variant alpha, mRNA [NM_033292]	CASP1
505	0.0000187	0.0007268	292.3889809	155.0294851	1.8860218	A_24_P337575	Homo sapiens family with sequence similarity 8, member A1 (FAM8A1), mRNA [NM_016255]	FAM8A1
506	0.0000187	0.0007268	140.5298632	75.2227409	1.8681832	A_23_P52657	Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase). [Source:Uniprot/SWISSPROT;Acc:P11217] [ENST00000377444]	PYGM
507	0.0000187	0.0007268	133.124471	299.4330841	0.4445884	A_23_P369815	Homo sapiens Fas ligand (TNF superfamily, member 6) (FASLG), mRNA [NM_000639]	FASLG
508	0.0000191	0.0007408	110502.3317	72057.77364	1.5335241	A_32_P70158	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3 (LILRB3), mRNA [NM_006864]	LILRB3
509	0.0000192	0.0007418	18.8276794	32.2539088	0.5837333	A_32_P69783	Q9F8M7_CARHY (Q9F8M7) DTDP-glucose 4,6-dehydratase (Fragment), partial (11%) [THC2678819]	THC2731533
510	0.0000192	0.0007418	133.1510992	76.8975973	1.7315378	A_24_P94351	Homo sapiens chromosome 1 open reading frame 56 (C1orf56), mRNA [NM_017860]	C1orf56
511	0.0000194	0.0007466	119.3021385	294.9176696	0.4045269	A_23_P21393	Unknown	A_23_P21393
512	0.0000194	0.0007466	174.806411	287.77775	0.6074355	A_23_P332326	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 19 (ARHGEF19), mRNA [NM_153213]	ARHGEF19
513	0.0000195	0.0007475	402.0400477	215.8628123	1.8624794	A_23_P322562	Homo sapiens neuralized homolog (Drosophila) (NEURL), mRNA [NM_004210]	NEURL
514	0.0000195	0.0007475	171.0398722	324.2380008	0.5275133	A_23_P207811	Homo sapiens poly(A) binding protein interacting protein 1 (PAIP1), transcript variant 1, mRNA [NM_006451]	PAIP1
515	0.0000197	0.0007537	156.6165478	305.3660817	0.5128813	A_24_P205008	Homo sapiens cDNA FLJ37147 fis, clone BRACE2025316, weakly similar to tRNA-splicing endonuclease subunit. [AK094466]	TSEN54
516	0.0000202	0.0007714	17.1564383	31.5781552	0.5433008	A_23_P122068	Homo sapiens C1q and tumor necrosis factor related protein 3 (C1QTNF3), transcript variant 2, mRNA [NM_181435]	C1QTNF3
517	0.0000203	0.0007737	9451.672351	4232.591239	2.23307	A_23_P127948	Homo sapiens adrenomedullin (ADM), mRNA [NM_001124]	ADM
518	0.0000204	0.0007745	234.5392164	443.3819943	0.5289778	A_23_P135634	Homo sapiens NRAGE mRNA, complete cds. [AF217963]	MAGED1
519	0.0000204	0.0007745	21.2847512	35.5873611	0.5980986	A_23_P77201	Homo sapiens chromosome 15 open reading frame 41 (C15orf41), mRNA [NM_032499]	C15orf41
520	0.0000206	0.0007791	60.4196705	33.6758243	1.7941557	A_32_P18357	Homo sapiens cDNA FLJ46718 fis, clone TRACH3018240. [AK128559]	C14orf10
521	0.0000206	0.0007791	128.1803652	248.1164199	0.5166138	A_23_P15906	Homo sapiens enolase superfamily member 1 (ENOSF1), mRNA [NM_017512]	ENOSF1
522	0.0000207	0.0007814	34.7291965	19.2865565	1.8006945	A_24_P238365	Homo sapiens mRNA for KIAA1993 protein. [AB082524]	ZBTB34
523	0.0000208	0.0007821	37.9484971	76.8113004	0.4940484	A_24_P254833	T-cell receptor beta chain V region CTL-L17 precursor. [Source:Uniprot/SWISSPROT;Acc:P04435] [ENST00000360182]	ENST00000360182
524	0.0000208	0.0007821	104.6251457	215.4918278	0.4855179	A_23_P62652	Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), mRNA [NM_003037]	SLAMF1
525	0.0000213	0.0007979	327.9946512	185.0906422	1.7720758	A_23_P365614	Homo sapiens Notch homolog 4 (Drosophila) (NOTCH4), mRNA [NM_004557]	NOTCH4
526	0.0000213	0.0007979	31.182058	59.103594	0.5275831	A_32_P94618	Unknown	THC2754061
527	0.0000217	0.0008098	8093.450783	4215.202215	1.9200623	A_23_P7932	Homo sapiens triggering receptor expressed on myeloid cells-like 2 (TREML2), mRNA [NM_024807]	TREML2
528	0.0000217	0.0008098	127.949068	232.3044324	0.5507819	A_32_P154121	Unknown	THC2740111
529	0.0000218	0.000812	56.5083676	27.8398521	2.0297654	A_23_P104493	Homo sapiens 3-phosphoadenosine 5-phosphosulfate synthase 2 (PAPSS2), transcript variant 2, mRNA [NM_001015880]	PAPSS2
530	0.000022	0.0008179	418.9272993	650.2661021	0.6442398	A_24_P275828	Homo sapiens per1-like domain containing 1 (PERLD1), mRNA [NM_033419]	PERLD1
531	0.0000222	0.0008198	43.9952611	101.1794103	0.4348242	A_24_P239664	Homo sapiens branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease) (BCKDHB), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA [NM_183050]	BCKDHB
532	0.0000222	0.0008198	507.9869132	1238.898166	0.4100312	A_24_P402690	Homo sapiens integral membrane protein 2C (ITM2C), transcript variant 1, mRNA [NM_030926]	ITM2C
533	0.0000222	0.0008198	3331.985709	1667.904255	1.997708	A_23_P31177	Homo sapiens transmembrane protein 140 (TMEM140), mRNA [NM_018295]	TMEM140
534	0.0000223	0.0008198	32.9817747	76.4568166	0.4313778	A_32_P133767	Homo sapiens chromosome 12 open reading frame 42 (C12orf42), mRNA [NM_198521]	C12orf42
535	0.0000223	0.0008198	37.7176478	76.3850136	0.4937833	A_24_P595460	Homo sapiens cDNA FLJ40079 fis, clone TESTI2001498, highly similar to DNA-BINDING PROTEIN NEFA PRECURSOR. [AK097398]	NUCB2
536	0.0000223	0.0008198	44.2318274	80.4758109	0.5496288	A_32_P82863	CDNA FLJ27459 fis, clone TST05904. (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q6ZNN0] [ENST00000330692]	DKFZp779O175
537	0.0000225	0.0008256	4765.235233	7191.905276	0.6625831	A_23_P214037	Homo sapiens nucleophosmin (nucleolar phosphoprotein B23, numatrin) (NPM1), transcript variant 1, mRNA [NM_002520]	NPM1
538	0.0000228	0.000835	9076.314305	5504.488804	1.6488932	A_23_P415021	Homo sapiens methyltransferase like 7A (METTL7A), mRNA [NM_014033]	METTL7A
539	0.000023	0.0008408	130.586858	261.1819341	0.4999843	A_24_P249824	Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2 (DYRK2), transcript variant 2, mRNA [NM_006482]	DYRK2
540	0.0000231	0.0008429	207.6254305	342.615405	0.6060014	A_23_P69267	Homo sapiens abhydrolase domain containing 14A (ABHD14A), mRNA [NM_015407]	ABHD14A
541	0.0000237	0.0008589	139.517046	77.871852	1.7916236	A_23_P405049	Homo sapiens protein tyrosine phosphatase, receptor type, J (PTPRJ), mRNA [NM_002843]	PTPRJ
542	0.0000237	0.0008589	2822.754612	5236.16048	0.5390886	A_23_P161280	Homo sapiens sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2 (SPOCK2), mRNA [NM_014767]	SPOCK2
543	0.0000238	0.0008589	205.2850292	347.8553275	0.5901448	A_23_P77714	Homo sapiens clusterin associated protein 1 (CLUAP1), transcript variant 2, mRNA [NM_024793]	CLUAP1
544	0.0000238	0.0008589	668.5717278	373.8720501	1.7882367	A_23_P164784	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5 (LILRB5), mRNA [NM_006840]	LILRB5
545	0.0000238	0.0008589	75.4835759	123.4744335	0.6113296	A_32_P106315	Homo sapiens mRNA; cDNA DKFZp686D13227 (from clone DKFZp686D13227) [BX641009]	SPATA5
546	0.0000238	0.0008589	25.9790485	89.2785454	0.2909887	A_23_P354705	Homo sapiens ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 (ST8SIA1), mRNA [NM_003034]	ST8SIA1
547	0.000024	0.0008645	190.1374714	109.7002687	1.7332453	A_23_P53397	Homo sapiens Sp1 transcription factor (SP1), mRNA [NM_138473]	SP1
548	0.0000242	0.0008701	16277.40146	10326.84892	1.5762215	A_23_P10591	Homo sapiens meteorin, glial cell differentiation regulator-like (METRNL), mRNA [NM_001004431]	METRNL
549	0.0000244	0.0008726	153.5570849	379.1283889	0.4050266	A_23_P362183	Homo sapiens ankyrin repeat and sterile alpha motif domain containing 6 (ANKS6), mRNA [NM_173551]	ANKS6
550	0.0000244	0.0008726	398.6463711	630.005547	0.6327664	A_23_P428992	full-length cDNA clone CS0DC008YD20 of Neuroblastoma Cot 25-normalized of Homo sapiens (human). [CR606044]	ENST00000382579
551	0.0000244	0.0008726	74.556845	167.8229933	0.4442588	A_23_P401	Homo sapiens centromere protein F, 350/400ka (mitosin) (CENPF), mRNA [NM_016343]	CENPF
552	0.0000245	0.0008745	77.3034649	190.9672796	0.4047995	A_24_P149266	Homo sapiens protein kinase C and casein kinase substrate in neurons 1 (PACSIN1), mRNA [NM_020804]	PACSIN1
553	0.0000246	0.0008765	18.7704361	50.5431345	0.3713746	A_24_P229164	Homo sapiens huntingtin interacting protein 1 related (HIP1R), mRNA [NM_003959]	HIP1R
554	0.0000247	0.0008785	769.6144476	505.4224248	1.5227153	A_23_P218835	Homo sapiens karyopherin alpha 4 (importin alpha 3) (KPNA4), mRNA [NM_002268]	KPNA4
555	0.0000249	0.000884	73.2946704	184.5104068	0.3972387	A_24_P37020	AF235005 suppression of tumorigenicity 16 protein {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (13%) [THC2690931]	THC2690931
556	0.0000251	0.0008895	47.5322813	28.4303803	1.6718834	A_24_P233406	Unknown	THC2733540
557	0.0000256	0.0009056	344.9443094	503.4872849	0.6851103	A_23_P92042	Homo sapiens inositol 1,4,5-triphosphate receptor, type 1 (ITPR1), mRNA [NM_002222]	ITPR1
558	0.0000257	0.0009075	407.3517753	653.9392587	0.6229199	A_23_P65797	Homo sapiens kelch-like 25 (Drosophila) (KLHL25), mRNA [NM_022480]	KLHL25
559	0.0000261	0.00092	1805.551622	4280.225923	0.4218356	A_23_P202520	Homo sapiens actin binding LIM protein 1 (ABLIM1), transcript variant 3, mRNA [NM_001003408]	ABLIM1
560	0.0000263	0.0009237	110.6995234	227.1329311	0.4873777	A_24_P419300	PP7080. [Source:Uniprot/SPTREMBL;Acc:Q71RB1] [ENST00000342584]	ENST00000342584
561	0.0000263	0.0009237	55.6856125	100.837543	0.552231	A_23_P426279	PEBP_MOUSE (P70296) Phosphatidylethanolamine-binding protein (PEBP) (HCNPpp) [Contains: Hippocampal cholinergic neurostimulating peptide (HCNP)], complete [THC2651548]	THC2651548
562	0.0000269	0.0009431	126.4892498	51.647175	2.449103	A_24_P686975	Homo sapiens cDNA clone IMAGE:5273245. [BC045174]	BC045174
563	0.0000271	0.0009468	147.2076791	324.9596828	0.4530029	A_23_P404821	Homo sapiens KIAA1147, mRNA (cDNA clone IMAGE:4470021), complete cds. [BC012493]	KIAA1147
