Gene name	Description	Entrez Gene ID	ANOVA p-value	Mma20  fold change	Mma20 p-value	E11     fold change	E11       p-value
LOC562478	Hypothetical LOC562478	562478	0.003	1.2	0.0139	1.74	6.66E-11
LOC562763	Hypothetical LOC562763	562763	0.00073	-1.08	0.76797	2.53	1.76E-10
LOC562786	Hypothetical LOC562786	562786	0.00127	1.14	0.17876	1.63	9.98E-19
LOC562825	Similar to Cyclin B1 interacting protein 1	562825	3.79E-08	-1.72	6.34E-08	2.32	0.00053
LOC562916	Similar to APOBEC-1 stimulating protein	562916	0.00137	-2.39	1.49E-11	1.76	0.27369
LOC563009	Hypothetical LOC563009	563009	0.00018	1.1	0.36875	2.18	4.71E-09
LOC563343	Hypothetical LOC563343	563343	1.99E-06	-1.55	0.01153	1.99	6.04E-08
LOC563543	Similar to inositol polyphosphate 5-phosphatase	563543	6.60E-06	-1.68	0.02448	1.66	1.22E-08
LOC563864	Hypothetical LOC563864	563864	0.00008	1.03	0.86155	1.98	8.14E-19
LOC563907	Hypothetical LOC563907	563907	0.00075	1.31	0.17991	2.88	8.42E-20
LOC563930	Similar to Protein kinase C, eta	563930	0.00015	-1.5	0.34831	3.1	2.50E-14
LOC563932	Hypothetical LOC563932	563932	0.00002	-1.18	0.22817	2.01	9.88E-10
LOC564424	Similar to Soat1-prov protein	564424	0.0016	1.14	0.15067	1.61	5.90E-18
LOC564525	Hypothetical LOC564525	564525	0.00333	-1.05	0.89209	2.61	1.22E-12
LOC564674	Similar to conserved hypothetical protein	564674	0.00031	1.43	0.00413	2.89	7.20E-19
LOC564780	Similar to Tmc6-related protein 1	564780	0.00502	1.19	0.44851	2.09	3.21E-37
LOC565403	Similar to novel pim oncogene	565403	0.00001	-1.98	0.01486	1.52	1.04E-08
LOC565491	Hypothetical LOC565491	565491	2.73E-08	-2.08	7.10E-06	1.96	2.55E-06
LOC565793	Similar to stromelysin-3	565793	0.00076	-1.11	0.56948	1.88	9.42E-09
LOC566127	Similar to glycogen branching enzyme	566127	0.0001	-1.08	0.55289	1.75	9.80E-11
LOC566198	Hypothetical LOC566198	566198	0.00444	1.2	0.04729	1.89	1.09E-08
LOC566534	Similar to PHD finger protein 8	566534	0.00565	-1.01	0.97149	2.12	1.31E-08
LOC566637	Similar to wings apart-like homolog (Drosophila)	566637	0.00013	1.29	0.00106	2.15	8.52E-18
LOC566820	Similar to ring finger protein 38	566820	0.00321	-1.18	0.51112	1.72	6.90E-09
LOC566982	Similar to LOC494751 protein	566982	0.0001	-2.54	0.03463	1.76	1.86E-07
LOC567078	Hypothetical LOC567078	567078	0.0055	1.25	0.20833	2.09	1.35E-19
LOC567416	Similar to kinesin-C	567416	0.00172	-1.7	0.26325	2.01	1.10E-18
LOC567537	Similar to interleukin-8	567537	9.34E-12	-1.71	8.14E-32	1.55	0.00229
LOC567953	Similar to C-type natriuretic peptide 3	567953	3.55E-06	-3.98	3.11E-13	1.61	0.17316
LOC568522	Hypothetical LOC568522	568522	0.00016	1.05	0.80719	2.97	1.07E-11
LOC568656	Similar to type IV antifreeze protein	568656	2.98E-08	-1.41	0.00439	1.89	3.56E-11
LOC568719	Hypothetical LOC568719	568719	1.49E-11	-1.29	0.2095	2.9	0
LOC569234	Hypothetical LOC569234	569234	2.58E-08	-1.27	0.00004	1.51	4.89E-06
LOC569376	Similar to phospholipase c beta-2	569376	2.22E-07	1.16	0.13829	2.76	5.20E-24
LOC569435	Hypothetical LOC569435	569435	0.00195	1.15	0.06778	1.88	3.32E-06
LOC569661	Hypothetical LOC569661	569661	2.20E-14	-1.5	0.00009	2.02	2.63E-25
LOC569863	Hypothetical LOC569863	569863	5.20E-09	-1.01	0.83837	1.52	2.55E-25
LOC569954	Hypothetical LOC569954	569954	1.14E-06	-1.65	0.00035	1.61	0.00002
LOC570311	Similar to calpain-like protease CAPN10a	570311	8.04E-06	-1.16	0.02084	1.53	0.00005
LOC570390	Hypothetical LOC570390	570390	3.59E-13	-4.61	0.00002	4.46	2.40E-18
LOC570837	Hypothetical LOC570837	570837	0.00969	-2.09	8.55E-09	1.65	0.37184
LOC571087	Similar to putative extensin	571087	1.35E-09	-1.22	0.02786	1.7	7.06E-19
LOC571279	Hypothetical LOC571279	571279	0.00314	-1.06	0.75731	1.57	1.07E-18
LOC571439	Hypothetical LOC571439	571439	3.69E-07	-1.28	0.07446	1.51	5.69E-22
LOC571608	Hypothetical LOC571608	571608	0.00016	1.11	0.14279	1.81	2.76E-10
LOC571889	Hypothetical LOC571889	571889	0.00149	-1.29	0.25414	1.57	1.11E-06
LOC571917	Similar to mKIAA0782 protein	571917	5.33E-06	-1.08	0.56794	1.8	1.45E-20
LOC572280	Similar to KIAA1199 protein	572280	6.54E-08	-1.38	0.0188	1.99	1.81E-12
LOC572750	Hypothetical LOC572750	572750	0.00002	-1.36	0.39258	2.72	0
LOC572907	Similar to Mitochondrial ribosomal protein L23	572907	0.00638	-1.04	0.79535	1.53	1.01E-07
LOC573117	Similar to NIAM	573117	0.00003	-1.06	0.679	2.26	2.63E-11
LOC792326	Similar to TATA element modulatory factor 1	792326	0.00393	1.19	0.20727	1.83	7.30E-17
LOC792437	Similar to Cyclin G associated kinase	792437	0.00055	1.18	0.09757	1.82	1.46E-18
LOC792689	Hypothetical protein LOC792689	792689	0.00091	1	0.99431	2.53	1.65E-19
LOC793097	Hypothetical protein LOC793097	793097	0.00001	1.03	0.80395	1.74	2.70E-24
LOC793293	Hypothetical protein LOC793293	793293	0.00003	1.15	0.07538	2.06	2.81E-14
LOC793364	Hypothetical protein LOC793364	793364	5.07E-15	-13.26	0	2	0.03061
LOC793536	Similar to ring finger protein 185	793536	0.00002	1.03	0.59388	1.66	1.99E-09
LOC793550	Similar to multiple tissue opsin	793550	1.31E-08	-1.36	0.00505	1.79	2.26E-12
LOC793823	Similar to huntingtin interacting protein 1	793823	0.00075	-1.21	0.50231	2.01	7.14E-13
LOC793844	Hypothetical protein LOC793844	793844	0.00082	-1.33	0.18749	2.41	0.00008
LOC793920	Hypothetical protein LOC793920	793920	0.00002	-1.68	0.02569	2.1	1.09E-06
LOC794166	Similar to coiled-coil domain containing 69	794166	1.51E-06	1.09	0.48407	2.33	1.82E-23
LOC794532	Similar to Mib	794532	0.00031	-1.16	0.61831	2.7	1.23E-11
LOC794693	Hypothetical protein LOC794693	57953	7.76E-08	-1.24	0.00776	1.79	1.10E-08
LOC794920	Hypothetical protein LOC794920	794920	8.48E-08	-1.24	0.2098	2.16	3.12E-23
LOC795538	Hypothetical protein LOC795538	795538	0.00087	1.24	0.00055	1.83	2.04E-10
LOC795755	Hypothetical protein LOC795755	795755	0.00017	-1.51	0.20594	2.1	8.31E-11
LOC795887	Hypothetical protein LOC795887	795887	2.97E-06	1.03	0.90987	6.92	1.14E-15
LOC796084	Similar to gag-protease	796084	2.18E-08	-2.4	0.01425	3.09	2.75E-17
LOC796734	Hypothetical protein LOC796734	796734	0.00004	1.02	0.82333	1.93	2.15E-10
LOC796949	Hypothetical protein LOC796949	796949	7.73E-09	-1.1	0.73902	10.52	1.88E-23
LOC797063	Hypothetical protein LOC797063	797063	4.26E-07	-1.05	0.83408	3.22	1.66E-30
LOC797211	Hypothetical protein LOC797211	325386	1.06E-13	-2.81	7.01E-42	1.95	0.00231
LOC797413	Similar to gag-protease	797413	1.96E-09	-1.02	0.89227	2.56	3.15E-33
LOC797680	Hypothetical protein LOC797680	797680	0.00173	1.01	0.96443	1.76	8.98E-16
LOC797976	Similar to FLJ39237 protein	797976	0.00002	1.45	0.00117	2.64	4.97E-42
LOC798505	Hypothetical protein LOC798505	798505	5.07E-15	-1.56	5.41E-09	2.46	3.01E-13
LOC798766	Hypothetical protein LOC798766	798766	0.00046	-1.09	0.50709	1.62	1.04E-08
LOC799432	Hypothetical protein LOC799432	799432	0.00031	1.13	0.31163	1.79	4.22E-22
LOC799518	Hypothetical protein LOC799518	799518	6.96E-09	-1.74	0.00036	1.64	1.57E-09
LOC799689	Hypothetical protein LOC799689	799689	8.24E-14	-1.47	0.04117	4.21	6.68E-40
LOC799825	Hypothetical protein LOC799825	799825	0.00074	-1.42	0.16808	1.9	0.00001
LOC799952	Hypothetical protein LOC799952	799952	0.00003	-1.1	0.72038	3.41	5.34E-15
lrp5	Low density lipoprotein receptor-related protein 5	554087	0.00001	-1.25	0.22984	1.7	9.47E-19
mapk8	Mitogen-activated protein kinase 8	65236	0.00003	1.05	0.66324	2.42	4.31E-08
marcksl1	MARCKS-like 1	406407	0.00197	1.28	6.34E-23	1.7	6.27E-07
mia2	Melanoma inhibitory activity 2	336784	0.00216	-1.03	0.84048	1.85	2.36E-07
mpp1	Membrane protein, palmitoylated 1	325542	1.12E-07	-1.12	0.23906	1.69	4.26E-19
mpp6	Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	394134	0.00199	1.12	0.09257	1.53	8.48E-13
mta3	Metastasis associated family, member 3	334553	0.00002	-1.11	0.47455	1.72	3.26E-15
mthfsd	Methenyltetrahydrofolate synthetase domain containing	566203	5.07E-15	-7.35	1.50E-38	1.67	0.00007
nadl1.1	Neural adhesion molecule L1.1	30656	0.00335	1.11	0.37429	1.6	3.19E-16
nav3	Neuron navigator 3	567779	0.00112	1	0.9788	1.71	2.75E-09
nfkb1	NF-kB1 precursor protein	565756	0.00028	1.16	0.1348	1.62	0
nod2	Nucleotide-binding oligomerization domain containing 2	777696	0.00118	1.27	5.33E-08	1.62	4.25E-21
notch1a	Notch homolog 1a	30718	5.07E-15	-1.81	4.17E-42	1.84	3.53E-08
notch1b	Notch homolog 1b	30565	0.00006	-1.33	0.2077	1.87	9.21E-12
notch2	Notch homolog 2	58065	2.31E-06	1.1	0.23309	1.94	2.84E-22
npy	Neuropeptide Y	30281	4.51E-07	-1.77	0.00067	2.09	9.16E-07
or13.1	Odorant receptor, family 13, member 1	58111	0.00003	-1.52	0.33938	3.12	9.72E-39
or13.4	Odorant receptor, family 13, member 4	58121	0.00013	-1.81	0.08853	1.69	3.11E-17
or2.8	Odorant receptor, family 2, member 8	80362	3.62E-07	-1.83	0.00227	1.73	1.78E-07
or2.9	Odorant receptor, family 2, member 9	80363	2.32E-10	-1.77	0.04732	3	0
or5.2	Odorant receptor, family C, subfamily 102, member 5	554781	5.07E-15	-1.93	1.23E-06	3.22	4.46E-26
or9.4	Odorant receptor, family 9, member 4	80360	2.62E-06	1.02	0.91501	3.98	2.74E-11
p4ha1	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	325364	0.00349	1.08	0.55147	1.6	8.74E-13
pafah1b1a	Platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit a	394246	0.00029	1.34	1.43E-22	1.69	2.52E-20
pcdh15a	Protocadherin 15a	368476	1.65E-07	-2.44	0.00077	1.7	1.08E-06
pcdh1g22	Protocadherin 1 gamma 22	323975	1.58E-06	-1.69	0.0002	1.82	0.00004
pdgfra	Platelet derived growth factor receptor alpha	30745	0.00016	-1.06	0.48695	1.63	1.28E-07
pgam1	Phosphoglycerate mutase 1	323107	0.00032	1.3	0.00022	1.81	1.64E-31
pgam1l	Phosphoglycerate mutase 1, like	408255	0.00014	-1.13	0.51919	1.77	1.08E-16
pigk	Phosphatidylinositol glycan, class K	415239	0.00052	1.07	0.62694	2.04	1.73E-12
plcb3	Phospholipase C beta	572024	0.00468	1.06	0.72885	1.85	5.14E-10
plcg1	Phospholipase C, gamma 1	373867	0.0041	1.27	0.00073	1.71	1.66E-18
pou1f1	POU domain, class 1, transcription factor 1	405777	0.00181	-1.1	0.73475	1.97	4.77E-20
ppp4r1	Protein phosphatase 4, regulatory subunit 1	393230	0.00028	1.18	0.00291	1.69	1.79E-14
prkcb1	Protein kinase C, beta 1	393953	6.65E-07	1	0.966	1.83	3.42E-19
psmb10	Proteasome (prosome, macropain) subunit, beta type, 10	64280	4.64E-14	-1.62	0.0003	1.74	5.75E-38
psmb11	Proteasome (prosome, macropain) subunit, beta type, 11	64279	1.79E-13	-1.94	2.60E-14	1.62	6.00E-08
psmb9a	Proteasome (prosome, macropain) subunit, beta type, 9a	30665	0.00245	-1.23	0.36332	1.53	1.68E-08
ptpn12	Protein tyrosine phosphatase, non-receptor type 12	393642	1.18E-09	1.13	0.00898	1.82	4.15E-39
ptpn4	Protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	368448	0.00045	1.34	0.00359	2.16	7.58E-25
pycrl	Pyrroline-5-carboxylate reductase-like	560682	6.29E-08	-1.24	0.02524	2.05	7.41E-10
rabgef1	RAB guanine nucleotide exchange factor (GEF) 1	393915	4.74E-12	1.04	0.625	2.1	0
rarg	Retinoic acid receptor gamma	30606	4.15E-08	1.31	0.00901	3.26	6.23E-35
rgl1	Ral guanine nucleotide dissociation stimulator-like 1	402933	0.00003	1.1	0.26378	1.8	4.03E-18
rgl2	Ral guanine nucleotide dissociation stimulator-like 2	65227	0.00436	1.35	0.00598	2.03	7.17E-19
rheb	Ras homolog enriched in brain	767781	0.00032	1.22	0.0081	1.6	0
rip1	Receptor-interacting 1	567460	6.96E-09	1.05	0.3264	1.95	4.83E-18
rnf213	Ring finger protein 213	503775	0.00019	-1	1	4.26	2.30E-09
rrp12	Ribosomal RNA processing 12 homolog (S. cerevisiae)	563195	0.0002	1.01	0.88817	1.66	6.38E-13
rtk4	Eph-like receptor tyrosine kinase 4	30687	0.00002	-1.06	0.66988	1.96	1.75E-13
rxrba	Retinoid x receptor, beta a	30530	0.00709	1.03	0.77556	1.51	7.97E-08
sb:cb1035	Sb:cb1035	387313	0.00001	-1.49	0.07811	1.65	2.99E-13
sdc2	Syndecan 2	282667	3.08E-09	1.38	4.65E-11	2.6	1.15E-26
sepn1	Selenoprotein N, 1	352914	7.85E-06	-1.08	0.35342	2.14	0.00002
sfrs3	Splicing factor, arginine/serine-rich 3	368925	1.75E-07	-1.4	0.0326	1.83	3.05E-13
sh3bp4	SH3-domain binding protein 4	403082	0.00625	1.14	0.19812	1.83	1.24E-07
sh3bp5	SH3-domain binding protein 5 (BTK-associated)	406767	5.07E-15	-1.21	4.87E-11	2.03	1.63E-15
si:busm1-194e12.11	Si:busm1-194e12.11	368993	3.21E-08	-20.19	7.03E-12	1.75	0.11257
si:busm1-194e12.8	Si:busm1-194e12.8	368816	5.07E-15	-1.71	4.91E-27	6.35	4.63E-23
si:ch211-122a20.1	Si:ch211-122a20.1	558732	9.67E-15	-1.49	1.82E-09	1.55	2.33E-15
si:ch211-132b12.8	Si:ch211-132b12.8	561391	0.00051	1.05	0.68689	1.9	2.18E-12
si:ch211-147d7.3	Si:ch211-147d7.3	562522	2.55E-07	-1.24	0.33477	6.11	5.81E-12
si:ch211-192k9.1	Si:ch211-192k9.1	445293	3.24E-13	-1.2	0.21297	5.76	2.24E-30
si:ch211-194d6.3	Si:ch211-194d6.3	571515	0.00004	1.2	0.02498	1.94	3.36E-23
si:ch211-199g17.1	Si:ch211-199g17.1	565918	0.00254	1.11	0.42476	1.74	2.98E-13
si:ch211-202c21.3	Si:ch211-202c21.3	553387	0.00002	1.02	0.97448	12.11	0
si:ch211-206g24.1	Si:ch211-206g24.1	446214	1.50E-09	-1.38	0.00955	1.83	4.28E-17
si:ch211-214c7.4	Si:ch211-214c7.4	334343	1.71E-06	1.1	0.10357	1.82	3.80E-15
si:ch211-227p7.1	Si:ch211-227p7.1	562532	0.00014	-1	1	2.4	1.01E-25
si:ch211-237c7.1	Si:ch211-237c7.1	565659	0.00003	-1.04	0.62917	1.69	2.97E-10
si:ch211-237l4.2	Si:ch211-237l4.2	561047	2.99E-07	-1.3	0.05585	1.55	7.31E-17
si:ch211-241j12.3	Si:ch211-241j12.3	566552	3.76E-10	-1.39	0.00231	1.83	7.50E-16
si:ch211-255d18.1	Si:ch211-255d18.1	571344	0.00132	1.01	0.90669	1.97	4.58E-06
si:ch211-260p9.1	Si:ch211-260p9.1	561893	0.00488	1.24	0.04367	2.43	0.00009
si:ch211-51a19.2	Si:ch211-51a19.2	555639	0.00161	1.09	0.51989	2.07	4.44E-09
si:dkey-111e8.1	Si:dkey-111e8.1	323719	0.0001	1.24	0.00013	2.02	2.95E-09
si:dkey-114f6.1	Si:dkey-114f6.1	327573	0.00008	-1.75	0.10455	1.82	5.92E-17
si:dkey-13a21.9	Si:dkey-13a21.9	564996	0.00962	1.34	0.12285	2.21	5.72E-22
si:dkey-154b17.1	Si:dkey-154b17.1	449864	0.00028	-1.16	0.51865	2.25	2.64E-10
si:dkey-220f10.6	Si:dkey-220f10.6	492678	0.00036	1.08	0.6615	2.33	3.61E-14
si:dkey-251i10.2	Si:dkey-251i10.2	553021	0.00016	-1.76	0.14508	2.53	4.65E-08
si:dkey-264g21.1	Si:dkey-264g21.1	557132	6.25E-12	-1.2	0.03797	2.17	3.30E-25
si:dkey-265o13.4	Si:dkey-265o13.4	567033	0.00092	1.11	0.40669	1.81	4.11E-16
si:dkey-30h14.2	Si:dkey-30h14.2	561832	0.00022	1.29	0.00243	2.29	5.40E-13
si:dkey-63j12.5	Si:dkey-63j12.5	570320	0.00853	1.48	5.62E-06	2.18	3.39E-15
si:dkey-73n10.1	Si:dkey-73n10.1	337365	0.00002	1.4	2.92E-06	2.26	1.19E-34
si:dkey-98f17.2	Si:dkey-98f17.2	337618	0.00082	-1.09	0.68514	2.5	8.94E-08
si:dkeyp-119b4.5	Si:dkeyp-119b4.5	570584	0.00007	-1.25	0.52749	4.73	3.90E-11
si:dkeyp-39e9.2	Si:dkeyp-39e9.2	566205	0.00041	1.25	0.2842	2.71	2.95E-24
si:dkeyp-55f12.3	Si:dkeyp-55f12.3	568418	0.00448	1.08	0.45143	1.54	1.98E-10
si:rp71-1c10.1	Si:rp71-1c10.1	334667	0.00373	1.28	1.06E-10	1.6	1.16E-12
si:rp71-1p14.10	Si:rp71-1p14.10	566275	0.00425	1.33	0.00011	2.03	2.30E-08
si:rp71-36d5.1	Si:rp71-36d5.1	368423	8.97E-07	-1.28	0.22229	1.94	4.46E-29
sipa1l1	Signal-induced proliferation-associated 1 like 1	562521	0.00013	-1.12	0.14435	1.58	0.00007
six2.1	Sine oculis homeobox homolog 2.1	83415	0.00049	1.11	0.03213	1.53	1.64E-10
slc17a6	Solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6	368650	0.00055	-1.14	0.73791	2.82	2.02E-24
slc6a3	Solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	80787	6.13E-09	-1.96	3.11E-16	1.59	0.00948
slc6a4a	Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4A	664719	7.06E-07	-1.46	0.14577	2.28	1.75E-25
slit3	Slit (Drosophila) homolog 3	80354	3.24E-07	-1.17	0.15319	1.54	1.45E-19
smad2	MAD homolog 2 (Drosophila)	30639	0.00009	1.08	0.12848	1.59	2.55E-10
snd1	Staphylococcal nuclease domain containing 1	324404	0.0005	1.09	0.225	1.57	2.54E-12
spna2	Spectrin alpha 2	553383	1.33E-06	-1.47	0.01991	2.5	2.98E-08
sppl3	Signal peptide peptidase 3	548609	0.00756	1.16	0.19498	1.61	5.27E-17
srf	Serum response factor	30431	2.00E-08	-1.59	0.02993	3.75	3.41E-14
supt5h	Suppressor of Ty 5 homolog (S. cerevisiae)	64275	1.29E-06	-1	0.99173	1.52	7.49E-09
suv420h1	Suppressor of variegation 4-20 homolog 1 (Drosophila)	572849	0.00004	1.19	3.66E-06	1.54	4.49E-26
tcf3	TCF3 transcription factor 3	30310	0.00053	-1.08	0.62773	1.59	7.12E-12
tfr1b	Transferrin receptor 1b	494478	0.00015	-2.28	0.0718	1.93	5.38E-12
tif2	Transcriptional intermediary factor 2	81884	0.00007	1.06	0.51243	2.01	6.92E-10
tjp1	Tight junction protein 1 (zona occludens 1)	378845	3.59E-07	-1.16	0.07859	1.5	1.99E-13
tlr18	Toll-like receptor 18	403133	0.00004	1.44	0.00024	2.55	1.18E-33
tlr9	Toll-like receptor 9	403128	2.65E-06	1.01	0.83895	1.98	1.13E-06
tm9sf3	Transmembrane 9 superfamily member 3	406698	0.00004	-1.06	0.57394	1.65	6.51E-12
tmed3	Transmembrane emp24 protein transport domain containing 3	336391	0.00274	-1.77	8.02E-22	1.61	0.26626
tnpo2	Transportin 2 (importin 3, karyopherin beta 2b)	445499	0.00218	1.14	0.19836	1.7	2.31E-13
tnpo3	Transportin 3	394062	0.00001	1.09	0.22054	1.73	8.25E-20
TOM1	Similar to target of myb1 (chicken)	403083	2.78E-06	1.03	0.45952	1.6	5.66E-09
top1mt	Mitochondrial topoisomerase I	415098	2.40E-13	-1.08	0.28465	2.2	1.14E-37
trip11	Thyroid hormone receptor interactor 11	321251	0.00063	1.34	0.00008	2.32	2.95E-08
tshb	Thyroid stimulating hormone, beta subunit	353223	7.49E-08	-1.79	0.0001	2.53	3.47E-06
tspan15	Tetraspanin 15	550470	2.57E-08	-2.47	0.00222	1.93	5.76E-13
urod	Uroporphyrinogen decarboxylase	30617	0.00031	1.21	0.09215	1.78	0
vangl2	Vang-like 2 (van gogh, Drosophila)	245949	1.45E-06	-1.25	0.07764	2.89	3.45E-06
vipr2	Vasoactive intestinal peptide receptor 2	81886	2.18E-10	-1.09	0.20217	1.65	2.71E-27
wars	Tryptophanyl-tRNA synthetase	393745	1.31E-06	-1.41	0.08076	1.6	0
wdr45l	Wdr45 like	393210	0.00366	1.1	0.19873	1.59	6.52E-07
whsc1l1	Wolf-Hirschhorn syndrome candidate 1-like 1	541477	0.0005	-1.25	0.12175	1.72	0.00004
wu:fa04d12	Wu:fa04d12	334821	0.00142	-1.01	0.98423	2.53	0
wu:fa05b01	Wu:fa05b01	334846	0.00245	1.44	0.00048	2.23	2.09E-22
wu:fa12c09	Wu:fa12c09	326643	0.0001	1.08	0.28438	1.72	1.58E-10
wu:fa14a01	Wu:fa14a01	334589	2.16E-09	-2.09	0.00004	1.91	9.75E-09
wu:fa14f03	Wu:fa14f03	334610	0.00423	-1	1	2.79	1.21E-06
wu:fa16h07	Wu:fa16h07	407644	5.89E-06	1.39	1.19E-06	2.36	3.36E-28
wu:fa28c04	Wu:fa28c04	327102	0.00075	1.37	5.98E-07	2.06	9.32E-13
wu:fa30d09	Wu:fa30d09	327117	0.00024	-1.07	0.54945	1.58	1.04E-09
wu:fa99c11	Wu:fa99c11	492287	0.00121	-1.01	0.95832	1.8	1.10E-10
wu:fb34c05	Wu:fb34c05	449778	1.85E-08	-1.27	0.0004	1.53	1.19E-08
wu:fb38g10	Wu:fb38g10	321939	0.00013	-2.11	7.20E-09	2.18	0.07943
wu:fb40f06	Wu:fb40f06	322002	2.64E-13	-1.97	4.48E-07	1.73	6.34E-14
wu:fb51a04	Wu:fb51a04	322131	0.00159	-1.38	0.39979	2.09	1.09E-12
wu:fb57b02	Wu:fb57b02	322299	1.27E-06	-1.42	0.2927	7.49	1.82E-13
wu:fb59a01	Wu:fb59a01	322359	1.82E-07	-1.5	9.39E-06	1.7	0.00011
wu:fb62e08	Wu:fb62e08	325072	0.00031	1.11	0.05366	1.58	2.58E-10
wu:fb64d08	Wu:fb64d08	322536	3.14E-07	-1.11	0.0066	1.54	0.00006
wu:fb74d08	Wu:fb74d08	322831	0.00017	-1.37	0.30359	2.21	3.40E-12
wu:fb76h12	Wu:fb76h12	557765	0.00069	1.18	0.00161	1.69	2.74E-09
wu:fb77d11	Wu:fb77d11	322944	0.00167	1.07	0.3338	1.5	6.24E-11
wu:fb83f02	Wu:fb83f02	323165	0.00173	1.08	0.5645	1.68	1.38E-14
wu:fb92b09	Wu:fb92b09	570332	0.00001	-1.81	0.00527	2.03	0.00002
wu:fb92f04	Wu:fb92f04	323215	0.00106	1.38	0.00002	2.17	7.33E-13
wu:fb92g10	Wu:fb92g10	323225	0.00079	1.34	0.01559	2.06	3.16E-37
wu:fb93e07	Wu:fb93e07	566923	0.00071	1.22	0.2887	3.12	8.34E-12
wu:fb93f08	Wu:fb93f08	323262	0.00004	1.09	0.23043	1.66	5.42E-18
wu:fb95b07	Wu:fb95b07	323318	5.07E-15	-1.74	0	1.63	5.95E-29
wu:fb96f11	Wu:fb96f11	323381	0.00665	-1	1	2.71	6.50E-06
wu:fb97d07	Wu:fb97d07	323403	5.23E-06	-1.11	0.26859	1.69	8.99E-12
wu:fb99g09	Wu:fb99g09	323494	0.00002	-1.03	0.84519	1.68	7.85E-25
wu:fc04h12	Wu:fc04h12	445083	4.24E-06	1.28	0.00001	2.14	5.78E-17
wu:fc10d10	Wu:fc10d10	323799	7.78E-08	1.04	0.43248	1.59	5.30E-20
wu:fc16c07	Wu:fc16c07	323992	9.31E-06	-1.36	0.05164	3.05	0.00003
wu:fc21g04	Wu:fc21g04	324207	7.45E-09	1.18	0.00595	1.85	0
wu:fc27e10	Wu:fc27e10	324393	0.00005	1.31	0.00173	2.26	1.05E-23
wu:fc29h11	Wu:fc29h11	324461	0.00027	-1.03	0.89515	3.98	0.00003
wu:fc32b08	Wu:fc32b08	324544	6.30E-12	-1.78	0.00008	1.59	3.07E-18
wu:fc37c02	Wu:fc37c02	324650	0.00002	-1.34	0.25457	4.02	9.18E-10
wu:fc37e02	Wu:fc37e02	324656	1.03E-13	-3.2	0.00013	2.75	2.03E-43
wu:fc43a06	Wu:fc43a06	324782	0.00009	1.09	0.52893	3.33	5.74E-06
wu:fc44h10	Wu:fc44h10	324839	0.0073	1.24	0.00043	1.69	4.32E-08
wu:fc57f08	Wu:fc57f08	325175	2.28E-06	-1.11	0.13054	1.72	2.87E-07
wu:fc63g02	Wu:fc63g02	563577	0.00002	-1.23	0.0172	1.57	0.00004
wu:fc68e09	Wu:fc68e09	386998	0.00908	1.43	5.02E-08	1.78	2.83E-39
wu:fc74g12	Wu:fc74g12	325408	8.82E-13	-2.13	2.13E-07	2.86	1.83E-13
wu:fc83e05	Wu:fc83e05	555688	2.36E-07	-1.21	0.00402	1.76	0.00002
wu:fc89f08	Wu:fc89f08	325584	5.07E-15	-2.72	1.01E-08	3.24	0
wu:fc89g05	Wu:fc89g05	553985	0.00055	1.09	0.53194	1.96	3.03E-13
wu:fc90b03	Wu:fc90b03	325590	5.93E-10	-1.47	2.09E-07	1.54	1.41E-07
wu:fc92g08	Wu:fc92g08	325616	0.0022	1.11	0.38782	1.65	4.68E-15
wu:fd12f05	Wu:fd12f05	556043	0.00068	1.11	0.35784	1.89	8.39E-14
wu:fd14a01	Wu:fd14a01	327125	5.07E-15	-3.05	9.25E-11	2.39	1.69E-18
wu:fd20g04	Wu:fd20g04	327296	8.43E-07	1.22	0.11936	2.87	2.26E-31
wu:fd21d09	Wu:fd21d09	327311	0.00454	-2.16	0.13811	1.56	3.35E-07
wu:fd49h06	Wu:fd49h06	325940	0.00004	1.15	0.01213	1.75	3.23E-14
wu:fd52d02	Wu:fd52d02	325970	0.00011	1.25	0.56274	6.61	1.40E-19
wu:fd59c06	Wu:fd59c06	326039	5.07E-15	-1.53	5.23E-06	3.08	1.98E-26
wu:fe16a10	Wu:fe16a10	326768	0.0011	-1.46	0.15074	1.98	0.00006
wu:fe25f09	Wu:fe25f09	326829	3.27E-11	-1.05	0.24804	1.53	1.31E-22
wu:fe36e08	Wu:fe36e08	326856	1.68E-12	-1.72	0.00003	1.99	6.00E-17
wu:fe36f10	Wu:fe36f10	326862	0.00888	-1.41	0.38053	1.66	1.84E-14
wu:fi06c08	Wu:fi06c08	562658	0.00686	-1	1	2.24	2.39E-07
wu:fi15d04	Wu:fi15d04	327519	0.00203	1.36	0.01127	2.5	2.41E-12
wu:fi16c02	Wu:fi16c02	327537	0.00036	1.02	0.80936	2.07	0.00004
wu:fi17a06	Wu:fi17a06	327552	5.07E-15	-1.15	0.02737	1.72	9.65E-43
