Probe	Accession No.	Description	Gene ID	si-control(1)	si-GATA2(1)	Folf Change(log2)	si-control(2)	si-GATA2(2)	Fold Change (log2)
238025_at	AA706818	hypothetical protein FLJ34389	FLJ34389	131.5	183.4	0.4	86.7	329.2	1.6
235234_at	AA359612	hypothetical protein FLJ36874	FLJ36874	88.6	166.5	0.9	114.8	199	1.1
1553108_at	AW068615	hypothetical protein FLJ37562	FLJ37562	75.1	158.7	1.1	17.9	119.1	2.4
1562367_at	AK096850	FLJ39531 protein	FLJ39531	96.4	138.4	0.4	166.9	452.1	1.6
204420_at	BG251266	FOS-like antigen 1	FOSL1	55.6	301	2.2	97	779.6	2.5
205935_at	NM_001451	forkhead box F1	FOXF1	11.4	63.9	2.2	7.6	132.4	2.7
209912_s_at	AI373854	forkhead box K1	FOXK1	47.9	111.9	1	67.3	129.3	0.9
218266_s_at	NM_014286	frequenin homolog (Drosophila)	FREQ	2.9	61.3	4.3	31.9	124.2	2
219170_at	NM_024333	fibronectin type 3 and SPRY domain containing 1	FSD1	17.1	83.7	2.5	34.2	89.3	0.8
207345_at	NM_006350	follistatin	FST	200.5	267.4	0.5	9	32.2	1.6
205324_s_at	NM_012280	FtsJ homolog 1 (E. coli)	FTSJ1	269	509.8	0.9	269.6	496.2	0.9
223042_s_at	BC000255	FUN14 domain containing 2	FUNDC2	331.2	947.2	1.5	450.5	730.7	0.6
201945_at	NM_002569	furin (paired basic amino acid cleaving enzyme)	FURIN	118.9	202.3	0.8	142.1	342.2	1.6
202419_at	NM_002035	follicular lymphoma variant translocation 1	FVT1	208.1	294.3	0.8	209.7	475.3	1
205565_s_at	NM_000144	frataxin	FXN	128.2	212.9	0.9	146.5	242.4	0.8
212486_s_at	N20923	FYN oncogene related to SRC, FGR, YES	FYN	136.8	214.3	0.5	98.3	240.4	1.4
213524_s_at	NM_015714	putative lymphocyte G0/G1 switch gene	G0S2	25.5	193.4	2.9	29.8	473.2	4.2
205483_s_at	NM_005101	interferon, alpha-inducible protein (clone IFI-15K)	G1P2	298.6	1037.4	1.7	735.8	3159.1	2
204415_at	NM_022873	interferon, alpha-inducible protein (clone IFI-6-16)	G1P3	176.8	246.6	0.8	290.7	1027	2
219815_at	NM_024637	galactose-3-O-sulfotransferase 4	GAL3ST4	21.5	87.1	1.3	33.2	99.2	1.4
222235_s_at	AL139812	chondroitin sulfate GalNAcT-2	GALNACT-2	140	313.2	1.1	174.1	501.1	1.6
1552473_at	NM_138924	guanidinoacetate N-methyltransferase	GAMT	15.2	78.9	2.5	47.4	142.3	1.6
203835_at	NM_005512	glycoprotein A repetitions predominant	GARP	330.4	900.6	1.3	448.7	908.7	1
231577_s_at	AW014593	guanylate binding protein 1, interferon-inducible, 67kDa	GBP1	113	244.2	1.5	114.3	273.5	1
204224_s_at	NM_000161	GTP cyclohydrolase 1 (dopa-responsive dystonia)	GCH1	85.2	605.4	2.6	52.2	342.1	2.6
203925_at	NM_002061	glutamate-cysteine ligase, modifier subunit	GCLM	486.1	706.2	0.5	417.6	906.6	1.2
221577_x_at	AF003934	growth differentiation factor 15	GDF15	817.4	4075	2.3	1170.6	3375.5	1.5
204472_at	NM_005261	GTP binding protein overexpressed in skeletal muscle	GEM	3.6	95	4.2	27.4	303.9	3.2
204836_at	NM_000170	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	GLDC	46.3	96.9	1.6	53.9	536.6	3.4
204222_s_at	NM_006851	GLI pathogenesis-related 1 (glioma)	GLIPR1	83.1	288.2	1.2	616.5	915.1	0.9
229435_at	AW025602	GLIS family zinc finger 3	GLIS3	39.9	180.4	1.6	103.1	113.1	0.5
200681_at	NM_006708	glyoxalase I	GLO1	707.9	1732.1	1.3	713.8	1994.3	1.4
212737_at	AL513583	GM2 ganglioside activator	GM2A	272.9	464	0.8	317.9	894.3	1.5
218350_s_at	NM_015895	geminin, DNA replication inhibitor	GMNN	146.5	375.7	1.2	104.3	350.3	1.8
207124_s_at	NM_006578	guanine nucleotide binding protein (G protein), beta 5	GNB5	97	214.5	1	98.7	257.1	1.4
225853_at	BE789346	glucosamine-phosphate N-acetyltransferase 1	GNPNAT1	198.7	398.4	0.7	230.3	482.2	1.2
202756_s_at	NM_002081	glypican 1	GPC1	55.6	221.9	1.8	114.4	428.1	1.8
201141_at	NM_002510	glycoprotein (transmembrane) nmb	GPNMB	26	57	1.1	10.7	207.8	4.4
221814_at	BF511315	G protein-coupled receptor 124	GPR124	157.4	283.8	0.8	100.7	254.9	1.2
210473_s_at	M37712	G protein-coupled receptor 125	GPR125	97.2	211.3	0.9	92.6	186.9	1.1
222155_s_at	AK021918	G protein-coupled receptor 172A	GPR172A	104.4	220.1	1.2	132.9	399.9	1.6
211266_s_at	U35399	G protein-coupled receptor 4	GPR4	5.8	102.9	3	57.9	310.4	2.2
224719_s_at	BG339653	likely ortholog of mouse gene rich cluster, C10 gene	GRCC10	697.5	1347	1	502.1	1406.4	1.4
238427_at	C15005	GrpE-like 2, mitochondrial (E. coli)	GRPEL2	101.6	242.1	1.2	119.2	261.1	0.7
215913_s_at	AK023668	GULP, engulfment adaptor PTB domain containing 1	GULP1	91.9	111.5	0.4	26.8	105.3	1.8
223128_at	AL136923	hypothetical protein H17	H17	68.8	106	0.8	53.8	119.1	0.9
212873_at	BE349017	minor histocompatibility antigen HA-1	HA-1	22.6	71.1	1.5	27.4	141.2	2.1
201035_s_at	BC000306	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	HADHSC	62.4	143.7	1.1	43.4	138.7	1.4
209526_s_at	AB029156	hepatoma-derived growth factor, related protein 3	HDGFRP3	527.7	1003.4	0.8	501.8	863.7	1.1
219863_at	NM_016323	hect domain and RLD 5	HERC5	21	59.3	1.3	17.6	109.6	2.9
219352_at	NM_017912	hect domain and RLD 6	HERC6	59.8	107.5	0.9	61.5	254	2
203394_s_at	BE973687	hairy and enhancer of split 1, (Drosophila)	HES1	132.2	335.2	1	106.3	235.9	0.7
227347_x_at	NM_021170	hairy and enhancer of split 4 (Drosophila)	HES4	126.9	316.3	1.7	162.9	258.8	0.9
1554452_a_at	BC001863	hypoxia-inducible protein 2	HIG2	62	132	1	95.2	192.6	1
226297_at	AV693403	Homeodomain interacting protein kinase 3	HIPK3	341.9	801.3	1.3	391.4	1091.7	1.4
209911_x_at	BC002842	histone 1, H2bd	HIST1H2BD	94	175	1.2	211.8	379.3	1.5
218280_x_at	NM_003516	histone 2, H2aa	HIST2H2AA	164.8	326.4	1.1	307.8	611.5	1.1
202708_s_at	NM_003528	histone 2, H2be	HIST2H2BE	63.1	157.3	1.4	41.9	158.3	2.2
221582_at	BC001193	histone 3, H2a	HIST3H2A	178.9	465.5	1	169.7	369.7	1.5
214463_x_at	NM_003541	histone 1, H4j /// histone 1, H4k	HIST1H4J /// HIST1H4K	92.5	242.7	1.2	86.9	122.4	1
208025_s_at	NM_003483	high mobility group AT-hook 2 /// high mobility group AT-hook 2	HMGA2	213.6	545.1	1.3	246.3	1785.6	2.8
203665_at	NM_002133	heme oxygenase (decycling) 1	HMOX1	466.5	3066.4	2.8	554.3	4402.2	3
229400_at	AW299531	homeo box D10	HOXD10	403.5	714.2	0.8	117.3	268.9	1.2
219403_s_at	NM_006665	heparanase	HPSE	23.4	117.9	1.9	31.1	246.9	3
212983_at	NM_005343	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	HRAS	253.5	523.2	1.2	257.3	783.3	1.6
226136_at	N32834	HIV-1 rev binding protein 2	HRB2	38.7	106.4	1.2	115.7	300.8	1
203285_s_at	NM_012262	heparan sulfate 2-O-sulfotransferase 1	HS2ST1	93.3	181.3	1	40.9	165.1	1.5
222817_at	BC004929	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	HSD3B7	19.2	95.6	2.2	41.7	112.5	1
222758_s_at	W74594	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) binding protein 1	HSPA5BP1	44.5	82.3	1.1	71.1	154.1	1.4
221667_s_at	AF133207	heat shock 22kDa protein 8	HSPB8	104.5	174.8	0.6	123.8	473.2	1.5
223270_at	AF161543	hypothetical protein HSPC129	HSPC129	75.6	126.9	1.3	42.6	82.5	1
218403_at	NM_016399	hypothetical protein HSPC132	HSPC132	872.4	1659.7	1	955.9	2050	1.1
226229_s_at	BF510732	HSPC182 protein	HSPC182	56.7	101.6	0.6	42.8	82.8	1.4
226384_at	BE858787	HTPAP protein	HTPAP	94.9	212.3	1	105.4	225.3	0.9
213230_at	AI422335	paraneoplastic antigen	HUMPPA	113.4	210.4	1	120.9	251.6	1.1
36564_at	W27419	IBR domain containing 3	IBRDC3	98.1	475.2	1.8	172	599.3	1.6
202638_s_at	NM_000201	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	ICAM1	275.3	1571.9	2.4	773.5	1759.3	1.2
213450_s_at	AI659611	inducible T-cell co-stimulator ligand	ICOSL	23.7	125.5	2.5	95.5	143.4	0.9
201565_s_at	NM_002166	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	87	105.3	0.4	40.1	114.8	1.5
202081_at	NM_004907	immediate early response 2	IER2	829.7	1321	0.7	855.4	1698.7	1
202411_at	NM_005532	interferon, alpha-inducible protein 27	IFI27	565.4	908.1	0.4	622.5	3024.5	1.9
201422_at	NM_006332	interferon, gamma-inducible protein 30	IFI30	59.4	264.8	1.9	145.3	369.2	1
209417_s_at	BC001356	interferon-induced protein 35	IFI35	99.1	176.2	0.9	93.2	208.4	1.3
214453_s_at	NM_006417	interferon-induced protein 44	IFI44	73.4	152.7	1.6	112.8	397.3	1.6
219209_at	NM_022168	interferon induced with helicase C domain 1	IFIH1	72.1	210.7	1.7	120.5	238.7	0.8
203153_at	NM_001548	interferon-induced protein with tetratricopeptide repeats 1 /// interferon-induced protein with tetratricopeptide repeats 1	IFIT1	21.3	169.8	2.6	56.9	328.9	2.4
217502_at	BE888744	interferon-induced protein with tetratricopeptide repeats 2	IFIT2	24.3	92.4	2	62.6	77.2	0.3
229450_at	AI075407	interferon-induced protein with tetratricopeptide repeats 3	IFIT3	126.2	501.6	1.9	165.6	847.4	2.2
203596_s_at	NM_012420	interferon-induced protein with tetratricopeptide repeats 5	IFIT5	23.1	70.8	1.1	18.5	107.3	1.8
214022_s_at	AA749101	interferon induced transmembrane protein 1 (9-27)	IFITM1	26.8	163.6	2.5	51.2	604.9	3.1
235202_x_at	BG498328	IKK interacting protein	IKIP	41.2	164.2	1.6	54.1	302.3	1.9
205992_s_at	NM_000585	interleukin 15	IL15	17	97.1	2.2	88.8	102.7	0.5
207375_s_at	NM_002189	interleukin 15 receptor, alpha	IL15RA	65.6	217.2	1.7	122.7	180.8	0.6
222868_s_at	AI521549	interleukin 18 binding protein	IL18BP	29	69.9	1.2	49.4	102.4	0.8
210118_s_at	M15329	interleukin 1, alpha	IL1A	13.5	68.9	2.7	75.7	314.3	2.3
205227_at	NM_002182	interleukin 1 receptor accessory protein	IL1RAP	34.2	78.8	0.7	49.8	281	1
230966_at	AI859620	interleukin 4 induced 1	IL4I1	30.3	82.4	1.7	46.1	198.1	2.3
204863_s_at	BE856546	interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST	298.3	780.8	1.4	602.8	1138.3	1
205798_at	NM_002185	interleukin 7 receptor /// interleukin 7 receptor	IL7R	5.7	26.2	2.1	119	269.8	1.3
217804_s_at	BC003086	interleukin enhancer binding factor 3, 90kDa	ILF3	170	258.4	0.8	119.8	240.2	1
210511_s_at	M13436	inhibin, beta A (activin A, activin AB alpha polypeptide)	INHBA	34.9	96.9	1.6	36.4	150	1.8
202794_at	NM_002194	inositol polyphosphate-1-phosphatase	INPP1	597.4	921.4	0.6	433.5	1018.3	1.1
204552_at	AA355179	Inositol polyphosphate-4-phosphatase, type I, 107kDa	INPP4A	40.2	105.6	1.2	53	111.1	1.1
205376_at	NM_003866	inositol polyphosphate-4-phosphatase, type II, 105kDa	INPP4B	41.3	46.6	-0.1	35.2	142.1	2.1
222659_at	AK001696	importin 11	IPO11	573.9	962.6	1	662.8	845.3	0.8
231779_at	AI246590	interleukin-1 receptor-associated kinase 2	IRAK2	137.2	481.9	2	159.7	532.8	1.7
202531_at	NM_002198	interferon regulatory factor 1	IRF1	103.6	380.6	1.7	222.9	285.2	0.3
208436_s_at	NM_004030	interferon regulatory factor 7	IRF7	110.4	162.2	0.8	101.7	231.9	0.9
209185_s_at	AF073310	insulin receptor substrate 2	IRS2	43.4	313.9	2.5	35.3	120.6	1.4
204698_at	NM_002201	interferon stimulated gene 20kDa	ISG20	49.9	283.7	2.1	92.9	457.3	2.2
222240_s_at	AL137749	myo-inositol 1-phosphate synthase A1	ISYNA1	112.2	255	1.1	169.5	319.1	1
205032_at	NM_002203	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	ITGA2	164.3	502.4	0.8	866.1	2248.4	1
213076_at	D38169	inositol 1,4,5-trisphosphate 3-kinase C	ITPKC	47.1	73	0.7	74.9	105.4	1
211323_s_at	L38019	inositol 1,4,5-triphosphate receptor, type 1	ITPR1	20.8	125.7	2	23.2	118.5	2
209098_s_at	U61276	jagged 1 (Alagille syndrome)	JAG1	249.1	701.4	1.3	618.1	1301.9	1
227677_at	BF512748	Janus kinase 3 (a protein tyrosine kinase, leukocyte)	JAK3	37.4	150.2	1.8	45.9	127.3	1.1
201473_at	NM_002229	jun B proto-oncogene	JUNB	113.7	329.1	1.4	139.4	363.7	0.9
214326_x_at	AI339541	jun D proto-oncogene	JUND	69.9	127.1	1	68.4	123.8	0.8
203904_x_at	NM_002231	kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4))	KAI1	42.9	106.6	1.3	22.5	352.2	3.2
203163_at	NM_005886	katanin p80 (WD repeat containing) subunit B 1	KATNB1	27.9	82	1	49.6	88.2	0.9
226479_at	AL359577	kelch repeat and BTB (POZ) domain containing 6	KBTBD6	54.7	136.2	1.1	32.3	114.4	1.9
229310_at	BE465475	kelch repeat and BTB (POZ) domain containing 9	KBTBD9	71.7	197.1	1.5	108.3	222.4	1
220116_at	NM_021614	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	KCNN2	35.5	149.6	2.3	79.1	476.9	2.9
222664_at	AI808448	potassium channel tetramerisation domain containing 15	KCTD15	73	190.2	1.2	45.3	200	1.9
219479_at	NM_024089	KDEL (Lys-Asp-Glu-Leu) containing 1	KDELC1	166.6	505	1.7	157.3	527	1.5
201751_at	NM_014876	KIAA0063 gene product	KIAA0063	563.3	910.4	0.7	378.2	1028.8	1.5
203068_at	NM_014851	KIAA0469 gene product	KIAA0469	119.3	206.8	0.6	154.5	363.1	1.2
205151_s_at	NM_014817	KIAA0644 gene product	KIAA0644	60.8	231.1	2.3	23.4	70.7	1.3
207436_x_at	NM_014896	KIAA0894 protein	KIAA0894	71	82.3	0.2	25.1	79.5	1.8
200906_s_at	AK025843	palladin	KIAA0992	34.6	125.3	2	92.1	185.9	1.1
225597_at	AI346128	KIAA1126 protein	KIAA1126	89.1	170.4	1	18.4	41	1.2
227908_at	BG236006	KIAA1171 protein	KIAA1171	43.7	108.1	0.7	46.5	100.1	1.1
226500_at	AI806872	hypothetical protein KIAA1190	KIAA1190	28.3	60	0.9	35.7	105	0.9
220911_s_at	NM_025081	KIAA1305	KIAA1305	18.1	102.7	1.7	62.5	125.8	1.1
225961_at	AI334297	KIAA1340 protein	KIAA1340	53.9	103	0.9	73.4	123.2	1.2
226747_at	AB037765	KIAA1344	KIAA1344	89.3	143.8	0.7	75.8	93.8	1.1
225847_at	AB037784	KIAA1363 protein	KIAA1363	97.3	155	0.8	116.1	231.1	1
225127_at	BF217531	KIAA1423	KIAA1423	333.4	599.5	0.8	301.1	671.6	1.2
225704_at	AA527531	KIAA1545 protein	KIAA1545	40	82	1.1	72	112.9	0.8
231899_at	AB051513	KIAA1726 protein	KIAA1726	324.7	563.4	0.6	210	677.8	1.6
225582_at	AA425726	KIAA1754	KIAA1754	204.4	354.4	0.5	152.8	452.8	1.3
218342_s_at	NM_024896	KIAA1815	KIAA1815	114.5	215.8	0.8	137.4	276.2	1
225303_at	AI049973	kin of IRRE like (Drosophila)	KIRREL	109.9	187.7	0.8	118.4	272.7	1
227740_at	AW173222	kinase interacting with leukemia-associated gene (stathmin)	KIS	110.1	289.4	1.5	79.5	536.8	2.9
211124_s_at	AF119835	KIT ligand	KITLG	77.2	142.4	0.8	111.7	283.5	1.2
221841_s_at	BF514079	Kruppel-like factor 4 (gut)	KLF4	42.2	153.9	1.8	71.7	146.5	1
228167_at	AW574798	kelch-like 6 (Drosophila)	KLHL6	64.8	102.2	0.3	79.8	202.3	1.5
223284_at	AB038651	K562 cell-derived leucine-zipper-like protein 1	KLP1	75.7	193	1	88.1	223.9	1.1
209270_at	L25541	laminin, beta 3	LAMB3	14.5	95.7	2.1	42	317.5	2.9
221011_s_at	NM_030915	likely ortholog of mouse limb-bud and heart gene /// likely ortholog of mouse limb-bud and heart gene	LBH	192.8	614.6	1.4	160.7	806.5	1.9
223162_s_at	AF116707	LCHN protein	LCHN	530	1030.9	1.2	725.1	1313	0.9
217173_s_at	S70123	low density lipoprotein receptor (familial hypercholesterolemia)	LDLR	113.6	202.5	0.8	37.8	75.2	1.2
227095_at	AU151151	Leptin receptor	LEPR	231.7	271.1	0.4	96.9	230.2	1.3
218717_s_at	NM_018192	leprecan-like 1	LEPREL1	91.8	354.7	1.6	76.7	362.5	1.7
200923_at	NM_005567	lectin, galactoside-binding, soluble, 3 binding protein	LGALS3BP	28.6	120.5	2	13.4	395.8	3.6
203236_s_at	NM_009587	lectin, galactoside-binding, soluble, 9 (galectin 9)	LGALS9	114.7	372.5	1.7	172.5	357.5	1.1
218656_s_at	NM_005780	lipoma HMGIC fusion partner	LHFP	132	272.6	1	129.8	255.1	0.8
217475_s_at	AC_002073	LIM domain kinase 2	LIMK2	42.1	104.5	1.3	74.2	121.1	0.8
216952_s_at	M94363	lamin B2	LMNB2	72.7	131.9	0.9	62.4	119.3	1.1
230634_x_at	AI820875	hypothetical protein BC011824	LOC113179	49.8	77	0.5	34	102.1	1.4
226321_at	AW080618	Hypothetical protein LOC116068	LOC116068	169.7	282.6	1.1	134.1	359.4	1.5
226702_at	AI742057	hypothetical protein LOC129607	LOC129607	11.6	85.7	2.5	49.3	231.3	2.1
227522_at	AA209487	hypothetical protein BC001573	LOC134147	221.8	808.7	1.6	484.2	1162.2	1.3
228080_at	BE856341	layilin	LOC143903	152.2	400.5	1.6	130.4	398.9	1.5
238058_at	AA603041	hypothetical protein LOC150381	LOC150381	209.3	412	0.8	165.1	380.5	1.2
241342_at	BG288115	hypothetical protein BC017881	LOC157378	136.7	400.5	1.5	38.4	351.9	2.8
212731_at	U79297	hypothetical protein LOC157567	LOC157567	99.5	308.1	1.3	81.2	391.2	2.1
226274_at	AK025562	hypothetical protein LOC158563	LOC158563	83	156.7	0.7	84.1	210.5	1.1
224989_at	AI824013	Hypothetical protein LOC201895	LOC201895	49.3	144.5	1.7	38.5	192.4	2.8
232034_at	AL117607	hypothetical protein LOC203274	LOC203274	101.2	185.6	0.9	97.7	222.7	1.3
1560007_at	BG337478	Hypothetical protein LOC220929	LOC220929	66	115.6	0.5	94.9	213.1	1.4
40472_at	AF007155	PLSC domain containing protein	LOC254531	37.3	63	0.9	21.9	113.7	1.9
226793_at	AI913533	hypothetical protein LOC283267	LOC283267	75.1	154	0.9	88.3	183.3	1
232021_at	AI864273	hypothetical protein LOC283464	LOC283464	65.6	114	0.9	38.2	234.8	2.3
214719_at	AK026720	hypothetical protein LOC283537	LOC283537	34.8	105.7	1.8	35.8	145.5	2
229902_at	AW083785	hypothetical protein LOC285682	LOC285682	204	308.3	1	114.9	259.6	0.7
225659_at	BF516590	hypothetical protein LOC339745	LOC339745	42.5	102.4	1.1	41.7	73.8	0.8
1558368_s_at	AK075558	hypothetical gene supported by AK075558; BC021286	LOC374946	15.1	80.6	1.8	20.6	99.9	2.6
227099_s_at	AW276078	Hypothetical LOC387763	LOC387763	32.6	381.8	3.7	142.3	546.1	1.9
225105_at	BF969397	hypothetical protein	LOC387882	76.6	156.8	1.1	65.6	235.9	2
227291_s_at	AI380704	similar to RIKEN 1810056O20	LOC388962	269.5	712.4	1.2	336.5	918.3	1.5
238122_at	AI807494	similar to RIKEN cDNA 3000004N20	LOC389677	39.8	112.4	1.1	38.7	102.3	1.1
229826_at	BF573638	Similar to CG32736-PA	LOC440957	57.3	120	1.3	49.1	168.3	2
229268_at	AA723152	hypothetical protein BC007706	LOC90268	36.2	113.9	1.6	79	136.9	1.2
214751_at	BE541042	Hypothetical protein LOC90333	LOC90333	110.9	189.8	0.9	68.8	154.9	1.1
228841_at	AW299250	Hypothetical protein LOC90624	LOC90624	114.9	198.5	0.7	95.6	207.6	1.1
228515_at	AU149280	hypothetical protein LOC90784	LOC90784	47.5	101.8	1	64.7	130.1	0.8
232593_at	AL389981	hypothetical protein BC012317	LOC93082	12	113.2	3.7	43.2	97.2	1.1
226802_s_at	W87523	Hypothetical protein similar to KIAA0187 gene product	LOC96610	32.5	80.1	1.2	21.5	82.8	1.5
216250_s_at	X77598	leupaxin	LPXN	83.1	149.7	1	100.5	766.3	3.1
221640_s_at	AF274972	leucine-rich repeats and death domain containing	LRDD	24.6	130.7	2	46.3	208.3	2.2
219631_at	NM_024937	low density lipoprotein-related protein 12	LRP12	30.6	95.7	1.3	50.5	102.7	1.4
227337_at	AA886870	low density lipoprotein receptor-related protein binding protein	Lrp2bp	112.4	228.5	0.9	84.3	265.5	1.4
242705_x_at	AI188104	Low density lipoprotein receptor-related protein associated protein 1	LRPAP1	236.3	552.1	1.1	324.6	956	1.6
205381_at	NM_005824	leucine rich repeat containing 17	LRRC17	19.6	48.9	0.8	64.8	184.5	1.3
204559_s_at	NM_016199	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM7	396.7	927.1	1.1	744.7	1180.2	1
207339_s_at	NM_002341	lymphotoxin beta (TNF superfamily, member 3)	LTB	114.6	557.4	2.1	1034.4	859.1	-0.3
203005_at	NM_002342	lymphotoxin beta receptor (TNFR superfamily, member 3)	LTBR	220.5	395.6	0.9	207.5	499.2	0.9
204857_at	NM_003550	MAD1 mitotic arrest deficient-like 1 (yeast)	MAD1L1	31.2	84.9	1.3	40.3	98.4	1.2
218573_at	NM_014061	melanoma antigen, family H, 1	MAGEH1	78.7	188.9	0.7	140.7	317.9	1
217971_at	NM_021970	mitogen-activated protein kinase kinase 1 interacting protein 1	MAP2K1IP1	214.2	630.2	1.7	485.9	967.2	0.8
207121_s_at	NM_002748	mitogen-activated protein kinase 6	MAPK6	533.9	997.4	1	428.3	1393.5	1.8
202788_at	NM_004635	mitogen-activated protein kinase-activated protein kinase 3	MAPKAPK3	78.2	171.4	1	48.7	253	1.9
1556134_a_at	BC013229	MCF.2 cell line derived transforming sequence-like 2	MCF2L2	9	24.5	1.2	21.6	168.6	3
219952_s_at	NM_020533	mucolipin 1	MCOLN1	102.4	329.7	0.8	244.4	409.7	0.9
217373_x_at	AJ276888	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)	MDM2	90.9	203.9	1.3	223.8	344.8	0.7
214077_x_at	H15129	Meis1, myeloid ecotropic viral integration site 1 homolog 4 (mouse)	MEIS4	129.1	448.8	1.3	217.3	303.3	0.8
220189_s_at	NM_014275	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme B	MGAT4B	417.9	743.6	0.8	434.6	1088.6	1.2
224608_s_at	AL528911	hypothetical protein MGC10540	MGC10540	245.7	567.1	1	279.8	627.8	0.9
228280_at	AI188445	similar to RIKEN cDNA 1200014N16 gene	MGC14289	246.3	448.3	0.7	142.4	270.4	1.4
225991_at	BE644935	Similar to RIKEN cDNA 5730578N08 gene	MGC15397	72.5	162.2	0.9	74.5	144.1	1
226451_at	AI453531	similar to RIKEN cDNA B230118G17 gene	MGC19604	107.6	173.8	0.8	113.3	203.5	0.9
235828_at	BG470676	hypothetical protein MGC21644	MGC21644	93.7	131.7	0.6	60.8	124.9	1.2
221904_at	AI141670	hypothetical protein MGC21688	MGC21688	134.7	259.2	0.9	150.8	436.6	1.5
231835_at	AL359575	hypothetical protein MGC26818	MGC26818	432.9	614.9	0.6	353.6	677.1	1.1
227038_at	AI963083	hypothetical protein MGC26963	MGC26963	216.3	313.2	0.7	88	287.5	1.1
220251_at	NM_024998	hypothetical protein MGC29875	MGC29875	61.2	115.5	1	86.5	164.9	1.5
225707_at	AL581082	ADP-ribosylation-like factor 6-interacting protein 6	MGC33864	381.6	528.5	0.5	102.9	276.4	1.5
1569112_at	AW020413	hypothetical protein MGC34032	MGC34032	41.7	62.5	0.8	83.4	186.8	1.3
221935_s_at	AK023140	hypothetical protein MGC34132	MGC34132	244.8	361.7	0.6	116.4	421.1	1.5
227080_at	AW003092	hypothetical protein MGC45731	MGC45731	383	711.1	1	560.9	937.3	0.8
228974_at	AI816281	Hypothetical protein MGC48625	MGC48625	75.8	222.7	1.3	61.4	201.7	1.7
212472_at	BE965029	Flavoprotein oxidoreductase MICAL2	MICAL2	168	492.1	1.5	208.6	654.2	1.5
36830_at	U80034	mitochondrial intermediate peptidase	MIPEP	63.1	106.5	0.7	53	92.9	1.1
200948_at	NM_005439	myeloid leukemia factor 2	MLF2	654.2	1248.9	0.9	742.6	1925.7	1.4
205680_at	NM_002425	matrix metalloproteinase 10 (stromelysin 2)	MMP10	264.4	1526.9	2.4	1897.6	5421.7	1.4
217279_x_at	X83535	matrix metalloproteinase 14 (membrane-inserted)	MMP14	194.7	276.7	0.7	508.3	855.1	1
238421_at	N86386	Membrane associated DNA binding protein	MNAB	53.9	134.4	1.1	14.3	87.3	2.4
225185_at	BF343625	muscle RAS oncogene homolog	MRAS	62.9	157.8	1.2	106.9	138.5	1
1553293_at	NM_054031	G protein-coupled receptor MRGX3	MRGX3	5.1	44.3	2.8	6.7	171.1	4.2
203801_at	AA013164	mitochondrial ribosomal protein S14	MRPS14	34.9	79.9	1.1	50.6	87.9	0.7
213167_s_at	BF982927	Mitochondrial ribosomal protein S6	MRPS6	31.9	65.8	0.7	29.3	48.1	1
221920_s_at	BE677761	mitochondrial solute carrier protein	MSCP	40.7	86.2	0.8	35.8	101.3	1
213511_s_at	AI167164	myotubularin related protein 1	MTMR1	186.3	360.1	0.8	180.9	386.4	1.1
225206_s_at	AI479199	mitochondrial translational release factor 1-like	MTRF1L	107.2	195	0.7	141.7	192.8	1.2
212095_s_at	BE552421	mitochondrial tumor suppressor 1	MTUS1	239.6	566.7	1.1	339	550.9	0.7
202086_at	NM_002462	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) /// myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	MX1	42.7	498.3	3.4	131.4	947	2.6
204994_at	NM_002463	myxovirus (influenza virus) resistance 2 (mouse)	MX2	21	59.6	1.3	27.4	122.7	2.3
202364_at	NM_005962	MAX interactor 1 /// MAX interactor 1	MXI1	131	264.1	0.9	199.8	279.3	0.9
227761_at	AW235548	Myosin VA (heavy polypeptide 12, myoxin)	MYO5A	189.9	418.6	1	98.2	379.5	1.8
227067_x_at	AW024960	similar to NOTCH2 protein	N2N	17.7	82.9	1.9	53.8	176.8	1.8
225448_at	AL519376	N-ethylmaleimide-sensitive factor attachment protein, gamma	NAPG	139.2	253.8	0.6	68.3	249.1	1.5
219231_at	NM_024831	nuclear receptor coactivator 6 interacting protein	NCOA6IP	72.1	80.6	0.4	36.3	121.6	1.3
