Gene	Gene Annotation	Alternative Exon Usage (P value)
NCOA7	nuclear receptor coactivator 7	0.0002
CNP	2 3-cyclic nucleotide 3 phosphodiesterase	0.000203
SLC6A10P	solute carrier family 6 (neurotransmitter transporter creatine) member 10 (pseudogene)	0.000205
APOL3	apolipoprotein L 3	0.000207
PEX13	peroxisome biogenesis factor 13	0.000208
SLC43A3	solute carrier family 43 member 3	0.000209
PTPRG	protein tyrosine phosphatase receptor type G	0.000214
COG7	component of oligomeric golgi complex 7	0.000219
FZD6	frizzled homolog 6 (Drosophila)	0.000219
FER	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	0.00022
SAPS3	SAPS domain family member 3	0.000221
NCLN	nicalin homolog (zebrafish)	0.000222
ZDHHC1	zinc finger DHHC-type containing 1	0.000222
ASAHL	N-acylsphingosine amidohydrolase (acid ceramidase)-like	0.000225
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	0.00023
SSH1	slingshot homolog 1 (Drosophila)	0.000232
FMNL2	formin-like 2	0.000234
OSBP2	oxysterol binding protein 2	0.000235
FLRT2	fibronectin leucine rich transmembrane protein 2	0.000239
IFIT1	interferon-induced protein with tetratricopeptide repeats 1	0.00024
RPL24	ribosomal protein L24	0.000241
TLE3	transducin-like enhancer of split 3 (E(sp1) homolog Drosophila)	0.000243
RPS24	ribosomal protein S24	0.000246
GTF2IRD2B	GTF2I repeat domain containing 2B	0.000246
PAIP2	poly(A) binding protein interacting protein 2	0.000247
SNHG7	small nucleolar RNA host gene (non-protein coding) 7	0.000249
ZNF766	zinc finger protein 766	0.000255
PTPN14	protein tyrosine phosphatase non-receptor type 14	0.000256
NEGR1	neuronal growth regulator 1	0.00026
ISG20	interferon stimulated exonuclease gene 20kDa	0.000262
CSPG5	chondroitin sulfate proteoglycan 5 (neuroglycan C)	0.000263
DCP1B	DCP1 decapping enzyme homolog B (S. cerevisiae)	0.00027
ITGAE	integrin alpha E (antigen CD103 human mucosal lymphocyte antigen 1; alpha polypeptide)	0.00027
ZNF514	zinc finger protein 514	0.000271
AFG3L1	AFG3 ATPase family gene 3-like 1 (S. cerevisiae)	0.000272
SFPQ	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	0.000272
LRBA	LPS-responsive vesicle trafficking beach and anchor containing	0.000274
MUC20	mucin 20 cell surface associated	0.000275
CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	0.000277
RIOK3	RIO kinase 3 (yeast)	0.000277
CCDC85B	coiled-coil domain containing 85B	0.000279
ZBTB1	zinc finger and BTB domain containing 1	0.000279
IMMP2L	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	0.000282
RUNDC2C	RUN domain containing 2C	0.000282
LGALS9	lectin galactoside-binding soluble 9 (galectin 9)	0.000284
GNG10	guanine nucleotide binding protein (G protein) gamma 10	0.000285
IFI44L	interferon-induced protein 44-like	0.000288
LOC644192	hypothetical LOC644192	0.000289
MAPK1	mitogen-activated protein kinase 1	0.000291
FPGS	folylpolyglutamate synthase	0.000292
SHOC2	soc-2 suppressor of clear homolog (C. elegans)	0.000293
OTUD7A	OTU domain containing 7A	0.000294
PDE6D	phosphodiesterase 6D cGMP-specific rod delta	0.000295
WDR42A	WD repeat domain 42A	0.000297
POLR1D	polymerase (RNA) I polypeptide D 16kDa	0.000299
XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3	0.000306
UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	0.000309
WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	0.000318
DDAH1	dimethylarginine dimethylaminohydrolase 1	0.000323
ATP6V1B2	ATPase H+ transporting lysosomal 56/58kDa V1 subunit B2	0.000325
FAM135A	family with sequence similarity 135 member A	0.000327
INTS4	integrator complex subunit 4	0.000328
HERC5	hect domain and RLD 5	0.00033
TMEM39B	transmembrane protein 39B	0.000334
TMEM165	transmembrane protein 165	0.000338
PPP4C	protein phosphatase 4 (formerly X) catalytic subunit	0.00034
C11orf58	chromosome 11 open reading frame 58	0.000341
CPN1	carboxypeptidase N polypeptide 1	0.000348
GNPTG	N-acetylglucosamine-1-phosphate transferase gamma subunit	0.00035
FTH1	ferritin heavy polypeptide 1	0.000351
SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)	0.000355
FAM83D	family with sequence similarity 83 member D	0.000358
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	0.00036
PABPC4	poly(A) binding protein cytoplasmic 4 (inducible form)	0.000361
NF2	neurofibromin 2 (bilateral acoustic neuroma)	0.000364
ATE1	arginyltransferase 1	0.000364
CALD1	caldesmon 1	0.000375
CDH13	cadherin 13 H-cadherin (heart)	0.000377
DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	0.000377
OBSCN	obscurin cytoskeletal calmodulin and titin-interacting RhoGEF	0.00038
EIF4E	eukaryotic translation initiation factor 4E	0.000389
RRP1	ribosomal RNA processing 1 homolog (S. cerevisiae)	0.000391
MTMR14	myotubularin related protein 14	0.000393
TMEM112	transmembrane protein 112	0.000399
MT1X	metallothionein 1X	0.000401
RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	0.000402
RCN1	reticulocalbin 1 EF-hand calcium binding domain	0.00041
MSRB3	methionine sulfoxide reductase B3	0.000411
TACC1	transforming acidic coiled-coil containing protein 1	0.000412
MOV10L1	Mov10l1 Moloney leukemia virus 10-like 1 homolog (mouse)	0.000417
WRNIP1	Werner helicase interacting protein 1	0.000418
ZNF121	zinc finger protein 121	0.000426
DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	0.000427
LOC348180	hypothetical protein LOC348180	0.000427
SPNS2	spinster homolog 2 (Drosophila)	0.000429
TM4SF18	transmembrane 4 L six family member 18	0.000429
YY1AP1	YY1 associated protein 1	0.000431
GTDC1	glycosyltransferase-like domain containing 1	0.000431
LRRFIP2	leucine rich repeat (in FLII) interacting protein 2	0.000437
XPO4	exportin 4	0.000438
SRPK2	SFRS protein kinase 2	0.000442
FANCC	Fanconi anemia complementation group C	0.000446
CRSP8	cofactor required for Sp1 transcriptional activation subunit 8 34kDa	0.000446
FAM76B	family with sequence similarity 76 member B	0.000447
KIAA0415	KIAA0415 protein	0.000451
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta polypeptide	0.000451
CRIP2	cysteine-rich protein 2	0.000465
PLCG1	phospholipase C gamma 1	0.000468
CBFB	core-binding factor beta subunit	0.000471
FLJ37078	hypothetical protein FLJ37078	0.000477
MC1R	melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)	0.00048
C20orf44	chromosome 20 open reading frame 44	0.000484
ZNF547	zinc finger protein 547	0.000486
SLC7A7	solute carrier family 7 (cationic amino acid transporter y+ system) member 7	0.000489
JTB	jumping translocation breakpoint	0.000493
SECISBP2	SECIS binding protein 2	0.000499
SCOTIN	scotin	0.000517
CUGBP2	CUG triplet repeat RNA binding protein 2	0.000537
PDLIM5	PDZ and LIM domain 5	0.000546
SEC11A	SEC11 homolog A (S. cerevisiae)	0.000548
DUSP11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	0.000553
C20orf26	chromosome 20 open reading frame 26	0.000554
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase beta)	0.000564
SPG21	spastic paraplegia 21 (autosomal recessive Mast syndrome)	0.000566
GABARAPL1	GABA(A) receptor-associated protein like 1	0.000574
RANBP17	RAN binding protein 17	0.000581
API5	apoptosis inhibitor 5	0.000583
TMEM33	transmembrane protein 33	0.000587
CYP26B1	cytochrome P450 family 26 subfamily B polypeptide 1	0.000589
AP4M1	adaptor-related protein complex 4 mu 1 subunit	0.000595
SEMA3E	sema domain immunoglobulin domain (Ig) short basic domain secreted (semaphorin) 3E	0.000596
NBPF1	neuroblastoma breakpoint family member 1	0.000599
SUPV3L1	suppressor of var1 3-like 1 (S. cerevisiae)	0.000601
FBN2	fibrillin 2 (congenital contractural arachnodactyly)	0.000609
DNAJA3	DnaJ (Hsp40) homolog subfamily A member 3	0.000612
NCKAP1	NCK-associated protein 1	0.000614
RAB5A	RAB5A member RAS oncogene family	0.000615
LOC554202	hypothetical LOC554202	0.000616
ADAM23	ADAM metallopeptidase domain 23	0.000619
PIAS1	protein inhibitor of activated STAT 1	0.000619
ZNF508	zinc finger protein 508	0.000621
JAZF1	JAZF zinc finger 1	0.000625
ATF7IP	activating transcription factor 7 interacting protein	0.000625
GRASP	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	0.000635
CRSP2	cofactor required for Sp1 transcriptional activation subunit 2 150kDa	0.000642
BCKDHB	branched chain keto acid dehydrogenase E1 beta polypeptide (maple syrup urine disease)	0.000645
RBPMS	RNA binding protein with multiple splicing	0.000656
LOC730092	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene	0.000671
UBAP2L	ubiquitin associated protein 2-like	0.000675
DR1	down-regulator of transcription 1 TBP-binding (negative cofactor 2)	0.000689
MICAL2	microtubule associated monoxygenase calponin and LIM domain containing 2	0.000692
ZNF573	zinc finger protein 573	0.000693
FBXO39	F-box protein 39	0.000694
CYB561	cytochrome b-561	0.000694
ANKRD17	ankyrin repeat domain 17	0.000695
NPIP	nuclear pore complex interacting protein	0.000695
NARF	nuclear prelamin A recognition factor	0.000725
TMEFF1	transmembrane protein with EGF-like and two follistatin-like domains 1	0.000732
KIAA1147	KIAA1147	0.000738
CYP2A7P1	cytochrome P450 family 2 subfamily A polypeptide 7 pseudogene 1	0.000741
CCDC93	coiled-coil domain containing 93	0.00075
FAM102A	family with sequence similarity 102 member A	0.000755
SFRS6	splicing factor arginine/serine-rich 6	0.000759
NUP93	nucleoporin 93kDa	0.000763
PARN	poly(A)-specific ribonuclease (deadenylation nuclease)	0.000771
USP36	ubiquitin specific peptidase 36	0.000774
LRRC8A	leucine rich repeat containing 8 family member A	0.000785
CC2D1A	coiled-coil and C2 domain containing 1A	0.000795
CCDC138	coiled-coil domain containing 138	0.000802
C10orf18	chromosome 10 open reading frame 18	0.000803
C12orf63	chromosome 12 open reading frame 63	0.000807
WDR26	WD repeat domain 26	0.000808
KIAA1432	KIAA1432	0.000809
EMR3	egf-like module containing mucin-like hormone receptor-like 3	0.000815
COL7A1	collagen type VII alpha 1 (epidermolysis bullosa dystrophic dominant and recessive)	0.00082
HPRT1	hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)	0.000833
ZMYND19	zinc finger MYND-type containing 19	0.000834
MAP2K5	mitogen-activated protein kinase kinase 5	0.000836
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	0.000845
NF-E4	transcription factor NF-E4	0.000845
SLC35A1	solute carrier family 35 (CMP-sialic acid transporter) member A1	0.000846
RIF1	RAP1 interacting factor homolog (yeast)	0.000848
FBXL7	F-box and leucine-rich repeat protein 7	0.000854
ZMYND17	zinc finger MYND-type containing 17	0.000855
NUP54	nucleoporin 54kDa	0.00087
PRNPIP	prion protein interacting protein	0.000872
AP1S1	adaptor-related protein complex 1 sigma 1 subunit	0.000885
PTPRE	protein tyrosine phosphatase receptor type E	0.000893
C10orf10	chromosome 10 open reading frame 10	0.000902
KIAA0355	KIAA0355	0.000914
HDAC7A	histone deacetylase 7A	0.000917
RPS2	ribosomal protein S2	0.000923
SRGN	serglycin	0.000928
RGS12	regulator of G-protein signalling 12	0.000939
THSD4	thrombospondin type I domain containing 4	0.000939
ISGF3G	interferon-stimulated transcription factor 3 gamma 48kDa	0.000952
S100A13	S100 calcium binding protein A13	0.000958
ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	0.000964
RDBP	RD RNA binding protein	0.000974
UBTF	upstream binding transcription factor RNA polymerase I	0.000983
C14orf101	chromosome 14 open reading frame 101	0.000986
FLJ10154	hypothetical protein FLJ10154	0.000986
