# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000148|NM_000148	hgnc_symbol|FUT1|FUT1
refseq_dna|NM_015368|NM_015368	hgnc_symbol|PANX1|PANX1
refseq_dna|NM_018494|NM_018494	hgnc_symbol|LRDD|LRDD
refseq_dna|NM_014906|NM_014906	hgnc_symbol|PPM1E|PPM1E
refseq_dna|NM_005126|NM_005126	hgnc_symbol|NR1D2|NR1D2
refseq_dna|NM_004862|NM_004862	hgnc_symbol|LITAF|LITAF
refseq_dna|NM_014992|NM_014992	hgnc_symbol|DAAM1|DAAM1
refseq_dna|NM_001072|NM_001072	hgnc_symbol|UGT1A6|UGT1A6
embl|THC2054435|THC2054435	hgnc_symbol|THC2054435|THC2054435
refseq_dna|NM_207354|NM_207354	hgnc_symbol|LOC338692|LOC338692
refseq_dna|NM_138798|NM_138798	hgnc_symbol|LOC129531|LOC129531
refseq_dna|NM_003627|NM_003627	hgnc_symbol|SLC43A1|SLC43A1
refseq_dna|NM_152995|NM_152995	hgnc_symbol|HOZFP|HOZFP
refseq_dna|NM_023078|NM_023078	hgnc_symbol|PYCRL|PYCRL
refseq_dna|NM_012342|NM_012342	hgnc_symbol|BAMBI|BAMBI
refseq_dna|NM_052901|NM_052901	hgnc_symbol|SLC25A25|SLC25A25
refseq_dna|NM_023070|NM_023070	hgnc_symbol|ZNF643|ZNF643
refseq_dna|NM_014520|NM_014520	hgnc_symbol|MYBBP1A|MYBBP1A
refseq_dna|NM_024591|NM_024591	hgnc_symbol|FLJ11749|FLJ11749
refseq_dna|NM_021205|NM_021205	hgnc_symbol|RHOU|RHOU
refseq_dna|NM_022755|NM_022755	hgnc_symbol|C9orf12|C9orf12
refseq_dna|NM_058230|NM_058230	hgnc_symbol|ZNF354B|ZNF354B
refseq_dna|NM_138432|NM_138432	hgnc_symbol|SDSL|SDSL
refseq_dna|NM_004748|NM_004748	hgnc_symbol|CCPG1|CCPG1
refseq_dna|NM_170715|NM_170715	hgnc_symbol|RASSF1|RASSF1
refseq_dna|NM_002502|NM_002502	hgnc_symbol|NFKB2|NFKB2
embl|AF332509|AF332509	hgnc_symbol|ZIC4|ZIC4
refseq_dna|NM_032153|NM_032153	hgnc_symbol|ZIC4|ZIC4
refseq_dna|NM_025194|NM_025194	hgnc_symbol|ITPKC|ITPKC
refseq_dna|NM_014603|NM_014603	hgnc_symbol|HUMPPA|HUMPPA
entrezgene|AF277181|85028	hgnc_symbol|LOC85028|LOC85028
entrezgene|AK023077|57602	hgnc_symbol|AK023077|AK023077
refseq_dna|NM_022767|NM_022767	hgnc_symbol|FLJ12484|FLJ12484
refseq_dna|NM_002553|NM_002553	hgnc_symbol|ORC5L|ORC5L
refseq_dna|NM_018017|NM_018017	hgnc_symbol|C10orf118|C10orf118
refseq_dna|NM_012124|NM_012124	hgnc_symbol|CHORDC1|CHORDC1
refseq_dna|NM_024640|NM_024640	hgnc_symbol|YRDC|YRDC
refseq_dna|NM_002165|NM_002165	hgnc_symbol|ID1|ID1
refseq_dna|NM_005886|NM_005886	hgnc_symbol|KATNB1|KATNB1
refseq_dna|NM_005354|NM_005354	hgnc_symbol|JUND|JUND
refseq_dna|NM_015247|NM_015247	hgnc_symbol|CYLD|CYLD
refseq_dna|NM_013231|NM_013231	hgnc_symbol|FLRT2|FLRT2
refseq_dna|NM_004337|NM_004337	hgnc_symbol|C8orf1|C8orf1
refseq_dna|NM_017514|NM_017514	hgnc_symbol|PLXNA3|PLXNA3
refseq_dna|NM_001995|NM_001995	hgnc_symbol|ACSL1|ACSL1
refseq_dna|NM_006622|NM_006622	hgnc_symbol|PLK2|PLK2
refseq_dna|NM_014170|NM_014170	hgnc_symbol|HSPC135|HSPC135
refseq_dna|NM_024886|NM_024886	hgnc_symbol|C10orf95|C10orf95
refseq_dna|NM_017673|NM_017673	hgnc_symbol|C1orf26|C1orf26
refseq_dna|NM_138780|NM_138780	hgnc_symbol|SYTL5|SYTL5
refseq_dna|NM_058192|NM_058192	hgnc_symbol|RPUSD1|RPUSD1
refseq_dna|NM_152243|NM_152243	hgnc_symbol|CDC42EP1|CDC42EP1
refseq_dna|NM_080632|NM_080632	hgnc_symbol|UPF3B|UPF3B
refseq_dna|NM_007173|NM_007173	hgnc_symbol|PRSS23|PRSS23
refseq_dna|NM_016175|NM_016175	hgnc_symbol|LOC51149|LOC51149
refseq_dna|NM_002501|NM_002501	hgnc_symbol|NFIX|NFIX
refseq_dna|NM_144606|NM_144606	hgnc_symbol|FLCN|FLCN
refseq_dna|NM_004184|NM_004184	hgnc_symbol|WARS|WARS
refseq_dna|NM_001348|NM_001348	hgnc_symbol|DAPK3|DAPK3
refseq_dna|NM_032876|NM_032876	hgnc_symbol|JUB|JUB
refseq_dna|NM_007235|NM_007235	hgnc_symbol|XPOT|XPOT
refseq_dna|NM_003390|NM_003390	hgnc_symbol|WEE1|WEE1
refseq_dna|NM_004398|NM_004398	hgnc_symbol|DDX10|DDX10
refseq_dna|NM_004685|NM_004685	hgnc_symbol|MTMR6|MTMR6
refseq_dna|NM_144658|NM_144658	hgnc_symbol|DOCK11|DOCK11
refseq_dna|NM_020175|NM_020175	hgnc_symbol|LOC56931|LOC56931
refseq_dna|NM_080725|NM_080725	hgnc_symbol|C20orf139|C20orf139
refseq_dna|NM_033027|NM_033027	hgnc_symbol|AXUD1|AXUD1
refseq_dna|NM_144988|NM_144988	hgnc_symbol|MGC19780|MGC19780
refseq_dna|NM_012238|NM_012238	hgnc_symbol|SIRT1|SIRT1
refseq_dna|NM_005801|NM_005801	hgnc_symbol|SUI1|SUI1
refseq_dna|NM_006421|NM_006421	hgnc_symbol|ARFGEF1|ARFGEF1
refseq_dna|NM_024580|NM_024580	hgnc_symbol|EFTUD1|EFTUD1
refseq_dna|NM_139016|NM_139016	hgnc_symbol|LOC128439|LOC128439
refseq_dna|NM_022751|NM_022751	hgnc_symbol|C18orf11|C18orf11
refseq_dna|NM_032304|NM_032304	hgnc_symbol|HAGHL|HAGHL
refseq_dna|NM_022157|NM_022157	hgnc_symbol|RRAGC|RRAGC
refseq_dna|NM_020808|NM_020808	hgnc_symbol|SIPA1L2|SIPA1L2
refseq_dna|NM_020870|NM_020870	hgnc_symbol|SH3MD2|SH3MD2
refseq_dna|NM_017617|NM_017617	hgnc_symbol|NOTCH1|NOTCH1
refseq_dna|NM_006734|NM_006734	hgnc_symbol|HIVEP2|HIVEP2
refseq_dna|NM_002939|NM_002939	hgnc_symbol|RNH|RNH
refseq_dna|NM_003676|NM_003676	hgnc_symbol|DEGS1|DEGS1
refseq_dna|NM_003380|NM_003380	hgnc_symbol|VIM|VIM
refseq_dna|NM_152407|NM_152407	hgnc_symbol|GRPEL2|GRPEL2
refseq_dna|NM_002895|NM_002895	hgnc_symbol|RBL1|RBL1
refseq_dna|NM_144591|NM_144591	hgnc_symbol|C10orf32|C10orf32
refseq_dna|NM_018399|NM_018399	hgnc_symbol|VNN3|VNN3
refseq_dna|NM_001287|NM_001287	hgnc_symbol|CLCN7|CLCN7
refseq_dna|NM_006513|NM_006513	hgnc_symbol|SARS|SARS
refseq_dna|NM_018981|NM_018981	hgnc_symbol|DNAJC10|DNAJC10
entrezgene|AL832646|54431	hgnc_symbol|DNAJC10|DNAJC10
refseq_dna|NM_152405|NM_152405	hgnc_symbol|JMY|JMY
refseq_dna|NM_007005|NM_007005	hgnc_symbol|TLE4|TLE4
refseq_dna|NM_021948|NM_021948	hgnc_symbol|BCAN|BCAN
refseq_dna|NM_153266|NM_153266	hgnc_symbol|MGC33486|MGC33486
refseq_dna|NM_022566|NM_022566	hgnc_symbol|MESDC1|MESDC1
refseq_dna|NM_181719|NM_181719	hgnc_symbol|LOC255104|LOC255104
refseq_dna|NM_016096|NM_016096	hgnc_symbol|LOC51123|LOC51123
refseq_dna|NM_013364|NM_013364	hgnc_symbol|PNMA3|PNMA3
refseq_dna|NM_001754|NM_001754	hgnc_symbol|RUNX1|RUNX1
entrezgene|BC030119|26175	hgnc_symbol|C14orf109|C14orf109
entrezgene|AK022657|1161	hgnc_symbol|FLJ12595|FLJ12595
refseq_dna|NM_152658|NM_152658	hgnc_symbol|THAP8|THAP8
refseq_dna|NM_021129|NM_021129	hgnc_symbol|PP|PP
refseq_dna|NM_007085|NM_007085	hgnc_symbol|FSTL1|FSTL1
refseq_dna|NM_031921|NM_031921	hgnc_symbol|ATAD3B|ATAD3B
refseq_dna|NM_003475|NM_003475	hgnc_symbol|C11orf13|C11orf13
refseq_dna|NM_002513|NM_002513	hgnc_symbol|NME3|NME3
refseq_dna|NM_016626|NM_016626	hgnc_symbol|RKHD2|RKHD2
refseq_dna|NM_031229|NM_031229	hgnc_symbol|C20orf18|C20orf18
refseq_dna|NM_022488|NM_022488	hgnc_symbol|APG3L|APG3L
refseq_dna|NM_017877|NM_017877	hgnc_symbol|C2orf18|C2orf18
refseq_dna|NM_015169|NM_015169	hgnc_symbol|RRS1|RRS1
refseq_dna|NM_006150|NM_006150	hgnc_symbol|LMO6|LMO6
refseq_dna|NM_152482|NM_152482	hgnc_symbol|C19orf25|C19orf25
refseq_dna|NM_001940|NM_001940	hgnc_symbol|DRPLA|DRPLA
refseq_dna|NM_033452|NM_033452	hgnc_symbol|TRIM47|TRIM47
refseq_dna|NM_016579|NM_016579	hgnc_symbol|8D6A|8D6A
refseq_dna|NM_005550|NM_005550	hgnc_symbol|KIFC3|KIFC3
refseq_dna|NM_018986|NM_018986	hgnc_symbol|SH3TC1|SH3TC1
refseq_dna|NM_019892|NM_019892	hgnc_symbol|INPP5E|INPP5E
refseq_dna|NM_032804|NM_032804	hgnc_symbol|C10orf22|C10orf22
refseq_dna|NM_024535|NM_024535	hgnc_symbol|CORO7|CORO7
refseq_dna|NM_145725|NM_145725	hgnc_symbol|TRAF3|TRAF3
refseq_dna|NM_019022|NM_019022	hgnc_symbol|TXNDC10|TXNDC10
refseq_dna|NM_033260|NM_033260	hgnc_symbol|FOXQ1|FOXQ1
refseq_dna|NM_152769|NM_152769	hgnc_symbol|C19orf26|C19orf26
refseq_dna|NM_021727|NM_021727	hgnc_symbol|FADS3|FADS3
refseq_dna|NM_024804|NM_024804	hgnc_symbol|FLJ12606|FLJ12606
refseq_dna|NM_002533|NM_002533	hgnc_symbol|NVL|NVL
refseq_dna|NM_017819|NM_017819	hgnc_symbol|RG9MTD1|RG9MTD1
refseq_dna|NM_004854|NM_004854	hgnc_symbol|CHST10|CHST10
refseq_dna|NM_015179|NM_015179	hgnc_symbol|KIAA0690|KIAA0690
refseq_dna|NM_017570|NM_017570	hgnc_symbol|OPLAH|OPLAH
refseq_dna|NM_001384|NM_001384	hgnc_symbol|DPH2L2|DPH2L2
refseq_dna|NM_138287|NM_138287	hgnc_symbol|DTX3L|DTX3L
refseq_dna|NM_014577|NM_014577	hgnc_symbol|BRD1|BRD1
refseq_dna|NM_021196|NM_021196	hgnc_symbol|SLC4A5|SLC4A5
refseq_dna|NM_000574|NM_000574	hgnc_symbol|DAF|DAF
refseq_dna|NM_021138|NM_021138	hgnc_symbol|TRAF2|TRAF2
refseq_dna|NM_021170|NM_021170	hgnc_symbol|HES4|HES4
refseq_dna|NM_178009|NM_178009	hgnc_symbol|DGKH|DGKH
refseq_dna|NM_152910|NM_152910	hgnc_symbol|DGKH|DGKH
refseq_dna|NM_002690|NM_002690	hgnc_symbol|POLB|POLB
refseq_dna|NM_024910|NM_024910	hgnc_symbol|FLJ12700|FLJ12700
refseq_dna|NM_002661|NM_002661	hgnc_symbol|PLCG2|PLCG2
entrezgene|BC019107|1849	hgnc_symbol|DUSP7|DUSP7
refseq_dna|NM_014476|NM_014476	hgnc_symbol|PDLIM3|PDLIM3
refseq_dna|NM_178508|NM_178508	hgnc_symbol|C6orf1|C6orf1
refseq_dna|NM_032346|NM_032346	hgnc_symbol|MGC13096|MGC13096
refseq_dna|NM_004968|NM_004968	hgnc_symbol|ICA1|ICA1
refseq_dna|NM_004095|NM_004095	hgnc_symbol|EIF4EBP1|EIF4EBP1
refseq_dna|NM_002047|NM_002047	hgnc_symbol|GARS|GARS
refseq_dna|NM_030648|NM_030648	hgnc_symbol|SET7|SET7
refseq_dna|NM_015328|NM_015328	hgnc_symbol|KIAA0828|KIAA0828
refseq_dna|NM_004884|NM_004884	hgnc_symbol|PUNC|PUNC
refseq_dna|NM_198722|NM_198722	hgnc_symbol|AMIGO3|AMIGO3
refseq_dna|NM_178841|NM_178841	hgnc_symbol|RNF166|RNF166
refseq_dna|NM_152557|NM_152557	hgnc_symbol|FLJ31413|FLJ31413
refseq_dna|XM_370948|XM_370948	hgnc_symbol|ENST00000341901|ENST00000341901
refseq_dna|NM_130766|NM_130766	hgnc_symbol|SKIP|SKIP
entrezgene|AK025697|200933	hgnc_symbol|ENST00000311630|ENST00000311630
refseq_dna|NM_004699|NM_004699	hgnc_symbol|FAM50A|FAM50A
refseq_dna|NM_080669|NM_080669	hgnc_symbol|MGC9564|MGC9564
entrezgene|AK074161|113235	hgnc_symbol|MGC9564|MGC9564
refseq_dna|NM_017766|NM_017766	hgnc_symbol|FLJ20321|FLJ20321
refseq_dna|NM_012157|NM_012157	hgnc_symbol|FBXL2|FBXL2
refseq_dna|NM_018295|NM_018295	hgnc_symbol|FLJ11000|FLJ11000
refseq_dna|NM_006260|NM_006260	hgnc_symbol|DNAJC3|DNAJC3
refseq_dna|NM_022451|NM_022451	hgnc_symbol|C10orf117|C10orf117
refseq_dna|XM_096885|XM_096885	hgnc_symbol|LOC145853|LOC145853
refseq_dna|NM_004990|NM_004990	hgnc_symbol|MARS|MARS
refseq_dna|NM_017793|NM_017793	hgnc_symbol|RPP25|RPP25
refseq_dna|NM_152346|NM_152346	hgnc_symbol|SLC43A2|SLC43A2
refseq_dna|NM_203288|NM_203288	hgnc_symbol|RP9|RP9
refseq_dna|NM_005977|NM_005977	hgnc_symbol|RNF6|RNF6
refseq_dna|NM_006834|NM_006834	hgnc_symbol|RAB32|RAB32
refseq_dna|NM_015020|NM_015020	hgnc_symbol|KIAA0931|KIAA0931
refseq_dna|NM_004362|NM_004362	hgnc_symbol|CLGN|CLGN
refseq_dna|NM_006368|NM_006368	hgnc_symbol|CREB3|CREB3
refseq_dna|NM_020857|NM_020857	hgnc_symbol|VPS18|VPS18
refseq_dna|NM_138399|NM_138399	hgnc_symbol|TMEM44|TMEM44
refseq_dna|NM_001046|NM_001046	hgnc_symbol|SLC12A2|SLC12A2
refseq_dna|NM_020375|NM_020375	hgnc_symbol|C12orf5|C12orf5
refseq_dna|NM_004053|NM_004053	hgnc_symbol|BYSL|BYSL
refseq_dna|NM_014079|NM_014079	hgnc_symbol|KLF15|KLF15
refseq_dna|NM_024778|NM_024778	hgnc_symbol|RNF127|RNF127
refseq_dna|NM_004133|NM_004133	hgnc_symbol|HNF4G|HNF4G
refseq_dna|NM_012219|NM_012219	hgnc_symbol|MRAS|MRAS
refseq_dna|NM_153256|NM_153256	hgnc_symbol|C10orf47|C10orf47
refseq_dna|NM_023929|NM_023929	hgnc_symbol|ZBTB10|ZBTB10
refseq_dna|NM_023016|NM_023016	hgnc_symbol|C2orf26|C2orf26
refseq_dna|NM_001675|NM_001675	hgnc_symbol|ATF4|ATF4
refseq_dna|NM_016649|NM_016649	hgnc_symbol|C20orf6|C20orf6
refseq_dna|NM_017575|NM_017575	hgnc_symbol|C17orf31|C17orf31
refseq_dna|NM_002994|NM_002994	hgnc_symbol|CXCL5|CXCL5
refseq_dna|NM_030818|NM_030818	hgnc_symbol|MGC10471|MGC10471
refseq_dna|NM_152829|NM_152829	hgnc_symbol|TES|TES
entrezgene|BC002461|663	hgnc_symbol|BNIP2|BNIP2
refseq_dna|NM_004330|NM_004330	hgnc_symbol|BNIP2|BNIP2
refseq_dna|NM_025079|NM_025079	hgnc_symbol|FLJ23231|FLJ23231
refseq_dna|NM_015948|NM_015948	hgnc_symbol|SLC35B3|SLC35B3
refseq_dna|NM_007188|NM_007188	hgnc_symbol|ABCB8|ABCB8
refseq_dna|NM_001570|NM_001570	hgnc_symbol|IRAK2|IRAK2
refseq_dna|NM_004322|NM_004322	hgnc_symbol|BAD|BAD
refseq_dna|NM_052870|NM_052870	hgnc_symbol|SNAG1|SNAG1
refseq_dna|NM_003441|NM_003441	hgnc_symbol|ZNF141|ZNF141
refseq_dna|NM_032242|NM_032242	hgnc_symbol|PLXNA1|PLXNA1
refseq_dna|NM_004273|NM_004273	hgnc_symbol|CHST3|CHST3
refseq_dna|NM_001902|NM_001902	hgnc_symbol|CTH|CTH
refseq_dna|NM_002956|NM_002956	hgnc_symbol|RSN|RSN
refseq_dna|NM_022739|NM_022739	hgnc_symbol|SMURF2|SMURF2
refseq_dna|NM_032638|NM_032638	hgnc_symbol|GATA2|GATA2
refseq_dna|NM_139265|NM_139265	hgnc_symbol|EHD4|EHD4
refseq_dna|NM_173825|NM_173825	hgnc_symbol|RABL3|RABL3
embl|ENST00000273375|ENST00000273375	hgnc_symbol|RABL3|RABL3
refseq_dna|NM_005994|NM_005994	hgnc_symbol|TBX2|TBX2
refseq_dna|NM_006997|NM_006997	hgnc_symbol|TACC2|TACC2
refseq_dna|NM_003219|NM_003219	hgnc_symbol|TERT|TERT
refseq_dna|NM_024644|NM_024644	hgnc_symbol|C14orf169|C14orf169
refseq_dna|NM_004747|NM_004747	hgnc_symbol|DLG5|DLG5
refseq_dna|NM_030758|NM_030758	hgnc_symbol|OSBP2|OSBP2
refseq_dna|NM_004907|NM_004907	hgnc_symbol|IER2|IER2
refseq_dna|NM_001919|NM_001919	hgnc_symbol|DCI|DCI
refseq_dna|NM_019009|NM_019009	hgnc_symbol|TOLLIP|TOLLIP
refseq_dna|NM_152271|NM_152271	hgnc_symbol|FLJ23749|FLJ23749
refseq_dna|NM_152594|NM_152594	hgnc_symbol|SPRED1|SPRED1
refseq_dna|NM_007207|NM_007207	hgnc_symbol|DUSP10|DUSP10
refseq_dna|NM_004257|NM_004257	hgnc_symbol|TGFBRAP1|TGFBRAP1
refseq_dna|NM_018174|NM_018174	hgnc_symbol|BPY2IP1|BPY2IP1
entrezgene|AB028979|85446	hgnc_symbol|ZNF409|ZNF409
refseq_dna|NM_021923|NM_021923	hgnc_symbol|FGFRL1|FGFRL1
refseq_dna|NM_017410|NM_017410	hgnc_symbol|HOXC13|HOXC13
refseq_dna|NM_002392|NM_002392	hgnc_symbol|MDM2|MDM2
entrezgene|BC006795|4193	hgnc_symbol|MGC5370|MGC5370
refseq_dna|NM_133372|NM_133372	hgnc_symbol|KIAA1961|KIAA1961
refseq_dna|NM_014028|NM_014028	hgnc_symbol|OSTM1|OSTM1
refseq_dna|NM_002969|NM_002969	hgnc_symbol|MAPK12|MAPK12
refseq_dna|NM_016499|NM_016499	hgnc_symbol|MGC13379|MGC13379
refseq_dna|NM_007039|NM_007039	hgnc_symbol|PTPN21|PTPN21
refseq_dna|NM_015308|NM_015308	hgnc_symbol|FNBP4|FNBP4
refseq_dna|NM_001545|NM_001545	hgnc_symbol|ICT1|ICT1
entrezgene|CR621710|84910	hgnc_symbol|CR621710|CR621710
refseq_dna|NM_032824|NM_032824	hgnc_symbol|FLJ14681|FLJ14681
refseq_dna|NM_001343|NM_001343	hgnc_symbol|DAB2|DAB2
refseq_dna|NM_153231|NM_153231	hgnc_symbol|ZNF550|ZNF550
refseq_dna|NM_032286|NM_032286	hgnc_symbol|MGC5309|MGC5309
embl|THC2166838|THC2166838	hgnc_symbol|THC2166838|THC2166838
refseq_dna|NM_016391|NM_016391	hgnc_symbol|HSPC111|HSPC111
refseq_dna|NM_004793|NM_004793	hgnc_symbol|PRSS15|PRSS15
refseq_dna|NM_003690|NM_003690	hgnc_symbol|PRKRA|PRKRA
refseq_dna|NM_005168|NM_005168	hgnc_symbol|RND3|RND3
refseq_dna|NM_005412|NM_005412	hgnc_symbol|SHMT2|SHMT2
entrezgene|AF217993|124565	hgnc_symbol|AF217993|AF217993
refseq_dna|NM_006572|NM_006572	hgnc_symbol|GNA13|GNA13
refseq_dna|NM_017723|NM_017723	hgnc_symbol|FLJ20245|FLJ20245
refseq_dna|NM_014675|NM_014675	hgnc_symbol|CROCC|CROCC
refseq_dna|NM_014661|NM_014661	hgnc_symbol|FAM53B|FAM53B
refseq_dna|NM_004148|NM_004148	hgnc_symbol|NINJ1|NINJ1
refseq_dna|NM_003595|NM_003595	hgnc_symbol|TPST2|TPST2
refseq_dna|NM_006510|NM_006510	hgnc_symbol|RFP|RFP
refseq_dna|NM_018675|NM_018675	hgnc_symbol|ZNF302|ZNF302
refseq_dna|NM_030807|NM_030807	hgnc_symbol|SLC2A11|SLC2A11
refseq_dna|NM_012213|NM_012213	hgnc_symbol|MLYCD|MLYCD
refseq_dna|NM_052880|NM_052880	hgnc_symbol|MGC17330|MGC17330
entrezgene|AF175767|51540	hgnc_symbol|SCLY|SCLY
refseq_dna|NM_014911|NM_014911	hgnc_symbol|AAK1|AAK1
entrezgene|AK093464|93034	hgnc_symbol|NT5C1B|NT5C1B
refseq_dna|NM_020905|NM_020905	hgnc_symbol|RDH14|RDH14
refseq_dna|NM_014930|NM_014930	hgnc_symbol|ZNF510|ZNF510
refseq_dna|NM_013979|NM_013979	hgnc_symbol|BNIP1|BNIP1
refseq_dna|NM_021972|NM_021972	hgnc_symbol|SPHK1|SPHK1
refseq_dna|NM_021724|NM_021724	hgnc_symbol|NR1D1|NR1D1
refseq_dna|NM_006453|NM_006453	hgnc_symbol|TBL3|TBL3
refseq_dna|NM_032194|NM_032194	hgnc_symbol|BXDC1|BXDC1
refseq_dna|NM_025195|NM_025195	hgnc_symbol|TRIB1|TRIB1
refseq_dna|NM_145804|NM_145804	hgnc_symbol|ABTB2|ABTB2
refseq_dna|NM_001605|NM_001605	hgnc_symbol|AARS|AARS
refseq_dna|NM_005860|NM_005860	hgnc_symbol|FSTL3|FSTL3
refseq_dna|NM_032259|NM_032259	hgnc_symbol|WDR24|WDR24
refseq_dna|NM_003420|NM_003420	hgnc_symbol|ZNF35|ZNF35
refseq_dna|NM_005481|NM_005481	hgnc_symbol|THRAP5|THRAP5
refseq_dna|NM_174889|NM_174889	hgnc_symbol|LOC91942|LOC91942
refseq_dna|NM_003502|NM_003502	hgnc_symbol|AXIN1|AXIN1
refseq_dna|NM_014735|NM_014735	hgnc_symbol|PHF16|PHF16
refseq_dna|NM_016947|NM_016947	hgnc_symbol|C6orf48|C6orf48
refseq_dna|NM_005347|NM_005347	hgnc_symbol|HSPA5|HSPA5
refseq_dna|NM_002357|NM_002357	hgnc_symbol|MAD|MAD
refseq_dna|NM_001278|NM_001278	hgnc_symbol|CHUK|CHUK
refseq_dna|NM_003183|NM_003183	hgnc_symbol|ADAM17|ADAM17
refseq_dna|NM_006753|NM_006753	hgnc_symbol|SURF6|SURF6
refseq_dna|NM_016027|NM_016027	hgnc_symbol|LACTB2|LACTB2
refseq_dna|NM_018026|NM_018026	hgnc_symbol|PACS1|PACS1
refseq_dna|NM_032885|NM_032885	hgnc_symbol|APG4D|APG4D
refseq_dna|NM_018976|NM_018976	hgnc_symbol|SLC38A2|SLC38A2
refseq_dna|NM_173852|NM_173852	hgnc_symbol|KRTCAP2|KRTCAP2
refseq_dna|NM_004102|NM_004102	hgnc_symbol|FABP3|FABP3
refseq_dna|NM_005688|NM_005688	hgnc_symbol|ABCC5|ABCC5
refseq_dna|NM_033396|NM_033396	hgnc_symbol|TNKS1BP1|TNKS1BP1
refseq_dna|NM_007075|NM_007075	hgnc_symbol|WDR45|WDR45
refseq_dna|NM_004813|NM_004813	hgnc_symbol|PEX16|PEX16
refseq_dna|NM_017649|NM_017649	hgnc_symbol|CNNM2|CNNM2
refseq_dna|NM_020529|NM_020529	hgnc_symbol|NFKBIA|NFKBIA
refseq_dna|NM_006351|NM_006351	hgnc_symbol|TIMM44|TIMM44
refseq_dna|NM_005779|NM_005779	hgnc_symbol|LHFPL2|LHFPL2
refseq_dna|NM_002035|NM_002035	hgnc_symbol|FVT1|FVT1
refseq_dna|NM_004055|NM_004055	hgnc_symbol|CAPN5|CAPN5
refseq_dna|NM_031431|NM_031431	hgnc_symbol|COG3|COG3
refseq_dna|NM_014685|NM_014685	hgnc_symbol|HERPUD1|HERPUD1
refseq_dna|NM_032862|NM_032862	hgnc_symbol|TIGD5|TIGD5
refseq_dna|NM_173608|NM_173608	hgnc_symbol|C14orf80|C14orf80
refseq_dna|NM_000199|NM_000199	hgnc_symbol|SGSH|SGSH
refseq_dna|NM_020350|NM_020350	hgnc_symbol|AGTRAP|AGTRAP
refseq_dna|NM_024718|NM_024718	hgnc_symbol|C9orf86|C9orf86
refseq_dna|NM_004221|NM_004221	hgnc_symbol|NK4|NK4
refseq_dna|NM_019594|NM_019594	hgnc_symbol|LRRC8|LRRC8
refseq_dna|NM_006768|NM_006768	hgnc_symbol|BRAP|BRAP
refseq_dna|NM_032714|NM_032714	hgnc_symbol|C14orf151|C14orf151
refseq_dna|NM_023935|NM_023935	hgnc_symbol|C20orf116|C20orf116
entrezgene|U80736|27324	hgnc_symbol|TNRC9|TNRC9
refseq_dna|NM_153603|NM_153603	hgnc_symbol|COG7|COG7
refseq_dna|NM_015984|NM_015984	hgnc_symbol|UCHL5|UCHL5
refseq_dna|NM_024667|NM_024667	hgnc_symbol|FLJ12750|FLJ12750
refseq_dna|NM_181355|NM_181355	hgnc_symbol|FRAT1|FRAT1
refseq_dna|NM_033257|NM_033257	hgnc_symbol|DGCR6L|DGCR6L
refseq_dna|NM_002276|NM_002276	hgnc_symbol|KRT19|KRT19
refseq_dna|NM_173354|NM_173354	hgnc_symbol|SNF1LK|SNF1LK
refseq_dna|NM_014945|NM_014945	hgnc_symbol|ABLIM3|ABLIM3
refseq_dna|NM_005904|NM_005904	hgnc_symbol|SMAD7|SMAD7
refseq_dna|NM_022493|NM_022493	hgnc_symbol|NARFL|NARFL
refseq_dna|NM_017722|NM_017722	hgnc_symbol|FLJ20244|FLJ20244
refseq_dna|NM_024622|NM_024622	hgnc_symbol|FLJ21901|FLJ21901
refseq_dna|NM_003737|NM_003737	hgnc_symbol|DCHS1|DCHS1
refseq_dna|NM_014905|NM_014905	hgnc_symbol|GLS|GLS
refseq_dna|NM_030573|NM_030573	hgnc_symbol|THAP7|THAP7
refseq_dna|NM_170694|NM_170694	hgnc_symbol|SERHL|SERHL
refseq_dna|NM_001003845|NM_001003845	hgnc_symbol|SP5|SP5
refseq_dna|NM_003302|NM_003302	hgnc_symbol|TRIP6|TRIP6
refseq_dna|NM_182703|NM_182703	hgnc_symbol|LOC348094|LOC348094
refseq_dna|NM_012266|NM_012266	hgnc_symbol|DNAJB5|DNAJB5
refseq_dna|NM_004606|NM_004606	hgnc_symbol|TAF1|TAF1
refseq_dna|NM_014580|NM_014580	hgnc_symbol|SLC2A8|SLC2A8
refseq_dna|NM_002167|NM_002167	hgnc_symbol|ID3|ID3
refseq_dna|NM_152422|NM_152422	hgnc_symbol|PTPDC1|PTPDC1
refseq_dna|NM_145906|NM_145906	hgnc_symbol|RIOK3|RIOK3
refseq_dna|NM_004875|NM_004875	hgnc_symbol|POLR1C|POLR1C
refseq_dna|NM_206920|NM_206920	hgnc_symbol|AEGP|AEGP
refseq_dna|NM_213598|NM_213598	hgnc_symbol|ZNF543|ZNF543
refseq_dna|NM_001008388|NM_001008388	hgnc_symbol|LOC493856|LOC493856
