Probe Set ID	Gene Symbol	Gene Title	Chromosome	q-value(%)	Fold Change
1449393_at	LOC100046930 /// Sh2d1a	similar to T cell signal transduction molecule1 SAP /// SH2 domain protein 1A	chrX	0.288377893	-2.21
1427532_at	Trat1	T cell receptor associated transmembrane adaptor 1	chr16	0.144889183	-2.14
1432842_s_at	100039786 /// Ywhaq	predicted gene, 100039786 /// tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	chr12///13///4	0.141199017	-1.61
1437025_at	Cd28	CD28 antigen	chr1	0.20286263	-1.76
1448812_at	Hpcal1	hippocalcin-like 1	chr12	0.137574915	-1.93
1438118_x_at	Vim	vimentin	chr2	0.142109541	1.22
1456292_a_at	Vim	vimentin	chr2	0.128680147	1.4
1417815_a_at	Serinc3	serine incorporator 3	chr2	0.170885796	1.24
1449507_a_at	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	chr16	0.154784658	-1.06
1440156_s_at	---	---	chr2	0.280686	-1.54
1450641_at	Vim	vimentin	chr2	0.142025863	1.33
1419573_a_at	Lgals1	lectin, galactose binding, soluble 1	chr15	0.137666134	1.28
1455439_a_at	Lgals1	lectin, galactose binding, soluble 1	chr15	0.164287077	1.47
1418126_at	Ccl5	chemokine (C-C motif) ligand 5	chr11	0.867507425	-7.87
1422280_at	Gzmk	granzyme K	chr13	0.862435127	-6.59
