# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_002345|NM_002345	hgnc_symbol|LUM|LUM
entrezgene|AF152308|56142	hgnc_symbol|PCDHA9 /// PCDHAC2 /// PCDHAC1 /// PCDHA13 /// PCDHA12 /// PCDHA11 /// PCDHA10 /// PCDHA8 /// PCDHA7 /// PCDHA6 /// PCDHA5 /// PCDHA4 /// PCDHA3 /// PCDHA2 /// PCDHA1|PCDHA9 /// PCDHAC2 /// PCDHAC1 /// PCDHA13 /// PCDHA12 /// PCDHA11 /// PCDHA10 /// PCDHA8 /// PCDHA7 /// PCDHA6 /// PCDHA5 /// PCDHA4 /// PCDHA3 /// PCDHA2 /// PCDHA1
refseq_dna|NM_003596|NM_003596	hgnc_symbol|TPST1|TPST1
entrezgene|AI692659|639	hgnc_symbol|PRDM1|PRDM1
refseq_dna|NM_004591|NM_004591	hgnc_symbol|CCL20|CCL20
entrezgene|D50918|23157	hgnc_symbol|SEPT6 /// N-PAC|SEPT6 /// N-PAC
entrezgene|U16307|11010	hgnc_symbol|GLIPR1|GLIPR1
refseq_dna|NM_019886|NM_019886	hgnc_symbol|CHST7|CHST7
embl|AL031230|AL031230	hgnc_symbol|ALDH5A1|ALDH5A1
refseq_dna|NM_153243|NM_153243	hgnc_symbol|KIAA0470 /// KIAA0470L|KIAA0470 /// KIAA0470L
embl|AU145711|AU145711
embl|AI760356|AI760356
entrezgene|AF055376|4094	hgnc_symbol|MAF|MAF
embl|BF968134|BF968134	hgnc_symbol|MXRA7|MXRA7
entrezgene|AA995791|340267	hgnc_symbol|LOC285929|LOC285929
entrezgene|U41514|2589	hgnc_symbol|GALNT1|GALNT1
refseq_dna|NM_022726|NM_022726	hgnc_symbol|ELOVL4|ELOVL4
entrezgene|AF159570|8490	hgnc_symbol|RGS5|RGS5
refseq_dna|NM_001065|NM_001065	hgnc_symbol|TNFRSF1A|TNFRSF1A
embl|AI678258|AI678258
entrezgene|AI817690|6560	hgnc_symbol|SLC12A4|SLC12A4
entrezgene|AA528080|283070	hgnc_symbol|LOC283070|LOC283070
entrezgene|AI247881|152137	hgnc_symbol|C3orf6|C3orf6
entrezgene|AF279145|84168	hgnc_symbol|ANTXR1|ANTXR1
refseq_dna|NM_000120|NM_000120	hgnc_symbol|EPHX1|EPHX1
embl|AI692523|AI692523
entrezgene|AI025519|1836	hgnc_symbol|SLC26A2|SLC26A2
entrezgene|AA854843|100129195
entrezgene|AI979276|201134	hgnc_symbol|MGC33887|MGC33887
entrezgene|AW003092|90874	hgnc_symbol|ZNF697|ZNF697
entrezgene|U65932|1893	hgnc_symbol|ECM1|ECM1
embl|AI912571|AI912571
entrezgene|BE674089|10186	hgnc_symbol|LHFP|LHFP
embl|AL080239|AL080239	hgnc_symbol|SLITRK4|SLITRK4
refseq_dna|NM_004318|NM_004318	hgnc_symbol|ASPH|ASPH
refseq_dna|NM_020353|NM_020353	hgnc_symbol|PLSCR4|PLSCR4
entrezgene|BF059748|2651	hgnc_symbol|GCNT2|GCNT2
refseq_dna|NM_003174|NM_003174	hgnc_symbol|SVIL|SVIL
refseq_dna|NM_052889|NM_052889	hgnc_symbol|COP1|COP1
embl|AI733474|AI733474	hgnc_symbol|GPR155|GPR155
refseq_dna|NM_001937|NM_001937	hgnc_symbol|DPT|DPT
entrezgene|D45421|5168	hgnc_symbol|ENPP2|ENPP2
embl|AW500180|AW500180	hgnc_symbol|LIX1L|LIX1L
entrezgene|AL136693|79901	hgnc_symbol|CYBRD1|CYBRD1
embl|AI377271|AI377271	hgnc_symbol|NUCB2|NUCB2
refseq_dna|NM_003944|NM_003944	hgnc_symbol|SELENBP1|SELENBP1
entrezgene|AI718418|6782	hgnc_symbol|STCH|STCH
entrezgene|AV706254|1509	hgnc_symbol|CTSD|CTSD
refseq_dna|NM_004780|NM_004780	hgnc_symbol|TCEAL1|TCEAL1
entrezgene|AI554514|51804	hgnc_symbol|SIX4|SIX4
embl|BF671564|BF671564	hgnc_symbol|SHPRH|SHPRH
entrezgene|AA910497|114991	hgnc_symbol|LOC286334|LOC286334
entrezgene|AB028998|23371	hgnc_symbol|TENC1|TENC1
entrezgene|AW469351|444	hgnc_symbol|MGC34646|MGC34646
embl|AU154504|AU154504	hgnc_symbol|CYP1B1|CYP1B1
entrezgene|AV707102|5166	hgnc_symbol|PDK4|PDK4
entrezgene|BC021140|118611	hgnc_symbol|C10orf90|C10orf90
entrezgene|H95263|2054	hgnc_symbol|EPIM|EPIM
entrezgene|AA854943|56172	hgnc_symbol|ANKH|ANKH
entrezgene|AI356398|678	hgnc_symbol|ZFP36L2|ZFP36L2
embl|AI300571|AI300571
entrezgene|AI700608|9643	hgnc_symbol|MORF4L2|MORF4L2
refseq_dna|NM_023925|NM_023925	hgnc_symbol|C1QDC1|C1QDC1
refseq_dna|NM_006902|NM_006902	hgnc_symbol|PRRX1|PRRX1
refseq_dna|NM_001380|NM_001380	hgnc_symbol|DOCK1|DOCK1
embl|AI611074|AI611074	hgnc_symbol|CDKL5|CDKL5
refseq_dna|NM_003829|NM_003829	hgnc_symbol|MPDZ|MPDZ
entrezgene|AL571375|79966	hgnc_symbol|SCD5|SCD5
refseq_dna|NM_002293|NM_002293	hgnc_symbol|LAMC1|LAMC1
entrezgene|AW451176|728705
refseq_dna|NM_014646|NM_014646	hgnc_symbol|LPIN2|LPIN2
entrezgene|BF344265|57326	hgnc_symbol|PBXIP1|PBXIP1
entrezgene|AF009670|8714	hgnc_symbol|ABCC3|ABCC3
entrezgene|BE879873|10424	hgnc_symbol|PGRMC2|PGRMC2
entrezgene|AW513835|50807	hgnc_symbol|DDEF1|DDEF1
refseq_dna|NM_021070|NM_021070	hgnc_symbol|LTBP3|LTBP3
embl|AL031781|AL031781	hgnc_symbol|QKI|QKI
entrezgene|BE671816|11057	hgnc_symbol|ABHD2|ABHD2
refseq_dna|NM_014903|NM_014903	hgnc_symbol|NAV3|NAV3
entrezgene|AK021539|92126	hgnc_symbol|C18orf4|C18orf4
refseq_dna|NM_024952|NM_024952	hgnc_symbol|C14orf159|C14orf159
refseq_dna|NM_007032|NM_007032	hgnc_symbol|TRIOBP|TRIOBP
embl|AI474666|AI474666
entrezgene|AI743151|23432	hgnc_symbol|GPR161|GPR161
refseq_dna|NM_024937|NM_024937	hgnc_symbol|LRP12|LRP12
entrezgene|AI539710|4363	hgnc_symbol|ABCC1|ABCC1
refseq_dna|NM_000402|NM_000402	hgnc_symbol|G6PD|G6PD
embl|BE883841|BE883841	hgnc_symbol|SESN3|SESN3
entrezgene|BC041391|6867	hgnc_symbol|TACC1|TACC1
entrezgene|N32599|219749	hgnc_symbol|ZNF25|ZNF25
entrezgene|AW189885|54510	hgnc_symbol|PCDH18|PCDH18
entrezgene|AI742174|92689	hgnc_symbol|LOC92689|LOC92689
entrezgene|AI989567|10402	hgnc_symbol|ST3GAL6|ST3GAL6
refseq_dna|NM_004900|NM_004900	hgnc_symbol|APOBEC3B|APOBEC3B
entrezgene|AF054841|7106	hgnc_symbol|TSPAN4|TSPAN4
entrezgene|AU151239|83857	hgnc_symbol|ARG99|ARG99
refseq_dna|NM_002841|NM_002841	hgnc_symbol|PTPRG|PTPRG
entrezgene|AK001731|90488	hgnc_symbol|MGC17943|MGC17943
embl|AI201594|AI201594
refseq_dna|NM_004512|NM_004512	hgnc_symbol|IL11RA|IL11RA
entrezgene|AI242661|26086	hgnc_symbol|GPSM1|GPSM1
refseq_dna|NM_024582|NM_024582	hgnc_symbol|FAT4|FAT4
refseq_dna|NM_017791|NM_017791	hgnc_symbol|C14orf58|C14orf58
entrezgene|AW069729|92370	hgnc_symbol|ACPL2|ACPL2
entrezgene|AW962020|9185	hgnc_symbol|REPS2|REPS2
refseq_dna|NM_014822|NM_014822	hgnc_symbol|SEC24D|SEC24D
entrezgene|BF969352|1889	hgnc_symbol|ECE1|ECE1
entrezgene|BC010358|51302	hgnc_symbol|CYP39A1|CYP39A1
entrezgene|AI418293|84959	hgnc_symbol|STS-1|STS-1
entrezgene|AL568374|23157	hgnc_symbol|Septin 6|Septin 6
entrezgene|AF212995|8450	hgnc_symbol|CUL4B|CUL4B
entrezgene|AK098652|80313	hgnc_symbol|LRRC27|LRRC27
refseq_dna|NM_001983|NM_001983	hgnc_symbol|ERCC1|ERCC1
entrezgene|AF070621|85458	hgnc_symbol|DIXDC1|DIXDC1
entrezgene|T75480|200845	hgnc_symbol|KCTD6|KCTD6
entrezgene|BE906572|55568	hgnc_symbol|GALNT10|GALNT10
refseq_dna|NM_025190|NM_025190	hgnc_symbol|KIAA1641|KIAA1641
entrezgene|AA209239|57406	hgnc_symbol|ABHD6|ABHD6
refseq_dna|NM_012434|NM_012434	hgnc_symbol|SLC17A5|SLC17A5
refseq_dna|NM_003507|NM_003507	hgnc_symbol|FZD7|FZD7
entrezgene|AI039874|1728	hgnc_symbol|NQO1|NQO1
entrezgene|BE883300|84547	hgnc_symbol|PGBD1|PGBD1
embl|H05812|H05812	hgnc_symbol|IGF1R|IGF1R
embl|AI765327|AI765327	hgnc_symbol|DCUN1D3|DCUN1D3
entrezgene|AF318616|8871	hgnc_symbol|SYNJ2|SYNJ2
refseq_dna|NM_005025|NM_005025	hgnc_symbol|SERPINI1|SERPINI1
refseq_dna|NM_006364|NM_006364	hgnc_symbol|SEC23A|SEC23A
entrezgene|AK000689|27106	hgnc_symbol|ARRDC2|ARRDC2
entrezgene|M19154|7042	hgnc_symbol|TGFB2|TGFB2
embl|AL080082|AL080082
refseq_dna|NM_014380|NM_014380	hgnc_symbol|NGFRAP1|NGFRAP1
entrezgene|AI435839|338620	hgnc_symbol|LOC338620|LOC338620
entrezgene|AI829170|23015	hgnc_symbol|GOLGA8A /// GOLGA8B|GOLGA8A /// GOLGA8B
entrezgene|AA604382|55529	hgnc_symbol|TMEM55A|TMEM55A
entrezgene|AB023227|23268	hgnc_symbol|DNMBP|DNMBP
embl|AW117383|AW117383
refseq_dna|NM_005258|NM_005258	hgnc_symbol|GCHFR|GCHFR
refseq_dna|NM_018171|NM_018171	hgnc_symbol|DIP13B|DIP13B
entrezgene|BC004355|84265	hgnc_symbol|POLR3GL|POLR3GL
embl|AI288759|AI288759	hgnc_symbol|ATBF1|ATBF1
entrezgene|AI760760|6596	hgnc_symbol|SMARCA3|SMARCA3
embl|U87460|U87460	hgnc_symbol|GPR37|GPR37
refseq_dna|NM_005230|NM_005230	hgnc_symbol|ELK3|ELK3
refseq_dna|NM_005904|NM_005904	hgnc_symbol|SMAD7|SMAD7
embl|AI088063|AI088063
entrezgene|N95414|3673	hgnc_symbol|ITGA2|ITGA2
embl|BG285881|BG285881	hgnc_symbol|PRICKLE2|PRICKLE2
entrezgene|AI400110|353376	hgnc_symbol|TICAM2|TICAM2
entrezgene|AI754404|5352	hgnc_symbol|PLOD2|PLOD2
refseq_dna|NM_005534|NM_005534	hgnc_symbol|IFNGR2|IFNGR2
entrezgene|AF031469|3140	hgnc_symbol|MR1|MR1
embl|AV747725|AV747725	hgnc_symbol|EIF5A2|EIF5A2
entrezgene|BG260394|6622	hgnc_symbol|SNCA|SNCA
embl|AL353759|AL353759	hgnc_symbol|HIST1H2AC|HIST1H2AC
refseq_dna|NM_021805|NM_021805	hgnc_symbol|SIGIRR|SIGIRR
entrezgene|AF217963|9500	hgnc_symbol|MAGED1|MAGED1
embl|T16544|T16544
entrezgene|BF511410|115426	hgnc_symbol|UHRF2|UHRF2
entrezgene|AF208232|83982	hgnc_symbol|FAM14A|FAM14A
refseq_dna|NM_001613|NM_001613	hgnc_symbol|ACTA2|ACTA2
entrezgene|AF269167|54908	hgnc_symbol|FLJ20364|FLJ20364
embl|BE568134|BE568134	hgnc_symbol|TNFRSF21|TNFRSF21
entrezgene|AY099509|84984	hgnc_symbol|MGC14126|MGC14126
embl|AV727934|AV727934	hgnc_symbol|PGM3|PGM3
entrezgene|AV729484|1519	hgnc_symbol|CTSO|CTSO
refseq_dna|NM_006084|NM_006084	hgnc_symbol|ISGF3G|ISGF3G
refseq_dna|NM_001218|NM_001218	hgnc_symbol|CA12|CA12
embl|AA480858|AA480858	hgnc_symbol|AP1S2|AP1S2
entrezgene|AA888057|5318	hgnc_symbol|PKP2|PKP2
entrezgene|AA557324|260293	hgnc_symbol|CYP4X1|CYP4X1
embl|U08626|U08626	hgnc_symbol|GLUL|GLUL
embl|AI093492|AI093492
refseq_dna|NM_133376|NM_133376	hgnc_symbol|ITGB1|ITGB1
entrezgene|BF108666|375190	hgnc_symbol|FLJ30851|FLJ30851
embl|AI769673|AI769673
embl|BG413366|BG413366
embl|AI809404|AI809404	hgnc_symbol|TM4SF11|TM4SF11
refseq_dna|NM_003928|NM_003928	hgnc_symbol|CXX1|CXX1
entrezgene|AW172431|54885	hgnc_symbol|FLJ20298|FLJ20298
entrezgene|AI333651|8324	hgnc_symbol|FZD7|FZD7
embl|AU145642|AU145642	hgnc_symbol|LOC146174|LOC146174
entrezgene|AA005023|84166	hgnc_symbol|NOD27|NOD27
entrezgene|AB018345|23255	hgnc_symbol|KIAA0802|KIAA0802
refseq_dna|NM_153039|NM_153039	hgnc_symbol|TLOC1|TLOC1
entrezgene|BG251467|51312	hgnc_symbol|SLC25A37|SLC25A37
entrezgene|AV646599|79960	hgnc_symbol|PHF17|PHF17
entrezgene|AW592684|3977	hgnc_symbol|LIFR|LIFR
entrezgene|AI797063|57562	hgnc_symbol|KIAA1377|KIAA1377
entrezgene|AI809967|6464	hgnc_symbol|SHC1|SHC1
entrezgene|Y13786|8728	hgnc_symbol|ADAM19|ADAM19
refseq_dna|NM_022495|NM_022495	hgnc_symbol|C14orf135|C14orf135
embl|AK001007|AK001007
entrezgene|AL576117|55002	hgnc_symbol|TMCO3|TMCO3
embl|AA149539|AA149539	hgnc_symbol|NDP52|NDP52
entrezgene|AW960748|137392	hgnc_symbol|FAM92A1|FAM92A1
entrezgene|BC000039|51063	hgnc_symbol|FAM26B|FAM26B
entrezgene|AA292373|1291	hgnc_symbol|COL6A1|COL6A1
entrezgene|BF433516|56943	hgnc_symbol|ENY2|ENY2
entrezgene|AL572542|51097	hgnc_symbol|SCCPDH|SCCPDH
entrezgene|AA349595|23258	hgnc_symbol|RAB6IP1|RAB6IP1
refseq_dna|NM_004472|NM_004472	hgnc_symbol|FOXD1|FOXD1
refseq_dna|NM_001924|NM_001924	hgnc_symbol|GADD45A|GADD45A
entrezgene|AI807482|84056	hgnc_symbol|KATNAL1|KATNAL1
entrezgene|AK096609|440465	hgnc_symbol|FLJ90757|FLJ90757
entrezgene|AI962897|10512	hgnc_symbol|SEMA3C|SEMA3C
entrezgene|H15129|4213	hgnc_symbol|MEIS4|MEIS4
refseq_dna|NM_006079|NM_006079	hgnc_symbol|CITED2|CITED2
embl|U79457|U79457	hgnc_symbol|WBP1|WBP1
refseq_dna|NM_006132|NM_006132	hgnc_symbol|BMP1|BMP1
entrezgene|N32761|2734	hgnc_symbol|GLG1|GLG1
refseq_dna|NM_013360|NM_013360	hgnc_symbol|ZNF222|ZNF222
entrezgene|AK026181|22822
entrezgene|AF264014|283316	hgnc_symbol|M160|M160
entrezgene|W87466|92689	hgnc_symbol|LOC283677|LOC283677
embl|AA809487|AA809487	hgnc_symbol|CAMK2D|CAMK2D
refseq_dna|NM_006096|NM_006096	hgnc_symbol|NDRG1|NDRG1
entrezgene|BF984592|221491	hgnc_symbol|C6orf1|C6orf1
entrezgene|BE884959|64283	hgnc_symbol|RGNEF|RGNEF
embl|AI620911|AI620911	hgnc_symbol|LOC283768 /// LOC388080 /// LOC388189 /// LOC390535 /// LOC400304 /// LOC440234 /// DKFZp434P162|LOC283768 /// LOC388080 /// LOC388189 /// LOC390535 /// LOC400304 /// LOC440234 /// DKFZp434P162
refseq_dna|NM_005415|NM_005415	hgnc_symbol|SLC20A1|SLC20A1
entrezgene|AI802391|387758	hgnc_symbol|LOC387758|LOC387758
entrezgene|AI652848|7267	hgnc_symbol|TTC3|TTC3
refseq_dna|NM_002742|NM_002742	hgnc_symbol|PRKD1|PRKD1
entrezgene|U16996|1847	hgnc_symbol|DUSP5|DUSP5
refseq_dna|NM_006270|NM_006270	hgnc_symbol|RRAS|RRAS
entrezgene|AF191654|11163	hgnc_symbol|NUDT4|NUDT4
refseq_dna|NM_006994|NM_006994	hgnc_symbol|BTN3A3|BTN3A3
entrezgene|AK057129|284346	hgnc_symbol|ZNF575|ZNF575
refseq_dna|NM_004619|NM_004619	hgnc_symbol|TRAF5|TRAF5
entrezgene|AF055585|9353	hgnc_symbol|SLIT2|SLIT2
entrezgene|AA993518|11149	hgnc_symbol|BVES|BVES
entrezgene|BC023629|9260	hgnc_symbol|PDLIM7|PDLIM7
entrezgene|AI634549|55672	hgnc_symbol|FLJ20719|FLJ20719
entrezgene|T68150|90102	hgnc_symbol|PHLDB2|PHLDB2
embl|AL569326|AL569326	hgnc_symbol|PKIB|PKIB
refseq_dna|NM_003315|NM_003315	hgnc_symbol|DNAJC7|DNAJC7
embl|AL023775|AL023775	hgnc_symbol|IMP-3|IMP-3
refseq_dna|NM_001431|NM_001431	hgnc_symbol|EPB41L2|EPB41L2
entrezgene|AV705253|66008	hgnc_symbol|ALS2CR3|ALS2CR3
entrezgene|AV705032|7741	hgnc_symbol|ZNF187|ZNF187
refseq_dna|NM_019073|NM_019073	hgnc_symbol|SPATA6|SPATA6
entrezgene|AI022193|1	hgnc_symbol|A1BG|A1BG
entrezgene|AI824078|339005	hgnc_symbol|LOC339005 /// LOC440253|LOC339005 /// LOC440253
entrezgene|AI393706|342908
embl|AW517464|AW517464	hgnc_symbol|MGC13024|MGC13024
entrezgene|BC002654|84617	hgnc_symbol|TUBB6|TUBB6
embl|AK022804|AK022804
refseq_dna|NM_024830|NM_024830	hgnc_symbol|FLJ12443|FLJ12443
entrezgene|N21320|9990	hgnc_symbol|LOC51234|LOC51234
refseq_dna|NM_001657|NM_001657	hgnc_symbol|AREG|AREG
entrezgene|BC003610|4240	hgnc_symbol|MFGE8|MFGE8
refseq_dna|NM_017445|NM_017445	hgnc_symbol|H2BFS|H2BFS
embl|W47179|W47179	hgnc_symbol|CTSB|CTSB
entrezgene|AV727449|8850	hgnc_symbol|PCAF|PCAF
entrezgene|BC029868|83891	hgnc_symbol|SNX25|SNX25
refseq_dna|NM_000302|NM_000302	hgnc_symbol|PLOD1|PLOD1
refseq_dna|NM_018100|NM_018100	hgnc_symbol|EFHC1|EFHC1
embl|N22766|N22766
refseq_dna|NM_005570|NM_005570	hgnc_symbol|LMAN1|LMAN1
refseq_dna|NM_000917|NM_000917	hgnc_symbol|P4HA1|P4HA1
refseq_dna|NM_002923|NM_002923	hgnc_symbol|RGS2|RGS2
entrezgene|BF342661|4133	hgnc_symbol|MAP2|MAP2
entrezgene|AI313324|8337	hgnc_symbol|HIST2H2AA|HIST2H2AA
embl|AU154125|AU154125	hgnc_symbol|SEC22L1|SEC22L1
entrezgene|AI339586|147923	hgnc_symbol|ZNF420|ZNF420
entrezgene|H98105|6773	hgnc_symbol|STAT2|STAT2
entrezgene|AV705244|80055	hgnc_symbol|PGAP1|PGAP1
entrezgene|AF095771|27241	hgnc_symbol|PTHB1|PTHB1
embl|BF055201|BF055201
entrezgene|M32221|5660	hgnc_symbol|PSAP|PSAP
entrezgene|AW070776|79670	hgnc_symbol|ZCCHC6|ZCCHC6
entrezgene|AW665748|84984
refseq_dna|NM_024089|NM_024089	hgnc_symbol|KDELC1|KDELC1
entrezgene|AF052100|8674	hgnc_symbol|VAMP4|VAMP4
entrezgene|AI934473|5295	hgnc_symbol|PIK3R1|PIK3R1
refseq_dna|NM_000099|NM_000099	hgnc_symbol|CST3|CST3
refseq_dna|NM_016437|NM_016437	hgnc_symbol|TUBG2|TUBG2
entrezgene|AB037925|64332	hgnc_symbol|NFKBIZ|NFKBIZ
refseq_dna|NM_001864|NM_001864	hgnc_symbol|COX7A1|COX7A1
embl|AA133285|AA133285
entrezgene|AL161959|54329	hgnc_symbol|GPR85|GPR85
entrezgene|AF044286|9555	hgnc_symbol|H2AFY|H2AFY
embl|AA868461|AA868461	hgnc_symbol|OPN1SW|OPN1SW
embl|BF432941|BF432941
entrezgene|AV752058|5793
refseq_dna|NM_018286|NM_018286	hgnc_symbol|FLJ10970|FLJ10970
entrezgene|R70320|84189	hgnc_symbol|SLITRK6|SLITRK6
entrezgene|BE465475|114818	hgnc_symbol|KBTBD9|KBTBD9
entrezgene|AA835485|57118	hgnc_symbol|CAMK1D|CAMK1D
entrezgene|AI056683|25894	hgnc_symbol|PLEKHG4|PLEKHG4
entrezgene|AI681419|388327	hgnc_symbol|LOC388327|LOC388327
refseq_dna|NM_003551|NM_003551	hgnc_symbol|NME5|NME5
embl|BF594695|BF594695
refseq_dna|NM_007118|NM_007118	hgnc_symbol|TRIO|TRIO
entrezgene|AW001618|81555	hgnc_symbol|YIPF5|YIPF5
entrezgene|AL521634|93058	hgnc_symbol|FLJ32452|FLJ32452
refseq_dna|NM_001450|NM_001450	hgnc_symbol|FHL2|FHL2
entrezgene|AI743090|4862	hgnc_symbol|NPAS2|NPAS2
entrezgene|W73820|79047	hgnc_symbol|KCTD15|KCTD15
entrezgene|BF978262|135228	hgnc_symbol|CD109|CD109
refseq_dna|NM_014338|NM_014338	hgnc_symbol|PISD|PISD
entrezgene|AA046411|10513	hgnc_symbol|APPBP2|APPBP2
embl|AW131553|AW131553	hgnc_symbol|C21orf86|C21orf86
refseq_dna|NM_022765|NM_022765	hgnc_symbol|MICAL1|MICAL1
entrezgene|BE550717|199704	hgnc_symbol|ZNF585A|ZNF585A
entrezgene|BF792631|8555	hgnc_symbol|CDC14B|CDC14B
embl|BE962119|BE962119
embl|AL135787|AL135787	hgnc_symbol|LTB4DH|LTB4DH
refseq_dna|NM_001268|NM_001268	hgnc_symbol|RCBTB2|RCBTB2
embl|AI955713|AI955713
entrezgene|BC000961|8560	hgnc_symbol|DEGS1|DEGS1
refseq_dna|NM_002291|NM_002291	hgnc_symbol|LAMB1|LAMB1
entrezgene|BC002713|10608	hgnc_symbol|MXD4|MXD4
refseq_dna|NM_014705|NM_014705	hgnc_symbol|DOCK4|DOCK4
entrezgene|AI459194|1958	hgnc_symbol|EGR1|EGR1
embl|AL133706|AL133706	hgnc_symbol|C9orf47|C9orf47
entrezgene|AK000752|57222	hgnc_symbol|KIAA1181|KIAA1181
refseq_dna|NM_016151|NM_016151	hgnc_symbol|TAOK2|TAOK2
entrezgene|W74640|125058	hgnc_symbol|TBC1D16|TBC1D16
refseq_dna|NM_000386|NM_000386	hgnc_symbol|BLMH|BLMH
refseq_dna|NM_003474|NM_003474	hgnc_symbol|ADAM12|ADAM12
entrezgene|AI368909|55117	hgnc_symbol|SLC6A15|SLC6A15
embl|BF001919|BF001919	hgnc_symbol|SLC25A30|SLC25A30
entrezgene|AI743979|90843	hgnc_symbol|TCEAL8|TCEAL8
entrezgene|BC039307|339761	hgnc_symbol|FLJ16008|FLJ16008
refseq_dna|NM_014583|NM_014583	hgnc_symbol|LMCD1|LMCD1
embl|AI546970|AI546970
entrezgene|AW512586|5828	hgnc_symbol|PXMP3|PXMP3
refseq_dna|NM_022753|NM_022753	hgnc_symbol|S100PBPR|S100PBPR
entrezgene|AW161626|3842	hgnc_symbol|TNPO1|TNPO1
entrezgene|AW149492|9570	hgnc_symbol|GOSR2|GOSR2
refseq_dna|NM_016656|NM_016656	hgnc_symbol|RRAGB|RRAGB
entrezgene|AW593244|6711	hgnc_symbol|SPTBN1|SPTBN1
embl|AF070618|AF070618	hgnc_symbol|COPB2|COPB2
entrezgene|AL133101|387119
embl|AU151151|AU151151	hgnc_symbol|LEPR|LEPR
entrezgene|AA909044|91663	hgnc_symbol|MYADM|MYADM
entrezgene|BG035116|7716	hgnc_symbol|ZNF161|ZNF161
refseq_dna|NM_018162|NM_018162	hgnc_symbol|NAV2|NAV2
embl|AL034550|AL034550	hgnc_symbol|C20orf112|C20orf112
refseq_dna|NM_014863|NM_014863	hgnc_symbol|GALNAC4S-6ST|GALNAC4S-6ST
embl|H05025|H05025	hgnc_symbol|LOC492311|LOC492311
embl|AL541655|AL541655	hgnc_symbol|TMEM49|TMEM49
entrezgene|AI766311|162073	hgnc_symbol|LOC162073|LOC162073
entrezgene|AF317391|54880	hgnc_symbol|BCOR|BCOR
entrezgene|N62791|55239	hgnc_symbol|FLJ10826|FLJ10826
embl|M63889|M63889	hgnc_symbol|FGFR1|FGFR1
entrezgene|AI417917|30846	hgnc_symbol|EHD2|EHD2
entrezgene|AI912275|53335	hgnc_symbol|BCL11A|BCL11A
refseq_dna|NM_022763|NM_022763	hgnc_symbol|FNDC3B|FNDC3B
entrezgene|U77914|182	hgnc_symbol|JAG1|JAG1
refseq_dna|NM_003289|NM_003289	hgnc_symbol|TPM2|TPM2
refseq_dna|NM_006599|NM_006599	hgnc_symbol|NFAT5|NFAT5
entrezgene|U58111|7424	hgnc_symbol|VEGFC|VEGFC
refseq_dna|NM_006608|NM_006608	hgnc_symbol|PHTF1|PHTF1
refseq_dna|NM_016508|NM_016508	hgnc_symbol|CDKL3|CDKL3
embl|AI824171|AI824171
entrezgene|AL049381|5087	hgnc_symbol|PBX1|PBX1
entrezgene|AI738556|8793	hgnc_symbol|TNFRSF10D|TNFRSF10D
entrezgene|AI017750|202052	hgnc_symbol|DNAJC18|DNAJC18
embl|BF815640|BF815640
embl|BC002649|BC002649	hgnc_symbol|HIST1H1C|HIST1H1C
entrezgene|AI378788|131566	hgnc_symbol|DCBLD2|DCBLD2
entrezgene|AF274951|23741	hgnc_symbol|CRI1|CRI1
refseq_dna|NM_018099|NM_018099	hgnc_symbol|MLSTD1|MLSTD1
entrezgene|BF125756|23710	hgnc_symbol|GABARAPL1|GABARAPL1
entrezgene|BC002842|3017	hgnc_symbol|HIST1H2BD|HIST1H2BD
embl|BF516433|BF516433	hgnc_symbol|CYLD|CYLD
entrezgene|AF295039|26256	hgnc_symbol|CABYR|CABYR
entrezgene|AF220509|51616	hgnc_symbol|TAF9L|TAF9L
entrezgene|AK025626|83693	hgnc_symbol|HSDL1|HSDL1
refseq_dna|NM_002204|NM_002204	hgnc_symbol|ITGA3|ITGA3
refseq_dna|NM_025027|NM_025027	hgnc_symbol|ZNF606|ZNF606
embl|AA832474|AA832474
entrezgene|BG150485|6533	hgnc_symbol|SLC6A6|SLC6A6
entrezgene|AW103422|5094	hgnc_symbol|PCBP2|PCBP2
embl|D14826|D14826	hgnc_symbol|CREM|CREM
refseq_dna|NM_006697|NM_006697	hgnc_symbol|MTMR11|MTMR11
refseq_dna|NM_012329|NM_012329	hgnc_symbol|MMD|MMD
refseq_dna|NM_022090|NM_022090	hgnc_symbol|LOC63920|LOC63920
entrezgene|AB011536|1951	hgnc_symbol|CELSR3|CELSR3
entrezgene|AL571557|493869	hgnc_symbol|LOC493869|LOC493869
refseq_dna|NM_015239|NM_015239	hgnc_symbol|AGTPBP1|AGTPBP1
entrezgene|AF164794|57515	hgnc_symbol|SERINC1|SERINC1
refseq_dna|NM_000861|NM_000861	hgnc_symbol|HRH1|HRH1
embl|AI676241|AI676241
refseq_dna|NM_004426|NM_004426	hgnc_symbol|PHC1|PHC1
refseq_dna|NM_013343|NM_013343	hgnc_symbol|LOH3CR2A|LOH3CR2A
refseq_dna|NM_002222|NM_002222	hgnc_symbol|ITPR1|ITPR1
