Curated Gene Symbol	Gene ID	Symbol	Zs score Advac	Z score AdE2
NXN	NM_022463	NXN	-1.530120118	0.645273833
VSX1	NM_014588	VSX1	-2.094461327	0.643691913
LEF1	NM_016269	LEF1	-1.766898635	0.633915917
PRTN3	NM_002777	PRTN3	-1.674051383	0.631938038
SEC31A	NM_014933	SEC31L1	-1.679611446	0.629600959
DYNC1I1	NM_004411	DNCI1	-1.404256454	0.629406111
BTD	NM_000060	BTD	-1.87288065	0.629355974
SMARCB1	NM_003073	SMARCB1	-1.825178001	0.628747208
TFG	NM_006070	TFG	-2.261021334	0.625469755
LTBP2	NM_000428	LTBP2	-1.623705706	0.625292566
TWSG1	NM_020648	TWSG1	-1.622814272	0.622795855
RAD54B	NM_012415	RAD54B	-1.645354649	0.609979396
	XM_071466		-1.98594578	0.605668735
L1TD1	NM_019079	FLJ10884	-1.547428769	0.603491149
	XM_030039		-1.418508743	0.59866829
C14orf132	NM_020215	C14orf132	-2.249647691	0.591454722
LMAN1	NM_005570	LMAN1	-1.734500593	0.590089359
PDLIM5	NM_006457	LIM	-2.247313298	0.57648426
MGST1	NM_020300	MGST1	-1.743551582	0.562978557
USP18	NM_017414	USP18	-1.936968231	0.56034552
	XM_070421		-1.913102939	0.55929853
AGMAT	NM_024758	AGMAT	-1.845987917	0.555842858
SLC2A2	NM_000340	SLC2A2	-1.566909034	0.5479031
CNTNAP1	NM_003632	CNTNAP1	-1.459298454	0.545439691
NUP62	NM_016553	NUP62	-1.535849713	0.543327195
VPS4A	NM_013245	VPS4A	-1.966940987	0.539071422
PLAGL1	NM_006718	PLAGL1	-1.886917235	0.538042004
UBTD1	NM_024954	UBTD1	-2.0500559	0.537336805
CLNS1A	NM_001293	CLNS1A	-2.105986276	0.535026695
IFI27L2	NM_032036	FAM14A	-1.826760457	0.534380379
MBL2	NM_000242	MBL2	-2.174971482	0.532762957
CAPN5	NM_006189	CAPN5	-1.667383601	0.51638336
MBIP	NM_016586	MBIP	-1.585491761	0.513582705
	NM_024823		-1.682425469	0.51248978
TMEM50B	NM_006134	C21orf4	-1.600688268	0.511843679
LILRP2	NM_024317	ILT10	-1.73622523	0.508357021
ACBD3	NM_022735	ACBD3	-1.816027849	0.503106665
TNFSF13B	NM_006573	TNFSF13B	-1.806751512	0.502134628
TRIP13	NM_004237	TRIP13	-1.556177202	0.501718093
EXOC1	NM_018261	SEC3L1	-1.601764336	0.489074897
TREML2	NM_024807	TREML2	-1.846799666	0.482415842
	XM_006190		-2.079762218	0.470653311
KRTAP5-9	NM_005553	KRN1	-1.80396102	0.470113056
	XM_007726		-1.9949927	0.470054712
	NM_024328		-1.620542196	0.468358744
TOP2B	NM_001068	TOP2B	-1.657692821	0.464406291
AP1S1	NM_001283	AP1S1	-2.332444614	0.452423322
OSBPL9	NM_024586	OSBPL9	-1.673547555	0.442744635
STYXL1	NM_016086	MK-STYX	-1.703677731	0.440972836
PLCE1	NM_016341	PLCE1	-2.653125355	0.42940876
	NM_025112		-1.700434816	0.413174166
HNF4A	NM_000457	HNF4A	-1.805869054	0.407863825
MAP3K19	NM_025052	FLJ23074	-1.921649448	0.403927872
CXCL6	NM_002993	CXCL6	-1.786710387	0.397522302
HEY2	NM_012259	HEY2	-1.744724553	0.390163475
FANCF	NM_022725	FANCF	-1.73014703	0.387308752
PER1	NM_002616	PER1	-1.751288809	0.3843506
	XM_071619		-1.7420919	0.381271984
TGFA	NM_003236	TGFA	-2.062501365	0.371007321
	NM_022098	LOC63929	-2.023250351	0.369718099
CHGB	NM_001819	CHGB	-1.698694544	0.363840956
TRIM51	NM_032681	TRIM51	-2.263671704	0.359388635
ALG6	NM_013339	ALG6	-2.018296537	0.358822449
SLC11A2	NM_000617	SLC11A2	-1.803768962	0.34489991
ERBB2IP	NM_018695	ERBB2IP	-1.9033037	0.344778986
BAI3	NM_001704	BAI3	-1.693220913	0.340897357
RBBP7	NM_002893	RBBP7	-2.707113044	0.333821676
CTBS	NM_004388	CTBS	-1.850953104	0.322297714
MORF4L2	NM_012286	MORF4L2	-1.773703178	0.315905365
AIPL1	NM_014336	AIPL1	-1.91428411	0.311171982
	NM_014119		-2.267838367	0.307239426
HSD17B7	NM_016371	HSD17B7	-1.835952771	0.306924182
MTA2	NM_004739	MTA2	-1.820954358	0.27726216
PRLR	NM_000949	PRLR	-1.729746189	0.273065192
PJA2	NM_014819	PJA2	-1.943949551	0.270860653
	XM_017039		-2.69349176	0.265938148
ELK4	NM_001973	ELK4	-1.847087084	0.264617015
ITGA9	NM_002207	ITGA9	-2.390898416	0.254540087
ASF1A	NM_014034	ASF1A	-2.699895563	0.245762513
DNPEP	NM_012100	DNPEP	-2.251350208	0.238898789
PSIP1	NM_033222	PSIP1	-2.015608965	0.224234668
	XM_071637		-2.084565128	0.203717426
MYEF2	NM_016132	MYEF2	-2.513385798	0.193523549
IL20	NM_018724	IL20	-2.247262149	0.177662325
MRPS18C	NM_016067	MRPS18C	-1.868126055	0.173049618
CDKL1	NM_004196	CDKL1	-2.328743302	0.159612017
NELL1	NM_006157	NELL1	-2.118878386	0.156493471
TAP2	NM_018833	TAP2	-1.911884058	0.152224938
ABI1	NM_005470	ABI1	-2.086288882	0.12481105
COX16	NM_016468	C14orf112	-1.994689509	0.115397828
CARD8	NM_014959	CARD8	-1.98815003	0.108186705
GLYAT	NM_005838	GLYAT	-2.08817495	0.105913284
PAIP1	NM_006451	PAIP1	-2.370376948	0.10461843
CTLA4	NM_005214	CTLA4	-2.064033417	0.070869429
ZNF180	NM_013256	ZNF180	-3.177246252	0.057467354
UXT	NM_004182	UXT	-2.460417741	0.05466662
ALG13	NM_024810	FLJ23018	-2.066979035	0.04940681
ATP2B2	NM_001683	ATP2B2	-2.260563322	0.048278138
LPAR6	NM_005767	P2RY5	-2.414657241	-0.017598396
SEMA5A	NM_003966	SEMA5A	-2.315075656	-0.049540463
TGM4	NM_003241	TGM4	-2.851098495	-0.05838827
EPRS	NM_004446	EPRS	-2.106630847	-0.063438814
SLC7A8	NM_012244	SLC7A8	-2.695029806	-0.0833444
	XM_004298		-2.304601575	-0.096170407
	NM_024651		-2.184591693	-0.106236517
C4orf27	NM_017867	FLJ20534	-2.935136892	-0.124015084
HNRNPC	NM_004500	HNRPC	-2.549440698	-0.297032243
ATP7A	NM_000052	ATP7A	-2.412210038	-0.308663991
CTDSPL2	NM_016396	HSPC129	-2.84308024	-0.375004702
	NM_014111		-3.117668365	-0.502154645
MBD2	NM_003927	MBD2	-2.703722922	-0.633834232
EGLN3	NM_022073	EGLN3	-3.127644244	-0.899970284
