# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hg_u133a|203006_at|203006_at	entrezgene|3632|3632	refseq_dna|NM_005539|NM_005539	hgnc_symbol|INPP5A|INPP5A
affy_hg_u133a|203819_s_at|203819_s_at	entrezgene|10643|10643	entrezgene|AU160004|115416	hgnc_symbol|IGF2BP3|IGF2BP3
affy_hg_u133a|218149_s_at|218149_s_at	refseq_dna|NM_017606|NM_017606
affy_hg_u133a|214020_x_at|214020_x_at	entrezgene|3693|3693	entrezgene|BE138575|3693	hgnc_symbol|ITGB5|ITGB5
affy_hg_u133a|219080_s_at|219080_s_at	entrezgene|56474|56474	refseq_dna|NM_019857|NM_019857	hgnc_symbol|CTPS2|CTPS2
affy_hg_u133a|221057_at|221057_at	entrezgene|64173|64173	refseq_dna|NM_022354|NM_022354	hgnc_symbol|SPATA1|SPATA1
affy_hg_u133a|209694_at|209694_at	entrezgene|5805|5805	entrezgene|M97655|5805	hgnc_symbol|PTS|PTS
affy_hg_u133a|201135_at|201135_at	entrezgene|1892|1892	refseq_dna|NM_004092|NM_004092	hgnc_symbol|ECHS1|ECHS1
affy_hg_u133a|213514_s_at|213514_s_at	entrezgene|1729|1729	embl|AU158818|AU158818	hgnc_symbol|DIAPH1|DIAPH1
affy_hg_u133a|214886_s_at|214886_s_at	entrezgene|90634|90634	entrezgene|AL049786|90634	hgnc_symbol|N4BP2L1|N4BP2L1
affy_hg_u133a|211794_at|211794_at	entrezgene|2533|2533	entrezgene|AF198052|2533	hgnc_symbol|FYB|FYB
