Probe Set ID	In final signature?	Gene Symbol	Orientation	Description
ADXCRAD_AL109788_s_at	No	PRDM15	Sense (Fully Exonic)	PR domain containing 15 [Source:HGNC Symbol;Acc:13999]
ADXCRAD_AL117659_x_at	No	ATP9A	Sense (includes Intronic)	ATPase_ class II_ type 9A [Source:HGNC Symbol;Acc:13540]
ADXCRAD_AL121829_x_at	No		No Transcript match
ADXCRAD_AL134489_at	No	NMT2	Sense (Fully Exonic)	N-myristoyltransferase 2 [Source:HGNC Symbol;Acc:7858]
ADXCRAD_AL134930_s_at	No	PIP5K1A	Sense (Fully Exonic)	phosphatidylinositol-4-phosphate 5-kinase_ type I_ alpha [Source:HGNC Symbol;Acc:8994]
ADXCRAD_AL135445_at	No	BTN3A2	Sense (Fully Exonic)	butyrophilin_ subfamily 3_ member A2 [Source:HGNC Symbol;Acc:1139]
ADXCRAD_AL137312_x_at	No	SPG21 /// EFTUD2	Sense (includes Intronic) /// Sense (includes Intronic)	spastic paraplegia 21 (autosomal recessive_ Mast syndrome) [Source:HGNC Symbol;Acc:20373] /// elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:30858]
ADXCRAD_AL137494_at	No	SLC39A11	Sense (includes Intronic)	solute carrier family 39 (metal ion transporter)_ member 11 [Source:HGNC Symbol;Acc:14463]
ADXCRAD_AL137541_at	No	PTPRG	Sense (includes Intronic)	protein tyrosine phosphatase_ receptor type_ G [Source:HGNC Symbol;Acc:9671]
ADXCRAD_AL137541_x_at	No	PTPRG	Sense (includes Intronic)	protein tyrosine phosphatase_ receptor type_ G [Source:HGNC Symbol;Acc:9671]
ADXCRAD_AL137703_at	No	ZMYND8	Sense (Fully Exonic)	zinc finger_ MYND-type containing 8 [Source:HGNC Symbol;Acc:9397]
ADXCRAD_AL157496_x_at	No		No Transcript match
ADXCRAD_AL157511_x_at	No	SNAPC3	Sense (Fully Exonic)	small nuclear RNA activating complex_ polypeptide 3_ 50kDa [Source:HGNC Symbol;Acc:11136]
ADXCRAD_AL162054_x_at	No	CACNB2	Sense (includes Intronic)	calcium channel_ voltage-dependent_ beta 2 subunit [Source:HGNC Symbol;Acc:1402]
ADXCRAD_AL162082_x_at	No	PRIM1	Sense (includes Intronic)	primase_ DNA_ polypeptide 1 (49kDa) [Source:HGNC Symbol;Acc:9369]
ADXCRAD_AL353951_x_at	No	N/A	Sense (includes Intronic)	NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRAD_AL355689_at	No	C21orf63	Sense (includes Intronic)	Uncharacterized protein C21orf63 Precursor (SUE21) [Source:UniProtKB/Swiss-Prot;Acc:P58658]
ADXCRAD_AL359941_at	No	SDHAP3	Sense (Fully Exonic)	succinate dehydrogenase complex_ subunit A_ flavoprotein pseudogene 3 [Source:HGNC Symbol;Acc:18781]
ADXCRAD_AL359941_x_at	No	SDHAP3	Sense (Fully Exonic)	succinate dehydrogenase complex_ subunit A_ flavoprotein pseudogene 3 [Source:HGNC Symbol;Acc:18781]
ADXCRAD_AL390176_at	No	CUX1	Sense (includes Intronic)	cut-like homeobox 1 [Source:HGNC Symbol;Acc:2557]
ADXCRAD_AL390176_x_at	No	CUX1	Sense (includes Intronic)	cut-like homeobox 1 [Source:HGNC Symbol;Acc:2557]
ADXCRAD_AL520862_s_at	No	DOK4	Sense (Fully Exonic)	docking protein 4 [Source:HGNC Symbol;Acc:19868]
ADXCRAD_AL521806_s_at	No	TYRO3	Sense (Fully Exonic)	TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:12446]
ADXCRAD_AL539189_x_at	No	FAM100B	Sense (Fully Exonic)	family with sequence similarity 100_ member B [Source:HGNC Symbol;Acc:28438]
ADXCRAD_AL542361_at	No	WDR6	Sense (Fully Exonic)	WD repeat domain 6 [Source:HGNC Symbol;Acc:12758]
ADXCRAD_AL545542_x_at	No	PTRF	Sense (Fully Exonic)	polymerase I and transcript release factor [Source:HGNC Symbol;Acc:9688]
ADXCRAD_AL547157_s_at	No	ANP32C /// N/A	Sense (Fully Exonic) /// Sense (Fully Exonic)	acidic (leucine-rich) nuclear phosphoprotein 32 family_ member C [Source:HGNC Symbol;Acc:16675] /// acidic (leucine-rich) nuclear phosphoprotein 32 family_ member C (ANP32C)_ mRNA [Source:RefSeq DNA;Acc:NM_012403]
ADXCRAD_AL557900_x_at	No	ZGPAT /// LIME1	Sense (Fully Exonic) /// Sense (Fully Exonic)	zinc finger_ CCCH-type with G patch domain [Source:HGNC Symbol;Acc:15948] /// Lck interacting transmembrane adaptor 1 [Source:HGNC Symbol;Acc:26016]
ADXCRAD_AL559247_at	No	RNF26	Sense (Fully Exonic)	ring finger protein 26 [Source:HGNC Symbol;Acc:14646]
ADXCRAD_AL559989_s_at	No	WTAP	Sense (Fully Exonic)	Wilms tumor 1 associated protein [Source:HGNC Symbol;Acc:16846]
ADXCRAD_AL560385_at	No	FEN1	Sense (Fully Exonic)	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:3650]
ADXCRAD_AL560665_s_at	No	OGDH	Sense (Fully Exonic)	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide) [Source:HGNC Symbol;Acc:8124]
ADXCRAD_AL561218_s_at	No	DLEU1	Sense (Fully Exonic)	deleted in lymphocytic leukemia 1 (non-protein coding) [Source:HGNC Symbol;Acc:13747]
ADXCRAD_AL561439_at	No	CDC25B	Sense (Fully Exonic)	cell division cycle 25 homolog B (S. pombe) [Source:HGNC Symbol;Acc:1726]
ADXCRAD_AL567118_at	No		No Transcript match
ADXCRAD_AL572553_x_at	No	NIT1	AntiSense	nitrilase 1 [Source:HGNC Symbol;Acc:7828]
ADXCRAD_AL598628_x_at	No	SCD	Sense (Fully Exonic)	stearoyl-CoA desaturase (delta-9-desaturase) [Source:HGNC Symbol;Acc:10571]
ADXCRAD_AL601402_at	No	C15orf29	Sense (includes Intronic)	Uncharacterized protein C15orf29  [Source:UniProtKB/Swiss-Prot;Acc:Q9H079]
ADXCRAD_AL705372_s_at	No	OSGIN2	Sense (Fully Exonic)	oxidative stress induced growth inhibitor family member 2 [Source:HGNC Symbol;Acc:1355]
ADXCRAD_AL706243_s_at	No	BDP1	Sense (Fully Exonic)	B double prime 1_ subunit of RNA polymerase III transcription initiation factor IIIB [Source:HGNC Symbol;Acc:13652]
ADXCRAD_AL731899_x_at	No	N/A	Sense (Fully Exonic)	NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRAD_AL732137_s_at	No	C20orf96	Sense (Fully Exonic)	Uncharacterized protein C20orf96  [Source:UniProtKB/Swiss-Prot;Acc:Q9NUD7]
ADXCRAD_AL831814_x_at	No		No Transcript match
ADXCRAD_AL831831_x_at	No	TOP3B	AntiSense	topoisomerase (DNA) III beta [Source:HGNC Symbol;Acc:11993]
ADXCRAD_AL832061_x_at	No	ARRB2	Sense (includes Intronic)	arrestin_ beta 2 [Source:HGNC Symbol;Acc:712]
ADXCRAD_AL832260_at	No	SVIL	Sense (includes Intronic)	supervillin [Source:HGNC Symbol;Acc:11480]
ADXCRAD_AL832260_x_at	No	SVIL	Sense (includes Intronic)	supervillin [Source:HGNC Symbol;Acc:11480]
ADXCRAD_AL832409_x_at	No	TGIF1	Sense (includes Intronic)	TGFB-induced factor homeobox 1 [Source:HGNC Symbol;Acc:11776]
ADXCRAD_AL832450_at	No	CMTM7	Sense (includes Intronic)	CKLF-like MARVEL transmembrane domain containing 7 [Source:HGNC Symbol;Acc:19178]
ADXCRAD_AL832478_x_at	No	C13orf33	Sense (includes Intronic)	Uncharacterized protein C13orf33 (Activated in W/Wv mouse stomach 3 homolog)(hAWMS3) [Source:UniProtKB/Swiss-Prot;Acc:Q5VYS4]
ADXCRAD_AL832672_at	No	NOTCH2NL /// N/A	Sense (includes Intronic) /// Sense (includes Intronic)	Notch homolog 2 (Drosophila) N-terminal like [Source:HGNC Symbol;Acc:31862] /// Putative uncharacterized protein ENSP00000345684  [Source:UniProtKB/TrEMBL;Acc:A6NDV3]
ADXCRAD_AL832672_x_at	No	NOTCH2NL /// N/A	Sense (includes Intronic) /// Sense (includes Intronic)	Notch homolog 2 (Drosophila) N-terminal like [Source:HGNC Symbol;Acc:31862] /// Putative uncharacterized protein ENSP00000345684  [Source:UniProtKB/TrEMBL;Acc:A6NDV3]
ADXCRAD_AL832682_at	No	PARVA	Sense (includes Intronic)	parvin_ alpha [Source:HGNC Symbol;Acc:14652]
ADXCRAD_AL832759_at	No	NAPEPLD	Sense (includes Intronic)	N-acyl phosphatidylethanolamine phospholipase D [Source:HGNC Symbol;Acc:21683]
ADXCRAD_AL832759_x_at	No	NAPEPLD	Sense (includes Intronic)	N-acyl phosphatidylethanolamine phospholipase D [Source:HGNC Symbol;Acc:21683]
ADXCRAD_AL832806_x_at	No	HDAC4	Sense (includes Intronic)	histone deacetylase 4 [Source:HGNC Symbol;Acc:14063]
ADXCRAD_AL833305_at	No	SBF2	Sense (includes Intronic)	SET binding factor 2 [Source:HGNC Symbol;Acc:2135]
ADXCRAD_AL833343_x_at	No	KCNK1	Sense (includes Intronic)	potassium channel_ subfamily K_ member 1 [Source:HGNC Symbol;Acc:6272]
ADXCRAD_AL833444_at	No	FRYL	Sense (includes Intronic)	FRY-like [Source:HGNC Symbol;Acc:29127]
ADXCRAD_AL833444_x_at	No	FRYL	Sense (Fully Exonic)	FRY-like [Source:HGNC Symbol;Acc:29127]
ADXCRAD_AL833448_x_at	No	KIAA1632	Sense (includes Intronic)	KIAA1632 [Source:HGNC Symbol;Acc:29331]
ADXCRAD_AL833513_x_at	No	EEA1	Sense (includes Intronic)	early endosome antigen 1 [Source:HGNC Symbol;Acc:3185]
ADXCRAD_AL833560_x_at	No		No Genome match
ADXCRAD_AL833766_x_at	No	KLHDC4	Sense (includes Intronic)	kelch domain containing 4 [Source:HGNC Symbol;Acc:25272]
ADXCRAD_AL833770_x_at	No		Sense (includes Intronic)	septin 9 [Source:HGNC Symbol;Acc:7323]
ADXCRAD_AU118870_s_at	No	DIO2	Sense (Fully Exonic)	deiodinase_ iodothyronine_ type II [Source:HGNC Symbol;Acc:2884]
ADXCRAD_AU120130_at	No	ZSWIM6	Sense (includes Intronic)	zinc finger_ SWIM-type containing 6 [Source:HGNC Symbol;Acc:29316]
ADXCRAD_AU121907_x_at	No	TIA1 /// C2orf42	Sense (includes Intronic) /// Sense (includes Intronic)	TIA1 cytotoxic granule-associated RNA binding protein [Source:HGNC Symbol;Acc:11802] /// Uncharacterized protein C2orf42  [Source:UniProtKB/Swiss-Prot;Acc:Q9NWW7]
ADXCRAD_AU124103_at	No	SLMAP	Sense (Fully Exonic)	sarcolemma associated protein [Source:HGNC Symbol;Acc:16643]
ADXCRAD_AU124103_x_at	No	SLMAP	Sense (Fully Exonic)	sarcolemma associated protein [Source:HGNC Symbol;Acc:16643]
ADXCRAD_AU131524_at	No		No Genome match
ADXCRAD_AU132695_at	No	SLC38A1	Sense (Fully Exonic)	solute carrier family 38_ member 1 [Source:HGNC Symbol;Acc:13447]
ADXCRAD_AU144598_at	No	N/A	Sense (Fully Exonic)	KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRAD_AU145144_at	No	NCK1	AntiSense	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:7664]
ADXCRAD_AU145144_x_at	No	NCK1	AntiSense	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:7664]
ADXCRAD_AU146924_at	No	NFIB	AntiSense	nuclear factor I/B [Source:HGNC Symbol;Acc:7785]
ADXCRAD_AU147861_x_at	No	EGFR	AntiSense	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog_ avian) [Source:HGNC Symbol;Acc:3236]
ADXCRAD_AU147899_at	No	B2M	AntiSense	beta-2-microglobulin [Source:HGNC Symbol;Acc:914]
ADXCRAD_AU150300_at	No	ZDHHC11 /// N/A	AntiSense /// AntiSense	zinc finger_ DHHC-type containing 11 [Source:HGNC Symbol;Acc:19158] /// Putative uncharacterized protein ENSP00000341823  [Source:UniProtKB/TrEMBL;Acc:A6NFH0]
ADXCRAD_AU154853_at	No	N/A	Sense (Fully Exonic)	NOVEL lincRNA (Clone_based_ensembl_gene)
ADXCRAD_AU154853_x_at	No	N/A	Sense (Fully Exonic)	NOVEL lincRNA (Clone_based_ensembl_gene)
ADXCRAD_AU155234_x_at	No	C1orf26	Sense (Fully Exonic)	Uncharacterized protein C1orf26  [Source:UniProtKB/Swiss-Prot;Acc:Q5T5J6]
ADXCRAD_AU155661_at	No	CUL4A	AntiSense	cullin 4A [Source:HGNC Symbol;Acc:2554]
ADXCRAD_AU155661_x_at	No	CUL4A	AntiSense	cullin 4A [Source:HGNC Symbol;Acc:2554]
ADXCRAD_AU156202_s_at	No	USP15	AntiSense	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:12613]
ADXCRAD_AU157200_at	No	N/A /// PKN2	AntiSense /// AntiSense	U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] /// protein kinase N2 [Source:HGNC Symbol;Acc:9406]
ADXCRAD_AU157200_x_at	No	N/A /// PKN2	AntiSense /// AntiSense	U6 spliceosomal RNA  [Source:RFAM;Acc:RF00026] /// protein kinase N2 [Source:HGNC Symbol;Acc:9406]
ADXCRAD_AU159357_x_at	No	KCTD7 /// N/A	AntiSense /// AntiSense	potassium channel tetramerisation domain containing 7 [Source:HGNC Symbol;Acc:21957] /// NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRAD_AU252496_s_at	No	MEG3	Sense (Fully Exonic)	maternally expressed 3 (non-protein coding) [Source:HGNC Symbol;Acc:14575]
ADXCRAD_AU310209_s_at	No	FUS	Sense (Fully Exonic)	fused in sarcoma [Source:HGNC Symbol;Acc:4010]
ADXCRAD_AU310763_s_at	No	FXR1	Sense (Fully Exonic)	fragile X mental retardation_ autosomal homolog 1 [Source:HGNC Symbol;Acc:4023]
ADXCRAD_AV650929_at	No	RBM39	Sense (Fully Exonic)	RNA binding motif protein 39 [Source:HGNC Symbol;Acc:15923]
ADXCRAD_AV650929_x_at	No	RBM39	Sense (Fully Exonic)	RNA binding motif protein 39 [Source:HGNC Symbol;Acc:15923]
ADXCRAD_AV658773_x_at	No		No Genome match
ADXCRAD_AV689408_s_at	No	BBS9	Sense (Fully Exonic)	Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:30000]
ADXCRAD_AV691113_at	No	C1orf85	Sense (Fully Exonic)	Lysosomal protein NCU-G1 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q8WWB7]
ADXCRAD_AV691296_at	No	C8orf76	Sense (includes Intronic)	Uncharacterized protein C8orf76  [Source:UniProtKB/Swiss-Prot;Acc:Q96K31]
ADXCRAD_AV692313_x_at	No	N/A /// SSH2 /// ZMYND8 /// SAMD4A	Sense (includes Intronic) /// Sense (includes Intronic) /// Sense (includes Intronic) /// Sense (includes Intronic)	KNOWN lincRNA (Clone_based_ensembl_gene) /// slingshot homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:30580] /// zinc finger_ MYND-type containing 8 [Source:HGNC Symbol;Acc:9397] /// sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:23023]
ADXCRAD_AV694434_s_at	No	ARIH2	Sense (Fully Exonic)	ariadne homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:690]
ADXCRAD_AV699744_at	No	N/A	AntiSense	Structural maintenance of chromosomes flexible hinge domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:A6NHR9]
ADXCRAD_AV699744_x_at	No	N/A	AntiSense	Structural maintenance of chromosomes flexible hinge domain-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:A6NHR9]
ADXCRAD_AV700607_s_at	No	DENND1B	Sense (Fully Exonic)	DENN/MADD domain containing 1B [Source:HGNC Symbol;Acc:28404]
ADXCRAD_AV700630_x_at	No		No Transcript match
ADXCRAD_AV701126_at	No	PBX1	Sense (includes Intronic)	pre-B-cell leukemia homeobox 1 [Source:HGNC Symbol;Acc:8632]
ADXCRAD_AV701126_x_at	No	PBX1	Sense (includes Intronic)	pre-B-cell leukemia homeobox 1 [Source:HGNC Symbol;Acc:8632]
ADXCRAD_AV717728_x_at	No	IL10RB	Sense (Fully Exonic)	interleukin 10 receptor_ beta [Source:HGNC Symbol;Acc:5965]
ADXCRAD_AV722297_at	No	PIK3CD	Sense (Fully Exonic)	phosphoinositide-3-kinase_ catalytic_ delta polypeptide [Source:HGNC Symbol;Acc:8977]
ADXCRAD_AV736334_x_at	No	TPM4	Sense (includes Intronic)	tropomyosin 4 [Source:HGNC Symbol;Acc:12013]
ADXCRAD_AV763741_x_at	No		No Transcript match
ADXCRAD_AV763758_at	No	SFRS2IP	Sense (Fully Exonic)	splicing factor_ arginine/serine-rich 2_ interacting protein [Source:HGNC Symbol;Acc:10784]
ADXCRAD_AV763758_x_at	No	SFRS2IP	Sense (Fully Exonic)	splicing factor_ arginine/serine-rich 2_ interacting protein [Source:HGNC Symbol;Acc:10784]
ADXCRAD_AW002398_at	No	INTS10	AntiSense	integrator complex subunit 10 [Source:HGNC Symbol;Acc:25548]
ADXCRAD_AW004076_at	No	KIAA1632	AntiSense	KIAA1632 [Source:HGNC Symbol;Acc:29331]
ADXCRAD_AW005866_at	No	LASS5	AntiSense	LAG1 homolog_ ceramide synthase 5 [Source:HGNC Symbol;Acc:23749]
ADXCRAD_AW014327_x_at	No		No Transcript match
ADXCRAD_AW023442_at	No	PTEN	Sense (Fully Exonic)	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:9588]
ADXCRAD_AW028110_at	No	N/A	Sense (Fully Exonic)	KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRAD_AW069499_at	No	N/A	AntiSense	NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRAD_AW135412_s_at	No	CNIH4	AntiSense	cornichon homolog 4 (Drosophila) [Source:HGNC Symbol;Acc:25013]
ADXCRAD_AW138872_at	No	DDAH1	AntiSense	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:2715]
ADXCRAD_AW149492_at	No	GOSR2	AntiSense	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:4431]
ADXCRAD_AW150065_s_at	No	AGAP10 /// N/A /// N/A /// AGAP9	AntiSense /// AntiSense /// AntiSense /// AntiSense	ArfGAP with GTPase domain_ ankyrin repeat and PH domain 10 [Source:HGNC Symbol;Acc:23462] /// BMS1 pseudogene 4 (BMS1P4)_ non-coding RNA [Source:RefSeq DNA;Acc:NR_026592] /// BMS1 pseudogene 5 (BMS1P5)_ non-coding RNA [Source:RefSeq DNA;Acc:NR_003611] /// ArfGAP with GTPase domain_ ankyrin repeat and PH domain 9 [Source:HGNC Symbol;Acc:23463]
ADXCRAD_AW178807_s_at	No	PTK2	Sense (includes Intronic)	PTK2 protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:9611]
ADXCRAD_AW183692_x_at	No	BRWD1	AntiSense	bromodomain and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:12760]
ADXCRAD_AW188170_x_at	No	KIAA0528	AntiSense	KIAA0528 [Source:HGNC Symbol;Acc:29062]
ADXCRAD_AW195475_s_at	No	ETV6	Sense (Fully Exonic)	ets variant 6 [Source:HGNC Symbol;Acc:3495]
ADXCRAD_AW205964_at	No	PHF20L1	AntiSense	PHD finger protein 20-like 1 [Source:HGNC Symbol;Acc:24280]
ADXCRAD_AW238632_s_at	No	BAT2L2	Sense (Fully Exonic)	HLA-B associated transcript 2-like 2 [Source:HGNC Symbol;Acc:24903]
ADXCRAD_AW243272_at	No	KCNK5	AntiSense	potassium channel_ subfamily K_ member 5 [Source:HGNC Symbol;Acc:6280]
ADXCRAD_AW268792_at	No	C5orf28	Sense (includes Intronic)	Transmembrane protein C5orf28  [Source:UniProtKB/Swiss-Prot;Acc:Q0VDI3]
ADXCRAD_AW272603_at	No	TMEM87B	AntiSense	transmembrane protein 87B [Source:HGNC Symbol;Acc:25913]
ADXCRAD_AW295338_s_at	No	CAMK2G	AntiSense	calcium/calmodulin-dependent protein kinase II gamma [Source:HGNC Symbol;Acc:1463]
ADXCRAD_AW296081_at	No	SNTB2	AntiSense	syntrophin_ beta 2 (dystrophin-associated protein A1_ 59kDa_ basic component 2) [Source:HGNC Symbol;Acc:11169]
ADXCRAD_AW296081_s_at	No	SNTB2	AntiSense	syntrophin_ beta 2 (dystrophin-associated protein A1_ 59kDa_ basic component 2) [Source:HGNC Symbol;Acc:11169]
ADXCRAD_AW297731_x_at	No	PARP14	AntiSense	poly (ADP-ribose) polymerase family_ member 14 [Source:HGNC Symbol;Acc:29232]
ADXCRAD_AW341225_at	No	MZF1	AntiSense	myeloid zinc finger 1 [Source:HGNC Symbol;Acc:13108]
ADXCRAD_AW361529_s_at	No	PIGR	Sense (Fully Exonic)	polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:8968]
ADXCRAD_AW383499_at	No		No Genome match
ADXCRAD_AW390142_s_at	No	MACC1	Sense (Fully Exonic)	metastasis associated in colon cancer 1 [Source:HGNC Symbol;Acc:30215]
ADXCRAD_AW409974_at	No	RBM10	AntiSense	RNA binding motif protein 10 [Source:HGNC Symbol;Acc:9896]
ADXCRAD_AW450442_at	No	OTUD7B	AntiSense	OTU domain containing 7B [Source:HGNC Symbol;Acc:16683]
ADXCRAD_AW579896_at	No	N/A /// N/A	Sense (Fully Exonic) /// Sense (Fully Exonic)	NADH-ubiquinone oxidoreductase chain 6 (EC 1.6.5.3)(NADH dehydrogenase subunit 6) [Source:UniProtKB/Swiss-Prot;Acc:P03923] /// microRNA 1974 (MIR1974)_ microRNA [Source:RefSeq DNA;Acc:NR_031738]
ADXCRAD_AW630872_at	No	FBXL17	Sense (Fully Exonic)	F-box and leucine-rich repeat protein 17 [Source:HGNC Symbol;Acc:13615]
ADXCRAD_AW674195_at	No	HSPD1	AntiSense	heat shock 60kDa protein 1 (chaperonin) [Source:HGNC Symbol;Acc:5261]
ADXCRAD_AW674195_x_at	No	HSPD1	AntiSense	heat shock 60kDa protein 1 (chaperonin) [Source:HGNC Symbol;Acc:5261]
ADXCRAD_AW793446_s_at	No	ODF2L	Sense (Fully Exonic)	outer dense fiber of sperm tails 2-like [Source:HGNC Symbol;Acc:29225]
ADXCRAD_AW814026_at	No	DNAJC7	AntiSense	DnaJ (Hsp40) homolog_ subfamily C_ member 7 [Source:HGNC Symbol;Acc:12392]
ADXCRAD_AW886450_s_at	No	PIP5K1B	Sense (includes Intronic)	phosphatidylinositol-4-phosphate 5-kinase_ type I_ beta [Source:HGNC Symbol;Acc:8995]
ADXCRAD_AW957273_x_at	No	APOL1	Sense (Fully Exonic)	apolipoprotein L_ 1 [Source:HGNC Symbol;Acc:618]
ADXCRAD_AW958283_s_at	No	RAD54L2	Sense (Fully Exonic)	RAD54-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:29123]
ADXCRAD_AW958811_at	No	SFRS2B	Sense (Fully Exonic)	splicing factor_ arginine/serine-rich 2B [Source:HGNC Symbol;Acc:16988]
ADXCRAD_AW959705_s_at	No	NCOA3	Sense (Fully Exonic)	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:7670]
ADXCRAD_AW959954_x_at	No	ZNF561	Sense (Fully Exonic)	zinc finger protein 561 [Source:HGNC Symbol;Acc:28684]
ADXCRAD_AW960620_s_at	No	TPM2	Sense (Fully Exonic)	tropomyosin 2 (beta) [Source:HGNC Symbol;Acc:12011]
ADXCRAD_AW962112_at	No	NSD1	Sense (Fully Exonic)	nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:14234]
ADXCRAD_AW963511_at	No	GAPDHS	AntiSense	glyceraldehyde-3-phosphate dehydrogenase_ spermatogenic [Source:HGNC Symbol;Acc:24864]
ADXCRAD_AW963634_at	No	RTN4	Sense (includes Intronic)	reticulon 4 [Source:HGNC Symbol;Acc:14085]
ADXCRAD_AW963634_x_at	No	RTN4	Sense (includes Intronic)	reticulon 4 [Source:HGNC Symbol;Acc:14085]
ADXCRAD_AW965007_at	No		No Genome match
ADXCRAD_AW968980_s_at	No	RPUSD3	Sense (Fully Exonic)	RNA pseudouridylate synthase domain containing 3 [Source:HGNC Symbol;Acc:28437]
ADXCRAD_AW969703_x_at	No	RNF149	Sense (includes Intronic)	ring finger protein 149 [Source:HGNC Symbol;Acc:23137]
ADXCRAD_AW970888_at	No	N/A	Sense (Fully Exonic)	KNOWN lincRNA (Clone_based_ensembl_gene)
ADXCRAD_AW972881_at	No	MSI2	AntiSense	musashi homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:18585]
ADXCRAD_AW974747_x_at	No		No Genome match
ADXCRAD_AW974915_s_at	No	N/A	AntiSense	NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRAD_AW975183_s_at	No		No Transcript match
ADXCRAD_AW978721_at	No	NRD1	AntiSense	nardilysin (N-arginine dibasic convertase) [Source:HGNC Symbol;Acc:7995]
ADXCRAD_AW984848_at	No	N/A	Sense (includes Intronic)	NOVEL processed_transcript (Clone_based_vega_gene)
ADXCRAD_AY094612_x_at	No		No Transcript match
ADXCRAD_AY096240_s_at	No	SH3GLB2	Sense (Fully Exonic)	SH3-domain GRB2-like endophilin B2 [Source:HGNC Symbol;Acc:10834]
ADXCRAD_BC000453_at	No	PCM1	Sense (includes Intronic)	pericentriolar material 1 [Source:HGNC Symbol;Acc:8727]
ADXCRAD_BC000453_x_at	No	PCM1	Sense (includes Intronic)	pericentriolar material 1 [Source:HGNC Symbol;Acc:8727]
ADXCRAD_BC000988_x_at	No	ATP2B4	Sense (includes Intronic)	ATPase_ Ca++ transporting_ plasma membrane 4 [Source:HGNC Symbol;Acc:817]
ADXCRAD_BC001103_x_at	No	GULP1	Sense (Fully Exonic)	GULP_ engulfment adaptor PTB domain containing 1 [Source:HGNC Symbol;Acc:18649]
ADXCRAD_BC001217_x_at	No	R3HDM1	Sense (Fully Exonic)	R3H domain containing 1 [Source:HGNC Symbol;Acc:9757]
ADXCRAD_BC002482_at	No	WDR55	Sense (Fully Exonic)	WD repeat domain 55 [Source:HGNC Symbol;Acc:25971]
ADXCRAD_BC003693_at	No	GLYR1	Sense (Fully Exonic)	glyoxylate reductase 1 homolog (Arabidopsis) [Source:HGNC Symbol;Acc:24434]
ADXCRAD_BC006381_at	No	GOLGA2 /// N/A	Sense (Fully Exonic) /// Sense (Fully Exonic)	golgin A2 [Source:HGNC Symbol;Acc:4425] /// NOVEL miRNA (Clone_based_ensembl_gene)
ADXCRAD_BC006381_x_at	No	GOLGA2 /// N/A	Sense (Fully Exonic) /// Sense (Fully Exonic)	golgin A2 [Source:HGNC Symbol;Acc:4425] /// NOVEL miRNA (Clone_based_ensembl_gene)
ADXCRAD_BC009393_at	No	AGFG2	Sense (Fully Exonic)	ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:5177]
ADXCRAD_BC013610_s_at	No	CLDND1	Sense (Fully Exonic)	claudin domain containing 1 [Source:HGNC Symbol;Acc:1322]
ADXCRAD_BC015876_x_at	No	TRIM59 /// RANGAP1 /// FAM153B /// VPS13A /// FAM153A /// CPB2	Sense (includes Intronic) /// Sense (includes Intronic) /// Sense (includes Intronic) /// Sense (includes Intronic) /// Sense (includes Intronic) /// Sense (includes Intronic)	tripartite motif-containing 59 [Source:HGNC Symbol;Acc:30834] /// Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:9854] /// family with sequence similarity 153_ member B [Source:HGNC Symbol;Acc:27323] /// vacuolar protein sorting 13 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:1908] /// family with sequence similarity 153_ member A [Source:HGNC Symbol;Acc:29940] /// carboxypeptidase B2 (plasma) [Source:HGNC Symbol;Acc:2300]
