# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_hugene_1_0_st_v1|7945680|7945680	refseq_dna|NR_002196|NR_002196	unigene|Hs.533566|Hs.533566	hgnc_symbol|H19|H19
affy_hugene_1_0_st_v1|7999596|7999596	refseq_dna|XM_001128282|XM_001128282	unigene|NA|NA	hgnc_symbol|LOC728138|LOC728138
affy_hugene_1_0_st_v1|7987574|7987574	refseq_dna|NM_133639|NM_133639	unigene|Hs.447901|Hs.447901	hgnc_symbol|RHOV|RHOV
affy_hugene_1_0_st_v1|7990894|7990894	refseq_dna|XM_294765|XM_294765	unigene|NA|NA	hgnc_symbol|LOC647042|LOC647042
affy_hugene_1_0_st_v1|8162472|8162472	refseq_dna|NM_021570|NM_021570	unigene|Hs.164960|Hs.164960	hgnc_symbol|BARX1|BARX1
affy_hugene_1_0_st_v1|8085815|8085815	refseq_dna|NM_001068|NM_001068	unigene|Hs.475733|Hs.475733	hgnc_symbol|TOP2B|TOP2B
affy_hugene_1_0_st_v1|8140170|8140170	entrezgene|AY336979|84163	unigene|c(Hs.647017|c(Hs.647017	unigene|Hs.647039)|Hs.647039)	hgnc_symbol|GTF2IRD2|GTF2IRD2
affy_hugene_1_0_st_v1|7973314|7973314	refseq_dna|NM_005015|NM_005015	unigene|Hs.151134|Hs.151134	hgnc_symbol|OXA1L|OXA1L
affy_hugene_1_0_st_v1|7916862|7916862	refseq_dna|NM_024911|NM_024911	unigene|Hs.647659|Hs.647659	hgnc_symbol|GPR177|GPR177
affy_hugene_1_0_st_v1|7997940|7997940	refseq_dna|NR_002450|NR_002450	unigene|NA|NA	hgnc_symbol|SNORD68|SNORD68
affy_hugene_1_0_st_v1|8010212|8010212	refseq_dna|NM_152468|NM_152468	unigene|Hs.592102|Hs.592102	hgnc_symbol|TMC8|TMC8
affy_hugene_1_0_st_v1|8010841|8010841	refseq_dna|NM_022158|NM_022158	unigene|Hs.151135|Hs.151135	hgnc_symbol|FN3K|FN3K
affy_hugene_1_0_st_v1|8003484|8003484	refseq_dna|NM_004913|NM_004913	unigene|Hs.164410|Hs.164410	hgnc_symbol|C16orf7|C16orf7
affy_hugene_1_0_st_v1|8064111|8064111	refseq_dna|NM_032945|NM_032945	unigene|Hs.434878|Hs.434878	hgnc_symbol|TNFRSF6B|TNFRSF6B
affy_hugene_1_0_st_v1|8000856|8000856	refseq_dna|NM_015527|NM_015527	unigene|Hs.699204|Hs.699204	hgnc_symbol|TBC1D10B|TBC1D10B
affy_hugene_1_0_st_v1|8049689|8049689	refseq_dna|NM_018226|NM_018226	unigene|Hs.5345|Hs.5345	hgnc_symbol|RNPEPL1|RNPEPL1
affy_hugene_1_0_st_v1|8107164|8107164	refseq_dna|NM_015216|NM_015216	unigene|Hs.212046|Hs.212046	hgnc_symbol|HISPPD1|HISPPD1
affy_hugene_1_0_st_v1|8119466|8119466	refseq_dna|NM_005586|NM_005586	unigene|Hs.520119|Hs.520119	hgnc_symbol|MDFI|MDFI
affy_hugene_1_0_st_v1|7995631|7995631	refseq_dna|NM_005611|NM_005611	unigene|Hs.513609|Hs.513609	hgnc_symbol|RBL2|RBL2
affy_hugene_1_0_st_v1|8039273|8039273	refseq_dna|NM_145057|NM_145057	unigene|Hs.415791|Hs.415791	hgnc_symbol|CDC42EP5|CDC42EP5
affy_hugene_1_0_st_v1|7959957|7959957	refseq_dna|NM_003565|NM_003565	unigene|Hs.47061|Hs.47061	hgnc_symbol|ULK1|ULK1
affy_hugene_1_0_st_v1|8174469|8174469	refseq_dna|NM_012282|NM_012282	unigene|Hs.522753|Hs.522753	hgnc_symbol|KCNE1L|KCNE1L
affy_hugene_1_0_st_v1|7939365|7939365	refseq_dna|NM_014344|NM_014344	unigene|Hs.39384|Hs.39384	hgnc_symbol|FJX1|FJX1
affy_hugene_1_0_st_v1|8141535|8141535	refseq_dna|NM_002319|NM_002319	unigene|c(Hs.125742|c(Hs.125742	unigene|Hs.633863)|Hs.633863)	hgnc_symbol|LRCH4|LRCH4
affy_hugene_1_0_st_v1|7920944|7920944	refseq_dna|NM_015327|NM_015327	unigene|Hs.516837|Hs.516837	hgnc_symbol|SMG5|SMG5
affy_hugene_1_0_st_v1|7920258|7920258	refseq_dna|NM_014624|NM_014624	unigene|Hs.275243|Hs.275243	hgnc_symbol|S100A6|S100A6
affy_hugene_1_0_st_v1|7976556|7976556	entrezgene|BC043593|56967	unigene|Hs.6434|Hs.6434	hgnc_symbol|C14orf132|C14orf132
affy_hugene_1_0_st_v1|8118207|8118207	refseq_dna|NR_002971|NR_002971	unigene|Hs.689700|Hs.689700	hgnc_symbol|SNORA38|SNORA38
affy_hugene_1_0_st_v1|7908879|7908879	refseq_dna|NM_015053|NM_015053	unigene|Hs.153648|Hs.153648	hgnc_symbol|PPFIA4|PPFIA4
affy_hugene_1_0_st_v1|8127987|8127987	refseq_dna|NR_002743|NR_002743	unigene|NA|NA	hgnc_symbol|SNORD50A|SNORD50A
affy_hugene_1_0_st_v1|8088718|8088718	refseq_dna|NM_003968|NM_003968	unigene|Hs.154320|Hs.154320	hgnc_symbol|UBA3|UBA3
affy_hugene_1_0_st_v1|8136095|8136095	refseq_dna|NM_015328|NM_015328	unigene|Hs.600789|Hs.600789	hgnc_symbol|AHCYL2|AHCYL2
affy_hugene_1_0_st_v1|8073858|8073858	refseq_dna|NM_016426|NM_016426	unigene|Hs.386189|Hs.386189	hgnc_symbol|GTSE1|GTSE1
affy_hugene_1_0_st_v1|8051814|8051814	refseq_dna|NM_006887|NM_006887	unigene|c(Hs.503093|c(Hs.503093	unigene|Hs.645068)|Hs.645068)	hgnc_symbol|ZFP36L2|ZFP36L2
affy_hugene_1_0_st_v1|8100994|8100994	refseq_dna|NM_002089|NM_002089	unigene|Hs.590921|Hs.590921	hgnc_symbol|CXCL2|CXCL2
affy_hugene_1_0_st_v1|8103728|8103728	refseq_dna|NM_002129|NM_002129	unigene|Hs.434953|Hs.434953	hgnc_symbol|HMGB2|HMGB2
affy_hugene_1_0_st_v1|7941039|7941039	refseq_dna|NM_001006944|NM_001006944	unigene|Hs.105584|Hs.105584	hgnc_symbol|RPS6KA4|RPS6KA4
affy_hugene_1_0_st_v1|8135392|8135392	refseq_dna|NM_012257|NM_012257	unigene|Hs.162032|Hs.162032	hgnc_symbol|HBP1|HBP1
affy_hugene_1_0_st_v1|7949172|7949172	refseq_dna|NM_004579|NM_004579	unigene|Hs.534341|Hs.534341	hgnc_symbol|MAP4K2|MAP4K2
affy_hugene_1_0_st_v1|7973826|7973826	refseq_dna|NM_025152|NM_025152	unigene|Hs.288981|Hs.288981	hgnc_symbol|NUBPL|NUBPL
affy_hugene_1_0_st_v1|7975095|7975095	refseq_dna|NM_015549|NM_015549	unigene|Hs.509637|Hs.509637	hgnc_symbol|PLEKHG3|PLEKHG3
affy_hugene_1_0_st_v1|7978739|7978739	refseq_dna|NM_001079537|NM_001079537	unigene|Hs.13303|Hs.13303	hgnc_symbol|TRAPPC6B|TRAPPC6B
affy_hugene_1_0_st_v1|8004508|8004508	refseq_dna|NR_002912|NR_002912	unigene|Hs.707798|Hs.707798	hgnc_symbol|SNORA67|SNORA67
affy_hugene_1_0_st_v1|7984001|7984001	refseq_dna|NM_004751|NM_004751	unigene|Hs.194710|Hs.194710	hgnc_symbol|GCNT3|GCNT3
affy_hugene_1_0_st_v1|7908204|7908204	refseq_dna|NM_031935|NM_031935	unigene|Hs.58877|Hs.58877	hgnc_symbol|HMCN1|HMCN1
affy_hugene_1_0_st_v1|8033960|8033960	refseq_dna|NM_001031734|NM_001031734	unigene|Hs.654865|Hs.654865	hgnc_symbol|FDX1L|FDX1L
affy_hugene_1_0_st_v1|7903541|7903541	refseq_dna|NM_007269|NM_007269	unigene|Hs.530436|Hs.530436	hgnc_symbol|STXBP3|STXBP3
affy_hugene_1_0_st_v1|8113064|8113064	refseq_dna|NM_198273|NM_198273	unigene|Hs.136235|Hs.136235	hgnc_symbol|LYSMD3|LYSMD3
affy_hugene_1_0_st_v1|7899310|7899310	refseq_dna|NM_032125|NM_032125	unigene|Hs.705410|Hs.705410	hgnc_symbol|C1orf160|C1orf160
affy_hugene_1_0_st_v1|8024966|8024966	refseq_dna|NM_015414|NM_015414	unigene|Hs.408018|Hs.408018	hgnc_symbol|RPL36|RPL36
affy_hugene_1_0_st_v1|8151952|8151952	refseq_dna|NM_024759|NM_024759	unigene|Hs.309489|Hs.309489	hgnc_symbol|NPAL2|NPAL2
affy_hugene_1_0_st_v1|8109576|8109576	refseq_dna|NM_017872|NM_017872	unigene|Hs.353090|Hs.353090	hgnc_symbol|THG1L|THG1L
affy_hugene_1_0_st_v1|7968260|7968260	refseq_dna|NM_145657|NM_145657	unigene|Hs.351785|Hs.351785	hgnc_symbol|GSX1|GSX1
affy_hugene_1_0_st_v1|7991939|7991939	refseq_dna|NM_145294|NM_145294	unigene|Hs.511903|Hs.511903	hgnc_symbol|WDR90|WDR90
