# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_000477.3|NM_000477	hgnc_symbol|ALB|ALB
refseq_dna|NM_138280.3|NM_138280	hgnc_symbol|CLYBL|CLYBL
refseq_dna|NM_138393.1|NM_138393	hgnc_symbol|REEP6|REEP6
refseq_dna|NM_002119.3|NM_002119	hgnc_symbol|HLA-DOA|HLA-DOA
refseq_dna|NM_198053.1|NM_198053	hgnc_symbol|CD3Z|CD3Z
embl|BQ438671|BQ438671	hgnc_symbol|Hs.583806|Hs.583806
refseq_dna|NM_000892.2|NM_000892	hgnc_symbol|KLKB1|KLKB1
refseq_dna|NM_002104.2|NM_002104	hgnc_symbol|GZMK|GZMK
refseq_dna|NM_015900.1|NM_015900	hgnc_symbol|PLA1A|PLA1A
refseq_dna|NM_021784.3|NM_021784	hgnc_symbol|FOXA2|FOXA2
refseq_dna|NM_153281.1|NM_153281	hgnc_symbol|HYAL1|HYAL1
refseq_dna|NM_001086.2|NM_001086	hgnc_symbol|AADAC|AADAC
refseq_dna|NM_018490.1|NM_018490	hgnc_symbol|LGR4|LGR4
refseq_dna|NM_013385.2|NM_013385	hgnc_symbol|PSCD4|PSCD4
refseq_dna|NM_001216.1|NM_001216	hgnc_symbol|CA9|CA9
embl|BG545303|BG545303	hgnc_symbol|Hs.137274|Hs.137274
embl|BC038512|BC038512	hgnc_symbol|Hs.296031|Hs.296031
refseq_dna|NM_016186.1|NM_016186	hgnc_symbol|SERPINA10|SERPINA10
refseq_dna|NM_000047.1|NM_000047	hgnc_symbol|ARSE|ARSE
refseq_dna|NM_000442.2|NM_000442	hgnc_symbol|PECAM1|PECAM1
refseq_dna|NM_001646.1|NM_001646	hgnc_symbol|APOC4|APOC4
refseq_dna|NM_020247.3|NM_020247	hgnc_symbol|CABC1|CABC1
refseq_dna|NM_002985.2|NM_002985	hgnc_symbol|CCL5|CCL5
refseq_dna|NM_005161.2|NM_005161	hgnc_symbol|AGTRL1|AGTRL1
refseq_dna|NM_018384.3|NM_018384	hgnc_symbol|GIMAP5|GIMAP5
refseq_dna|NM_002030.3|NM_002030	hgnc_symbol|FPRL2|FPRL2
refseq_dna|NM_000803.2|NM_000803	hgnc_symbol|FOLR2|FOLR2
refseq_dna|NM_130759.2|NM_130759	hgnc_symbol|GIMAP1|GIMAP1
refseq_dna|NM_004951.3|NM_004951	hgnc_symbol|EBI2|EBI2
refseq_dna|NM_002029.3|NM_002029	hgnc_symbol|FPR1|FPR1
refseq_dna|NM_153609.2|NM_153609	hgnc_symbol|TMPRSS6|TMPRSS6
refseq_dna|NM_000131.2|NM_000131	hgnc_symbol|F7|F7
refseq_dna|NM_000856.2|NM_000856	hgnc_symbol|GUCY1A3|GUCY1A3
refseq_dna|NM_001133.2|NM_001133	hgnc_symbol|AFM|AFM
refseq_dna|NM_004079.3|NM_004079	hgnc_symbol|CTSS|CTSS
refseq_dna|NM_014234.3|NM_014234	hgnc_symbol|HSD17B8|HSD17B8
refseq_dna|NM_005989.2|NM_005989	hgnc_symbol|AKR1D1|AKR1D1
refseq_dna|NM_014270.3|NM_014270	hgnc_symbol|SLC7A9|SLC7A9
refseq_dna|NM_205860.1|NM_205860	hgnc_symbol|NR5A2|NR5A2
refseq_dna|NM_174977.2|NM_174977	hgnc_symbol|SEC14L4|SEC14L4
refseq_dna|NM_006059.2|NM_006059	hgnc_symbol|LAMC3|LAMC3
refseq_dna|NM_014880.3|NM_014880	hgnc_symbol|CD302|CD302
refseq_dna|NM_032962.2|NM_032962	hgnc_symbol|CCL14|CCL14
refseq_dna|NM_033054.1|NM_033054	hgnc_symbol|MYO1G|MYO1G
refseq_dna|NM_020142.3|NM_020142	hgnc_symbol|LOC56901|LOC56901
refseq_dna|NM_002123.2|NM_002123	hgnc_symbol|HLA-DQB1|HLA-DQB1
refseq_dna|NM_005693.1|NM_005693	hgnc_symbol|NR1H3|NR1H3
refseq_dna|NM_207117.2|NM_207117	hgnc_symbol|C14ORF68|C14ORF68
refseq_dna|NM_018593.3|NM_018593	hgnc_symbol|SLC16A10|SLC16A10
refseq_dna|NM_014694.2|NM_014694	hgnc_symbol|ADAMTSL2|ADAMTSL2
refseq_dna|NM_020384.2|NM_020384	hgnc_symbol|CLDN2|CLDN2
refseq_dna|NM_014585.3|NM_014585	hgnc_symbol|SLC40A1|SLC40A1
refseq_dna|NM_005045.2|NM_005045	hgnc_symbol|RELN|RELN
refseq_dna|NM_016533.4|NM_016533	hgnc_symbol|NINJ2|NINJ2
refseq_dna|NM_021187.2|NM_021187	hgnc_symbol|CYP4F11|CYP4F11
refseq_dna|NM_052941.2|NM_052941	hgnc_symbol|GBP4|GBP4
refseq_dna|NM_016582.1|NM_016582	hgnc_symbol|SLC15A3|SLC15A3
refseq_dna|NM_000443.2|NM_000443	hgnc_symbol|ABCB4|ABCB4
refseq_dna|NM_003227.2|NM_003227	hgnc_symbol|TFR2|TFR2
refseq_dna|NM_023944.1|NM_023944	hgnc_symbol|CYP4F12|CYP4F12
refseq_dna|NM_183240.1|NM_183240	hgnc_symbol|TMEM37|TMEM37
refseq_dna|NM_003467.2|NM_003467	hgnc_symbol|CXCR4|CXCR4
refseq_dna|NM_199335.2|NM_199335	hgnc_symbol|FYB|FYB
refseq_dna|NM_170726.1|NM_170726	hgnc_symbol|ALDH4A1|ALDH4A1
refseq_dna|NM_002661.1|NM_002661	hgnc_symbol|PLCG2|PLCG2
refseq_dna|NM_002110.2|NM_002110	hgnc_symbol|HCK|HCK
refseq_dna|NM_025202.2|NM_025202	hgnc_symbol|EFHD1|EFHD1
refseq_dna|NM_014573.1|NM_014573	hgnc_symbol|TMEM97|TMEM97
refseq_dna|NM_000055.1|NM_000055	hgnc_symbol|BCHE|BCHE
embl|CR591180|CR591180	hgnc_symbol|Hs.282703|Hs.282703
refseq_dna|NM_006841.3|NM_006841	hgnc_symbol|SLC38A3|SLC38A3
refseq_dna|NM_145202.3|NM_145202	hgnc_symbol|PRAP1|PRAP1
refseq_dna|NM_001801.2|NM_001801	hgnc_symbol|CDO1|CDO1
refseq_dna|NM_002217.2|NM_002217	hgnc_symbol|ITIH3|ITIH3
refseq_dna|NM_003627.4|NM_003627	hgnc_symbol|SLC43A1|SLC43A1
refseq_dna|NM_002612.2|NM_002612	hgnc_symbol|PDK4|PDK4
refseq_dna|NM_001775.2|NM_001775	hgnc_symbol|CD38|CD38
refseq_dna|NM_001463.2|NM_001463	hgnc_symbol|FRZB|FRZB
embl|BC035116|BC035116	hgnc_symbol|Hs.19339|Hs.19339
refseq_dna|NM_001024912.1|NM_001024912	hgnc_symbol|CEACAM1|CEACAM1
refseq_dna|NM_148918.1|NM_148918	hgnc_symbol|SHMT1|SHMT1
refseq_dna|NM_002983.1|NM_002983	hgnc_symbol|CCL3|CCL3
refseq_dna|NM_020439.2|NM_020439	hgnc_symbol|CAMK1G|CAMK1G
refseq_dna|NM_001001435.2|NM_001001435	hgnc_symbol|CCL4L1|CCL4L1
refseq_dna|NM_001430.3|NM_001430	hgnc_symbol|EPAS1|EPAS1
refseq_dna|NM_004004.3|NM_004004	hgnc_symbol|GJB2|GJB2
refseq_dna|NM_017424.2|NM_017424	hgnc_symbol|CECR1|CECR1
refseq_dna|NM_020125.1|NM_020125	hgnc_symbol|SLAMF8|SLAMF8
refseq_dna|XM_375558|XM_375558	hgnc_symbol|Hs.567652|Hs.567652
refseq_dna|NM_022437.2|NM_022437	hgnc_symbol|ABCG8|ABCG8
refseq_dna|NM_012067.2|NM_012067	hgnc_symbol|AKR7A3|AKR7A3
refseq_dna|NM_025195.2|NM_025195	hgnc_symbol|TRIB1|TRIB1
refseq_dna|NM_199327.1|NM_199327	hgnc_symbol|SPRY1|SPRY1
refseq_dna|NM_012258.2|NM_012258	hgnc_symbol|HEY1|HEY1
refseq_dna|NM_006573.3|NM_006573	hgnc_symbol|TNFSF13B|TNFSF13B
refseq_dna|NM_024709.2|NM_024709	hgnc_symbol|C1ORF115|C1ORF115
refseq_dna|NM_032496.1|NM_032496	hgnc_symbol|ARHGAP9|ARHGAP9
refseq_dna|NM_001467.3|NM_001467	hgnc_symbol|SLC37A4|SLC37A4
refseq_dna|NM_004288.3|NM_004288	hgnc_symbol|PSCDBP|PSCDBP
refseq_dna|NM_004391.1|NM_004391	hgnc_symbol|CYP8B1|CYP8B1
refseq_dna|NM_001336.2|NM_001336	hgnc_symbol|CTSZ|CTSZ
refseq_dna|NM_004117.2|NM_004117	hgnc_symbol|FKBP5|FKBP5
refseq_dna|NM_013314.2|NM_013314	hgnc_symbol|BLNK|BLNK
refseq_dna|NM_032041.1|NM_032041	hgnc_symbol|NCALD|NCALD
refseq_dna|XM_926323.1|XM_926323	hgnc_symbol|LOC653172|LOC653172
refseq_dna|NM_005589.2|NM_005589	hgnc_symbol|ALDH6A1|ALDH6A1
refseq_dna|NM_145888.1|NM_145888	hgnc_symbol|KLK10|KLK10
refseq_dna|NM_003633.1|NM_003633	hgnc_symbol|ENC1|ENC1
refseq_dna|NM_007026.1|NM_007026	hgnc_symbol|DUSP14|DUSP14
refseq_dna|XM_932346.1|XM_932346	hgnc_symbol|LOC644743|LOC644743
refseq_dna|XM_166571.4|XM_166571	hgnc_symbol|KIAA0363|KIAA0363
refseq_dna|NM_004431.2|NM_004431	hgnc_symbol|EPHA2|EPHA2
refseq_dna|NM_033512.2|NM_033512	hgnc_symbol|TSPYL5|TSPYL5
refseq_dna|NM_001197.3|NM_001197	hgnc_symbol|BIK|BIK
refseq_dna|NM_006404.3|NM_006404	hgnc_symbol|PROCR|PROCR
refseq_dna|NM_003486.5|NM_003486	hgnc_symbol|SLC7A5|SLC7A5
refseq_dna|NM_022450.2|NM_022450	hgnc_symbol|RHBDF1|RHBDF1
refseq_dna|NM_013246.2|NM_013246	hgnc_symbol|CLCF1|CLCF1
refseq_dna|NM_001699.3|NM_001699	hgnc_symbol|AXL|AXL
refseq_dna|NM_005860.1|NM_005860	hgnc_symbol|FSTL3|FSTL3
refseq_dna|NM_144569.3|NM_144569	hgnc_symbol|SPOCD1|SPOCD1
refseq_dna|NM_024642.2|NM_024642	hgnc_symbol|GALNT12|GALNT12
refseq_dna|NM_000599.2|NM_000599	hgnc_symbol|IGFBP5|IGFBP5
refseq_dna|NM_020826.1|NM_020826	hgnc_symbol|SYT13|SYT13
refseq_dna|NM_031934.3|NM_031934	hgnc_symbol|RAB34|RAB34
refseq_dna|NR_001562.1|NR_001562	hgnc_symbol|ANXA2P1|ANXA2P1
refseq_dna|NM_015187.1|NM_015187	hgnc_symbol|KIAA0746|KIAA0746
refseq_dna|NM_003280.1|NM_003280	hgnc_symbol|TNNC1|TNNC1
refseq_dna|NM_053056.1|NM_053056	hgnc_symbol|CCND1|CCND1
refseq_dna|NM_002448.1|NM_002448	hgnc_symbol|MSX1|MSX1
refseq_dna|XM_942831.1|XM_942831	hgnc_symbol|LOC401074|LOC401074
refseq_dna|NM_016639.1|NM_016639	hgnc_symbol|TNFRSF12A|TNFRSF12A
refseq_dna|NM_005928.1|NM_005928	hgnc_symbol|MFGE8|MFGE8
refseq_dna|NM_006779.2|NM_006779	hgnc_symbol|CDC42EP2|CDC42EP2
refseq_dna|NM_004696.1|NM_004696	hgnc_symbol|SLC16A4|SLC16A4
refseq_dna|NM_005987.2|NM_005987	hgnc_symbol|SPRR1A|SPRR1A
refseq_dna|NM_002354.1|NM_002354	hgnc_symbol|TACSTD1|TACSTD1
embl|CD640673|CD640673	hgnc_symbol|Hs.543887|Hs.543887
refseq_dna|NM_174911.3|NM_174911	hgnc_symbol|FAM84B|FAM84B
refseq_dna|NM_005270.2|NM_005270	hgnc_symbol|GLI2|GLI2
refseq_dna|NM_001235.2|NM_001235	hgnc_symbol|SERPINH1|SERPINH1
refseq_dna|NM_012232.2|NM_012232	hgnc_symbol|PTRF|PTRF
refseq_dna|NM_000903.2|NM_000903	hgnc_symbol|NQO1|NQO1
refseq_dna|NM_006039.2|NM_006039	hgnc_symbol|MRC2|MRC2
refseq_dna|NM_019007.3|NM_019007	hgnc_symbol|ARMCX6|ARMCX6
refseq_dna|NM_020873.3|NM_020873	hgnc_symbol|LRRN1|LRRN1
refseq_dna|NM_025217.2|NM_025217	hgnc_symbol|ULBP2|ULBP2
refseq_dna|NM_020814.1|NM_020814	hgnc_symbol|41337|41337
refseq_dna|NM_006379.2|NM_006379	hgnc_symbol|SEMA3C|SEMA3C
refseq_dna|NM_021978.2|NM_021978	hgnc_symbol|ST14|ST14
refseq_dna|NM_000950.1|NM_000950	hgnc_symbol|PRRG1|PRRG1
refseq_dna|NM_057164.2|NM_057164	hgnc_symbol|COL6A3|COL6A3
refseq_dna|XM_929387.1|XM_929387	hgnc_symbol|LOC646463|LOC646463
refseq_dna|XM_926996.1|XM_926996	hgnc_symbol|LOC340598|LOC340598
refseq_dna|NM_005279.2|NM_005279	hgnc_symbol|GPR1|GPR1
refseq_dna|NM_001002857.1|NM_001002857	hgnc_symbol|ANXA2|ANXA2
refseq_dna|NM_006516.1|NM_006516	hgnc_symbol|SLC2A1|SLC2A1
refseq_dna|NM_004370.4|NM_004370	hgnc_symbol|COL12A1|COL12A1
refseq_dna|NM_014241.2|NM_014241	hgnc_symbol|PTPLA|PTPLA
refseq_dna|NM_014603.1|NM_014603	hgnc_symbol|CDR2L|CDR2L
refseq_dna|NM_173490.4|NM_173490	hgnc_symbol|PRP2|PRP2
refseq_dna|NM_002546.2|NM_002546	hgnc_symbol|TNFRSF11B|TNFRSF11B
refseq_dna|NM_014601.2|NM_014601	hgnc_symbol|EHD2|EHD2
refseq_dna|NM_024616.1|NM_024616	hgnc_symbol|C3ORF52|C3ORF52
refseq_dna|NM_152330.2|NM_152330	hgnc_symbol|FRMD6|FRMD6
refseq_dna|NM_207376.1|NM_207376	hgnc_symbol|LOC387882|LOC387882
refseq_dna|NM_003246.2|NM_003246	hgnc_symbol|THBS1|THBS1
refseq_dna|NM_152359.1|NM_152359	hgnc_symbol|CPT1C|CPT1C
refseq_dna|NM_006307.2|NM_006307	hgnc_symbol|SRPX|SRPX
refseq_dna|NM_002309.2|NM_002309	hgnc_symbol|LIF|LIF
entrezgene|BX647541|64131	hgnc_symbol|Hs.22907|Hs.22907
refseq_dna|NM_030786.1|NM_030786	hgnc_symbol|SYNC1|SYNC1
refseq_dna|NM_032413.2|NM_032413	hgnc_symbol|C15ORF48|C15ORF48
refseq_dna|NM_014286.2|NM_014286	hgnc_symbol|FREQ|FREQ
refseq_dna|NM_005504.4|NM_005504	hgnc_symbol|BCAT1|BCAT1
embl|BX349502|BX349502	hgnc_symbol|Hs.573268|Hs.573268
refseq_dna|NM_001307.3|NM_001307	hgnc_symbol|CLDN7|CLDN7
refseq_dna|NM_145244.2|NM_145244	hgnc_symbol|DDIT4L|DDIT4L
refseq_dna|NM_005242.3|NM_005242	hgnc_symbol|F2RL1|F2RL1
refseq_dna|NM_152888.1|NM_152888	hgnc_symbol|COL22A1|COL22A1
refseq_dna|NM_020650.2|NM_020650	hgnc_symbol|RCN3|RCN3
refseq_dna|NM_006670.3|NM_006670	hgnc_symbol|TPBG|TPBG
refseq_dna|NM_020443.2|NM_020443	hgnc_symbol|NAV1|NAV1
refseq_dna|NM_012242.2|NM_012242	hgnc_symbol|DKK1|DKK1
refseq_dna|XM_087386.8|XM_087386	hgnc_symbol|HEG1|HEG1
refseq_dna|NM_006765.2|NM_006765	hgnc_symbol|TUSC3|TUSC3
refseq_dna|XM_940079.1|XM_940079	hgnc_symbol|TUBB6|TUBB6
refseq_dna|NM_014262.2|NM_014262	hgnc_symbol|LEPREL2|LEPREL2
refseq_dna|NM_005727.2|NM_005727	hgnc_symbol|TSPAN1|TSPAN1
refseq_dna|NM_001797.2|NM_001797	hgnc_symbol|CDH11|CDH11
refseq_dna|NM_006042.1|NM_006042	hgnc_symbol|HS3ST3A1|HS3ST3A1
refseq_dna|NM_000511.3|NM_000511	hgnc_symbol|FUT2|FUT2
refseq_dna|NM_016651.4|NM_016651	hgnc_symbol|DACT1|DACT1
refseq_dna|NM_014632.2|NM_014632	hgnc_symbol|MICAL2|MICAL2
refseq_dna|NM_000358.1|NM_000358	hgnc_symbol|TGFBI|TGFBI
refseq_dna|NM_001856.2|NM_001856	hgnc_symbol|COL16A1|COL16A1
refseq_dna|NM_213674.1|NM_213674	hgnc_symbol|TPM2|TPM2
refseq_dna|NM_207380.1|NM_207380	hgnc_symbol|FLJ43339|FLJ43339
refseq_dna|NM_000641.2|NM_000641	hgnc_symbol|IL11|IL11
refseq_dna|NM_002300.3|NM_002300	hgnc_symbol|LDHB|LDHB
refseq_dna|NM_006636.2|NM_006636	hgnc_symbol|MTHFD2|MTHFD2
refseq_dna|NM_002204.1|NM_002204	hgnc_symbol|ITGA3|ITGA3
refseq_dna|NM_005429.2|NM_005429	hgnc_symbol|VEGFC|VEGFC
refseq_dna|NM_001017974.1|NM_001017974	hgnc_symbol|P4HA2|P4HA2
refseq_dna|NM_005110.1|NM_005110	hgnc_symbol|GFPT2|GFPT2
refseq_dna|NM_002167.2|NM_002167	hgnc_symbol|ID3|ID3
refseq_dna|NM_012334.1|NM_012334	hgnc_symbol|MYO10|MYO10
refseq_dna|NM_003330.2|NM_003330	hgnc_symbol|TXNRD1|TXNRD1
refseq_dna|NM_006216.2|NM_006216	hgnc_symbol|SERPINE2|SERPINE2
refseq_dna|NM_001005376.1|NM_001005376	hgnc_symbol|PLAUR|PLAUR
refseq_dna|NM_002145.2|NM_002145	hgnc_symbol|HOXB2|HOXB2
refseq_dna|NM_006142.3|NM_006142	hgnc_symbol|SFN|SFN
refseq_dna|NM_007085.3|NM_007085	hgnc_symbol|FSTL1|FSTL1
refseq_dna|NM_002982.3|NM_002982	hgnc_symbol|CCL2|CCL2
refseq_dna|NM_001793.3|NM_001793	hgnc_symbol|CDH3|CDH3
refseq_dna|NM_024563.2|NM_024563	hgnc_symbol|FLJ14054|FLJ14054
refseq_dna|NM_002781.2|NM_002781	hgnc_symbol|PSG5|PSG5
refseq_dna|NM_000963.1|NM_000963	hgnc_symbol|PTGS2|PTGS2
refseq_dna|NM_001004019.1|NM_001004019	hgnc_symbol|FBLN2|FBLN2
refseq_dna|XM_290629.6|XM_290629	hgnc_symbol|C14ORF78|C14ORF78
refseq_dna|NM_002373.4|NM_002373	hgnc_symbol|MAP1A|MAP1A
refseq_dna|NM_015170.1|NM_015170	hgnc_symbol|SULF1|SULF1
refseq_dna|NM_206833.1|NM_206833	hgnc_symbol|CTXN1|CTXN1
refseq_dna|NM_000961.3|NM_000961	hgnc_symbol|PTGIS|PTGIS
refseq_dna|NM_000700.1|NM_000700	hgnc_symbol|ANXA1|ANXA1
refseq_dna|NM_000088.2|NM_000088	hgnc_symbol|COL1A1|COL1A1
refseq_dna|NM_021102.2|NM_021102	hgnc_symbol|SPINT2|SPINT2
refseq_dna|NM_177949.1|NM_177949	hgnc_symbol|ARMCX2|ARMCX2
refseq_dna|NM_021013.3|NM_021013	hgnc_symbol|KRTHA4|KRTHA4
refseq_dna|NM_000852.2|NM_000852	hgnc_symbol|GSTP1|GSTP1
refseq_dna|NM_005545.3|NM_005545	hgnc_symbol|ISLR|ISLR
refseq_dna|NM_000602.1|NM_000602	hgnc_symbol|SERPINE1|SERPINE1
refseq_dna|NM_144947.1|NM_144947	hgnc_symbol|KLK11|KLK11
refseq_dna|NM_001955.2|NM_001955	hgnc_symbol|EDN1|EDN1
refseq_dna|NM_002147.2|NM_002147	hgnc_symbol|HOXB5|HOXB5
refseq_dna|NM_001451.1|NM_001451	hgnc_symbol|FOXF1|FOXF1
refseq_dna|NM_004750.2|NM_004750	hgnc_symbol|CRLF1|CRLF1
refseq_dna|NM_004932.2|NM_004932	hgnc_symbol|CDH6|CDH6
refseq_dna|NM_001450.3|NM_001450	hgnc_symbol|FHL2|FHL2
refseq_dna|NM_001001991.1|NM_001001991	hgnc_symbol|DKFZP586H2123|DKFZP586H2123
refseq_dna|NM_007115.2|NM_007115	hgnc_symbol|TNFAIP6|TNFAIP6
refseq_dna|NM_000093.2|NM_000093	hgnc_symbol|COL5A1|COL5A1
refseq_dna|NM_078467.1|NM_078467	hgnc_symbol|CDKN1A|CDKN1A
refseq_dna|NM_080489.2|NM_080489	hgnc_symbol|SDCBP2|SDCBP2
refseq_dna|NM_003236.1|NM_003236	hgnc_symbol|TGFA|TGFA
refseq_dna|NM_001017402.1|NM_001017402	hgnc_symbol|LAMB3|LAMB3
refseq_dna|NM_144617.1|NM_144617	hgnc_symbol|HSPB6|HSPB6
refseq_dna|NM_002276.3|NM_002276	hgnc_symbol|KRT19|KRT19
refseq_dna|NM_001018008.1|NM_001018008	hgnc_symbol|TPM1|TPM1
refseq_dna|NM_000584.2|NM_000584	hgnc_symbol|IL8|IL8
refseq_dna|NM_133436.1|NM_133436	hgnc_symbol|ASNS|ASNS
refseq_dna|XM_927536.1|XM_927536	hgnc_symbol|ALDH1L2|ALDH1L2
refseq_dna|XM_938715.1|XM_938715	hgnc_symbol|HAS2|HAS2
refseq_dna|NM_019102.2|NM_019102	hgnc_symbol|HOXA5|HOXA5
refseq_dna|NM_020169.2|NM_020169	hgnc_symbol|LXN|LXN
refseq_dna|NM_004460.2|NM_004460	hgnc_symbol|FAP|FAP
refseq_dna|NM_006952.3|NM_006952	hgnc_symbol|UPK1B|UPK1B
refseq_dna|XM_934895.1|XM_934895	hgnc_symbol|LOC440421|LOC440421
refseq_dna|NM_000089.3|NM_000089	hgnc_symbol|COL1A2|COL1A2
refseq_dna|NM_173213.1|NM_173213	hgnc_symbol|KRT23|KRT23
refseq_dna|NM_198541.1|NM_198541	hgnc_symbol|IGFL1|IGFL1
refseq_dna|NM_002317.3|NM_002317	hgnc_symbol|LOX|LOX
refseq_dna|XM_937100.1|XM_937100	hgnc_symbol|KRTAP2-1|KRTAP2-1
refseq_dna|NM_001958.2|NM_001958	hgnc_symbol|EEF1A2|EEF1A2
refseq_dna|NM_001008397.1|NM_001008397	hgnc_symbol|LOC493869|LOC493869
refseq_dna|NM_002627.3|NM_002627	hgnc_symbol|PFKP|PFKP
refseq_dna|NM_080927.3|NM_080927	hgnc_symbol|DCBLD2|DCBLD2
refseq_dna|NM_002203.2|NM_002203	hgnc_symbol|ITGA2|ITGA2
refseq_dna|NM_000930.2|NM_000930	hgnc_symbol|PLAT|PLAT
refseq_dna|NM_001458.2|NM_001458	hgnc_symbol|FLNC|FLNC
refseq_dna|NM_020404.2|NM_020404	hgnc_symbol|CD248|CD248
refseq_dna|NM_002773.2|NM_002773	hgnc_symbol|PRSS8|PRSS8
refseq_dna|NM_003012.3|NM_003012	hgnc_symbol|SFRP1|SFRP1
refseq_dna|NM_003714.2|NM_003714	hgnc_symbol|STC2|STC2
refseq_dna|NM_004472.1|NM_004472	hgnc_symbol|FOXD1|FOXD1
refseq_dna|NM_006528.2|NM_006528	hgnc_symbol|TFPI2|TFPI2
refseq_dna|NM_018891.1|NM_018891	hgnc_symbol|LAMC2|LAMC2
refseq_dna|NM_006086.2|NM_006086	hgnc_symbol|TUBB3|TUBB3
refseq_dna|NM_016307.3|NM_016307	hgnc_symbol|PRRX2|PRRX2
refseq_dna|NM_013451.2|NM_013451	hgnc_symbol|FER1L3|FER1L3
refseq_dna|NM_023938.4|NM_023938	hgnc_symbol|C1ORF116|C1ORF116
refseq_dna|NM_001031692.1|NM_001031692	hgnc_symbol|LRRC17|LRRC17
refseq_dna|NM_025257.1|NM_025257	hgnc_symbol|SLC44A4|SLC44A4
refseq_dna|NM_001018021.1|NM_001018021	hgnc_symbol|MUC1|MUC1
refseq_dna|NM_002581.3|NM_002581	hgnc_symbol|PAPPA|PAPPA
refseq_dna|NM_014391.2|NM_014391	hgnc_symbol|ANKRD1|ANKRD1
refseq_dna|NM_002994.3|NM_002994	hgnc_symbol|CXCL5|CXCL5
refseq_dna|NM_001878.2|NM_001878	hgnc_symbol|CRABP2|CRABP2
refseq_dna|NM_002658.2|NM_002658	hgnc_symbol|PLAU|PLAU
refseq_dna|NM_052913.2|NM_052913	hgnc_symbol|KIAA1913|KIAA1913
refseq_dna|NM_005139.1|NM_005139	hgnc_symbol|ANXA3|ANXA3
refseq_dna|NM_000600.1|NM_000600	hgnc_symbol|IL6|IL6
refseq_dna|NM_000710.2|NM_000710	hgnc_symbol|BDKRB1|BDKRB1
refseq_dna|NM_013372.5|NM_013372	hgnc_symbol|GREM1|GREM1
refseq_dna|NM_020387.1|NM_020387	hgnc_symbol|RAB25|RAB25
refseq_dna|NM_005564.2|NM_005564	hgnc_symbol|LCN2|LCN2
refseq_dna|NM_002704.2|NM_002704	hgnc_symbol|PPBP|PPBP
refseq_dna|NM_001993.2|NM_001993	hgnc_symbol|F3|F3
refseq_dna|NM_003979.3|NM_003979	hgnc_symbol|GPRC5A|GPRC5A
refseq_dna|NM_005613.3|NM_005613	hgnc_symbol|RGS4|RGS4
refseq_dna|NM_182507.1|NM_182507	hgnc_symbol|LOC144501|LOC144501
refseq_dna|NM_006818.3|NM_006818	hgnc_symbol|MLLT11|MLLT11
refseq_dna|NM_014070.1|NM_014070	hgnc_symbol|C6ORF15|C6ORF15
refseq_dna|NM_002852.2|NM_002852	hgnc_symbol|PTX3|PTX3
refseq_dna|NM_005556.3|NM_005556	hgnc_symbol|KRT7|KRT7
refseq_dna|NM_153360.1|NM_153360	hgnc_symbol|FLJ90166|FLJ90166
refseq_dna|NM_002178.2|NM_002178	hgnc_symbol|IGFBP6|IGFBP6
refseq_dna|NM_002421.2|NM_002421	hgnc_symbol|MMP1|MMP1
refseq_dna|NM_002483.3|NM_002483	hgnc_symbol|CEACAM6|CEACAM6
refseq_dna|NM_001323.2|NM_001323	hgnc_symbol|CST6|CST6
refseq_dna|NM_000422.1|NM_000422	hgnc_symbol|KRT17|KRT17
refseq_dna|NM_007281.1|NM_007281	hgnc_symbol|SCRG1|SCRG1
refseq_dna|NM_004598.2|NM_004598	hgnc_symbol|SPOCK|SPOCK
refseq_dna|NM_004181.3|NM_004181	hgnc_symbol|UCHL1|UCHL1
refseq_dna|NM_153370.2|NM_153370	hgnc_symbol|PI16|PI16
refseq_dna|NM_003480.2|NM_003480	hgnc_symbol|MFAP5|MFAP5
refseq_dna|NM_002575.1|NM_002575	hgnc_symbol|SERPINB2|SERPINB2
refseq_dna|NM_000693.1|NM_000693	hgnc_symbol|ALDH1A3|ALDH1A3
