Curated Gene Symbol	Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	Sex-bias	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)	Composite array score
FUT10	A_23_P157521	chr8:33310613-33310672	FUT10	BC004884	Fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	molecular function|alpha(1,3)-fucosyltransferase activity|TAS|GO:0046920|GOA|11698403//molecular function|transferase activity, transferring glycosyl groups|IEA|GO:0016757|GOA|na//biological process|L-fucose catabolic process|NAS|GO:0042355|GOA|11698403//biological process|embryonic development|NAS|GO:0009790|GOA|11698403//biological process|fertilization|NAS|GO:0009566|GOA|11698403//biological process|hemopoiesis|NAS|GO:0030097|GOA|11698403//biological process|nervous system development|NAS|GO:0007399|GOA|11698403//biological process|protein amino acid glycosylation|TAS|GO:0006486|GOA|11698403//biological process|protein folding|NAS|GO:0006457|GOA|11698403//biological process|protein targeting|NAS|GO:0006605|GOA|11698403//biological process|wound healing|NAS|GO:0042060|GOA|11698403//cellular component|Golgi apparatus|TAS|GO:0005794|GOA|11698403//cellular component|Golgi cisterna membrane|IEA|GO:0032580|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.8656	-1.1553	0.0002	21.4284	18.3934	13
TSPYL2	A_23_P158485	chrX:53117660-53117719	TSPYL2	NM_022117	TSPY-like 2	molecular function|protein binding|IPI|GO:0005515|GOA|18649364//molecular function|rDNA binding|NAS|GO:0000182|GOA|11395479//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|negative regulation of DNA replication|IDA|GO:0008156|GOA|11395479//biological process|negative regulation of cell cycle|NAS|GO:0045786|GOA|11395479//biological process|negative regulation of cell growth|IDA|GO:0030308|GOA|11395479//biological process|nucleosome assembly|IEA|GO:0006334|GOA|na//biological process|regulation of protein kinase activity|IDA|GO:0045859|GOA|11395479//biological process|regulation of signal transduction|NAS|GO:0009966|GOA|11395479//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|11395479//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x1b32cf8)	M	1.2024	1.2024	2.46E-18	939.0786	1126.6464	13
KCNMB2	A_23_P158675	chr3:178560809-178560868	KCNMB2	NM_181361	Potassium large conductance calcium-activated channel, subfamily M, beta member 2	molecular function|calcium-activated potassium channel activity|IDA|GO:0015269|GOA|10692449//molecular function|ion channel activity|IEA|GO:0005216|GOA|na//molecular function|ion channel inhibitor activity|TAS|GO:0008200|GOA|10097176//molecular function|potassium channel regulator activity|TAS|GO:0015459|GOA|10097176//biological process|detection of calcium ion|IDA|GO:0005513|GOA|10692449//biological process|ion transport|IEA|GO:0006811|GOA|na//biological process|potassium ion transport|IDA|GO:0006813|GOA|10692449//biological process|regulation of action potential|IDA|GO:0001508|GOA|10692449//biological process|regulation of action potential in neuron|IDA|GO:0019228|GOA|10692449//biological process|regulation of vasoconstriction|TAS|GO:0019229|GOA|10692449//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|10692449//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|voltage-gated potassium channel complex|IDA|GO:0008076|GOA|10692449	M	1.2633	1.2633	0.0006	11.83	15.1068	12
	A_23_P159211	chr11:71457927-71457986		M74509			M	1.2257	1.2257	0.0005	117.973	145.4476	12
CDC42EP2	A_23_P1602	chr11:65089746-65089805	CDC42EP2	NM_006779	CDC42 effector protein (Rho GTPase binding) 2	molecular function|GTP-Rho binding|IPI|GO:0017049|GOA|11035016//molecular function|Rho GTPase activator activity|IMP|GO:0005100|GOA|10430899//molecular function|opioid peptide activity|IEA|GO:0001515|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|11584266//biological process|actin cytoskeleton organization|IDA|GO:0030036|GOA|10430899//biological process|actin filament organization|NAS|GO:0007015|GOA|11035016//biological process|positive regulation of actin filament polymerization|IDA|GO:0030838|GOA|11035016//biological process|positive regulation of protein complex assembly|TAS|GO:0031334|GOA|11584266//biological process|positive regulation of pseudopodium assembly|IDA|GO:0031274|GOA|11035016//biological process|regulation of cell shape|IDA|GO:0008360|GOA|11035016//cellular component|cytoplasm|IDA|GO:0005737|GOA|11035016//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|endomembrane system|IEA|GO:0012505|GOA|na//cellular component|membrane|IDA|GO:0016020|GOA|11035016//cellular component|plasma membrane|IDA|GO:0005886|GOA|10430899	M	1.1511	1.1511	0.0014	200.7122	226.4558	13
MRVI1	A_23_P161837	chr11:10597384-10597443	MRVI1	NM_130385	Murine retrovirus integration site 1 homolog	cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|endoplasmic reticulum membrane|TAS|GO:0005789|GOA|10321731//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|perinuclear region of cytoplasm|IEA|GO:0048471|GOA|na//cellular component|sarcoplasmic reticulum|IEA|GO:0016529|GOA|na	F	0.7319	-1.3663	0.000026799	132.0957	93.7296	13
SRGAP1	A_23_P162449	chr12:64537259-64537318	SRGAP1	NM_020762	SLIT-ROBO Rho GTPase activating protein 1	molecular function|GTPase activator activity|IEA|GO:0005096|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|19807924//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	0.855	-1.1696	0.0042	138.825	117.4907	13
CLDN7	A_23_P164284	chr17:7163822-7163986	CLDN7	NM_001307	Claudin 7	molecular function|identical protein binding|ISS|GO:0042802|GOA|na//molecular function|structural molecule activity|IEA|GO:0005198|GOA|na//biological process|calcium-independent cell-cell adhesion|ISS|GO:0016338|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|tight junction|ISS|GO:0005923|GOA|na	M	1.1638	1.1638	3.79E-08	1399.0288	1624.4781	13
	A_23_P164316	chr17_ctg5_hap1:412250-412309		BC044941	Transcribed locus, strongly similar to XP_002344101.1 PREDICTED: similar to Apoptosis-related protein 2 [Homo sapiens]		F	0.8651	-1.156	0.0044	244.6665	211.3719	12
ODC1	A_23_P165840	chr2:10580788-10580847	ODC1	NM_002539	Ornithine decarboxylase 1	molecular function|lyase activity|IEA|GO:0016829|GOA|na//molecular function|ornithine decarboxylase activity|TAS|GO:0004586|GOA|2317811//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//biological process|kidney development|IEA|GO:0001822|GOA|na//biological process|polyamine biosynthetic process|NAS|GO:0006596|GOA|na//biological process|positive regulation of cell proliferation|IEA|GO:0008284|GOA|na//biological process|response to virus|IEP|GO:0009615|GOA|16548883//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytosol|IEA|GO:0005829|GOA|na	M	1.1955	1.1955	4.72E-07	8839.5645	10586.3115	13
FLRT3	A_23_P166109	chr20:14305974-14306033	FLRT3	NM_198391	Fibronectin leucine rich transmembrane protein 3	molecular function|protein binding, bridging|NAS|GO:0030674|GOA|10644439//molecular function|receptor signaling protein activity|NAS|GO:0005057|GOA|10644439//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|cell adhesion|IEA|GO:0007155|GOA|na//cellular component|integral to plasma membrane|NAS|GO:0005887|GOA|10644439//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|proteinaceous extracellular matrix|NAS|GO:0005578|GOA|10644439	F	0.8046	-1.2428	0.0029	3121.2847	2479.4612	13
TMEM191A	A_23_P166336	chr22:21058825-21058884	TMEM191A	NR_026815			F	0.859	-1.1641	2.63E-09	594.298	509.5538	13
POMZP3	A_23_P168584	chr7:76254995-76255370	POMZP3	NM_152992	POM (POM121 homolog, rat) and ZP3 fusion	molecular function|molecular_function|ND|GO:0003674|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na	F	0.862	-1.1601	8.05E-14	262.4101	226.0853	12
CROT	A_23_P168669	chr7:87027998-87028057	CROT	NM_021151	Carnitine O-octanoyltransferase	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|carnitine O-octanoyltransferase activity|EXP|GO:0008458|GOA|10486279//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|fatty acid metabolic process|IEA|GO:0006631|GOA|na//biological process|generation of precursor metabolites and energy|TAS|GO:0006091|GOA|10486279//biological process|lipid metabolic process|IEA|GO:0006629|GOA|na//biological process|transport|IEA|GO:0006810|GOA|na//cellular component|peroxisomal matrix|EXP|GO:0005782|GOA|10486279//cellular component|peroxisome|IEA|GO:0005777|GOA|na	M	1.1667	1.1667	0.0001	1910.5253	2237.261	13
CA1	A_23_P168916	chr8:86240734-86240793	CA1	NM_001738	Carbonic anhydrase I	molecular function|carbonate dehydratase activity|IEA|GO:0004089|GOA|na//molecular function|lyase activity|IEA|GO:0016829|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|one-carbon metabolic process|IEA|GO:0006730|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	F	0.7542	-1.326	0.0009	75.4134	54.9431	12
MMP1	A_23_P1691	chr11:102660697-102660756	MMP1	NM_002421	Matrix metallopeptidase 1 (interstitial collagenase)	molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|metalloendopeptidase activity|IDA|GO:0004222|GOA|9920899//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|collagen catabolic process|IEA|GO:0030574|GOA|na//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na//cellular component|extracellular region|EXP|GO:0005576|GOA|10706100//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	M	1.5059	1.5059	0.000052219	30.0359	45.5416	12
UBE2R2	A_23_P169423	chr9:33917353-33917412	UBE2R2	NM_017811	Ubiquitin-conjugating enzyme E2R 2	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|ubiquitin-protein ligase activity|IEA|GO:0004842|GOA|na//biological process|post-translational protein modification|IEA|GO:0043687|GOA|na//biological process|regulation of protein metabolic process|IEA|GO:0051246|GOA|na	F	0.846	-1.1821	5.08E-13	5415.9419	4580.7349	12
SCRN3	A_23_P17012	chr2:175293369-175293428	SCRN3	NM_024583	Secernin 3	molecular function|dipeptidase activity|IEA|GO:0016805|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na	F	0.805	-1.2422	1.58E-10	239.0707	193.0996	13
ASPHD1	A_23_P170667	chr16:29917244-29917303	ASPHD1	NM_181718	Aspartate beta-hydroxylase domain containing 1	molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|peptide-aspartate beta-dioxygenase activity|IEA|GO:0004597|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|peptidyl-amino acid modification|IEA|GO:0018193|GOA|na//cellular component|integral to endoplasmic reticulum membrane|IEA|GO:0030176|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	1.1653	1.1653	8.48E-06	40.8324	47.5638	12
ITM2A	A_23_P171074	chrX:78616875-78616934	ITM2A	NM_004867	Integral membrane protein 2A	molecular function|protein binding|IPI|GO:0005515|GOA|15983050//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	F	0.8446	-1.184	2.63E-06	590.1886	498.0777	12
USP27X	A_23_P171095	chrX:49645828-49645887	USP27X	NM_001145073	Ubiquitin specific peptidase 27, X-linked	molecular function|cysteine-type peptidase activity|IEA|GO:0008234|GOA|na//molecular function|peptidase activity|IEA|GO:0008233|GOA|na//molecular function|ubiquitin thiolesterase activity|IEA|GO:0004221|GOA|na//biological process|ubiquitin-dependent protein catabolic process|IEA|GO:0006511|GOA|na	F	0.7352	-1.3601	0.0025	26.7276	19.5787	13
B3GNT5	A_23_P18372	chr3:182990933-182990992	B3GNT5	NM_032047	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	molecular function|beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity|IDA|GO:0008457|GOA|11384981//molecular function|galactosyltransferase activity|IEA|GO:0008378|GOA|na//molecular function|lipopolysaccharide N-acetylglucosaminyltransferase activity|IEA|GO:0008917|GOA|na//molecular function|transferase activity, transferring glycosyl groups|IEA|GO:0016757|GOA|na//biological process|central nervous system development|IDA|GO:0007417|GOA|11384981//biological process|glycolipid biosynthetic process|TAS|GO:0009247|GOA|11384981//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|protein amino acid glycosylation|TAS|GO:0006486|GOA|11384981//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|Golgi membrane|IEA|GO:0000139|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|intracellular|IDA|GO:0005622|GOA|11384981//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.7315	-1.367	0.0002	1066.3817	814.5581	12
PRKCI	A_23_P18392	chr3:170020925-170020984	PRKCI	NM_002740	Protein kinase C, iota	molecular function|ATP binding|TAS|GO:0005524|GOA|8226978//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phospholipid binding|IDA|GO:0005543|GOA|8226978//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x49ef058)//molecular function|protein kinase C activity|ISS|GO:0004697|GOA|na//molecular function|protein serine/threonine kinase activity|EXP|GO:0004674|GOA|10022904//molecular function|protein serine/threonine kinase activity|IDA|GO:0004674|GOA|8226978//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|actin filament organization|IEA|GO:0007015|GOA|na//biological process|anti-apoptosis|EXP|GO:0006916|GOA|16997282//biological process|cell-cell junction organization|IMP|GO:0045216|GOA|11257119//biological process|cellular membrane organization|NAS|GO:0016044|GOA|11257119//biological process|cellular response to insulin stimulus|ISS|GO:0032869|GOA|na//biological process|cytoskeleton organization|NAS|GO:0007010|GOA|11257119//biological process|establishment of apical/basal cell polarity|IEA|GO:0035089|GOA|na//biological process|establishment or maintenance of epithelial cell apical/basal polarity|TAS|GO:0045197|GOA|14676191//biological process|eye photoreceptor cell development|IEA|GO:0042462|GOA|na//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|positive regulation of establishment of protein localization in plasma membrane|ISS|GO:0090004|GOA|na//biological process|positive regulation of glucose import|ISS|GO:0046326|GOA|na//biological process|protein amino acid phosphorylation|IDA|GO:0006468|GOA|8226978//biological process|protein targeting to membrane|NAS|GO:0006612|GOA|11257119//biological process|regulation of establishment of protein localization|IEA|GO:0070201|GOA|na//biological process|secretion|NAS|GO:0046903|GOA|8226978//biological process|vesicle-mediated transport|TAS|GO:0016192|GOA|11257119//cellular component|apical plasma membrane|IEA|GO:0016324|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|11244088//cellular component|cytosol|IDA|GO:0005829|GOA|11257119//cellular component|endosome|IEA|GO:0005768|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|11260256//cellular component|polarisome|TAS|GO:0000133|GOA|14676191	F	0.8533	-1.1719	0.0002	723.5092	610.5129	12
INPP4B	A_23_P18559	chr4:143033712-143033771	INPP4B	NM_003866	Inositol polyphosphate-4-phosphatase, type II, 105kDa	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|phosphatidyl-inositol-4,5-bisphosphate 4-phosphatase activity|IEA|GO:0034597|GOA|na//molecular function|phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity|IEA|GO:0016316|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|9295334	F	0.7952	-1.2576	0.0003	112.3621	88.7219	13
MIER3	A_23_P18993	chr5:56219093-56219152	MIER3	NM_152622	Mesoderm induction early response 1, family member 3	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	M	1.1534	1.1534	5.74E-06	54.0629	62.4106	12
MS4A2	A_23_P1904	chr11:59865756-59865815	MS4A2	NM_000139	Membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide)	molecular function|IgE receptor activity|IEA|GO:0019767|GOA|na//molecular function|SH2 domain binding|IEA|GO:0042169|GOA|na//molecular function|calcium channel activity|TAS|GO:0005262|GOA|9169438//molecular function|phosphoprotein binding|IEA|GO:0051219|GOA|na//molecular function|protein kinase binding|IEA|GO:0019901|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|TAS|GO:0007186|GOA|9169438//biological process|activation of phospholipase C activity|IEA|GO:0007202|GOA|na//biological process|activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway|IEA|GO:0007205|GOA|na//biological process|cell proliferation|TAS|GO:0008283|GOA|2448768//biological process|cytokine secretion|IEA|GO:0050663|GOA|na//biological process|humoral immune response|TAS|GO:0006959|GOA|2448768//biological process|inflammatory response|IEA|GO:0006954|GOA|na//biological process|positive regulation of mast cell degranulation|IEA|GO:0043306|GOA|na//biological process|regulation of release of sequestered calcium ion into cytosol|IEA|GO:0051279|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|Fc-epsilon receptor I complex|IEA|GO:0032998|GOA|na//cellular component|endosome|IEA|GO:0005768|GOA|na//cellular component|external side of plasma membrane|IEA|GO:0009897|GOA|na//cellular component|integral to plasma membrane|IEA|GO:0005887|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane raft|IEA|GO:0045121|GOA|na	M	1.4052	1.4052	5.05E-06	37.6452	53.326	12
KCNA3	A_23_P201138	chr1:111214609-111214668	KCNA3	NM_002232	Potassium voltage-gated channel, shaker-related subfamily, member 3	molecular function|delayed rectifier potassium channel activity|IEA|GO:0005251|GOA|na//molecular function|outward rectifier potassium channel activity|IEA|GO:0015271|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|voltage-gated ion channel activity|IEA|GO:0005244|GOA|na//biological process|ion transport|IEA|GO:0006811|GOA|na//biological process|potassium ion transport|IEA|GO:0006813|GOA|na//biological process|transmembrane transport|IEA|GO:0055085|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|voltage-gated potassium channel complex|IEA|GO:0008076|GOA|na	F	0.7611	-1.3139	4.35E-06	22.943	17.7525	12
CEP350	A_23_P201816	chr1:180082157-180082216	CEP350	NM_014810	Centrosomal protein 350kDa	cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|microtubule organizing center|IEA|GO:0005815|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|spindle|IEA|GO:0005819|GOA|na	F	0.8494	-1.1773	2.51E-08	1194.8605	1015.5789	12
TOR1AIP2	A_23_P201823	chr1:179833734-179833793	TOR1AIP2	NM_022347	Torsin A interacting protein 2	molecular function|protein binding|IPI|GO:0005515|GOA|15767459//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	0.7983	-1.2526	1.80E-06	57.7951	45.5773	13
OVOL1	A_23_P202810	chr11:65564519-65564578	OVOL1	NM_004561	Ovo-like 1(Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|epidermis development|IEA|GO:0008544|GOA|na//biological process|mesoderm development|IEA|GO:0007498|GOA|na//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|pachytene|IEA|GO:0000239|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|spermatogenesis|IEA|GO:0007283|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	M	1.5309	1.5309	0.0029	6.5926	9.8209	12
PRKCDBP	A_23_P203475	chr11:6340210-6340269	PRKCDBP	NM_145040	Protein kinase C, delta binding protein	molecular function|protein kinase C binding|IEA|GO:0005080|GOA|na	F	0.8673	-1.153	6.81E-07	432.892	375.5837	13
PSD3	A_23_P20392	chr8:18385053-18385112	PSD3	NM_206909	Pleckstrin and Sec7 domain containing 3	molecular function|ARF guanyl-nucleotide exchange factor activity|IEA|GO:0005086|GOA|na//biological process|regulation of ARF protein signal transduction|IEA|GO:0032012|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|postsynaptic density|IEA|GO:0014069|GOA|na//cellular component|postsynaptic membrane|IEA|GO:0045211|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na	M	1.1752	1.1752	1.69E-08	6260.9653	7352.3291	12
NANOG	A_23_P204640	chr12:7948487-7948546	NANOG	NM_024865	Nanog homeobox	molecular function|DNA binding|IDA|GO:0003677|GOA|ARRAY(0x148ce90)//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|16153702//biological process|cell differentiation|IEP|GO:0030154|GOA|16501172//biological process|cell proliferation|IMP|GO:0008283|GOA|16501172//biological process|embryonic development|IEP|GO:0009790|GOA|15108323//biological process|regulation of cell differentiation|IMP|GO:0045595|GOA|16501172//biological process|regulation of gene expression|IMP|GO:0010468|GOA|18388306//biological process|regulation of transcription, DNA-dependent|IDA|GO:0006355|GOA|16153702//biological process|somatic stem cell maintenance|IMP|GO:0035019|GOA|18388306//cellular component|nucleus|IC|GO:0005634|GOA|16153702	M	1.2114	1.2114	6.50E-07	142.1807	172.1615	13
LCP1	A_23_P204847	chr13:46700337-46700396	LCP1	NM_002298	Lymphocyte cytosolic protein 1 (L-plastin)	molecular function|actin binding|NAS|GO:0003779|GOA|2252891//molecular function|actin filament binding|IEA|GO:0051015|GOA|na//molecular function|calcium ion binding|NAS|GO:0005509|GOA|2378651//molecular function|identical protein binding|IEA|GO:0042802|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|16115810//biological process|T cell activation during immune response|IDA|GO:0002286|GOA|17294403//biological process|actin filament bundle assembly|IEA|GO:0051017|GOA|na//biological process|regulation of intracellular protein transport|IDA|GO:0033157|GOA|17294403//cellular component|actin filament|IEA|GO:0005884|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasm|NAS|GO:0005737|GOA|2378651//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|cytosol|IDA|GO:0005829|GOA|ARRAY(0xb24d4c)//cellular component|phagocytic cup|IEA|GO:0001891|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|ruffle membrane|IEA|GO:0032587|GOA|na	M	1.1746	1.1746	1.36E-10	14344.0107	16850.1055	13
TRIM9	A_23_P205632	chr14:51443647-51443706	TRIM9	NM_015163	Tripartite motif-containing 9	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|protein homodimerization activity|IPI|GO:0042803|GOA|11331580//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|11331580//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	0.5199	-1.9234	0.000098736	4.5788	2.6635	13
PRKCB	A_23_P206585	chr16:24227210-24227269	PRKCB	NM_002738	Protein kinase C, beta	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|9765207//molecular function|protein kinase C activity|IEA|GO:0004697|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|intracellular signaling cascade|IEA|GO:0007242|GOA|na//biological process|lipoprotein transport|TAS|GO:0042953|GOA|18981301//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|signal transduction|NAS|GO:0007165|GOA|3755548//cellular component|cytoplasm|IDA|GO:0005737|GOA|15632189//cellular component|cytosol|EXP|GO:0005829|GOA|9814702//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x2ed92c8)//cellular component|plasma membrane|IDA|GO:0005886|GOA|15632189	M	1.1685	1.1685	7.57E-08	917.1655	1080.5522	13
SHBG	A_23_P207089	chr17:7536135-7536194	SHBG	NR_027463			F	0.8387	-1.1923	0.000075871	1031.9611	853.856	13
MAP3K3	A_23_P207138	chr17:61772115-61772174	MAP3K3	NM_203351	Mitogen-activated protein kinase kinase kinase 3	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|MAP kinase kinase kinase activity|IEA|GO:0004709|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|14743216//molecular function|protein kinase activity|IDA|GO:0004672|GOA|15001576//molecular function|protein serine/threonine kinase activity|IEA|GO:0004674|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|MAPKKK cascade|TAS|GO:0000165|GOA|9006902//biological process|positive regulation of I-kappaB kinase/NF-kappaB cascade|IEP|GO:0043123|GOA|12761501//biological process|protein amino acid autophosphorylation|IDA|GO:0046777|GOA|15001576//biological process|protein kinase cascade|IDA|GO:0007243|GOA|15001576	F	0.8647	-1.1565	1.20E-06	283.3295	244.4016	12
ZNF397	A_23_P208143	chr18:32825958-32826017	ZNF397	NM_001135178	Zinc finger protein 397	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	0.8565	-1.1675	0.0017	560.9117	477.827	13
