f	Descriptor	HEV-EST accession #	Match accession #	Chromosome localization
1	EST transcribed from chr 3p21.1—no dbEST match, no long ORF	BM956016	AC_099559	3p21.1
1	EST transcribed from chr 3p24.3—no dbEST match, no long ORF	BM956017	AC_092504	3p24.3
1	EST transcribed from chr 3q13.33—no long ORF	BM956018	AI826809	3q13.33
1	EST transcribed from chr 4q32.3 encoding incomplete hyp. protein (205 aa) homologous to BAA91809	BM956019	AC_079926	4q32.3
1	EST transcribed from chr 5q15—no dbEST match, no long ORF	BM956020	AC_099507	5q15
1	EST transcribed from chr 5q15—no dbEST match, no long ORF	BM956021	AC_099680	5q15
1	EST transcribed from chr 5q15—no dbEST match, no long ORF	BM956024	AC_099507	5q15
1	EST transcribed from chr 5q23.2—no dbEST match, no long ORF	BM956025	AW996878	5q23.2
1	EST transcribed from chr 6p21.1—no long ORF	BM956026	AW819607	6p21.1
1	EST transcribed from chr 6q14.3—no dbEST match, no long ORF	BM956027	AL161621	6q14.3
1	EST transcribed from chr 6q22.1—no dbEST match, no long ORF	BM956028	AL021451	6q22.1
1	EST transcribed from chr 6q22.33—no dbEST match, no long ORF	BM956029	NT_025741	6q22.33
1	EST transcribed from chr 8p21.3—no long ORF	BM956030	BF832588	8p21.3
1	EST transcribed from chr Xp11.22—no dbEST match, no long ORF	BM956031	AL592046	Xp11.22
1	EST transcribed from chr Xp11.3—no dbEST match, no long ORF	BM956032	AL049735	Xp11.3
1	EST transcribed from chr Xq13.3—no dbEST match, no long ORF	BM956033	AC_002418	Xq13.3
1	EST transcribed from chr Xq22.2—no dbESt match, no long ORF	BM956034	Z82254	Xq22.2
1	EST transcribed from chr Xq22.3—no dbEST match, no long ORF	BM956035	AC_009870	Xq22.3
1	EST transcribed from chr 1p31.1—no dbEST match, no long ORF	BM956036	AW992347	1p31.1
1	EST transcribed from intron #1 of CD47 gene—no dbEST match, no long ORF	BM956037	AC_012020	3q13.13
1	EST transcribed from intron #1 of the “forkhead box O1A” gene—no dbEST match, no long ORF	BM956038	AL355132	13q14.11
1	EST transcribed from intron #1 of the cGMP phosphodiesterase delta subunit gene—no dbEST match, no long ORF	BM956039	AC_073476	2q37.1
1	EST transcribed from intron #1 of the complement component 7 precursor gene—no dbEST match, no long ORF	BM956040	NT_023179	5p12
1	EST transcribed from intron #1 of the DLC1 (deleted in liver cancer) gene—no dbEST match, no long ORF	BM956041	AC_084085	8p22
1	EST transcribed from intron #1 of the hevin gene—no long ORF	BM956042	N78552	4q22.1
1	EST transcribed from intron #1 of the KIAA0062 gene—no dbEST match, no long ORF	BM956043	AC_008533	5q31.3
1	EST transcribed from intron #1 of the signaling lymphocytic act. mol. (SLAM) gene—no dbEST match, no long ORF	BM956044	AL121985	1q23.2
1	EST transcribed from intron #10 of the CAAX famesyltransferase gene—no dbEST match, no long ORF	BM956045	AL139022	14q23.3
1	EST transcribed from intron #2 of E-selectin gene—no dbEST match, no long ORF	BM956046	AL021940	1q24.2
1	EST transcribed from intron #2 of the oncostatin M receptor gene—no dbEST match, no long ORF	BM956047	NT_023195	5p12
1	EST transcr. from intron #23 of the gene encoding TAR (HIV) RNA-binding protein 1—no dbEST match, no long ORF	BM956048	AL359756	1q42.2
1	EST transcr. from intron #3 of gene encoding Kreuppel-like zinc finger protein HZF2—no dbEST match, no long ORF	BM956049	AC_034105	16p11.2
1	EST transcribed from intron #3 of supervillin gene (isoform 1)—no dbEST match, no long ORF	BM956050	AL160060	10p11.23
1	EST transcribed from intron #3 of the ASH1 gene—no dbEST match, no long ORF	BM956051	AL139410	1q23.1
1	EST transcribed from intron #3 of the protocadherin 15 gene—no dbEST match, no long ORF	BM956052	AL353784	10q21.1
1	EST transcribed from intron #3 of the RNA polymerase II elongation factor ELL2 gene—no dbEST match, no long ORF	BM956053	AC_008821	5q15
1	EST transcribed from intron #4 of the JJAZ1 gene (NM_015355) on chr. 17—no matching dbEST, no long ORF	BM956054	AC_015941	17q11.2
1	EST transcribed from intron #5 of the gene encoding DEAD/H box polypeptide 26—no dbEST match, no long ORF	BM956055	AL354820	13q14.3
1	EST transcribed from intron #5 of the Krüppel-like factor 12 gene—no dbEST match, no long ORF	BM956056	AL138713	13q22.1
1	EST transcr. from intron #6 of the peptidylglycine a-amidating monooxygenase gene—no dbEST match, no long ORF	BM956057	AC_010250	5q21.1
1	EST transcribed from intron #7 of the MGC2745 gene encoding an inhibitor of ras—no dbEST match, no long ORF	BM956058	AL162584	9q34.11
1	EST transcribed from intron #8 of “bromodomain adjacent to zinc finger domain 2B” gene (NM_013450), no long ORF	BM956059	BE070489	2q24.1
1	EST transcribed from intron #8 of LOC55971gene encoding a substrate for insulin receptor kinase—no long ORF	BM956060	AW836530	7q21.3
1	EST transcribed from intron #9 of the RASA1 gene (M23379) on chr. 5—no dbEST match, no long ORF	BM956061	AC_018754	5q14.3
1	EST-contig (0.62 kb) transcribed from CpG island (Z57845) on chr 17q25.3	BM956062	BG459777	17q25.3
1	EST-contig (0.68 kb) transcribed from chr 1p31.3—no long ORF	BM956063	AW270349	1p31.3
1	EST-contig (0.7 kb) transcribed from chr 5q15—no long ORF	BM956064	AI797160	5q15
1	EST-contig (0.75 kb) encoding hyp. proteinXP_034877 (no homology to known proteins)	BM956065	BG484275	3p21.31
1	EST-contig (0.9 kb) transcribed from mitochondrial superoxide dismutase 2 gene—no long ORF	BM956066	BF854378	6q25.3
1	EST-contig (0.92 kb) transcribed from intron #1 of gene encoding hypoxia-inducible factor 1, basic ? subunit (U29165)	BM956067	BM007949	14q23.1
1	EST-contig (1.05 kb) transcribed from chr 3p21.31—no long ORF	BM956068	AW510762	7q32.3
1	EST-contig (1.16 kb) transcribed from chr 3q13.31—no long ORF	BM956069	BF108529	3q13.31
1	EST-contig (1.2 kb) transcribed from unknown locus on chr 11—no long ORF	BM956070	BE326646	X (loc unknown)
1	EST-contig (1.3 kb) transcribed from chr 5p12—no long ORF	BM956071	AV645808	5p12
1	EST-contig (1.8 kb) predicting a novel cation transporting ATPase (splice variant of XP_039929)	BM956072	BE154453	3q29
1	EST-contig (2.8 kb) encoding a put. zinc-binding dehydrogenase equal or similar toXP_068125	BM956073	BE872972	1q25.2
1	polyA+ EST—no dbEST match or genomic sequence, no long ORF	BM956074	n.a	unknown
1	polyA+ EST—no dbEST match or genomic sequence, no long ORF	BM956075	n.a	unknown
1	polyA+ EST transcribed from intron #3 of gene encoding TNFalpha-induced protein 3 (M59465)	BM956076	AC_012137	6q24.1
1	polyA+ EST transcribed from intron #6 of gene encoding single-stranded DNA-binding protein (M94556)	BM956077	AC_004979	7q34
1	polyA+ EST transcribed from intron #9 of the C5ORF5 gene encoding a GAP-like protein—no dbEST match, no long ORF	BM956078	AC_006084	5q31.2
1	polyA+ EST encoding 87-aa hyp. protein with no homology to known protein—no dbEST matches or genomic seqs.	BM956079	n.a.	unknown
1	polyA+ EST from chr 1p22.2—no dbEST match, no long ORF	BM956080	AL355144	1p22.2
1	polyA+ EST from chr 9q21.2—no dbEST match, no long ORF	BM956081	AL158159	9q21.2
1	polyA+ EST transcribed from chr 10p11.21 (no dbEST match, no ORF)	BM956082	AL390956	10p11.21
1	polyA+ EST transcribed from chr 10q21.22—no dbEST match, no long ORF	BM956083	AL391137	10q11.22
1	polyA+ EST transcribed from chr 10q22.2—no dbEST match, no long ORF	BM956084	AC_074324	10q22.2
1	polyA+ EST transcribed from chr 19q13.13 possibly encoding an unknown protein with no homologies	BM956085	AA729975	19q13.13
1	polyA+ EST transcribed from chr 3p24.3—no dbEST match, no long ORF	BM956086	AC_009429	3p24.3
1	polyA+ EST transcribed from chr 3p24.3—no dbEST match, no long ORF	BM956087	AC_026674	3p24.3
1	polyA+ EST transcribed from chr 3q13.31—no dbEST match, no long ORF	BM956088	AC_069506	3q13.31
1	polyA+ EST transcribed from chr 3q26.1—no dbEST match, no long ORF	BM956089	AC_013632	3q26.1
1	polyA+ EST transcribed from chr 3q29—no long ORF	BM956090	AA369885	3q29
1	polyA+ EST transcribed from chr 7q33—no dbEST match, no long ORF	BM956091	AC_083862	7q33
1	polyA+ EST transcribed from chr 7q33—no dbEST match, no long ORF	BM956107	AF017104	7q33
1	polyA+ EST transcribed from chr 8q11-12—no dbEST match, no long ORF	BM956092	AF192303	8q24.3
1	polyA+ EST transcribed from chr 8q23.3—no dbEST match, no long ORF	BM956093	AC_104246	8q23.3
1	polyA+ EST transcr. from intron #1 of gene encoding the cardiac sarcolemmal Na/Ca exchanger—no dbEST match, no long ORF	BM956106	AC_007281	2p22.1
1	polyA+ EST transcribed from intron #1 of the cytohesin 1 gene—no dbEST match, no long ORF	BM956094	AC_022966	17q25.3
1	polyA+ EST transcribed from intron #1 of the hevin gene—no dbEST match, no long ORF	BM956095	AC_093906	4q22.1
1	polyA+ EST transcribed from intron #13 of the mitogen-activated protein kinase kinase 5 gene	BM956096	AC_009292	15q22.33
1	polyA+ EST transcribed from intron #2 of gene encoding smooth muscle myosin heavy chain isoform 11	BM956141	NT_010393	16p13.12
1	polyA+ EST transcribed from intron #2 of the protein kinase Cm gene—no dbEST match, no long ORF	BM956097	AL356756	14q12
1	polyA+ EST transcribed from intron #2 of the receptor-type protein Tyr phosphatase M gene (NM_002845)	BM956098	AC_013700	18p11.23
1	polyA+ EST transcribed from intron #4 of gene encoding smooth muscle myosin heavy chain isoform 11	BM956099	NT_010393	16p13.12
1	polyA+ EST transcribed from intron #5 of the gene encoding tumor rejection antigen (gp96) 1	BM956100	AC_084199	12q23.3
1	polyA+ EST transcribed from intron #9 of C5orf5 gene—no dbEST match, no long ORF	BM956101	NT_025720	5q31.2
1	polyA+ EST transcribed from unknown gene on chr. 16—no dbEST match, contains Alu-Sq repeat	BM956102	AC_026471	16p11.2
1	polyA+ EST transcribed from unknown gene on chr. 3—no dbEST match, no long ORF	BM956103	AC_012261	3p24.3
