Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (1.25 Gy)	Geom mean of intensities in class 2 (Control)	Fold-change	Unique id	Description	Gene symbol
152	0.0000131	0.0016982	895.7320325	536.235205	1.6704089	A_23_P381954	Homo sapiens erythropoietin receptor (EPOR), mRNA [NM_000121]	EPOR
153	0.000014	0.001803	205.5130782	383.9297144	0.5352883	A_24_P241318	Homo sapiens WD repeat domain 21A (WDR21A), transcript variant 2, mRNA [NM_181340]	WDR21A
154	0.0000141	0.0018041	63.0807628	35.0622286	1.7991088	A_23_P502957	Homo sapiens cadherin-like 26 (CDH26), transcript variant b, mRNA [NM_021810]	CDH26
155	0.0000142	0.0018051	498.5959043	316.4434818	1.5756239	A_32_P10396	Homo sapiens WD repeat and FYVE domain containing 3 (WDFY3), transcript variant 1, mRNA [NM_014991]	WDFY3
156	0.0000143	0.0018062	1619.972969	2770.005307	0.5848267	A_32_P185229	Homo sapiens ATPase, Class I, type 8B, member 2 (ATP8B2), transcript variant 1, mRNA [NM_020452]	ATP8B2
157	0.000015	0.0018825	8805.029335	5907.965425	1.4903658	A_23_P12463	Homo sapiens quiescin Q6 (QSCN6), transcript variant 1, mRNA [NM_002826]	QSCN6
158	0.0000153	0.001908	791.6480419	413.1932951	1.9159266	A_23_P167005	Homo sapiens G protein-coupled receptor 160 (GPR160), mRNA [NM_014373]	GPR160
159	0.0000159	0.0019704	51.0022094	119.6056652	0.4264197	A_32_P178537	SHGC-53577 Human Homo sapiens STS cDNA, sequence tagged site. [G36631]	G36631
160	0.0000162	0.0019826	2367.901829	1587.770051	1.491338	A_23_P59069	Homo sapiens histone cluster 1, H2bo (HIST1H2BO), mRNA [NM_003527]	HIST1H2BO
161	0.0000162	0.0019826	3526.24203	2027.324496	1.7393575	A_23_P211899	GPR27_HUMAN (Q9NS67) Probable G-protein coupled receptor 27 (Super conserved receptor expressed in brain 1), complete [THC2522889]	THC2522889
162	0.0000165	0.0020069	583.1127257	358.4273572	1.6268645	A_23_P207837	Homo sapiens carboxypeptidase D (CPD), mRNA [NM_001304]	CPD
163	0.0000167	0.0020188	1201.68479	864.5772456	1.3899103	A_23_P78209	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) (MAFG), transcript variant 1, mRNA [NM_002359]	MAFG
164	0.000017	0.0020425	383.2475441	622.8992995	0.615264	A_23_P146077	Homo sapiens zinc finger protein 395 (ZNF395), mRNA [NM_018660]	ZNF395
165	0.0000174	0.0020779	956.511854	1455.281806	0.6572692	A_23_P213153	Homo sapiens heterogeneous nuclear ribonucleoprotein D-like (HNRPDL), transcript variant 2, mRNA [NM_031372]	HNRPDL
166	0.0000176	0.0020877	695.698749	455.6807668	1.526724	A_23_P20225	Homo sapiens ribonucleotide reductase M2 B (TP53 inducible) (RRM2B), mRNA [NM_015713]	RRM2B
167	0.0000177	0.0020877	2555.3901	1684.602965	1.5169094	A_24_P188377	Homo sapiens CD55 molecule, decay accelerating factor for complement (Cromer blood group) (CD55), mRNA [NM_000574]	CD55
168	0.0000178	0.0020877	1000.669965	549.792923	1.8200852	A_23_P4096	Homo sapiens carbonic anhydrase IV (CA4), mRNA [NM_000717]	CA4
169	0.0000182	0.0021087	62.2346171	34.4540988	1.8063052	A_24_P564462	Homo sapiens chromosome 12 open reading frame 5 (C12orf5), mRNA [NM_020375]	C12orf5
170	0.0000183	0.0021087	1468.992579	986.3714449	1.4892894	A_23_P34396	Homo sapiens chromosome 1 open reading frame 63 (C1orf63), mRNA [NM_020317]	C1orf63
171	0.0000183	0.0021087	59.3730718	95.1959134	0.6236935	A_32_P193792	Homo sapiens HSPC090 mRNA, partial cds. [AF161353]	AF161353
172	0.0000186	0.0021308	1856.090176	1237.100132	1.5003557	A_23_P121082	Homo sapiens glucan (1,4-alpha-), branching enzyme 1 (glycogen branching enzyme, Andersen disease, glycogen storage disease type IV) (GBE1), mRNA [NM_000158]	GBE1
173	0.0000189	0.0021526	2699.823392	1599.124342	1.6883136	A_24_P274615	Homo sapiens arrestin domain containing 3 (ARRDC3), mRNA [NM_020801]	ARRDC3
174	0.0000191	0.0021629	736.601168	1322.346079	0.5570411	A_23_P201731	Homo sapiens TNF receptor-associated factor 5 (TRAF5), transcript variant 1, mRNA [NM_004619]	TRAF5
175	0.0000193	0.0021731	364.6447309	564.241713	0.6462562	A_23_P90419	Homo sapiens pre-B-cell leukemia transcription factor 4 (PBX4), mRNA [NM_025245]	PBX4
176	0.0000207	0.0023155	617.8440422	231.9044374	2.6642183	A_23_P145965	Homo sapiens tyrosylprotein sulfotransferase 1 (TPST1), mRNA [NM_003596]	TPST1
177	0.0000208	0.0023155	25.8078407	9.330762	2.7658878	A_23_P167941	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	TREM2
178	0.0000211	0.0023357	1265.493191	1890.902339	0.6692536	A_23_P21363	Homo sapiens AHNAK nucleoprotein (desmoyokin) (AHNAK), transcript variant 2, mRNA [NM_024060]	AHNAK
179	0.0000219	0.0024107	362.5721585	599.3905437	0.6049014	A_23_P370035	Homo sapiens WD repeat domain 21A (WDR21A), transcript variant 2, mRNA [NM_181340]	WDR21A
180	0.0000226	0.0024576	775.9787194	508.9413047	1.524692	A_23_P48637	BG108194 602280063F1 NIH_MGC_86 Homo sapiens cDNA clone IMAGE:4367799 5, mRNA sequence [BG108194]	BG108194
181	0.0000227	0.0024576	1525.314851	931.9518673	1.6366884	A_23_P377957	Homo sapiens potassium channel tetramerisation domain containing 12 (KCTD12), mRNA [NM_138444]	KCTD12
182	0.0000227	0.0024576	20076.00981	12265.40799	1.6367992	A_23_P42746	Homo sapiens neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1) (NCF1), mRNA [NM_000265]	NCF1
183	0.0000238	0.0025626	91.1146648	62.488161	1.4581108	A_23_P41159	Homo sapiens protein phosphatase 4, regulatory subunit 2 (PPP4R2), mRNA [NM_174907]	PPP4R2
184	0.0000242	0.0025881	2187.29064	1210.998799	1.8061873	A_24_P355816	Homo sapiens damage-regulated autophagy modulator (DRAM), mRNA [NM_018370]	DRAM
185	0.0000243	0.0025881	203.258515	339.7398464	0.5982769	A_24_P546003	full-length cDNA clone CS0DD006YM23 of Neuroblastoma Cot 50-normalized of Homo sapiens (human). [CR609843]	CR609843
186	0.0000262	0.0027607	3001.850647	1653.60852	1.8153333	A_23_P100196	Homo sapiens ubiquitin specific peptidase 10 (USP10), mRNA [NM_005153]	USP10
187	0.0000262	0.0027607	145.9747077	327.3965841	0.4458651	A_32_P17343	Unknown	THC2667726
188	0.0000266	0.0027879	8383.421166	5504.488804	1.5230154	A_23_P415021	Homo sapiens methyltransferase like 7A (METTL7A), mRNA [NM_014033]	METTL7A
189	0.0000269	0.0028044	2654.442823	1774.767439	1.4956567	A_23_P209636	Homo sapiens CDC42 effector protein (Rho GTPase binding) 3 (CDC42EP3), mRNA [NM_006449]	CDC42EP3
190	0.0000271	0.0028104	178.7384747	110.8553135	1.6123582	A_32_P180435	Homo sapiens hypothetical LOC441257 (LOC441257), mRNA [NM_001023562]	LOC441257
191	0.0000276	0.0028427	75.4347336	41.3586636	1.8239161	A_23_P133474	Homo sapiens glutathione peroxidase 3 (plasma) (GPX3), mRNA [NM_002084]	GPX3
192	0.0000277	0.0028427	1960.772554	1172.017279	1.6729895	A_23_P162640	Homo sapiens GABA(A) receptor-associated protein like 1 (GABARAPL1), mRNA [NM_031412]	GABARAPL1
193	0.0000284	0.0028994	2854.395062	1857.542013	1.5366517	A_23_P55606	Zinc finger protein 516. [Source:Uniprot/SWISSPROT;Acc:Q92618] [ENST00000217537]	ZNF516
194	0.000029	0.0029454	102.8718324	67.0021882	1.5353503	A_32_P108748	AF235023 chromosome condensation protein G {Homo sapiens} (exp=0; wgp=1; cg=0), partial (3%) [THC2534530]	THC2534530
195	0.0000296	0.0029858	2570.390755	3868.822238	0.6643859	A_23_P12514	Homo sapiens ras homolog gene family, member C (RHOC), transcript variant 1, mRNA [NM_175744]	RHOC
196	0.0000297	0.0029858	477.7109934	302.4187011	1.5796344	A_23_P167997	Homo sapiens histone cluster 1, H2bg (HIST1H2BG), mRNA [NM_003518]	HIST1H2BG
197	0.0000311	0.0031106	4937.047861	3509.096403	1.4069285	A_23_P347198	Homo sapiens Sp3 transcription factor (SP3), transcript variant 1, mRNA [NM_003111]	SP3
198	0.0000317	0.0031329	6168.76016	3845.441368	1.6041748	A_23_P103951	Unknown	A_23_P103951
199	0.0000317	0.0031329	47.2371083	27.1557453	1.7394886	A_24_P943997	Homo sapiens ADP-ribosylation factor-like 5B (ARL5B), mRNA [NM_178815]	ARL5B
200	0.0000318	0.0031329	3372.071039	1857.334577	1.8155431	A_23_P50638	Homo sapiens leucine-rich alpha-2-glycoprotein 1 (LRG1), mRNA [NM_052972]	LRG1
201	0.000032	0.003137	881.5425721	1550.307016	0.5686245	A_23_P215956	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]	MYC
202	0.0000324	0.0031449	2470.128496	1303.42501	1.895106	A_24_P154037	Homo sapiens insulin receptor substrate 2 (IRS2), mRNA [NM_003749]	IRS2
203	0.0000324	0.0031449	56.5022388	31.2704834	1.8068873	A_23_P63402	Homo sapiens G-protein signalling modulator 2 (AGS3-like, C. elegans) (GPSM2), mRNA [NM_013296]	GPSM2
204	0.0000327	0.0031584	322.588671	190.5587394	1.6928569	A_24_P649624	Kinesin-like protein KIF1B (Klp). [Source:Uniprot/SWISSPROT;Acc:O60333] [ENST00000377093]	KIF1B
205	0.0000329	0.0031623	43.3071982	80.7764521	0.5361364	A_23_P93988	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 5 (ARHGEF5), mRNA [NM_005435]	ARHGEF5
206	0.0000353	0.0033765	2353.525167	1437.499893	1.637235	A_23_P34597	Homo sapiens cytidine deaminase (CDA), mRNA [NM_001785]	CDA
207	0.000036	0.0034268	986.9184304	701.7095014	1.4064487	A_24_P379765	Homo sapiens MOB1, Mps One Binder kinase activator-like 1B (yeast) (MOBK1B), mRNA [NM_018221]	MOBK1B
208	0.0000378	0.0035561	3644.046057	2547.953606	1.4301854	A_23_P8013	Homo sapiens histone cluster 1, H2bl (HIST1H2BL), mRNA [NM_003519]	HIST1H2BL
209	0.0000379	0.0035561	160.8387232	97.7190039	1.6459309	A_24_P157165	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	MAP4K4
210	0.0000379	0.0035561	1084.994241	692.3925643	1.5670218	A_23_P37311	Homo sapiens pecanex homolog (Drosophila) (PCNX), mRNA [NM_014982]	PCNX
211	0.0000398	0.0036922	145.4721329	89.7066373	1.6216429	A_23_P120325	Homo sapiens kinesin family member 3C (KIF3C), mRNA [NM_002254]	KIF3C
212	0.0000399	0.0036922	1023.990448	698.5529205	1.4658738	A_23_P152356	Homo sapiens zinc finger protein 200 (ZNF200), transcript variant 1, mRNA [NM_003454]	ZNF200
213	0.00004	0.0036922	17.2702213	93.3083888	0.1850876	A_32_P71876	Unknown	THC2767659
214	0.0000401	0.0036922	198.3389813	134.2891837	1.4769543	A_23_P145574	Homo sapiens histidine triad nucleotide binding protein 3 (HINT3), mRNA [NM_138571]	HINT3
215	0.0000405	0.0036945	82.4730706	57.8019977	1.4268204	A_23_P257988	Homo sapiens sentrin-specific protease (SENP2) mRNA, complete cds. [AF151697]	SENP2
216	0.0000405	0.0036945	75.0860097	110.8632544	0.6772849	A_32_P179807	Unknown	A_32_P179807
217	0.000041	0.0037229	252.7029295	174.1661525	1.4509302	A_24_P410363	Homo sapiens egl nine homolog 1 (C. elegans) (EGLN1), mRNA [NM_022051]	EGLN1
218	0.0000421	0.0038052	29.9327645	13.061521	2.2916753	A_23_P28397	Unknown	A_23_P28397
219	0.0000427	0.0038338	67.5113038	40.6798657	1.6595754	A_24_P160088	Homo sapiens pyridoxal (pyridoxine, vitamin B6) kinase (PDXK), mRNA [NM_003681]	PDXK
220	0.000043	0.0038338	349.4330992	240.1522027	1.4550485	A_23_P332439	Homo sapiens KIAA0410 mRNA, partial cds. [AB007870]	NUPL1
221	0.000043	0.0038338	2301.392274	1592.753011	1.4449147	A_23_P54373	Homo sapiens RAB27A, member RAS oncogene family (RAB27A), transcript variant 1, mRNA [NM_004580]	RAB27A
222	0.0000435	0.0038524	389.9827012	240.1548441	1.6238802	A_23_P90804	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	MAP4K4
223	0.0000436	0.0038524	33.0062403	61.2644445	0.5387503	A_23_P302709	Homo sapiens nuclear receptor subfamily 1, group D, member 2 (NR1D2), mRNA [NM_005126]	NR1D2
224	0.0000443	0.0038968	112.6948907	70.2921025	1.6032369	A_24_P928361	Homo sapiens ninein (GSK3B interacting protein) (NIN), transcript variant 1, mRNA [NM_182944]	NIN
225	0.0000445	0.003897	43.12416	21.6444706	1.9923869	A_23_P121234	Unknown	A_23_P121234
226	0.0000466	0.0040623	629.488913	392.040882	1.6056716	A_24_P146211	Homo sapiens histone cluster 1, H2bd (HIST1H2BD), transcript variant 1, mRNA [NM_021063]	HIST1H2BD
227	0.0000468	0.0040623	484.6924955	302.2235799	1.6037547	A_24_P268917	Homo sapiens RAB33B, member RAS oncogene family (RAB33B), mRNA [NM_031296]	RAB33B
228	0.0000478	0.0041309	164.355484	109.3685558	1.5027673	A_23_P350467	Homo sapiens mitogen-activated protein kinase-activated protein kinase 2 (MAPKAPK2), transcript variant 1, mRNA [NM_004759]	MAPKAPK2
229	0.0000485	0.0041522	2589.900402	1706.269859	1.5178727	A_24_P322741	Homo sapiens interleukin 10 receptor, beta (IL10RB), mRNA [NM_000628]	IL10RB
230	0.0000486	0.0041522	1525.091476	764.8672055	1.9939297	A_23_P42257	Homo sapiens immediate early response 3 (IER3), mRNA [NM_003897]	IER3
231	0.0000487	0.0041522	90.218336	63.1675048	1.4282397	A_23_P25515	Homo sapiens myotubularin related protein 6 (MTMR6), mRNA [NM_004685]	MTMR6
232	0.000049	0.0041522	45.908262	21.8367007	2.1023442	A_23_P304356	Homo sapiens C-type lectin domain family 5, member A (CLEC5A), mRNA [NM_013252]	CLEC5A
233	0.0000491	0.0041522	761.2227771	564.290286	1.3489915	A_23_P253434	Homo sapiens fibronectin type III domain containing 3B (FNDC3B), mRNA [NM_022763]	FNDC3B
234	0.0000494	0.0041597	53.9663254	36.1072268	1.4946129	A_24_P374634	Homo sapiens cDNA FLJ11290 fis, clone PLACE1009622, weakly similar to MATERNAL EFFECT PROTEIN STAUFEN. [AK002152]	STAU2
235	0.00005	0.0041923	324.8751063	597.526398	0.5437	A_23_P43369	Homo sapiens signaling threshold regulating transmembrane adaptor 1 (SIT1), mRNA [NM_014450]	SIT1
236	0.0000507	0.004214	133.7935086	215.4918278	0.6208751	A_23_P62652	Homo sapiens signaling lymphocytic activation molecule family member 1 (SLAMF1), mRNA [NM_003037]	SLAMF1
237	0.0000509	0.004214	3257.150586	2195.141039	1.4838001	A_24_P166094	Homo sapiens ADP-ribosylation factor interacting protein 1 (arfaptin 1) (ARFIP1), transcript variant 1, mRNA [NM_001025595]	ARFIP1
238	0.0000509	0.004214	47.8425698	94.7413771	0.5049807	A_23_P419213	Homo sapiens KIAA1407 (KIAA1407), mRNA [NM_020817]	KIAA1407
239	0.0000512	0.0042211	25636.14697	16135.38403	1.5888154	A_32_P116203	Homo sapiens neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1) (NCF1), mRNA [NM_000265]	NCF1
240	0.0000517	0.0042446	220.6708927	142.6628407	1.5468001	A_23_P345581	Homo sapiens FOS-like antigen 2 (FOSL2), mRNA [NM_005253]	FOSL2
241	0.0000523	0.0042477	220.8422569	319.5730752	0.691054	A_23_P212196	Homo sapiens 8-oxoguanine DNA glycosylase (OGG1), nuclear gene encoding mitochondrial protein, transcript variant 2d, mRNA [NM_016828]	OGG1
242	0.0000523	0.0042477	48166.95571	32582.15398	1.4783232	A_23_P411296	Homo sapiens CCAAT/enhancer binding protein (C/EBP), beta (CEBPB), mRNA [NM_005194]	CEBPB
243	0.0000525	0.0042477	790.9357329	568.7887137	1.3905616	A_23_P256342	Homo sapiens sorting nexin 13 (SNX13), mRNA [NM_015132]	SNX13
244	0.0000526	0.0042477	100.7418574	71.9907923	1.3993714	A_23_P501583	Homo sapiens nuclear transcription factor Y, alpha (NFYA), transcript variant 1, mRNA [NM_002505]	NFYA
245	0.0000545	0.0043831	1460.418066	2377.676101	0.6142208	A_23_P8424	Homo sapiens poliovirus receptor related immunoglobulin domain containing (PVRIG), mRNA [NM_024070]	PVRIG
246	0.0000549	0.0043974	11124.10577	7571.061652	1.4692927	A_23_P383986	Homo sapiens B cell RAG associated protein (GALNAC4S-6ST), mRNA [NM_015892]	GALNAC4S-6ST
247	0.0000555	0.0044274	1200.430801	763.6933333	1.5718754	A_23_P4561	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 8 (SERPINB8), transcript variant 2, mRNA [NM_198833]	SERPINB8
248	0.0000564	0.004471	9847.081547	6277.627567	1.5685992	A_23_P117582	Homo sapiens jun dimerization protein 2 (JDP2), mRNA [NM_130469]	JDP2
249	0.0000565	0.004471	4978.882124	3148.828414	1.5811856	A_23_P361584	Homo sapiens transmembrane protein 154 (TMEM154), mRNA [NM_152680]	TMEM154
250	0.000058	0.0045713	69.9463566	123.8369862	0.5648261	A_32_P36835	ALU7_HUMAN (P39194) Alu subfamily SQ sequence contamination warning entry, partial (10%) [THC2677499]	THC2677499
251	0.0000595	0.004639	3552.660058	2367.240186	1.5007603	A_23_P7325	Homo sapiens bone marrow stromal cell antigen 1 (BST1), mRNA [NM_004334]	BST1
252	0.0000598	0.004639	2544.254503	1763.775428	1.4425048	A_24_P318967	Homo sapiens pyridoxal (pyridoxine, vitamin B6) kinase (PDXK), mRNA [NM_003681]	PDXK
253	0.0000598	0.004639	1822.659276	3154.022312	0.5778841	A_23_P121702	Homo sapiens OCIA domain containing 2 (OCIAD2), transcript variant 1, mRNA [NM_001014446]	OCIAD2
254	0.0000598	0.004639	407.5311684	280.8570096	1.4510272	A_23_P256445	Homo sapiens valosin containing protein (p97)/p47 complex interacting protein 1 (VCPIP1), mRNA [NM_025054]	VCPIP1
255	0.0000604	0.0046671	562.1846086	352.4007117	1.5952993	A_24_P351906	Homo sapiens STEAP family member 4 (STEAP4), mRNA [NM_024636]	STEAP4
256	0.0000609	0.0046874	19.0627646	39.6529703	0.4807399	A_24_P166807	Homo sapiens tumor protein D52 (TPD52), transcript variant 1, mRNA [NM_001025252]	TPD52
257	0.0000616	0.0047092	3653.781819	2658.220223	1.3745219	A_23_P390044	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) (MAFG), transcript variant 1, mRNA [NM_002359]	MAFG
258	0.0000618	0.0047092	72.0003146	105.9880848	0.6793246	A_23_P204119	Probable RNA-binding protein 19 (RNA-binding motif protein 19). [Source:Uniprot/SWISSPROT;Acc:Q9Y4C8] [ENST00000261741]	RBM19
259	0.0000619	0.0047092	763.2815037	523.1958534	1.4588829	A_24_P765784	Homo sapiens cDNA FLJ33108 fis, clone TRACH2000974, weakly similar to Transcription factor TFII-I. [AK057670]	GTF2I
260	0.0000631	0.004782	69.0148138	41.9865686	1.6437355	A_23_P9565	Homo sapiens RAB33B, member RAS oncogene family (RAB33B), mRNA [NM_031296]	RAB33B
261	0.0000639	0.0048241	980.9858544	656.7396739	1.493721	A_23_P332992	Homo sapiens histone cluster 3, H2bb (HIST3H2BB), mRNA [NM_175055]	HIST3H2BB
262	0.0000646	0.0048548	276.6715684	153.7788361	1.7991524	A_24_P514678	DB728175 RIKEN full-length enriched human cDNA library, hypothalamus Homo sapiens cDNA clone H033001B22 3, mRNA sequence [DB728175]	DB728175
263	0.0000648	0.0048548	130.960232	83.6407147	1.5657474	A_24_P942370	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4) (GALNT4), mRNA [NM_003774]	GALNT4
264	0.0000663	0.0049484	481.4910036	261.8426879	1.838856	A_23_P5392	Homo sapiens tumor protein p53 inducible protein 3 (TP53I3), transcript variant 1, mRNA [NM_004881]	TP53I3
265	0.0000673	0.0050041	1253.848816	894.7978059	1.401265	A_23_P254472	Homo sapiens chromosome 6 open reading frame 211 (C6orf211), mRNA [NM_024573]	C6orf211
266	0.0000678	0.0050182	348.833757	226.8291403	1.5378701	A_24_P116805	Homo sapiens signal transducer and activator of transcription 3 (acute-phase response factor) (STAT3), transcript variant 3, mRNA [NM_213662]	STAT3
267	0.000068	0.0050182	114.0435041	224.1523819	0.5087767	A_23_P420873	Homo sapiens nuclear receptor subfamily 1, group D, member 1 (NR1D1), mRNA [NM_021724]	NR1D1
268	0.0000688	0.0050583	1487.322886	870.5720989	1.7084431	A_23_P16469	Homo sapiens plasminogen activator, urokinase receptor (PLAUR), transcript variant 3, mRNA [NM_001005377]	PLAUR
269	0.0000723	0.0052959	1088.034169	721.3199676	1.5083932	A_23_P111041	Homo sapiens histone cluster 1, H2bi (HIST1H2BI), mRNA [NM_003525]	HIST1H2BI
270	0.000075	0.0054733	2860.623663	1978.063643	1.4461737	A_24_P913115	Homo sapiens phosphatase and tensin homolog (mutated in multiple advanced cancers 1) (PTEN), mRNA [NM_000314]	PTEN
271	0.0000771	0.0056058	179.7962626	338.6092783	0.5309845	A_32_P190951	Ig heavy chain V-I region HG3 precursor. [Source:Uniprot/SWISSPROT;Acc:P01743] [ENST00000379884]	ENST00000379884
272	0.0000783	0.0056721	54.3580234	80.8310963	0.672489	A_32_P141708	BM091097 ig22c10.y1 Human Fetal Pancreas 1B Homo sapiens cDNA 5, mRNA sequence [BM091097]	THC2659348
273	0.0000798	0.0057596	204.7976146	324.9100117	0.630321	A_23_P300714	Homo sapiens sorbin and SH3 domain containing 3 (SORBS3), transcript variant 1, mRNA [NM_005775]	SORBS3
274	0.000081	0.0058249	1215.872774	923.7923232	1.3161754	A_24_P73178	Homo sapiens proline rich 13 (PRR13), transcript variant 3, mRNA [NM_001005354]	PRR13
275	0.0000825	0.0059041	135.2137433	248.2417719	0.5446857	A_23_P130753	Homo sapiens D site of albumin promoter (albumin D-box) binding protein (DBP), mRNA [NM_001352]	DBP
276	0.0000827	0.0059041	38.9881245	72.9827022	0.5342105	A_24_P85418	Homo sapiens cDNA clone IMAGE:5310797. [BC041996]	BC041996
277	0.0000836	0.0059461	2962.280263	1680.615924	1.7626158	A_23_P334021	Homo sapiens insulin-like growth factor 2 receptor (IGF2R), mRNA [NM_000876]	IGF2R
278	0.0000841	0.0059461	4839.193954	8154.688727	0.5934247	A_23_P44674	Homo sapiens cysteine-rich protein 1 (intestinal) (CRIP1), mRNA [NM_001311]	CRIP1
279	0.0000846	0.0059461	4713.060809	3178.07747	1.4829912	A_23_P257924	Homo sapiens v-ets erythroblastosis virus E26 oncogene homolog 2 (avian) (ETS2), mRNA [NM_005239]	ETS2
280	0.0000846	0.0059461	330.9242052	179.0513967	1.8482079	A_23_P32955	Human cellular proto-oncogene (c-mer) mRNA, complete cds. [U08023]	MERTK
281	0.0000849	0.0059461	100.6181443	69.5389887	1.4469314	A_23_P305692	Homo sapiens ELMO/CED-12 domain containing 2 (ELMOD2), mRNA [NM_153702]	ELMOD2
282	0.0000851	0.0059461	572.9120113	389.4482049	1.4710865	A_32_P101844	PREDICTED: Homo sapiens similar to nuclear receptor binding factor 2 (LOC649551), mRNA [XR_019214]	LOC649551
283	0.0000869	0.0060505	165.6781467	256.8023913	0.6451581	A_23_P20427	Homo sapiens Rho-related BTB domain containing 2 (RHOBTB2), mRNA [NM_015178]	RHOBTB2
284	0.0000875	0.0060708	151.4194712	92.5353092	1.6363426	A_23_P94494	Homo sapiens transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila) (TLE4), mRNA [NM_007005]	TLE4
285	0.0000892	0.006167	12476.29804	20418.18624	0.6110385	A_23_P352861	Homo sapiens T cell receptor beta variable 5-4, mRNA (cDNA clone MGC:40031 IMAGE:5217067), complete cds. [BC028083]	TRBV5-4
286	0.0000897	0.0061712	246.60837	360.8231933	0.6834604	A_24_P4212	Homo sapiens pyrroline-5-carboxylate reductase-like (PYCRL), mRNA [NM_023078]	PYCRL
287	0.00009	0.0061712	10194.71593	7286.353668	1.3991519	A_23_P29248	Homo sapiens thiosulfate sulfurtransferase (rhodanese) (TST), nuclear gene encoding mitochondrial protein, mRNA [NM_003312]	TST
288	0.0000902	0.0061712	477.4448438	288.1743231	1.6567918	A_23_P150281	Homo sapiens tumor protein p53 inducible protein 11 (TP53I11), mRNA [NM_001076787]	TP53I11
289	0.0000906	0.0061771	157.3239114	106.6945579	1.4745261	A_23_P397671	Homo sapiens complement component (3b/4b) receptor 1 (Knops blood group) (CR1), transcript variant S, mRNA [NM_000651]	CR1
290	0.0000914	0.0062102	6496.482878	4404.549061	1.4749485	A_24_P114124	Homo sapiens lysosomal associated multispanning membrane protein 5 (LAPTM5), mRNA [NM_006762]	LAPTM5
291	0.0000919	0.0062138	62.4692074	131.6794183	0.4744037	A_32_P57810	Homo sapiens ring finger protein 157 (RNF157), mRNA [NM_052916]	RNF157
292	0.0000921	0.0062138	665.1891391	385.0908432	1.7273564	A_24_P148321	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
293	0.0000924	0.0062138	4822.511801	8280.667935	0.582382	A_24_P110601	Unknown	A_24_P110601
294	0.0000946	0.006332	1164.917617	812.4949275	1.4337537	A_32_P86400	Homo sapiens LysM, putative peptidoglycan-binding, domain containing 3 (LYSMD3), mRNA [NM_198273]	LYSMD3
295	0.0000948	0.006332	1455.300992	2316.638443	0.6281951	A_24_P128001	Homo sapiens zinc finger protein 395 (ZNF395), mRNA [NM_018660]	ZNF395
296	0.0000976	0.006495	120.6341902	167.1883754	0.7215465	A_23_P25019	Homo sapiens primase, polypeptide 1, 49kDa (PRIM1), mRNA [NM_000946]	PRIM1
297	0.0000979	0.006495	2418.237833	1570.059344	1.5402207	A_23_P343935	Homo sapiens egl nine homolog 1 (C. elegans) (EGLN1), mRNA [NM_022051]	EGLN1
298	0.0001016	0.0067179	8676.773215	5382.220771	1.6121177	A_24_P201064	Homo sapiens cDNA FLJ34675 fis, clone LIVER2001608. [AK091994]	LOC286044
299	0.0001023	0.0067415	1198.406455	791.7425338	1.5136315	A_24_P32151	Homo sapiens family with sequence similarity 101, member B (FAM101B), mRNA [NM_182705]	FAM101B
300	0.0001039	0.0068242	1267.391229	961.2049762	1.3185442	A_23_P213069	Homo sapiens transmembrane protein 33 (TMEM33), mRNA [NM_018126]	TMEM33
301	0.0001068	0.0069913	34.0295567	23.9716852	1.419573	A_24_P189415	Homo sapiens hydroxysteroid dehydrogenase like 2 (HSDL2), mRNA [NM_032303]	HSDL2
302	0.0001087	0.0070921	363.3801913	241.7682476	1.5030104	A_24_P291826	Homo sapiens synaptotagmin-like 3 (SYTL3), mRNA [NM_001009991]	SYTL3
303	0.0001097	0.0071338	384.1019083	229.9144912	1.6706294	A_32_P224094	Human zinc finger protein (ZNF143) mRNA, complete cds. [U09850]	ZNF143
304	0.0001104	0.0071557	999.8939093	624.5922338	1.6008747	A_23_P201538	Homo sapiens jun oncogene (JUN), mRNA [NM_002228]	JUN
305	0.0001125	0.0072099	186.2535832	302.8129413	0.615078	A_23_P6293	Homo sapiens ubiquitin associated and SH3 domain containing, A (UBASH3A), transcript variant 1, mRNA [NM_018961]	UBASH3A
