Accession No.	Gene Symbol	Exon.ID	P.Value	adj.P.Val	Transcript.ID	gene_assignment
NM_015178	RHOBTB2	3089757	0.000261276	0.266621232	3089740	NM_015178 // RHOBTB2 // Rho-related BTB domain containing 2 // 8p21.3 // 23221 /// ENST00000251822 // RHOBTB2 // Rho-related BTB domain containing 2 // 8p21.3 // 23221 /// AB018260 // RHOBTB2 // Rho-related BTB domain containing 2 // 8p21.3 // 23221
NM_170600	SH2D3C	3226044	0.000263155	0.267476428	3226041	NM_170600 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// NM_005489 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// ENST00000314830 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// ENST00000373277 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// ENST00000373276 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// ENST00000373274 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// ENST00000393724 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044 /// AK128287 // SH2D3C // SH2 domain containing 3C // 9q34.11 // 10044
NM_020801	ARRDC3	2866712	0.000267254	0.270400436	2866704	NM_020801 // ARRDC3 // arrestin domain containing 3 // 5q14.3 // 57561 /// ENST00000265138 // ARRDC3 // arrestin domain containing 3 // 5q14.3 // 57561 /// BC053619 // ARRDC3 // arrestin domain containing 3 // 5q14.3 // 57561
NM_000885	ITGA4	2518298	0.000268134	0.270400436	2518272	NM_000885 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// ENST00000397033 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// L12002 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// ENST00000233573 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676 /// ENST00000339307 // ITGA4 // integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) // 2q31.3 // 3676
NM_031157	HNRNPA1	3416504	0.000271242	0.272466205	3416483	NM_031157 // HNRNPA1 // heterogeneous nuclear ribonucleoprotein A1 // 12q13.1 // 3178 /// NM_002136 // HNRNPA1 // heterogeneous nuclear ribonucleoprotein A1 // 12q13.1 // 3178 /// NR_002944 // HNRPA1L-2 // heterogeneous nuclear ribonucleoprotein A1 pseudogene // 19p13.2 // 664709 /// ENST00000340913 // HNRNPA1 // heterogeneous nuclear ribonucleoprotein A1 // 12q13.1 // 3178 /// ENST00000330752 // HNRNPA1 // heterogeneous nuclear ribonucleoprotein A1 // 12q13.1 // 3178 /// ENST00000357495 // RP11-78J21.1 // heterogeneous nuclear ribonucleoprotein A1-like // 13q14.3 // 144983 /// BC009600 // HNRNPA1 // heterogeneous nuclear ribonucleoprotein A1 // 12q13.1 // 3178 /// BC108266 // RP11-78J21.1 // heterogeneous nuclear ribonucleoprotein A1-like // 13q14.3 // 144983 /// NR_003277 // LOC728643 // heterogeneous nuclear ribonucleoprotein A1 pseudogene // 10q11.22 // 728643 /// BC121134 // LOC729423 // similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1) (HDP) // 1p32.2 // 729423
NM_002392	MDM2	3421307	0.000272416	0.272580386	3421300	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_031459	SESN2	2327409	0.000273708	0.272606003	2327391	NM_031459 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// ENST00000253063 // SESN2 // sestrin 2 // 1p35.3 // 83667 /// AY123223 // SESN2 // sestrin 2 // 1p35.3 // 83667
NM_172217	IL16	3604349	0.000274562	0.272606003	3604287	NM_172217 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// NM_004513 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000360547 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000355368 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000302987 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394653 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394652 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394660 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000329842 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394655 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// AL833554 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603
NM_181802	UBE2C	3887067	0.000275914	0.272733136	3887049	NM_181802 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_007019 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181799 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181800 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181801 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// NM_181803 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000356455 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000372579 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000335046 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000352551 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000372568 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// ENST00000243893 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065 /// BC032677 // UBE2C // ubiquitin-conjugating enzyme E2C // 20q13.12 // 11065
NM_001813	CENPE	2780197	0.000276811	0.272733136	2780172	NM_001813 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000265148 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000394771 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062 /// ENST00000380026 // CENPE // centromere protein E, 312kDa // 4q24-q25 // 1062
NM_030919	FAM83D	3884897	0.000278193	0.273048521	3884892	NM_030919 // FAM83D // family with sequence similarity 83, member D // 20q11.22-q12 // 81610 /// ENST00000217429 // FAM83D // family with sequence similarity 83, member D // 20q11.22-q12 // 81610 /// AK095660 // FAM83D // family with sequence similarity 83, member D // 20q11.22-q12 // 81610
NM_000090	COL3A1	2519660	0.000280109	0.27388411	2519577	NM_000090 // COL3A1 // collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) // 2q31 // 1281 /// ENST00000304636 // COL3A1 // collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) // 2q31 // 1281 /// BC028178 // COL3A1 // collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) // 2q31 // 1281 /// ENST00000317840 // COL3A1 // collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant) // 2q31 // 1281
NM_016426	GTSE1	3949056	0.000283325	0.27597935	3949055	NM_016426 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512 /// ENST00000361934 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512 /// BC075828 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512 /// ENST00000160874 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512
NM_001040694	INCENP	3333381	0.000288862	0.279711291	3333358	NM_001040694 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// NM_020238 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// ENST00000278849 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// AF282265 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619 /// ENST00000394818 // INCENP // inner centromere protein antigens 135/155kDa // 11q12-q13 // 3619
NM_001113349	ECE1	2400557	0.000289332	0.279711291	2400518	NM_001113349 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// NM_001113347 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// NM_001397 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// NM_001113348 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// ENST00000357071 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// ENST00000374893 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// ENST00000264205 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// BC117256 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889 /// ENST00000374894 // ECE1 // endothelin converting enzyme 1 // 1p36.1 // 1889
NM_002392	MDM2	3421329	0.000291379	0.280483063	3421300	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_201555	FHL2	2568695	0.000293596	0.280483063	2568687	NM_201555 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// NM_001450 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// NM_201557 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// NM_001039492 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000393352 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000322142 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000344213 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000358129 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// BC012742 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000393353 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274 /// ENST00000336660 // FHL2 // four and a half LIM domains 2 // 2q12-q14 // 2274
NM_021873	CDC25B	3874472	0.000294821	0.280483063	3874438	NM_021873 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// NM_004358 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// NM_021872 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// ENST00000245960 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// ENST00000344256 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// ENST00000340833 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// BC051711 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// ENST00000379598 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994 /// ENST00000399628 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 994
NM_005480	TROAP	3413910	0.000296196	0.280483063	3413875	NM_005480 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// NM_001100620 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// ENST00000257909 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// ENST00000380327 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// U04810 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024
NM_024637	GAL3ST4	3063796	0.000298008	0.280483063	3063795	NM_024637 // GAL3ST4 // galactose-3-O-sulfotransferase 4 // 7q22.1 // 79690 /// ENST00000360039 // GAL3ST4 // galactose-3-O-sulfotransferase 4 // 7q22.1 // 79690 /// AK092367 // GAL3ST4 // galactose-3-O-sulfotransferase 4 // 7q22.1 // 79690
NM_018369	DEPDC1B	2858632	0.000298155	0.280483063	2858592	NM_018369 // DEPDC1B // DEP domain containing 1B // 5q12.1 // 55789 /// ENST00000265036 // DEPDC1B // DEP domain containing 1B // 5q12.1 // 55789 /// AF303178 // DEPDC1B // DEP domain containing 1B // 5q12.1 // 55789
NM_005665	EVI5	2423072	0.000298273	0.280483063	2423017	NM_005665 // EVI5 // ecotropic viral integration site 5 // 1p22.1 // 7813 /// ENST00000370331 // EVI5 // ecotropic viral integration site 5 // 1p22.1 // 7813 /// AF008915 // EVI5 // ecotropic viral integration site 5 // 1p22.1 // 7813 /// ENST00000338689 // EVI5 // ecotropic viral integration site 5 // 1p22.1 // 7813
NM_032866	CGNL1	3595396	0.000298856	0.280483063	3595315	NM_032866 // CGNL1 // cingulin-like 1 // 15q21.3 // 84952 /// ENST00000281282 // CGNL1 // cingulin-like 1 // 15q21.3 // 84952 /// AY274808 // CGNL1 // cingulin-like 1 // 15q21.3 // 84952
NM_004059	CCBL1	3226758	0.000302712	0.283068659	3226737	NM_004059 // CCBL1 // cysteine conjugate-beta lyase, cytoplasmic // 9q34.11 // 883 /// NM_001122671 // CCBL1 // cysteine conjugate-beta lyase, cytoplasmic // 9q34.11 // 883 /// NM_001122672 // CCBL1 // cysteine conjugate-beta lyase, cytoplasmic // 9q34.11 // 883 /// ENST00000302586 // CCBL1 // cysteine conjugate-beta lyase, cytoplasmic // 9q34.11 // 883 /// ENST00000320665 // CCBL1 // cysteine conjugate-beta lyase, cytoplasmic // 9q34.11 // 883 /// BC021262 // CCBL1 // cysteine conjugate-beta lyase, cytoplasmic // 9q34.11 // 883 /// ENST00000372610 // CCBL1 // cysteine conjugate-beta lyase, cytoplasmic // 9q34.11 // 883
NM_001040619	ATF3	2379153	0.000307716	0.286277449	2379132	NM_001040619 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// NM_004024 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// NM_001674 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// NM_001030287 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000391902 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000366983 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000341491 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000366987 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000366984 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000336937 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000366981 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// ENST00000366985 // ATF3 // activating transcription factor 3 // 1q32.3 // 467 /// AB209032 // ATF3 // activating transcription factor 3 // 1q32.3 // 467
NM_201599	ZMYM3	4011908	0.00030837	0.286277449	4011889	NM_201599 // ZMYM3 // zinc finger, MYM-type 3 // Xq13.1 // 9203 /// NM_005096 // ZMYM3 // zinc finger, MYM-type 3 // Xq13.1 // 9203 /// ENST00000314425 // ZMYM3 // zinc finger, MYM-type 3 // Xq13.1 // 9203 /// ENST00000353904 // ZMYM3 // zinc finger, MYM-type 3 // Xq13.1 // 9203 /// ENST00000373998 // ZMYM3 // zinc finger, MYM-type 3 // Xq13.1 // 9203 /// ENST00000373981 // ZMYM3 // zinc finger, MYM-type 3 // Xq13.1 // 9203 /// X95808 // ZMYM3 // zinc finger, MYM-type 3 // Xq13.1 // 9203
NM_181671	PITPNC1	3732352	0.000313296	0.289804623	3732230	NM_181671 // PITPNC1 // phosphatidylinositol transfer protein, cytoplasmic 1 // 17q24.2 // 26207 /// NM_012417 // PITPNC1 // phosphatidylinositol transfer protein, cytoplasmic 1 // 17q24.2 // 26207 /// ENST00000299954 // PITPNC1 // phosphatidylinositol transfer protein, cytoplasmic 1 // 17q24.2 // 26207 /// ENST00000335257 // PITPNC1 // phosphatidylinositol transfer protein, cytoplasmic 1 // 17q24.2 // 26207 /// BC007905 // PITPNC1 // phosphatidylinositol transfer protein, cytoplasmic 1 // 17q24.2 // 26207
NM_145170	TTC18	3294377	0.000319522	0.294504474	3294361	NM_145170 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// ENST00000355577 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// ENST00000310715 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// BC032856 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// ENST00000394865 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// ENST00000394864 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// ENST00000372928 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// ENST00000340329 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491 /// ENST00000394862 // TTC18 // tetratricopeptide repeat domain 18 // 10q22.2 // 118491
NM_016426	GTSE1	3949082	0.000324695	0.297779288	3949055	NM_016426 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512 /// ENST00000361934 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512 /// BC075828 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512 /// ENST00000160874 // GTSE1 // G-2 and S-phase expressed 1 // 22q13.2-q13.3 // 51512
NM_005072	SLC12A4	3696111	0.00032555	0.297779288	3696057	NM_005072 // SLC12A4 // solute carrier family 12 (potassium/chloride transporters), member 4 // 16q22.1 // 6560 /// ENST00000316341 // SLC12A4 // solute carrier family 12 (potassium/chloride transporters), member 4 // 16q22.1 // 6560 /// AF054505 // SLC12A4 // solute carrier family 12 (potassium/chloride transporters), member 4 // 16q22.1 // 6560 /// ENST00000338335 // SLC12A4 // solute carrier family 12 (potassium/chloride transporters), member 4 // 16q22.1 // 6560
NM_001761	CCNF	3644809	0.000326549	0.297779288	3644764	NM_001761 // CCNF // cyclin F // 16p13.3 // 899 /// NR_003574 // ABCA17P // ATP-binding cassette, sub-family A (ABC1), member 17 (pseudogene) // 16p13.3 // 650655 /// ENST00000293968 // CCNF // cyclin F // 16p13.3 // 899 /// BC012349 // CCNF // cyclin F // 16p13.3 // 899 /// ENST00000397066 // CCNF // cyclin F // 16p13.3 // 899
NM_172217	IL16	3604338	0.000330474	0.300169327	3604287	NM_172217 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// NM_004513 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000360547 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000355368 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000302987 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394653 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394652 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394660 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000329842 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// ENST00000394655 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603 /// AL833554 // IL16 // interleukin 16 (lymphocyte chemoattractant factor) // 15q26.3 // 3603
NM_005480	TROAP	3413914	0.000331505	0.300169327	3413875	NM_005480 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// NM_001100620 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// ENST00000257909 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// ENST00000380327 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024 /// U04810 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024
NM_024307	GDPD3	3687489	0.000334512	0.301830039	3687475	NM_024307 // GDPD3 // glycerophosphodiester phosphodiesterase domain containing 3 // 16p11.2 // 79153 /// ENST00000323517 // GDPD3 // glycerophosphodiester phosphodiesterase domain containing 3 // 16p11.2 // 79153 /// ENST00000360688 // GDPD3 // glycerophosphodiester phosphodiesterase domain containing 3 // 16p11.2 // 79153 /// AK026256 // GDPD3 // glycerophosphodiester phosphodiesterase domain containing 3 // 16p11.2 // 79153
NM_002160	TNC	3222175	0.000335874	0.301998914	3222170	NM_002160 // TNC // tenascin C (hexabrachion) // 9q33 // 3371 /// ENST00000350763 // TNC // tenascin C (hexabrachion) // 9q33 // 3371 /// M55618 // TNC // tenascin C (hexabrachion) // 9q33 // 3371 /// ENST00000341037 // TNC // tenascin C (hexabrachion) // 9q33 // 3371 /// ENST00000340094 // TNC // tenascin C (hexabrachion) // 9q33 // 3371 /// ENST00000346706 // TNC // tenascin C (hexabrachion) // 9q33 // 3371 /// ENST00000345230 // TNC // tenascin C (hexabrachion) // 9q33 // 3371
NM_014237	ADAM18	3095176	0.000340733	0.304073093	3095152	NM_014237 // ADAM18 // ADAM metallopeptidase domain 18 // 8p11.22 // 8749 /// ENST00000265707 // ADAM18 // ADAM metallopeptidase domain 18 // 8p11.22 // 8749 /// BC121045 // ADAM18 // ADAM metallopeptidase domain 18 // 8p11.22 // 8749 /// ENST00000379866 // ADAM18 // ADAM metallopeptidase domain 18 // 8p11.22 // 8749
NM_002314	LIMK1	3008134	0.000341691	0.304073093	3008108	NM_002314 // LIMK1 // LIM domain kinase 1 // 7q11.23 // 3984 /// ENST00000336180 // LIMK1 // LIM domain kinase 1 // 7q11.23 // 3984 /// D26309 // LIMK1 // LIM domain kinase 1 // 7q11.23 // 3984
NM_014801	PCNXL2	2461113	0.000341728	0.304073093	2461037	NM_014801 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// ENST00000258229 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// ENST00000344698 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// ENST00000324142 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// AK092353 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003
NM_018685	ANLN	2997377	0.000344949	0.305880782	2997376	NM_018685 // ANLN // anillin, actin binding protein // 7p15-p14 // 54443 /// ENST00000265748 // ANLN // anillin, actin binding protein // 7p15-p14 // 54443 /// BC070066 // ANLN // anillin, actin binding protein // 7p15-p14 // 54443 /// ENST00000396068 // ANLN // anillin, actin binding protein // 7p15-p14 // 54443
