# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_007048|NM_007048	hgnc_symbol|BTN3A1|BTN3A1
refseq_dna|NM_014437|NM_014437	hgnc_symbol|SLC39A1|SLC39A1
refseq_dna|NM_000603|NM_000603	hgnc_symbol|NOS3|NOS3
refseq_dna|NM_020994|NM_020994	hgnc_symbol|CTAG2|CTAG2
refseq_dna|NM_004156|NM_004156	hgnc_symbol|PPP2CB|PPP2CB
refseq_dna|NM_000918|NM_000918	hgnc_symbol|P4HB|P4HB
refseq_dna|NM_003449|NM_003449	hgnc_symbol|TRIM26|TRIM26
refseq_dna|NM_024665|NM_024665	hgnc_symbol|TBL1XR1|TBL1XR1
refseq_dna|NM_003965|NM_003965	hgnc_symbol|CCRL2|CCRL2
refseq_dna|NM_017919|NM_017919	hgnc_symbol|STX17|STX17
refseq_dna|NM_013452|NM_013452	hgnc_symbol|VCX|VCX
refseq_dna|NM_016006|NM_016006	hgnc_symbol|ABHD5|ABHD5
refseq_dna|NM_006290|NM_006290	hgnc_symbol|TNFAIP3|TNFAIP3
refseq_dna|NM_003301|NM_003301	hgnc_symbol|TRHR|TRHR
refseq_dna|NM_021730|NM_021730
refseq_dna|NM_020386|NM_020386	hgnc_symbol|HRASLS|HRASLS
refseq_dna|XM_032672|XM_032672
refseq_dna|NM_018139|NM_018139	hgnc_symbol|DNAAF2|DNAAF2
refseq_dna|NM_001250|NM_001250	hgnc_symbol|CD40|CD40
refseq_dna|NM_020673|NM_020673	hgnc_symbol|RAB22A|RAB22A
refseq_dna|NM_001980|NM_001980	hgnc_symbol|STX2|STX2
refseq_dna|NM_014273|NM_014273	hgnc_symbol|ADAMTS6|ADAMTS6
refseq_dna|NM_022461|NM_022461	hgnc_symbol|AZI2|AZI2
refseq_dna|NM_016082|NM_016082	hgnc_symbol|CDK5RAP1|CDK5RAP1
refseq_dna|NM_004799|NM_004799	hgnc_symbol|ZFYVE9|ZFYVE9
refseq_dna|NM_000026|NM_000026	hgnc_symbol|ADSL|ADSL
refseq_dna|NM_013243|NM_013243	hgnc_symbol|SCG3|SCG3
refseq_dna|XM_034123|XM_034123
refseq_dna|NM_021627|NM_021627	hgnc_symbol|SENP2|SENP2
refseq_dna|NM_001709|NM_001709	hgnc_symbol|BDNF|BDNF
refseq_dna|XM_018336|XM_018336
refseq_dna|NM_005321|NM_005321	hgnc_symbol|HIST1H1E|HIST1H1E
refseq_dna|NM_000270|NM_000270	hgnc_symbol|PNP|PNP
refseq_dna|NM_006852|NM_006852	hgnc_symbol|TLK2|TLK2
refseq_dna|NM_025181|NM_025181	hgnc_symbol|SLC35F5|SLC35F5
refseq_dna|NM_014481|NM_014481	hgnc_symbol|APEX2|APEX2
refseq_dna|NM_005348|NM_005348	hgnc_symbol|HSP90AA1|HSP90AA1
refseq_dna|NM_018053|NM_018053	hgnc_symbol|XKR8|XKR8
refseq_dna|NM_006200|NM_006200	hgnc_symbol|PCSK5|PCSK5
refseq_dna|NM_006636|NM_006636	hgnc_symbol|MTHFD2|MTHFD2
refseq_dna|NM_000868|NM_000868	hgnc_symbol|HTR2C|HTR2C
refseq_dna|NM_020995|NM_020995	hgnc_symbol|HPR|HPR
refseq_dna|NM_018094|NM_018094	hgnc_symbol|GSPT2|GSPT2
refseq_dna|NM_030641|NM_030641	hgnc_symbol|APOL6|APOL6
refseq_dna|NM_018268|NM_018268	hgnc_symbol|WDR41|WDR41
refseq_dna|NM_012076|NM_012076	hgnc_symbol|CRB1|CRB1
refseq_dna|NM_016576|NM_016576	hgnc_symbol|GMPR2|GMPR2
refseq_dna|NM_020636|NM_020636
refseq_dna|NM_005618|NM_005618	hgnc_symbol|DLL1|DLL1
refseq_dna|NM_003157|NM_003157	hgnc_symbol|NEK4|NEK4
refseq_dna|NM_014680|NM_014680
refseq_dna|NM_000258|NM_000258	hgnc_symbol|MYL3|MYL3
refseq_dna|NM_014237|NM_014237	hgnc_symbol|ADAM18|ADAM18
refseq_dna|NM_001236|NM_001236	hgnc_symbol|CBR3|CBR3
entrezgene|Y15056|5170	hgnc_symbol|PDPK1|PDPK1
refseq_dna|NM_002186|NM_002186	hgnc_symbol|IL9R|IL9R
refseq_dna|NM_003177|NM_003177	hgnc_symbol|SYK|SYK
refseq_dna|NM_024615|NM_024615	hgnc_symbol|PARP8|PARP8
refseq_dna|NM_006834|NM_006834	hgnc_symbol|RAB32|RAB32
refseq_dna|NM_000214|NM_000214	hgnc_symbol|JAG1|JAG1
refseq_dna|NM_006603|NM_006603	hgnc_symbol|STAG2|STAG2
refseq_dna|NM_005752|NM_005752	hgnc_symbol|CLEC3A|CLEC3A
refseq_dna|NM_006453|NM_006453	hgnc_symbol|TBL3|TBL3
refseq_dna|NM_005759|NM_005759	hgnc_symbol|ABI2|ABI2
refseq_dna|NM_001679|NM_001679	hgnc_symbol|ATP1B3|ATP1B3
refseq_dna|NM_005378|NM_005378	hgnc_symbol|MYCN|MYCN
refseq_dna|NM_001862|NM_001862	hgnc_symbol|COX5B|COX5B
refseq_dna|NM_013384|NM_013384	hgnc_symbol|CERS2|CERS2
refseq_dna|NM_004135|NM_004135	hgnc_symbol|IDH3G|IDH3G
refseq_dna|NM_012190|NM_012190	hgnc_symbol|ALDH1L1|ALDH1L1
refseq_dna|NM_007269|NM_007269	hgnc_symbol|STXBP3|STXBP3
refseq_dna|NM_015987|NM_015987	hgnc_symbol|HEBP1|HEBP1
refseq_dna|NM_006622|NM_006622	hgnc_symbol|PLK2|PLK2
refseq_dna|NM_014606|NM_014606
refseq_dna|NM_000956|NM_000956	hgnc_symbol|PTGER2|PTGER2
refseq_dna|NM_024849|NM_024849
refseq_dna|NM_021151|NM_021151	hgnc_symbol|CROT|CROT
refseq_dna|NM_020182|NM_020182	hgnc_symbol|PMEPA1|PMEPA1
refseq_dna|NM_012408|NM_012408	hgnc_symbol|ZMYND8|ZMYND8
refseq_dna|NM_012239|NM_012239	hgnc_symbol|SIRT3|SIRT3
refseq_dna|NM_016282|NM_016282	hgnc_symbol|AK3|AK3
refseq_dna|NM_015926|NM_015926	hgnc_symbol|TEX264|TEX264
refseq_dna|NM_005718|NM_005718	hgnc_symbol|ARPC4|ARPC4
refseq_dna|NM_004092|NM_004092	hgnc_symbol|ECHS1|ECHS1
refseq_dna|NM_015912|NM_015912
refseq_dna|NM_021032|NM_021032	hgnc_symbol|FGF12|FGF12
refseq_dna|NM_000251|NM_000251	hgnc_symbol|MSH2|MSH2
refseq_dna|NM_006886|NM_006886	hgnc_symbol|ATP5E|ATP5E
refseq_dna|XM_003947|XM_003947
refseq_dna|NM_015540|NM_015540	hgnc_symbol|RPAP1|RPAP1
refseq_dna|NM_016413|NM_016413	hgnc_symbol|CPB2|CPB2
refseq_dna|XM_015699|XM_015699
refseq_dna|NM_004066|NM_004066	hgnc_symbol|CETN1|CETN1
refseq_dna|NM_020425|NM_020425	hgnc_symbol|SMIM8|SMIM8
refseq_dna|NM_006932|NM_006932	hgnc_symbol|SMTN|SMTN
refseq_dna|NM_000546|NM_000546	hgnc_symbol|TP53|TP53
refseq_dna|NM_021235|NM_021235	hgnc_symbol|EPS15L1|EPS15L1
refseq_dna|NM_015364|NM_015364	hgnc_symbol|LY96|LY96
refseq_dna|NM_018844|NM_018844	hgnc_symbol|BCAP29|BCAP29
refseq_dna|NM_018487|NM_018487	hgnc_symbol|TMEM176A|TMEM176A
refseq_dna|NM_004896|NM_004896	hgnc_symbol|VPS26A|VPS26A
refseq_dna|NM_002819|NM_002819	hgnc_symbol|PTBP1|PTBP1
refseq_dna|NM_022046|NM_022046	hgnc_symbol|KLK14|KLK14
refseq_dna|NM_000994|NM_000994	hgnc_symbol|RPL32|RPL32
refseq_dna|NM_005742|NM_005742	hgnc_symbol|PDIA6|PDIA6
refseq_dna|NM_002140|NM_002140	hgnc_symbol|HNRNPK|HNRNPK
refseq_dna|NM_001219|NM_001219	hgnc_symbol|CALU|CALU
refseq_dna|NM_004245|NM_004245	hgnc_symbol|TGM5|TGM5
refseq_dna|NM_017972|NM_017972	hgnc_symbol|GPATCH2L|GPATCH2L
refseq_dna|NM_000987|NM_000987	hgnc_symbol|RPL26|RPL26
refseq_dna|NM_014949|NM_014949
refseq_dna|NM_002882|NM_002882	hgnc_symbol|RANBP1|RANBP1
refseq_dna|NM_006620|NM_006620	hgnc_symbol|HBS1L|HBS1L
refseq_dna|NM_020428|NM_020428	hgnc_symbol|SLC44A2|SLC44A2
refseq_dna|NM_024780|NM_024780	hgnc_symbol|TMC5|TMC5
refseq_dna|NM_024534|NM_024534	hgnc_symbol|MICU1|MICU1
refseq_dna|NM_020380|NM_020380	hgnc_symbol|CASC5|CASC5
refseq_dna|NM_015919|NM_015919	hgnc_symbol|ZNF226|ZNF226
refseq_dna|NM_001567|NM_001567	hgnc_symbol|INPPL1|INPPL1
refseq_dna|NM_016081|NM_016081	hgnc_symbol|PALLD|PALLD
refseq_dna|NM_018491|NM_018491	hgnc_symbol|CBWD2|CBWD2
refseq_dna|NM_000616|NM_000616	hgnc_symbol|CD4|CD4
refseq_dna|NM_022051|NM_022051	hgnc_symbol|EGLN1|EGLN1
refseq_dna|NM_004557|NM_004557	hgnc_symbol|NOTCH4|NOTCH4
refseq_dna|NM_003384|NM_003384	hgnc_symbol|VRK1|VRK1
refseq_dna|NM_001175|NM_001175	hgnc_symbol|ARHGDIB|ARHGDIB
refseq_dna|NM_004625|NM_004625	hgnc_symbol|WNT7A|WNT7A
refseq_dna|NM_032009|NM_032009	hgnc_symbol|PCDHGC3|PCDHGC3
refseq_dna|NM_014395|NM_014395	hgnc_symbol|DAPP1|DAPP1
refseq_dna|NM_018238|NM_018238	hgnc_symbol|AGK|AGK
refseq_dna|NM_021629|NM_021629	hgnc_symbol|GNB4|GNB4
refseq_dna|NM_020198|NM_020198	hgnc_symbol|CCDC47|CCDC47
refseq_dna|NM_014555|NM_014555	hgnc_symbol|TRPM5|TRPM5
refseq_dna|NM_005441|NM_005441	hgnc_symbol|CHAF1B|CHAF1B
refseq_dna|NM_004078|NM_004078	hgnc_symbol|CSRP1|CSRP1
refseq_dna|NM_024580|NM_024580	hgnc_symbol|EFTUD1|EFTUD1
refseq_dna|NM_013312|NM_013312	hgnc_symbol|HOOK2|HOOK2
refseq_dna|NM_016377|NM_016377	hgnc_symbol|AKAP7|AKAP7
refseq_dna|NM_016308|NM_016308	hgnc_symbol|CMPK1|CMPK1
refseq_dna|NM_020401|NM_020401	hgnc_symbol|NUP107|NUP107
refseq_dna|NM_014883|NM_014883
refseq_dna|NM_002601|NM_002601	hgnc_symbol|PDE6D|PDE6D
refseq_dna|NM_000218|NM_000218	hgnc_symbol|KCNQ1|KCNQ1
refseq_dna|NM_000648|NM_000648	hgnc_symbol|CCR2|CCR2
refseq_dna|NM_001275|NM_001275	hgnc_symbol|CHGA|CHGA
refseq_dna|NM_080282|NM_080282	hgnc_symbol|ABCA10|ABCA10
refseq_dna|NM_017934|NM_017934	hgnc_symbol|PHIP|PHIP
refseq_dna|NM_004791|NM_004791	hgnc_symbol|ITGBL1|ITGBL1
refseq_dna|NM_017873|NM_017873	hgnc_symbol|ASB6|ASB6
refseq_dna|NM_024529|NM_024529	hgnc_symbol|CDC73|CDC73
refseq_dna|NM_016616|NM_016616	hgnc_symbol|NME8|NME8
refseq_dna|NM_006432|NM_006432	hgnc_symbol|NPC2|NPC2
refseq_dna|NM_000577|NM_000577	hgnc_symbol|IL1RN|IL1RN
refseq_dna|NM_002890|NM_002890	hgnc_symbol|RASA1|RASA1
refseq_dna|NM_014813|NM_014813
refseq_dna|NM_015571|NM_015571	hgnc_symbol|SENP6|SENP6
refseq_dna|NM_005496|NM_005496	hgnc_symbol|SMC4|SMC4
refseq_dna|XM_015404|XM_015404
refseq_dna|NM_001647|NM_001647	hgnc_symbol|APOD|APOD
refseq_dna|NM_020196|NM_020196	hgnc_symbol|XAB2|XAB2
refseq_dna|NM_001046|NM_001046	hgnc_symbol|SLC12A2|SLC12A2
refseq_dna|NM_004976|NM_004976	hgnc_symbol|MYOD1|MYOD1
refseq_dna|NM_004974|NM_004974	hgnc_symbol|KCNA2|KCNA2
refseq_dna|NM_022751|NM_022751	hgnc_symbol|GAREM|GAREM
refseq_dna|NM_018359|NM_018359	hgnc_symbol|UFSP2|UFSP2
refseq_dna|NM_018224|NM_018224
refseq_dna|NM_003374|NM_003374	hgnc_symbol|VDAC1|VDAC1
refseq_dna|NM_003479|NM_003479	hgnc_symbol|PTP4A2|PTP4A2
refseq_dna|NM_024972|NM_024972
refseq_dna|NM_015931|NM_015931
refseq_dna|NM_031270|NM_031270
embl|AF033579|AF033579
refseq_dna|NM_006241|NM_006241	hgnc_symbol|PPP1R2|PPP1R2
refseq_dna|NM_012071|NM_012071	hgnc_symbol|COMMD3|COMMD3
refseq_dna|NM_004048|NM_004048	hgnc_symbol|B2M|B2M
refseq_dna|NM_005492|NM_005492	hgnc_symbol|CST8|CST8
embl|AF116636|AF116636
refseq_dna|NM_057093|NM_057093	hgnc_symbol|CRYBA2|CRYBA2
refseq_dna|NM_005667|NM_005667	hgnc_symbol|RNF103|RNF103
refseq_dna|NM_021965|NM_021965	hgnc_symbol|PGM5|PGM5
refseq_dna|NM_005965|NM_005965	hgnc_symbol|MYLK|MYLK
refseq_dna|NM_014348|NM_014348
refseq_dna|NM_014968|NM_014968
refseq_dna|NM_020315|NM_020315	hgnc_symbol|LGALS1|LGALS1
refseq_dna|NM_025246|NM_025246	hgnc_symbol|SLC35G2|SLC35G2
embl|AF118079|AF118079
refseq_dna|NM_001428|NM_001428	hgnc_symbol|ENO1|ENO1
refseq_dna|NM_002386|NM_002386	hgnc_symbol|MC1R|MC1R
refseq_dna|NM_000817|NM_000817	hgnc_symbol|GAD1|GAD1
refseq_dna|NM_003119|NM_003119	hgnc_symbol|SPG7|SPG7
refseq_dna|NM_017674|NM_017674
refseq_dna|NM_022781|NM_022781	hgnc_symbol|RNF38|RNF38
refseq_dna|NM_014357|NM_014357	hgnc_symbol|LCE2B|LCE2B
refseq_dna|NM_002750|NM_002750	hgnc_symbol|MAPK8|MAPK8
refseq_dna|NM_022819|NM_022819	hgnc_symbol|PLA2G2F|PLA2G2F
refseq_dna|NM_017653|NM_017653	hgnc_symbol|DYM|DYM
refseq_dna|NM_005632|NM_005632	hgnc_symbol|SOLH|SOLH
refseq_dna|NM_001156|NM_001156	hgnc_symbol|ANXA7|ANXA7
refseq_dna|NM_000893|NM_000893	hgnc_symbol|KNG1|KNG1
refseq_dna|NM_004613|NM_004613	hgnc_symbol|TGM2|TGM2
refseq_dna|NM_015642|NM_015642	hgnc_symbol|ZBTB20|ZBTB20
refseq_dna|NM_015216|NM_015216	hgnc_symbol|PPIP5K2|PPIP5K2
refseq_dna|NM_006010|NM_006010	hgnc_symbol|MANF|MANF
refseq_dna|NM_002812|NM_002812	hgnc_symbol|PSMD8|PSMD8
refseq_dna|NM_018391|NM_018391
refseq_dna|NM_003785|NM_003785	hgnc_symbol|PAGE1|PAGE1
refseq_dna|NM_005333|NM_005333	hgnc_symbol|HCCS|HCCS
refseq_dna|NM_004246|NM_004246	hgnc_symbol|GLP2R|GLP2R
refseq_dna|NM_022650|NM_022650	hgnc_symbol|RASA1|RASA1
refseq_dna|NM_003014|NM_003014	hgnc_symbol|SFRP4|SFRP4
refseq_dna|NM_000086|NM_000086	hgnc_symbol|CLN3|CLN3
refseq_dna|NM_018045|NM_018045	hgnc_symbol|BSDC1|BSDC1
refseq_dna|NM_004564|NM_004564	hgnc_symbol|PET112|PET112
refseq_dna|NM_014056|NM_014056	hgnc_symbol|HIGD1A|HIGD1A
refseq_dna|NM_018957|NM_018957	hgnc_symbol|LGALS1|LGALS1
refseq_dna|NM_005359|NM_005359	hgnc_symbol|SMAD4|SMAD4
refseq_dna|NM_012081|NM_012081	hgnc_symbol|ELL2|ELL2
refseq_dna|NM_018464|NM_018464	hgnc_symbol|CISD1|CISD1
refseq_dna|NM_025138|NM_025138	hgnc_symbol|PROSER1|PROSER1
refseq_dna|NM_025063|NM_025063	hgnc_symbol|MROH9|MROH9
refseq_dna|NM_004121|NM_004121	hgnc_symbol|GGT5|GGT5
refseq_dna|NM_013337|NM_013337	hgnc_symbol|TIMM22|TIMM22
refseq_dna|NM_014962|NM_014962	hgnc_symbol|BTBD3|BTBD3
refseq_dna|NM_018547|NM_018547
refseq_dna|NM_001828|NM_001828	hgnc_symbol|CLC|CLC
refseq_dna|NM_024613|NM_024613	hgnc_symbol|PLEKHF2|PLEKHF2
entrezgene|U36500|11262	hgnc_symbol|SP140|SP140
entrezgene|AF116653|2533	hgnc_symbol|FYB|FYB
refseq_dna|NM_006663|NM_006663	hgnc_symbol|PPP1R13L|PPP1R13L
refseq_dna|NM_002633|NM_002633	hgnc_symbol|PGM1|PGM1
refseq_dna|NM_003469|NM_003469	hgnc_symbol|SCG2|SCG2
refseq_dna|NM_014771|NM_014771	hgnc_symbol|RNF40|RNF40
refseq_dna|NM_014278|NM_014278	hgnc_symbol|HSPA4L|HSPA4L
refseq_dna|NM_003337|NM_003337	hgnc_symbol|UBE2B|UBE2B
refseq_dna|NM_013327|NM_013327	hgnc_symbol|PARVB|PARVB
refseq_dna|NM_016246|NM_016246	hgnc_symbol|HSD17B14|HSD17B14
refseq_dna|NM_006861|NM_006861	hgnc_symbol|RAB35|RAB35
refseq_dna|NM_018662|NM_018662	hgnc_symbol|DISC1|DISC1
refseq_dna|NM_001671|NM_001671	hgnc_symbol|ASGR1|ASGR1
refseq_dna|NM_001851|NM_001851	hgnc_symbol|COL9A1|COL9A1
entrezgene|BC000474|9540	hgnc_symbol|TP53I3|TP53I3
refseq_dna|NM_003201|NM_003201	hgnc_symbol|TFAM|TFAM
refseq_dna|NM_006135|NM_006135	hgnc_symbol|CAPZA1|CAPZA1
refseq_dna|NM_005107|NM_005107	hgnc_symbol|EXOG|EXOG
refseq_dna|NM_002560|NM_002560	hgnc_symbol|P2RX4|P2RX4
refseq_dna|NM_018352|NM_018352	hgnc_symbol|TMA16|TMA16
refseq_dna|NM_001923|NM_001923	hgnc_symbol|DDB1|DDB1
refseq_dna|NM_001130|NM_001130	hgnc_symbol|AES|AES
refseq_dna|NM_003753|NM_003753	hgnc_symbol|EIF3D|EIF3D
refseq_dna|NM_003608|NM_003608	hgnc_symbol|GPR65|GPR65
refseq_dna|NM_016059|NM_016059	hgnc_symbol|PPIL1|PPIL1
refseq_dna|NM_024087|NM_024087	hgnc_symbol|ASB9|ASB9
refseq_dna|NM_001659|NM_001659	hgnc_symbol|ARF3|ARF3
refseq_dna|NM_007194|NM_007194	hgnc_symbol|CHEK2|CHEK2
refseq_dna|NM_014433|NM_014433	hgnc_symbol|RTDR1|RTDR1
refseq_dna|AC006530_6|30_6
refseq_dna|NM_004784|NM_004784	hgnc_symbol|NDST3|NDST3
refseq_dna|NM_004075|NM_004075	hgnc_symbol|CRY1|CRY1
refseq_dna|NM_000399|NM_000399	hgnc_symbol|EGR2|EGR2
refseq_dna|NM_006838|NM_006838	hgnc_symbol|METAP2|METAP2
refseq_dna|NM_005539|NM_005539	hgnc_symbol|INPP5A|INPP5A
refseq_dna|NM_025204|NM_025204	hgnc_symbol|TRABD|TRABD
refseq_dna|NM_018183|NM_018183	hgnc_symbol|SBNO1|SBNO1
refseq_dna|NM_016622|NM_016622	hgnc_symbol|MRPL35|MRPL35
refseq_dna|NM_014946|NM_014946	hgnc_symbol|SPAST|SPAST
refseq_dna|NM_021931|NM_021931	hgnc_symbol|DHX35|DHX35
refseq_dna|NM_017707|NM_017707	hgnc_symbol|ASAP3|ASAP3
refseq_dna|NM_020143|NM_020143
refseq_dna|NM_006824|NM_006824	hgnc_symbol|EBNA1BP2|EBNA1BP2
embl|AF116642|AF116642
refseq_dna|NM_004555|NM_004555	hgnc_symbol|NFATC3|NFATC3
refseq_dna|NM_024303|NM_024303	hgnc_symbol|ZSCAN5A|ZSCAN5A
refseq_dna|NM_001560|NM_001560	hgnc_symbol|IL13RA1|IL13RA1
refseq_dna|NM_001047|NM_001047	hgnc_symbol|SRD5A1|SRD5A1
refseq_dna|NM_025238|NM_025238	hgnc_symbol|BTBD1|BTBD1
refseq_dna|NM_022575|NM_022575
refseq_dna|NM_021033|NM_021033	hgnc_symbol|RAP2A|RAP2A
refseq_dna|NM_005537|NM_005537	hgnc_symbol|ING1|ING1
refseq_dna|NM_007256|NM_007256	hgnc_symbol|SLCO2B1|SLCO2B1
refseq_dna|NM_005908|NM_005908	hgnc_symbol|MANBA|MANBA
refseq_dna|NM_005906|NM_005906	hgnc_symbol|MAK|MAK
refseq_dna|NM_000596|NM_000596	hgnc_symbol|IGFBP1|IGFBP1
refseq_dna|NM_007350|NM_007350	hgnc_symbol|PHLDA1|PHLDA1
refseq_dna|NM_004815|NM_004815	hgnc_symbol|ARHGAP29|ARHGAP29
refseq_dna|NM_014719|NM_014719	hgnc_symbol|FAM115A|FAM115A
refseq_dna|NM_003376|NM_003376	hgnc_symbol|VEGFA|VEGFA
refseq_dna|NM_014362|NM_014362	hgnc_symbol|HIBCH|HIBCH
refseq_dna|NM_016148|NM_016148	hgnc_symbol|SHANK1|SHANK1
refseq_dna|NM_001769|NM_001769	hgnc_symbol|CD9|CD9
refseq_dna|NM_018333|NM_018333
refseq_dna|NM_000840|NM_000840	hgnc_symbol|GRM3|GRM3
refseq_dna|NM_013987|NM_013987	hgnc_symbol|PARK2|PARK2
refseq_dna|NM_012177|NM_012177	hgnc_symbol|FBXO5|FBXO5
refseq_dna|NM_005077|NM_005077	hgnc_symbol|TLE1|TLE1
refseq_dna|NM_012253|NM_012253	hgnc_symbol|TKTL1|TKTL1
refseq_dna|NM_001153|NM_001153	hgnc_symbol|ANXA4|ANXA4
refseq_dna|NM_016538|NM_016538	hgnc_symbol|SIRT7|SIRT7
refseq_dna|NM_012321|NM_012321	hgnc_symbol|LSM4|LSM4
refseq_dna|NM_004559|NM_004559	hgnc_symbol|YBX1|YBX1
refseq_dna|NM_005377|NM_005377
refseq_dna|NM_005239|NM_005239	hgnc_symbol|ETS2|ETS2
refseq_dna|NM_014255|NM_014255	hgnc_symbol|CNPY2|CNPY2
refseq_dna|NM_022307|NM_022307	hgnc_symbol|ICA1|ICA1
refseq_dna|NM_012094|NM_012094	hgnc_symbol|PRDX5|PRDX5
refseq_dna|NM_031313|NM_031313	hgnc_symbol|ALPPL2|ALPPL2
refseq_dna|NM_014799|NM_014799	hgnc_symbol|HEPH|HEPH
refseq_dna|NM_006246|NM_006246	hgnc_symbol|PPP2R5E|PPP2R5E
refseq_dna|NM_003136|NM_003136	hgnc_symbol|SRP54|SRP54
refseq_dna|NM_017416|NM_017416	hgnc_symbol|IL1RAPL2|IL1RAPL2
refseq_dna|NM_007159|NM_007159	hgnc_symbol|SLMAP|SLMAP
entrezgene|AB018326|9678	hgnc_symbol|PHF14|PHF14
refseq_dna|NM_016287|NM_016287	hgnc_symbol|HP1BP3|HP1BP3
refseq_dna|NM_006282|NM_006282	hgnc_symbol|STK4|STK4
refseq_dna|NM_005854|NM_005854	hgnc_symbol|RAMP2|RAMP2
refseq_dna|NM_001296|NM_001296	hgnc_symbol|CCBP2|CCBP2
refseq_dna|NM_004782|NM_004782	hgnc_symbol|SNAP29|SNAP29
refseq_dna|NM_000043|NM_000043	hgnc_symbol|FAS|FAS
refseq_dna|NM_004409|NM_004409	hgnc_symbol|DMPK|DMPK
refseq_dna|NM_005180|NM_005180	hgnc_symbol|COMMD3|COMMD3
refseq_dna|NM_018471|NM_018471	hgnc_symbol|ZC3H15|ZC3H15
refseq_dna|NM_000116|NM_000116	hgnc_symbol|TAZ|TAZ
refseq_dna|NM_013368|NM_013368	hgnc_symbol|SERTAD3|SERTAD3
refseq_dna|NM_025043|NM_025043
refseq_dna|NM_004790|NM_004790	hgnc_symbol|SLC22A6|SLC22A6
entrezgene|AK024664|10827	hgnc_symbol|FAM114A2|FAM114A2
refseq_dna|NM_015914|NM_015914
refseq_dna|NM_013348|NM_013348	hgnc_symbol|KCNJ14|KCNJ14
refseq_dna|NM_002385|NM_002385	hgnc_symbol|MBP|MBP
refseq_dna|XM_018261|XM_018261
refseq_dna|NM_015417|NM_015417	hgnc_symbol|SPEF1|SPEF1
refseq_dna|NM_007037|NM_007037	hgnc_symbol|ADAMTS8|ADAMTS8
refseq_dna|NM_000526|NM_000526	hgnc_symbol|KRT14|KRT14
refseq_dna|NM_018172|NM_018172	hgnc_symbol|FAM86C1|FAM86C1
refseq_dna|NM_014809|NM_014809
refseq_dna|NM_003942|NM_003942	hgnc_symbol|RPS6KA4|RPS6KA4
refseq_dna|NM_006783|NM_006783	hgnc_symbol|GJB6|GJB6
refseq_dna|NM_021156|NM_021156
refseq_dna|NM_012399|NM_012399	hgnc_symbol|PITPNB|PITPNB
refseq_dna|NM_007357|NM_007357	hgnc_symbol|COG2|COG2
refseq_dna|NM_020144|NM_020144	hgnc_symbol|RADIL|RADIL
refseq_dna|NM_005918|NM_005918	hgnc_symbol|MDH2|MDH2
refseq_dna|NM_016356|NM_016356	hgnc_symbol|DCDC2|DCDC2
refseq_dna|NM_003382|NM_003382	hgnc_symbol|VIPR2|VIPR2
refseq_dna|NM_000048|NM_000048	hgnc_symbol|ASL|ASL
refseq_dna|NM_001776|NM_001776	hgnc_symbol|ENTPD1|ENTPD1
refseq_dna|NM_006342|NM_006342	hgnc_symbol|TACC3|TACC3
refseq_dna|NM_016567|NM_016567	hgnc_symbol|BCCIP|BCCIP
refseq_dna|NM_006746|NM_006746	hgnc_symbol|SCML1|SCML1
refseq_dna|NM_014080|NM_014080	hgnc_symbol|DUOX2|DUOX2
refseq_dna|NM_002815|NM_002815	hgnc_symbol|PSMD11|PSMD11
refseq_dna|NM_006360|NM_006360	hgnc_symbol|EIF3M|EIF3M
refseq_dna|NM_004786|NM_004786	hgnc_symbol|TXNL1|TXNL1
refseq_dna|NM_006926|NM_006926	hgnc_symbol|SFTPA2|SFTPA2
refseq_dna|NM_001422|NM_001422	hgnc_symbol|ELF5|ELF5
refseq_dna|NM_001491|NM_001491	hgnc_symbol|GCNT2|GCNT2
refseq_dna|NM_024950|NM_024950
refseq_dna|NM_016730|NM_016730	hgnc_symbol|FOLR1|FOLR1
refseq_dna|NM_033257|NM_033257	hgnc_symbol|DGCR6L|DGCR6L
refseq_dna|NM_021970|NM_021970	hgnc_symbol|LAMTOR3|LAMTOR3
refseq_dna|NM_002144|NM_002144	hgnc_symbol|HOXB1|HOXB1
refseq_dna|NM_007058|NM_007058	hgnc_symbol|CAPN11|CAPN11
refseq_dna|NM_021974|NM_021974	hgnc_symbol|POLR2F|POLR2F
refseq_dna|NM_022841|NM_022841	hgnc_symbol|RFX7|RFX7
refseq_dna|NM_003985|NM_003985	hgnc_symbol|TNK1|TNK1
refseq_dna|NM_003977|NM_003977	hgnc_symbol|AIP|AIP
refseq_dna|NM_017724|NM_017724	hgnc_symbol|LRRFIP2|LRRFIP2
refseq_dna|NM_002069|NM_002069	hgnc_symbol|GNAI1|GNAI1
refseq_dna|NM_000895|NM_000895	hgnc_symbol|LTA4H|LTA4H
refseq_dna|NM_007040|NM_007040	hgnc_symbol|HNRNPUL1|HNRNPUL1
refseq_dna|NM_015524|NM_015524
refseq_dna|NM_000017|NM_000017	hgnc_symbol|ACADS|ACADS
