Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes overlap with 185 genes associated with cardiovascular disease as identified by IPA	10 genes around loci associated with lipid metabolism as identified by GWAS (ref1 and ref2)	8 genes around loci associated with lipid metabolism and coronary heart disease as identified by GWAS (ref3 and ref4)	41 Lipid associated genes that show sex-biased expression in both human and mouse liver	33 Lipid associated genes that show sex-biased expression in both human and rat liver	21 common lipid associated genes that show sex-biased expression in human, mouse and rat liver	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P149121	chr1:68512123-68512182	DIRAS3	0	0	0	0	0	0	NM_004675	DIRAS family, GTP-binding RAS-like 3	molecular function|GTP binding|IEA|GO:0005525|GOA|na//molecular function|GTPase activity|IEA|GO:0003924|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|regulation of cyclin-dependent protein kinase activity|TAS|GO:0000079|GOA|9874798//biological process|regulation of gene expression by genetic imprinting|TAS|GO:0006349|GOA|9874798//biological process|signal transduction|IEA|GO:0007165|GOA|na//biological process|small GTPase mediated signal transduction|IEA|GO:0007264|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	14	0.7867	-1.2712	8.9703E-09	880.7634	689.2523
A_23_P94338	chr8:120581508-120581567	ENPP2	0	0	0	1	1	1	NM_006209	Ectonucleotide pyrophosphatase/phosphodiesterase 2	molecular function|alkylglycerophosphoethanolamine phosphodiesterase activity|IEA|GO:0047391|GOA|na//molecular function|hydrolase activity|TAS|GO:0016787|GOA|7982964//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|nucleotide diphosphatase activity|TAS|GO:0004551|GOA|8579579//molecular function|phosphodiesterase I activity|TAS|GO:0004528|GOA|7982964//molecular function|polysaccharide binding|IEA|GO:0030247|GOA|na//molecular function|scavenger receptor activity|IEA|GO:0005044|GOA|na//molecular function|transcription factor binding|TAS|GO:0008134|GOA|8586446//biological process|G-protein coupled receptor protein signaling pathway|TAS|GO:0007186|GOA|1733949//biological process|cellular component movement|TAS|GO:0006928|GOA|1733949//biological process|chemotaxis|NAS|GO:0006935|GOA|7982964//biological process|immune response|IEA|GO:0006955|GOA|na//biological process|lipid catabolic process|IEA|GO:0016042|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phosphate metabolic process|TAS|GO:0006796|GOA|8579579//biological process|regulation of cell migration|IDA|GO:0030334|GOA|1733949//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|1733949//cellular component|plasma membrane|TAS|GO:0005886|GOA|8579579	F	16	0.6862	-1.4574	1.0744E-22	2158.3022	1467.3047
A_23_P71319	chr8:11696201-11696260	FDFT1	1	0	0	1	0	0	NM_004462	Farnesyl-diphosphate farnesyltransferase 1	molecular function|farnesyl-diphosphate farnesyltransferase activity|EXP|GO:0004310|GOA|10896663//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|cholesterol biosynthetic process|IEA|GO:0006695|GOA|na//biological process|farnesyl diphosphate metabolic process|IEA|GO:0045338|GOA|na//biological process|isoprenoid biosynthetic process|IEA|GO:0008299|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|steroid biosynthetic process|TAS|GO:0006694|GOA|8474436//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|18029348//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|10896663//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	F	14	0.824	-1.2136	2.298E-07	4951.457	4060.0039
A_23_P14612	chr15:49777580-49777639	FGF7	1	0	0	1	0	0	NM_002009	Fibroblast growth factor 7 (keratinocyte growth factor)	molecular function|chemoattractant activity|IDA|GO:0042056|GOA|17449030//molecular function|growth factor activity|IEA|GO:0008083|GOA|na//molecular function|heparin binding|IEA|GO:0008201|GOA|na//molecular function|type 2 fibroblast growth factor receptor binding|IEA|GO:0005111|GOA|na//biological process|actin cytoskeleton reorganization|IDA|GO:0031532|GOA|17449030//biological process|epidermis development|TAS|GO:0008544|GOA|7973639//biological process|fibroblast growth factor receptor signaling pathway|EXP|GO:0008543|GOA|17133345//biological process|fibroblast growth factor receptor signaling pathway|IGI|GO:0008543|GOA|8663044//biological process|hair follicle morphogenesis|IEA|GO:0031069|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|mesenchymal cell proliferation|IDA|GO:0010463|GOA|11023837//biological process|ovarian follicle development|IEA|GO:0001541|GOA|na//biological process|phosphatidylcholine biosynthetic process|IEA|GO:0006656|GOA|na//biological process|phospholipid biosynthetic process|IEA|GO:0008654|GOA|na//biological process|positive chemotaxis|IDA|GO:0050918|GOA|17449030//biological process|positive regulation of cell division|IEA|GO:0051781|GOA|na//biological process|positive regulation of cell proliferation|IGI|GO:0008284|GOA|8663044//biological process|positive regulation of epithelial cell proliferation|IDA|GO:0050679|GOA|ARRAY(0xf92a14)//biological process|positive regulation of keratinocyte migration|IDA|GO:0051549|GOA|17449030//biological process|positive regulation of keratinocyte proliferation|IDA|GO:0010838|GOA|17449030//biological process|positive regulation of peptidyl-tyrosine phosphorylation|IDA|GO:0050731|GOA|17449030//biological process|protein localization at cell surface|IDA|GO:0034394|GOA|17449030//biological process|response to wounding|TAS|GO:0009611|GOA|7973639//biological process|signal transduction|NAS|GO:0007165|GOA|2475908//biological process|surfactant homeostasis|IEA|GO:0043129|GOA|na//biological process|wound healing|IEA|GO:0042060|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|extracellular region|EXP|GO:0005576|GOA|11294897//cellular component|extracellular space|IEA|GO:0005615|GOA|na	F	15	0.8044	-1.2432	3.3534E-10	1086.0673	863.7772
A_32_P59549	chr10:118030342-118030401	GFRA1	1	0	0	1	1	1	NM_145793	GDNF family receptor alpha 1	molecular function|glial cell line-derived neurotrophic factor receptor activity|TAS|GO:0016167|GOA|10829012//molecular function|receptor activity|NAS|GO:0004872|GOA|na//molecular function|receptor binding|TAS|GO:0005102|GOA|9545641//biological process|cell surface receptor linked signaling pathway|NAS|GO:0007166|GOA|8674117//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extrinsic to membrane|NAS|GO:0019898|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	14	0.8574	-1.1663	3.7375E-17	349.5786	299.6006
A_24_P96505	chr8:21550865-21550914	GFRA2	1	0	0	0	0	0	NM_001495	GDNF family receptor alpha 2	molecular function|glial cell line-derived neurotrophic factor receptor activity|TAS|GO:0016167|GOA|10829012//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|transmembrane receptor protein tyrosine kinase signaling pathway|TAS|GO:0007169|GOA|9192898//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extrinsic to membrane|TAS|GO:0019898|GOA|10829012//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	15	0.7555	-1.3236	1.811E-11	49.8248	37.6217
A_23_P104237	chr10:113913394-113913425	GPAM	1	0	0	1	1	1	NM_020918	Glycerol-3-phosphate acyltransferase, mitochondrial	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|glycerol-3-phosphate O-acyltransferase activity|EXP|GO:0004366|GOA|11546763//molecular function|glycerol-3-phosphate O-acyltransferase activity|IMP|GO:0004366|GOA|18238778//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|fatty acid metabolic process|IEA|GO:0006631|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phospholipid biosynthetic process|IEA|GO:0008654|GOA|na//biological process|positive regulation of multicellular organism growth|IEA|GO:0040018|GOA|na//biological process|triglyceride biosynthetic process|IDA|GO:0019432|GOA|18238778//cellular component|cytosol|EXP|GO:0005829|GOA|11546763//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrial inner membrane|IEA|GO:0005743|GOA|na//cellular component|mitochondrial outer membrane|IEA|GO:0005741|GOA|na//cellular component|mitochondrion|IEA|GO:0005739|GOA|na	F	14	0.7832	-1.2768	0.0002	560.4269	429.7885
A_23_P68240	chr2:96687743-96687802	GPAT2	0	0	0	0	1	0	NM_207328	Glycerol-3-phosphate acyltransferase 2, mitochondrial	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|glycerol-3-phosphate O-acyltransferase activity|ISS|GO:0004366|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|glycerol-3-phosphate metabolic process|ISS|GO:0006072|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phospholipid biosynthetic process|IEA|GO:0008654|GOA|na//biological process|triglyceride biosynthetic process|ISS|GO:0019432|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrial outer membrane|IEA|GO:0005741|GOA|na//cellular component|mitochondrion|ISS|GO:0005739|GOA|na//cellular component|mitochondrion|NAS|GO:0005739|GOA|18658143	M	15	1.1726	1.1726	1.3101E-15	257.4401	302.1767
A_23_P371682	chr13:95050795-95050854	GPC6	1	0	0	0	0	0	NM_005708	Glypican 6	molecular function|heparan sulfate proteoglycan binding|IEA|GO:0043395|GOA|na//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IEA|GO:0005615|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|10329016//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	F	15	0.8612	-1.1612	6.8231E-09	243.8999	208.27
A_24_P353964	chr2:26459795-26459854	HADHA	0	0	0	1	1	1	NM_000182	Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	molecular function|3-hydroxyacyl-CoA dehydrogenase activity|IEA|GO:0003857|GOA|na//molecular function|NAD or NADH binding|IEA|GO:0051287|GOA|na//molecular function|acetyl-CoA C-acetyltransferase activity|TAS|GO:0003985|GOA|8135828//molecular function|acetyl-CoA C-acyltransferase activity|IEA|GO:0003988|GOA|na//molecular function|acyl-CoA binding|IEA|GO:0000062|GOA|na//molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|enoyl-CoA hydratase activity|IEA|GO:0004300|GOA|na//molecular function|long-chain-3-hydroxyacyl-CoA dehydrogenase activity|IEA|GO:0016509|GOA|na//molecular function|long-chain-enoyl-CoA hydratase activity|IEA|GO:0016508|GOA|na//molecular function|lyase activity|IEA|GO:0016829|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//biological process|fatty acid beta-oxidation|IEA|GO:0006635|GOA|na//biological process|fatty acid metabolic process|IEA|GO:0006631|GOA|na//biological process|lipid metabolic process|IEA|GO:0006629|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//cellular component|fatty acid beta-oxidation multienzyme complex|IEA|GO:0016507|GOA|na//cellular component|mitochondrial inner membrane|IEA|GO:0005743|GOA|na//cellular component|mitochondrial matrix|EXP|GO:0005759|GOA|1550553//cellular component|mitochondrial nucleoid|IDA|GO:0042645|GOA|18063578//cellular component|mitochondrion|IDA|GO:0005739|GOA|18029348	F	15	0.8666	-1.1539	0.0013	4332.6636	3719.3394
A_32_P131317	chr16:72110388-72110447	HPR	0	0	0	0	0	0	NM_020995	Haptoglobin-related protein	molecular function|catalytic activity|IEA|GO:0003824|GOA|na//molecular function|hemoglobin binding|NAS|GO:0030492|GOA|2987228//molecular function|serine-type endopeptidase activity|IEA|GO:0004252|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|spherical high-density lipoprotein particle|IDA|GO:0034366|GOA|16682745	M	14	1.1664	1.1664	0.0002	20.8775	24.2404
A_24_P398572	chr12:102789726-102789785	IGF1	1	0	0	1	1	1	NM_001111284	Insulin-like growth factor 1 (somatomedin C)	molecular function|growth factor activity|IEA|GO:0008083|GOA|na//molecular function|hormone activity|IDA|GO:0005179|GOA|7188854//molecular function|hormone activity|IEA|GO:0005179|GOA|na//molecular function|insulin receptor binding|IPI|GO:0005158|GOA|8452530//molecular function|insulin-like growth factor receptor binding|IPI|GO:0005159|GOA|8452530//molecular function|insulin-like growth factor receptor binding|TAS|GO:0005159|GOA|10749889//molecular function|protein binding|IPI|GO:0005515|GOA|10766744//biological process|DNA replication|TAS|GO:0006260|GOA|10766744//biological process|Ras protein signal transduction|TAS|GO:0007265|GOA|10848592//biological process|anti-apoptosis|IDA|GO:0006916|GOA|16942485//biological process|branching morphogenesis of a tube|IEA|GO:0048754|GOA|na//biological process|cellular component movement|TAS|GO:0006928|GOA|10766744//biological process|chondroitin sulfate proteoglycan biosynthetic process|IEA|GO:0050650|GOA|na//biological process|glial cell differentiation|IEA|GO:0010001|GOA|na//biological process|glycolate metabolic process|TAS|GO:0009441|GOA|10448861//biological process|mammary gland development|IEA|GO:0030879|GOA|na//biological process|muscle hypertrophy|IMP|GO:0014896|GOA|10191278//biological process|muscle organ development|TAS|GO:0007517|GOA|10448861//biological process|myoblast differentiation|IDA|GO:0045445|GOA|17531227//biological process|myoblast proliferation|IDA|GO:0051450|GOA|17531227//biological process|myotube cell development|IDA|GO:0014904|GOA|17531227//biological process|negative regulation of smooth muscle cell apoptosis|IDA|GO:0034392|GOA|16942485//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|phosphoinositide-mediated signaling|IDA|GO:0048015|GOA|7692086//biological process|positive regulation of DNA replication|IDA|GO:0045740|GOA|ARRAY(0xb392e0)//biological process|positive regulation of DNA replication|ISS|GO:0045740|GOA|na//biological process|positive regulation of Ras protein signal transduction|IDA|GO:0046579|GOA|9722506//biological process|positive regulation of cell proliferation|IDA|GO:0008284|GOA|ARRAY(0xf8d7e0)//biological process|positive regulation of epithelial cell proliferation|IDA|GO:0050679|GOA|7188854//biological process|positive regulation of fibroblast proliferation|IDA|GO:0048146|GOA|7188854//biological process|positive regulation of gene-specific transcription|IDA|GO:0043193|GOA|9722506//biological process|positive regulation of glycolysis|IDA|GO:0045821|GOA|7688386//biological process|positive regulation of granule cell precursor proliferation|IEA|GO:0021940|GOA|na//biological process|positive regulation of insulin-like growth factor receptor signaling pathway|IDA|GO:0043568|GOA|ARRAY(0x19f1924)//biological process|positive regulation of mitosis|IDA|GO:0045840|GOA|7188854//biological process|positive regulation of peptidyl-tyrosine phosphorylation|IDA|GO:0050731|GOA|7782332//biological process|positive regulation of phosphoinositide 3-kinase cascade|IDA|GO:0014068|GOA|7688386//biological process|positive regulation of smooth muscle cell migration|IDA|GO:0014911|GOA|10766744//biological process|positive regulation of smooth muscle cell proliferation|IDA|GO:0048661|GOA|ARRAY(0x13efeb4)//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|positive regulation of tyrosine phosphorylation of Stat5 protein|IDA|GO:0042523|GOA|9722506//biological process|proteoglycan biosynthetic process|IDA|GO:0030166|GOA|12746903//biological process|regulation of multicellular organism growth|IEP|GO:0040014|GOA|8421089//biological process|regulation of protein metabolic process|IEA|GO:0051246|GOA|na//biological process|regulation of steroid hormone receptor signaling pathway|IDA|GO:0033143|GOA|10459853//biological process|satellite cell maintenance involved in skeletal muscle regeneration|IDA|GO:0014834|GOA|17531227//biological process|signal transduction|TAS|GO:0007165|GOA|10448861//biological process|skeletal system development|TAS|GO:0001501|GOA|10448861//biological process|water homeostasis|IEA|GO:0030104|GOA|na//cellular component|extracellular region|EXP|GO:0005576|GOA|2752154//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|IDA|GO:0005615|GOA|ARRAY(0xfb1034)//cellular component|insulin-like growth factor binding protein complex|IC|GO:0016942|GOA|10766744//cellular component|platelet alpha granule lumen|EXP|GO:0031093|GOA|2752154	M	16	1.3878	1.3878	4.2705E-24	5998.355	8495.7373
A_23_P421379	chr11:2154402-2154754	IGF2	1	0	0	1	0	0	NR_003512	insulin-like growth factor 2 (somatomedin A)	molecular function|growth factor activity|IDA|GO:0008083|GOA|11500939//molecular function|hormone activity|IEA|GO:0005179|GOA|na//molecular function|insulin receptor binding|IPI|GO:0005158|GOA|12138094//molecular function|insulin-like growth factor receptor binding|IEA|GO:0005159|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|10611375//biological process|carbohydrate metabolic process|IEA|GO:0005975|GOA|na//biological process|glucose metabolic process|IEA|GO:0006006|GOA|na//biological process|insulin receptor signaling pathway|TAS|GO:0008286|GOA|1845984//biological process|multicellular organismal development|TAS|GO:0007275|GOA|6382022//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|osteoblast differentiation|IEA|GO:0001649|GOA|na//biological process|positive regulation of MAPKKK cascade|IDA|GO:0043410|GOA|11500939//biological process|positive regulation of cell division|IEA|GO:0051781|GOA|na//biological process|positive regulation of cell proliferation|IC|GO:0008284|GOA|11500939//biological process|positive regulation of insulin receptor signaling pathway|IDA|GO:0046628|GOA|11500939//biological process|positive regulation of mitosis|IDA|GO:0045840|GOA|11500939//biological process|positive regulation of protein kinase B signaling cascade|IDA|GO:0051897|GOA|11500939//biological process|regulation of gene expression by genetic imprinting|TAS|GO:0006349|GOA|8968759//biological process|regulation of gene-specific transcription|NAS|GO:0032583|GOA|12881524//biological process|skeletal system development|TAS|GO:0001501|GOA|8298652//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IEA|GO:0005615|GOA|na	F	14	0.7855	-1.273	6.5393E-18	382.2303	300.9364
A_23_P22027	chr7:155100071-155100130	INSIG1	1	0	0	0	1	0	NM_198337	Insulin induced gene 1	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xe77a5c)//biological process|ER-nuclear sterol response pathway|IDA|GO:0030967|GOA|12242332//biological process|cell proliferation|TAS|GO:0008283|GOA|9268630//biological process|cholesterol metabolic process|IEA|GO:0008203|GOA|na//biological process|metabolic process|TAS|GO:0008152|GOA|9268630//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|12202038//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.8089	-1.2363	7.3986E-15	27739.6504	22379.9961
A_24_P833129	chr7:16317772-16317831	ISPD	0	0	0	0	0	0	NM_001101426	Isoprenoid synthase domain containing	molecular function|nucleotidyltransferase activity|IEA|GO:0016779|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|isoprenoid biosynthetic process|IEA|GO:0008299|GOA|na	F	14	0.8393	-1.1915	1.2077E-11	130.4223	109.9445
A_23_P369447	chr9:46688004-46688063	KGFLP1	0	0	0	0	0	0	NR_003674	keratinocyte growth factor-like protein 1	molecular function|growth factor activity|IEA|GO:0008083|GOA|na//molecular function|heparin binding|IEA|GO:0008201|GOA|na//molecular function|type 2 fibroblast growth factor receptor binding|IEA|GO:0005111|GOA|na//biological process|hair follicle morphogenesis|IEA|GO:0031069|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|ovarian follicle development|IEA|GO:0001541|GOA|na//biological process|phosphatidylcholine biosynthetic process|IEA|GO:0006656|GOA|na//biological process|phospholipid biosynthetic process|IEA|GO:0008654|GOA|na//biological process|positive regulation of epithelial cell proliferation|IEA|GO:0050679|GOA|na//biological process|surfactant homeostasis|IEA|GO:0043129|GOA|na//biological process|wound healing|IEA|GO:0042060|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IEA|GO:0005615|GOA|na	F	16	0.8145	-1.2277	3.9286E-10	116.0252	94.306
A_23_P46606	chr1:211923169-211923228	LPGAT1	0	0	0	1	0	0	NM_014873	Lysophosphatidylglycerol acyltransferase 1	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phospholipid biosynthetic process|IEA|GO:0008654|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|10942595//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.736	-1.3586	3.6348E-09	2793.5637	2032.3835
A_32_P193218	chr3:188602559-188602618	LPP	0	0	0	1	0	0	NM_005578	LIM domain containing preferred translocation partner in lipoma	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|15649318//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|cell adhesion|IEA|GO:0007155|GOA|na//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|focal adhesion|IDA|GO:0005925|GOA|18029348//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|plasma membrane|IDA|GO:0005886|GOA|18029348	F	15	0.7421	-1.3475	4.4948E-12	288.5934	216.0794
A_24_P261052	chr8:11184845-11184904	MTMR9	0	0	0	0	0	0	NM_015458	Myotubularin related protein 9	molecular function|enzyme regulator activity|IEA|GO:0030234|GOA|na//molecular function|phosphatase activity|IEA|GO:0016791|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|19447967//biological process|dephosphorylation|IEA|GO:0016311|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na	M	15	1.1573	1.1573	7.4051E-20	511.1051	591.6107
A_32_P54594	chr22:30093923-30093982	NF2	0	0	0	1	0	0	NM_181833	Neurofibromin 2 (merlin)	molecular function|cytoskeletal protein binding|IEA|GO:0008092|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2edfc20)//biological process|Schwann cell proliferation|IMP|GO:0014010|GOA|17353411//biological process|actin cytoskeleton organization|IMP|GO:0030036|GOA|9537418//biological process|cell-cell junction organization|IEA|GO:0045216|GOA|na//biological process|ectoderm development|IEA|GO:0007398|GOA|na//biological process|mesoderm formation|IEA|GO:0001707|GOA|na//biological process|negative regulation of DNA replication|IMP|GO:0008156|GOA|17210637//biological process|negative regulation of JAK-STAT cascade|IDA|GO:0046426|GOA|12444102//biological process|negative regulation of MAPKKK cascade|IEA|GO:0043409|GOA|na//biological process|negative regulation of cell migration|TAS|GO:0030336|GOA|17210637//biological process|negative regulation of cell proliferation|IDA|GO:0008285|GOA|12444102//biological process|negative regulation of cell proliferation|IMP|GO:0008285|GOA|17210637//biological process|negative regulation of cell-cell adhesion|IDA|GO:0022408|GOA|17210637//biological process|negative regulation of cell-matrix adhesion|TAS|GO:0001953|GOA|17210637//biological process|negative regulation of protein kinase activity|IEA|GO:0006469|GOA|na//biological process|negative regulation of tyrosine phosphorylation of Stat3 protein|IDA|GO:0042518|GOA|12444102//biological process|negative regulation of tyrosine phosphorylation of Stat5 protein|IDA|GO:0042524|GOA|12444102//biological process|odontogenesis of dentine-containing tooth|IEA|GO:0042475|GOA|na//biological process|positive regulation of stress fiber assembly|IMP|GO:0051496|GOA|9537418//biological process|regulation of hippo signaling pathway|IMP|GO:0035330|GOA|na//cellular component|adherens junction|IEA|GO:0005912|GOA|na//cellular component|cleavage furrow|IEA|GO:0032154|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|ARRAY(0x2f36828)//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|early endosome|IDA|GO:0005769|GOA|10861283//cellular component|extrinsic to membrane|IEA|GO:0019898|GOA|na//cellular component|filopodium membrane|IEA|GO:0031527|GOA|na//cellular component|lamellipodium|IEA|GO:0030027|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|9537418//cellular component|nucleus|IDA|GO:0005634|GOA|10401006//cellular component|perinuclear region of cytoplasm|IDA|GO:0048471|GOA|17210637//cellular component|plasma membrane|IDA|GO:0005886|GOA|ARRAY(0x4a5ddd0)//cellular component|ruffle membrane|IEA|GO:0032587|GOA|na	M	15	1.2133	1.2133	0.0006	12.1095	14.5097
A_24_P313354	chr15:96877802-96880605	NR2F2	0	0	0	0	1	0	NM_021005	Nuclear receptor subfamily 2, group F, member 2	molecular function|ligand-dependent nuclear receptor activity|TAS|GO:0004879|GOA|1899293//molecular function|ligand-regulated transcription factor activity|TAS|GO:0003706|GOA|8530078//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|promoter binding|IDA|GO:0010843|GOA|19210544//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x47ae5c4)//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription corepressor activity|TAS|GO:0003714|GOA|1899293//molecular function|transcription factor activity|IC|GO:0003700|GOA|19210544//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|blood vessel morphogenesis|IEA|GO:0048514|GOA|na//biological process|forebrain development|IEA|GO:0030900|GOA|na//biological process|limb development|IEA|GO:0060173|GOA|na//biological process|lipid metabolic process|TAS|GO:0006629|GOA|1899293//biological process|negative regulation of cyclin-dependent protein kinase activity|IDA|GO:0045736|GOA|19210544//biological process|negative regulation of endothelial cell migration|IMP|GO:0010596|GOA|19210544//biological process|negative regulation of endothelial cell proliferation|IMP|GO:0001937|GOA|19210544//biological process|negative regulation of gene-specific transcription|IDA|GO:0032582|GOA|19210544//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|neuron migration|IEA|GO:0001764|GOA|na//biological process|positive regulation of gene-specific transcription|IMP|GO:0043193|GOA|18815287//biological process|radial pattern formation|IEA|GO:0009956|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|TAS|GO:0006357|GOA|1899293//biological process|regulation of transcription involved in lymphatic endothelial cell fate commitment|IMP|GO:0060849|GOA|18815287//biological process|signal transduction|TAS|GO:0007165|GOA|1899293//biological process|skeletal muscle tissue development|IEA|GO:0007519|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|19210544	F	14	0.7793	-1.2831	8.6053E-20	1264.5332	985.8312
