ProbeName	p-value	FCAbsolute	regulation	[Group(DMH+Calcium)](raw)	[Group(DMH)](raw)	[Group(DMH+Calcium)](normalized)	[Group(DMH)](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_52_P681659	0.002760361	1.5276443	down	116.62362	188.50182	0.68034273	1.2916514	NM_001081230	chr3:82198889-82198948	Mtap9	Mus musculus microtubule-associated protein 9 (Mtap9), mRNA [NM_001081230]	Mm.271269	213582	ENSMUST00000091014	TC1701579
A_51_P120830	7.67E-07	9.469162	down	467.55112	4604.103	2.6647847	5.9080215	NM_019471	chr9:7510011-7510070	Mmp10	Mus musculus matrix metallopeptidase 10 (Mmp10), mRNA [NM_019471]	Mm.14126	17384	ENSMUST00000034488	TC1589009
A_52_P47660	0.015433427	1.7017822	up	66.10703	41.703056	-0.14871566	-0.9157621	NM_011856	chr11:35821660-35821601	Odz2	Mus musculus odd Oz/ten-m homolog 2 (Drosophila) (Odz2), mRNA [NM_011856]	Mm.439889	23964	ENSMUST00000057207	TC1581934
A_52_P174000	0.055695154	2.0391548	down	3274.577	6313.1055	5.3351417	6.363113	AB070542	chr12:116383745-116383686		Mus musculus VH186.2-D-J-IgG1 mRNA, partial cds, sequence:kec-5. [AB070542]	Mm.342187			NP_592070
A_52_P64356	0.012336111	1.5852125	up	27400.666	18298.393	8.547854	7.883178	NM_010097	chr5:104508208-104508149	Sparcl1	Mus musculus SPARC-like 1 (Sparcl1), mRNA [NM_010097]	Mm.29027	13602	ENSMUST00000031249	TC1573824
A_51_P327657	0.002817285	1.5040832	down	172.04176	271.95444	1.2379211	1.8268055	NM_031367	chr3:151422486-151422427	H28	Mus musculus histocompatibility 28 (H28), mRNA [NM_031367]	Mm.219544	15061	ENSMUST00000046739	NP_437319
A_51_P231557	0.0843695	1.9521084	up	444.09268	221.8214	2.4676628	1.5026296	XM_887943	chr3:21652616-21652557	7530428D23Rik	PREDICTED: Mus musculus RIKEN cDNA 7530428D23 gene (7530428D23Rik), mRNA [XM_887943]	Mm.304916	319506		TC1636565
A_51_P483280	0.000956042	1.6007776	down	7060.609	11707.703	6.575209	7.253982	NM_011170	chr2:131763817-131763876	Prnp	Mus musculus prion protein (Prnp), mRNA [NM_011170]	Mm.648	19122	ENSMUST00000091288	TC1573389
A_51_P120066	0.00146132	1.6013172	up	1509.703	991.34406	4.3724875	3.6932285	NR_033222	chr12:70300722-70300781	9330151L19Rik	Mus musculus RIKEN cDNA 9330151L19 gene (9330151L19Rik), non-coding RNA [NR_033222]	Mm.256223	414085
A_52_P108346	0.005307844	1.5774921	down	3263.8552	5419.4824	5.484072	6.141705	NM_010849	chr15:61821417-61821476	Myc	Mus musculus myelocytomatosis oncogene (Myc), transcript variant 1, mRNA [NM_010849]	Mm.2444	17869	ENSMUST00000022971	TC1574039
A_51_P128320	0.010185625	1.5239865	down	99527.375	158159.7	10.402312	11.010162	NM_023566	chr7:148940000-148940059	Muc2	Mus musculus mucin 2 (Muc2), mRNA [NM_023566]	Mm.2041	17831	ENSMUST00000042368	TC1728047
A_51_P377158	0.003180411	11.2843685	down	1231.1119	11877.6455	3.6935866	7.1898403				DFR10_MOUSE (Q64263) Defensin-related cryptdin, related sequence 10 precursor (Cryptdin-related protein 4C-4) (CRS4C), complete [TC1593310]				TC1593310
A_52_P43326	0.02223161	1.5675766	up	175.11505	115.2356	1.2368013	0.58826524	NM_009062	chr1:171672607-171672548	Rgs4	Mus musculus regulator of G-protein signaling 4 (Rgs4), mRNA [NM_009062]	Mm.41642	19736	ENSMUST00000111357	TC1588279
A_52_P121942	0.009840715	1.9501065	down	315.1334	627.0728	2.0672362	3.0307891		chr6:70592738-70592797
A_52_P659312	3.38E-05	3.7610958	down	136.71718	549.45795	0.9076304	2.8187835	NM_145134	chr9:96843964-96843905	Spsb4	Mus musculus splA/ryanodine receptor domain and SOCS box containing 4 (Spsb4), mRNA [NM_145134]	Mm.367813	211949	ENSMUST00000055433	TC1579378
A_52_P14453	0.017079981	1.8830597	up	216.606	116.60241	1.5185944	0.60551566	NM_009124	chr13:45651048-45650989	Atxn1	Mus musculus ataxin 1 (Atxn1), mRNA [NM_009124]	Mm.476983	20238	ENSMUST00000091628	TC1582797
A_51_P364168	0.028113324	1.5570388	down	880.2609	1428.2964	3.5777073	4.216512	AF064984	chr19:3584930-3584870	Lrp5	Mus musculus low-density lipoprotein receptor-related protein 5 (Lrp5) mRNA, complete cds. [AF064984]	Mm.274581	16973
A_52_P318673	0.000988556	1.6429337	up	79591.11	51036.99	10.089883	9.373609	NM_009117	chr7:53996129-53996070	Saa1	Mus musculus serum amyloid A 1 (Saa1), mRNA [NM_009117]	Mm.148800	20208	ENSMUST00000128088	TC1582999
A_52_P56818	0.016367104	1.6775017	up	374.1649	231.83931	2.3342035	1.5878893	NM_053242	chr6:15389279-15389338	Foxp2	Mus musculus forkhead box P2 (Foxp2), transcript variant 1, mRNA [NM_053242]	Mm.332919	114142	ENSMUST00000031545	TC1582291
A_51_P160713	0.002711671	1.5031762	up	459.4491	321.95972	2.6575463	2.0695322	NM_009654	chr5:90901598-90901657	Alb	Mus musculus albumin (Alb), mRNA [NM_009654]	Mm.16773	11657	ENSMUST00000031314	TC1747794
A_52_P150851	0.000608486	2.073179	down	63.210056	136.67116	-0.22309692	0.82874775	AK028812	chr15:11278486-11278545	Adamts12	Mus musculus 10 days neonate skin cDNA, RIKEN full-length enriched library, clone:4732458B12 product:similar to ADAMTS-12 PRECURSOR (EC 3.4.24.-) (A DISINTEGRIN AND METALLOPROTEINASE WITH THROMBOSPONDIN MOTIFS 12) (ADAM-TS 12) (ADAM- TS12) [Homo sapiens], full insert sequence. [AK028812]	Mm.224825	239337		TC1650038
A_52_P253291	5.58E-06	1.6778605	down	60.448658	105.74441	-0.28853583	0.45808697		chr18:090760777-090760836
A_51_P267783	3.34E-05	2.4215326	down	124.08871	313.5341	0.7466521	2.0225725	NM_008350	chr7:4724906-4724847	Il11	Mus musculus interleukin 11 (Il11), mRNA [NM_008350]	Mm.35814	16156	ENSMUST00000094892	TC1592701
A_52_P208763	0.025530191	1.6758565	down	471.61987	809.3618	2.6556962	3.4005947	NM_013654	chr11:81860504-81860563	Ccl7	Mus musculus chemokine (C-C motif) ligand 7 (Ccl7), mRNA [NM_013654]	Mm.341574	20306	ENSMUST00000021011	NP_063488
A_51_P328857	0.012866328	2.2115695	up	151.96457	68.4822	0.9778381	-0.16723251	NM_021041	chr6:142538060-142538001	Abcc9	Mus musculus ATP-binding cassette, sub-family C (CFTR/MRP), member 9 (Abcc9), transcript variant 2, mRNA [NM_021041]	Mm.35670	20928	ENSMUST00000087527	NP_375649
A_52_P771481	1.08E-05	2.2719805	down	45.55762	108.90861	-0.6786614	0.5052891	AK078079	chr14:13496743-13496684		Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330437K14 product:unclassifiable, full insert sequence. [AK078079]
A_51_P378545	0.0411996	1.564508	up	2129.448	1435.1241	4.852994	4.207285	NM_028030	chr9:65508077-65508136	Rbpms2	Mus musculus RNA binding protein with multiple splicing 2 (Rbpms2), mRNA [NM_028030]	Mm.29148	71973	ENSMUST00000055844	TC1576073
A_51_P400190	0.017071063	1.5373921	down	47.44637	74.64387	-0.6748795	-0.054394245	NM_020557	chr12:27158988-27159047	Cmpk2	Mus musculus cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial (Cmpk2), nuclear gene encoding mitochondrial protein, mRNA [NM_020557]	Mm.271839	22169	ENSMUST00000085526	TC1700124
A_52_P596541	0.000859019	1.8098239	down	1331.3533	2563.2773	4.1944137	5.050263	NM_133950	chr7:53138602-53138661	Kdelr1	Mus musculus KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1 (Kdelr1), mRNA [NM_133950]	Mm.298433	68137	ENSMUST00000107719	TC1575183
A_52_P222624	0.03486646	1.5745788	up	488.32553	325.70303	2.729829	2.0748632	NM_024441	chr9:50559270-50559211	Hspb2	Mus musculus heat shock protein 2 (Hspb2), transcript variant 1, mRNA [NM_024441]	Mm.1980	69253	ENSMUST00000042790	TC1586498
A_52_P420504	0.039088763	1.5523889	up	124133.35	84150.53	10.718498	10.084008	NM_007392	chr19:34316119-34316060	Acta2	Mus musculus actin, alpha 2, smooth muscle, aorta (Acta2), mRNA [NM_007392]	Mm.213025	11475	ENSMUST00000039631	NP_842934
A_52_P423222	0.036689285	3.6116443	down	100.781944	305.5487	0.12631042	1.9789662	NM_010903	chr6:51408131-51408190	Nfe2l3	Mus musculus nuclear factor, erythroid derived 2, like 3 (Nfe2l3), mRNA [NM_010903]	Mm.42138	18025	ENSMUST00000005103	TC1580069
A_52_P23225	0.018379604	1.7495354	down	157.70992	280.29684	1.063502	1.8704739	NM_016697	chrX:49625799-49625740	Gpc3	Mus musculus glypican 3 (Gpc3), mRNA [NM_016697]	Mm.22515	14734	ENSMUST00000069360	TC1572110
A_51_P490509	0.006887622	1.7694287	down	302.73343	560.0191	2.0391514	2.862435	NM_009773	chr2:118466830-118466889	Bub1b	Mus musculus budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae) (Bub1b), mRNA [NM_009773]	Mm.29133	12236	ENSMUST00000038341	TC1575535
A_51_P458258	0.08691018	1.509577	up	3382.1194	2270.9817	5.4810677	4.8869233	NM_011888	chr4:42250432-42250491	Ccl19	Mus musculus chemokine (C-C motif) ligand 19 (Ccl19), mRNA [NM_011888]	Mm.459263	24047	ENSMUST00000102957	TC1584110
A_51_P353221	0.004273765	2.0071168	up	6224.8594	3197.0056	6.3876777	5.382553	NM_011582	chr13:93525179-93525120	Thbs4	Mus musculus thrombospondin 4 (Thbs4), mRNA [NM_011582]	Mm.20865	21828	ENSMUST00000022213	TC1580565
A_51_P499551	0.000425306	1.8605342	down	192.4124	374.72897	1.393805	2.289522	NM_133983	chr9:58372150-58372107	Cd276	Mus musculus CD276 antigen (Cd276), mRNA [NM_133983]	Mm.5356	102657	ENSMUST00000039788	TC1579025
A_51_P207550	0.049449496	1.5475905	down	448.55823	706.39667	2.5739765	3.2040002	NM_023196	chr3:129581844-129591848	Pla2g12a	Mus musculus phospholipase A2, group XIIA (Pla2g12a), transcript variant 1, mRNA [NM_023196]	Mm.151951	66350	ENSMUST00000029629	TC1580570
A_51_P415395	0.000132526	2.1089742	down	1097.8934	2437.0847	3.9107704	4.987312	NM_001081314	chr9:67608565-67608624	C2cd4b	Mus musculus C2 calcium-dependent domain containing 4B (C2cd4b), mRNA [NM_001081314]	Mm.105353	75697	ENSMUST00000068526	TC1584156
A_52_P53144	0.00033167	1.9436556	down	652.1452	1314.1758	3.1376743	4.096447	NM_028087	chr9:69881839-69881780	Gcnt3	Mus musculus glucosaminyl (N-acetyl) transferase 3, mucin type (Gcnt3), mRNA [NM_028087]	Mm.195555	72077	ENSMUST00000034751	TC1586320
A_51_P470475	0.002002887	2.05247	down	309.77505	664.22455	2.0749428	3.112304	NR_029414	chr15:63756833-63756892	Gsdmcl-ps	Mus musculus gasdermin C-like, pseudogene (Gsdmcl-ps), non-coding RNA [NR_029414]	Mm.390801	74460		TC1600140
A_51_P438853	0.003488571	7.366524	down	100.66288	639.6751	0.17567635	3.0566604	NM_025867	chr1:109276756-109276815	Serpinb11	Mus musculus serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 11 (Serpinb11), mRNA [NM_025867]	Mm.12638	66957	ENSMUST00000027566	TC1584599
A_51_P450561	1.26E-05	2.9802074	up	140.79887	47.894806	0.8946953	-0.68071747	NM_153484	chr15:81654218-81654277	Tef	Mus musculus thyrotroph embryonic factor (Tef), transcript variant 2, mRNA [NM_153484]	Mm.270278	21685	ENSMUST00000023024	TC1581867
A_52_P343293	0.006198207	1.8564962	down	2728.9436	5218.4897	5.1952705	6.087853	NR_033563	chr7:107413190-107413252	Gpx2-ps1	Mus musculus glutathione peroxidase 2, pseudogene 1 (Gpx2-ps1), non-coding RNA [NR_033563]		14777
A_51_P150912	0.029919364	1.8002633	down	749.179	1378.0406	3.3177109	4.165919	NM_011497	chr2:172181793-172181734	Aurka	Mus musculus aurora kinase A (Aurka), mRNA [NM_011497]	Mm.249363	20878	ENSMUST00000028997	TC1572434
A_51_P343336	0.016280033	1.8470387	down	919.8135	1728.3848	3.6035707	4.488785	U55589	chr6:69808480-69808423		Ig kappa chain V-V region K2 Precursor; Fragment  [Source:UniProtKB/Swiss-Prot;Acc:P01635] [ENSMUST00000103369]	Mm.304150		ENSMUST00000103369	TC1759274
A_51_P124741	4.32E-05	1.5993141	down	90.46397	151.70308	0.3076087	0.98506194	NM_133485	chr10:6883117-6883058	Ppp1r14c	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 14c (Ppp1r14c), mRNA [NM_133485]	Mm.308126	76142	ENSMUST00000043374	TC1601230
A_52_P650523	0.029140498	1.7214029	down	83.255394	154.13121	0.16336179	0.9469466		chr15:37101792-37101733
A_52_P424650	0.032646623	1.8507121	up	53.955948	29.897308	-0.50428015	-1.3923606	AK052336	chr8:46873111-46873170	Sorbs2	Mus musculus 13 days embryo heart cDNA, RIKEN full-length enriched library, clone:D330030I03 product:unclassifiable, full insert sequence. [AK052336]	Mm.447653	234214		TC1616312
A_52_P376574	0.04612193	2.10303	down	1252.2095	2564.912	3.9835193	5.055989	NM_011048	chr7:73195129-73195188	Pcsk6	Mus musculus proprotein convertase subtilisin/kexin type 6 (Pcsk6), mRNA [NM_011048]	Mm.294007	18553	ENSMUST00000055576	TC1598112
A_52_P139650	0.065435395	1.6156232	down	181.58351	298.6394	1.2653655	1.9574562	NM_025581	chr18:74356670-74356611	Ska1	Mus musculus spindle and kinetochore associated complex subunit 1 (Ska1), transcript variant 1, mRNA [NM_025581]	Mm.283406	66468	ENSMUST00000040188	NP_746065
A_51_P319070	0.06078773	1.7108588	down	1748.9336	2905.581	4.4695916	5.2443123	NM_026159	chr6:72556656-72556715	Retsat	Mus musculus retinol saturase (all trans retinol 13,14 reductase) (Retsat), mRNA [NM_026159]	Mm.305108	67442	ENSMUST00000129071	TC1598267
A_51_P472608	0.011667337	1.8749809	down	111.262085	214.81873	0.5757044	1.4825803	AK082938	chr1:173931441-173931382	Vangl2	vang-like 2 (van gogh, Drosophila) Gene [Source:MGI Symbol;Acc:MGI:2135272] [ENSMUST00000111263]	Mm.392110	93840	ENSMUST00000111263	TC1604915
A_52_P240693	0.017540168	1.9821345	down	29.822496	59.742268	-1.3492107	-0.3621559	NM_177587	chr1:94908593-94908652	Aqp12	Mus musculus aquaporin 12 (Aqp12), transcript variant 1, mRNA [NM_177587]	Mm.235537	208760	ENSMUST00000059676	TC1584314
A_52_P224760	2.30E-05	3.0681605	down	35.505417	115.29345	-1.0394832	0.5778907	NM_011198	chr1:151954416-151954475	Ptgs2	Mus musculus prostaglandin-endoperoxide synthase 2 (Ptgs2), mRNA [NM_011198]	Mm.292547	19225	ENSMUST00000035065	TC1575619
A_52_P153541	0.039706174	1.5074552	up	87.01246	59.20285	0.21903484	-0.37308025	XM_001474767	chr16:13674011-13674070		PREDICTED: Mus musculus hypothetical protein LOC100045525 (LOC100045525), mRNA [XM_001474767]	Mm.223689
A_51_P233928	0.000102177	2.114052	down	1561.3287	3433.0261	4.404364	5.484375	NM_008080	chr10:126609172-126609231	B4galnt1	Mus musculus beta-1,4-N-acetyl-galactosaminyl transferase 1 (B4galnt1), transcript variant 1, mRNA [NM_008080]	Mm.386762	14421	ENSMUST00000006914	TC1578394
A_51_P314135	0.04315644	1.8073709	up	62.32439	34.97318	-0.2841629	-1.1380554	NM_021481	chr9:44494224-44494283	Treh	Mus musculus trehalase (brush-border membrane glycoprotein) (Treh), mRNA [NM_021481]	Mm.45380	58866	ENSMUST00000139389	TC1585849
A_52_P214437	0.05028033	1.8662095	down	1135.3734	2071.2793	3.851712	4.751823		chr12:116624969-116624910
A_51_P333839	0.019241007	1.5536218	down	128.72607	207.01375	0.7957292	1.4313645	NM_019971	chr3:81017419-81017478	Pdgfc	Mus musculus platelet-derived growth factor, C polypeptide (Pdgfc), mRNA [NM_019971]	Mm.331089	54635	ENSMUST00000129285	TC1576974
A_51_P501260	0.00046632	2.2052999	down	100.59193	233.64415	0.4613417	1.6023165	NM_145713	chr13:23649203-23649262	Hist1h1d	Mus musculus histone cluster 1, H1d (Hist1h1d), mRNA [NM_145713]	Mm.247046	14957	ENSMUST00000045301	TC1587801
A_51_P133138	0.009793808	1.8473449	down	1881.1581	3600.4824	4.6674585	5.5529118	Y09632	chr18:34792278-34792337	Kif20a	Mus musculus mRNA for rabkinesin-6. [Y09632]	Mm.258846	19348		TC1781904
A_51_P123405	0.017924491	1.764619	down	618.905	1119.4283	3.0460691	3.8654258	NM_009772	chr2:127627047-127626988	Bub1	Mus musculus budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae) (Bub1), transcript variant 2, mRNA [NM_009772]	Mm.2185	12235	ENSMUST00000028858	TC1576690
A_52_P154971	0.002763474	1.539308	up	430.69852	293.7493	2.5607636	1.9384817	NM_011978	chr2:126413550-126413609	Slc27a2	Mus musculus solute carrier family 27 (fatty acid transporter), member 2 (Slc27a2), mRNA [NM_011978]	Mm.290044	26458	ENSMUST00000099438	TC1714436
A_51_P395921	0.004877154	1.5399455	down	823.80597	1347.018	3.4998758	4.122755	NM_033607	chr9:64083589-64083648	Uchl4	Mus musculus ubiquitin carboxyl-terminal esterase L4 (Uchl4), mRNA [NM_033607]	Mm.390180	93841	ENSMUST00000039011	NP_401823
A_52_P365615	0.09080154	1.5858392	down	5267.642	8492.065	6.099571	6.7648177	NM_172759	chr8:107458425-107458484	Ces5	Mus musculus carboxylesterase 5 (Ces5), transcript variant 1, mRNA [NM_172759]	Mm.441134	234673	ENSMUST00000034355	TC1583226
A_51_P452533	0.079078846	2.0336626	up	174.26634	81.49516	1.0978442	0.073764004	NM_001164528	chr1:168246642-168246701	Ildr2	Mus musculus immunoglobulin-like domain containing receptor 2 (Ildr2), mRNA [NM_001164528]	Mm.101743	100039795	ENSMUST00000111416	TC1602318
A_52_P350512	0.001024215	1.6078641	down	102.724724	172.45903	0.4844241	1.1695696	NM_145996	chr1:36376575-36376634	Arid5a	Mus musculus AT rich interactive domain 5A (MRF1-like) (Arid5a), transcript variant 3, mRNA [NM_145996]	Mm.34316	214855	ENSMUST00000097779	TC1578306
A_51_P296456	0.068150036	1.6240283	up	131.5135	81.60363	0.7881539	0.088577114	NM_001081379	chr8:125416651-125416592	Ankrd11	Mus musculus ankyrin repeat domain 11 (Ankrd11), mRNA [NM_001081379]	Mm.31567	77087	ENSMUST00000039345	TC1697613
A_52_P868302	0.014226097	1.5709908	up	148.69759	97.96285	1.000616	0.34894118	AK163034	chr9:65162940-65162999	Clpx	Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430088F02 product:caseinolytic protease X (E.coli), full insert sequence. [AK163034]	Mm.30088	270166		TC1600724
A_52_P475356	0.00013228	2.3765974	down	37.885654	94.15443	-0.9581217	0.29077578	NM_011445	chr7:122615477-122615418	Sox6	Mus musculus SRY-box containing gene 6 (Sox6), transcript variant 1, mRNA [NM_011445]	Mm.323365	20679	ENSMUST00000072804	TC1600084
A_52_P460767	0.002801578	1.8776264	down	876.73193	1659.1733	3.526973	4.435883	NM_010232	chr3:97456171-97456230	Fmo5	Mus musculus flavin containing monooxygenase 5 (Fmo5), transcript variant 3, mRNA [NM_010232]	Mm.385180	14263	ENSMUST00000029729	TC1586234
A_52_P347176	0.00013222	3.3020577	down	55.299313	184.15147	-0.4644986	1.2588667	NM_001001985	chr5:34345630-34345689	Nat8l	Mus musculus N-acetyltransferase 8-like (Nat8l), mRNA [NM_001001985]	Mm.274610	269642	ENSMUST00000056355	TC1577499
A_51_P306919	0.002680795	1.8885176	down	152.26764	298.47623	1.0435053	1.9607595	NM_007490	chr7:108703189-108703130	Art2a	Mus musculus ADP-ribosyltransferase 2a (Art2a), mRNA [NM_007490]	Mm.439746	11871	ENSMUST00000132489	TC1600542
A_52_P390625	0.03500453	1.5408564	down	578.8377	917.5622	2.9568827	3.580615	NM_026572	chr8:119513089-119513030	Gcsh	Mus musculus glycine cleavage system protein H (aminomethyl carrier) (Gcsh), nuclear gene encoding mitochondrial protein, mRNA [NM_026572]	Mm.258462	68133	ENSMUST00000040484	TC1776719
A_52_P492532	0.000124641	2.144721	down	514.8057	1165.879	2.823828	3.924618	AF025535	chr6:69526194-69526135		Mus musculus single chain Fv antibody (E4(Fv)) mRNA, partial cds. [AF025535]	Mm.333130		ENSMUST00000103357	NP_1258183
A_51_P213940	0.000110246	1.683927	down	2175.5933	3860.6946	4.8924713	5.644301	AF058798		Sfn	Mus musculus 14-3-3 protein sigma mRNA, complete cds. [AF058798]	Mm.44482	55948
A_51_P123630	0.000588376	2.0083017	down	99.993935	212.76591	0.4572192	1.4631952	L38281	chr14:103455191-103455251	Irg1	Mus musculus immune-responsive gene 1 (Irg1) mRNA, 3 end of cds. [L38281]	Mm.4662	16365
A_52_P263658	0.002296238	1.6821315	up	383.72134	241.21336	2.4017904	1.6514999	NM_008236	chr4:151536406-151536465	Hes2	Mus musculus hairy and enhancer of split 2 (Drosophila) (Hes2), mRNA [NM_008236]	Mm.57038	15206	ENSMUST00000030782	TC1590569
A_52_P114691	0.0037574	1.7682825	up	1748.519	1035.1467	4.5771637	3.7548149	NM_012045	chr4:138306605-138306546	Pla2g2f	Mus musculus phospholipase A2, group IIF (Pla2g2f), mRNA [NM_012045]	Mm.331989	26971	ENSMUST00000030526	TC1581518
A_52_P467449	0.023192944	4.025873	down	482.29007	1635.8585	2.394411	4.4037127	NM_007440	chr11:70055774-70055715	Alox12	Mus musculus arachidonate 12-lipoxygenase (Alox12), mRNA [NM_007440]	Mm.12286	11684	ENSMUST00000000329	TC1581558
A_51_P452153	0.03476858	1.5730177	down	1853.6854	2988.75	4.631617	5.285152	NM_027222	chr18:35807246-35807187	2010001M09Rik	Mus musculus RIKEN cDNA 2010001M09 gene (2010001M09Rik), mRNA [NM_027222]	Mm.27252	69816	ENSMUST00000025211	TC1583132
A_52_P27956	0.03149509	3.658331	down	162.02812	434.17392	0.63068396	2.5018694	NM_175210	chr1:71289771-71289712	Abca12	Mus musculus ATP-binding cassette, sub-family A (ABC1), member 12 (Abca12), mRNA [NM_175210]	Mm.478138	74591		TC1651535
A_52_P447567	0.01636832	1.5885656	down	990.49457	1641.8579	3.7490463	4.416771	BC051424	chr3:108258940-108258881		RIKEN cDNA 5330417C22 gene Gene [Source:MGI Symbol;Acc:MGI:1923930] [ENSMUST00000106625]	Mm.316890		ENSMUST00000106625	TC1626192
A_52_P152219	0.038693335	1.5602212	down	87.72854	142.35603	0.24247639	0.884227	NM_173431	chr8:93741492-93741433	Rpgrip1l	Mus musculus Rpgrip1-like (Rpgrip1l), mRNA [NM_173431]	Mm.324592	244585	ENSMUST00000047783	TC1779721
A_51_P450033	0.000439127	1.6607975	down	506.58884	886.8046	2.7978423	3.5297184	NM_007659	chr10:68807832-68805423	Cdk1	Mus musculus cyclin-dependent kinase 1 (Cdk1), mRNA [NM_007659]	Mm.281367	12534	ENSMUST00000152448	TC1677866
A_52_P16472	0.005549324	1.5490576	down	543.8454	891.75604	2.9038553	3.5352461	NM_019643	chr6:148870395-148870336	Fam60a	Mus musculus family with sequence similarity 60, member A (Fam60a), mRNA [NM_019643]	Mm.18637	56306	ENSMUST00000081956	TC1572048
A_51_P103364	0.020474376	2.3412805	down	1397.0531	3163.4246	4.1374936	5.3647914	XM_917510	chr12:117238298-117238239	LOC435333	PREDICTED: Mus musculus similar to monoclonal antibody heavy chain (LOC435333), mRNA [XM_917510]	Mm.357651	435333	ENSMUST00000103552	NP_614310
A_51_P513530	0.024515353	1.8016821	down	433.73697	801.9761	2.531861	3.3812056	NM_017407	chr11:78135655-78135714	Spag5	Mus musculus sperm associated antigen 5 (Spag5), mRNA [NM_017407]	Mm.24250	54141	ENSMUST00000045026	TC1576510
A_52_P648824	0.001694547	2.6592305	down	211.22797	590.8818	1.4960308	2.9070396	X12388	chr12:116152844-116152785		Mouse hybridoma 10B10S mRNA for IgM(b) heavy chain variable region V(H)-J(H)2. [X12388]	Mm.430747			NP_054345
A_52_P15405	0.022160122	1.5292864	down	91.08267	144.7979	0.30395904	0.91681767	NM_007549	chr14:63998470-63997333	Blk	Mus musculus B lymphoid kinase (Blk), mRNA [NM_007549]	Mm.3962	12143	ENSMUST00000014597	TC1579306
A_51_P421790	0.03320175	1.7334965	down	4075.7224	7065.9243	5.730594	6.524279	NM_013891	chr17:27851709-27851650	Spdef	Mus musculus SAM pointed domain containing ets transcription factor (Spdef), mRNA [NM_013891]	Mm.26768	30051	ENSMUST00000025054	NP_045646
A_51_P120093	0.045405332	1.510861	down	643.5583	1013.3491	3.1199486	3.7153196	NM_028035	chr6:51540112-51540171	Snx10	Mus musculus sorting nexin 10 (Snx10), transcript variant 1, mRNA [NM_028035]	Mm.476868	71982	ENSMUST00000049152	TC1572566
A_51_P212782	0.000214001	2.5489857	down	267.81384	721.72217	1.8746091	3.2245324	NM_008361	chr2:129190406-129190347	Il1b	Mus musculus interleukin 1 beta (Il1b), mRNA [NM_008361]	Mm.222830	16176	ENSMUST00000028881	TC1585020
A_51_P128987	0.021691805	1.50305	down	8365.729	12900.9795	6.8066	7.394493	NM_008012	chr6:34318338-34318397	Akr1b8	Mus musculus aldo-keto reductase family 1, member B8 (Akr1b8), mRNA [NM_008012]	Mm.5378	14187	ENSMUST00000038406	TC1578631
A_51_P332355	0.006809309	1.794162	down	113.17715	213.47914	0.62649584	1.4698061	NM_139303	chr2:109181416-109181475	Kif18a	Mus musculus kinesin family member 18A (Kif18a), mRNA [NM_139303]	Mm.274086	228421	ENSMUST00000028527	TC1578370
A_52_P654161	0.000128485	1.5108026	down	233.66695	369.84232	1.6732492	2.2685645	NM_009546	chr11:88878330-88878389	Trim25	Mus musculus tripartite motif-containing 25 (Trim25), mRNA [NM_009546]	Mm.248445	217069	ENSMUST00000107896	TC1583603
A_51_P370561	0.00750253	1.6980692	down	809.6208	1435.5873	3.4630806	4.226976	NM_026551	chr11:102855900-102855841	Dcakd	Mus musculus dephospho-CoA kinase domain containing (Dcakd), mRNA [NM_026551]	Mm.277449	68087	ENSMUST00000021313	TC1757386
A_52_P259779	0.018336812	2.9673057	down	44.46898	126.14413	-0.8810261	0.6881275	AF045484	chr12:116396792-116396733		Ig heavy chain V region 23 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P01748] [ENSMUST00000103523]	Mm.335723		ENSMUST00000103523	NP_049406
A_51_P346681	0.001438747	2.7327948	down	202.59492	564.7927	1.4244379	2.874815	XM_909040	chr12:115962114-115962056			Mm.471359		ENSMUST00000103506	NP_061444
A_51_P334308	0.001839008	1.6071022	down	2380.1497	4028.383	5.030516	5.7149777	NM_145928	chr14:41720058-41719999	Tspan14	Mus musculus tetraspanin 14 (Tspan14), mRNA [NM_145928]	Mm.28876	52588	ENSMUST00000047652	TC1574114
A_51_P391836	0.001317554	1.5467283	down	1128.924	1833.2816	3.949702	4.578922	XM_903421	chr12:114974424-114974365		Ig heavy chain V region 914  [Source:UniProtKB/Swiss-Prot;Acc:P18527] [ENSMUST00000103448]	Mm.342177		ENSMUST00000103452	NP_048004
A_51_P265660	0.00085024	1.7284261	down	130.7542	238.84892	0.84010476	1.6295637	NM_008017	chr4:52500075-52500134	Smc2	Mus musculus structural maintenance of chromosomes 2 (Smc2), mRNA [NM_008017]	Mm.2999	14211	ENSMUST00000102915	TC1573075
