Curated Gene Symbol	FeatureNumber	GeneName	+9hr Wnt	siMLLT10 +9hr Wnt	siDOT1L +9hr Wnt	siBRG1 +9hr Wnt	siP300 +9hr Wnt	Description
	15630	LOC389641	1.358	-0.738	-1.265	-1.125	-1.152	Homo sapiens cDNA FLJ42301 fis, clone TOVAR2002514. [AK124295]
	12978	ENST00000332902	1.358	-1.143	-1.519	-1.524	-1.377	PREDICTED: Homo sapiens hypothetical protein LOC100128315 (LOC100128315), mRNA [XM_001715022]
	30444	A_32_P212958	1.358	-1.611	-0.958	-1.81	-1.651	Unknown
AOX1	8810	AOX1	1.349	-1.441	-0.704	-1.397	-1.314	aldehyde oxidase 1 (AOX1), mRNA [NM_001159]
SPTLC3	31484	SPTLC3	1.348	-1.016	-1.513	-1.696	-1.296	serine palmitoyltransferase, long chain base subunit 3 (SPTLC3), mRNA [NM_018327]
ETV1	26985	ETV1	1.346	-0.601	0.04	-0.976	-0.481	ets variant gene 1 (ETV1), mRNA [NM_004956]
NLRP2	5184	NLRP2	1.343	-1.83	-0.883	-1.554	-1.172	NLR family, pyrin domain containing 2 (NLRP2), mRNA [NM_017852]
ANGPT1	33232	ANGPT1	1.34	-1.293	-1.167	-0.901	-1.528	angiopoietin 1 (ANGPT1), mRNA [NM_001146]
CCL26	19300	CCL26	1.339	-2.29	-0.461	-2.189	-1.304	chemokine (C-C motif) ligand 26 (CCL26), mRNA [NM_006072]
CCND1	1605	CCND1	1.337	0.136	0.618	-0.362	-0.235	cyclin D1 (CCND1), mRNA [NM_053056]
CCND1	27499	CCND1	1.336	0.089	0.577	-0.398	-0.265	cyclin D1 (CCND1), mRNA [NM_053056]
	4606	CR622189	1.334	-1.476	-1.729	-1.539	-1.066	full-length cDNA clone CS0DI081YP18 of Placenta Cot 25-normalized of Homo sapiens (human). [CR622189]
	3283	THC2701140	1.33	-1.538	-2.327	-1.349	-2.302	Unknown
CTHRC1	39135	CTHRC1	1.33	-1.212	-1.051	-1.328	-1.496	collagen triple helix repeat containing 1 (CTHRC1), mRNA [NM_138455]
SERPINB2	9013	SERPINB2	1.327	-1.067	-0.975	-2.102	-1.694	Plasminogen activator inhibitor 2 precursor (PAI-2) (Placental plasminogen activator inhibitor) (Monocyte Arg-serpin) (Urokinase inhibitor). [Source:Uniprot/SWISSPROT;Acc:P05120] [ENST00000299502]
PDE2A	5587	PDE2A	1.321	-1.126	-0.622	-1.294	-2.331	Homo sapiens cDNA FLJ16750 fis, clone ADRGL2011190, highly  similar to cGMP-dependent 3,5-cyclic phosphodiesterase (EC 3.1.4.17). [AK131525]
	43515	AL050185	1.319	-1.424	-2.027	-0.354	-0.942	Homo sapiens mRNA; cDNA DKFZp586A0423 (from clone DKFZp586A0423) [AL050185]
	42268	THC2611661	1.313	0.322	-1.576	-0.28	-1.263	RR12_SPIMX (P42344) Chloroplast 30S ribosomal protein S12, partial (11%) [THC2611661]
PAH	29260	PAH	1.313	-0.971	-1.356	-1.256	-1.236	phenylalanine hydroxylase (PAH), mRNA [NM_000277]
BMX	37418	BMX	1.312	-1.07	-1.726	-2.089	-2.615	BMX non-receptor tyrosine kinase (BMX), transcript variant 2, mRNA [NM_001721]
IL7R	41471	IL7R	1.309	-0.949	-2.121	-2.159	-1.892	interleukin 7 receptor (IL7R), mRNA [NM_002185]
IGF1	34352	IGF1	1.308	-0.673	-0.632	-2.45	-0.752	insulin-like growth factor 1 (somatomedin C) (IGF1), transcript variant 4, mRNA [NM_000618]
	26240	CB852269	1.301	-0.02	-0.361	-1.156	0.242	CB852269 UI-CF-FN0-afm-c-12-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-afm-c-12-0-UI 3, mRNA sequence [CB852269]
GIMAP2	23315	GIMAP2	1.298	-1.021	0.275	-2.033	0.32	GTPase, IMAP family member 2 (GIMAP2), mRNA [NM_015660]
XKR3	32821	XKR3	1.298	0.055	-2.169	-2.206	-2.082	XK, Kell blood group complex subunit-related family, member 3 (XKR3), mRNA [NM_175878]
CCND1	42511	CCND1	1.294	0.152	0.677	-0.329	-0.21	cyclin D1 (CCND1), mRNA [NM_053056]
C12orf56	32508	C12orf56	1.292	-1.114	-1.051	-1.296	-1.067	chromosome 12 open reading frame 56 (C12orf56), mRNA [NM_001099676]
NANOG	21200	NANOG	1.288	-2.429	-1.716	-2.175	-2.976	Nanog homeobox (NANOG), mRNA [NM_024865]
	8543	AK027393	1.285	-1.846	-2.142	--	-2.1	Homo sapiens cDNA FLJ14487 fis, clone MAMMA1002721. [AK027393]
CCND1	5529	CCND1	1.283	0.113	0.683	-0.358	-0.216	cyclin D1 (CCND1), mRNA [NM_053056]
	4730	THC2656699	1.281	-0.728	-0.355	0.136	-1.669	Unknown
ARG1	44005	ARG1	1.276	-1.119	-1.293	-1.467	-1.218	arginase, liver (ARG1), mRNA [NM_000045]
SERPINE1	12551	SERPINE1	1.276	-0.941	-1.227	-1.235	-1.549	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 (SERPINE1), mRNA [NM_000602]
	18208	THC2664465	1.273	-1.075	-2.012	-1.176	-2.04	Q8NH31_HUMAN (Q8NH31) Seven transmembrane helix receptor, partial (6%) [THC2664465]
SLC6A4	35995	SLC6A4	1.27	-2.681	-0.935	-2.847	-2.215	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
	15247	DKFZP547L112	1.267	-1.854	-2.145	-2.552	-2.375	Homo sapiens mRNA; cDNA DKFZp547L112 (from clone DKFZp547L112). [AL512723]
	29783	ENST00000374258	1.267	-0.626	-1.146	-0.069	-1.042	CDNA FLJ39396 fis, clone PLACE6008640. [Source:Uniprot/SPTREMBL;Acc:Q8N8J2] [ENST00000374258]
CCND1	16453	CCND1	1.266	0.091	0.711	-0.328	-0.176	cyclin D1 (CCND1), mRNA [NM_053056]
	37649	THC2686012	1.263	-1.012	-0.738	-1.471	-2.543	Unknown
	22953	THC2639056	1.262	-0.404	0.279	0.089	-0.499	ALU8_HUMAN (P39195) Alu subfamily SX sequence contamination warning entry, partial (10%) [THC2639056]
FAM124B	13437	FAM124B	1.261	-1.29	-1.547	--	-1.294	family with sequence similarity 124B (FAM124B), transcript variant 2, mRNA [NM_024785]
PTPN6	36158	PTPN6	1.26	-0.5	-0.665	-0.811	-0.69	protein tyrosine phosphatase, non-receptor type 6 (PTPN6), transcript variant 1, mRNA [NM_002831]
ZNF697	533	ZNF697	1.26	--		--	-0.69	zinc finger protein 697 (ZNF697), mRNA [NM_001080470]
GAS2	30427	GAS2	1.259	0.112	-1.123	-1.285	-0.99	growth arrest-specific 2 (GAS2), transcript variant 1, mRNA [NM_005256]
GSDMD	32756	GSDMDC1	1.258	-1.091	-0.917	-1.248	-1.485	gasdermin domain containing 1 (GSDMDC1), mRNA [NM_024736]
	28591	BU930679	1.256	-1.102	-1.019	-0.663	-3.021	AGENCOURT_10425471 NIH_MGC_83 Homo sapiens cDNA clone IMAGE:6668772 5, mRNA sequence [BU930679]
FSCN1	24851	FSCN1	1.256	-0.142	-0.096	-1.137	-0.491	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus) (FSCN1), mRNA [NM_003088]
ANKRD35	10787	ANKRD35	1.256	-0.9	-0.858	-0.794	-0.345	ankyrin repeat domain 35 (ANKRD35), mRNA [NM_144698]
HOXD11	31236	HOXD11	1.255	-1.104	-1.202	-1.449	-1.207	homeobox D11 (HOXD11), mRNA [NM_021192]
NPR3	5776	C5orf23	1.253	-1.564	-1.827	-0.835	-1.118	chromosome 5 open reading frame 23 (C5orf23), mRNA [NM_024563]
	15423	A_23_P15226	1.252	-1.102	-1.473	-2.049	-1.196	Unknown
	25135	AK124778	1.251	-0.549	-0.563	-1.104	-1.471	Homo sapiens cDNA FLJ42788 fis, clone BRAWH3007129. [AK124778]
HGF	13896	HGF	1.249	-0.965	-0.842	-1.6	-0.84	hepatocyte growth factor (hepapoietin A; scatter factor) (HGF), transcript variant 2, mRNA [NM_001010931]
	29417	FLJ30428	1.247	-0.914	-0.634	--	-1.682	Homo sapiens cDNA FLJ30428 fis, clone BRACE2008941. [AK054990]
TMEM92	2914	TMEM92	1.246	-0.195	-1.625	-0.708	-0.535	transmembrane protein 92 (TMEM92), mRNA [NM_153229]
TRA@	29878	TRA@	1.245	-1.147	-1.103	-1.415	-1.852	Homo sapiens T cell receptor alpha locus, mRNA (cDNA clone MGC:71411 IMAGE:4853814), complete cds. [BC063385]
IL22RA1	14941	IL22RA1	1.243	-1.561	-1.803	-1.073	-1.153	interleukin 22 receptor, alpha 1 (IL22RA1), mRNA [NM_021258]
FYB	30109	FYB	1.242	-1.214	-1.085	-1.573	-1.377	FYN binding protein (FYB-120/130) (FYB), transcript variant 1, mRNA [NM_001465]
	26991	THC2623335	1.242	-1.697	-1.89	-2.009	-1.673	Unknown
CCDC88C	11125	CCDC88C	1.241	-1.341	-1.278	-1.163	-1.307	coiled-coil domain containing 88C (CCDC88C), mRNA [NM_001080414]
	11379	AK098511	1.24	-0.93	-1.418	-0.942	-2.496	Homo sapiens cDNA FLJ25645 fis, clone SYN00113. [AK098511]
IL6	36638	IL6	1.235	-1.736	-1.183	-3.104	-1.487	interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]
CCND1	16833	CCND1	1.233	0.139	0.707	-0.39	-0.164	cyclin D1 (CCND1), mRNA [NM_053056]
	15105	BC104421	1.229	-0.752	-0.597	-1.118	-0.908	Homo sapiens cDNA clone IMAGE:40004940. [BC104421]
CD2	28926	CD2	1.223	-1.278	-2.021	-1.899	-1.888	CD2 molecule (CD2), mRNA [NM_001767]
UNC93A	26553	UNC93A	1.221	-0.834	-0.882	-1.505	-1.371	unc-93 homolog A (C. elegans) (UNC93A), mRNA [NM_018974]
	31915	A_23_P136849	1.221	-0.049	-0.493	-0.808	-2.317	Unknown
SAMD9L	97	SAMD9L	1.22	0.693	0.348	-0.985	1.103	sterile alpha motif domain containing 9-like (SAMD9L), mRNA [NM_152703]
PRODH2	11742	PRODH2	1.219	-1.321	-1.238	-3.209	-1.042	proline dehydrogenase (oxidase) 2 (PRODH2), mRNA [NM_021232]
TNFSF10	43594	TNFSF10	1.217	-1.306	-1.292	-1.865	-1.636	tumor necrosis factor (ligand) superfamily, member 10 (TNFSF10), mRNA [NM_003810]
CCND1	31449	CCND1	1.217	0.152	0.684	-0.356	-0.227	cyclin D1 (CCND1), mRNA [NM_053056]
	33950	AF143325	1.214	-0.58	-0.141	-0.495	0.124	Homo sapiens clone IMAGE:110436 mRNA sequence. [AF143325]
SLAMF7	32927	SLAMF7	1.211	-1.244	-0.779	-1.098	-1.972	SLAM family member 7 (SLAMF7), mRNA [NM_021181]
SERPINE1	21671	SERPINE1	1.208	-1.083	-1.449	-2.32	-2.122	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 (SERPINE1), mRNA [NM_000602]
SERPINE1	32460	SERPINE1	1.208	-1.418	-1.189	-1.418	-2.131	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 (SERPINE1), mRNA [NM_000602]
TLR2	9956	TLR2	1.206	-0.603	-1.112	--	-0.894	toll-like receptor 2 (TLR2), mRNA [NM_003264]
F11	12589	F11	1.205	-1.391	-1.017	-2.794	-1.956	coagulation factor XI (plasma thromboplastin antecedent) (F11), mRNA [NM_000128]
SGCD	15540	SGCD	1.205	0.223	-1.238	-1.396	-1.119	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein) (SGCD), transcript variant 1, mRNA [NM_000337]
	31117	THC2485189	1.202	-0.008	0.159	0.774	-0.108	ALU6_HUMAN (P39193) Alu subfamily SP sequence contamination warning entry, partial (21%) [THC2485189]
FAM198B	4145	C4orf18	1.201	0.261	0.186	0.477	0.286	chromosome 4 open reading frame 18 (C4orf18), transcript variant 2, mRNA [NM_016613]
	11455	AK097130	1.197	0.342	-0.883	-0.727	-1.205	Homo sapiens cDNA FLJ39811 fis, clone SPLEN2009581. [AK097130]
CCND1	6635	CCND1	1.196	0.302	0.754	-0.325	-0.179	cyclin D1 (CCND1), mRNA [NM_053056]
THNSL2	12767	THNSL2	1.196	-0.922	-1.479	-2.568	-0.724	threonine synthase-like 2 (S. cerevisiae) (THNSL2), mRNA [NM_018271]
CCND1	28565	CCND1	1.195	0.232	0.76	-0.248	-0.108	cyclin D1 (CCND1), mRNA [NM_053056]
HBBP1	31411	HBBP1	1.195	-1.811	-1.218	-1.044	-2.474	hemoglobin, beta pseudogene 1 (HBBP1) on chromosome 11 [NR_001589]
DKK1	22404	DKK1	1.194	0.074	0.139	0.203	0.132	dickkopf homolog 1 (Xenopus laevis) (DKK1), mRNA [NM_012242]
	4548	A_32_P51688	1.194	-0.767	-0.676	-1.338	-1.758	Unknown
GYPB	12833	GYPB	1.192	-1.724	-1.898	-2.204	-1.631	glycophorin B (MNS blood group) (GYPB), mRNA [NM_002100]
GLP2R	32198	GLP2R	1.188	-1.096	-1.102	-0.766	-1.799	Glucagon-like peptide 2 receptor precursor (GLP-2 receptor) (GLP-2-R) (GLP-2R). [Source:Uniprot/SWISSPROT;Acc:O95838] [ENST00000396206]
CD8B	14587	CD8B	1.183	-0.593	-0.697	-0.733	-0.783	CD8b molecule (CD8B), transcript variant 4, mRNA [NM_172102]
KRT7	30469	KRT7	1.182	0.262	-0.336	-1.703	-1.257	keratin 7 (KRT7), mRNA [NM_005556]
SP100	26376	SP100	1.179	-0.122	-0.168	-2.286	0.183	SP100 nuclear antigen (SP100), transcript variant 2, mRNA [NM_003113]
CCL2	8567	CCL2	1.175	-0.319	-0.734	-1.231	-1.415	chemokine (C-C motif) ligand 2 (CCL2), mRNA [NM_002982]
NRG1	12108	NRG1	1.174	-0.029	-0.175	-1.377	0.075	neuregulin 1 (NRG1), transcript variant HRG-gamma, mRNA [NM_004495]
IL18	31302	IL18	1.173	0.104	-0.5	-2.629	-0.067	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
STK32B	36478	STK32B	1.17	-0.854	-1.002	--	--	serine/threonine kinase 32B (STK32B), mRNA [NM_018401]
	4243	THC2753543	1.169	-0.918	-1.492	-2.084	-0.981	Unknown
VIL1	25565	VIL1	1.169	-0.166	-0.251	-0.901	-1.52	villin 1 (VIL1), mRNA [NM_007127]
PTPN6	29365	PTPN6	1.167	-2.118	-0.905	-1.542	-1.412	protein tyrosine phosphatase, non-receptor type 6 (PTPN6), transcript variant 1, mRNA [NM_002831]
	2780	ENST00000375672	1.166	-0.201	-0.584	-0.586	0.722	Uncharacterized protein C20orf112. [Source:Uniprot/SWISSPROT;Acc:Q96MY1] [ENST00000375672]
ICAM1	42612	ICAM1	1.161	-1.021	-1.336	-1.502	-1.371	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA [NM_000201]
ST8SIA1	26462	ST8SIA1	1.161	1.157	0.649	-0.531	0.641	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 (ST8SIA1), mRNA [NM_003034]
CYP24A1	10255	CYP24A1	1.16	-1.209	-0.461	-1.096	-2.003	cytochrome P450, family 24, subfamily A, polypeptide 1 (CYP24A1), nuclear gene encoding mitochondrial protein, mRNA [NM_000782]
IL18	13266	IL18	1.16	-1.199	-0.678	-2.018	0.217	interleukin 18 (interferon-gamma-inducing factor) (IL18), mRNA [NM_001562]
	32766	AL833114	1.159	0.52	-0.38	-0.244	-1.455	Homo sapiens mRNA; cDNA DKFZp313L2229 (from clone DKFZp313L2229). [AL833114]
ESR1	37018	ESR1	1.158	-1.638	-2.11	-2.113	-1.223	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
ICAM1	28499	ICAM1	1.157	-1.328	-1.15	-3.591	-1.237	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA [NM_000201]
	28312	BC040150	1.155	-0.428	-0.746	-0.842	-0.763	Homo sapiens cDNA clone IMAGE:5109562,  WARNING: chimeric clone . [BC040150]
	25977	LOC387763	1.154	0.309	0.309	-0.278	-0.392	Homo sapiens hypothetical LOC387763, mRNA (cDNA clone IMAGE:6272440), partial cds. [BC052560]
ARHGAP15	20346	ARHGAP15	1.152	-1.471	-1.792	-0.845	-1.552	Rho GTPase activating protein 15 (ARHGAP15), mRNA [NM_018460]
CCL2	10193	CCL2	1.151	-1.047	-0.966	-1.156	-1.147	chemokine (C-C motif) ligand 2 (CCL2), mRNA [NM_002982]
IL1B	3715	IL1B	1.15	-2.101	-1.609	-0.956	-2.152	interleukin 1, beta (IL1B), mRNA [NM_000576]
PDE6B	15511	PDE6B	1.15	-0.827	-1.179	-1.142	-1.022	phosphodiesterase 6B, cGMP-specific, rod, beta (congenital stationary night blindness 3, autosomal dominant) (PDE6B), mRNA [NM_000283]
IL6	28841	IL6	1.148	-1.042	-1.413	-2.652	-1.193	interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]
IL17B	18121	IL17B	1.148	-1.013		--	--	interleukin 17B (IL17B), mRNA [NM_014443]
PTPRC	2696	PTPRC	1.146	-1.266	-2.043	-1.416	-1.084	protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA [NM_002838]
	28599	AK097085	1.14	0.187	-0.214	-0.508	-0.532	Homo sapiens cDNA FLJ39766 fis, clone SPLEN2000307. [AK097085]
CYP2W1	15661	CYP2W1	1.14	-1.566	-1.575	-2.177	-1.399	cytochrome P450, family 2, subfamily W, polypeptide 1 (CYP2W1), mRNA [NM_017781]
NOX4	29263	NOX4	1.139	-0.975	-1.225	-0.749	-1.118	NADPH oxidase 4 (NOX4), mRNA [NM_016931]
	4737	A_32_P119949	1.139	-0.965	-1.087	-1.278	-1.044	Unknown
	11981	LOC284120	1.138	-1.539	-0.826	-0.857	-2.008	PREDICTED: Homo sapiens hypothetical LOC284120 (LOC284120), mRNA [XM_001721080]
	27740	LOC401233	1.137	-0.017	-0.151	-1.814	-0.281	Homo sapiens cDNA FLJ46534 fis, clone THYMU3037052, weakly  similar to Homo sapiens HIV TAT specific factor 1 (HTATSF1). [AK128391]
TNFSF10	36824	TNFSF10	1.137	-0.938	-0.82	-1.881	-2.009	tumor necrosis factor (ligand) superfamily, member 10 (TNFSF10), mRNA [NM_003810]
EBF3	21723	EBF3	1.135	-0.622	0.069	-0.429	0.285	early B-cell factor 3 (EBF3), mRNA [NM_001005463]
	8563	LOC158863	1.134	-1.06	-0.962	-0.615	-1.195	Homo sapiens mRNA; cDNA DKFZp586J1922 (from clone DKFZp586J1922) [AL110203]
	16735	THC2691142	1.131	-1.311	-0.952	-0.626	-0.811	Unknown
	31230	BC044628	1.13	--	-1.04	--	--	Homo sapiens mRNA similar to collagen, type XVII, alpha 1 (cDNA clone IMAGE:5431129). [BC044628]
	13522	EY892390	1.13	0.076	0.138	-1.227	-1.183	NM21con Human primary neuroblastoma stage 4S Homo sapiens cDNA clone 3A 3, mRNA sequence [EY892390]
PPP2R2B	9052	PPP2R2B	1.13	-1.452	-0.977	-2.049	-1.741	protein phosphatase 2 (formerly 2A), regulatory subunit B, beta isoform (PPP2R2B), transcript variant 1, mRNA [NM_004576]
MAGEL2	24892	MAGEL2	1.127	-0.397	-0.168	-1.087	-0.566	MAGE-like 2 (MAGEL2), mRNA [NM_019066]
ADH4	38302	ADH4	1.125	-1.197	-1.864	-0.816	-1.687	alcohol dehydrogenase 4 (class II), pi polypeptide (ADH4), mRNA [NM_000670]
FOS	2479	FOS	1.125	-0.52	-0.288	-0.9	-0.282	v-fos FBJ murine osteosarcoma viral oncogene homolog (FOS), mRNA [NM_005252]
WNT11	5863	WNT11	1.124	-0.191	0.07	-0.564	-0.073	wingless-type MMTV integration site family, member 11 (WNT11), mRNA [NM_004626]
ITGAL	4375	ITGAL	1.123	0.249	-0.688	-1.718	-1.82	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) (ITGAL), transcript variant 1, mRNA [NM_002209]
	32214	THC2709254	1.122	-0.294	0.193	--	-1.666	Unknown
CCND1	279	CCND1	1.121	-0.314	0.514	-0.256	-0.251	cyclin D1 (CCND1), mRNA [NM_053056]
PTPRC	44279	PTPRC	1.119	-0.849	-1.874	-1.45	-1.084	protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA [NM_002838]
ZNF542	12196	ZNF542	1.117	-0.769	-0.95	-1.46	-1.502	zinc finger protein 542 (ZNF542) on chromosome 19 [NR_003127]
PHLDA2	17497	PHLDA2	1.113	-0.354	0.523	-0.84	-0.502	pleckstrin homology-like domain, family A, member 2 (PHLDA2), mRNA [NM_003311]
ATP6V0A4	39984	ATP6V0A4	1.111	-1.338	-1.948	-0.876	-1.864	ATPase, H+ transporting, lysosomal V0 subunit a4 (ATP6V0A4), transcript variant 1, mRNA [NM_020632]
	16023	THC2648851	1.11	-1.182	-0.973	-0.949	-0.819	Unknown
MYO1G	26555	MYO1G	1.11	0.228	-0.617	-0.516	-0.238	myosin IG (MYO1G), mRNA [NM_033054]
NLRP7	13294	NLRP7	1.109	0.096	-1.271	-1.315	-0.261	NLR family, pyrin domain containing 7 (NLRP7), transcript variant 1, mRNA [NM_139176]
KCNMA1	19108	KCNMA1	1.103	-1.916	-0.267	-1.173	-1.635	potassium large conductance calcium-activated channel, subfamily M, alpha member 1 (KCNMA1), transcript variant 1, mRNA [NM_001014797]
C1orf170	41846	C1orf170	1.103	-0.633	-1.7	-1.275	-0.849	Homo sapiens cDNA FLJ41861 fis, clone NTONG2008672. [AK123855]
PARP12	38858	PARP12	1.101	-0.111	-0.565	-1.82	-1.522	poly (ADP-ribose) polymerase family, member 12 (PARP12), mRNA [NM_022750]
	13930	AK130891	1.101	-0.07	-0.585	-0.095	-0.795	Homo sapiens cDNA FLJ27381 fis, clone UBA07680. [AK130891]
IL1B	10828	IL1B	1.1	-2.558	-2.793	-2.154	-1.611	interleukin 1, beta (IL1B), mRNA [NM_000576]
IL6	22295	IL6	1.1	-0.522	-0.822	-1.899	-0.908	interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]
TMEM163	6692	TMEM163	1.098	0.048	-0.779	-0.902	0.034	transmembrane protein 163 (TMEM163), mRNA [NM_030923]
SLC1A2	37837	SLC1A2	1.096	0.341	-0.677	-1.063	-0.308	solute carrier family 1 (glial high affinity glutamate transporter), member 2 (SLC1A2), mRNA [NM_004171]
IL1B	39815	IL1B	1.094	-2.121	-1.606	-0.613	-2.396	interleukin 1, beta (IL1B), mRNA [NM_000576]
FAM26F	21542	FAM26F	1.091	-0.948	-1.156	-0.938	-1.231	family with sequence similarity 26, member F (FAM26F), mRNA [NM_001010919]
LAMP5	12253	C20orf103	1.091	-0.017	-0.365	-0.938	-0.166	chromosome 20 open reading frame 103 (C20orf103), mRNA [NM_012261]
EGR2	6196	EGR2	1.09	-0.879	-0.12	0.91	-0.197	early growth response 2 (Krox-20 homolog, Drosophila) (EGR2), mRNA [NM_000399]
	14336	BX098660	1.09	-0.769	-1.102	-1.21	-0.517	BX098660 Soares placenta Nb2HP Homo sapiens cDNA clone IMAGp998L03214, mRNA sequence [BX098660]
	14564	AK021554	1.089	-0.969	-0.889	-0.877	-1.414	Homo sapiens cDNA FLJ11492 fis, clone HEMBA1001939. [AK021554]
FGA	13873	FGA	1.089	-1.281	-1.527	--	0.025	fibrinogen alpha chain (FGA), transcript variant alpha, mRNA [NM_021871]
TSPAN8	28149	TSPAN8	1.088	-1.424	-0.751	-1.651	-1.124	tetraspanin 8 (TSPAN8), mRNA [NM_004616]
	18646	AK124941	1.087	-2.508	-2.19	-0.997	-1.448	Homo sapiens cDNA FLJ42951 fis, clone BRSTN2007765. [AK124941]
ATP10A	36921	ATP10A	1.085	-0.888	-1.151	-2.032	-2.627	ATPase, class V, type 10A (ATP10A), mRNA [NM_024490]
CCND1	42741	CCND1	1.085	0.172	0.769	-0.225	-0.084	cyclin D1 (CCND1), mRNA [NM_053056]
	44739	A_24_P655735	1.084	-0.236	-0.607	-1.098	-0.431	Unknown
NUP210L	14730	NUP210L	1.083	--		--	--	nucleoporin 210kDa-like (NUP210L), mRNA [NM_207308]
CYSLTR1	30337	CYSLTR1	1.081	-1.074	-1.016	-1.292	-1.306	cysteinyl leukotriene receptor 1 (CYSLTR1), mRNA [NM_006639]
AXIN2	34975	AXIN2	1.079	-0.268	-0.218	-0.806	-0.626	axin 2 (conductin, axil) (AXIN2), mRNA [NM_004655]
TGM2	34255	TGM2	1.071	0.034	0.099	0.202	0.488	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase) (TGM2), transcript variant 2, mRNA [NM_198951]
ST6GALNAC1	3143	ST6GALNAC1	1.07	-0.477	-1.191	-1.461	-0.836	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 (ST6GALNAC1), mRNA [NM_018414]
TNS1	26372	TNS1	1.068	0.189	-0.088	-1.571	-0.155	tensin 1 (TNS1), mRNA [NM_022648]
PTPRC	44725	PTPRC	1.066	-0.762	-2.253	-0.833	-0.787	protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA [NM_002838]
ANPEP	15064	ANPEP	1.064	-0.071	-0.253	-1.866	-0.89	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150) (ANPEP), mRNA [NM_001150]
THBS2	31921	THBS2	1.062	-1.201	-1.422	-2.15	-2.127	Human thrombospondin 2 (THBS2) mRNA, complete cds. [L12350]
ANXA1	3349	ANXA1	1.06	-0.197	0.297	-1.274	-1.16	annexin A1 (ANXA1), mRNA [NM_000700]
HPD	4237	HPD	1.055	-1.122	-0.379	-0.967	-1.585	4-hydroxyphenylpyruvate dioxygenase (HPD), mRNA [NM_002150]
	25878	BC028022	1.05	-0.501	-1.138	-1.704	-1.152	Homo sapiens, clone IMAGE:5218412, mRNA. [BC028022]
KCNE4	31377	KCNE4	1.05	-0.754	-0.764	-1.753	-1.527	potassium voltage-gated channel, Isk-related family, member 4 (KCNE4), mRNA [NM_080671]
TNFSF10	25574	TNFSF10	1.05	-0.805	-1.729	-1.742	-1.625	tumor necrosis factor (ligand) superfamily, member 10 (TNFSF10), mRNA [NM_003810]
THBS1	11138	THBS1	1.049	-2.674	-1.05	-2.884	-1.761	thrombospondin 1 (THBS1), mRNA [NM_003246]
DUSP6	38469	DUSP6	1.047	-1.116	0.237	-1.123	-1.275	dual specificity phosphatase 6 (DUSP6), transcript variant 1, mRNA [NM_001946]
	23112	THC2658419	1.047	-0.135	-0.875	-0.331	-2.088	Unknown
	39681	A_32_P181339	1.047	-1.032	-0.154	-0.416	-0.952	Unknown
A1CF	33162	A1CF	1.047	-0.97	-1.09	-3.043	-1.79	APOBEC1 complementation factor (A1CF), transcript variant 3, mRNA [NM_138933]
	28840	THC2559929	1.045	-0.761	-0.882	-2.067	-1.079	Q9UP60_HUMAN (Q9UP60) SNC73 protein, partial (54%) [THC2559929]
SLA	30558	SLA	1.043	-1.337	-1.763	-2.08	-1.353	Src-like-adaptor (SLA), transcript variant 1, mRNA [NM_001045556]
SPRY4	14866	SPRY4	1.04	-0.527	-0.32	-1.31	-0.822	sprouty homolog 4 (Drosophila) (SPRY4), mRNA [NM_030964]
	17230	BU624603	1.039	-0.959	-0.796	-0.628	-0.999	BU624603 UI-H-FG1-bgk-p-15-0-UI.s1 NCI_CGAP_FG1 Homo sapiens cDNA clone UI-H-FG1-bgk-p-15-0-UI 3, mRNA sequence [BU624603]
IL6	10592	IL6	1.038	-0.927	-0.956	-1.193	-1.684	interleukin 6 (interferon, beta 2) (IL6), mRNA [NM_000600]
