Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P112162	chr8:145540235-145540294	DGAT1	1	NM_012079	Diacylglycerol O-acyltransferase homolog 1 (mouse)	molecular function|2-acylglycerol O-acyltransferase activity|IEA|GO:0003846|GOA|na//molecular function|O-acyltransferase activity|IEA|GO:0008374|GOA|na//molecular function|acyltransferase activity|TAS|GO:0008415|GOA|9756920//molecular function|diacylglycerol O-acyltransferase activity|EXP|GO:0004144|GOA|11672446//molecular function|diacylglycerol binding|IEA|GO:0019992|GOA|na//molecular function|fatty acid binding|IEA|GO:0005504|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|glycerolipid metabolic process|IEA|GO:0046486|GOA|na//biological process|insulin secretion|IEA|GO:0030073|GOA|na//biological process|triglyceride biosynthetic process|IDA|GO:0019432|GOA|18238778//biological process|triglyceride metabolic process|TAS|GO:0006641|GOA|9756920//biological process|very-low-density lipoprotein particle assembly|IMP|GO:0034379|GOA|15308631//cellular component|cytosol|EXP|GO:0005829|GOA|11672446//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|IEA|GO:0005624|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	F	15	0.7838	-1.2758	9.1209E-15	1670.0767	1300.8889
A_24_P295791	chr11:75509279-75509338	DGAT2	1	NM_032564	Diacylglycerol O-acyltransferase homolog 2 (mouse)	molecular function|2-acylglycerol O-acyltransferase activity|IEA|GO:0003846|GOA|na//molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|diacylglycerol O-acyltransferase activity|IDA|GO:0004144|GOA|11481335//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|glycerol metabolic process|IEA|GO:0006071|GOA|na//biological process|lipid biosynthetic process|IEA|GO:0008610|GOA|na//biological process|triglyceride biosynthetic process|IDA|GO:0019432|GOA|11481335//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|endoplasmic reticulum membrane|IEA|GO:0005789|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|IDA|GO:0005624|GOA|11481335//cellular component|microsome|IEA|GO:0005792|GOA|na	F	15	0.781	-1.2805	1.1738E-09	3182.5115	2479.8694
A_23_P124514	chr11:83173091-83173136	DLG2	0	NM_001364	Discs, large homolog 2 (Drosophila)	molecular function|guanylate kinase activity|TAS|GO:0004385|GOA|8755482//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x19ec34c)//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|postsynaptic density|IEA|GO:0014069|GOA|na//cellular component|postsynaptic membrane|IEA|GO:0045211|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na	F	15	0.7889	-1.2675	5.1703E-10	89.102	69.7295
A_32_P37584	chr7:86824037-86824096	DMTF1	0	NR_024550	cyclin D binding myb-like transcription factor 1	molecular function|transcription factor activity|NAS|GO:0003700|GOA|10095122//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|10095122//cellular component|nucleus|NAS|GO:0005634|GOA|10095122	F	14	0.7715	-1.2962	1.8617E-18	63.6897	48.8466
A_23_P170888	chr7:154684967-154685026	DPP6	0	NM_130797	Dipeptidyl-peptidase 6	molecular function|dipeptidyl-peptidase activity|TAS|GO:0008239|GOA|8103397//biological process|cell death|IEA|GO:0008219|GOA|na//biological process|proteolysis|IEA|GO:0006508|GOA|na//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	F	15	0.6259	-1.5976	0.004	5.6074	3.5326
A_23_P348159	chr6:56468851-56468910	DST	0	NM_020388	Dystonin	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|calcium ion binding|IEA|GO:0005509|GOA|na//molecular function|integrin binding|IPI|GO:0005178|GOA|11375975//molecular function|protein C-terminus binding|IPI|GO:0008022|GOA|11375975//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xc6b0b8)//biological process|cell adhesion|IEA|GO:0007155|GOA|na//biological process|cell cycle arrest|IEA|GO:0007050|GOA|na//biological process|hemidesmosome assembly|EXP|GO:0031581|GOA|16757171//biological process|integrin-mediated signaling pathway|NAS|GO:0007229|GOA|11375975//biological process|intermediate filament cytoskeleton organization|IEP|GO:0045104|GOA|11751855//biological process|intermediate filament cytoskeleton organization|ISS|GO:0045104|GOA|na//biological process|intermediate filament cytoskeleton organization|NAS|GO:0045104|GOA|11375975//cellular component|basal plasma membrane|NAS|GO:0009925|GOA|11375975//cellular component|basement membrane|TAS|GO:0005604|GOA|2461961//cellular component|cytoplasm|IDA|GO:0005737|GOA|11751855//cellular component|cytoplasm|ISS|GO:0005737|GOA|na//cellular component|cytoplasmic membrane-bounded vesicle|IDA|GO:0016023|GOA|14581450//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|ARRAY(0xe397e0)//cellular component|hemidesmosome|TAS|GO:0030056|GOA|ARRAY(0xd5b9f0)	F	16	0.5913	-1.6911	2.3996E-09	19.7502	11.2985
A_23_P51856	chr1:221875178-221875237	DUSP10	0	NM_144729	Dual specificity phosphatase 10	molecular function|MAP kinase tyrosine/serine/threonine phosphatase activity|IEA|GO:0017017|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|phosphoprotein phosphatase activity|TAS|GO:0004721|GOA|10391943//molecular function|protein tyrosine phosphatase activity|IEA|GO:0004725|GOA|na//biological process|JNK cascade|TAS|GO:0007254|GOA|10391943//biological process|protein amino acid dephosphorylation|IEA|GO:0006470|GOA|na//biological process|response to stress|TAS|GO:0006950|GOA|10391943//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	15	0.8611	-1.1614	0.000039606	4087.9949	3537.5237
A_24_P7887	chr22:41553254-41553313	EP300	0	NM_001429	E1A binding protein p300	molecular function|DNA binding|IDA|GO:0003677|GOA|9194565//molecular function|acetyltransferase activity|IMP|GO:0016407|GOA|12435739//molecular function|histone acetyltransferase activity|IDA|GO:0004402|GOA|12040021//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|peroxisome proliferator activated receptor binding|IEA|GO:0042975|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xe80474)//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|ARRAY(0xccdb88)//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription factor binding|IPI|GO:0008134|GOA|ARRAY(0xc20f98)//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|N-terminal peptidyl-lysine acetylation|IDA|GO:0018076|GOA|12435739//biological process|apoptosis|IMP|GO:0006915|GOA|9194565//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|heart development|IEA|GO:0007507|GOA|na//biological process|histone H4 acetylation|IMP|GO:0043967|GOA|16325578//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|liver development|IEA|GO:0001889|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|nervous system development|TAS|GO:0007399|GOA|10205054//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|positive regulation of cell growth|IEA|GO:0030307|GOA|na//biological process|positive regulation of proteolysis|IEA|GO:0045862|GOA|na//biological process|positive regulation of transcription factor activity|IDA|GO:0051091|GOA|10518217//biological process|positive regulation of transcription from RNA polymerase II promoter|IMP|GO:0045944|GOA|16325578//biological process|regulation of transcription|IDA|GO:0045449|GOA|15261140//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|response to calcium ion|IEA|GO:0051592|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to ethanol|IEA|GO:0045471|GOA|na//biological process|response to glucocorticoid stimulus|IEA|GO:0051384|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to hypoxia|IDA|GO:0001666|GOA|15261140//biological process|skeletal muscle tissue development|IEA|GO:0007519|GOA|na//biological process|somitogenesis|IEA|GO:0001756|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|histone acetyltransferase complex|IEA|GO:0000123|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xd0363c)//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	F	16	0.6161	-1.6232	9.2623E-21	133.7901	80.969
A_23_P166993	chr3:134978114-134978173	EPHB1	0	NM_004441	EPH receptor B1	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|axon guidance receptor activity|IEA|GO:0008046|GOA|na//molecular function|ephrin receptor activity|IEA|GO:0005003|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|8798570//molecular function|receptor activity|IEA|GO:0004872|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|transmembrane receptor protein tyrosine kinase activity|TAS|GO:0004714|GOA|8666391//biological process|camera-type eye morphogenesis|IEA|GO:0048593|GOA|na//biological process|cell-cell signaling|IEA|GO:0007267|GOA|na//biological process|central nervous system projection neuron axonogenesis|IEA|GO:0021952|GOA|na//biological process|cranial nerve development|IEA|GO:0021545|GOA|na//biological process|nervous system development|TAS|GO:0007399|GOA|8666391//biological process|optic nerve morphogenesis|IEA|GO:0021631|GOA|na//biological process|protein amino acid phosphorylation|IEA|GO:0006468|GOA|na//biological process|retinal ganglion cell axon guidance|IEA|GO:0031290|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|8666391//biological process|transmembrane receptor protein tyrosine kinase signaling pathway|IEA|GO:0007169|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|integral to plasma membrane|IEA|GO:0005887|GOA|na//cellular component|membrane raft|IEA|GO:0045121|GOA|na//cellular component|plasma membrane|TAS|GO:0005886|GOA|8666391	F	14	0.7295	-1.3709	1.89E-08	68.3664	49.22
A_23_P31443	chr7:92098198-92098257	ERVWE1	0	NM_014590	endogenous retroviral family W, env(C7), member 1	molecular function|structural molecule activity|IEA|GO:0005198|GOA|na//biological process|anatomical structure morphogenesis|TAS|GO:0009653|GOA|10693809//biological process|syncytium formation|TAS|GO:0006949|GOA|10693809//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|viral capsid|IEA|GO:0019028|GOA|na//cellular component|viral envelope|IEA|GO:0019031|GOA|na//cellular component|virion|IEA|GO:0019012|GOA|na	F	15	0.796	-1.2562	1.6239E-06	26.4837	21.0943
A_32_P223918	chr12:12045357-12045416	ETV6	0	NM_001987	Ets variant 6	molecular function|protein binding|IPI|GO:0005515|GOA|12590135//molecular function|protein domain specific binding|IPI|GO:0019904|GOA|12588862//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	M	15	1.2785	1.2785	4.0954E-18	452.3715	577.7162
A_23_P320225	chr4:5564684-5564743	EVC2	0	NM_147127	Ellis van Creveld syndrome 2	cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na	M	15	1.3176	1.3176	0.0002	15.0831	20.2368
A_23_P156109	chr5:175927085-175927144	FAF2	0	NM_014613	Fas associated factor family member 2	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1506918)//biological process|response to unfolded protein|IEA|GO:0006986|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|endoplasmic reticulum|IEA|GO:0005783|GOA|na//cellular component|lipid particle|IEA|GO:0005811|GOA|na	F	14	0.7576	-1.3199	9.1056E-09	484.0515	358.9074
A_32_P39093	chr15:81047885-81047944	FAM108C1	0	NM_021214	Family with sequence similarity 108, member C1	molecular function|hydrolase activity|IEA|GO:0016787|GOA|na	M	16	1.1609	1.1609	1.4879E-07	746.1479	869.8212
A_23_P71319	chr8:11696201-11696260	FDFT1	1	NM_004462	Farnesyl-diphosphate farnesyltransferase 1	molecular function|farnesyl-diphosphate farnesyltransferase activity|EXP|GO:0004310|GOA|10896663//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|cholesterol biosynthetic process|IEA|GO:0006695|GOA|na//biological process|farnesyl diphosphate metabolic process|IEA|GO:0045338|GOA|na//biological process|isoprenoid biosynthetic process|IEA|GO:0008299|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|steroid biosynthetic process|TAS|GO:0006694|GOA|8474436//cellular component|endoplasmic reticulum|IDA|GO:0005783|GOA|18029348//cellular component|endoplasmic reticulum membrane|EXP|GO:0005789|GOA|10896663//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|microsome|IEA|GO:0005792|GOA|na	F	14	0.824	-1.2136	2.298E-07	4951.457	4060.0039
A_23_P136125	chr4:155492029-155492088	FGB	0	NM_005141	Fibrinogen beta chain	molecular function|chaperone binding|IPI|GO:0051087|GOA|19996109//molecular function|eukaryotic cell surface binding|IDA|GO:0043499|GOA|6777381//molecular function|protein binding|IPI|GO:0005515|GOA|12878203//molecular function|protein binding, bridging|IEA|GO:0030674|GOA|na//molecular function|receptor binding|IEA|GO:0005102|GOA|na//biological process|platelet activation|IEA|GO:0030168|GOA|na//biological process|protein polymerization|IEA|GO:0051258|GOA|na//biological process|response to calcium ion|IDA|GO:0051592|GOA|6777381//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|cell cortex|IEA|GO:0005938|GOA|na//cellular component|external side of plasma membrane|IDA|GO:0009897|GOA|6777381//cellular component|extracellular region|EXP|GO:0005576|GOA|ARRAY(0x12dd244)//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|IDA|GO:0005615|GOA|ARRAY(0x13c27b0)//cellular component|fibrinogen complex|IEA|GO:0005577|GOA|na//cellular component|plasma membrane|EXP|GO:0005886|GOA|10605720//cellular component|platelet alpha granule|IDA|GO:0031091|GOA|6777381//cellular component|platelet alpha granule lumen|EXP|GO:0031093|GOA|5084810//cellular component|soluble fraction|TAS|GO:0005625|GOA|6688356	M	14	1.1516	1.1516	0.000086171	85360.1953	98347.7344
A_23_P14612	chr15:49777580-49777639	FGF7	1	NM_002009	Fibroblast growth factor 7 (keratinocyte growth factor)	molecular function|chemoattractant activity|IDA|GO:0042056|GOA|17449030//molecular function|growth factor activity|IEA|GO:0008083|GOA|na//molecular function|heparin binding|IEA|GO:0008201|GOA|na//molecular function|type 2 fibroblast growth factor receptor binding|IEA|GO:0005111|GOA|na//biological process|actin cytoskeleton reorganization|IDA|GO:0031532|GOA|17449030//biological process|epidermis development|TAS|GO:0008544|GOA|7973639//biological process|fibroblast growth factor receptor signaling pathway|EXP|GO:0008543|GOA|17133345//biological process|fibroblast growth factor receptor signaling pathway|IGI|GO:0008543|GOA|8663044//biological process|hair follicle morphogenesis|IEA|GO:0031069|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|mesenchymal cell proliferation|IDA|GO:0010463|GOA|11023837//biological process|ovarian follicle development|IEA|GO:0001541|GOA|na//biological process|phosphatidylcholine biosynthetic process|IEA|GO:0006656|GOA|na//biological process|phospholipid biosynthetic process|IEA|GO:0008654|GOA|na//biological process|positive chemotaxis|IDA|GO:0050918|GOA|17449030//biological process|positive regulation of cell division|IEA|GO:0051781|GOA|na//biological process|positive regulation of cell proliferation|IGI|GO:0008284|GOA|8663044//biological process|positive regulation of epithelial cell proliferation|IDA|GO:0050679|GOA|ARRAY(0xf92a14)//biological process|positive regulation of keratinocyte migration|IDA|GO:0051549|GOA|17449030//biological process|positive regulation of keratinocyte proliferation|IDA|GO:0010838|GOA|17449030//biological process|positive regulation of peptidyl-tyrosine phosphorylation|IDA|GO:0050731|GOA|17449030//biological process|protein localization at cell surface|IDA|GO:0034394|GOA|17449030//biological process|response to wounding|TAS|GO:0009611|GOA|7973639//biological process|signal transduction|NAS|GO:0007165|GOA|2475908//biological process|surfactant homeostasis|IEA|GO:0043129|GOA|na//biological process|wound healing|IEA|GO:0042060|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|extracellular region|EXP|GO:0005576|GOA|11294897//cellular component|extracellular space|IEA|GO:0005615|GOA|na	F	15	0.8044	-1.2432	3.3534E-10	1086.0673	863.7772
A_23_P122127	chr5:39122467-39122505	FYB	0	NM_199335	FYN binding protein (FYB-120/130)	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x12d20dc)//biological process|NLS-bearing substrate import into nucleus|TAS|GO:0006607|GOA|9207119//biological process|immune response|TAS|GO:0006955|GOA|9207119//biological process|protein amino acid phosphorylation|TAS|GO:0006468|GOA|9207119//biological process|protein kinase cascade|TAS|GO:0007243|GOA|9207119//biological process|signal transduction|TAS|GO:0007165|GOA|9207119//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	F	14	0.8423	-1.1872	0.000024833	605.1565	507.7388
A_23_P10966	chr15:26792524-26792583	GABRB3	0	NM_021912	Gamma-aminobutyric acid (GABA) A receptor, beta 3	molecular function|GABA-A receptor activity|IEA|GO:0004890|GOA|na//molecular function|chloride channel activity|IEA|GO:0005254|GOA|na//molecular function|extracellular ligand-gated ion channel activity|IEA|GO:0005230|GOA|na//molecular function|ion channel activity|IEA|GO:0005216|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//biological process|ion transport|IEA|GO:0006811|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|1664410//biological process|synaptic transmission, GABAergic|IEA|GO:0051932|GOA|na//biological process|transport|TAS|GO:0006810|GOA|1664410//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|chloride channel complex|IEA|GO:0034707|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|1664410//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|postsynaptic membrane|IEA|GO:0045211|GOA|na//cellular component|synapse|IEA|GO:0045202|GOA|na//cellular component|terminal button|IEA|GO:0043195|GOA|na	M	14	1.173	1.173	0.000051847	50.188	59.0011
A_32_P59549	chr10:118030342-118030401	GFRA1	1	NM_145793	GDNF family receptor alpha 1	molecular function|glial cell line-derived neurotrophic factor receptor activity|TAS|GO:0016167|GOA|10829012//molecular function|receptor activity|NAS|GO:0004872|GOA|na//molecular function|receptor binding|TAS|GO:0005102|GOA|9545641//biological process|cell surface receptor linked signaling pathway|NAS|GO:0007166|GOA|8674117//biological process|nervous system development|IEA|GO:0007399|GOA|na//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extrinsic to membrane|NAS|GO:0019898|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	14	0.8574	-1.1663	3.7375E-17	349.5786	299.6006
A_24_P96505	chr8:21550865-21550914	GFRA2	1	NM_001495	GDNF family receptor alpha 2	molecular function|glial cell line-derived neurotrophic factor receptor activity|TAS|GO:0016167|GOA|10829012//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|transmembrane receptor protein tyrosine kinase signaling pathway|TAS|GO:0007169|GOA|9192898//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extrinsic to membrane|TAS|GO:0019898|GOA|10829012//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	15	0.7555	-1.3236	1.811E-11	49.8248	37.6217
A_23_P156087	chr5:42719622-42719681	GHR	0	NM_000163	Growth hormone receptor	molecular function|SH2 domain binding|IEA|GO:0042169|GOA|na//molecular function|growth hormone receptor activity|IEA|GO:0004903|GOA|na//molecular function|peptide hormone binding|IPI|GO:0017046|GOA|ARRAY(0x13c263c)//molecular function|phosphate binding|IEA|GO:0042301|GOA|na//molecular function|proline-rich region binding|ISS|GO:0070064|GOA|2825030//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb7de9c)//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|ARRAY(0xb50894)//molecular function|protein kinase binding|ISS|GO:0019901|GOA|na//molecular function|protein phosphatase binding|IEA|GO:0019903|GOA|na//molecular function|receptor activity|IEA|GO:0004872|GOA|na//biological process|2-oxoglutarate metabolic process|ISS|GO:0006103|GOA|na//biological process|JAK-STAT cascade|ISS|GO:0007259|GOA|na//biological process|activation of JAK2 kinase activity|ISS|GO:0042977|GOA|na//biological process|activation of MAPK activity|ISS|GO:0000187|GOA|na//biological process|allantoin metabolic process|ISS|GO:0000255|GOA|na//biological process|cartilage development involved in endochondral bone morphogenesis|IEA|GO:0060351|GOA|na//biological process|cellular response to hormone stimulus|IMP|GO:0032870|GOA|7565946//biological process|cellular response to insulin stimulus|IEA|GO:0032869|GOA|na//biological process|citrate metabolic process|ISS|GO:0006101|GOA|na//biological process|creatine metabolic process|ISS|GO:0006600|GOA|na//biological process|creatinine metabolic process|ISS|GO:0046449|GOA|na//biological process|endocytosis|IEA|GO:0006897|GOA|na//biological process|fatty acid metabolic process|ISS|GO:0006631|GOA|na//biological process|growth hormone receptor signaling pathway|IMP|GO:0060396|GOA|7565946//biological process|hormone-mediated signaling pathway|IEA|GO:0009755|GOA|na//biological process|insulin-like growth factor receptor signaling pathway|IMP|GO:0048009|GOA|7565946//biological process|isoleucine metabolic process|ISS|GO:0006549|GOA|na//biological process|multicellular organismal metabolic process|IMP|GO:0044236|GOA|8137822//biological process|neuroprotection|IEA|GO:0043526|GOA|na//biological process|oxaloacetate metabolic process|ISS|GO:0006107|GOA|na//biological process|positive regulation of JAK-STAT cascade|IEA|GO:0046427|GOA|na//biological process|positive regulation of multicellular organism growth|IMP|GO:0040018|GOA|2813379//biological process|positive regulation of peptidyl-tyrosine phosphorylation|ISS|GO:0050731|GOA|na//biological process|positive regulation of tyrosine phosphorylation of Stat3 protein|ISS|GO:0042517|GOA|2825030//biological process|positive regulation of tyrosine phosphorylation of Stat5 protein|ISS|GO:0042523|GOA|2825030//biological process|regulation of multicellular organism growth|ISS|GO:0040014|GOA|na//biological process|response to food|IEA|GO:0032094|GOA|na//biological process|response to glucocorticoid stimulus|IEA|GO:0051384|GOA|na//biological process|response to interleukin-1|IEA|GO:0070555|GOA|na//biological process|response to morphine|IEA|GO:0043278|GOA|na//biological process|response to peptide hormone stimulus|IEA|GO:0043434|GOA|na//biological process|succinate metabolic process|ISS|GO:0006105|GOA|na//biological process|taurine metabolic process|ISS|GO:0019530|GOA|na//biological process|valine metabolic process|ISS|GO:0006573|GOA|na//cellular component|cell surface|IDA|GO:0009986|GOA|8137822//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IDA|GO:0005615|GOA|8137822//cellular component|extracellular space|IMP|GO:0005615|GOA|2825030//cellular component|extrinsic to membrane|IEA|GO:0019898|GOA|na//cellular component|growth hormone receptor complex|IDA|GO:0070195|GOA|8137822//cellular component|integral to membrane|IDA|GO:0016021|GOA|1549776//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|8137822//cellular component|mitochondrion|IEA|GO:0005739|GOA|na//cellular component|neuronal cell body|IEA|GO:0043025|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|receptor complex|IDA|GO:0043235|GOA|8137822	F	16	0.5619	-1.7796	4.5159E-31	9582.4082	5354.5757
A_23_P72068	chr6:1960127-1960186	GMDS	0	NM_001500	GDP-mannose 4,6-dehydratase	molecular function|GDP-mannose 4,6-dehydratase activity|TAS|GO:0008446|GOA|11698403//molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|coenzyme binding|IEA|GO:0050662|GOA|na//molecular function|lyase activity|IEA|GO:0016829|GOA|na//biological process|de novo GDP-L-fucose biosynthetic process|TAS|GO:0042351|GOA|11698403//biological process|GDP-mannose metabolic process|IEA|GO:0019673|GOA|na//biological process|carbohydrate metabolic process|TAS|GO:0005975|GOA|9525924//biological process|cellular metabolic process|IEA|GO:0044237|GOA|na//biological process|leukocyte cell-cell adhesion|NAS|GO:0007159|GOA|11698403//cellular component|cytoplasm|IC|GO:0005737|GOA|11698403//cellular component|intracellular|IEA|GO:0005622|GOA|na	F	16	0.5972	-1.6745	0	599.2161	356.3926
A_23_P169479	chr9:80038193-80038252	GNA14	0	NM_004297	Guanine nucleotide binding protein (G protein), alpha 14	molecular function|GTP binding|IEA|GO:0005525|GOA|na//molecular function|GTPase activity|TAS|GO:0003924|GOA|10191087//molecular function|guanyl nucleotide binding|IEA|GO:0019001|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|signal transducer activity|IEA|GO:0004871|GOA|na//biological process|G-protein coupled receptor protein signaling pathway|EXP|GO:0007186|GOA|18240029//biological process|protein amino acid ADP-ribosylation|IEA|GO:0006471|GOA|na//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|heterotrimeric G-protein complex|TAS|GO:0005834|GOA|1946421//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x2dcbd88)	F	15	0.8669	-1.1535	2.9941E-10	998.5264	868.1389
A_23_P371682	chr13:95050795-95050854	GPC6	1	NM_005708	Glypican 6	molecular function|heparan sulfate proteoglycan binding|IEA|GO:0043395|GOA|na//cellular component|anchored to membrane|IEA|GO:0031225|GOA|na//cellular component|extracellular region|IEA|GO:0005576|GOA|na//cellular component|extracellular space|IEA|GO:0005615|GOA|na//cellular component|integral to plasma membrane|TAS|GO:0005887|GOA|10329016//cellular component|plasma membrane|IEA|GO:0005886|GOA|na//cellular component|proteinaceous extracellular matrix|IEA|GO:0005578|GOA|na	F	15	0.8612	-1.1612	6.8231E-09	243.8999	208.27
A_23_P365785	chr2:10140731-10140790	GRHL1	0	NM_198182	Grainyhead-like 1 (Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18029348//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	M	14	1.2577	1.2577	0.000081389	533.8687	676.8726
