Curated Gene Symbol	Order	Parametric p-value	t-value	% CV support	Geom mean of intensities in class 1	Geom mean of intensities in class 2	Geom mean of intensities in class 3	Geom mean of intensities in class 4	Unique id	Description	GB acc	Gene symbol
SLC7A6	139	0.0000495	9.536	100	118.14	132.94	148.04	204.35	A_24_P159312	Homo sapiens solute carrier family 7 (cationic amino acid transporter, y+ system), member 6 (SLC7A6), transcript variant 2, mRNA [NM_001076785]	NM_001076785	SLC7A6
TP53I3	140	0.0000527	9.468	100	370.8	397.01	456.7	569.52	A_23_P5392	Homo sapiens tumor protein p53 inducible protein 3 (TP53I3), transcript variant 1, mRNA [NM_004881]	NM_004881	TP53I3
SOGA1	141	0.0000572	9.378	100	24.66	23.98	28.93	37.95	A_23_P5936	Homo sapiens mRNA for KIAA0889 protein, partial cds. [AB020696]	AB020696	C20orf117
IER5L	142	0.0000601	9.323	100	4044.28	4166.26	5014.06	6149.99	A_24_P383450	Homo sapiens immediate early response 5-like (IER5L), mRNA [NM_203434]	NM_203434	IER5L
USP15	143	0.0000658	9.223	100	215.08	192.45	162.72	138.31	A_23_P325802	Homo sapiens ubiquitin specific peptidase 15, mRNA (cDNA clone IMAGE:5176281), complete cds. [BC110908]	BC110908	USP15
ITLN2	144	0.0000664	9.213	100	46.87	53.75	67.53	114.47	A_24_P53778	Homo sapiens intelectin 2 (ITLN2), mRNA [NM_080878]	NM_080878	ITLN2
METTL7A	145	0.0000669	9.206	100	345.04	322.42	462.44	685.3	A_24_P941773	Homo sapiens methyltransferase like 7A (METTL7A), mRNA [NM_014033]	NM_014033	METTL7A
RASGEF1A	146	0.0000696	9.163	100	585.22	578.35	521.05	371.46	A_23_P391344	Homo sapiens RasGEF domain family, member 1A, mRNA (cDNA clone MGC:26821 IMAGE:4814750), complete cds. [BC022548]	BC022548	RASGEF1A
TREM2	147	0.0000765	9.059	100	52.12	68.08	95.72	143.31	A_24_P12397	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	NM_018965	TREM2
ZP1	148	0.0000939	8.882	100	15.08	19.66	21.99	30.47	A_23_P1912	Homo sapiens zona pellucida glycoprotein 1 (sperm receptor) (ZP1), mRNA [NM_207341]	NM_207341	ZP1
AP1S3	149	0.0001086	8.681	100	19.48	19.03	28.41	46.69	A_24_P105747	Homo sapiens adaptor-related protein complex 1, sigma 3 subunit (AP1S3), mRNA [NM_001039569]	NM_001039569	AP1S3
TRIM32	150	0.000109	8.677	100	46.04	53.45	66.69	86.44	A_23_P112311	Homo sapiens tripartite motif-containing 32 (TRIM32), mRNA [NM_012210]	NM_012210	TRIM32
RELB	151	0.0001341	8.456	100	8936.28	9397.18	11465.51	15472.65	A_23_P55706	Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian) (RELB), mRNA [NM_006509]	NM_006509	RELB
TTC21A	152	0.0001539	8.309	100	780.86	718.07	632.62	480.39	A_23_P428248	Homo sapiens tetratricopeptide repeat domain 21A (TTC21A), mRNA [NM_145755]	NM_145755	TTC21A
FAS	153	0.000158	8.281	100	454.73	514.71	631.96	894.17	A_23_P63896	Homo sapiens Fas (TNF receptor superfamily, member 6) (FAS), transcript variant 1, mRNA [NM_000043]	NM_000043	FAS
	154	0.0001751	8.173	100	345.44	389.78	462.32	670.52	A_23_P50517	Zinc finger protein 541. [Source:Uniprot/SWISSPROT;Acc:Q9H0D2] [ENST00000314121]	ENST00000314121	ENST00000314121
MAP4K4	155	0.0001899	8.088	100	211.4	236.46	279.76	346.78	A_23_P102192	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	NM_145686	MAP4K4
	156	0.000209	7.988	100	34.45	40.26	52.99	54.49	A_24_P767901	PREDICTED: Homo sapiens hypothetical LOC648960 (LOC648960), mRNA [XR_018450]	XR_018450	LOC648960
	157	0.0002322	7.878	100	21.43	33.07	53.01	44.28	A_32_P30489	BX118699 Soares adult brain N2b5HB55Y Homo sapiens cDNA clone IMAGp998K21329, mRNA sequence [BX118699]	BX118699	BX118699
RASAL2	158	0.0002479	7.81	96	75.76	82.11	90.2	129.19	A_24_P419250	Homo sapiens RAS protein activator like 2 (RASAL2), transcript variant 2, mRNA [NM_170692]	NM_170692	RASAL2
KCNN1	159	0.0002863	7.846	96	11.82	10.95	11.38	19.22	A_23_P119573	Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1 (KCNN1), mRNA [NM_002248]	NM_002248	KCNN1
	160	0.0002917	7.641	98	570.19	578.5	672.59	846.19	A_24_P196774	Homo sapiens, clone IMAGE:3029191, mRNA. [BC014395]	BC014395	BC014395
	161	0.0002955	7.628	96	217.03	210.33	233.56	341.48	A_32_P53234	Homo sapiens cDNA FLJ41339 fis, clone BRASW1000053. [AK123333]	AK123333	AK123333
NFKB2	162	0.0002961	7.626	98	349.62	371.32	423.76	540.75	A_23_P202156	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) (NFKB2), transcript variant 3, mRNA [NM_001077493]	NM_001077493	NFKB2
C3	163	0.0003001	7.612	94	263.49	282.02	291.26	481.54	A_23_P101407	Homo sapiens complement component 3 (C3), mRNA [NM_000064]	NM_000064	C3
	164	0.000356	7.437	94	428.92	427.77	392.47	295.97	A_32_P75399	HUMSEF21A SEF2-1A protein {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (5%) [THC2551774]	THC2551774	THC2551774
TRAF5	165	0.0003614	7.421	96	2573.24	2494.75	2174.34	1750.18	A_23_P201731	Homo sapiens TNF receptor-associated factor 5 (TRAF5), transcript variant 1, mRNA [NM_004619]	NM_004619	TRAF5
PRKY	166	0.0003805	7.369	92	1393.44	1408.12	1544.49	1771.93	A_23_P137248	Homo sapiens protein kinase, Y-linked (PRKY), mRNA [NM_002760]	NM_002760	PRKY
CD79A	167	0.0003999	7.318	94	5879.4	5296.54	4531.38	3289.41	A_23_P107735	Homo sapiens CD79a molecule, immunoglobulin-associated alpha (CD79A), transcript variant 1, mRNA [NM_001783]	NM_001783	CD79A
KIAA0319	168	0.0004251	7.256	94	47.63	45.81	38.4	25.53	A_24_P166397	Homo sapiens KIAA0319 (KIAA0319), mRNA [NM_014809]	NM_014809	KIAA0319
	169	0.0004261	7.253	100	14.09	13.7	16.89	26.97	A_32_P226768	Unknown	THC2668193	THC2668193
ADA	170	0.0004267	7.419	94	6048.44	6588.83	8119.67	10113.53	A_23_P210482	Homo sapiens adenosine deaminase (ADA), mRNA [NM_000022]	NM_000022	ADA
	171	0.0004429	7.214	90	36.44	39.07	36.32	56.99	A_32_P14881	full-length cDNA clone CS0DD009YL11 of Neuroblastoma Cot 50-normalized of Homo sapiens (human). [CR609588]	CR609588	CR609588
HRK	172	0.0004436	7.212	85	183.64	176.12	174.29	83.99	A_23_P25194	Homo sapiens harakiri, BCL2 interacting protein (contains only BH3 domain) (HRK), mRNA [NM_003806]	NM_003806	HRK
GHRL	173	0.0004531	7.191	92	875.88	939.01	1109.77	1606.97	A_23_P40956	Homo sapiens ghrelin/obestatin preprohormone (GHRL), mRNA [NM_016362]	NM_016362	GHRL
TP63	174	0.000462	7.201	92	19.25	23.83	30.24	56.64	A_23_P327380	Homo sapiens tumor protein p73-like (TP73L), mRNA [NM_003722]	NM_003722	TP73L
	175	0.0004687	7.157	90	524.54	538.75	629.3	754.32	A_24_P677525	Homo sapiens NM-4 mRNA, complete cds. [AF336795]	AF336795	AF336795
MGAT5B	176	0.0004866	7.119	83	15.64	19.34	27.99	36.24	A_24_P219474	Homo sapiens mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B (MGAT5B), transcript variant 1, mRNA [NM_144677]	NM_144677	MGAT5B
SEC61A2	177	0.0004901	7.111	85	19.5	21.63	24.63	30.45	A_23_P399921	Homo sapiens Sec61 alpha 2 subunit (S. cerevisiae), mRNA (cDNA clone MGC:32910 IMAGE:4823130), complete cds. [BC026179]	BC026179	SEC61A2
SSUH2	178	0.0005006	7.508	92	10.68	8.11	9.36	16.98	A_23_P144005	Homo sapiens chromosome 3 open reading frame 32 (C3orf32), mRNA [NM_015931]	NM_015931	C3orf32
IL4I1	179	0.0005215	7.049	88	1905.89	2092.75	2401.1	3511.76	A_23_P502520	Homo sapiens interleukin 4 induced 1 (IL4I1), transcript variant 2, mRNA [NM_172374]	NM_172374	IL4I1
ZNF337	180	0.0005252	7.042	85	326.72	341.14	395.74	502.46	A_24_P318939	Homo sapiens zinc finger protein 337 (ZNF337), mRNA [NM_015655]	NM_015655	ZNF337
ECE1	181	0.0005308	7.031	83	552.24	490.58	580.22	762.37	A_24_P154080	Homo sapiens endothelin converting enzyme 1 (ECE1), mRNA [NM_001397]	NM_001397	ECE1
	182	0.0005591	7.036	83	12.13	17.2	16.1	27.94	A_24_P923854	Homo sapiens clone FLB1727 PRO0398 mRNA, complete cds. [AF113674]	AF113674	AF113674
	183	0.0005981	6.911	81	103.55	125.97	165.43	238.45	A_32_P165407	Homo sapiens cDNA: FLJ21273 fis, clone COL01778. [AK024926]	AK024926	AK024926
DBN1	184	0.0006371	6.848	79	211.09	202.88	179.35	144.36	A_24_P97849	Homo sapiens drebrin 1 (DBN1), transcript variant 2, mRNA [NM_080881]	NM_080881	DBN1
MS4A6A	185	0.0006427	6.839	79	1960.21	1817.32	1649.13	1238.01	A_23_P36120	Homo sapiens membrane-spanning 4-domains, subfamily A, member 6A (MS4A6A), transcript variant 2, mRNA [NM_022349]	NM_022349	MS4A6A
ABTB2	186	0.0006635	6.807	77	143.83	150.4	165.05	231.91	A_23_P356616	Homo sapiens ankyrin repeat and BTB (POZ) domain containing 2 (ABTB2), mRNA [NM_145804]	NM_145804	ABTB2
COL27A1	187	0.0006692	6.799	69	65.2	67.24	75.63	103.77	A_23_P158096	Homo sapiens cDNA FLJ11895 fis, clone HEMBA1007301, weakly similar to COLLAGEN ALPHA 1(III) CHAIN. [AK021957]	AK021957	COL27A1
	188	0.0006974	6.757	77	49.09	49.89	45.91	30.52	A_23_P5018	Homo sapiens cDNA clone IMAGE:40053707. [BC113872]	BC113872	BC113872
	189	0.0006985	6.756	73	319.99	283.44	251.04	203.98	A_24_P212565	PREDICTED: Homo sapiens similar to CG31232-PA, isoform A (LOC651831), mRNA [XM_941086]	XM_941086	LOC651831
	190	0.0007537	6.68	73	31.6	37.66	41.97	53.85	A_32_P23154	Unknown	A_32_P23154	A_32_P23154
E2F5	191	0.0007575	6.675	73	73.52	62.6	53.83	46.12	A_23_P31721	Homo sapiens E2F transcription factor 5, p130-binding (E2F5), mRNA [NM_001951]	NM_001951	E2F5
MAP4K4	192	0.0008124	6.606	48	97.47	109.66	127.81	146.3	A_24_P157165	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	NM_145686	MAP4K4
HLA-DMB	193	0.0008124	6.605	65	272.51	279.07	257.46	186.24	A_24_P481844	Homo sapiens major histocompatibility complex, class II, DM beta, mRNA (cDNA clone IMAGE:5576676), with apparent retained intron. [BC035650]	BC035650	HLA-DMB
KCNN4	194	0.000813	6.605	58	2164.13	2449.37	2683.03	3401.73	A_23_P67529	Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 (KCNN4), mRNA [NM_002250]	NM_002250	KCNN4
C19orf18	195	0.0008393	6.573	44	24.22	24.33	30.27	35.5	A_23_P303803	Homo sapiens chromosome 19 open reading frame 18 (C19orf18), mRNA [NM_152474]	NM_152474	C19orf18
ARNTL2	196	0.0009635	6.632	46	14.13	8.44	9.01	18.69	A_23_P76145	Homo sapiens cycle-like factor CLIF mRNA, complete cds. [AF256215]	AF256215	ARNTL2
