Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
0.31	3732448	0	BPTF	bromodomain PHD finger transcription factor	2186	17q24.2	Q12830
0.31	3714068	0	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	224	17p11.2	P51648
0.31	3175597	0	VPS13A	vacuolar protein sorting 13 homolog A (S. cerevisiae)	23230	9q21.13	Q96RL7
0.31	3778252	0	ANKRD12	ankyrin repeat domain 12	23253	18p11.22	Q6UB98
0.31	3768791	0	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	23460	17q24.2 / 17q24.3	Q8N139
0.31	2971678	0	MCM9	minichromosome maintenance complex component 9	254394	6q22.31	Q9NXL9
0.31	2897172	0	RNF144B	ring finger protein 144B	255488	6p22.3	Q7Z419
0.31	2927873	0	CCDC28A	coiled-coil domain containing 28A	25901	6q24.1	Q8IWP9
0.31	2649113	0	TIPARP	TCDD-inducible poly(ADP-ribose) polymerase	25976	3q25.31	Q7Z3E1
0.31	3300597	0	MYOF	myoferlin	26509	10q23.33	Q9NZM1
0.31	2615060	0	RBMS3	RNA binding motif, single stranded interacting protein	27303	3p24.1	Q6XE24
0.31	2745220	0	ZNF330	zinc finger protein 330	27309	4q31.21	Q9Y3S2
0.31	2835715	0	GPX3	glutathione peroxidase 3 (plasma)	2878	5q33.1	P22352
0.31	2672532	0	SETD2	SET domain containing 2	29072	3p21.31	Q9BYW2
0.31	2423597	0	DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2	30836	1p22.1	Q5QJE6
0.31	2869096	0	SLCO4C1	solute carrier organic anion transporter family, member 4C1	353189	5q21.1	Q6ZQN7
0.31	2857416	0	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	3572	5q11.2	P40189
0.31	3524999	0	LIG4	ligase IV, DNA, ATP-dependent	3981	13q33.3	P49917
0.31	2831719	0	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	404734	5q31.3	Q8IWZ3
0.31	3224197	0	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	4702	9q33.2	P51970
0.31	2338719	0	NFIA	nuclear factor I/A	4774	1p32.1 / 1p31.3	Q12857
0.31	2588827	0	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	4780	2q31.2	Q16236
0.31	3421897	0	CNOT2	CCR4-NOT transcription complex, subunit 2	4848	12q15	Q9NZN8
0.31	2540157	0	ODC1	ornithine decarboxylase 1	4953	2p25.1	P11926
0.31	2544238	0	ITSN2	intersectin 2	50618	2p23.3	Q9NZM3
0.31	3328069	0	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	51144	11p11.2	Q53GQ0
0.31	2775909	0	PLAC8	placenta-specific 8	51316	4q21.22 / 4q21.23	Q9NZF1
0.31	2566764	0	REV1	REV1 homolog (S. cerevisiae)	51455	2q11.2	Q9UBZ9
0.31	3342525	0	PCF11	PCF11, cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	51585	11q14.1	O94913
0.31	3026988	0	LUC7L2	LUC7-like 2 (S. cerevisiae)	51631	7q34	Q9Y383
0.31	2475628	0	YPEL5	yippee-like 5 (Drosophila)	51646	2p23.1	P62699
0.31	2413519	0	HSPB11	heat shock protein family B (small), member 11	51668	1p32.3	Q9Y547
0.31	2319802	0	PGD	phosphogluconate dehydrogenase	5226	1p36.22	P52209
0.31	3480013	0	MPHOSPH8	M-phase phosphoprotein 8	54737	13q12.11	Q99549
0.31	3269373	0	ZRANB1	zinc finger, RAN-binding domain containing 1	54764	10q26.13	Q9UGI0
0.31	3107548	0	ESRP1	epithelial splicing regulatory protein 1	54845	8q22.1	Q6NXG1
0.31	2708229	0	PARL	presenilin associated, rhomboid-like	55486	3q27.1	Q9H300
0.31	3929291	0	C21orf59	chromosome 21 open reading frame 59	56683	21q22.11	P57076
0.31	3766334	0	CCDC47	coiled-coil domain containing 47	57003	17q23.3	Q96A33
0.31	3884640	0	KIAA1219	KIAA1219	57148	20q11.23	Q86X10
0.31	2448382	0	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	5743	1q31.1	P35354
0.31	2436228	0	GATAD2B	GATA zinc finger domain containing 2B	57459	1q21.3	Q8WXI9
0.31	2866704	0	ARRDC3	arrestin domain containing 3	57561	5q14.3	Q96B67
0.31	2437736	0	RIT1	Ras-like without CAAX 1	6016	1q22	Q92963
0.31	2957596	0	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	60481	6p12.1	Q9NYP7
0.31	3475587	0	CLIP1	CAP-GLY domain containing linker protein 1	6249	12q24.31	P30622
0.31	3471588	0	ATXN2	ataxin 2	6311	12q24.12	Q99700
0.31	3441885	0	SCNN1A	sodium channel, nonvoltage-gated 1 alpha	6337	12p13.31	P37088
0.31	3307120	0	ZDHHC6	zinc finger, DHHC-type containing 6	64429	10q25.2	Q9H6R6
0.31	3538470	0	C14orf135	chromosome 14 open reading frame 135	64430	14q23.1	Q63HM2
0.31	3422326	0	TBC1D15	TBC1 domain family, member 15	64786	12q21.1	Q8TC07
0.31	2512330	0	39142	membrane-associated ring finger (C3HC4) 7	64844	2q24.2	Q9H992
0.31	3014904	0	ZNF655	zinc finger protein 655	79027	7q22.1	Q8N720
0.31	3513752	0	CAB39L	calcium binding protein 39-like	81617	13q14.2 / 13q14.3	Q9H9S4
0.31	2924898	0	RNF146	ring finger protein 146	81847	6q22.33	Q9NTX7
0.31	2511820	0	PKP4	plakophilin 4	8502	2q24.1	Q99569
0.31	3020273	0	CAV2	caveolin 2	858	7q31.2	P51636
0.31	3598482	0	RAB11A	RAB11A, member RAS oncogene family	8766	15q22.31	P62491
0.31	2635906	0	PHLDB2	pleckstrin homology-like domain, family B, member 2	90102	3q13.2	Q86SQ0
0.31	3593652	0	USP8	ubiquitin specific peptidase 8	9101	15q21.2	P40818
0.31	2836856	0	CNOT8	CCR4-NOT transcription complex, subunit 8	9337	5q33.2	Q9UFF9
0.31	3351315	0	UBE4A	ubiquitination factor E4A (UFD2 homolog, yeast)	9354	11q23.3	Q14139
0.31	2418000	0	ZRANB2	zinc finger, RAN-binding domain containing 2	9406	1p31.1	O95218
0.31	3173974	0	C9orf61	chromosome 9 open reading frame 61	9413	9q21.11	Q15884
0.31	2386397	0	GGPS1	geranylgeranyl diphosphate synthase 1	9453	1q42.3	O95749
0.31	3482219	0	NUPL1	nucleoporin like 1	9818	13q12.13	Q9BVL2
0.31	2701033	0	P2RY14	purinergic receptor P2Y, G-protein coupled, 14	9934	3q25.1	Q15391
0.31	2583602	0	RBMS1	RNA binding motif, single stranded interacting protein 1	192137	2q24.2	na
0.31	2899333	0.1	BTN3A2	butyrophilin, subfamily 3, member A2	11118	6p22.1	P78410
0.31	3562003	0.1	TRAPPC6B	trafficking protein particle complex 6B	122553	14q21.1	Q86SZ2
0.31	3018696	0.1	DLD	dihydrolipoamide dehydrogenase	1738	7q31.1	P09622
0.31	3334501	0.1	PRDX5	peroxiredoxin 5	25824	11q13.1	P30044
0.31	2806468	0.1	IL7R	interleukin 7 receptor	3575	5p13.2	P16871
0.31	4012868	0.1	RLIM	ring finger protein, LIM domain interacting	51132	Xq13.2 / Xq13.3	Q9NVW2
0.31	3569200	0.1	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	51382	14q23.3	Q9Y5K8
0.31	3382972	0.1	RSF1	remodeling and spacing factor 1	51773	11q14.1	Q96T23
0.31	3149754	0.1	EIF3H	eukaryotic translation initiation factor 3, subunit H	8667	8q23.3 / 8q24.11	O15372
0.31	3991889	0.1	FAM127C	family with sequence similarity 127, member C	8933	Xq26.3	O15255
0.31	3294438	0.3	ANXA7	annexin A7	310	10q22.2	P20073
0.31	3996598	0.9	CXorf52	chromosome X open reading frame 52	286967	Xq28	A6NKX1
0.32	3442427	0	LPCAT3	lysophosphatidylcholine acyltransferase 3	10162	12p13.31	Q6P1A2
0.32	3722039	0	RAMP2	receptor (G protein-coupled) activity modifying protein 2	10266	17q21.31	O60895
0.32	2331727	0	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	10487	1p34.2	Q01518
0.32	3458614	0	DCTN2	dynactin 2 (p50)	10540	12q13.3	Q13561
0.32	3340269	0	POLD3	polymerase (DNA-directed), delta 3, accessory subunit	10714	11q13.4	Q15054
0.32	3989721	0	STAG2	stromal antigen 2	10735	Xq25	Q8N3U4
0.32	3231389	0	ZMYND11	zinc finger, MYND domain containing 11	10771	10p15.3	Q15326
0.32	2511603	0	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	11227	2q24.1	Q7Z7M9
0.32	3408733	0	RASSF8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	11228	12p12.1	Q8NHQ8
0.32	3708201	0	C17orf49	chromosome 17 open reading frame 49	124944	17p13.1	Q8IXM2
0.32	3634811	0	CTSH	cathepsin H	1512	15q25.1	P09668
0.32	3031466	0	GIMAP8	GTPase, IMAP family member 8	155038	7q36.1	Q8ND71
0.32	3063406	0	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	1577	7q22.1	P20815
0.32	2701595	0	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	170506	3q25.2	Q9H2U1
0.32	2860614	0	CCDC125	coiled-coil domain containing 125	202243	5q13.2	Q86Z20
0.32	2704441	0	EVI1	ecotropic viral integration site 1	2122	3q26.2	Q03112
0.32	3018011	0	FLJ23834	hypothetical protein FLJ23834	222256	7q22.2	Q6ZTQ4
0.32	3319997	0	SWAP70	SWAP-70 protein	23075	11p15.4	Q9UH65
0.32	2367154	0	BAT2D1	BAT2 domain containing 1	23215	1q24.3	Q9Y520
0.32	2374345	0	CAMSAP1L1	calmodulin regulated spectrin-associated protein 1-like 1	23271	1q32.1	Q08AD1
0.32	2593670	0	SF3B1	splicing factor 3b, subunit 1, 155kDa	23451	2q33.1	O75533
0.32	3838004	0	PPP1R15A	protein phosphatase 1, regulatory (inhibitor) subunit 15A	23645	19q13.33	O75807
0.32	3948754	0	ATXN10	ataxin 10	25814	22q13.31	Q9UBB4
0.32	2761321	0	BOD1L	biorientation of chromosomes in cell division 1-like	259282	4p15.33	Q8NFC6
0.32	2966253	0	SFRS18	splicing factor, arginine/serine-rich 18	25957	6q16.3	Q8TF01
0.32	2352609	0	MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	260425	1p13.2	Q5TCQ9
0.32	3292448	0	HERC4	hect domain and RLD 4	26091	10q21.3	Q5GLZ8
0.32	3040518	0	MACC1	metastasis associated in colon cancer 1	346389	7p15.3	Q6ZN28
0.32	3610958	0	IGF1R	insulin-like growth factor 1 receptor	3480	15q26.3	P08069
0.32	4043943	0	INPP5B	inositol polyphosphate-5-phosphatase, 75kDa	3633	1p34.3	P32019
0.32	2416522	0	JAK1	Janus kinase 1	3716	1p31.3	P23458
0.32	2815043	0	TNPO1	transportin 1	3842	5q13.2	Q92973
0.32	3681377	0	PARN	poly(A)-specific ribonuclease (deadenylation nuclease)	5073	16p13.12	O95453
0.32	2723997	0	KLF3	Kruppel-like factor 3 (basic)	51274	4p14	P57682
0.32	2461786	0	ARID4B	AT rich interactive domain 4B (RBP1-like)	51742	1q42.3	Q4LE39
0.32	3875908	0	PLCB4	phospholipase C, beta 4	5332	20p12.3 / 20p12.2	Q15147
0.32	3255402	0	KIAA1128	KIAA1128	54462	10q23.1	Q9H7U1
0.32	3623771	0	TRPM7	transient receptor potential cation channel, subfamily M, member 7	54822	15q21.2	Q96QT4
0.32	3536786	0	FBXO34	F-box protein 34	55030	14q22.3	Q9NWN3
0.32	3526425	0	PCID2	PCI domain containing 2	55795	13q34	Q5JVF3
0.32	2796847	0	LRP2BP	LRP2 binding protein	55805	4q35.1	Q9P2M1
0.32	2973168	0	ECHDC1	enoyl Coenzyme A hydratase domain containing 1	55862	6q22.33	Q9NTX5
0.32	2437417	0	ASH1L	ash1 (absent, small, or homeotic)-like (Drosophila)	55870	1q22	Q9NR48
0.32	3017547	0	MLL5	myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	55904	7q22.2	Q8IZD2
0.32	3954238	0	MAPK1	mitogen-activated protein kinase 1	5594	22q11.21 / 22q11.22	P28482
0.32	3182489	0	RNF20	ring finger protein 20	56254	9q31.1	Q5VTR2
0.32	2685304	0	PROS1	protein S (alpha)	5627	3q11.2	P07225
0.32	2632491	0	NSUN3	NOL1/NOP2/Sun domain family, member 3	63899	3q11.2	Q9H649
0.32	2359817	0	INTS3	integrator complex subunit 3	65123	1q21.3	Q68E01
0.32	2457842	0	TP53BP2	tumor protein p53 binding protein, 2	7159	1q41 / 1q42.11	Q13625
0.32	3340697	0	UVRAG	UV radiation resistance associated gene	7405	11q13.5	Q9P2Y5
0.32	3650953	0	TMC5	transmembrane channel-like 5	79838	16p12.3	Q6UXY8
0.32	2931970	0	MYCT1	myc target 1	80177	6q25.2	Q8N699
0.32	3469844	0	MTERFD3	MTERF domain containing 3	80298	12q23.3	Q49AM1
0.32	3465593	0	EEA1	early endosome antigen 1	8411	12q22	Q15075
0.32	2422517	0	ZNF644	zinc finger protein 644	84146	1p22.2	Q9H582
0.32	3653042	0	DCTN5	dynactin 5 (p25)	84516	16p12.1	Q9BTE1
0.32	2656146	0	MAP3K13	mitogen-activated protein kinase kinase kinase 13	9175	3q27.2	O43283
0.32	3402315	0	CD9	CD9 molecule	928	12p13.31	P21926
0.32	3219215	0	KLF4	Kruppel-like factor 4 (gut)	9314	9q31.2	O43474
0.32	2369110	0	RASAL2	RAS protein activator like 2	9462	1q25.2	Q9UJF2
0.32	3326635	0	CD44	CD44 molecule (Indian blood group)	960	11p13	P16070
0.32	3098935	0	TGS1	trimethylguanosine synthase homolog (S. cerevisiae)	96764	8q12.1	Q96RS0
0.32	3666409	0	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	999	16q22.1	P12830
0.32	2334602	0.1	TSPAN1	tetraspanin 1	10103	1p34.1	O60635
0.32	3671448	0.1	HSBP1	heat shock factor binding protein 1	3281	16q23.3	O75506
0.32	3809671	0.1	NARS	asparaginyl-tRNA synthetase	4677	18q21.31	O43776
0.32	3452323	0.1	SLC38A2	solute carrier family 38, member 2	54407	12q13.11	Q96QD8
0.32	3617403	0.1	NOP10	NOP10 ribonucleoprotein homolog (yeast)	55505	15q14	Q9NPE3
0.32	3537747	0.1	PSMA3	proteasome (prosome, macropain) subunit, alpha type, 3	5684	14q23.1	P25788
0.32	2666478	0.1	TOP2B	topoisomerase (DNA) II beta 180kDa	7155	3p24.2	Q02880
0.32	2878446	0.3	NDUFA2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa	4695	5q31.3	O43678
0.32	3471374	0.3	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform	5501	12q24.11	P36873
0.32	2542737	0.3	LAPTM4A	lysosomal protein transmembrane 4 alpha	9741	2p24.1	Q15012
0.32	3441955	0.5	MRPL51	mitochondrial ribosomal protein L51	51258	12p13.31	Q4U2R6
0.33	3527418	0	PARP2	poly (ADP-ribose) polymerase 2	10038	14q11.2	Q9UGN5
0.33	3446919	0	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	10060	12p12.1	O60706
0.33	2343289	0	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	11080	1p31.1	Q9UDY4
0.33	2414998	0	MYSM1	Myb-like, SWIRM and MPN domains 1	114803	1p32.1	Q5VVJ2
0.33	3308619	0	PDZD8	PDZ domain containing 8	118987	10q25.3 / 10q26.11	Q8NEN9
0.33	2924514	0	NCOA7	nuclear receptor coactivator 7	135112	6q22.31 / 6q22.32	Q8NI08
0.33	3424442	0	TMTC2	transmembrane and tetratricopeptide repeat containing 2	160335	12q21.31	Q8N394
0.33	3269939	0	DOCK1	dedicator of cytokinesis 1	1793	10q26.2	Q14185
0.33	3524570	0	EFNB2	ephrin-B2	1948	13q33.3	P52799
0.33	3462094	0	ZFC3H1	zinc finger, C3H1-type containing	196441	12q21.1	O60293
0.33	3879467	0	XRN2	5-3 exoribonuclease 2	22803	20p11.22	Q9H0D6
0.33	3422269	0	RAB21	RAB21, member RAS oncogene family	23011	12q21.1	Q9UL25
0.33	3419239	0	MON2	MON2 homolog (S. cerevisiae)	23041	12q14.1	Q7Z3U7
0.33	2833286	0	ARHGAP26	Rho GTPase activating protein 26	23092	5q31.3	Q9UNA1
0.33	3430776	0	ISCU	iron-sulfur cluster scaffold homolog (E. coli)	23479	12q23.3	Q9H1K1
0.33	3076178	0	MKRN1	makorin ring finger protein 1	23608	7q34	Q9UHC7
0.33	3483159	0	PAN3	PAN3 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)	255967	13q12.2	Q58A45
0.33	2698996	0	PCOLCE2	procollagen C-endopeptidase enhancer 2	26577	3q23	Q9UKZ9
0.33	3653398	0	TNRC6A	trinucleotide repeat containing 6A	27327	16p12.1	Q8NDV7
0.33	3472000	0	C12orf51	chromosome 12 open reading frame 51	283450	12q24.13	Q9Y4D8
0.33	3249738	0	PBLD	phenazine biosynthesis-like protein domain containing	3189	10q21.3	P31942
0.33	2520113	0	INPP1	inositol polyphosphate-1-phosphatase	3628	2q32.2	P49441
0.33	3180717	0	C9orf102	chromosome 9 open reading frame 102	375748	9q22.32	Q5T890
0.33	3513883	0	KPNA3	karyopherin alpha 3 (importin alpha 4)	3839	13q14.3	O00505
0.33	3999395	0	MID1	midline 1 (Opitz/BBB syndrome)	4281	Xp22.2	O15344
0.33	3351385	0	MLL	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	4297	11q23.3	Q03164
0.33	4011189	0	OPHN1	oligophrenin 1	4983	Xq12	O60890
0.33	2364677	0	PBX1	pre-B-cell leukemia homeobox 1	5087	1q23.3	P40424
0.33	3379390	0	SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)	51111	11q13.2	Q4FZB7
0.33	2879927	0	LARS	leucyl-tRNA synthetase	51520	5q32	Q9P2J5
0.33	2779543	0	EMCN	endomucin	51705	4q23	Q9ULC0
0.33	2453006	0	PIGR	polymeric immunoglobulin receptor	5284	1q32.1	P01833
0.33	3326842	0	TRIM44	tripartite motif-containing 44	54765	11p13	Q96DX7
0.33	3627929	0	VPS13C	vacuolar protein sorting 13 homolog C (S. cerevisiae)	54832	15q22.2	Q709C8
0.33	3711899	0	TTC19	tetratricopeptide repeat domain 19	54902	17p12	Q6DKK2
0.33	3300115	0	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	5507	10q23.32	Q9UQK1
0.33	3665458	0	LRRC36	leucine rich repeat containing 36	55282	16q22.1	Q1X8D7
0.33	3327948	0	TTC17	tetratricopeptide repeat domain 17	55761	11p12 / 11p11.2	Q96AE7
0.33	3063589	0	AZGP1	alpha-2-glycoprotein 1, zinc-binding	563	7q22.1	P25311
0.33	3556418	0	METTL3	methyltransferase like 3	56339	14q11.2	Q86U44
0.33	3555736	0	NDRG2	NDRG family member 2	57447	14q11.2	Q9UN36
0.33	3563357	0	RPL36AL	ribosomal protein L36a-like	6166	14q22.1	Q969Q0
0.33	2530713	0	CCL20	chemokine (C-C motif) ligand 20	6364	2q36.3	P78556
0.33	2943874	0	KIF13A	kinesin family member 13A	63971	6p22.3	Q9H1H9
0.33	2976360	0	PERP	PERP, TP53 apoptosis effector	64065	6q23.3	Q96FX8
0.33	2548776	0	ATL2	atlastin GTPase 2	64225	2p22.2 / 2p22.1	Q8NHH9
0.33	2595560	0	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	65059	2q33.2	Q70E73
0.33	3159946	0	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	6595	9p24.3 / 9p24.2	P51531
0.33	3771297	0	SRP68	signal recognition particle 68kDa	6730	17q25.1	Q9UHB9
0.33	2681157	0	TMF1	TATA element modulatory factor 1	7110	3p14.1	P82094
0.33	2450762	0	TNNT2	troponin T type 2 (cardiac)	7139	1q32.1	P45379
0.33	3499453	0	TPP2	tripeptidyl peptidase II	7174	13q33.1	P29144
0.33	2332583	0	RP4-692D3.1	hypothetical protein LOC728621	728621	1p34.2	Q5VVM6
0.33	3021158	0	C7orf58	chromosome 7 open reading frame 58	79974	7q31.31	A4D0V7
0.33	3237088	0	STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	8027	10p12.33	Q92783
0.33	3238231	0	MLLT10	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	8028	10p12.31	P55197
0.33	2734421	0	ARHGAP24	Rho GTPase activating protein 24	83478	4q21.23 / 4q21.3	Q8N264
0.33	3507962	0	KATNAL1	katanin p60 subunit A-like 1	84056	13q12.3	Q9BW62
0.33	3906160	0	CHD6	chromodomain helicase DNA binding protein 6	84181	20q12	Q8TD26
0.33	3338453	0	PPFIA1	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1	8500	11q13.3	Q13136
0.33	2562529	0	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	8869	2p11.2	Q9UNP4
0.33	2994342	0	TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	8887	7p15.2	Q86VP1
0.33	3105904	0	CPNE3	copine III	8895	8q21.3	O75131
0.33	3061805	0	SGCE	sarcoglycan, epsilon	8910	7q21.3	O43556
0.33	3048869	0	H2AFV	H2A histone family, member V	94239	7p13	Q71UI9
0.33	3746881	0	NCOR1	nuclear receptor co-repressor 1	9611	17p12 / 17p11.2	O75376
0.33	3681956	0	KIAA0430	KIAA0430	9665	16p13.11	Q9Y4F3
0.33	3471005	0	GIT2	G protein-coupled receptor kinase interacting ArfGAP 2	9815	12q24.11	Q14161
0.33	2579572	0	ZEB2	zinc finger E-box binding homeobox 2	9839	2q22.3	O60315
0.33	3549033	0	GOLGA5	golgi autoantigen, golgin subfamily a, 5	9950	14q32.12	Q8TBA6
0.33	3775147	0	FOXK2	forkhead box K2	na	17q25.3	na
0.33	3303255	0.1	ERLIN1	ER lipid raft associated 1	10613	10q24.2	O75477
0.33	2631845	0.1	CHMP2B	chromatin modifying protein 2B	25978	3p11.2	Q9UQN3
0.33	4054204	0.1	APOD	apolipoprotein D	347	3q29	P05090
0.33	2365119	0.1	MGST3	microsomal glutathione S-transferase 3	4259	1q24.1	O14880
0.33	2603460	0.1	SNORA75	small nucleolar RNA, H/ACA box 75	4691	2q37.1	P19338
0.33	3515009	0.1	VPS36	vacuolar protein sorting 36 homolog (S. cerevisiae)	51028	13q14.3	Q86VN1
0.33	3405531	0.1	DDX47	DEAD (Asp-Glu-Ala-Asp) box polypeptide 47	51202	12p13.1	Q9H0S4
0.33	3129948	0.1	TMEM66	transmembrane protein 66	51669	8p12	Q96BY9
0.33	2986084	0.1	PHF10	PHD finger protein 10	55274	6q27	Q8WUB8
0.33	2732273	0.1	40787	septin 11	55752	4q21.1	Q9NVA2
0.33	2960010	0.1	LMBRD1	LMBR1 domain containing 1	55788	6q13	Q9NUN5
0.33	2685908	0.1	CLDND1	claudin domain containing 1	56650	3q11.2	Q9NY35
0.33	4017519	0.1	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5716	Xq22.3	O75832
0.33	2654394	0.1	FXR1	fragile X mental retardation, autosomal homolog 1	8087	3q26.33	P51114
0.33	2974469	0.1	STX7	syntaxin 7	8417	6q23.2	O15400
0.33	2921456	0.1	KIAA1919	KIAA1919	91749	6q21	Q5TF39
0.33	3683037	0.3	ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	23204	16p12.3	Q15041
0.33	2489606	0.3	POLE4	polymerase (DNA-directed), epsilon 4 (p12 subunit)	56655	2p13.1	Q9NR33
0.33	3982410	0.5	COX7B	cytochrome c oxidase subunit VIIb	1349	Xq21.1	P24311
0.33	3246407	0.5	MSMB	microseminoprotein, beta-	4477	10q11.23	P08118
0.33	2773972	0.9	CXCL11	chemokine (C-X-C motif) ligand 11	6373	4q21.1	O14625
0.34	2899413	0	BTN3A3	butyrophilin, subfamily 3, member A3	10384	6p22.1	O00478
0.34	3139035	0	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	10565	8q13.2	Q9Y6D6
0.34	3776427	0	MYL12A	myosin, light chain 12A, regulatory, non-sarcomeric	10627	18p11.31	P19105
0.34	3421446	0	CPSF6	cleavage and polyadenylation specific factor 6, 68kDa	11052	12q15	Q16630
0.34	2875419	0	KIF3A	kinesin family member 3A	11127	5q31.1	Q9Y496
0.34	3560711	0	BAZ1A	bromodomain adjacent to zinc finger domain, 1A	11177	14q13.2	Q9NRL2
0.34	2461999	0	LYST	lysosomal trafficking regulator	1130	1q42.3	Q99698
0.34	3512843	0	CPB2	carboxypeptidase B2 (plasma)	1361	13q14.12	Q96IY4
0.34	2373736	0	NEK7	NIMA (never in mitosis gene a)-related kinase 7	140609	1q31.3	Q8TDX7
0.34	3282601	0	MPP7	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)	143098	10p11.23	Q5T2T1
0.34	2887309	0	DUSP1	dual specificity phosphatase 1	1843	5q35.1	P28562
0.34	3920566	0	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	1859	21q22.13	Q13627
0.34	3645947	0	CLUAP1	clusterin associated protein 1	23059	16p13.3	Q96AJ1
0.34	3217736	0	ERP44	endoplasmic reticulum protein 44	23071	9q31.1	Q9BS26
0.34	3400413	0	ERC1	ELKS/RAB6-interacting/CAST family member 1	23085	12p13.33	Q8IUD2
0.34	2737069	0	METAP1	methionyl aminopeptidase 1	23173	4q23	P53582
0.34	2371346	0	RGL1	ral guanine nucleotide dissociation stimulator-like 1	23179	1q25.3	Q9NZL6
0.34	2413943	0	USP24	ubiquitin specific peptidase 24	23358	1p32.3	Q9UPU5
0.34	3940001	0	CYTSA	cytospin A	23384	22q11.23	Q69YQ0
0.34	3191695	0	EXOSC2	exosome component 2	23404	9q34.12	Q13868
0.34	3092276	0	LEPROTL1	leptin receptor overlapping transcript-like 1	23484	8p12	O95214
0.34	3916576	0	GABPA	GA binding protein transcription factor, alpha subunit 60kDa	2551	21q21.3	Q06546
0.34	3679503	0	TMEM186	transmembrane protein 186	25880	16p13.2	Q96B77
0.34	3039671	0	SOSTDC1	sclerostin domain containing 1	25928	7p21.1	Q6X4U4
0.34	2761734	0	FBXL5	F-box and leucine-rich repeat protein 5	26234	4p15.33 / 4p15.32	Q9UKA1
0.34	3267036	0	GRK5	G protein-coupled receptor kinase 5	2869	10q26.11	P34947
0.34	3398241	0	ZBTB44	zinc finger and BTB domain containing 44	29068	11q24.3	Q8NCP5
0.34	2957462	0	GSTA4	glutathione S-transferase alpha 4	2941	6p12.1	O15217
0.34	2977265	0	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	3097	6q24.2	P31629
0.34	3356115	0	APLP2	amyloid beta (A4) precursor-like protein 2	334	11q24.3	Q06481
0.34	3603199	0	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	3419	15q25.1	P50213
0.34	3417309	0	PA2G4	proliferation-associated 2G4, 38kDa	5036	12q13.2	Q9UQ80
0.34	3095719	0	GOLGA7	golgi autoantigen, golgin subfamily a, 7	51125	8p11.21	Q7Z5G4
0.34	3970833	0	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	5160	Xp22.13 / Xp22.12	P08559
0.34	3740304	0	PITPNA	phosphatidylinositol transfer protein, alpha	5306	17p13.3	Q00169
