probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
Gga.17726.1.S1_at	Finished cDNA, clone ChEST1023m8	BU396148		-1.3	-8.594	0.011855	-1.28	-6.462	0.007047	0.02	0.061	0.953926
Gga.17731.1.S1_s_at	PPAT: phosphoribosyl pyrophosphate amidotransferase	CF256116	422743	-1.05	-2.725	0.083146	-1.14	-4.116	0.010546	-0.09	-0.206	0.84762
Gga.17748.1.S1_at	Finished cDNA, clone ChEST678i12	CR388579.1		-1.24	-12.768	0.000494	-1.18	-9.858	0.000426	0.06	0.415	0.695501
Gga.1776.1.S1_at	NID1: nidogen 1	AF239837.1	395531	-1.32	-5.86	0.004349	-1.74	-5.922	0.002126	-0.42	-1.459	0.207612
Gga.17788.1.S1_at	Finished cDNA, clone ChEST572j11	CR388717.1		-1.11	-35.304	0.000051	-1.34	-6.133	0.00793	-0.23	-1.079	0.359108
Gga.17794.1.A1_at	Gga.17794.1	BU282714		-1.04	-16.022	0.000585	-0.86	-5.522	0.005687	0.18	1.217	0.304734
Gga.17812.1.S1_at	ATP11A: ATPase, Class VI, type 11A	BU281019	418749	-0.22	-0.783	0.477783	1.25	3.14	0.028251	1.46	3.784	0.015914
Gga.17823.1.S1_at	CMYA5: cardiomyopathy associated 5	CR388792.1	427177	-2.06	-107.86	0.000003	-2.02	-15.576	0.000473	0.03	0.244	0.822815
Gga.17826.1.S1_at	OXCT1: 3-oxoacid CoA transferase 1	BU338531	427190	-1.19	-4.341	0.029813	-0.92	-4.696	0.006483	0.27	0.873	0.435965
Gga.1784.1.S1_at	ITGA8: integrin, alpha 8	NM_205288.1	396225	-0.87	-2.124	0.131068	-2.33	-11.755	0.000558	-1.46	-3.773	0.049841
Gga.1784.1.S2_at	ITGA8: integrin, alpha 8	BU392003	396225	-0.41	-0.567	0.6245	-2.73	-11.923	0.000077	-2.32	-3.167	0.073651
Gga.17854.1.A1_at	Finished cDNA, clone ChEST192n17	CR388852.1		1.03	5.68	0.009705	0.36	1.028	0.35827	-0.67	-2.059	0.119449
Gga.17854.1.S1_at	Finished cDNA, clone ChEST192n17	BU444811		-2.66	-3.971	0.05714	-1.71	-9.341	0.001626	0.95	1.369	0.29005
Gga.17865.1.A1_at	Finished cDNA, clone ChEST171e8	CR388908.1		1.15	5.082	0.0072	0.55	1.539	0.195948	-0.59	-1.621	0.174993
Gga.17872.1.S1_at	Finished cDNA, clone ChEST168i1	BU412788		-0.97	-1.821	0.192417	-1.05	-4.345	0.007506	-0.08	-0.154	0.888925
Gga.17886.1.S1_at	Finished cDNA, clone ChEST329d24	BU379466		-1.16	-11.587	0.000483	-1.02	-7.609	0.001211	0.14	0.967	0.379311
Gga.1789.1.S1_at	Transcribed locus	BI067209		-0.43	-1.927	0.168098	-1.07	-11.807	0.000364	-0.64	-2.971	0.084248
Gga.17906.1.A1_at	Finished cDNA, clone ChEST824j21	CR389030.1		-0.71	-6.526	0.004995	-1.05	-6.662	0.001215	-0.34	-2.406	0.072075
Gga.17908.1.S1_s_at	CBFB: core-binding factor, beta subunit	BU410070	395257	0.3	1.013	0.399541	1.04	6.894	0.000995	0.74	2.422	0.104937
Gga.17920.1.A1_at	Finished cDNA, clone ChEST833h8	BU483623		1.01	3.352	0.028768	0.27	0.692	0.520159	-0.74	-1.977	0.107508
Gga.17936.1.S1_at	SEMA3D: sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	BU458704	396332	-0.09	-0.452	0.677546	-3.03	-11.932	0.000206	-2.94	-10.431	0.000151
Gga.1794.1.S1_at	Finished cDNA, clone ChEST134p17	BU323603		0.57	2.493	0.071494	-0.46	-1.883	0.119691	-1.02	-3.814	0.012734
Gga.17952.1.A1_at	Finished cDNA, clone ChEST282h5	CR389159.1		-1.34	-9.672	0.005034	-1.32	-8.002	0.002353	0.02	0.077	0.941579
Gga.1796.1.S1_s_at	PLEKHB1: pleckstrin homology domain containing, family B (evectins) member 1	CR385770.1	419064	-1.16	-21.499	0.000196	-1.29	-6.156	0.007917	-0.13	-0.616	0.577659
Gga.17964.1.S1_at	LOC418414: hypothetical gene supported by CR389209	CR389209.1	418414	-0.8	-3.997	0.021101	-1.28	-5.579	0.003578	-0.48	-1.845	0.124277
Gga.17979.1.S1_at	Finished cDNA, clone ChEST622e20	CR389240.1		1.2	6.018	0.003894	0.7	1.513	0.213583	-0.51	-1.086	0.344266
Gga.17995.1.A1_at	Finished cDNA, clone ChEST730o3	CR389311.1		-0.67	-53.928	0.000002	-1.34	-21.084	0.000168	-0.67	-10.614	0.001592
Gga.17995.1.S1_at	Finished cDNA, clone ChEST730o3	CR389311.1		-0.87	-19.416	0.000042	-1.19	-19.666	0.00001	-0.32	-5.321	0.003827
Gga.17998.1.S1_at	Finished cDNA, clone ChEST726n12	BU241903		2.08	6.198	0.003847	0.9	1.26	0.278762	-1.18	-1.68	0.176331
Gga.18004.1.S1_at	Finished cDNA, clone ChEST729o23	CR389344.1		-1.05	-9.564	0.002099	-1	-6.49	0.003602	0.05	0.303	0.774613
Gga.18022.1.S1_at	Finished cDNA, clone ChEST983j8	CR389400.1		0.89	4.04	0.035482	1.2	7.045	0.001438	0.31	1.202	0.296724
Gga.18032.1.A1_at	Finished cDNA, clone ChEST990l1	CR389425.1		1.65	3.899	0.025069	0.46	0.59	0.584575	-1.19	-1.622	0.188563
Gga.18038.1.A1_at	Finished cDNA, clone ChEST184g12	CR389443.1		0.04	0.148	0.893508	-3.08	-7.647	0.000627	-3.12	-9.392	0.001583
Gga.18050.1.A1_at	Finished cDNA, clone ChEST981c4	CR389479.1		1.08	6.768	0.003124	0.25	0.585	0.593407	-0.83	-1.97	0.134243
Gga.18057.1.S1_at	Finished cDNA, clone ChEST978n13	CR389496.1		1.13	2.925	0.049051	0.04	0.079	0.940715	-1.08	-1.798	0.135984
Gga.18073.1.S1_at	ASPM: asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	CR389562.1	424354	-1.09	-6.964	0.010952	-0.61	-3.789	0.022746	0.48	2.253	0.0755
Gga.18088.1.S1_at	Finished cDNA, clone ChEST872n4	CR389622.1		0.63	2.21	0.134889	-0.4	-1.936	0.121632	-1.03	-3.134	0.037761
Gga.18092.1.S1_at	Finished cDNA, clone ChEST807h20	CR389639.1		-1.43	-5.502	0.025523	-3.08	-24.182	0.00001	-1.64	-5.886	0.011743
Gga.18099.1.S1_at	Finished cDNA, clone ChEST435f16	BU270558		-1.18	-18.268	0.000058	-1.17	-11.725	0.000157	0.01	0.057	0.957124
Gga.18099.1.S1_x_at	Finished cDNA, clone ChEST435f16	BU270558		-1.8	-23.089	0.000178	-1.97	-10.991	0.001116	-0.17	-0.886	0.427272
Gga.1810.1.S1_at	Finished cDNA, clone ChEST713n9	BU452259		0.49	1.656	0.178989	1.5	2.896	0.040039	1.01	2.049	0.113098
Gga.18109.1.S1_at	RCJMB04_10j11: similar to CCR4-NOT transcription complex subunit 2 (CCR4-associated factor 2) (MSTP046) (HSPC131)	BU399446	417851	-0.54	-3.793	0.019339	-1.53	-7.746	0.000769	-0.99	-5.103	0.004846
Gga.18110.1.S1_at	LOC417130: hypothetical LOC417130	BU463849	417130	-1.02	-15.532	0.000366	-1.19	-16.765	0.000035	-0.16	-1.954	0.108722
Gga.18130.1.S1_at	Finished cDNA, clone ChEST478c4	BU272119		-0.16	-0.342	0.758595	-1.51	-7.106	0.001456	-1.36	-3.027	0.074302
Gga.1819.1.S1_at	DIO2: deiodinase, iodothyronine, type II	NM_204114.1	373903	-0.15	-0.229	0.838097	-3.68	-8.523	0.001394	-3.53	-4.709	0.011973
Gga.18195.1.S1_at	LOC417259: similar to chromosome 9 open reading frame 75	BU375091	417259	0.37	2.009	0.172391	1.08	5.697	0.008681	0.7	2.7	0.044387
Gga.182.1.S1_at	NOTCH1: Notch homolog 1, translocation-associated (Drosophila)	AB044789.1	395655	-1.51	-20.124	0.000048	-1.27	-8.17	0.001915	0.24	1.485	0.214353
Gga.18205.1.A1_at	Finished cDNA, clone ChEST1011l12	CR389939.1		-0.84	-11.04	0.000383	-1.13	-14.167	0.000034	-0.29	-3.665	0.014819
Gga.18209.1.A1_at	Finished cDNA, clone ChEST1002h11	CR389947.1		-1.34	-4.042	0.021275	-1.21	-2.513	0.054349	0.14	0.319	0.765523
Gga.18231.1.S1_at	Finished cDNA, clone ChEST998i12	BU205800		-1.16	-18.729	0.002504	-1.06	-15.73	0.000492	0.09	1.009	0.359842
Gga.18243.1.A1_at	Finished cDNA, clone ChEST994h12	CR390047.1		-1.21	-13.793	0.002595	-1.28	-23.554	0.000009	-0.07	-0.73	0.513701
Gga.18264.1.A1_at	Finished cDNA, clone ChEST910f24	BU205278		-2.15	-3.094	0.083426	-3.21	-6.3	0.005635	-1.06	-1.255	0.279115
Gga.18267.1.A1_at	Finished cDNA, clone ChEST1009o15	CR390095.1		-1.01	-13.19	0.001236	-0.88	-9.16	0.000352	0.13	1.747	0.151453
Gga.18289.1.S1_at	Finished cDNA, clone ChEST930g18	CR390178.1		-0.8	-7.084	0.013895	-1.71	-19.057	0.000095	-0.91	-6.582	0.002406
Gga.18296.1.A1_at	Finished cDNA, clone ChEST929b12	BU424229		1.52	6.13	0.016288	0.96	2.026	0.13145	-0.56	-1.074	0.339418
Gga.183.1.S1_at	UGT8: UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase)	NM_204204.1	374033	-1.27	-6.898	0.005745	-1.25	-5.166	0.00367	0.02	0.105	0.921285
Gga.18300.1.S1_at	SLITRK2: SLIT and NTRK-like family, member 2	BU110871	422396	-0.54	-5.143	0.006824	-1.27	-4.748	0.012816	-0.74	-2.736	0.060386
Gga.18312.1.A1_at	RCJMB04_6h9: G1 to S phase transition 1	AJ445810	416416	1.1	4.629	0.010268	0.64	1.744	0.153227	-0.46	-1.221	0.282947
Gga.18321.1.S1_at	Finished cDNA, clone ChEST919l9	CR390263.1		-1.13	-7.646	0.006891	-1.09	-15.899	0.000147	0.04	0.29	0.795402
Gga.18326.1.A1_at	Finished cDNA, clone ChEST917p18	BU423260		1.24	8.368	0.001132	0.61	1.664	0.181806	-0.64	-1.737	0.166365
Gga.18327.1.S1_at	Finished cDNA, clone ChEST932f15	BU426329		1.08	3.757	0.020011	0.22	0.428	0.689901	-0.86	-1.716	0.161619
Gga.18329.1.S1_at	Finished cDNA, clone ChEST922a6	BU484490		0.15	0.755	0.510245	-1.61	-11.249	0.000119	-1.76	-7.983	0.002126
Gga.18336.1.A1_at	Finished cDNA, clone ChEST927b22	CR390315.1		1	3.234	0.042335	1.29	3.422	0.019925	0.29	0.927	0.399835
Gga.18347.1.S1_at	Finished cDNA, clone ChEST943m21	CR390349.1		1.06	4.463	0.020149	0.31	0.611	0.580636	-0.76	-1.427	0.226558
Gga.18351.1.A1_at	LOC426312: Similar to N-acetylglucosamine-6-sulfatase	CR390376.1	426312	0.12	0.521	0.649882	-1.53	-5.018	0.013244	-1.65	-4.381	0.007231
Gga.18354.1.S1_at	Finished cDNA, clone ChEST424k16	BU260269		1.12	3.419	0.02878	0.32	0.871	0.424579	-0.8	-2.016	0.099921
Gga.18379.1.S1_at	Finished cDNA, clone ChEST265k11	BU458521		-1.05	-4.868	0.028687	-0.8	-3.334	0.037596	0.25	1.823	0.137827
Gga.18406.1.S1_at	Finished cDNA, clone ChEST443h5	AW240138		-1.47	-12.279	0.005081	-1.42	-15.031	0.000351	0.05	0.352	0.742004
Gga.18408.1.S1_at	LOC420907: similar to RIKEN cDNA 2310035C23	BU424612	420907	0.59	1.304	0.266106	1.73	3.945	0.018549	1.13	3.024	0.033073
Gga.18410.1.A1_at	Finished cDNA, clone ChEST784l21	BU392437		-0.57	-2.931	0.044459	-1.68	-4.005	0.017666	-1.11	-2.7	0.060929
Gga.18411.1.S1_at	Finished cDNA, clone ChEST135m12	AL586630		-1.12	-4.497	0.020682	-0.76	-2.748	0.050113	0.36	1.081	0.329359
Gga.18416.1.A1_at	Finished cDNA, clone ChEST663i17	CR390532.1		-1.42	-15.255	0.000225	-1.44	-9.576	0.000847	-0.02	-0.108	0.918725
Gga.18416.1.S1_at	Finished cDNA, clone ChEST663i17	CR390532.1		1.2	4.085	0.030881	0.12	0.179	0.866349	-1.09	-1.811	0.160793
Gga.18421.1.S1_at	Finished cDNA, clone ChEST659j16	BU221730		-0.29	-1.793	0.154615	-1.61	-14.95	0.000371	-1.32	-9.418	0.00387
Gga.18429.1.S1_at	LOC419748: nm23-phosphorylated unknown substrate	BU455168	419748	0.52	5.427	0.005806	1.29	6.387	0.004254	0.77	3.764	0.021779
Gga.18449.1.S1_at	Finished cDNA, clone ChEST355d20	BU440985		1.22	2.983	0.073771	1.77	5.972	0.002997	0.55	1.171	0.310741
Gga.18451.1.S1_at	Finished cDNA, clone ChEST358c7	BU351447		1.1	4.112	0.014914	0.85	3.561	0.02566	-0.25	-1.089	0.336833
Gga.18457.1.S1_at	Finished cDNA, clone ChEST629l13	BU339328		-0.68	-3.898	0.033575	-1.77	-12.757	0.000079	-1.09	-5.529	0.005166
Gga.18471.1.S1_at	Finished cDNA, clone ChEST599o9	CR390702.1		-1.1	-22.845	0.001631	-0.23	-1.549	0.21887	0.87	5.58	0.006893
Gga.18473.1.S1_at	Transcribed locus, moderately similar to NP_598244.2  lateral sclerosis 2 (juvenile) chromosome region, candidate 3 homolog [Rattus norvegicus] /// Finished cDNA, clone ChEST605b21	BU485371		-2.07	-6.962	0.018605	-1.45	-16.122	0.000091	0.62	2.035	0.16113
Gga.18485.1.S1_s_at	LOC419406: similar to protein kinase	BU397996	419406	-1.34	-13.931	0.002689	-1.28	-14.409	0.000273	0.05	0.435	0.683431
Gga.18494.1.S1_at	WWC1: WW and C2 domain containing 1	BU104831	416167	-1.07	-11.458	0.00066	-0.37	-1.282	0.279211	0.69	2.447	0.086397
Gga.1850.1.S1_at	Finished cDNA, clone ChEST922n19	BU419782		-1.03	-8.108	0.0058	-1.01	-6.305	0.001937	0.02	0.188	0.860018
Gga.18509.1.S1_s_at	SPAG9: sperm associated antigen 9	CR390791.1	422095	-0.49	-1.189	0.311461	0.83	2.702	0.045121	1.32	3.221	0.039876
Gga.18514.1.S1_s_at	LOC422151: similar to FNDC3 protein	CR390799.1	422151	-0.54	-2.232	0.100408	0.6	1.613	0.18538	1.14	2.836	0.04005
Gga.18540.1.S1_at	Finished cDNA, clone ChEST369a20	BU402226		-1.01	-20.945	0.00075	-1.19	-6.171	0.006192	-0.19	-0.987	0.395415
Gga.18542.1.S1_at	Gga.18542.1	CR390879.1		-2.07	-8.647	0.002696	-2.17	-15.61	0.000207	-0.1	-0.457	0.684343
Gga.18553.1.S1_at	PPIL6: peptidylprolyl isomerase (cyclophilin)-like 6	CR390919.1	421764	-1.96	-23.939	0.000273	-2.03	-15.309	0.000297	-0.07	-0.452	0.671658
Gga.18558.1.A1_at	Finished cDNA, clone ChEST739l13	CR390929.1		-1.17	-23.697	0.00034	-1	-11.082	0.00017	0.18	2.201	0.105481
Gga.18576.1.S1_at	Finished cDNA, clone ChEST738p11	CR390998.1		1.17	4.658	0.011829	0.25	0.57	0.60133	-0.92	-2.029	0.107813
Gga.18584.1.S1_at	Finished cDNA, clone ChEST194d12	CR391012.1		-1.41	-13.797	0.00476	-1.29	-7.325	0.005123	0.12	0.573	0.593806
Gga.18589.1.S1_at	Finished cDNA, clone ChEST688h20	CR391027.1		-0.68	-2.121	0.15357	-1.17	-8.622	0.000383	-0.49	-1.495	0.248157
Gga.18596.1.S1_at	CCDC125: coiled-coil domain containing 125	BU447983	427313	1.03	8.544	0.001561	0.73	2.613	0.062574	-0.3	-1.115	0.337026
Gga.18596.1.S1_s_at	CCDC125: coiled-coil domain containing 125	BU447983	427313	-2.29	-4.34	0.012418	-1.53	-1.474	0.218739	0.76	0.726	0.509308
Gga.18616.1.S1_at	Finished cDNA, clone ChEST208p12	CR391090.1		-0.51	-7.218	0.005498	-1.18	-12.487	0.000062	-0.67	-8.612	0.000863
Gga.18619.1.S1_at	Finished cDNA, clone ChEST207p24	CR391098.1		-0.78	-19.447	0.000672	-1.01	-20.575	0.000016	-0.22	-6.426	0.002614
Gga.18632.1.S1_at	Finished cDNA, clone ChEST199p20	CR391125.1		-0.54	-2.029	0.146156	-1.09	-7.521	0.000791	-0.55	-2.085	0.138161
Gga.18643.1.S1_s_at	Finished cDNA, clone ChEST199j20	CR391148.1		-0.59	-2	0.116098	-1.31	-4.919	0.007271	-0.71	-2.677	0.053569
Gga.18649.1.A1_at	Finished cDNA, clone ChEST697d10	CR391158.1		-0.61	-2.743	0.0743	-1.05	-4.019	0.016746	-0.43	-1.385	0.22478
Gga.18649.1.S1_at	Finished cDNA, clone ChEST697d10	CR391158.1		-0.72	-3.914	0.033738	-1.2	-3.751	0.027182	-0.47	-1.337	0.245282
Gga.18671.1.S1_at	Finished cDNA, clone ChEST202l14	BU463996		1.75	4.732	0.009138	0.45	0.662	0.544543	-1.3	-1.923	0.126715
Gga.18700.1.S1_at	Finished cDNA, clone ChEST206h11	CR391257.1		-0.74	-2.868	0.053081	-2.29	-13.312	0.000365	-1.55	-6.634	0.009105
Gga.18704.1.S1_at	PPP2R3A: protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	BU220571	424733	-0.8	-3.009	0.063547	-1.18	-8.538	0.000843	-0.38	-1.462	0.256918
Gga.18742.1.S1_x_at	AIFM3: apoptosis-inducing factor, mitochondrion-associated, 3	BU140451	416999	-1.77	-36.062	0.000757	-1.64	-20.428	0.000005	0.13	2.003	0.138825
Gga.18762.1.S1_at	RCJMB04_13m2: intraflagellar transport 140 homolog (Chlamydomonas)	BU105614	416758	-1.67	-18.65	0.001439	-1.69	-17.763	0.000179	-0.02	-0.152	0.885544
Gga.18764.1.S1_at	Finished cDNA, clone ChEST652l14	CR391390.1		-1.1	-7.145	0.008355	-1.3	-13.851	0.000035	-0.2	-1.225	0.30662
Gga.18768.1.S1_at	Finished cDNA, clone ChEST650c23	BU306029		0.02	0.522	0.633255	-1.19	-18.065	0.000074	-1.22	-17.03	0.000025
Gga.18771.1.A1_at	Finished cDNA, clone ChEST334k3	BU252988		-1.58	-5.963	0.00563	-1.21	-4.733	0.005298	0.37	1.251	0.269792
Gga.18773.1.S1_at	Finished cDNA, clone ChEST333f20	BU255562		-1.38	-15.103	0.000743	-1.23	-12.188	0.00032	0.16	2.203	0.080051
Gga.18788.1.S1_at	Finished cDNA, clone ChEST761c2	CR391462.1		0.13	0.414	0.701237	-1.2	-2.572	0.061162	-1.33	-2.7	0.047224
Gga.1879.1.S1_at	LOC420779: similar to LanC lantibiotic synthetase component C-like 2 (bacterial)	BU319600	420779	0.18	1.016	0.36998	-0.86	-3.053	0.038082	-1.04	-3.536	0.020386
Gga.18791.1.A1_at	Finished cDNA, clone ChEST771j1	CR391470.1		-1.55	-19.581	0.000045	-2.35	-11.28	0.000696	-0.8	-3.868	0.024337
Gga.18792.1.S1_at	Finished cDNA, clone ChEST762c17	BU270240		1.53	3.431	0.031986	1.25	2.873	0.035569	-0.27	-0.538	0.614763
Gga.18801.1.S1_at	Finished cDNA, clone ChEST766f10	CR391511.1		0.6	3.286	0.038781	1.61	5.662	0.00577	1.01	3.273	0.025215
Gga.18802.1.S1_at	Finished cDNA, clone ChEST903b2	BU350569		1.07	4.238	0.013543	0.41	1.182	0.295862	-0.66	-1.828	0.131126
Gga.18811.1.S1_at	Finished cDNA, clone ChEST987f14	CR391541.1		0.21	1.28	0.295059	-1.27	-6.639	0.003025	-1.48	-6.373	0.001411
Gga.18849.1.S1_s_at	LOC421862: similar to CD109	BU436023	421862	-1.01	-3.14	0.037892	-0.67	-1.805	0.134193	0.34	0.845	0.436698
Gga.18872.1.S1_s_at	RCJMB04_4i4: synaptosomal-associated protein, 91kDa homolog (mouse)	CR391748.1	428635	-1.5	-6.034	0.004071	-1.11	-3.13	0.028061	0.39	1.138	0.3129
Gga.18877.1.A1_at	Finished cDNA, clone ChEST316e13	CR391761.1		-1.08	-10.229	0.00084	-1.37	-10.972	0.000193	-0.28	-2.057	0.094776
Gga.18907.1.S1_at	LOC419900: similar to ICBP90 binding protein 1	BU235740	419900	0.96	2.826	0.059586	1.25	5.107	0.004301	0.3	0.887	0.433836
Gga.18910.1.S1_at	GNAI1: guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	NM_205403.1	396368	-1.45	-3.319	0.066496	-1.23	-6.006	0.002076	0.22	0.482	0.666417
Gga.18910.1.S1_s_at	GNAI1: guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	NM_205403.1	396368	-1.05	-2.948	0.077253	-1.15	-5.227	0.00416	-0.1	-0.25	0.81743
Gga.18917.1.S1_s_at	Hypothetical protein, clone 9b22	CD215341		-0.45	-2.79	0.063573	-1.93	-5.987	0.006489	-1.48	-4.314	0.011903
Gga.18934.1.S1_at	Finished cDNA, clone ChEST423b4	BU485153		0.48	1.166	0.32434	-1.07	-3.212	0.023953	-1.55	-3.476	0.024975
Gga.18945.1.S1_at	LOC419210: PREX1 protein	BU440886	419210	-0.28	-0.857	0.461637	-1.15	-3.688	0.020635	-0.87	-2.088	0.095017
Gga.18946.1.S1_at	GAS41: GAS41 protein	BU485805	771226	-1.73	-6.49	0.00727	-2.83	-5.399	0.004617	-1.1	-2.276	0.096729
Gga.18953.1.S1_at	LOC417712: Similar to MLL5	BU395708	417712	0.79	4.43	0.01673	1.14	6.259	0.004419	0.35	2.493	0.056032
Gga.18968.1.S1_at	Finished cDNA, clone ChEST661b11	BU474814		0.79	2.16	0.10438	2.09	7.597	0.001151	1.3	3.758	0.02695
Gga.18984.1.S1_at	Finished cDNA, clone ChEST608b15	BU401203		0.62	4.627	0.035109	1.56	3.902	0.020501	0.94	2.473	0.088624
Gga.19.1.S1_at	IL1B: interleukin 1, beta	NM_204524.1	395196	1.8	4.285	0.016969	0.73	0.923	0.405689	-1.07	-1.419	0.235926
Gga.19006.1.S1_at	Finished cDNA, clone ChEST204d5	BU478258		1.35	4.012	0.016644	1.67	5.508	0.007121	0.32	1.168	0.307212
Gga.19012.1.S1_at	LOC423782: hypothetical LOC423782	CR388601.1	423782	-0.22	-0.753	0.509433	-1.68	-9.517	0.000243	-1.46	-4.962	0.016482
Gga.19018.1.S1_at	LOC425734: Similar to Protein BAP28	BU236655	425734	-1.62	-3.339	0.070136	-2.25	-9.058	0.000748	-0.63	-1.205	0.316832
Gga.19025.1.S1_at	Finished cDNA, clone ChEST885d22	BU136969		0.3	1.538	0.19894	1.66	6.491	0.001541	1.36	5.341	0.003596
Gga.19034.1.S1_at	Finished cDNA, clone ChEST906k15	CR407001.1		-0.91	-9.935	0.006916	-1.37	-9.25	0.002262	-0.46	-2.664	0.047813
Gga.19045.1.S1_at	Finished cDNA, clone ChEST719i16	CR407412.1		-1.6	-29.319	0.000136	-1.4	-6.717	0.006233	0.21	0.978	0.393482
Gga.1906.1.S1_at	CRISPLD1: cysteine-rich secretory protein LCCL domain containing 1	NM_204654.1	395369	-0.69	-3.272	0.03577	0.36	1.042	0.34956	1.05	3.228	0.033194
Gga.19077.1.S1_at	Finished cDNA, clone ChEST290n11	BU418916		1.36	4.221	0.018549	2.75	7.413	0.000953	1.39	4.497	0.006788
Gga.19085.1.S1_s_at	LOC418915: Hypothetical LOC418915	CR405836.1	418915	1.28	5.477	0.00541	1.27	5.922	0.00305	0	-0.021	0.984299
Gga.19091.1.S1_at	Finished cDNA, clone ChEST1005i19	BU261799		0.31	2.328	0.080514	1.03	7.419	0.000797	0.72	5.283	0.003402
Gga.19116.1.S1_at	Finished cDNA, clone ChEST884h13	CR405754.1		-0.41	-6.777	0.007648	-1.18	-6.627	0.00382	-0.76	-4.465	0.018938
Gga.19132.1.S1_at	Finished cDNA, clone ChEST731m7	BU212477		0.36	1.548	0.257366	1.02	5.143	0.012571	0.66	2.176	0.089098
Gga.19147.1.S1_at	Finished cDNA, clone ChEST766h5	BU480146		0.07	0.823	0.46895	1.37	9.693	0.000234	1.3	10.368	0.000643
Gga.1917.1.S1_at	CDH2: cadherin 2, type 1, N-cadherin (neuronal)	BU356680	414745	0.07	0.154	0.888342	1.52	2.62	0.050782	1.45	3.294	0.027454
Gga.19174.1.S1_at	Finished cDNA, clone ChEST114a21	BU138598		-2.14	-12.662	0.00561	-1.93	-11.643	0.001201	0.22	0.924	0.399897
Gga.19186.1.S1_s_at	PPP1R9A: protein phosphatase 1, regulatory (inhibitor) subunit 9A	CR407108.1	420568	-1.93	-7.498	0.009993	-1.79	-11.645	0.00013	0.14	0.491	0.655756
Gga.19187.1.A1_at	RCJMB04_21i6: SPFH domain family, member 1	CR406581.1	423670	-1.09	-25.193	0.001031	-1.17	-9.812	0.00077	-0.08	-0.745	0.509679
Gga.19194.1.S1_at	Finished cDNA, clone ChEST742g14	BU367300		-1.36	-6.268	0.010772	-1.48	-12.91	0.000103	-0.12	-0.582	0.607164
Gga.19197.1.S1_s_at	RCJMB04_1k1: similar to riboflavin kinase; flavokinase; ATP:riboflavin 5-phosphotransferase	CR406633.1	431449	0.22	1.129	0.326787	1.6	9.615	0.003918	1.38	10.598	0.001427
Gga.19230.1.S1_s_at	EAF2: ELL associated factor 2	CR406825.1	424243	0.03	0.146	0.892738	1.72	14.638	0.000113	1.69	9.573	0.003303
Gga.19236.1.A1_at	Finished cDNA, clone ChEST860e23	BU204804		-0.26	-0.919	0.423409	-1.54	-8.248	0.000626	-1.28	-4.6	0.018819
Gga.19244.1.S1_at	VPS13B: vacuolar protein sorting 13 homolog B (yeast)	BU362262	420242	0.38	2.802	0.053888	1.77	8.251	0.000623	1.39	6.918	0.002271
Gga.19247.1.S1_at	Finished cDNA, clone ChEST957c5	BU415324		0.25	1.539	0.208955	1.11	5.828	0.002513	0.86	5.334	0.003362
Gga.19253.1.S1_at	Finished cDNA, clone ChEST967p14	BU478228		-0.18	-1.068	0.392244	1.01	7.055	0.004472	1.2	5.417	0.004525
Gga.19269.1.S1_at	Finished cDNA, clone ChEST734o14	BU240046		-1.28	-11.804	0.000312	-0.59	-3.54	0.021851	0.69	4.082	0.012212
Gga.19271.1.S1_at	Finished cDNA, clone ChEST632f24	BU389568		0.35	2.52	0.108462	1.2	4.476	0.018912	0.86	2.895	0.041124
Gga.19275.1.S1_at	Finished cDNA, clone ChEST759b12	BU233594		-0.97	-23.303	0.000032	-1.04	-30.287	0.000002	-0.07	-1.658	0.176625
Gga.19277.1.S1_at	HNF4A: hepatocyte nuclear factor 4, alpha	BU307221	419198	-1.4	-16.445	0.000641	-1.53	-15.126	0.000145	-0.13	-1.046	0.343658
Gga.19300.1.S1_at	Finished cDNA, clone ChEST556c20	BM426102		1.23	5.106	0.008824	0.69	1.979	0.117719	-0.54	-1.452	0.210038
Gga.19318.1.S1_at	LOC422830: Similar to RIKEN cDNA 5730509K17 gene	BU380533	422830	-4.02	-6.209	0.018101	-4.18	-19.698	0.000023	-0.16	-0.25	0.824246
Gga.19322.1.S1_at	KHDRBS3: Finished cDNA, clone ChEST752i10 /// KH domain containing, RNA binding, signal transduction associated 3	BU263861	420317	-2.08	-5.421	0.030449	-2.41	-5.749	0.012329	-0.32	-1.816	0.155803
Gga.1933.3.S1_at	Finished cDNA, clone ChEST134e17	BX933909.2		1.48	5.821	0.007953	1.05	2.821	0.037706	-0.42	-1.279	0.27021
Gga.19372.1.S1_at	Finished cDNA, clone ChEST766k21	CN222049		-1.61	-20.324	0.000056	-1.87	-7.153	0.004484	-0.26	-0.991	0.387541
