# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_005502.2|NM_005502	hgnc_symbol|ABCA1|ABCA1
refseq_dna|NM_005236.1|NM_005236	hgnc_symbol|ERCC4|ERCC4
refseq_dna|NM_000123.2|NM_000123	hgnc_symbol|ERCC5|ERCC5
refseq_dna|NM_000124.1|NM_000124	hgnc_symbol|ERCC6|ERCC6
refseq_dna|NM_000082.2|NM_000082	hgnc_symbol|ERCC8|ERCC8
refseq_dna|NM_005053.2|NM_005053	hgnc_symbol|RAD23A|RAD23A
refseq_dna|NM_002874.3|NM_002874	hgnc_symbol|RAD23B|RAD23B
refseq_dna|NM_000380.2|NM_000380	hgnc_symbol|XPA|XPA
refseq_dna|NM_004628.3|NM_004628	hgnc_symbol|XPC|XPC
refseq_dna|NM_003925.1|NM_003925	hgnc_symbol|MBD4|MBD4
refseq_dna|NM_080648.1|NM_080648	hgnc_symbol|APEX1|APEX1
refseq_dna|NM_014481.2|NM_014481	hgnc_symbol|APEX2|APEX2
refseq_dna|NM_005484.3|NM_005484	hgnc_symbol|PARP2|PARP2
refseq_dna|NM_002690.1|NM_002690	hgnc_symbol|POLB|POLB
refseq_dna|NM_012222.2|NM_012222	hgnc_symbol|MUTYH|MUTYH
refseq_dna|NM_016819.2|NM_016819	hgnc_symbol|OGG1|OGG1
refseq_dna|NM_000249.2|NM_000249	hgnc_symbol|MLH1|MLH1
refseq_dna|NM_014381.2|NM_014381	hgnc_symbol|MLH3|MLH3
refseq_dna|NM_000251.1|NM_000251	hgnc_symbol|MSH2|MSH2
refseq_dna|NM_002439.2|NM_002439	hgnc_symbol|MSH3|MSH3
refseq_dna|NM_000179.1|NM_000179	hgnc_symbol|MSH6|MSH6
refseq_dna|NM_005590.3|NM_005590	hgnc_symbol|MRE11A|MRE11A
refseq_dna|NM_133482.1|NM_133482	hgnc_symbol|RAD50|RAD50
refseq_dna|NM_006297.1|NM_006297	hgnc_symbol|XRCC1|XRCC1
refseq_dna|NM_005431.1|NM_005431	hgnc_symbol|XRCC2|XRCC2
refseq_dna|NM_005432.2|NM_005432	hgnc_symbol|XRCC3|XRCC3
refseq_dna|NM_022406.1|NM_022406	hgnc_symbol|XRCC4|XRCC4
refseq_dna|NM_021141.2|NM_021141	hgnc_symbol|XRCC5|XRCC5
refseq_dna|NM_001469.3|NM_001469	hgnc_symbol|XRCC6|XRCC6
refseq_dna|NM_016332.2|NM_016332	hgnc_symbol|SEPX1|SEPX1
refseq_dna|NM_001618.2|NM_001618	hgnc_symbol|PARP1|PARP1
refseq_dna|NM_003286.2|NM_003286	hgnc_symbol|TOP1|TOP1
refseq_dna|NM_001067.2|NM_001067	hgnc_symbol|TOP2A|TOP2A
refseq_dna|NM_001068.2|NM_001068	hgnc_symbol|TOP2B|TOP2B
refseq_dna|NM_020165.2|NM_020165	hgnc_symbol|RAD18|RAD18
refseq_dna|NM_133487.1|NM_133487	hgnc_symbol|RAD51|RAD51
refseq_dna|NM_206937.1|NM_206937	hgnc_symbol|LIG4|LIG4
refseq_dna|NM_002412.2|NM_002412	hgnc_symbol|MGMT|MGMT
refseq_dna|NM_006502.1|NM_006502	hgnc_symbol|POLH|POLH
refseq_dna|NM_007195.1|NM_007195	hgnc_symbol|POLI|POLI
refseq_dna|NM_016218.1|NM_016218	hgnc_symbol|POLK|POLK
refseq_dna|NR_003286|NR_003286	hgnc_symbol|18S|18S
refseq_dna|NM_001101.2|NM_001101	hgnc_symbol|ACTB|ACTB
refseq_dna|NM_023080.1|NM_023080	hgnc_symbol|C8orf33|C8orf33
refseq_dna|NM_015252.2|NM_015252	hgnc_symbol|EHBP1|EHBP1
refseq_dna|NM_005561.3|NM_005561	hgnc_symbol|LAMP1|LAMP1
refseq_dna|NM_013995.1|NM_013995	hgnc_symbol|LAMP2|LAMP2
refseq_dna|NM_024092.1|NM_024092	hgnc_symbol|TMEM109|TMEM109	hgnc_symbol|MGC5508|MGC5508
refseq_dna|NM_016058.1|NM_016058	hgnc_symbol|TPRKB|TPRKB
refseq_dna|NM_198536.1|NM_198536	hgnc_symbol|UNQ501|UNQ501	hgnc_symbol|MGC3205|MGC3205
refseq_dna|NM_014402.4|NM_014402	hgnc_symbol|UQCRQ|UQCRQ
refseq_dna|NM_012238.3|NM_012238	hgnc_symbol|SIRT1|SIRT1
refseq_dna|NM_030593.1|NM_030593	hgnc_symbol|SIRT2|SIRT2
refseq_dna|NM_012239.4|NM_012239	hgnc_symbol|SIRT3|SIRT3
refseq_dna|NM_012240.1|NM_012240	hgnc_symbol|SIRT4|SIRT4
refseq_dna|NM_012241.2|NM_012241	hgnc_symbol|SIRT5|SIRT5
refseq_dna|NM_016539.1|NM_016539	hgnc_symbol|SIRT6|SIRT6
refseq_dna|NM_016538.1|NM_016538	hgnc_symbol|SIRT7|SIRT7
refseq_dna|NM_194442.1|NM_194442	hgnc_symbol|LBR|LBR
