Curated Gene Symbol	Domain	Gene Name	Gene Symbol	Reference Sequence	Description	Geometric mean of CD4+ T cell samples	Geometric mean of CD8+ T cell samples	Fold up-regulation in CD4+ T cells	P-value
CYR61	Hormone	Cysteine-rich, angiogenic inducer, 61	CYR61	NM_001554	Secreted	1.37	1	1.37	0.0054
FCN1	Hormone	Ficolin 1	FCN1	NM_002003	Secreted	1.14	1.62	0.7	0.0025
IGFBP3	Hormone	Insulin-like growth factor binding protein 3	IGFBP3	NM_000598	Secreted	0.38	0.55	0.68	0.0351
SEMA3E	Hormone	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	SEMA3E	NM_012431	Secreted	0.87	1.2	0.73	0.0279
SEMA3B	Hormone	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	SEMA3B	NM_004636	Secreted	1.13	1.62	0.7	0.0141
LCP1	Structural	Lymphocyte cytosolic protein 1	LCP1	NM_002298	Cytoskeleton	2.63	1.62	1.63	0.0026
S100A4	Structural	S100 calcium-binding protein A4	S100A4	NM_002961	Regulation	3.12	2.01	1.55	0.0061
MYL6B	Structural	Myosin, light polypeptide 1, alkali	MLC1SA	NM_002475	Cytoskeleton	6.57	4.45	1.48	0.0225
PFN1	Structural	Profilin 1	PFN1	NM_005022	Cytoskeleton	16.95	11.87	1.43	0.0338
NOMO1	Structural	PM5 protein	PM5	NM_014287	Extracellular	2.15	1.51	1.43	0.0016
MYO7A	Structural	Myosin VIIA	MYO7A	NM_000260	Cytoskeleton	2.61	1.89	1.38	0.0023
PEX19	Structural	Peroxisomal farnesylated protein	PXF	NM_002857	Peroxisome	1.38	1	1.38	0.0064
DIAPH2	Structural	Diaphanous (Drosophila, homolog) 2	DIAPH2	NM_006729	Cytoskeleton	4.9	3.61	1.36	0.014
	Structural	Myosin regulatory light chain	MLC-B	NM_033546	Cytoskeleton	2.87	2.14	1.34	0.0323
MAP1LC3B	Structural	Microtubule-associated proteins 1A/1B light chain 3	MAP1LC3B	NM_022818	Cytoskeleton	1.09	0.81	1.34	0.0043
MFAP5	Structural	Microfibril-associated glycoprotein-2	MAGP2	NM_003480	Extracellular	3.28	2.45	1.34	0.0082
MSN	Structural	Moesin	MSN	NM_002444	Cytoskeleton	2.28	1.71	1.33	0.0038
CDH1	Structural	Cadherin 1, type 1	CDH1	NM_004360	Extracellular	1.57	1.2	1.31	0.0034
ACTN4	Structural	Actinin, alpha 4	ACTN4	NM_004924	Cytoskeleton	0.62	0.92	0.67	0.0441
ATP1A1	Solute Transporter	ATPase, Na+/K+ transporting, alpha 1 polypeptide	ATP1A1	NM_000701	Sodium/Potassium	2.33	1.78	1.31	0.0033
ENSA	Channel	Endosulfine alpha	ENSA	NM_004436	Regulation	0.47	0.24	1.99	0.0096
GABRG3	Channel	GABAA receptor gamma 3 subunit	GABRG3	NM_033223	Chloride	1.15	0.8	1.44	0.0005
	Unknown	Hypothetical protein FLJ00225		AA536005		1.39	0.78	1.77	0.0029
	Unknown	cDNA clone EUROIMAGE 1354251		AL389877		0.83	0.47	1.76	0.0043
CAMKV	Unknown	Hypothetical protein MGC8407	MGC8407	NM_024046		0.93	0.59	1.57	0.0126
	Unknown	Hypothetical protein DKFZp451G182	DKFZp451G182	AA258551		18.1	11.58	1.56	0.0143
	Unknown	Hypothetical protein FLJ13993		NM_024695		2.57	1.66	1.55	0.019
	Unknown	Hypothetical protein LOC51255	LOC51255	NM_016494		7.58	4.92	1.54	0.0193
	Unknown	cDNA DKFZp564J0323		AA922011		0.82	0.54	1.51	0.0169
ZBTB44	Unknown	HSPC063 protein	HSPC063	NM_014155		1.04	0.72	1.46	0.0166
	Unknown	FLJ38577 fis, clone HCHON2007650		BE745102		1.6	1.1	1.45	0.0033
POMP	Unknown	Hypothetical protein HSPC014	HSPC014	NM_015932		1.64	1.14	1.44	0.0061
TACC3	Unknown	Transforming, acidic coiled-coil containing protein 3	TACC3	NM_006342		5.54	3.93	1.41	0.017
	Unknown	Hypothetical protein LOC285958		BF204740		1.09	0.78	1.41	0.0016
PSTK	Unknown	Hypothetical protein MGC35392	MGC35392	NM_153336		1.18	0.85	1.4	0.0118
ANO10	Unknown	Hypothetical protein FLJ10375	FLJ10375	NM_018075		0.97	0.7	1.38	0.0017
C4orf27	Unknown	Hypothetical protein FLJ20534	FLJ20534	NM_017867		1.48	1.07	1.38	0.0015
	Unknown	KIAA1970 protein		AC_002401		2.67	1.94	1.37	0.0332
ZNF692	Unknown	Hypothetical protein FLJ20531	FLJ20531	NM_017865		1.06	0.78	1.37	0.003
FAM107B	Unknown	Hypothetical protein MGC11034	MGC11034	NM_031453		4.91	3.61	1.36	0.0306
	Unknown	Hypothetical protein LOC201514		NM_173548		1.44	1.08	1.33	0.016
	Unknown	KIAA1754 protein		AA425727		2.32	1.76	1.32	0.0034
	Unknown	Hypothetical 55.1 kDa protein F09G8.5 in chromosome III	LOC220074	NM_145309		1.46	1.12	1.31	0.0424
C6orf62	Unknown	Hypothetical protein FLJ12619	FLJ12619	NM_030939		1.72	1.31	1.31	0.0118
ACTR5	Unknown	Hypothetical protein FLJ12785	FLJ12785	NM_024855		0.85	0.65	1.31	0.0027
	Unknown	Hypothetical protein LOC148894		AI003493		0.89	1.16	0.77	0.0122
	Unknown	Hypothetical protein FLJ11132	FLJ11132	NM_018335		1.18	1.54	0.77	0.0027
	Unknown	FLJ35653 fis, clone SPLEN2013690		AA034411		1.04	1.36	0.77	0.0165
CLHC1	Unknown	Hypothetical protein FLJ31438	FLJ31438	NM_152385		0.65	0.84	0.77	0.0037
	Unknown	Hypothetical protein DJ328E19.C1.1		NM_015383		2.19	2.9	0.75	0.0012
	Unknown	Hypothetical protein dJ434O14.3	DJ434O14.3	NM_025228		1.24	1.66	0.75	0.0041
	Unknown	KIAA0100 gene product		NM_014680		0.79	1.07	0.74	0.0002
TATDN2	Unknown	KIAA0218 gene product	KIAA0218	NM_014760		1.24	1.68	0.74	0.0044
S100PBP	Unknown	Hypothetical protein FLJ12903	FLJ12903	NM_022753		0.95	1.3	0.73	0.0021
CKAP5	Unknown	KIAA0097 gene product	KIAA0097	NM_014756		0.63	0.87	0.73	0.0212
	Unknown	Hypothetical protein LOC284267		AI572532		1.28	1.76	0.73	0.0007
	Unknown	FLJ32411 fis, clone SKMUS2000515		AK056974		1.25	1.71	0.73	0.009
	Unknown	Hypothetical protein LOC51242	LOC51242	NM_016471		1.62	2.24	0.72	0.0023
	Unknown	KIAA1554 protein		AL833202		1.41	1.98	0.72	0.003
	Unknown	PP2135 protein	PP2135	AI128129		1.3	1.84	0.71	0.0016
PRRC2B	Unknown	Hypothetical protein LQFBS-1	LQFBS-1	NM_013318		1.17	1.73	0.67	0.0013
DTD2	Unknown	Hypothetical protein MGC9912	MGC9912	NM_080664		0.58	0.87	0.66	0.0251
	Unknown	Hypothetical protein DKFZp564A022		NM_030954		0.51	0.77	0.65	0.037
	Unknown	KIAA0732 protein		NM_025023		0.45	0.69	0.65	0.01
PPRC1	Unknown	KIAA0595 protein	KIAA0595	NM_015062		0.54	0.84	0.64	0.009
TMEM19	Unknown	Hypothetical protein FLJ10936	FLJ10936	NM_018279		0.45	0.74	0.61	0.0076
ELMSAN1	Unknown	Chromosome 14 open reading frame 117	LSR68	NM_018678		0.43	0.7	0.61	0.0407
	Unknown	Hypothetical protein BC000919		N31947		0.51	0.87	0.58	0.0083
DMWD	Unknown	Dystrophia myotonica-containing WD repeat motif	DMWD	L19268		0.55	0.98	0.56	0.0031
	ESTs	ESTs		AF131777		0.93	0.63	1.49	0.0497
	ESTs	ESTs		AA203533		1.73	1.17	1.48	0.0239
	ESTs	ESTs		AI052517		1.32	0.95	1.39	0.0082
	ESTs	ESTs		AA399406		1.25	0.91	1.38	0.0312
	ESTs	ESTs		H98986		3.92	2.86	1.37	0.0049
	ESTs	ESTs		AI004189		2.24	1.66	1.36	0.0035
	ESTs	ESTs		AA992929		1.4	1.04	1.35	0.0128
	ESTs	ESTs		AF087985		1.12	0.85	1.32	0.0258
	ESTs	ESTs		AL120736		1.11	1.44	0.77	0.0016
	ESTs	ESTS		D79462		1.07	1.42	0.75	0.0008
	ESTs	ESTs		NM_174937		0.57	0.78	0.73	0.0331
	ESTs	ESTs		AW195782		0.67	0.92	0.73	0.0039
	ESTs	ESTs		AA282068		0.63	0.87	0.72	0.0192
	ESTs	ESTs		AA742707		0.6	0.86	0.7	0.0322
	ESTs	ESTs		H16397		0.67	0.97	0.69	0.0471
	ESTs	ESTs		AA056020		0.63	0.92	0.68	0.0373
	ESTs	ESTs		BF028515		1.11	1.65	0.68	0.0009
	ESTs	ESTs		BF197415		1.01	1.56	0.65	0.0013
	ESTs	ESTs		AK091867		1.67	2.88	0.58	0.0048
