Rank	ProbeID	M	A	t	P.Value	Fold_Change	Representative_Public_ID	Gene_Title	Gene_Symbol	Entrez_gene	Chromosome location	Ensembl	Genome.Version
134	1440055_at	0.637760121	3.007121441	3.220953578	0.010074723	1.555911628	BB538816	Expressed sequence AI848100	AI848100	226551	chr1 H2.1		Feb. 2006 (NCBI Build 36)
135	1418696_at	-0.41467579	3.132373812	-3.219455369	0.010099345	-1.332999085	NM_138951	cDNA sequence BC021608	BC021608	192653	chr9 A5.2	ENSMUSG00000039438	Feb. 2006 (NCBI Build 36)
136	1439929_at	0.411512511	3.30301594	3.217560038	0.010130583	1.330079529	AW557531	Malignant fibrous histiocytoma amplified sequence 1	Mfhas1	52065	chr8 A4|8 20.0 cM		Feb. 2006 (NCBI Build 36)
137	1437798_at	0.328706729	2.310518466	3.20404924	0.010356172	1.255887058	BB051012	RIKEN cDNA 6720422M22 gene	6720422M22Rik	99946			Feb. 2006 (NCBI Build 36)
138	1444487_at	0.276782298	2.728966328	3.195133116	0.010507882	1.211489833	BB518473	lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase)	Lrat	79235	chr3 E3	ENSMUSG00000028003	Feb. 2006 (NCBI Build 36)
139	1424945_at	0.381032357	2.314140053	3.188685163	0.010619024	1.302273397	AF321853	chordin-like 1	Chrdl1	83453		ENSMUSG00000031283	Feb. 2006 (NCBI Build 36)
140	1416215_at	-0.295945943	6.331823875	-3.185652717	0.010671712	-1.227689682	NM_016810	golgi SNAP receptor complex member 1	Gosr1	53334	chr11 B5	ENSMUSG00000010392	Feb. 2006 (NCBI Build 36)
141	1450378_at	-0.398771865	4.155043596	-3.185057757	0.010682081	-1.318385121	AF043943	TAP binding protein	Tapbp	21356	chr17 B1|17 18.41 cM	ENSMUSG00000024308	Feb. 2006 (NCBI Build 36)
142	1447733_x_at	-0.30779657	1.959559965	-3.18061093	0.010759912	-1.237815738	AV325788						Feb. 2006 (NCBI Build 36)
143	1426600_at	0.63529819	7.680584724	3.172364884	0.01090579	1.553258759	BM209618	solute carrier family 2 (facilitated glucose transporter), member 1	Slc2a1	20525	chr4 D2.1|4 52.0 cM	ENSMUSG00000028645	Feb. 2006 (NCBI Build 36)
144	1422160_at	0.458229639	3.68449655	3.170422985	0.010940439	1.373854897	L22338	histocompatibility 2, T region locus 24	H2-T24	15042	chr17 B1|17 19.72 cM		Feb. 2006 (NCBI Build 36)
145	1439564_at	-0.356706639	2.696656191	-3.170047449	0.010947153	-1.280499455	AV270327	RIKEN cDNA 1700090G07 gene	1700090G07Rik	78469	chr17 E4	ENSMUSG00000037689	Feb. 2006 (NCBI Build 36)
146	1418937_at	0.726840308	7.856034952	3.164628684	0.011044504	1.655010429	AF177196	deiodinase, iodothyronine, type II	Dio2	13371	chr12 D3		Feb. 2006 (NCBI Build 36)
147	1449491_at	-0.494684564	5.110871506	-3.159019812	0.011146212	-1.409012649	NM_130859	caspase recruitment domain family, member 10	Card10	105844	chr15 E1	ENSMUSG00000033170	Feb. 2006 (NCBI Build 36)
148	1434621_at	0.408604589	5.012970097	3.15852834	0.01115517	1.327401297	AV298104	cDNA sequence BC054438	BC054438	407831	chr17 A3.3		Feb. 2006 (NCBI Build 36)
149	1421957_a_at	0.738683101	4.85890795	3.157724192	0.011169843	1.66865199	NM_009981	phosphate cytidylyltransferase 1, choline, alpha isoform	Pcyt1a	13026	chr16 B3|16 22.85 cM	ENSMUSG00000005615	Feb. 2006 (NCBI Build 36)
150	1434196_at	-0.345058094	6.97861081	-3.157373931	0.01117624	-1.27020213	BQ176119	DnaJ (Hsp40) homolog, subfamily A, member 4	Dnaja4	58233	chr9 A5.3	ENSMUSG00000032285	Feb. 2006 (NCBI Build 36)
151	1440942_at	-0.266394791	3.839671772	-3.154492455	0.011229013	-1.202798348	AW489137	dapper homolog 2, antagonist of beta-catenin (xenopus)	Dact2	240025	chr17 A2		Feb. 2006 (NCBI Build 36)
152	1426368_at	0.481775113	5.570017858	3.151337066	0.011287096	1.396460836	AK014548	Ras and Rab interactor 2	Rin2	74030	chr2 G1	ENSMUSG00000001768	Feb. 2006 (NCBI Build 36)
153	1453200_at	0.373643844	6.864746975	3.149214956	0.011326333	1.295621078	AK013909	retinoic acid induced 1	Rai1	19377	chr11 B2	ENSMUSG00000062115	Feb. 2006 (NCBI Build 36)
154	1436605_at	-0.288328276	4.763130969	-3.148576912	0.011338158	-1.221224363	BB022982	transketolase	Tkt	21881	chr14 B1	ENSMUSG00000021957	Feb. 2006 (NCBI Build 36)
155	1422948_s_at	-0.436152987	6.018017544	-3.145857893	0.011388692	-1.352991698	NM_013550	histone cluster 1, H4h /// histone cluster 1, H4c /// histone cluster 1, H4i /// histone cluster 1, H4j /// histone cluster 1, H4k /// histone cluster 1, H4m /// histone cluster 1, H4a /// histone cluster 1, H4b	Hist1h4h /// Hist1h4c /// Hist1h4i /// Hist1h4j /// Hist1h4k /// Hist1h4m /// Hist1h4a /// Hist1h4b	319155 /// 319158 /// 319159 /// 319160 /// 319161 /// 326619 /// 326620 /// 69386	chr13 A2-A3 /// chr13 A3.1	ENSMUSG00000060832 /// ENSMUSG00000064288 /// ENSMUSG00000069306 /// ENSMUSG00000069305 /// ENSMUSG00000060639 /// ENSMUSG00000060981 /// ENSMUSG00000060678 /// ENSMUSG00000069266 /// ENSMUSG00000060093	Feb. 2006 (NCBI Build 36)
156	1448844_at	-0.419515228	4.382515333	-3.144806675	0.011408292	-1.337478062	NM_025558	cytochrome b5 type B	Cyb5b	66427	chr8 D2	ENSMUSG00000031924	Feb. 2006 (NCBI Build 36)
157	1450034_at	-0.369004865	5.170256655	-3.142688894	0.011447883	-1.291461705	AW214029	signal transducer and activator of transcription 1	Stat1	20846	chr1 C1.1|1 25.9 cM		Feb. 2006 (NCBI Build 36)
158	1430877_at	0.403379838	3.702583934	3.138635054	0.011524062	1.322602779	BE955795	RIKEN cDNA 8030425K09 gene	8030425K09Rik	77207			Feb. 2006 (NCBI Build 36)
159	1425919_at	-0.36936137	2.343859407	-3.138256492	0.011531203	-1.291780878	BC004633	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12	Ndufa12	66414	chr10 F		Feb. 2006 (NCBI Build 36)
160	1444579_at	0.291202276	2.413705333	3.1379536	0.011536919	1.223659594	BG094502	GATA zinc finger domain containing 2B	Gatad2b	229542	chr3 F1		Feb. 2006 (NCBI Build 36)
161	1418058_at	0.504178422	5.365256305	3.137184348	0.011551451	1.418315432	BC017134	EGF, latrophilin seven transmembrane domain containing 1	Eltd1	170757	chr3 H3-H4	ENSMUSG00000039167	Feb. 2006 (NCBI Build 36)
162	1441017_at	0.327351389	4.321539994	3.135875167	0.011576225	1.254707769	BB336452	zinc finger, CCHC domain containing 14	Zcchc14	142682	chr8 E1	ENSMUSG00000061410	Feb. 2006 (NCBI Build 36)
163	1446501_at	-0.5125051	3.551829655	-3.135244914	0.011588171	-1.426525069	BB271275	RIKEN cDNA A830053O21 gene	A830053O21Rik	320522	chr11 B5	ENSMUSG00000044243	Feb. 2006 (NCBI Build 36)
164	1449419_at	0.333028988	3.377948055	3.130637211	0.011675893	1.25965529	NM_028785	dedicator of cytokinesis 8	Dock8	76088	chr19 B	ENSMUSG00000052085	Feb. 2006 (NCBI Build 36)
165	1451321_a_at	-0.311263588	6.559891286	-3.127177341	0.011742213	-1.240793977	BC003333	RIKEN cDNA 0610033I05 gene	0610033I05Rik	71684	chr2 C1	ENSMUSG00000036249	Feb. 2006 (NCBI Build 36)
166	1448839_at	0.315193849	4.509902887	3.127001884	0.011745586	1.244178817	NM_030697	ankyrin repeat domain 47	Ankrd47	80880	chr17 B1	ENSMUSG00000042099	Feb. 2006 (NCBI Build 36)
167	1421571_a_at	0.373811566	8.911584352	3.124652504	0.011790854	1.295771711	NM_010741	lymphocyte antigen 6 complex, locus C	Ly6c	17067	chr15 D3|15 42.7 cM	ENSMUSG00000075602 /// ENSMUSG00000022584	Feb. 2006 (NCBI Build 36)
168	1445341_at	0.425925109	2.846231467	3.121985278	0.011842464	1.343433685	BG074147						Feb. 2006 (NCBI Build 36)
169	1458240_at	0.541409247	2.651227007	3.12143716	0.011853099	1.455393474	AV326943	Membrane associated guanylate kinase, WW and PDZ domain containing 1	Magi1	14924	chr6 D3		Feb. 2006 (NCBI Build 36)
170	1433622_at	-0.328836469	4.541091546	-3.113629725	0.012005652	-1.256000004	BB385039	gem (nuclear organelle) associated protein 4	Gemin4	276919	chr11 B5	ENSMUSG00000049396	Feb. 2006 (NCBI Build 36)
171	1446392_at	0.328150289	3.467621024	3.113366174	0.012010837	1.255402762	BB527337	Slit homolog 2 (Drosophila)	Slit2	20563	chr5 B3		Feb. 2006 (NCBI Build 36)
172	1427067_at	0.389139769	2.873211617	3.11201999	0.012037356	1.309612293	AJ404329	RIKEN cDNA 4933439F18 gene	4933439F18Rik	66771	chr11 B2	ENSMUSG00000018415	Feb. 2006 (NCBI Build 36)
173	1454168_a_at	-0.309675743	2.667188538	-3.111389662	0.012049794	-1.239429097	AK006072	ClpB caseinolytic peptidase B homolog (E. coli)	Clpb	20480	chr7 F1	ENSMUSG00000001829	Feb. 2006 (NCBI Build 36)
174	1430183_at	0.55015451	4.047897772	3.110263796	0.012072043	1.464242505	AK014695	Pre B-cell leukemia transcription factor 1	Pbx1	18514	chr1 H2.3|1 88.1 cM		Feb. 2006 (NCBI Build 36)
175	1428279_a_at	-0.380520562	6.051583658	-3.104761783	0.012181382	-1.301811498	AK013145	ataxin 7-like 4	Atxn7l4	72174	chr12 B2	ENSMUSG00000073126	Feb. 2006 (NCBI Build 36)
176	1424525_at	-1.357548817	6.917775507	-3.101496924	0.012246744	-2.562494338	BC024515	gastrin releasing peptide	Grp	225642	chr18 E1|18 40.0 cM	ENSMUSG00000024517	Feb. 2006 (NCBI Build 36)
177	1448669_at	-0.696883885	8.158139299	-3.097316152	0.01233097	-1.620999769	AK004853	dickkopf homolog 3 (Xenopus laevis)	Dkk3	50781	chr7 F1	ENSMUSG00000030772	Feb. 2006 (NCBI Build 36)
178	1454184_a_at	-0.28910856	2.724596598	-3.096822621	0.012340952	-1.221885042	AK011359	inhibitor of kappaB kinase beta	Ikbkb	16150	chr8 A3-A4	ENSMUSG00000031537	Feb. 2006 (NCBI Build 36)
179	1435549_at	-0.306816432	5.219130193	-3.095679293	0.012364108	-1.236975077	BI685685	transient receptor potential cation channel, subfamily M, member 4	Trpm4	68667	chr7 B3		Feb. 2006 (NCBI Build 36)
180	1446194_at	0.431662558	2.815685274	3.091973262	0.012439476	1.34878702	BB547741	nuclear receptor subfamily 2, group C, member 1	Nr2c1	22025	chr10 C2|10 52.0 cM		Feb. 2006 (NCBI Build 36)
181	1421965_s_at	0.411966043	4.670477117	3.088937919	0.012501556	1.330497725	NM_008716	Notch gene homolog 3 (Drosophila)	Notch3	18131	chr17 B1|17 20.0 cM	ENSMUSG00000038146	Feb. 2006 (NCBI Build 36)
182	1416361_a_at	-0.303304718	9.240185963	-3.087440188	0.012532306	-1.233967774	NM_010063	dynein cytoplasmic 1 intermediate chain 1	Dync1i1	13426	chr6 A1|6 3.8 cM	ENSMUSG00000029757	Feb. 2006 (NCBI Build 36)
183	1416977_at	0.286564684	3.113297078	3.082969401	0.012624558	1.219732415	BB125321	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	Stam2	56324	chr2 C1.1	ENSMUSG00000055371	Feb. 2006 (NCBI Build 36)
184	1444454_at	0.27730475	2.326208754	3.081119909	0.012662926	1.211928637	BB239332	Retinoblastoma 1	Rb1	19645	chr14 D3|14 41.0 cM		Feb. 2006 (NCBI Build 36)
185	1422078_at	-0.402429913	3.915606828	-3.079636301	0.012693789	-1.321732214	AF124142	thymoma viral proto-oncogene 3	Akt3	23797	chr1 H4-H6		Feb. 2006 (NCBI Build 36)
186	1424372_at	-0.282067903	7.785675967	-3.078771205	0.012711822	-1.215936512	AF279255	mitochondrial ribosomal protein L32	Mrpl32	75398	chr13 A2	ENSMUSG00000015672	Feb. 2006 (NCBI Build 36)
187	1454000_s_at	0.329974896	2.562438756	3.078601745	0.012715357	1.256991501	BE282424	RIKEN cDNA 4930578N16 gene	4930578N16Rik	75051	chr2 C2	ENSMUSG00000070883	Feb. 2006 (NCBI Build 36)
188	1455221_at	-0.421765122	5.553037813	-3.078322251	0.01272119	-1.339565497	BQ176322	ATP-binding cassette, sub-family G (WHITE), member 1	Abcg1	11307	chr17 A2-B		Feb. 2006 (NCBI Build 36)
189	1447156_at	0.68929362	3.603367957	3.076898888	0.012750939	1.612493808	AI746579	Choroidermia	Chm	12662	chrX E1		Feb. 2006 (NCBI Build 36)
190	1459338_at	0.504722947	3.106730232	3.07656573	0.012757913	1.418850856	BB096051	Autism susceptibility candidate 2	Auts2	319974	chr5 G2		Feb. 2006 (NCBI Build 36)
191	1417703_at	-0.35738778	2.82486923	-3.073467601	0.012822949	-1.281104161	NM_008990	poliovirus receptor-related 2	Pvrl2	19294	chr7 A3|7 9.0 cM	ENSMUSG00000062300	Feb. 2006 (NCBI Build 36)
192	1442070_at	0.468312245	2.270031473	3.072126088	0.012851216	1.383490028	BB496038	myeloid/lymphoid or mixed lineage-leukemia translocation to 10 homolog (Drosophila)	Mllt10	17354			Feb. 2006 (NCBI Build 36)
193	1451042_a_at	-0.329949824	5.488876535	-3.071582408	0.01286269	-1.256969657	AK013451	myc induced nuclear antigen	Mina	67014	chr16 C1.3	ENSMUSG00000022724	Feb. 2006 (NCBI Build 36)
194	1432734_at	-0.289264333	2.748349996	-3.070454092	0.012886536	-1.222016981	AK016615	RIKEN cDNA 4933402E15 gene	4933402E15Rik	74056			Feb. 2006 (NCBI Build 36)
195	1443430_at	-0.291783809	2.429728477	-3.067066416	0.012958405	-1.224152937	BM234069	CASP2 and RIPK1 domain containing adaptor with death domain	Cradd	12905	chr10 C2|10 52.0 cM		Feb. 2006 (NCBI Build 36)
196	1436369_at	-0.304279503	2.609509933	-3.066573721	0.012968892	-1.23480181	BE634810	RIKEN cDNA 2900076A07 gene	2900076A07Rik	72992	chr7 D1		Feb. 2006 (NCBI Build 36)
197	1431950_at	-0.384646065	2.796465326	-3.065239302	0.012997338	-1.305539461	AK015927	RIKEN cDNA 4930528G23 gene	4930528G23Rik	75831			Feb. 2006 (NCBI Build 36)
198	1442016_at	-0.271516694	6.081692504	-3.063571848	0.013032973	-1.207076151	BQ174740	RIKEN cDNA D630004N19 gene	D630004N19Rik	402747	chr7 E2		Feb. 2006 (NCBI Build 36)
199	1438533_at	0.728384782	3.306424131	3.062810632	0.013049275	1.656783145	BM121122	myosin IXb	Myo9b	17925	chr8 B3.3|8 33.5 cM	ENSMUSG00000004677	Feb. 2006 (NCBI Build 36)
200	1431616_at	-0.297982295	2.428553923	-3.06272701	0.013051067	-1.22942378	AK006911	RIKEN cDNA 1700067C01 gene	1700067C01Rik	76718	chr7 B1	ENSMUSG00000049123	Feb. 2006 (NCBI Build 36)
201	1418807_at	0.401994566	2.765952008	3.06090792	0.013090113	1.321333429	NM_026084	RIKEN cDNA 3110070M22 gene	3110070M22Rik	67304	chr13 D2.3		Feb. 2006 (NCBI Build 36)
202	1422462_at	-0.326219855	3.114222307	-3.053737496	0.013245197	-1.253724063	NM_026024	ubiquitin-conjugating enzyme E2T (putative)	Ube2t	67196	chr1 E4	ENSMUSG00000026429	Feb. 2006 (NCBI Build 36)
203	1445545_at	0.322292376	3.038509482	3.052894387	0.013263556	1.250315665	AW743721	Transmembrane protein 77	Tmem77	67171	chr3 F3		Feb. 2006 (NCBI Build 36)
204	1450501_at	-0.276947223	3.01074434	-3.051859008	0.013286137	-1.211628335	NM_008396	integrin alpha 2	Itga2	16398	chr13 D2.2|13 64.0 cM	ENSMUSG00000015533	Feb. 2006 (NCBI Build 36)
205	1428963_at	-0.516199671	7.092582278	-3.051008072	0.013304725	-1.430182912	AK006533	RWD domain containing 2	Rwdd2	69519	chr9 E3.1	ENSMUSG00000032417	Feb. 2006 (NCBI Build 36)
206	1458882_at	0.85369009	3.366479962	3.050350191	0.013319114	1.807117219	BB049357	serine (or cysteine) peptdiase inhibitor, clade B, member 8	Serpinb8	20725	chr1 D	ENSMUSG00000026315	Feb. 2006 (NCBI Build 36)
207	1450380_at	-0.360601834	9.186327446	-3.050015013	0.013326451	-1.283961403	AF353717	ependymin related protein 2 (zebrafish)	Epdr2	105298	chr13 A2	ENSMUSG00000002808	Feb. 2006 (NCBI Build 36)
208	1430464_at	0.533875812	3.24886438	3.041509438	0.013514035	1.447813538	AK020430	RIKEN cDNA 9430021M05 gene	9430021M05Rik	77288		ENSMUSG00000054457	Feb. 2006 (NCBI Build 36)
209	1442077_at	0.652694005	5.004681252	3.037808931	0.013596491	1.572101107	BB197581	RIKEN cDNA 2310076G05 gene	2310076G05Rik	76963			Feb. 2006 (NCBI Build 36)
210	1450834_at	-0.344907929	2.507247201	-3.037477295	0.013603906	-1.270069925	NM_010242	fucosyltransferase 4	Fut4	14345	chr9 A2|9 3.0 cM		Feb. 2006 (NCBI Build 36)
211	1450492_at	-0.342285835	2.354138259	-3.035257281	0.013653648	-1.267763674	NM_013927	cyclic nucleotide gated channel beta 3	Cngb3	30952	chr4 A3	ENSMUSG00000056494	Feb. 2006 (NCBI Build 36)
212	1429583_at	-0.362830595	4.667980055	-3.034469833	0.013671337	-1.285946475	BE865033	RIKEN cDNA 2900053A13 gene	2900053A13Rik	554362	chr8 A1.1|5		Feb. 2006 (NCBI Build 36)
213	1439678_at	0.780671883	4.348422102	3.029375745	0.013786337	1.71793075	BM239869	Glutaminase	Gls	14660	chr1 C1.1|1 25.9 cM		Feb. 2006 (NCBI Build 36)
214	1443870_at	0.597848029	5.026434969	3.027349828	0.013832347	1.51345736	BB291885	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Abcc4	239273	chr14 E4	ENSMUSG00000032849	Feb. 2006 (NCBI Build 36)
215	1455688_at	-0.583514054	4.440617951	-3.026564981	0.013850214	-1.498494775	BB795075	discoidin domain receptor family, member 2	Ddr2	18214	chr1 H1-H5|1 90.0 cM		Feb. 2006 (NCBI Build 36)
216	1419377_at	0.31729768	5.704019265	3.026392944	0.013854134	1.245994483	BC019367	mediator of RNA polymerase II transcription, subunit 9 homolog (yeast)	Med9	192191	chr11 B1.3	ENSMUSG00000061650	Feb. 2006 (NCBI Build 36)
217	1438528_at	0.526222748	2.880048301	3.019547414	0.014011024	1.440153657	AW545979	Pericentriolar material 1	Pcm1	18536	chr8 A4|8 22.5 cM		Feb. 2006 (NCBI Build 36)
218	1460125_at	0.403021753	2.398489149	3.014671263	0.01412389	1.322274543	BB517076						Feb. 2006 (NCBI Build 36)
219	1419888_at	0.406577406	2.79682767	3.013371657	0.014154128	1.325537427	BB175647	RIKEN cDNA 1110033M05 gene	1110033M05Rik	68675	chr13 C1-C2		Feb. 2006 (NCBI Build 36)
220	1434831_a_at	0.372916314	6.999580605	3.011502307	0.014197739	1.29496788	BB364488	forkhead box O3a	Foxo3a	56484	chr10 B2|10 30.0 cM		Feb. 2006 (NCBI Build 36)
221	1453750_x_at	0.499529655	5.84196636	3.007380328	0.014294389	1.413752578	BI654600	phosphatidylinositol transfer protein, cytoplasmic 1	Pitpnc1	71795	chr11 E1	ENSMUSG00000040430	Feb. 2006 (NCBI Build 36)
222	1452812_at	0.297172296	8.444974892	3.007307675	0.014296099	1.228733715	AA987131	latrophilin 1	Lphn1	330814	chr8 C3		Feb. 2006 (NCBI Build 36)
223	1429403_x_at	-0.464603017	5.938399984	-3.00406349	0.014372651	-1.379937587	AK003894	glycosyltransferase 8 domain containing 2	Glt8d2	74782	chr10 C1	ENSMUSG00000020251	Feb. 2006 (NCBI Build 36)
224	1438682_at	0.476572681	7.278586368	3.001297857	0.014438242	1.391434195	BB426164	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	Pik3r1	18708	chr13 D1|13 50.0 cM	ENSMUSG00000041417	Feb. 2006 (NCBI Build 36)
225	1429424_at	-0.287814432	2.400631622	-3.000927954	0.014447038	-1.220789477	AK005665	cystatin 13	Cst13	69294	chr2 G3	ENSMUSG00000036924	Feb. 2006 (NCBI Build 36)
226	1447272_s_at	0.466090601	3.09473254	3.000556782	0.01445587	1.381361195	BM249532	ATPase, class V, type 10A	Atp10a	11982	chr7 B5	ENSMUSG00000025324	Feb. 2006 (NCBI Build 36)
227	1440808_x_at	-0.453226625	2.808905319	-2.991785494	0.014666193	-1.36909886	BB209710	RIKEN cDNA E430002D04 gene	E430002D04Rik	244233	chr7 F4	ENSMUSG00000025461	Feb. 2006 (NCBI Build 36)
228	1460538_at	0.949207292	4.622691046	2.990203591	0.014704458	1.930811457	AK021064	cadherin 10	Cdh10	320873	chr15 A2		Feb. 2006 (NCBI Build 36)
229	1440293_at	-0.344910893	2.617969065	-2.987481665	0.014770537	-1.270072535	BB821275	RIKEN cDNA C230081A13 gene	C230081A13Rik	244895	chr9 B		Feb. 2006 (NCBI Build 36)
230	1423031_at	-0.239344305	7.104529767	-2.97808979	0.015000884	-1.18045603	AV011036	macrophage erythroblast attacher	Maea	59003	chr5 B1-B2		Feb. 2006 (NCBI Build 36)
231	1454023_a_at	-0.327616255	6.324738644	-2.977248053	0.015021707	-1.254938144	AK006466	DNA segment, Chr 1, Brigham & Womens Genetics 1363 expressed	D1Bwg1363e	74241	chr1 C4	ENSMUSG00000032997	Feb. 2006 (NCBI Build 36)
232	1440583_at	0.38429468	2.474993481	2.976465277	0.015041098	1.305221521	AW545077	DNA segment, Chr 6, Wayne State University 116, expressed	D6Wsu116e	28006	chr6 F1|6 50.3 cM		Feb. 2006 (NCBI Build 36)
233	1454487_at	0.483434987	3.616251433	2.975841751	0.015056563	1.398068439	AK018065	RIKEN cDNA 5830490A04 gene	5830490A04Rik	76126			Feb. 2006 (NCBI Build 36)
234	1444493_at	0.289650138	3.698412937	2.975468333	0.015065832	1.222343817	BF715246	TBC1 domain family, member 2B	Tbc1d2b	67016	chr9 E3.1		Feb. 2006 (NCBI Build 36)
235	1451095_at	-0.294737136	8.76078581	-2.974660281	0.01508591	-1.226661455	BC005552	asparagine synthetase	Asns	27053	chr6 A1	ENSMUSG00000029752	Feb. 2006 (NCBI Build 36)
236	1425456_a_at	0.337559367	3.778217605	2.974029761	0.015101596	1.263617101	AI481780	mitogen activated protein kinase kinase 3	Map2k3	26397	chr11 B2	ENSMUSG00000018932	Feb. 2006 (NCBI Build 36)
237	1457842_at	0.489852949	3.483993858	2.972773757	0.015132892	1.404301731	AV154022	Zinc finger protein 292	Zfp292	30046	chr4 A5|4 17.2 cM		Feb. 2006 (NCBI Build 36)
238	1421104_at	0.255728142	3.365280735	2.971942698	0.015153636	1.193938183	NM_008620	guanylate nucleotide binding protein 4 /// macrophage activation 2 like /// similar to macrophage activation 2 /// predicted gene, EG634650 /// similar to guanylate binding protein family, member 6 /// similar to guanylate binding protein family, member 6	Gbp4 /// Mpa2l /// LOC547126 /// EG634650 /// LOC671219 /// LOC673195	100702 /// 17472 /// 547126 /// 634650 /// 671219 /// 673195	chr5 E5|5 60.0 cM /// chr5 E5		Feb. 2006 (NCBI Build 36)
239	1445656_at	1.077073872	4.931487667	2.965656768	0.015311485	2.109752659	AW060425	Transcribed locus					Feb. 2006 (NCBI Build 36)
240	1459824_at	-0.273757575	2.357476342	-2.96458443	0.01533858	-1.208952511	BB286894	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	Smarcc1	20588	chr9 F2		Feb. 2006 (NCBI Build 36)
241	1427065_at	0.418703544	4.43207356	2.958135776	0.015502559	1.336725786	AJ404329	RIKEN cDNA 4933439F18 gene	4933439F18Rik	66771	chr11 B2	ENSMUSG00000018415	Feb. 2006 (NCBI Build 36)
242	1440131_at	-0.402463232	3.27548164	-2.957273518	0.015524621	-1.32176274	BB728649	Poliovirus receptor-related 1	Pvrl1	58235	chr9 B		Feb. 2006 (NCBI Build 36)
243	1434834_at	0.28538758	8.612106223	2.954063193	0.015607041	1.218737634	BG067098	suppressor of cytokine signaling 7	Socs7	192157	chr11 D	ENSMUSG00000038485	Feb. 2006 (NCBI Build 36)
244	1442035_at	-0.372089671	2.738869493	-2.953783704	0.015614238	-1.294226095	BB326058	cholinergic receptor, nicotinic, alpha polypeptide 5	Chrna5	110835	chr9 B|9 32.0 cM	ENSMUSG00000035594	Feb. 2006 (NCBI Build 36)
245	1460310_a_at	-1.504230794	3.947011761	-2.948313028	0.015755789	-2.83673384	NM_008117	growth hormone	Gh	14599	chr11 D|11 65.0 cM	ENSMUSG00000020713	Feb. 2006 (NCBI Build 36)
246	1427055_at	-0.364915036	6.383687419	-2.945788074	0.015821562	-1.287805786	BC022612	thioesterase superfamily member 4	Them4	75778	chr3 F2.1	ENSMUSG00000028145	Feb. 2006 (NCBI Build 36)
247	1439984_at	-0.292385392	4.140049758	-2.944243442	0.015861937	-1.224663497	BB474782	phosphatidylserine synthase 2	Ptdss2	27388	chr7 F5		Feb. 2006 (NCBI Build 36)
248	1433241_at	0.338034061	2.674195255	2.944032099	0.01586747	1.264032941	AK020414	RIKEN cDNA 9430013L17 gene	9430013L17Rik	77266			Feb. 2006 (NCBI Build 36)
249	1439596_at	0.307848623	1.94587374	2.940892072	0.015949901	1.2378604	BB526799						Feb. 2006 (NCBI Build 36)
250	1435657_at	-0.459043949	4.498491623	-2.940698382	0.015955	-1.374630571	BQ174439	expressed sequence AI425999	AI425999	104804			Feb. 2006 (NCBI Build 36)
251	1457726_at	-0.371301471	6.27080992	-2.934451634	0.016120345	-1.293519203	BB231137	ribosomal protein S15a	Rps15a	267019	chr7 F1	ENSMUSG00000008683	Feb. 2006 (NCBI Build 36)
252	1418395_at	-0.766433804	4.008915318	-2.934422784	0.016121112	-1.701059735	NM_026183	RIKEN cDNA 1300013J15 gene	1300013J15Rik	67473	chr11 B2	ENSMUSG00000010122	Feb. 2006 (NCBI Build 36)
253	1436755_at	0.436503914	4.57558176	2.931643838	0.016195233	1.353320845	AI317339	inter-alpha (globulin) inhibitor H5	Itih5	209378	chr2 A1	ENSMUSG00000025780	Feb. 2006 (NCBI Build 36)
254	1448901_at	-0.291458812	4.111203344	-2.929185921	0.016261081	-1.223877202	NM_019696	carboxypeptidase X 1 (M14 family)	Cpxm1	56264	chr2 F1	ENSMUSG00000027408	Feb. 2006 (NCBI Build 36)
255	1432237_at	0.273955558	2.329763062	2.927679374	0.016301577	1.209118429	AK017784	RIKEN cDNA 5730522E02 gene	5730522E02Rik	70626	chr11 A3.2-A3.3		Feb. 2006 (NCBI Build 36)
256	1424138_at	0.323598457	5.919699672	2.92086927	0.016485921	1.251448096	BC027346	rhomboid family 1 (Drosophila)	Rhbdf1	13650	chr11 A4|11 16.0 cM	ENSMUSG00000020282	Feb. 2006 (NCBI Build 36)
257	1451762_a_at	0.328267532	4.962585545	2.919699274	0.016517806	1.255504789	AB023656	kinesin family member 1B	Kif1b	16561	chr4 E|4 70.9 cM	ENSMUSG00000063077	Feb. 2006 (NCBI Build 36)
258	1416052_at	-0.285249589	8.941372005	-2.917673351	0.016573164	-1.218621069	AK011304	phosphoribosyl pyrophosphate synthetase 1	Prps1	19139	chrX F1-F2|X 60.0 cM	ENSMUSG00000031432	Feb. 2006 (NCBI Build 36)
259	1427975_at	-0.569754317	7.881770741	-2.915842421	0.016623358	-1.484270786	AK008807	RIKEN cDNA 2210403B10 gene	2210403B10Rik	75668	chr11 A1	ENSMUSG00000034209	Feb. 2006 (NCBI Build 36)
260	1427820_at	0.995417476	6.540720873	2.914446098	0.016661741	1.993657351	BC021831						Feb. 2006 (NCBI Build 36)
