Significant regulation	Affy ID	Gene	Human product	Non-EC-specific expression (q-value)	Non-EC /EC Transcript ratio (per million)
Up E7 to E10	Gga.2625.1.S1_at	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	0.19	--
Up E7 to E10	Gga.13030.1.S1_at	RASSF1	Ras association (RalGDS/AF-6) domain family member 1	0.33	--
Up E7 to E10	GgaAffx.22081.2.S1_s_at	RASSF7	Ras association (RalGDS/AF-6) domain family (N-terminal) member 7	0.62	--
Up E5 to E7	Gga.496.1.S1_at	RELN	reelin	0.62	--
Up E7 to E10	Gga.496.1.S1_at	RELN	reelin	0.62	--
Up E5 to E7	Gga.9086.1.S1_at	RHAG	Rh-associated glycoprotein	0.23	--
Up E7 to E10	Gga.9086.1.S2_at	RHAG	Rh-associated glycoprotein	0.23	--
Up E7 to E10	Gga.9086.1.S1_at	RHAG	Rh-associated glycoprotein	0.23	--
Up E5 to E7	Gga.9198.1.S1_at	RHCE	Rh blood group, CcEe antigens	0.26	--
Up E7 to E10	GgaAffx.23327.1.S1_s_at	RIN3	Ras and Rab interactor 3	0.57	--
Up E7 to E10	Gga.10018.1.S1_at	RIN3	Ras and Rab interactor 3	0.57	--
Down E10 to E14	GgaAffx.23327.1.S1_s_at	RIN3	Ras and Rab interactor 3	0.57	--
Down E10 to E14	Gga.10018.1.S1_at	RIN3	Ras and Rab interactor 3	0.57	--
Up E7 to E10	Gga.15973.1.S1_at	RIPK4	receptor-interacting serine-threonine kinase 4	0.57	--
Up E7 to E10	Gga.701.1.S1_s_at	RNASE4	ribonuclease, RNase A family, 4	0.53	--
Up E7 to E10	GgaAffx.12331.1.S1_at	RNF11	ring finger protein 11	0.59	2.28125
Up E7 to E10	GgaAffx.4587.1.S1_at	RPS6KB2	ribosomal protein S6 kinase, 70kDa, polypeptide 2	0.23	--
Down E5 to E7	Gga.19305.1.S1_at	RSPO3	R-spondin 3 homolog (Xenopus laevis)	0.62	--
Up E10 to E14	Gga.4420.2.S1_a_at	RTN1	reticulon 1	0.49	--
Up E10 to E14	GgaAffx.6592.1.S1_at	S100A4	S100 calcium binding protein A4	0.53	--
Down E10 to E14	Gga.15885.1.S1_at	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin)	0.62	--
Up E5 to E7	Gga.4675.1.S2_at	SDC2	syndecan 2	0.44	--
Up E5 to E7	Gga.1846.1.S2_at	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	0.49	--
Down E10 to E14	Gga.1846.1.S1_at	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	0.49	--
Down E10 to E14	Gga.1846.1.S2_at	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	0.49	--
Up E10 to E14	Gga.3972.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	0.62	--
Up E7 to E10	Gga.7044.1.S1_s_at	SEPP1	selenoprotein P, plasma, 1	0.17	--
Up E7 to E10	GgaAffx.24181.1.S1_at	SF3B4	splicing factor 3b, subunit 4, 49kDa	0.19	--
Down E10 to E14	Gga.4684.1.S1_at	SFPQ	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	0.05	--
Down E5 to E7	Gga.4830.1.S1_at	SFRP1	secreted frizzled-related protein 1	0.44	--
Down E7 to E10	GgaAffx.24520.2.S1_s_at	SFRS12	splicing factor, arginine/serine-rich 12	0.62	--
Down E10 to E14	GgaAffx.24790.1.S1_at	SFRS15	splicing factor, arginine/serine-rich 15	0.49	--
Down E10 to E14	Gga.13500.1.S1_at	SFRS3	splicing factor, arginine/serine-rich 3	0.12	2.176470588
Up E7 to E10	Gga.16071.1.S1_s_at	SGPL1	sphingosine-1-phosphate lyase 1	0.49	--
Up E5 to E7	Gga.19300.1.S1_at	SLC16A2	solute carrier family 16, member 2 (monocarboxylic acid transporter 8)	0.53	--
Up E5 to E7	Gga.15955.1.S1_s_at	SLC16A2	solute carrier family 16, member 2 (monocarboxylic acid transporter 8)	0.53	--
Up E7 to E10	Gga.1750.1.S1_at	SLC16A2	solute carrier family 16, member 2 (monocarboxylic acid transporter 8)	0.53	--
Up E7 to E10	GgaAffx.11943.1.S1_s_at	SLC17A5	solute carrier family 17 (anion/sugar transporter), member 5	0.62	--
Up E7 to E10	Gga.5522.1.S1_at	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	0.12	--
Up E7 to E10	Gga.19405.1.S1_at	SLC31A2	solute carrier family 31 (copper transporters), member 2	0.57	--
Up E7 to E10	GgaAffx.7796.1.S1_s_at	SLC39A8	solute carrier family 39 (zinc transporter), member 8	0.23	--
Up E7 to E10	Gga.1335.1.S1_at	SLC4A2	solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	0.59	2.28125
Up E10 to E14	Gga.15268.1.S1_at	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	0.53	--
Up E5 to E7	GgaAffx.2235.1.S1_at	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	0.49	--
Up E5 to E7	Gga.13519.1.S1_s_at	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	0.16	5.9375
Up E7 to E10	Gga.4082.1.S1_at	SMO	smoothened homolog (Drosophila)	0.57	--
Up E7 to E10	GgaAffx.11117.1.S1_at	SMPD1	sphingomyelin phosphodiesterase 1, acid lysosomal	0.26	--
Down E10 to E14	Gga.19934.1.S1_at	SNAI2	snail homolog 2 (Drosophila)	0.62	--
Down E10 to E14	Gga.8376.1.S1_s_at	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide 18kDa	0.57	--
Up E7 to E10	GgaAffx.8419.1.S1_s_at	SOS1	son of sevenless homolog 1 (Drosophila)	0.44	--
Down E10 to E14	GgaAffx.8419.1.S1_s_at	SOS1	son of sevenless homolog 1 (Drosophila)	0.44	--
Up E7 to E10	GgaAffx.22594.1.S1_s_at	SPINT1	serine peptidase inhibitor, Kunitz type 1	0.53	--
Up E7 to E10	GgaAffx.22685.1.S1_at	SPRED2	sprouty-related, EVH1 domain containing 2	0.57	--
Down E5 to E7	Gga.1146.2.S1_at	SSB	Sjogren syndrome antigen B (autoantigen La)	0.01	--
Up E7 to E10	Gga.5375.1.S1_at	ST14	suppression of tumorigenicity 14 (colon carcinoma)	0.38	--
Down E5 to E7	Gga.13339.1.S1_at	ST8SIA6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	0.57	--
Up E7 to E10	Gga.11348.2.S1_a_at	STIP1	stress-induced-phosphoprotein 1	0.33	2.96875
Down E10 to E14	Gga.3674.1.S1_at	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	0.62	--
Up E7 to E10	GgaAffx.10023.1.S1_at	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	0.62	--
Up E5 to E7	GgaAffx.8937.1.S1_at	SYTL2	synaptotagmin-like 2	0.57	--
Up E5 to E7	Gga.3908.1.S1_at	TAGLN	transgelin	0	--
Down E5 to E7	GgaAffx.23061.5.S1_s_at	TBC1D9	TBC1 domain family, member 9 (with GRAM domain)	0.57	--
Down E10 to E14	Gga.8451.1.S1_a_at	TERF1	telomeric repeat binding factor (NIMA-interacting) 1	0.57	--
Up E5 to E7	Gga.2827.2.S1_a_at	TIMP3	TIMP metallopeptidase inhibitor 3	0.38	--
Up E7 to E10	Gga.4319.1.S1_at	TLN1	talin 1	0.02	4.729166667
Down E5 to E7	GgaAffx.25912.1.S1_s_at	TLN2	talin 2	0.62	--
Up E7 to E10	GgaAffx.5126.1.S1_at	TLR2	toll-like receptor 2	0.53	--
Up E10 to E14	Gga.8323.1.S1_at	TMEM51	transmembrane protein 51	0.57	--
Down E5 to E7	GgaAffx.25173.1.S1_at	TNFRSF19	tumor necrosis factor receptor superfamily, member 19	0.53	--
Up E10 to E14	Gga.4954.3.S1_at	TNIP1	TNFAIP3 interacting protein 1	0.29	3.09375
Down E10 to E14	GgaAffx.9737.2.S1_s_at	TOMM70A	translocase of outer mitochondrial membrane 70 homolog A (S. cerevisiae)	0.57	--
Down E7 to E10	Gga.256.1.S2_at	TPD52L1	tumor protein D52-like 1	0.29	--
Up E7 to E10	Gga.6020.1.S1_s_at	TRIM3	tripartite motif-containing 3	0.62	--
Down E7 to E10	Gga.3743.1.S1_at	TRIP13	thyroid hormone receptor interactor 13	0.53	--
Up E7 to E10	GgaAffx.26025.1.S1_at	TRIT1	tRNA isopentenyltransferase 1	0.57	--
Up E7 to E10	GgaAffx.26025.2.S1_s_at	TRIT1	tRNA isopentenyltransferase 1	0.57	--
Up E10 to E14	Gga.5527.1.S1_at	TSPAN1	tetraspanin 1	0.62	--
Down E5 to E7	Gga.12040.2.S1_a_at	TSPAN8	tetraspanin 8	0.62	--
Down E10 to E14	Gga.1815.1.S1_at	TUBB2B	tubulin, beta 2B	0.33	--
Up E7 to E10	Gga.9143.1.S1_x_at	TUBB3	tubulin, beta 3	0.08	7.3125
Up E10 to E14	Gga.15019.1.S1_s_at	TUFT1	tuftelin 1	0.33	--
Down E10 to E14	Gga.3973.1.S1_at	TWIST1	twist homolog 1 (Drosophila)	0.62	--
Up E7 to E10	Gga.584.1.S1_at	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	0.57	--
Up E5 to E7	Gga.679.1.S1_at	VLDLR	very low density lipoprotein receptor	0.49	--
Up E5 to E7	GgaAffx.8887.1.S1_s_at	VNN2	vanin 2	0.62	--
Down E5 to E7	Gga.11797.1.S1_s_at	VRK1	vaccinia related kinase 1	0.33	--
Up E7 to E10	GgaAffx.21324.1.S1_at	WBP4	WW domain binding protein 4 (formin binding protein 21)	0.44	--
Up E10 to E14	Gga.7267.1.S1_at	WDR13	WD repeat domain 13	0.26	--
Up E5 to E7	GgaAffx.4249.1.S1_at	WFDC2	WAP four-disulfide core domain 2	0.33	--
Up E10 to E14	GgaAffx.4249.1.S1_at	WFDC2	WAP four-disulfide core domain 2	0.33	--
Up E10 to E14	Gga.409.1.S1_at	WNT5A	wingless-type MMTV integration site family, member 5A	0.62	--
Up E7 to E10	Gga.16664.1.S1_at	YIF1B	Yip1 interacting factor homolog B (S. cerevisiae)	0.53	--
Down E10 to E14	GgaAffx.4698.1.S1_at	YRDC	yrdC domain containing (E. coli)	0.62	--
