Ensembl ID	Fold Change	Gene Name	Gene Symbol
ENSG00000132475	1.321974468	Histone H3.3 [Source:UniProtKB/Swiss-Prot;Acc:P84243]	H3F3B
ENSG00000198018	1.321195586	Ectonucleoside triphosphate diphosphohydrolase 7 (EC 3.6.1.-) (NTPDase 7) (Lysosomal apyrase-like protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9NQZ7]	ENTPD7
ENSG00000107819	1.321118164	Sideroflexin-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9BWM7]	SFXN3
ENSG00000113100	1.320760497	Cadherin-9 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9ULB4]	CDH9
ENSG00000174898	1.320640521	Transmembrane protein 146 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q86XM0]	TMEM146
ENSG00000180471	1.320439038		ENSG00000180471
ENSG00000164411	1.320277483	Gap junction beta-7 protein (Connexin-25) (Cx25) [Source:UniProtKB/Swiss-Prot;Acc:Q6PEY0]	GJB7
ENSG00000006744	1.320211984	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (Ribonuclease Z 2) (RNase Z 2) (tRNase Z 2) (tRNA 3 endonuclease 2) (ElaC homolog protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9BQ52]	ELAC2
ENSG00000100568	1.320103669	Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1)(Vti1-rp1) [Source:UniProtKB/Swiss-Prot;Acc:Q9UEU0]	VTI1B
ENSG00000184924	1.319465539	Uncharacterized protein LOC391356 [Source:UniProtKB/Swiss-Prot;Acc:Q6GMV3]	C2orf79
ENSG00000112941	1.31935862	DNA polymerase sigma (EC 2.7.7.7) (Topoisomerase-related function protein 4-1) (TRF4-1) (LAK-1) (DNA polymerase kappa) [Source:UniProtKB/Swiss-Prot;Acc:Q5XG87]	POLS
ENSG00000126262	1.318303978	Free fatty acid receptor 2 (G-protein coupled receptor 43) [Source:UniProtKB/Swiss-Prot;Acc:O15552]	FFAR2
ENSG00000106261	1.318145615	Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 36)(Zinc finger protein KOX18) [Source:UniProtKB/Swiss-Prot;Acc:P17029]	ZKSCAN1
ENSG00000177225	1.318125863	Parkinson disease 7 domain-containing protein 1 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q8NB37]	PDDC1
ENSG00000025708	1.318081311	Thymidine phosphorylase Precursor  (EC 2.4.2.4) (TdRPase) (TP) (Platelet-derived endothelial cell growth factor) (PD-ECGF) (Gliostatin) [Source:UniProtKB/Swiss-Prot;Acc:P19971]	ECGF1
ENSG00000122861	1.31792029	Urokinase-type plasminogen activator (EC 3.4.21.73) (U-plasminogen activator) (uPA)[Urokinase-type plasminogen activator long chain A] [Source:UniProtKB/Swiss-Prot;Acc:P00749]	PLAU
ENSG00000163629	1.317825615	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (PTP-BAS) (Protein-tyrosine phosphatase PTPL1) [Source:UniProtKB/Swiss-Prot;Acc:Q12923]	PTPN13
ENSG00000108961	1.316679392	Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1) [Source:UniProtKB/Swiss-Prot;Acc:Q9HD47]	RANGRF
ENSG00000138080	1.316650661	EMILIN-1 Precursor  (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y6C2]	EMILIN1
ENSG00000103495	1.316574153	Myc-associated zinc finger protein (MAZI) (Purine-binding transcription factor) (Pur-1) (ZF87) (ZIF87) [Source:UniProtKB/Swiss-Prot;Acc:P56270]	MAZ
ENSG00000184898	1.316370388	RNA-binding protein 43 (RNA-binding motif protein 43) [Source:UniProtKB/Swiss-Prot;Acc:Q6ZSC3]	RBM43
ENSG00000177181	1.316362245	Ribosomal protein S6 modification-like protein A [Source:UniProtKB/Swiss-Prot;Acc:Q8IXN7]	FAM80A
ENSG00000069974	1.316283589	Ras-related protein Rab-27A (Rab-27) (GTP-binding protein Ram) [Source:UniProtKB/Swiss-Prot;Acc:P51159]	RAB27A
ENSG00000197013	1.316195774	Zinc finger protein 429 [Source:UniProtKB/Swiss-Prot;Acc:Q86V71]	ZNF429
ENSG00000043039	1.31616233	Homeobox protein BarH-like 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9UMQ3]	BARX2
ENSG00000181573	1.315615481		ENSG00000181573
ENSG00000101442	1.315608753	Actin-related protein 5 (hARP5) (Sarcoma antigen NY-SAR-16) [Source:UniProtKB/Swiss-Prot;Acc:Q9H9F9]	ACTR5
ENSG00000060138	1.314973922	DNA-binding protein A (Cold shock domain-containing protein A) (Single-strand DNA-binding protein NF-GMB) [Source:UniProtKB/Swiss-Prot;Acc:P16989]	CSDA
ENSG00000124201	1.31455609	NFX1-type zinc finger-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9P2E3]	ZNFX1
ENSG00000114302	1.313935223	cAMP-dependent protein kinase type II-alpha regulatory subunit [Source:UniProtKB/Swiss-Prot;Acc:P13861]	PRKAR2A
ENSG00000100345	1.313364289	Myosin-9 (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA) (Cellular myosin heavy chain, type A) [Source:UniProtKB/Swiss-Prot;Acc:P35579]	MYH9
ENSG00000204351	1.311939586	superkiller viralicidic activity 2-like homolog  [Source:RefSeq_peptide;Acc:NP_008860]	SKIV2L
ENSG00000184378	1.311898723	Actin-related protein M1 [Source:UniProtKB/Swiss-Prot;Acc:Q9BYD9]	ARPM1
ENSG00000204520	1.311837335	MHC class I polypeptide-related sequence A [Source:UniProtKB/TrEMBL;Acc:Q5SS58]	MICA
ENSG00000183190	1.311781826		ENSG00000183190
ENSG00000188807	1.311212104	Transmembrane protein 201  [Source:UniProtKB/Swiss-Prot;Acc:Q5SNT2]	TMEM201
ENSG00000107623	1.311036881	Bone morphogenetic protein 3b Precursor  (BMP-3b) (Growth/differentiation factor 10) (GDF-10) (Bone-inducing protein) (BIP) [Source:UniProtKB/Swiss-Prot;Acc:P55107]	GDF10
ENSG00000139597	1.310663227	NEDD4-binding protein 2-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5TBK1]	N4BP2L1
ENSG00000164325	1.310617773	Transmembrane protein 174  [Source:UniProtKB/Swiss-Prot;Acc:Q8WUU8]	TMEM174
ENSG00000132680	1.310510623	UPF0469 protein KIAA0907 [Source:UniProtKB/Swiss-Prot;Acc:Q7Z7F0]	KIAA0907
ENSG00000113916	1.310365911	B-cell lymphoma 6 protein (BCL-6) (Zinc finger protein 51) (LAZ-3 protein) (BCL-5) (Zinc finger and BTB domain-containing protein 27) [Source:UniProtKB/Swiss-Prot;Acc:P41182]	BCL6
ENSG00000173702	1.310220931	Mucin-13 Precursor  (MUC-13) (Down-regulated in colon cancer 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9H3R2]	MUC13
ENSG00000157734	1.309649282	Sorting nexin-22 [Source:UniProtKB/Swiss-Prot;Acc:Q96L94]	SNX22
ENSG00000119771	1.309631929	Kelch-like protein 29 (Kelch repeat and BTB domain-containing protein 9) [Source:UniProtKB/Swiss-Prot;Acc:Q96CT2]	KLHL29
ENSG00000054611	1.309331176	TBC1 domain family member 22A [Source:UniProtKB/Swiss-Prot;Acc:Q8WUA7]	TBC1D22A
ENSG00000111671	1.309311522	SPRY domain-containing SOCS box protein 2 (SSB-2) (Gene-rich cluster protein C9) [Source:UniProtKB/Swiss-Prot;Acc:Q99619]	SPSB2
ENSG00000199151	1.309215877	hsa-mir-337 [Source:miRBase;Acc:MI0000806]	hsa-mir-337
ENSG00000179111	1.309203511	Transcription factor HES-7 (Hairy and enhancer of split 7) (bHLH factor Hes7) [Source:UniProtKB/Swiss-Prot;Acc:Q9BYE0]	HES7
ENSG00000151498	1.308569089	Isobutyryl-CoA dehydrogenase, mitochondrial Precursor  (EC 1.3.99.-) (Acyl-CoA dehydrogenase family member 8) (ACAD-8) (Activator-recruited cofactor 42 kDa component) (ARC42) [Source:UniProtKB/Swiss-Prot;Acc:Q9UKU7]	ACAD8
ENSG00000173464	1.308523851	Probable ribonuclease 11 Precursor  (EC 3.1.27.-) (RNase 11) [Source:UniProtKB/Swiss-Prot;Acc:Q8TAA1]	RNASE11
ENSG00000138035	1.308391213	Polyribonucleotide nucleotidyltransferase 1, mitochondrial (EC 2.7.7.8) (PNPase 1) (Polynucleotide phosphorylase-like protein) (PNPase old-35) (3-5 RNA exonuclease OLD35) [Source:UniProtKB/Swiss-Prot;Acc:Q8TCS8]	PNPT1
ENSG00000125449	1.308236498	Armadillo repeat-containing protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9H6L4]	ARMC7
ENSG00000173436	1.308083083	UPF0327 protein C1orf151 [Source:UniProtKB/Swiss-Prot;Acc:Q5TGZ0]	C1orf151
ENSG00000011143	1.308033597	Meckel syndrome type 1 protein [Source:UniProtKB/Swiss-Prot;Acc:Q9NXB0]	MKS1
ENSG00000108465	1.307908721	CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (Protein HSF-27) [Source:UniProtKB/Swiss-Prot;Acc:Q96JB5]	CDK5RAP3
ENSG00000196610	1.307673914	HLA class II histocompatibility antigen, DX beta chain Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P05538]	ENSG00000196610
ENSG00000146540	1.307011859	Uncharacterized protein C7orf50 [Source:UniProtKB/Swiss-Prot;Acc:Q9BRJ6]	C7orf50
ENSG00000165752	1.306986222	Serine/threonine-protein kinase 32C (EC 2.7.11.1) (PKE) (YANK3) [Source:UniProtKB/Swiss-Prot;Acc:Q86UX6]	STK32C
ENSG00000142319	1.306361744	Sodium-dependent dopamine transporter (DA transporter) (DAT) [Source:UniProtKB/Swiss-Prot;Acc:Q01959]	SLC6A3
ENSG00000197122	1.305915743	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (pp60c-src) (p60-Src) (c-Src) [Source:UniProtKB/Swiss-Prot;Acc:P12931]	SRC
ENSG00000206177	1.305642421	Hemoglobin subunit mu (Hemoglobin mu chain) (Mu-globin) [Source:UniProtKB/Swiss-Prot;Acc:Q6B0K9]	HBM
ENSG00000140107	1.30547031	Hepatocellular carcinoma down-regulated mitochondrial carrier protein [Source:UniProtKB/Swiss-Prot;Acc:Q6Q0C1]	C14orf68
ENSG00000188779	1.305429777	Ladybird homeobox corepressor 1 (LBX1 corepressor 1) (Functional Smad-suppressing element on chromosome 15) (Fussel-15) [Source:UniProtKB/Swiss-Prot;Acc:P84550]	LBXCOR1
ENSG00000064666	1.305077221	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin) [Source:UniProtKB/Swiss-Prot;Acc:Q99439]	CNN2
ENSG00000117013	1.304887188	Potassium voltage-gated channel subfamily KQT member 4 (Voltage-gated potassium channel subunit Kv7.4) (Potassium channel subunit alpha KvLQT4) (KQT-like 4) [Source:UniProtKB/Swiss-Prot;Acc:P56696]	KCNQ4
ENSG00000185477	1.304645926	G protein-regulated inducer of neurite outgrowth 3 (GRIN3) [Source:UniProtKB/Swiss-Prot;Acc:Q6ZVF9]	GPRIN3
ENSG00000121316	1.304451991	Putative phospholipase B-like 1 Precursor  (EC 3.1.1.-) (Lamina ancestor homolog 1) (LAMA-like protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q6P4A8]	FLJ22662
ENSG00000149557	1.304398756	Fasciculation and elongation protein zeta-1 (Zygin-1) (Zygin I) [Source:UniProtKB/Swiss-Prot;Acc:Q99689]	FEZ1
ENSG00000066735	1.303558119	Kinesin-like protein KIF26A [Source:UniProtKB/Swiss-Prot;Acc:Q9ULI4]	KIF26A
ENSG00000112742	1.303364591	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT) [Source:UniProtKB/Swiss-Prot;Acc:P33981]	TTK
ENSG00000158764	1.303326724	Intelectin-2 Precursor  (Endothelial lectin HL-2) [Source:UniProtKB/Swiss-Prot;Acc:Q8WWU7]	ITLN2
ENSG00000004700	1.302820268	ATP-dependent DNA helicase Q1 (EC 3.6.1.-)(DNA-dependent ATPase Q1) [Source:UniProtKB/Swiss-Prot;Acc:P46063]	RECQL
ENSG00000134595	1.302460163	Transcription factor SOX-3 [Source:UniProtKB/Swiss-Prot;Acc:P41225]	SOX3
ENSG00000184637	1.302414101		ENSG00000184637
ENSG00000165416	1.302266936	Suppressor of G2 allele of SKP1 homolog (Sgt1) (Putative 40-6-3 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2Z0]	SUGT1
ENSG00000106244	1.301691728	28 kDa heat- and acid-stable phosphoprotein (PDGF-associated protein) (PAP) (PDGFA-associated protein 1) (PAP1) [Source:UniProtKB/Swiss-Prot;Acc:Q13442]	PDAP1
ENSG00000090372	1.301274755	Striatin-4 (Zinedin) [Source:UniProtKB/Swiss-Prot;Acc:Q9NRL3]	STRN4
ENSG00000174775	1.300078294	GTPase HRas Precursor (Transforming protein p21)(p21ras)(H-Ras-1)(c-H-ras)(Ha-Ras) [Source:UniProtKB/Swiss-Prot;Acc:P01112]	HRAS
ENSG00000161634	1.299636303	Dermcidin Precursor  (Preproteolysin)[Survival-promoting peptide][DCD-1] [Source:UniProtKB/Swiss-Prot;Acc:P81605]	DCD
ENSG00000210931	1.299627733		ENSG00000210931
ENSG00000175704	1.299420066	CDNA FLJ37310 fis, clone BRAMY2016706. [Source:Uniprot/SPTREMBL;Acc:Q8N1X5]	FLJ37310
ENSG00000002330	1.298683648	Bcl2 antagonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-XL/Bcl-2-associated death promoter) (Bcl-2-like 8 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q92934]	BAD
ENSG00000172426	1.298237899	Uncharacterized protein C6orf206 [Source:UniProtKB/Swiss-Prot;Acc:Q9H1X1]	C6orf206
ENSG00000181885	1.29808792	Claudin-7 (CLDN-7) [Source:UniProtKB/Swiss-Prot;Acc:O95471]	CLDN7
ENSG00000163344	1.297954975	Phosphomevalonate kinase (EC 2.7.4.2) (PMKase) [Source:UniProtKB/Swiss-Prot;Acc:Q15126]	PMVK
ENSG00000127445	1.297494278	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Rotamase Pin1) (PPIase Pin1) [Source:UniProtKB/Swiss-Prot;Acc:Q13526]	PIN1
ENSG00000198614	1.297025013	Putative uncharacterized protein C4orf12  [Source:UniProtKB/Swiss-Prot;Acc:Q6X854]	C4orf12
ENSG00000046774	1.296878221	Melanoma-associated antigen C2 (MAGE-C2 antigen) (MAGE-E1 antigen) (Hepatocellular carcinoma-associated antigen 587) (Cancer/testis antigen 10) (CT10) [Source:UniProtKB/Swiss-Prot;Acc:Q9UBF1]	MAGEC2
ENSG00000157538	1.296753559	Down syndrome critical region protein 3 (Down syndrome critical region protein A) [Source:UniProtKB/Swiss-Prot;Acc:O14972]	DSCR3
ENSG00000197837	1.296546767	Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P62805]	HIST4H4
ENSG00000058335	1.296464961	Ras-specific guanine nucleotide-releasing factor 1 (Ras-GRF1) (Guanine nucleotide-releasing factor 1) (Guanine nucleotide-releasing protein) (Ras-specific nucleotide exchange factor CDC25) [Source:UniProtKB/Swiss-Prot;Acc:Q13972]	RASGRF1
ENSG00000069696	1.296349797	dopamine receptor D4  [Source:RefSeq_peptide;Acc:NP_000788]	DRD4
ENSG00000151806	1.295656554	GTP-binding protein GUF1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q8N442]	GUF1
ENSG00000179407	1.295537146	DnaJ homolog subfamily B member 8 [Source:UniProtKB/Swiss-Prot;Acc:Q8NHS0]	DNAJB8
ENSG00000113387	1.295499335	Activated RNA polymerase II transcriptional coactivator p15 (SUB1 homolog) (Positive cofactor 4) (PC4) (p14) [Source:UniProtKB/Swiss-Prot;Acc:P53999]	SUB1
ENSG00000160299	1.295337406	Pericentrin (Pericentrin B) (Kendrin) [Source:UniProtKB/Swiss-Prot;Acc:O95613]	PCNT
ENSG00000170291	1.295060349	Dermal papilla-derived protein 6 (S-phase 2 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q8TE02]	C17orf81
ENSG00000105550	1.294724834	Fibroblast growth factor 21 Precursor  (FGF-21) [Source:UniProtKB/Swiss-Prot;Acc:Q9NSA1]	FGF21
ENSG00000101126	1.294513109	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9H2P0]	ADNP
ENSG00000185102	1.294377064	GJD4 protein Fragment  [Source:UniProtKB/TrEMBL;Acc:Q8IV12]	ENSG00000185102
ENSG00000070501	1.293939833	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-) [Source:UniProtKB/Swiss-Prot;Acc:P06746]	POLB
ENSG00000205436	1.293340936	SEC6-like protein C14orf73 [Source:UniProtKB/Swiss-Prot;Acc:Q17RC7]	C14orf73
ENSG00000169220	1.292951544	Regulator of G-protein signaling 14 (RGS14) [Source:UniProtKB/Swiss-Prot;Acc:O43566]	RGS14
ENSG00000189431	1.292870015		ENSG00000189431
ENSG00000124225	1.292447642	Transmembrane prostate androgen-induced protein (Solid tumor-associated 1 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q969W9]	TMEPAI
ENSG00000105679	1.292398031	Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase) (Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2) [Source:UniProtKB/Swiss-Prot;Acc:O14556]	GAPDHS
ENSG00000177107	1.292254836		ENSG00000177107
ENSG00000007129	1.2922424	Carcinoembryonic antigen-related cell adhesion molecule 21 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q3KPI0]	CEACAM21
ENSG00000167889	1.29217834	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.155) (EC 2.4.1.-) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase B) (Mannoside acetylglucosaminyltransferase 5B) [Source:UniProtKB/Swiss-Prot;Acc:Q3V5L5]	MGAT5B
ENSG00000182600	1.292057717	Uncharacterized protein UNQ830/PRO1757 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q6UX34]	C2orf82
ENSG00000113300	1.291981855	CCR4-NOT transcription complex subunit 6 (EC 3.1.-.-)(Carbon catabolite repressor protein 4 homolog)(CCR4 carbon catabolite repression 4-like)(Cytoplasmic deadenylase) [Source:UniProtKB/Swiss-Prot;Acc:Q9ULM6]	CNOT6
ENSG00000147789	1.291974579	Zinc finger protein 7 (Zinc finger protein KOX4) (Zinc finger protein HF.16) [Source:UniProtKB/Swiss-Prot;Acc:P17097]	ZNF7
ENSG00000173110	1.291643601	Heat shock 70 kDa protein 6 (Heat shock 70 kDa protein B) [Source:UniProtKB/Swiss-Prot;Acc:P17066]	HSPA6
ENSG00000172339	1.291465959	UDP-N-acetylglucosamine transferase subunit ALG14 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q96F25]	ALG14
ENSG00000176710	1.291427352	CDNA FLJ40719 fis, clone THYMU2028379. [Source:Uniprot/SPTREMBL;Acc:Q8N1I2]	C19orf31
ENSG00000125430	1.291419863	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1 (EC 2.8.2.30) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 3B1) (Heparan sulfate 3-O-sulfotransferase 3B1) (h3-OST-3B) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y662]	HS3ST3B1
ENSG00000142546	1.291222869	Nitric oxide synthase-interacting protein (eNOS-interacting protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y314]	NOSIP
ENSG00000163009	1.29115453	Uncharacterized protein C2orf48 [Source:UniProtKB/Swiss-Prot;Acc:Q96LS8]	C2orf48
ENSG00000052344	1.29058204	Prostasin Precursor  (EC 3.4.21.-) (Serine protease 8)[Prostasin light chain][Prostasin heavy chain] [Source:UniProtKB/Swiss-Prot;Acc:Q16651]	PRSS8
ENSG00000184967	1.290374724	Nucleolar complex protein 4 homolog (NOC4 protein homolog)(NOC4-like protein)(Nucleolar complex-associated protein 4-like protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9BVI4]	NOC4L
ENSG00000128989	1.289426245	cAMP-regulated phosphoprotein 19 (ARPP-19) [Source:UniProtKB/Swiss-Prot;Acc:P56211]	ARPP19
ENSG00000211950	1.288978746	Immunoglobulin heavy chain V gene segment [Source:IMGT/GENE_DB;Acc:IGHV1-24]	IGHV1-24
ENSG00000188091	1.288918437	Putative uncharacterized protein C9orf164 [Source:UniProtKB/Swiss-Prot;Acc:Q8N8B0]	C9orf164
ENSG00000159884	1.2887333	Coiled-coil domain-containing protein 107 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q8WV48]	CCDC107
ENSG00000118639	1.288695589	RING finger protein 103 (Zinc finger protein 103 homolog) (Zfp-103) (KF-1) (hKF-1) [Source:UniProtKB/Swiss-Prot;Acc:O00237]	RNF103
ENSG00000167468	1.288677468	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial Precursor (PHGPx)(EC 1.11.1.12)(GPX-4) [Source:UniProtKB/Swiss-Prot;Acc:P36969]	GPX4
ENSG00000166016	1.287895849	Ankyrin repeat and BTB/POZ domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8N961]	ABTB2
ENSG00000113369	1.287019262	Arrestin domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q96B67]	ARRDC3
ENSG00000015532	1.286253101	Xylosyltransferase 2 (EC 2.4.2.26) (Xylosyltransferase II) (XylT-II) (XT-II) (Peptide O-xylosyltransferase 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9H1B5]	XYLT2
ENSG00000186967	1.285770707	Keratin-associated protein 19-3 (Glycine/tyrosine-rich protein)(GTHRP) [Source:UniProtKB/Swiss-Prot;Acc:Q7Z4W3]	KRTAP19-3
ENSG00000147443	1.285654517	Docking protein 2 (Downstream of tyrosine kinase 2) (p56(dok-2)) [Source:UniProtKB/Swiss-Prot;Acc:O60496]	DOK2
ENSG00000197497	1.285602714	Zinc finger protein 665 (Zinc finger protein 160-like) [Source:UniProtKB/Swiss-Prot;Acc:Q9H7R5]	ZNF665
ENSG00000156735	1.28552099	BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains) [Source:UniProtKB/Swiss-Prot;Acc:O95429]	BAG4
ENSG00000099998	1.285141039	Gamma-glutamyltransferase 5 Precursor (EC 2.3.2.2)(Gamma-glutamyltranspeptidase 5)(GGT 5)(Gamma-glutamyltransferase-like activity 1)(Gamma-glutamyl transpeptidase-related enzyme)(GGT-rel) [Contains Gamma-glutamyltransferase 5 heavy chain;Gamma-glutamyltransferase 5 light chain] [Source:UniProtKB/Swiss-Prot;Acc:P36269]	GGTLA1
ENSG00000188305	1.285093755	Putative uncharacterized protein C19orf35 [Source:UniProtKB/Swiss-Prot;Acc:Q6ZS72]	C19orf35
ENSG00000151651	1.285088389	ADAM 8 Precursor  (EC 3.4.24.-) (A disintegrin and metalloproteinase domain 8) (Cell surface antigen MS2) (CD156a antigen) [Source:UniProtKB/Swiss-Prot;Acc:P78325]	ADAM8
ENSG00000182797	1.284891433	CDNA FLJ39530 fis, clone PUAEN2004400. [Source:Uniprot/SPTREMBL;Acc:Q8N8G7]	FLJ39530
ENSG00000175147	1.284595328	Uncharacterized protein C1orf126 [Source:UniProtKB/Swiss-Prot;Acc:Q8TEB6]	C1orf126
ENSG00000198888	1.283332309	NADH-ubiquinone oxidoreductase chain 1 (EC 1.6.5.3) (NADH dehydrogenase subunit 1) [Source:UniProtKB/Swiss-Prot;Acc:P03886]	MT-ND1
ENSG00000141556	1.283262768	Tubulin-specific chaperone D (Tubulin-folding cofactor D) (Beta-tubulin cofactor D) (tfcD) (SSD-1) [Source:UniProtKB/Swiss-Prot;Acc:Q9BTW9]	TBCD
ENSG00000102897	1.28325779	LYR motif-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:O43325]	LYRM1
ENSG00000173080	1.283154602	Relaxin-3 receptor 2 (Relaxin family peptide receptor 4)(G-protein coupled receptor 100)(GPCR142) [Source:UniProtKB/Swiss-Prot;Acc:Q8TDU9]	RXFP4
ENSG00000150165	1.282421516	Annexin A8-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q5T2P8]	ANXA8L1
ENSG00000115758	1.282160731	Ornithine decarboxylase (EC 4.1.1.17) (ODC) [Source:UniProtKB/Swiss-Prot;Acc:P11926]	ODC1
ENSG00000096060	1.281581797	FK506-binding protein 5 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase) (51 kDa FK506-binding protein) (FKBP-51) [Source:UniProtKB/Swiss-Prot;Acc:Q13451]	FKBP5
ENSG00000046653	1.281534918	Neuronal membrane glycoprotein M6-b (M6b) [Source:UniProtKB/Swiss-Prot;Acc:Q13491]	GPM6B
ENSG00000100280	1.281250206	AP-1 complex subunit beta-1 (Adapter-related protein complex 1 subunit beta-1) (Adaptor protein complex AP-1 subunit beta-1) (Beta-adaptin 1) (Beta1-adaptin) [Source:UniProtKB/Swiss-Prot;Acc:Q10567]	AP1B1
ENSG00000122490	1.281186306	PQ-loop repeat-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8N2U9]	PQLC1
ENSG00000147168	1.281048283	Cytokine receptor common gamma chain Precursor  (Gamma-C) (Interleukin-2 receptor gamma chain) (IL-2R gamma chain) (p64) (CD132 antigen) [Source:UniProtKB/Swiss-Prot;Acc:P31785]	IL2RG
ENSG00000179528	1.280892948	Transcription factor LBX2 (Ladybird homeobox protein homolog 2) [Source:UniProtKB/Swiss-Prot;Acc:Q6XYB7]	LBX2
ENSG00000138587	1.280835748	Meiosis-specific nuclear structural protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8NEH6]	MNS1
ENSG00000179751	1.28065129	Syncollin Precursor  (Insulin synthesis-associated protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q0VAF6]	SYCN
ENSG00000105202	1.280292036	rRNA 2-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) [Source:UniProtKB/Swiss-Prot;Acc:P22087]	FBL
ENSG00000035928	1.27999299	Replication factor C subunit 1 (Activator 1 subunit 1) (Replication factor C large subunit) (RF-C 140 kDa subunit) (Activator 1 140 kDa subunit) (A1 140 kDa subunit) [Source:UniProtKB/Swiss-Prot;Acc:P35251]	RFC1
ENSG00000121753	1.27983921	Brain-specific angiogenesis inhibitor 2 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:O60241]	BAI2
ENSG00000110697	1.279747996	Membrane-associated phosphatidylinositol transfer protein 1 (Phosphatidylinositol transfer protein, membrane-associated 1) (Pyk2 N-terminal domain-interacting receptor 2) (NIR-2) [Source:UniProtKB/Swiss-Prot;Acc:O00562]	PITPNM1
ENSG00000005100	1.279601498	Putative ATP-dependent RNA helicase DHX33 (EC 3.6.1.-) (DEAH box protein 33) [Source:UniProtKB/Swiss-Prot;Acc:Q9H6R0]	DHX33
ENSG00000143033	1.279579256	Metal-response element-binding transcription factor 2 (Metal-response element DNA-binding protein M96) (Metal regulatory transcription factor 2) (Polycomb-like protein 2) (hPCl2) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y483]	MTF2
