Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	DNA-binding	Interpro Domaon	69 Zinc Finger	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P363548	chr7:75164252-75164311	HIP1	NM_005338	Huntingtin interacting protein 1	molecular function|actin binding|IEA|GO:0003779|GOA|na//molecular function|clathrin binding|IDA|GO:0030276|GOA|11577110//molecular function|phosphoinositide binding|IDA|GO:0035091|GOA|14732715//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb8c8c4)//molecular function|structural constituent of cytoskeleton|TAS|GO:0005200|GOA|9140394//biological process|activation of caspase activity|IDA|GO:0006919|GOA|11788820//biological process|apoptosis|IDA|GO:0006915|GOA|11788820//biological process|cell death|IEA|GO:0008219|GOA|na//biological process|cell differentiation|IEA|GO:0030154|GOA|na//biological process|clathrin coat assembly|IDA|GO:0048268|GOA|ARRAY(0xd49834)//biological process|endocytosis|IEA|GO:0006897|GOA|na//biological process|induction of apoptosis|IDA|GO:0006917|GOA|11007801//biological process|positive regulation of receptor-mediated endocytosis|IMP|GO:0048260|GOA|ARRAY(0xf803d0)//biological process|regulation of apoptosis|IDA|GO:0042981|GOA|11788820//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|11788820//cellular component|clathrin coated vesicle membrane|IEA|GO:0030665|GOA|na//cellular component|clathrin-coated vesicle|IEP|GO:0030136|GOA|11517213//cellular component|cytoplasm|IDA|GO:0005737|GOA|11604514//cellular component|cytoplasmic vesicle|IEA|GO:0031410|GOA|na//cellular component|cytoskeleton|TAS|GO:0005856|GOA|9147654//cellular component|endomembrane system|IEA|GO:0012505|GOA|na//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|membrane fraction|TAS|GO:0005624|GOA|9147654//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR002558:I/LWEQ,IPR008942:ENTH/VHS,IPR011417:ANTH,IPR013809:Epsin-like, N-terminal,	0	F	15	0.7678	-1.3024	6.4215E-06	464.3249	352.6826
A_24_P248251	chr3:148793667-148793710	HLTF	NM_139048	Helicase-like transcription factor	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|RNA polymerase II transcription factor activity|IEA|GO:0003702|GOA|na//molecular function|helicase activity|IEA|GO:0004386|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|IEA|GO:0016818|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transcription activator activity|IEA|GO:0016563|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|IEA|GO:0006357|GOA|na//biological process|regulation of transcription, DNA-dependent|TAS|GO:0006355|GOA|7876228//biological process|transcription|IEA|GO:0006350|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	Yes	IPR000330:SNF2-related,IPR001650:DNA/RNA helicase, C-terminal,IPR001841:Zinc finger, RING-type,IPR014001:DEAD-like helicase, N-terminal,IPR014021:Helicase, superfamily 1 and 2, ATP-binding,IPR014905:HIP116, Rad5p N-terminal,IPR017907:Zinc finger, RING-type, conserved site,IPR018957:Zinc finger, C3HC4 RING-type,	1	F	15	0.6764	-1.4784	2.3492E-14	815.1583	545.7006
A_23_P28761	chr20:43042332-43042379	HNF4A	NM_178850	Hepatocyte nuclear factor 4, alpha	molecular function|DNA binding|IDA|GO:0003677|GOA|ARRAY(0x15065d0)//molecular function|fatty acid binding|IDA|GO:0005504|GOA|12220494//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|promoter binding|IDA|GO:0010843|GOA|16488887//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x1d85bdc)//molecular function|protein homodimerization activity|IDA|GO:0042803|GOA|12220494//molecular function|receptor binding|IDA|GO:0005102|GOA|12220494//molecular function|steroid binding|IEA|GO:0005496|GOA|na//molecular function|steroid hormone receptor activity|IEA|GO:0003707|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|ARRAY(0xb3c178)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|blood coagulation|IDA|GO:0007596|GOA|12911579//biological process|lipid homeostasis|IMP|GO:0055088|GOA|17827783//biological process|negative regulation of cell growth|IMP|GO:0030308|GOA|18163890//biological process|negative regulation of cell proliferation|IMP|GO:0008285|GOA|18163890//biological process|ornithine metabolic process|IMP|GO:0006591|GOA|17827783//biological process|positive regulation of gene-specific transcription|IDA|GO:0043193|GOA|16488887//biological process|positive regulation of gene-specific transcription from RNA polymerase II promoter|IMP|GO:0010552|GOA|17827783//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|7615825//biological process|regulation of gene-specific transcription from RNA polymerase II promoter|IDA|GO:0010551|GOA|ARRAY(0xea34bc)//biological process|regulation of gene-specific transcription from RNA polymerase II promoter|IMP|GO:0010551|GOA|18163890//biological process|regulation of lipid metabolic process|IDA|GO:0019216|GOA|10551874//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|xenobiotic metabolic process|IMP|GO:0006805|GOA|17827783//cellular component|cytoplasm|IDA|GO:0005737|GOA|14563941//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xcf0aa4)	Yes	IPR000003:Retinoid X receptor,IPR000324:Vitamin D receptor,IPR000536:Nuclear hormone receptor, ligand-binding, core,IPR001628:Zinc finger, nuclear hormone receptor-type,IPR001723:Steroid hormone receptor,IPR008946:Nuclear hormone receptor, ligand-binding,IPR013088:Zinc finger, NHR/GATA-type,	1	F	15	0.8374	-1.1942	0.000019227	40.1561	33.7126
A_23_P316511	chr17:46627302-46627361	HOXB3	NM_002146	Homeobox B3	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|cartilage development|IEA|GO:0051216|GOA|na//biological process|definitive hemopoiesis|IEA|GO:0060216|GOA|na//biological process|embryonic skeletal system morphogenesis|IEA|GO:0048704|GOA|na//biological process|glossopharyngeal nerve morphogenesis|IEA|GO:0021615|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|thyroid gland development|IEA|GO:0030878|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR001356:Homeobox,IPR001827:Homeobox protein, antennapedia type, conserved site,IPR012287:Homeodomain-related,IPR017970:Homeobox, conserved site,	0	F	14	0.8583	-1.1652	0.000088393	38.1753	32.6992
A_23_P143029	chr2:176973811-176973870	HOXD11	NM_021192	Homeobox D11	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|NAS|GO:0003700|GOA|na//biological process|anterior/posterior pattern formation|IEA|GO:0009952|GOA|na//biological process|branching involved in ureteric bud morphogenesis|IEA|GO:0001658|GOA|na//biological process|cartilage development involved in endochondral bone morphogenesis|IEA|GO:0060351|GOA|na//biological process|developmental growth|IEA|GO:0048589|GOA|na//biological process|dorsal/ventral pattern formation|IEA|GO:0009953|GOA|na//biological process|embryonic digit morphogenesis|IEA|GO:0042733|GOA|na//biological process|induction of an organ|IEA|GO:0001759|GOA|na//biological process|metanephros development|IEA|GO:0001656|GOA|na//biological process|pattern specification process|IEA|GO:0007389|GOA|na//biological process|positive regulation of cell development|IEA|GO:0010720|GOA|na//biological process|positive regulation of chondrocyte differentiation|IEA|GO:0032332|GOA|na//biological process|proximal/distal pattern formation|IEA|GO:0009954|GOA|na//biological process|regulation of transcription, DNA-dependent|NAS|GO:0006355|GOA|na//biological process|skeletal system development|IEA|GO:0001501|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	Yes	IPR001356:Homeobox,IPR012287:Homeodomain-related,IPR017970:Homeobox, conserved site,	0	F	14	0.7678	-1.3024	0.000038478	15.1968	11.7053
A_24_P398572	chr12:102789726-102789785	IGF1	NM_001111284	Insulin-like growth factor 1 (somatomedin C)	molecular function|growth factor activity|IEA|GO:0008083|GOA|na//molecular function|hormone activity|IDA|GO:0005179|GOA|7188854//molecular function|hormone activity|IEA|GO:0005179|GOA|na//molecular function|insulin receptor binding|IPI|GO:0005158|GOA|8452530//molecular function|insulin-like growth factor receptor binding|IPI|GO:0005159|GOA|8452530//molecular function|insulin-like growth factor receptor binding|TAS|GO:0005159|GOA|10749889//molecular function|protein binding|IPI|GO:0005515|GOA|10766744//biological process|DNA replication|TAS|GO:0006260|GOA|10766744//biological process|Ras protein signal transduction|TAS|GO:0007265|GOA|10848592//biological process|anti-apoptosis|IDA|GO:0006916|GOA|16942485//biological process|branching morphogenesis of a tube|IEA|GO:0048754|GOA|na//biological process|cellular component movement|TAS|GO:0006928|GOA|10766744//biological process|chondroitin sulfate proteoglycan biosynthetic process|IEA|GO:0050650|GOA|na//biological process|glial cell differentiation|IEA|GO:0010001|GOA|na//biological process|glycolate metabolic process|TAS|GO:0009441|GOA|10448861//biological process|mammary gland development|IEA|GO:0030879|GOA|na//biological process|muscle hypertrophy|IMP|GO:0014896|GOA|10191278//biological process|muscle organ development|TAS|GO:0007517|GOA|10448861//biological process|myoblast differentiation|IDA|GO:0045445|GOA|17531227//biological process|myoblast proliferation|IDA|GO:0051450|GOA|17531227//biological process|myotube cell development|IDA|GO:0014904|GOA|17531227//biological process|negative regulation of smooth muscle cell apoptosis|IDA|GO:0034392|GOA|16942485//biological process|nervous system development|IEA|GO:0007399|GOA|na//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|phosphoinositide-mediated signaling|IDA|GO:0048015|GOA|7692086//biological process|positive regulation of DNA replication|IDA|GO:0045740|GOA|ARRAY(0xcf09e4)//biological process|positive regulation of DNA replication|ISS|GO:0045740|GOA|na//biological process|positive regulation of Ras protein signal transduction|IDA|GO:0046579|GOA|9722506//biological process|positive regulation of cell proliferation|IDA|GO:0008284|GOA|ARRAY(0xbb3e54)//biological process|positive regulation of epithelial cell proliferation|IDA|GO:0050679|GOA|7188854//biological process|positive regulation of fibroblast proliferation|IDA|GO:0048146|GOA|7188854//biological process|positive regulation of gene-specific transcription|IDA|GO:0043193|GOA|9722506//biological process|positive regulation of glycolysis|IDA|GO:0045821|GOA|7688386//biological process|positive regulation of granule cell precursor proliferation|IEA|GO:0021940|GOA|na//biological process|positive regulation of insulin-like growth factor receptor signaling pathway|IDA|GO:0043568|GOA|ARRAY(0xc285a0)//biological process|positive regulation of mitosis|IDA|GO:0045840|GOA|7188854//biological process|positive regulation of peptidyl-tyrosine phosphorylation|IDA|GO:0050731|GOA|7782332//biological process|positive regulation of phosphoinositide 3-kinase cascade|IDA|GO:0014068|GOA|7688386//biological process|positive regulation of smooth muscle cell migration|IDA|GO:0014911|GOA|10766744//biological process|positive regulation of smooth muscle cell proliferation|IDA|GO:0048661|GOA|ARRAY(0x1a81624)//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|positive regulation of tyrosine phosphorylation of Stat5 protein|IDA|GO:0042523|GOA|9722506//biological process|proteoglycan biosynthetic process|IDA|GO:0030166|GOA|12746903//biological process|regulation of multicellular organism growth|IEP|GO:0040014|GOA|8421089//biological process|regulation of protein metabolic process|IEA|GO:0051246|GOA|na//biological process|regulation of steroid hormone receptor signaling pathway|IDA|GO:0033143|GOA|10459853//biological process|satellite cell maintenance involved in skeletal muscle regeneration|IDA|GO:0014834|GOA|17531227//biological process|signal transduction|TAS|GO:0007165|GOA|10448861//biological process|skeletal system development|TAS|GO:0001501|GOA|10448861//biological process|water homeostasis|IEA|GO:0030104|GOA|na//cellular component|extracellular region|EXP|GO:0005576|GOA|2752154//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|IDA|GO:0005615|GOA|ARRAY(0xe75eb4)//cellular component|insulin-like growth factor binding protein complex|IC|GO:0016942|GOA|10766744//cellular component|platelet alpha granule lumen|EXP|GO:0031093|GOA|2752154	No	IPR004825:Insulin/IGF/relaxin,	0	M	16	1.3878	1.3878	4.2705E-24	5998.355	8495.7373
A_32_P127978	chr2:213868231-213868290	IKZF2	NM_016260	IKAROS family zinc finger 2 (Helios)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|protein heterodimerization activity|IEA|GO:0046982|GOA|na//molecular function|protein homodimerization activity|IEA|GO:0042803|GOA|na//molecular function|transcription activator activity|IEA|GO:0016563|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|positive regulation of gene-specific transcription from RNA polymerase II promoter|IEA|GO:0010552|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	Yes	IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	16	0.6039	-1.6559	1.6572E-13	116.367	69.3305
A_23_P152235	chr16:54317230-54317289	IRX3	NM_024336	Iroquois homeobox 3	molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|negative regulation of neuron differentiation|IEA|GO:0045665|GOA|na//biological process|positive regulation of neuron differentiation|IEA|GO:0045666|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR001356:Homeobox,IPR003893:Iroquois-class homeodomain protein,IPR012287:Homeodomain-related,IPR017970:Homeobox, conserved site,	0	M	14	1.2199	1.2199	0.000043181	180.709	220.9422
A_23_P300301	chr10:64974785-64974844	JMJD1C	NM_032776	Jumonji domain containing 1C	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17353003//molecular function|thyroid hormone receptor binding|TAS|GO:0046966|GOA|7776974//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription, DNA-dependent|TAS|GO:0006355|GOA|7776974//cellular component|intracellular|NAS|GO:0005622|GOA|7776974//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR013129:Transcription factor jumonji,	0	F	14	0.6966	-1.4356	6.9617E-13	2584.9209	1793.1295
A_23_P201538	chr1:59247729-59247788	JUN	NM_002228	Jun oncogene	molecular function|DNA binding|TAS|GO:0003677|GOA|2825349//molecular function|R-SMAD binding|IPI|GO:0070412|GOA|9732876//molecular function|RNA polymerase II transcription factor activity|IEA|GO:0003702|GOA|na//molecular function|Rho GTPase activator activity|IDA|GO:0005100|GOA|11804590//molecular function|double-stranded DNA binding|IEA|GO:0003690|GOA|na//molecular function|promoter binding|IDA|GO:0010843|GOA|9732876//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x14f41a8)//molecular function|protein dimerization activity|IEA|GO:0046983|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|9732876//molecular function|transcription factor binding|IPI|GO:0008134|GOA|16007074//biological process|SMAD protein nuclear translocation|IDA|GO:0007184|GOA|9732876//biological process|SMAD protein signal transduction|IDA|GO:0060395|GOA|9732876//biological process|aging|IEA|GO:0007568|GOA|na//biological process|angiogenesis|IEA|GO:0001525|GOA|na//biological process|cellular process|IEA|GO:0009987|GOA|na//biological process|cellular response to potassium ion starvation|IEA|GO:0051365|GOA|na//biological process|circadian rhythm|IEA|GO:0007623|GOA|na//biological process|leading edge cell differentiation|IEA|GO:0035026|GOA|na//biological process|learning|IEA|GO:0007612|GOA|na//biological process|membrane depolarization|IEA|GO:0051899|GOA|na//biological process|negative regulation of cell proliferation|IEA|GO:0008285|GOA|na//biological process|negative regulation of protein amino acid autophosphorylation|IEA|GO:0031953|GOA|na//biological process|positive regulation of DNA replication|IEA|GO:0045740|GOA|na//biological process|positive regulation of monocyte differentiation|IEA|GO:0045657|GOA|na//biological process|positive regulation of neuron apoptosis|IEA|GO:0043525|GOA|na//biological process|positive regulation of smooth muscle cell proliferation|IEA|GO:0048661|GOA|na//biological process|positive regulation of transcription|IDA|GO:0045941|GOA|9732876//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of cell cycle|IEA|GO:0051726|GOA|na//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|release of cytochrome c from mitochondria|IEA|GO:0001836|GOA|na//biological process|response to cAMP|IEA|GO:0051591|GOA|na//biological process|response to cytokine stimulus|IEA|GO:0034097|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to lipopolysaccharide|IEA|GO:0032496|GOA|na//biological process|response to mechanical stimulus|IEA|GO:0009612|GOA|na//biological process|response to organic cyclic substance|IEA|GO:0014070|GOA|na//biological process|transforming growth factor beta receptor signaling pathway|IDA|GO:0007179|GOA|9732876//cellular component|cytosol|EXP|GO:0005829|GOA|9030721//cellular component|nuclear chromatin|IEA|GO:0000790|GOA|na//cellular component|nuclear chromosome|TAS|GO:0000228|GOA|10918580//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	Yes	IPR002112:Transcription factor Jun,IPR004827:Basic-leucine zipper (bZIP) transcription factor,IPR005643:Jun-like transcription factor,IPR011616:bZIP transcription factor, bZIP-1,IPR015558:c-Jun Transcription Factor,	0	F	14	0.7162	-1.3963	1.2861E-09	1925.2638	1378.7843
A_23_P74446	chr1:44169757-44169933	KDM4A	NM_014663	Lysine (K)-specific demethylase 4A	molecular function|histone demethylase activity (H3-K36 specific)|IDA|GO:0051864|GOA|16024779//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17567753//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|16024779//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|histone demethylation|IDA|GO:0016577|GOA|16024779//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x2f1b504)	No	IPR001965:Zinc finger, PHD-type,IPR002999:Tudor domain,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR013129:Transcription factor jumonji,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	1	F	14	0.8194	-1.2204	9.2925E-08	552.8597	449.8564
A_24_P759314	chr9:6723652-6723711	KDM4C	BC042976	Lysine (K)-specific demethylase 4C	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR001965:Zinc finger, PHD-type,IPR002999:Tudor domain,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR013129:Transcription factor jumonji,IPR019786:Zinc finger, PHD-type, conserved site,	1	M	14	1.2998	1.2998	0.0004	10.0519	12.7634
A_23_P1038	chr1:202700994-202701053	KDM5B	NM_006618	Lysine (K)-specific demethylase 5B	molecular function|DNA binding|IDA|GO:0003677|GOA|15640446//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transcription factor activity|TAS|GO:0003700|GOA|10336460//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|12657635//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|negative regulation of transcription, DNA-dependent|IDA|GO:0045892|GOA|12657635//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR001606:AT-rich interaction region,IPR001965:Zinc finger, PHD-type,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR004198:Zinc finger, C5HC2-type,IPR013129:Transcription factor jumonji,IPR013637:PLU-1-like,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	1	F	14	0.8398	-1.1907	1.2059E-09	139.8506	117.6251
A_23_P62270	chrX:53221606-53221665	KDM5C	NM_004187	Lysine (K)-specific demethylase 5C	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17320160//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR001606:AT-rich interaction region,IPR001965:Zinc finger, PHD-type,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR004198:Zinc finger, C5HC2-type,IPR013129:Transcription factor jumonji,IPR013637:PLU-1-like,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	1	F	16	0.71	-1.4084	0	898.0236	637.0646
A_23_P149012	chr1:32508228-32508287	KHDRBS1	NM_006559	KH domain containing, RNA binding, signal transduction associated 1	molecular function|DNA binding|TAS|GO:0003677|GOA|1374686//molecular function|RNA binding|IDA|GO:0003723|GOA|1374686//molecular function|SH3 domain binding|IEA|GO:0017124|GOA|na//molecular function|SH3/SH2 adaptor activity|IPI|GO:0005070|GOA|9045636//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x4301504)//molecular function|transcription repressor activity|ISS|GO:0016564|GOA|na//biological process|G2/M transition of mitotic cell cycle|ISS|GO:0000086|GOA|na//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell cycle arrest|TAS|GO:0007050|GOA|9013542//biological process|cell proliferation|TAS|GO:0008283|GOA|9013542//biological process|cell surface receptor linked signaling pathway|IDA|GO:0007166|GOA|9045636//biological process|mRNA processing|TAS|GO:0006397|GOA|1374686//biological process|negative regulation of transcription|ISS|GO:0016481|GOA|na//biological process|regulation of RNA export from nucleus|ISS|GO:0046831|GOA|na//biological process|signal transduction|TAS|GO:0007165|GOA|9013542//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|membrane|IDA|GO:0016020|GOA|1374686//cellular component|nucleus|IDA|GO:0005634|GOA|1374686	Yes	IPR004087:K Homology,IPR004088:K Homology, type 1,IPR018111:K Homology, type 1, subgroup,	0	F	16	0.849	-1.1779	1.1428E-08	4674.875	3973.0374
A_23_P413150	chr15:31664208-31664252	KLF13	NM_015995	Kruppel-like factor 13	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|RNA polymerase II transcription factor activity|IEA|GO:0003702|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17513757//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IEA|GO:0045944|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10023774//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	14	0.8169	-1.2241	3.7697E-17	329.8989	270.1634
A_23_P63798	chr10:3821387-3821446	KLF6	NR_027653	0	0	No	IPR007087:Zinc finger, C2H2-type,IPR013087:Zinc finger, C2H2-type/integrase, DNA-binding,IPR015880:Zinc finger, C2H2-like,	1	F	16	0.8375	-1.194	0.000022871	44106.3828	36840.1875
