Gene Name	Description	RefSeq ID	Fold Change	FDR
SEMA3B	Homo sapiens sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B (SEMA3B), transcript variant 1, mRNA	NM_004636	2.3	58.611
TBPL1	Homo sapiens TBP-like 1 (TBPL1), mRNA	NM_004865	2.3	24.243
SPTBN5	Homo sapiens spectrin, beta, non-erythrocytic 5 (SPTBN5), mRNA	NM_016642	2.3	13.563
ZNF237	Homo sapiens zinc finger protein 237 (ZNF237), mRNA	NM_014242	2.3	32.090
MGC3121	Homo sapiens hypothetical protein MGC3121 (MGC3121), mRNA	NM_024031	2.3	19.922
GTF2H1	Homo sapiens general transcription factor IIH, polypeptide 1 (62kD subunit) (GTF2H1), mRNA	NM_005316	2.3	53.044
DKFZp761E198	Homo sapiens hypothetical protein DKFZp761E198 (DKFZp761E198), mRNA	NM_138368	2.3	42.024
MAP3K12	Homo sapiens mitogen-activated protein kinase kinase kinase 12 (MAP3K12), mRNA	NM_006301	2.3	18.436
C7orf35	Homo sapiens chromosome 7 open reading frame 35 (C7orf35), mRNA	NM_032936	2.3	18.436
SLC4A11	Homo sapiens solute carrier family 4, sodium bicarbonate transporter-like, member 11 (SLC4A11), mRNA	NM_032034	2.3	18.436
MNT	Homo sapiens MAX binding protein (MNT), mRNA	NM_020310	2.3	49.025
BCAR1	Homo sapiens breast cancer anti-estrogen resistance 1 (BCAR1), mRNA	NM_014567	2.3	273.000
DDIT4	Homo sapiens DNA-damage-inducible transcript 4 (DDIT4), mRNA	NM_019058	2.3	537.324
MGC29463	Homo sapiens hypothetical protein MGC29463 (MGC29463), mRNA	NM_152686	2.3	21.817
IRF2BP2	Homo sapiens interferon regulatory factor 2 binding protein 2, mRNA (cDNA clone IMAGE:4618488), complete cds.	BC065759	2.3	608.135
ZNF319	Homo sapiens zinc finger protein 319 (ZNF319), mRNA	NM_020807	2.3	34.594
VMD2	Homo sapiens vitelliform macular dystrophy (Best disease, bestrophin) (VMD2), mRNA	NM_004183	2.3	26.694
FLJ32549	Homo sapiens hypothetical protein FLJ32549 (FLJ32549), mRNA	NM_152440	2.3	30.110
AHR	Homo sapiens aryl hydrocarbon receptor (AHR), mRNA	NM_001621	2.3	88.824
SULT1C2	Homo sapiens sulfotransferase family, cytosolic, 1C, member 2 (SULT1C2), mRNA	NM_006588	2.3	38.595
PPARGC1B	Homo sapiens peroxisome proliferative activated receptor, gamma, coactivator 1, beta (PPARGC1B), mRNA	NM_133263	2.3	22.321
KIAA1340	Homo sapiens KIAA1340 protein (KIAA1340), mRNA	NM_020782	2.3	73.907
RHBDL6	Homo sapiens rhomboid, veinlet-like 6 (Drosophila) (RHBDL6), transcript variant 1, mRNA	NM_024599	2.3	32.141
STCH	Homo sapiens stress 70 protein chaperone, microsome-associated, 60kDa (STCH), mRNA	NM_006948	2.3	112.064
MAFF	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian) (MAFF), transcript variant 1, mRNA	NM_012323	2.3	84.684
EPHA2	Homo sapiens EPH receptor A2 (EPHA2), mRNA	NM_004431	2.3	359.262
SOX4	Homo sapiens SRY (sex determining region Y)-box 4 (SOX4), mRNA	NM_003107	2.3	924.688
CBX4	Homo sapiens chromobox homolog 4 (Pc class homolog, Drosophila) (CBX4), mRNA	NM_003655	2.3	306.503
EMILIN2	Homo sapiens elastin microfibril interfacer 2 (EMILIN2), mRNA	NM_032048	2.3	44.656
CELSR3	Homo sapiens cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) (CELSR3), mRNA	NM_001407	2.3	61.829
SLC26A6	Homo sapiens solute carrier family 26, member 6 (SLC26A6), transcript variant 1, mRNA	NM_022911	2.3	61.829
KLHL21	Homo sapiens kelch-like 21 (Drosophila) (KLHL21), mRNA	NM_014851	2.3	132.011
DTNA	Homo sapiens dystrobrevin, alpha (DTNA), transcript variant 7, mRNA	NM_001392	2.3	74.004
FHOD3	Homo sapiens formin homology 2 domain containing 3 (FHOD3), mRNA	NM_025135	2.3	26.288
MOSPD1	Homo sapiens motile sperm domain containing 1 (MOSPD1), mRNA	NM_019556	2.3	26.288
STX3A	Homo sapiens syntaxin 3A (STX3A), mRNA	NM_004177	2.2	201.628
CARS	Homo sapiens cysteinyl-tRNA synthetase (CARS), transcript variant 2, mRNA	NM_001751	2.2	113.759
WNK2	Homo sapiens WNK lysine deficient protein kinase 2 (WNK2), mRNA	NM_006648	2.2	77.142
MDS028	Homo sapiens uncharacterized hematopoietic stem/progenitor cells protein MDS028 (MDS028), mRNA	NM_018463	2.2	32.256
PARP3	Homo sapiens poly (ADP-ribose) polymerase family, member 3 (PARP3), transcript variant 2, mRNA	NM_005485	2.2	18.536
CAMSAP1	Homo sapiens calmodulin regulated spectrin-associated protein 1 (CAMSAP1), mRNA	NM_015447	2.2	102.103
DKFZp727A071	Homo sapiens similar to tRNA synthetase class II (DKFZp727A071), mRNA	NM_152268	2.2	34.274
FLJ32332	Homo sapiens likely ortholog of mouse protein phosphatase 2C eta (FLJ32332), mRNA	NM_144641	2.2	27.306
IFRD1	Homo sapiens interferon-related developmental regulator 1 (IFRD1), transcript variant 1, mRNA	NM_001550	2.2	186.181
ELAVL3	Homo sapiens ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C) (ELAVL3), transcript variant 1, mRNA	NM_001420	2.2	0.663
ELAVL3	Homo sapiens ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C) (ELAVL3), transcript variant 2, mRNA	NM_032281	2.2	0.663
CLC	Homo sapiens cardiotrophin-like cytokine (CLC), mRNA	NM_013246	2.2	13.661
FEZ2	Homo sapiens fasciculation and elongation protein zeta 2 (zygin II) (FEZ2), mRNA	NM_005102	2.2	25.913
FLJ20160	Homo sapiens FLJ20160 protein (FLJ20160), mRNA	NM_017694	2.2	38.331
KIAA0284	Homo sapiens mRNA for KIAA0284 protein, partial cds.	AB006622	2.2	98.590
KLF6	Homo sapiens Kruppel-like factor 6 (KLF6), transcript variant 2, mRNA	NM_001300	2.2	160.086
LOC92345	Homo sapiens hypothetical protein BC008207 (LOC92345), mRNA	NM_138386	2.2	22.437
RKHD3	Homo sapiens ring finger and KH domain containing 3 (RKHD3), mRNA	NM_032246	2.2	49.357
FBXL14	Homo sapiens F-box and leucine-rich repeat protein 14 (FBXL14), mRNA	NM_152441	2.2	38.839
SYNGR3	Homo sapiens synaptogyrin 3 (SYNGR3), mRNA	NM_004209	2.2	15.629
TSSC4	Homo sapiens tumor suppressing subtransferable candidate 4 (TSSC4), mRNA	NM_005706	2.2	49.916
RSNL2	Homo sapiens restin-like 2 (RSNL2), mRNA	NM_024692	2.2	21.043
PMAIP1	Homo sapiens phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA	NM_021127	2.2	26.422
FLJ13611	Homo sapiens hypothetical protein FLJ13611 (FLJ13611), mRNA	NM_024941	2.2	26.422
MAPK8IP1	Homo sapiens mitogen-activated protein kinase 8 interacting protein 1 (MAPK8IP1), mRNA	NM_005456	2.2	19.640
DDIT3	Homo sapiens DNA-damage-inducible transcript 3 (DDIT3), mRNA	NM_004083	2.2	93.213
CGI-14	Homo sapiens CGI-14 protein (CGI-14), mRNA	NM_015944	2.2	34.435
PITX1	Homo sapiens paired-like homeodomain transcription factor 1 (PITX1), mRNA	NM_002653	2.2	21.546
MGC26885	Homo sapiens hypothetical protein MGC26885 (MGC26885), mRNA	NM_152339	2.2	113.566
FLJ20241	Homo sapiens putative NFkB activating protein (FLJ20241), mRNA	NM_017721	2.2	53.641
PRIC285	Homo sapiens peroxisomal proliferator-activated receptor A interacting complex 285 (PRIC285), mRNA	NM_033405	2.2	174.869
KCTD15	Homo sapiens potassium channel tetramerisation domain containing 15 (KCTD15), mRNA	NM_024076	2.2	32.973
BEX1	Homo sapiens brain expressed, X-linked 1 (BEX1), mRNA	NM_018476	2.2	50.605
TIGA1	Homo sapiens TIGA1 (TIGA1), mRNA	NM_053000	2.2	33.534
RHOQ	Homo sapiens ras homolog gene family, member Q (RHOQ), mRNA	NM_012249	2.2	58.901
C13orf11	Homo sapiens chromosome 13 open reading frame 11 (C13orf11), mRNA	NM_017905	2.1	158.119
BRD9	Homo sapiens bromodomain containing 9 (BRD9), transcript variant 1, mRNA	NM_023924	2.1	20.703
MTHFD1L	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L), mRNA	NM_015440	2.1	126.775
JAG2	Homo sapiens jagged 2 (JAG2), transcript variant 1, mRNA	NM_002226	2.1	22.610
CTTNBP2	Homo sapiens cortactin binding protein 2 (CTTNBP2), mRNA	NM_033427	2.1	22.610
ISL2	Homo sapiens ISL2 transcription factor, LIM/homeodomain, (islet-2) (ISL2), mRNA	NM_145805	2.1	34.648
MAFK	Homo sapiens cDNA FLJ32205 fis, clone PLACE6003094.	AK056767	2.1	132.724
MAFK	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian) (MAFK), mRNA	NM_002360	2.1	132.724
KLF10	Homo sapiens Kruppel-like factor 10 (KLF10), mRNA	NM_005655	2.1	44.761
CEBPG	Homo sapiens CCAAT/enhancer binding protein (C/EBP), gamma (CEBPG), mRNA	NM_001806	2.1	387.425
CBX6	Homo sapiens chromobox homolog 6 (CBX6), mRNA	NM_014292	2.1	93.829
EB-1	Homo sapiens E2a-Pbx1-associated protein (EB-1), transcript variant 3, mRNA	NM_020140	2.1	15.288
EB-1	Homo sapiens E2a-Pbx1-associated protein (EB-1), transcript variant 2, mRNA	NM_181670	2.1	15.288
FLJ22578	Homo sapiens hypothetical protein FLJ22578 (FLJ22578), mRNA	NM_024864	2.1	19.290
FBXL6	Homo sapiens F-box and leucine-rich repeat protein 6 (FBXL6), transcript variant 1, mRNA	NM_012162	2.1	21.214
GMRP-1	Homo sapiens K+ channel tetramerization protein (GMRP-1), mRNA	NM_032320	2.1	33.171
ZNF205	Homo sapiens zinc finger protein 205 (ZNF205), mRNA	NM_003456	2.1	49.371
SLC2A6	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 6 (SLC2A6), mRNA	NM_017585	2.1	49.371
WFS1	Homo sapiens Wolfram syndrome 1 (wolframin) (WFS1), mRNA	NM_006005	2.1	125.700
TAF1A	Homo sapiens TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa (TAF1A), transcript variant 1, mRNA	NM_005681	2.1	23.749
MBNL2	Homo sapiens muscleblind-like 2 (Drosophila) (MBNL2), transcript variant 1, mRNA	NM_144778	2.1	56.683
KIF21B	Homo sapiens mRNA for KIAA0449 protein, partial cds.	AB007918	2.1	108.465
BMP2K	Homo sapiens HRIHFB2017 mRNA, partial cds.	AB015331	2.1	38.359
PPAP2A	Homo sapiens phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 2, mRNA	NM_176895	2.1	13.887
DGKQ	Homo sapiens diacylglycerol kinase, theta 110kDa (DGKQ), mRNA	NM_001347	2.1	70.172
TP53INP1	Homo sapiens tumor protein p53 inducible nuclear protein 1 (TP53INP1), mRNA	NM_033285	2.1	104.796
TAX1BP3	Homo sapiens Tax1 (human T-cell leukemia virus type I) binding protein 3 (TAX1BP3), mRNA	NM_014604	2.1	53.706
ZNF74	Homo sapiens zinc finger protein 74 (Cos52) (ZNF74), mRNA	NM_003426	2.1	36.925
ACTR5	Homo sapiens ARP5 actin-related protein 5 homolog (yeast) (ACTR5), mRNA	NM_024855	2.1	20.395
FLJ10349	Homo sapiens hypothetical protein FLJ10349 (FLJ10349), mRNA	NM_018066	2.1	67.792
PANX1	Homo sapiens pannexin 1 (PANX1), mRNA	NM_015368	2.1	35.466
LRDD	Homo sapiens leucine-rich repeats and death domain containing (LRDD), transcript variant 2, mRNA	NM_018494	2.1	16.407
PPM1E	Homo sapiens protein phosphatase 1E (PP2C domain containing) (PPM1E), mRNA	NM_014906	2.1	16.407
NR1D2	Homo sapiens nuclear receptor subfamily 1, group D, member 2 (NR1D2), mRNA	NM_005126	2.1	84.098
LITAF	Homo sapiens lipopolysaccharide-induced TNF factor (LITAF), mRNA	NM_004862	2.1	14.430
DAAM1	Homo sapiens dishevelled associated activator of morphogenesis 1 (DAAM1), mRNA	NM_014992	2.1	64.349
UGT1A6	Homo sapiens UDP glycosyltransferase 1 family, polypeptide A6 (UGT1A6), transcript variant 1, mRNA	NM_001072	2.1	20.929
THC2054435	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (13%)	THC2054435	2.1	224.333
LOC338692	Homo sapiens hypothetical protein LOC338692 (LOC338692), mRNA	NM_207354	2.1	247.960
LOC129531	Homo sapiens hypothetical protein BC018453 (LOC129531), mRNA	NM_138798	2.1	25.450
SLC43A1	Homo sapiens solute carrier family 43, member 1 (SLC43A1), mRNA	NM_003627	2.1	831.674
HOZFP	Homo sapiens ovarian zinc finger protein (HOZFP), mRNA	NM_152995	2.1	43.223
PYCRL	Homo sapiens pyrroline-5-carboxylate reductase-like (PYCRL), mRNA	NM_023078	2.1	29.925
BAMBI	Homo sapiens BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) (BAMBI), mRNA	NM_012342	2.1	124.266
SLC25A25	Homo sapiens solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 (SLC25A25), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA	NM_052901	2.1	87.026
ZNF643	Homo sapiens zinc finger protein 643 (ZNF643), mRNA	NM_023070	2.1	14.979
MYBBP1A	Homo sapiens MYB binding protein (P160) 1a (MYBBP1A), mRNA	NM_014520	2.1	204.181
FLJ11749	Homo sapiens hypothetical protein FLJ11749 (FLJ11749), mRNA	NM_024591	2.1	28.472
RHOU	Homo sapiens ras homolog gene family, member U (RHOU), mRNA	NM_021205	2.1	334.260
C9orf12	Homo sapiens chromosome 9 open reading frame 12 (C9orf12), mRNA	NM_022755	2.1	13.018
ZNF354B	Homo sapiens zinc finger protein 354B (ZNF354B), mRNA	NM_058230	2.1	13.018
SDSL	Homo sapiens serine dehydratase-like (SDSL), mRNA	NM_138432	2.1	13.018
CCPG1	Homo sapiens cell cycle progression 1 (CCPG1), mRNA	NM_004748	2.1	65.720
RASSF1	Homo sapiens Ras association (RalGDS/AF-6) domain family 1 (RASSF1), transcript variant E, mRNA	NM_170715	2.1	75.092
NFKB2	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) (NFKB2), mRNA	NM_002502	2.1	84.594
ZIC4	Homo sapiens zinc family member 4 protein HZIC4 (ZIC4) mRNA, complete cds.	AF332509	2.1	17.556
ZIC4	Homo sapiens Zic family member 4 (ZIC4), mRNA	NM_032153	2.1	17.556
ITPKC	Homo sapiens inositol 1,4,5-trisphosphate 3-kinase C (ITPKC), mRNA	NM_025194	2.1	52.181
HUMPPA	Homo sapiens paraneoplastic antigen (HUMPPA), mRNA	NM_014603	2.1	47.505
LOC85028	Homo sapiens PNAS-123 mRNA, complete cds.	AF277181	2.1	29.039
AK023077	Homo sapiens cDNA FLJ13015 fis, clone NT2RP3000622.	AK023077	2.1	130.808
FLJ12484	Homo sapiens hypothetical protein FLJ12484 (FLJ12484), mRNA	NM_022767	2.1	84.307
ORC5L	Homo sapiens origin recognition complex, subunit 5-like (yeast) (ORC5L), transcript variant 1, mRNA	NM_002553	2.1	22.559
C10orf118	Homo sapiens chromosome 10 open reading frame 118 (C10orf118), mRNA	NM_018017	2.1	22.559
CHORDC1	Homo sapiens cysteine and histidine-rich domain (CHORD)-containing, zinc binding protein 1 (CHORDC1), mRNA	NM_012124	2.1	29.623
YRDC	Homo sapiens ischemia/reperfusion inducible protein (FLJ23476), mRNA	NM_024640	2.1	18.107
ID1	Homo sapiens inhibitor of DNA binding 1, dominant negative helix-loop-helix protein (ID1), transcript variant 1, mRNA	NM_002165	2.0	445.256
KATNB1	Homo sapiens katanin p80 (WD repeat containing) subunit B 1 (KATNB1), mRNA	NM_005886	2.0	53.920
JUND	Homo sapiens jun D proto-oncogene (JUND), mRNA	NM_005354	2.0	485.468
CYLD	Homo sapiens cylindromatosis (turban tumor syndrome) (CYLD), mRNA	NM_015247	2.0	20.653
FLRT2	Homo sapiens fibronectin leucine rich transmembrane protein 2 (FLRT2), mRNA	NM_013231	2.0	27.633
C8orf1	Homo sapiens chromosome 8 open reading frame 1 (C8orf1), mRNA	NM_004337	2.0	32.827
PLXNA3	Homo sapiens plexin A3 (PLXNA3), mRNA	NM_017514	2.0	35.441
ACSL1	Homo sapiens acyl-CoA synthetase long-chain family member 1 (ACSL1), mRNA	NM_001995	2.0	156.578
PLK2	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA	NM_006622	2.0	30.783
HSPC135	Homo sapiens HSPC135 protein (HSPC135), transcript variant 1, mRNA	NM_014170	2.0	14.157
C10orf95	Homo sapiens chromosome 10 open reading frame 95 (C10orf95), mRNA	NM_024886	2.0	14.157
C1orf26	Homo sapiens chromosome 1 open reading frame 26 (C1orf26), mRNA	NM_017673	2.0	16.695
SYTL5	Homo sapiens synaptotagmin-like 5 (SYTL5), mRNA	NM_138780	2.0	36.601
RPUSD1	Homo sapiens chromosome 16 open reading frame 40 (C16orf40), mRNA	NM_058192	2.0	41.752
CDC42EP1	Homo sapiens CDC42 effector protein (Rho GTPase binding) 1 (CDC42EP1), transcript variant 1, mRNA	NM_152243	2.0	461.719
UPF3B	Homo sapiens UPF3 regulator of nonsense transcripts homolog B (yeast) (UPF3B), transcript variant 1, mRNA	NM_080632	2.0	21.741
PRSS23	Homo sapiens protease, serine, 23 (PRSS23), mRNA	NM_007173	2.0	26.819
LOC51149	Homo sapiens truncated calcium binding protein (LOC51149), mRNA	NM_016175	2.0	29.329
NFIX	Homo sapiens nuclear factor I/X (CCAAT-binding transcription factor) (NFIX), mRNA	NM_002501	2.0	34.563
FLCN	Homo sapiens folliculin (FLCN), transcript variant 2, mRNA	NM_144606	2.0	171.773
WARS	Homo sapiens tryptophanyl-tRNA synthetase (WARS), transcript variant 1, mRNA	NM_004184	2.0	129.305
DAPK3	Homo sapiens death-associated protein kinase 3 (DAPK3), mRNA	NM_001348	2.0	156.313
JUB	Homo sapiens jub, ajuba homolog (Xenopus laevis) (JUB), transcript variant 1, mRNA	NM_032876	2.0	335.679
XPOT	Homo sapiens exportin, tRNA (nuclear export receptor for tRNAs) (XPOT), mRNA	NM_007235	2.0	409.523
WEE1	Homo sapiens WEE1 homolog (S. pombe) (WEE1), mRNA	NM_003390	2.0	160.166
DDX10	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 (DDX10), mRNA	NM_004398	2.0	45.492
MTMR6	Homo sapiens myotubularin related protein 6 (MTMR6), mRNA	NM_004685	2.0	17.275
DOCK11	Homo sapiens dedicator of cytokinesis 11 (DOCK11), mRNA	NM_144658	2.0	14.715
LOC56931	Homo sapiens hypothetical protein from EUROIMAGE 1967720 (LOC56931), mRNA	NM_020175	2.0	75.092
C20orf139	Homo sapiens chromosome 20 open reading frame 139 (C20orf139), mRNA	NM_080725	2.0	35.744
AXUD1	Homo sapiens AXIN1 up-regulated 1 (AXUD1), mRNA	NM_033027	2.0	89.694
MGC19780	Homo sapiens hypothetical protein MGC19780 (MGC19780), mRNA	NM_144988	2.0	25.452
SIRT1	Homo sapiens sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae) (SIRT1), mRNA	NM_012238	2.0	44.092
SUI1	Homo sapiens putative translation initiation factor (SUI1), mRNA	NM_005801	2.0	239.014
ARFGEF1	Homo sapiens ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited) (ARFGEF1), mRNA	NM_006421	2.0	102.274
EFTUD1	Homo sapiens elongation factor Tu GTP binding domain containing 1 (EFTUD1), mRNA	NM_024580	2.0	61.056
LOC128439	Homo sapiens hypothetical gene LOC128439 (LOC128439), mRNA	NM_139016	2.0	15.287
C18orf11	Homo sapiens chromosome 18 open reading frame 11 (C18orf11), mRNA	NM_022751	2.0	15.287
HAGHL	Homo sapiens hydroxyacylglutathione hydrolase-like (HAGHL), transcript variant 2, mRNA	NM_032304	2.0	15.287
RRAGC	Homo sapiens Ras-related GTP binding C (RRAGC), mRNA	NM_022157	2.0	39.443
SIPA1L2	Homo sapiens signal-induced proliferation-associated 1 like 2 (SIPA1L2), mRNA	NM_020808	2.0	53.677
SH3MD2	Homo sapiens SH3 multiple domains 2 (SH3MD2), mRNA	NM_020870	2.0	87.969
NOTCH1	Homo sapiens Notch homolog 1, translocation-associated (Drosophila) (NOTCH1), mRNA	NM_017617	2.0	48.417
HIVEP2	Homo sapiens human immunodeficiency virus type I enhancer binding protein 2 (HIVEP2), mRNA	NM_006734	2.0	56.925
RNH	Homo sapiens ribonuclease/angiogenin inhibitor (RNH), transcript variant 1, mRNA	NM_002939	2.0	151.526
DEGS1	Homo sapiens degenerative spermatocyte homolog 1, lipid desaturase (Drosophila) (DEGS1), transcript variant 1, mRNA	NM_003676	2.0	45.811
VIM	Homo sapiens vimentin (VIM), mRNA	NM_003380	2.0	1227.169
GRPEL2	Homo sapiens GrpE-like 2, mitochondrial (E. coli) (GRPEL2), mRNA	NM_152407	2.0	58.108
RBL1	Homo sapiens retinoblastoma-like 1 (p107) (RBL1), transcript variant 1, mRNA	NM_002895	2.0	21.479
C10orf32	Homo sapiens chromosome 10 open reading frame 32 (C10orf32), mRNA	NM_144591	2.0	13.352
VNN3	Homo sapiens vanin 3 (VNN3), transcript variant 1, mRNA	NM_018399	2.0	50.155
CLCN7	Homo sapiens chloride channel 7 (CLCN7), mRNA	NM_001287	2.0	109.503
SARS	Homo sapiens seryl-tRNA synthetase (SARS), mRNA	NM_006513	2.0	170.472
DNAJC10	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 10 (DNAJC10), mRNA	NM_018981	2.0	121.930
DNAJC10	Homo sapiens mRNA; cDNA DKFZp451M1818 (from clone DKFZp451M1818).	AL832646	2.0	121.930
JMY	Homo sapiens junction-mediating and regulatory protein (JMY), mRNA	NM_152405	2.0	79.364
TLE4	Homo sapiens transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila) (TLE4), mRNA	NM_007005	2.0	40.359
BCAN	Homo sapiens brevican (BCAN), transcript variant 1, mRNA	NM_021948	2.0	43.578
MGC33486	Homo sapiens hypothetical protein MGC33486 (MGC33486), mRNA	NM_153266	2.0	86.529
MESDC1	Homo sapiens mesoderm development candidate 1 (MESDC1), mRNA	NM_022566	2.0	146.883
LOC255104	Homo sapiens hypothetical protein LOC255104 (LOC255104), mRNA	NM_181719	2.0	20.155
LOC51123	Homo sapiens HSPC038 protein (LOC51123), mRNA	NM_016096	2.0	38.380
PNMA3	Homo sapiens paraneoplastic antigen MA3 (PNMA3), mRNA	NM_013364	2.0	14.467
RUNX1	Homo sapiens runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene) (RUNX1), transcript variant 1, mRNA	NM_001754	2.0	14.467
C14orf109	Homo sapiens chromosome 14 open reading frame 109, mRNA (cDNA clone IMAGE:4813313), partial cds.	BC030119	2.0	14.467
FLJ12595	Homo sapiens cDNA FLJ12595 fis, clone NT2RM4001344, weakly similar to HYPOTHETICAL GTP-BINDING PROTEIN IN POP2-HOL1 INTERGENIC REGION.	AK022657	2.0	14.467
THAP8	Homo sapiens THAP domain containing 8 (THAP8), mRNA	NM_152658	2.0	20.708
PP	Homo sapiens pyrophosphatase (inorganic) (PP), mRNA	NM_021129	2.0	80.912
FSTL1	Homo sapiens follistatin-like 1 (FSTL1), mRNA	NM_007085	2.0	33.186
ATAD3B	Homo sapiens ATPase family, AAA domain containing 3B (ATAD3B), mRNA	NM_031921	2.0	156.908
C11orf13	Homo sapiens chromosome 11 open reading frame 13 (C11orf13), mRNA	NM_003475	2.0	56.147
NME3	Homo sapiens non-metastatic cells 3, protein expressed in (NME3), mRNA	NM_002513	2.0	36.984
RKHD2	Homo sapiens ring finger and KH domain containing 2 (RKHD2), mRNA	NM_016626	2.0	113.526
C20orf18	Homo sapiens chromosome 20 open reading frame 18 (C20orf18), transcript variant 2, mRNA	NM_031229	2.0	96.251
APG3L	Homo sapiens APG3 autophagy 3-like (S. cerevisiae) (APG3L), mRNA	NM_022488	2.0	82.512
C2orf18	Homo sapiens chromosome 2 open reading frame 18 (C2orf18), mRNA	NM_017877	2.0	48.867
RRS1	Homo sapiens RRS1 ribosome biogenesis regulator homolog (S. cerevisiae) (RRS1), mRNA	NM_015169	2.0	94.166
LMO6	Homo sapiens LIM domain only 6 (LMO6), mRNA	NM_006150	2.0	32.379
C19orf25	Homo sapiens chromosome 19 open reading frame 25 (C19orf25), mRNA	NM_152482	2.0	50.024
DRPLA	Homo sapiens dentatorubral-pallidoluysian atrophy (atrophin-1) (DRPLA), transcript variant 2, mRNA	NM_001940	2.0	50.024
TRIM47	Homo sapiens tripartite motif-containing 47 (TRIM47), mRNA	NM_033452	2.0	39.870
8D6A	Homo sapiens 8D6 antigen (8D6A), mRNA	NM_016579	2.0	78.952
KIFC3	Homo sapiens kinesin family member C3 (KIFC3), mRNA	NM_005550	2.0	162.809
SH3TC1	Homo sapiens SH3 domain and tetratricopeptide repeats 1 (SH3TC1), mRNA	NM_018986	2.0	65.397
INPP5E	Homo sapiens inositol polyphosphate-5-phosphatase, 72 kDa (INPP5E), mRNA	NM_019892	1.9	30.343
C10orf22	Homo sapiens chromosome 10 open reading frame 22 (C10orf22), mRNA	NM_032804	1.9	59.520
CORO7	Homo sapiens coronin 7 (CORO7), mRNA	NM_024535	1.9	60.144
TRAF3	Homo sapiens TNF receptor-associated factor 3 (TRAF3), transcript variant 1, mRNA	NM_145725	1.9	34.737
TXNDC10	Homo sapiens thioredoxin domain containing 10 (TXNDC10), mRNA	NM_019022	1.9	27.792
FOXQ1	Homo sapiens forkhead box Q1 (FOXQ1), mRNA	NM_033260	1.9	88.356
C19orf26	Homo sapiens chromosome 19 open reading frame 26 (C19orf26), mRNA	NM_152769	1.9	13.682
FADS3	Homo sapiens fatty acid desaturase 3 (FADS3), mRNA	NM_021727	1.9	73.404
FLJ12606	Homo sapiens hypothetical protein FLJ12606 (FLJ12606), mRNA	NM_024804	1.9	24.727
NVL	Homo sapiens nuclear VCP-like (NVL), transcript variant 1, mRNA	NM_002533	1.9	47.773
RG9MTD1	Homo sapiens RNA (guanine-9-) methyltransferase domain containing 1 (RG9MTD1), mRNA	NM_017819	1.9	37.104
CHST10	Homo sapiens carbohydrate sulfotransferase 10 (CHST10), mRNA	NM_004854	1.9	14.263
KIAA0690	Homo sapiens KIAA0690 (KIAA0690), mRNA	NM_015179	1.9	101.032
OPLAH	Homo sapiens 5-oxoprolinase (ATP-hydrolysing) (OPLAH), mRNA	NM_017570	1.9	53.407
DPH2L2	Homo sapiens DPH2-like 2 (S. cerevisiae) (DPH2L2), transcript variant 1, mRNA	NM_001384	1.9	61.686
DTX3L	Homo sapiens deltex 3-like (Drosophila) (DTX3L), mRNA	NM_138287	1.9	33.923
BRD1	Homo sapiens bromodomain containing 1 (BRD1), mRNA	NM_014577	1.9	121.641
SLC4A5	Homo sapiens solute carrier family 4, sodium bicarbonate cotransporter, member 5 (SLC4A5), transcript variant a, mRNA	NM_021196	1.9	14.832
DAF	Homo sapiens decay accelerating factor for complement (CD55, Cromer blood group system) (DAF), mRNA	NM_000574	1.9	27.028
TRAF2	Homo sapiens TNF receptor-associated factor 2 (TRAF2), mRNA	NM_021138	1.9	76.799
HES4	Homo sapiens hairy and enhancer of split 4 (Drosophila) (HES4), mRNA	NM_021170	1.9	77.382
DGKH	Homo sapiens diacylglycerol kinase, eta (DGKH), transcript variant 2, mRNA	NM_178009	1.9	19.714
