Gene ID	Gene Name	Hair (H) or Non-Hair (N) Gene	Description of Gene Product (from TAIR)	Gene Ontology (GO) Categories	Root Hair Regulatory Element (RHE) in Promoter?
AT3G46760		H	Protein kinase family protein	GO:0005524: ATP binding                                                                    GO:0005575: cellular component unknown                                                      GO:0004672: protein kinase activity                                                              GO:0016301: kinase activity                                                                                    GO:0006468: protein amino acid phosphorylation                                             GO:0004674: protein serine/threonine kinase activity	No
AT3G47340	ASN1, DIN6 (Glutamine-dependent Asparagine Synthase 1)	H	Asparagine synthase (glutamine-hydrolyzing)	GO:0009063: cellular amino acid catabolic process                                                          GO:0009744: response to sucrose stimulus                                               GO:0009416: response to light stimulus                                                                 GO:0043617: cellular response to sucrose starvation                                                                        GO:0004066: asparagine synthase (glutamine-hydrolyzing) activity                                                   GO:0009749: response to glucose stimulus                                                GO:0009646response to absence of light                                                     GO:0009750: response to fructose stimulus	No
AT3G49220		N	Pectinesterase family protein; involved in cell wall modification;	GO:0005618: cell wall                                                                                   GO:0042545: cell wall modification                                                               GO:0004857: enzyme inhibitor activity                                                                    GO:0009505:  plant-type cell wall                                                                                 GO:0030599: pectinesterase activity	No
AT3G49960		H	Peroxidase, putative; involved in response to oxidative stress	GO:0004601: peroxidase activity                                                                                      GO:0012505: endomembrane system                                                                              GO:0009055: electron carrier activity                                                                    GO:0020037: heme binding                                                                          GO:0006979: response to oxidative stress	No
AT3G54040		H	Photoassimilate-responsive protein-related	GO:0008150: biological process unknown                                                                                                           GO:0012505: endomembrane system                                                        GO:0003674: molecular function unknown	Yes
AT3G54140	PTR1, ATPTR1, (Peptide Transporter 1)	N	Encodes a di- and tri-peptide transporter that recognizes a variety of different amino acid combinations.	GO:0005215: transporter activity                                                             GO:0005886: plasma membrane                                                                GO:0016020: membrane                                                                          GO:0042938: dipeptide transport                                                            GO:0042936: dipeptide transporter activity                                                        GO:0042937: tripeptide transporter activity                                                                GO:0006857: oligopeptide transport                                                             GO:0042939: tripeptide transport                                                                    GO:0006807: nitrogen compound metabolic process	No
AT3G54400		N	Aspartyl protease family protein; functions in aspartic-type endopeptidase activity	GO:0005618: cell wall                                                                                 GO:0048046: apoplast                                                                                      GO:0006508: proteolysis                                                                          GO:0009505: plant-type cell wall                                                                                               GO:0009507: chloroplast	No
AT3G54580		H	Proline-rich extensin-like family protein; structural constituent of cell wall	GO:0012505: endomembrane system                                                         GO:0009664: plant-type cell wall organization                                                     GO:0005199: structural constituent of cell wall	No
AT3G54870	MRH2, ARK1, CAE1 (Morphogenesis of root hair2)	H	Armadillo-repeat containing  kinesin-related protein. Plays a role during transition to root-hair tip growth	GO:0003777: microtubule motor activity                                                        GO:0048768: root hair cell tip growth                                                                  GO:0031110: regulation of microtubule polymerization or depolymerization        GO:0005875: microtubule associated complex                                                                                 GO:0048765: root hair cell differentiation                                                     GO:0009507: chloroplast                                                                                                                                        GO:0008017: microtubule binding                                                                             GO:0003779: actin binding	No
AT3G56000	CSLA14, (Cellulose synthase like A14)	H	Gene similar to cellulose synthase	GO:0008150 : biological process unknown                                                                 GO:0016757: transferase activity, transferring glycosyl groups                                                   GO:0005575: cellular component unknown                                                            GO:0016759: cellulose synthase activity	No
AT3G60330	AHA7 (Arabidopsis H+ ATPase)	H	Arabidopsis H(+)-ATPase;  ATP biosynthetic process	GO:0006812: cation transport                                                                                                                     GO:0008553: hydrogen-exporting ATPase activity, phosphorylative mechanism     GO:0006754: ATP biosynthetic process                                                                   GO:0005886: plasma membrane                       GO:0008152: metabolic process	No
AT3G61820		N	Aspartyl protease family protein; aspartic-type endopeptidase activity	GO:0006508: proteolysis                                                                               GO:0009505: plant-type cell wall                                                                   GO:0006508: proteolysis	No
AT3G62680	PRP3	H	PRP3 (PROLINE-RICH PROTEIN 3); structural constituent of cell wall	GO:0005618: cell wall                                                                              GO:0005199: structural constituent of cell wall                                                           GO:0010054: trichoblast differentiation	Yes
AT4G00480	MYC1, bHLH012	H	MYC-related protein with a basic helix-loop-helix motif at the C-terminus and a region similar to the maize B/R family at the N-terminus	GO:0003700: transcription factor activity                                                    GO:0005634: nucleus                                                                          GO:0003677: DNA binding                                                                          GO:0045449: regulation of transcription	No
AT4G00680	ADF8	H	Actin depolymerizing factor 8 (ADF8); functions in actin binding	GO:0005622: intracellular                                                                              GO:0008150: biological process unknown                                                                      GO:0003779: actin binding	No
AT4G02270		H	Pollen Ole e 1 allergen and extensin family protein	GO:0008150: biological process unknown                                                                                                           GO:0012505: endomembrane system                                                        GO:0003674: molecular function unknown	Yes
AT4G02390	APP, PARP1,  ( Poly (ADP-Ribose) Polymerase)	H	DNA dependent nuclear poly (ADP-ribose) polymerase, thought to be involved in post-translational modification	GO:0006471: protein amino acid ADP-ribosylation                                                                    GO:0003950: NAD+ ADP-ribosyltransferase activity                                                                GO:0005634: nucleus                                                                                           GO:0006471: protein amino acid ADP-ribosylation                                                                 GO:0003676: nucleic acid binding	Yes
AT4G03330	SYP123 (Syntaxin of plants 123)	H	Member of SYP12 Gene Family	GO:0006886: intracellular protein transport                                                         GO:0016020: membrane                                                                                      GO:0005484: SNAP receptor activity                                                                  GO:0006944: membrane fusion	No
AT4G07960	CSLC12 (Cellulose-Synthase like C12)	H	Gene similar to cellulose synthase	GO:0016757: transferase activity, transferring glycosyl groups                                                                GO:0008150: biological process unknown                                                GO:0016759: cellulose synthase activity                                                 GO:0005575: cellular component unknown	No
AT4G09990		H	Unknown protein	GO:0008150: biological process unknown                                                                                                           GO:0012505: endomembrane system                                                        GO:0003674: molecular function unknown	No
AT4G12330	CYP706A7 (Cytochrome P450, Family 706, Subfamily A, Polypeptide 7)	H	Member of CYP706A	GO:0009055: electron carrier activity                                                            GO:0004497: monooxygenase activity                                                       GO:0005575: cellular component unknown                                                GO:0019825: oxygen binding                                                                  GO:0020037: heme binding                                                                             GO:0005506: iron ion binding	No
AT4G13390		H	Proline-rich extensin-like family protein;  structural constituent of cell wall	GO:0005199: structural constituent of cell wall                                                                                 GO:0009664: plant-type cell wall organization                                                                                                GO:0012505: endomembrane system	No
AT4G14610		H	Pseudogene, disease resistance protein (CC-NBS-LRR class), putative	GO:0005515: protein binding                                                                                                        GO:0006499: N-terminal protein myristoylation	No
AT4G14980		H	Involved in  intracellular signaling cascade	GO:0007242:  intracellular signaling cascade	No
AT4G15390		H	Transferase family protein	GO:0016747: transferase activity, transferring acyl groups other than amino-acyl groups                                                                                                      GO:0005575: cellular component unknown                                                                     GO:0016740: transferase activity                                                            GO:0008150: biological process unknown	No
AT4G16190		H	Cysteine proteinase, putative	GO:0005773: vacuole                                                                                  GO:0006508: proteolysis	No
AT4G16350	CBL6, SCABP2 (Calcineurin B-like Protein 6)	H	Calcium sensor protein. Binds CIPK14	GO:0005509: calcium ion binding                                                             GO:0019722: calcium-mediated signaling                                                   GO:0012505: endomembrane system	No
AT4G17215		N	Unknown protein	GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT4G17970		N	Unknown protein	GO:0005575: cellular component unknown                                                                                               GO:0008150: biological process unknown	No
AT4G18640	MRH1 (Morphogenesis of root hair 1)	H	Protein kinase, required for root hair elongation during tip growth	GO:0048765: root hair cell differentiation                                                     GO:0005515: protein binding                                                                GO:0005524: ATP binding                                                                            GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway         GO:0012505: endomembrane system                                                      GO:0004674: protein serine/threonine kinase activity                                                               GO:0006468: protein amino acid phosphorylation                                      GO:0004713: protein tyrosine kinase activity                                                 GO:0004672: protein kinase activity	No
AT4G19680	IRT2 (iron regulated transporter 2)	H	Iron transporter	GO:0016020: membrane                                                                              GO:0005385: zinc ion transmembrane transporter activity                                                                 GO:0016021: integral to membrane                                                          GO:0005381: iron ion transmembrane transporter activity                                                                                   GO:0006826: iron ion transport                                                                   GO:0006829: zinc ion transport                                                                      GO:0012505: endomembrane system	No
AT4G20480		H	Unknown protein	GO:0005575: cellular component unknown                                                                                              GO:0008150: biological process unknown	No
AT4G22280		N	F-box family protein	GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT4G22640		H	Unknown protein	GO:0031225: anchored to membrane                                                           GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT4G24580	REN1 (ROP1 Enhancer 1)	H	Rho GTPase-activating protein that interacts with ROP1 (a Rho GTPase) and regulates pollen tube development	GO:0005100: Rho GTPase activator activity                                                        GO:0045177: apical part of cell                                                        GO:0007165: signal transduction                                                                 GO:0035091: phosphoinositide binding                                                      GO:0009865: pollen tube adhesion                                                                GO:0017048: Rho GTPase binding                                                           GO:0032862: activation of Rho GTPase activity                                                     GO:0035024: negative regulation of Rho protein signal transduction                                                             GO:0009846: pollen germination                                                                   GO:0005938: cell cortex                                                                              GO:0048868: pollen tube development	Yes
AT4G25160		H	Protein kinase family protein	GO:0006468: protein amino acid phosphorylation                                                 GO:0004672: protein kinase activity                                                          GO:0000151: ubiquitin ligase complex                                                       GO:0004674: protein serine/threonine kinase activity                                                                                           GO:0006950: response to stress                                                             GO:0004842: ubiquitin-protein ligase activity                                                              GO:0016301: kinase activity                                                                         GO:0005524:  ATP binding                                                                             GO:0016567: protein ubiquitination	No
AT4G25220		H	Transporter, putative	GO:0006810: transport                                                                           GO:0005215: transporter activity	Yes
AT4G25790		H	Allergen V5/Tpx-1-related family protein	GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown                                                     GO:0005576: extracellular region                                                              GO:0012505: endomembrane system	No
AT4G25820	XTR9 (Xyloglucan endotransglycosylase 9)	H	Xyloglucan endotransglycosylase with a clear preference for non-fucosylated xyloglucan polymer	GO:0006073: cellular glucan metabolic process                                               GO:0016762: xyloglucan:xyloglucosyl transferase activity                                                                                 GO:0012505: endomembrane system                                                         GO:0005975: carbohydrate metabolic process                                                 GO:0005618: cell wall                                                                                         GO:0048046: apoplast                                                                                       GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds                                               GO:0016798: hydrolase activity, acting on glycosyl bonds	No
AT4G26320	AGP13 (Arabinogalactan protein 13)	N		GO:0031225: anchored to membrane	No
AT4G26770		H	Phosphatidate cytidylyltransferase/ transferase; involved in phospholipid biosynthetic process	GO:0008654: phospholipid biosynthetic process                                                   GO:0016020: membrane                                                                              GO:0016772: transferase activity, transferring phosphorus-containing groups      GO:0004605: phosphatidate cytidylyltransferase activity	No
AT4G27290		H	ATP binding / protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase/ sugar binding	GO:0005529: sugar binding                                                                         GO:0004713: protein tyrosine kinase activity                                                        GO:0048544: recognition of pollen                                                                GO:0006468: protein amino acid phosphorylation                                              GO:0005524: ATP binding                                                                         GO:0004672: protein kinase activity                                                             GO:0012505: endomembrane system                                                                 GO:0004672: protein kinase activity                                                                       GO:0004674: protein serine/threonine kinase activity	No
AT4G28850		H	Xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative	GO:0016798: hydrolase activity, acting on glycosyl bonds                                                                GO:0006073: cellular glucan metabolic process                                              GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds                                              GO:0016762: xyloglucan:xyloglucosyl transferase activity                                                                                      GO:0012505: endomembrane system                                                           GO:0048046: apoplast                                                                               GO:0005975: carbohydrate metabolic process                                               GO:0005618: cell wall	No
AT4G29180		H	Leucine-rich repeat protein kinase, putative	GO:0016301: kinase activity                                                                  GO:0012505: endomembrane system                                                        GO:0006468: protein amino acid phosphorylation	Yes
AT4G29800	PLP8, PLA IVD (Patatin like Protein 8)	H	Involved in  lipid metabolic process	GO:0006629: lipid metabolic process                                                             GO:0005575: cellular component unknown                                                    GO:0008152: metabolic process	No
AT4G30560	CNGC9 , ATCNGC9, (Cyclic nucleotide gated channel ))	H	Member of Cyclic nucleotide gated channel family; ion channel	GO:0005516: calmodulin binding                                                                        GO:0006813: potassium ion transport                                                           GO:0030551: cyclic nucleotide binding                                                           GO:0006811: ion transport                                                                          GO:0005216: ion channel activity                                                                  GO:0016020: membrane	No
AT4G31250		H	Leucine-rich repeat transmembrane protein kinase	GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway          GO:0012505: endomembrane system                                                           GO:0016301: kinase activity                                                                        GO:0004674: protein serine/threonine kinase activity                                                  GO:0005524: ATP binding                                                                                            GO:0006468: protein amino acid phosphorylation	No
AT4G32460		N	Unknown protein	GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown                                                           GO:0009505: plant-type cell wall	No
AT4G33730		H	Pathogenesis-related protein, putative	GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown                                                           GO:0005576: extracellular region                                                                     GO:0012505: endomembrane system	No
AT4G34580	COW1, SRH1 (Can of Worms 1)	H	Phosphatidylinositol transfer protein essential for root hair tip growth	GO:0005215: transporter activity                                                                           GO:0005622: intracellular                                                                             GO:0008526: phosphatidylinositol transporter activity                                                          GO:0048768: root hair cell tip growth                                                                    GO:0010053: root epidermal cell differentiation                                                      GO:0006810: transport                                                                               GO:0009932: cell tip growth	No
AT4G34590	GBF6, ATB2,  BZIP11 (G-Box binding factor 6)	N	Basic domain leucine zipper (bZip) transcription factor	GO:0017148: negative regulation of translation                                                      GO:0003677: DNA binding                                                                        GO:0003700: transcription factor activity                                                                      GO:0006355: regulation of transcription, DNA-dependent                                                                                  GO:0005634: nucleus                                                                                GO:0009744: response to sucrose stimulus                                              GO:0046982: protein heterodimerization activity                                                      GO:0009507: chloroplast	No
AT4G40090	AGP3 (Arabinogalactan-Protein 3)	H	Arabinogalactan-protein, involved in multicellular organismal development	GO:0007275: multicellular organismal development                                       GO:0012505: endomembrane system	No
AT5G01610		H	unknown protein	GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT5G04960		H	Pectinesterase family protein; involved in cell wall modification	GO:0004857: enzyme inhibitor activity                                                                  GO:0030599: pectinesterase activity                                                             GO:0009505: plant-type cell wall                                                                  GO:0042545: cell wall modification                                                                  GO:0005618: cell wall	No
AT5G05400		H	Disease resistance protein (CC-NBS-LRR class), putative; involved in  N-terminal protein myristoylation, defense response, apoptosis	GO:0005515: protein binding                                                                               GO:0009507: chloroplast                                                                                  GO:0005524: ATP binding                                                                              GO:0006499: N-terminal protein myristoylation                                                                  GO:0006915: apoptosis                                                                                   GO:0006952: defense response	No
AT5G05500		H	Pollen Ole e 1 allergen and extensin family protein;	GO:0008150: biological process unknown                                                                                                           GO:0012505: endomembrane system                                                        GO:0003674: molecular function unknown	No
AT5G06640		H	Proline-rich extensin-like family protein; structural constituent of cell wall	GO:0005199: structural constituent of cell wall                                                GO:0009664: plant-type cell wall organization	No
AT5G07080		H	Transferase family protein	GO:0016747: transferase activity, transferring acyl groups other than amino-acyl groups                                                                                                                     GO:0005575: cellular component unknown                                                                                                GO:0008150: biological process unknown	No
AT5G10520	RBK1 (Rop Binding protein kinases 1)	N	Protein serine/threonine kinase, involved in defense response, incompatible interaction	GO:0009814: defense response, incompatible interaction                                               GO:0004672: protein kinase activity                                                               GO:0005524: ATP binding                                                                          GO:0004674: protein serine/threonine kinase activity                                                        GO:0005829: cytosol                                                                                  GO:0016301: kinase activity                                                                                      GO:0012505: endomembrane system	No
AT5G11020		N	ATP binding / kinase/ protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase	GO:0006468: protein amino acid phosphorylation                                                         GO:0005524: ATP binding                                                                          GO:0004674: protein serine/threonine kinase activity                                                                    GO:0004713: protein tyrosine kinase activity                                                      GO:0004672: protein kinase activity                                                                   GO:0016301: kinase activity	No
AT5G13150	EXO70C1 (exocyst subunit EX070 family protein C1)	H	A member of EXO70 gene family, putative exocyst subunits	GO:0000145: exocyst                                                                               GO:0006904: vesicle docking during exocytosis                                                    GO:0005515: protein binding                                                                                 GO:0006887: exocytosis	No
AT5G13990	EXO70C2	H	A member of EXO70 gene family, putative exocyst subunits	GO:0005515: protein binding                                                                                      GO:0006887: exocytosis                                                                                     GO:0006904: vesicle docking during exocytosis                                                       GO:0000145: exocyst	Yes
AT5G15890		H	Unknown protein	GO:0008150: biological process unknown	No
AT5G15950		H	Adenosylmethionine decarboxylase family protein; involved in spermidine biosynthetic process, spermine biosynthetic process	GO:0004014: adenosylmethionine decarboxylase activity                                                                            GO:0008295: spermidine biosynthetic process                                              GO:0006597: spermine biosynthetic process                                                   GO:0005575: cellular component unknown                                                                            GO:0006596: polyamine biosynthetic process	No
AT5G16030		N	Unknown protein	GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT5G16900		H	Leucine-rich repeat protein kinase, putative	GO:0016301: kinase activity                                                                    GO:0006468: protein amino acid phosphorylation                                                                           GO:0012505: endomembrane system	No
AT5G19800		H	Hydroxyproline-rich glycoprotein family protein	GO:0008150: biological process unknown                                                                                                           GO:0012505: endomembrane system	No
AT5G22410		H	Peroxidase, putative; involved in  response to oxidative stress	GO:0009055: electron carrier activity                                                               GO:0012505: endomembrane system                                                        GO:0004601: peroxidase activity                                                                     GO:0020037: heme binding                                                                       GO:0006979: response to oxidative stress	Yes
AT5G23030	TET12 (Tetraspanin 12)	H	Member of TETRASPANIN family	GO:0007568: aging                                                                                    GO:0012505: endomembrane system                                                                GO:0003674: molecular function unknown                                            GO:0016021: integral to membrane	No
AT5G24140	SQP2 (Squalene monoxygenases2)	H	Encodes a protein with similarity to squalene monoxygenases	GO:0004506: squalene monooxygenase activity                                                    GO:0016491: oxidoreductase activity                                                                           GO:0016126: sterol biosynthetic process                                                          GO:0016021: integral to membrane                                                                          GO:0012505: endomembrane system                                                                    GO:0050660: FAD binding	No
AT5G24310	ABIL3 (ABL interactor-like protein 3)	H		GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT5G35190		H	Proline-rich extensin-like family protein; structural constituent of cell wall	GO:0012505: endomembrane system                                                                        GO:0005199: structural constituent of cell wall                                                             GO:0009664: plant-type cell wall organization	No
AT5G40510		H	Unknown protein	GO:0005575: cellular component unknown                                                GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT5G40860		H	Unknown protein	GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT5G40960		N	Unknown protein	GO:0031225: anchored to membrane                                                             GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	No
AT5G45800	MEE62 (maternal effect embryo arrest 62)	N	Protein kinase, involved in embryonic development ending in seed dormancy, transmembrane receptor protein tyrosine kinase signaling pathway	GO:0004674: protein serine/threonine kinase activity                                                                                   GO:0009793: embryonic development ending in seed dormancy                                                    GO:0005515: protein binding                                                                                   GO:0007169: transmembrane receptor protein tyrosine kinase signaling pathway          GO:0005524: ATP binding                                                                                                                                         GO:0006468: protein amino acid phosphorylation                                                                                                                                                                                                                     GO:0004713: protein tyrosine kinase activity                                                                                                                                                                                                                     GO:0004672: protein kinase activity	No
AT5G46250		H	RNA recognition motif (RRM)-containing protein; involved in  RNA processing	GO:0030529: ribonucleoprotein complex                                                                                                                                                                                                                          GO:0000166: nucleotide binding                                                                                                                                                                                                                          GO:0003676: nucleic acid binding                                                                                                                                                                                                                              GO:0006396: RNA processing                                                                                                                                                                                                                                       GO:0005634: nucleus                                                                                                                                                                                                                                                                                                              GO:0003723: RNA binding	No
AT5G46670		N	CHP-rich zinc finger protein, putative	GO:0008270: zinc ion binding                                                                         GO:0005575: cellular component unknown                                                                                                GO:0008150: biological process unknown                                                                                                                                                                         GO:0005515: protein binding	No
AT5G47550		N	Cysteine protease inhibitor, putative	GO:0008150: biological process unknown                                                                                    GO:0005618: cell wall                                                                                                    GO:0004869: cysteine-type endopeptidase inhibitor activity	No
AT5G49080		H	Transposable element gene; similar to proline-rich extensin-like family protein		No
AT5G49270	COBL9, SHV2, DER9, MRH4, (Cobra like 9/ Shaven2)	H	Involved in successfully establishing tip growth in root hairs	GO:0031225: anchored to membrane                                                            GO:0010053: root epidermal cell differentiation                                                GO:0048765: root hair cell differentiation                                                                                                                                                                                                                                                                    GO:0009932: cell tip growth	No
AT5G53200	TRY (Triptychon)	N	Transcription factor	GO:0003700: transcription factor activity                                                                                                                                                                                                                                                                                                                                                                      GO:0010091: trichome branching                                                                                                   GO:0003677: DNA binding                                                                                     GO:0045449: regulation of transcription	No
AT5G54840	SGP1, ATSGP1	N	Monomeric G protein	GO:0005525: GTP binding                                                                                GO:0007264: small GTPase mediated signal transduction                                                                 GO:0005622: intracellular	No
AT5G57530		H	Xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative; involved in  carbohydrate metabolic process, cellular glucan metabolic process	GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds                                                                                                                                                                           GO:0006073: cellular glucan metabolic process                                                                     GO:0016798: hydrolase activity, acting on glycosyl bonds                                         GO:0005975: carbohydrate metabolic process                                               GO:0005618: cell wall                                                                                                           GO:0005737: cytoplasm                                                                                     GO:0016762: xyloglucan:xyloglucosyl transferase activity	No
AT5G57540		H	Xyloglucan:xyloglucosyl transferase, putative / xyloglucan endotransglycosylase, putative / endo-xyloglucan transferase, putative; involved in  carbohydrate metabolic process, cellular glucan metabolic process	GO:0016798: hydrolase activity, acting on glycosyl bonds                                 GO:0006073: cellular glucan metabolic process                                                  GO:0016762: xyloglucan:xyloglucosyl transferase activity                                      GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds        GO:0005975: carbohydrate metabolic process                                          GO:0005618: cell wall                                                                                GO:0012505: endomembrane system                                                                   GO:0048046: apoplast	No
AT5G58010	bHLH082	H	Basic helix-loop-helix (bHLH) protein that regulates root hair developmen	GO:0045449: regulation of transcription                                                          GO:0003700: transcription factor activity                                                     GO:0005634: nucleus                                                                                             GO:0003677: DNA binding	No
AT5G61350		H	Protein kinase family protein	GO:0016301: kinase activity                                                                                GO:0012505: endomembrane system                                                         GO:0006468: protein amino acid phosphorylation	No
AT5G61550		H	Protein kinase family protein; ubiquitin-protein ligase activity, protein serine/threonine kinase activity	GO:0004672: protein kinase activity                                                           GO:0004674: protein serine/threonine kinase activity                                               GO:0006468: protein amino acid phosphorylation                                               GO:0004842: ubiquitin-protein ligase activity                                                 GO:0005524: ATP binding                                                                     GO:0000151: ubiquitin ligase complex                                                         GO:0016301: kinase activity                                                                      GO:0016567: protein ubiquitination	No
AT5G61650	CYCP4;2, CYCP4	H	The P-type cyclins (CYCPs), cyclin-dependent protein kinase	GO:0005575: cellular component unknown                                                          GO:0051726: regulation of cell cycle                                                            GO:0004693: cyclin-dependent protein kinase activity	No
AT5G62310	IRE (Incomplete root hair elongation)	H	Protein with a serine/threonine kinase domain	GO:0005575: cellular component unknown                                                                   GO:0009826: unidimensional cell growth                                                              GO:0016301: kinase activity                                                                           GO:0004674: protein serine/threonine kinase activity	No
AT5G63590	FLS3 (Flavonol Synthase 3)	N	Flavonol synthase involved in response to light stimulus, response to sucrose stimulus, flavonoid biosynthetic process	GO:0005575: cellular component unknown                                                    GO:0009416: response to light stimulus                                                         GO:0045431: flavonol synthase activity                                                    GO:0009813:  flavonoid biosynthetic process	No
AT5G65090	MRH3, BST1, DER4 (Morphology of root hairs 3/ Bristled 1)	H	Protein involved in root hair morphogenesis and tip growth.  Required for restricting both the size of the root-hair initiation site and the width of the root hairs during the transition to tip growth.	GO:0005575: cellular component                                                                  GO:0004437: inositol or phosphatidylinositol phosphatase activity                             GO:0009932: cell tip growth                                                                       GO:0010053: root epidermal cell differentiation                                                      GO:0016787: hydrolase activity                                                                        GO:0048765: root hair cell differentiation	No
AT5G65160		H	Tetratricopeptide repeat (TPR)-containing protein	GO:0005488: binding                                                                                 GO:0005575: cellular component unknown                                                                                                 GO:0008150: biological process unknown	Yes
AT5G66590		N	Allergen V5/Tpx-1-related family protein	GO:0005576: extracellular region                                                                                            GO:0012505: endomembrane system                                                         GO:0003674: molecular function unknown                                                 GO:0008150: biological process unknown	Yes
AT5G67400	PER73 (Peroxidase 73)	H	Proxidase involved in response to oxidative stress	GO:0004601: peroxidase activity                                                                GO:0006979: response to oxidative stress                                                       GO:0012505: endomembrane system                                                     GO:0009055: electron carrier activity                                                                 GO:0020037: heme binding	Yes
