Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	INTERPRO Domain	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P248251	chr3:148793667-148793710	HLTF	NM_139048	Helicase-like transcription factor	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|RNA polymerase II transcription factor activity|IEA|GO:0003702|GOA|na//molecular function|helicase activity|IEA|GO:0004386|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides|IEA|GO:0016818|GOA|na//molecular function|ligase activity|IEA|GO:0016874|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transcription activator activity|IEA|GO:0016563|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|regulation of transcription from RNA polymerase II promoter|IEA|GO:0006357|GOA|na//biological process|regulation of transcription, DNA-dependent|TAS|GO:0006355|GOA|7876228//biological process|transcription|IEA|GO:0006350|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	IPR000330:SNF2-related,IPR001650:DNA/RNA helicase, C-terminal,IPR001841:Zinc finger, RING-type,IPR014001:DEAD-like helicase, N-terminal,IPR014021:Helicase, superfamily 1 and 2, ATP-binding,IPR014905:HIP116, Rad5p N-terminal,IPR017907:Zinc finger, RING-typ	F	15	0.6764	-1.4784	2.3492E-14	815.1583	545.7006
A_23_P395374	chr6:26188952-26189011	HIST1H4D	NM_003539	Histone cluster 1, H4d	0		F	14	0.7024	-1.4236	1.3914E-14	106.1618	74.7795
A_23_P217411	chrX:53405630-53405689	SMC1A	NM_006306	Structural maintenance of chromosomes 1A	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|chromatin binding|IDA|GO:0003682|GOA|11076961//molecular function|microtubule motor activity|NAS|GO:0003777|GOA|12199140//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xc733a0)//molecular function|protein heterodimerization activity|IPI|GO:0046982|GOA|ARRAY(0x4a9eb1c)//biological process|DNA damage response, signal transduction|IDA|GO:0042770|GOA|11877377//biological process|DNA repair|TAS|GO:0006281|GOA|11877377//biological process|RNA splicing|EXP|GO:0008380|GOA|12226669//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|cell cycle checkpoint|IDA|GO:0000075|GOA|11877377//biological process|cell division|IEA|GO:0051301|GOA|na//biological process|meiosis|ISS|GO:0007126|GOA|na//biological process|mitotic sister chromatid cohesion|TAS|GO:0007064|GOA|12199140//biological process|mitotic sister chromatid segregation|TAS|GO:0000070|GOA|7757074//biological process|mitotic spindle organization|TAS|GO:0007052|GOA|12199140//biological process|negative regulation of DNA endoreduplication|IMP|GO:0032876|GOA|15917200//biological process|response to radiation|IEP|GO:0009314|GOA|11877377//biological process|sister chromatid cohesion|IMP|GO:0007062|GOA|15917200//cellular component|chromosome|IEA|GO:0005694|GOA|na//cellular component|cohesin core heterodimer|TAS|GO:0008280|GOA|11076961//cellular component|condensed chromosome kinetochore|IEA|GO:0000777|GOA|na//cellular component|condensed nuclear chromosome|TAS|GO:0000794|GOA|7757074//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|kinetochore|IDA|GO:0000776|GOA|ARRAY(0x17c01a8)//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xe35364)	IPR003395:RecF/RecN/SMC protein, N-terminal,IPR010935:SMCs flexible hinge,	F	16	0.8027	-1.2458	8.4606E-15	2553.04	2048.6257
A_24_P166407	chr6:26027149-26027208	HIST1H4B	NM_003544	Histone cluster 1, H4b	0		F	15	0.6756	-1.4801	1.2037E-15	1014.395	683.1279
A_23_P70480	chr6:27840949-27841008	HIST1H4L	NM_003546	Histone cluster 1, H4l	0		F	15	0.6873	-1.4549	3.7299E-17	2182.3035	1496.2212
A_24_P7887	chr22:41553254-41553313	EP300	NM_001429	E1A binding protein p300	molecular function|DNA binding|IDA|GO:0003677|GOA|9194565//molecular function|acetyltransferase activity|IMP|GO:0016407|GOA|12435739//molecular function|histone acetyltransferase activity|IDA|GO:0004402|GOA|12040021//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|peroxisome proliferator activated receptor binding|IEA|GO:0042975|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xe80474)//molecular function|transcription coactivator activity|IDA|GO:0003713|GOA|ARRAY(0xccdb88)//molecular function|transcription factor activity|IEA|GO:0003700|GOA|na//molecular function|transcription factor binding|IPI|GO:0008134|GOA|ARRAY(0xc20f98)//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|N-terminal peptidyl-lysine acetylation|IDA|GO:0018076|GOA|12435739//biological process|apoptosis|IMP|GO:0006915|GOA|9194565//biological process|cell cycle|IEA|GO:0007049|GOA|na//biological process|heart development|IEA|GO:0007507|GOA|na//biological process|histone H4 acetylation|IMP|GO:0043967|GOA|16325578//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|liver development|IEA|GO:0001889|GOA|na//biological process|lung development|IEA|GO:0030324|GOA|na//biological process|nervous system development|TAS|GO:0007399|GOA|10205054//biological process|organ morphogenesis|IEA|GO:0009887|GOA|na//biological process|positive regulation of cell growth|IEA|GO:0030307|GOA|na//biological process|positive regulation of proteolysis|IEA|GO:0045862|GOA|na//biological process|positive regulation of transcription factor activity|IDA|GO:0051091|GOA|10518217//biological process|positive regulation of transcription from RNA polymerase II promoter|IMP|GO:0045944|GOA|16325578//biological process|regulation of transcription|IDA|GO:0045449|GOA|15261140//biological process|regulation of transcription, DNA-dependent|IEA|GO:0006355|GOA|na//biological process|response to calcium ion|IEA|GO:0051592|GOA|na//biological process|response to drug|IEA|GO:0042493|GOA|na//biological process|response to ethanol|IEA|GO:0045471|GOA|na//biological process|response to glucocorticoid stimulus|IEA|GO:0051384|GOA|na//biological process|response to hydrogen peroxide|IEA|GO:0042542|GOA|na//biological process|response to hypoxia|IDA|GO:0001666|GOA|15261140//biological process|skeletal muscle tissue development|IEA|GO:0007519|GOA|na//biological process|somitogenesis|IEA|GO:0001756|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|histone acetyltransferase complex|IEA|GO:0000123|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xd0363c)//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	IPR000197:Zinc finger, TAZ-type,IPR000433:Zinc finger, ZZ-type,IPR001487:Bromodomain,IPR003101:Coactivator CBP, KIX,IPR009255:Transcriptional coactivation,IPR010303:Protein of unknown function DUF902, CREBbp,IPR014744:Nuclear receptor coactivator, CREB-bp	F	16	0.6161	-1.6232	9.2623E-21	133.7901	80.969
A_24_P136807	chr4:39313078-39313137	RFC1	NM_002913	Replication factor C (activator 1) 1, 145kDa	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|DNA clamp loader activity|IEA|GO:0003689|GOA|na//molecular function|enzyme activator activity|TAS|GO:0008047|GOA|8954124//molecular function|nucleoside-triphosphatase activity|IEA|GO:0017111|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x2e72b34)//biological process|DNA-dependent DNA replication|TAS|GO:0006261|GOA|8248204//biological process|nucleotide-excision repair, DNA gap filling|EXP|GO:0006297|GOA|9111189//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|telomere maintenance via telomerase|TAS|GO:0007004|GOA|8954124//cellular component|DNA replication factor C complex|IDA|GO:0005663|GOA|9488738//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleoplasm|EXP|GO:0005654|GOA|9822671//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR001357:BRCT,IPR003593:ATPase, AAA+ type, core,IPR003959:ATPase, AAA-type, core,IPR012178:DNA replication factor C, large subunit,IPR013725:DNA replication factor RFC1, C-terminal,	F	15	0.6387	-1.5657	7.6824E-21	1211.1023	771.2826
A_23_P214487	chr6:26104468-26104527	HIST1H4C	NM_003542	Histone cluster 1, H4c	0		F	15	0.7006	-1.4274	1.6579E-22	13216.7021	9218.5273
A_23_P62270	chrX:53221606-53221665	KDM5C	NM_004187	Lysine (K)-specific demethylase 5C	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17320160//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR001606:AT-rich interaction region,IPR001965:Zinc finger, PHD-type,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR004198:Zinc finger, C5HC2-type,IPR013129:Transcription factor jumonji,IPR	F	16	0.71	-1.4084	0	898.0236	637.0646
A_23_P217304	chrX:44971348-44971407	KDM6A	NM_021140	Lysine (K)-specific demethylase 6A	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//cellular component|Golgi apparatus|IDA|GO:0005794|GOA|18029348//cellular component|intracellular membrane-bounded organelle|IDA|GO:0043231|GOA|18029348//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	IPR001440:Tetratricopeptide TPR-1,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide region,IPR013129:Transcription factor jumonji,IPR019734:Tetratricopeptide repeat,	F	16	0.6019	-1.6613	0	3872.7605	2332.4385
A_23_P137238	chrY:21867770-21867829	KDM5D	NM_004653	Lysine (K)-specific demethylase 5D	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|molecular_function|ND|GO:0003674|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|17320160//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|spermatogenesis|NAS|GO:0007283|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	IPR001606:AT-rich interaction region,IPR001965:Zinc finger, PHD-type,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR003349:Transcription factor jumonji, JmjN,IPR004198:Zinc finger, C5HC2-type,IPR013129:Transcription factor jumonji,IPR	M	16	14.1905	14.1905	0	80.2842	1158.6842
A_32_P209250	chrY:15592470-15592529	UTY	NM_182660	Ubiquitously transcribed tetratricopeptide repeat gene, Y-linked	molecular function|binding|IEA|GO:0005488|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen|IEA|GO:0016702|GOA|na//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//cellular component|nucleolus|IDA|GO:0005730|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|18029348	IPR001440:Tetratricopeptide TPR-1,IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide region,IPR013129:Transcription factor jumonji,IPR019734:Tetratricopeptide repeat,	M	16	23.6776	23.6776	0	21.2324	513.9491
A_23_P146865	chr16:27232880-27232939	JMJD5	NM_024773	Jumonji domain containing 5	molecular function|molecular_function|ND|GO:0003674|GOA|na//biological process|biological_process|ND|GO:0008150|GOA|na//cellular component|cellular_component|ND|GO:0005575|GOA|na	IPR003347:Transcription factor jumonji/aspartyl beta-hydroxylase,	F	14	0.8651	-1.156	1.0118E-08	1393.2628	1208.425
A_23_P313568	chr20:46283980-46284039	NCOA3	NM_181659	Nuclear receptor coactivator 3	molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|androgen receptor binding|NAS|GO:0050681|GOA|15572661//molecular function|estrogen receptor binding|IEA|GO:0030331|GOA|na//molecular function|histone acetyltransferase activity|TAS|GO:0004402|GOA|na//molecular function|ligand-dependent nuclear receptor transcription coactivator activity|IEA|GO:0030374|GOA|na//molecular function|protein N-terminus binding|IPI|GO:0047485|GOA|12917342//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x19029a8)//molecular function|signal transducer activity|IEA|GO:0004871|GOA|na//molecular function|thyroid hormone receptor binding|NAS|GO:0046966|GOA|ARRAY(0x18b9f2c)//molecular function|transcription coactivator activity|NAS|GO:0003713|GOA|ARRAY(0xc1e4d4)//molecular function|transcription regulator activity|IEA|GO:0030528|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|androgen receptor signaling pathway|NAS|GO:0030521|GOA|15572661//biological process|positive regulation of estrogen receptor signaling pathway|IEA|GO:0033148|GOA|na//biological process|positive regulation of transcription factor activity|IEA|GO:0051091|GOA|na//biological process|positive regulation of transcription, DNA-dependent|NAS|GO:0045893|GOA|15572661//biological process|signal transduction|IEA|GO:0007165|GOA|na//biological process|transcription|NAS|GO:0006350|GOA|9267036//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|nucleus|NAS|GO:0005634|GOA|na	IPR000014:PAS,IPR001092:Basic helix-loop-helix dimerisation region bHLH,IPR010011:Protein of unknown function DUF1518,IPR013767:PAS fold,IPR014920:Nuclear receptor coactivator, Ncoa-type, interlocking,IPR014935:Steroid receptor coactivator,IPR017426:Nuclear receptor coactivator,	F	14	0.8592	-1.1638	2.0532E-09	757.057	649.9811
