hg18.refGene.name	chrom	strand	start	end	gene symbol	E3Diff	E6Diff	E9Diff	E12Diff	E24Diff	E48Diff	?with RNAPII peaks +/- 1Kb around TSS
NM_031485	chr19	+	53640841	53648975	GRWD1	0.3037	0.5398	0.3436	0.2344	0.1722	-0.3478	Yes
NM_173849	chr14	-	94304312	94306252	GSC	0.3554	0.3194	0.1758	-0.0176	0.3502	0.3477	Yes
NM_001515	chr5	-	70366706	70399253	GTF2H2	0.3065	0.5068	0.4433	0.5607	0.4571	0.352	No
NM_133644	chr19	+	17309355	17314540	GTPBP3	0.2598	0.5087	0.3679	0.1503	0.2716	0.345	Yes
NM_012227	chrY	-	161425	170887	GTPBP6	0.1435	0.5913	0.5072	0.161	0.1861	0.0302	No
NM_207112	chr16	+	716958	719716	HAGHL	0.3602	0.6546	0.1584	0.0782	0.0276	0.1084	Yes
NM_000558	chr16	+	166678	167520	HBA1	0.1438	0.5267	0.1604	0.4277	0.5114	0.8059	Yes
NM_000517	chr16	+	162845	163709	HBA2	0.1211	0.5106	0.1845	0.4046	0.2847	1.0646	Yes
NM_005331	chr16	+	170334	171178	HBQ1	0.4731	0.2379	0.1477	0.0813	-0.0614	-0.0571	Yes
NM_002110	chr20	+	30103717	30153318	HCK	1.1164	2.0192	1.7135	1.3707	1.7863	3.2828	Yes
NM_005477	chr15	-	71399253	71448658	HCN4	0.4052	0.4078	-0.019	-0.0171	-0.0621	-0.0898	No
NM_014266	chr19	+	41085221	41087013	HCST	0.1036	0.5954	0.2849	-0.1809	-0.3153	-0.2327	Yes
NM_024827	chr3	+	13496714	13522923	HDAC11	0.4528	0.6275	0.1672	0.3322	-0.0815	0.2466	Yes
NM_012259	chr6	+	126112424	126124108	HEY2	1.4038	0.995	1.3933	1.6235	2.0957	3.3839	Yes
NM_000189	chr2	+	74913289	74973989	HK2	0.4879	0.1576	0.2603	0.2649	0.055	-0.4709	Yes
NM_006120	chr6	-	33024368	33028877	HLA-DMA	0.5798	0.0829	0.3537	-0.209	-0.589	-0.0403	No
NM_000190	chr11	+	118460796	118469469	HMBS	0.2103	0.4181	0.2622	0.1548	0.2915	0.1995	Yes
NM_014620	chr12	+	52696908	52736081	HOXC4	0.2901	0.1974	0.328	-0.107	-0.271	0.0593	Yes
NM_032756	chr1	+	45565131	45566933	HPDL	0.5662	0.3923	0.3778	0.3023	0.2908	-0.1158	No
NM_006042	chr17	-	13339730	13445969	HS3ST3A1	1.3024	0.7796	1.345	1.0292	2.2636	2.698	Yes
NM_006041	chr17	+	14145230	14190217	HS3ST3B1	0.1253	0.2989	0.5745	0.2711	0.2164	0.3488	Yes
NM_014365	chr12	+	118100977	118116934	HSPB8	0.6104	0.3716	0.3281	0.3774	0.1124	0.0916	Yes
NM_005529	chr1	-	22021323	22136337	HSPG2	0.2678	0.3347	0.1878	0.1139	-0.3054	-0.48	Yes
NM_003773	chr3	-	50330231	50335285	HYAL2	0.2241	0.3128	0.3015	-0.072	-0.0338	-0.2035	Yes
NM_002162	chr19	-	10305451	10311345	ICAM3	0.2232	0.5072	0.4535	0.1073	0.1676	0.354	No
NM_003897	chr6	-	30818954	30820306	IER3	0.2225	0.4681	0.1036	-0.2374	0.1021	-0.6988	No
NM_006764	chr3	-	50300168	50305030	IFRD2	0.315	0.5764	0.4222	0.5955	0.4762	0.1954	Yes
NM_001552	chr17	+	35853201	35867508	IGFBP4	0.7433	1.3376	1.6444	1.8574	1.4482	1.281	Yes
NM_001555	chrX	-	130235162	130251039	IGSF1	0.2087	0.2881	0.6065	0.6841	0.7095	2.2806	No
NM_172200	chr10	-	6034339	6060148	IL15RA	0.7617	0.0882	-0.0481	0.4899	0.2197	-0.0665	Yes
NM_018725	chr3	+	53855616	53874867	IL17RB	0.7218	0.687	0.8179	1.1884	0.9729	1.309	Yes
NM_004843	chr19	+	14003261	14025026	IL27RA	-0.0738	0.4721	0.5615	0.2685	0.252	0.3193	Yes
NM_001012631	chr16	+	3055313	3059669	IL32	0.2651	0.5213	0.1307	0.0473	-0.3664	-0.8631	No
NM_033416	chr2	+	130816958	130820667	IMP4	0.1943	0.4764	0.3413	0.1737	0.1495	-0.0217	Yes
NM_024658	chr14	-	23719264	23727964	IPO4	0.2837	0.6546	0.492	0.4863	0.4113	0.3889	Yes
NM_002163	chr16	+	84490274	84513712	IRF8	0.1889	0.5449	0.125	0.3797	0.0187	-0.1158	No
NM_024337	chr5	+	3649167	3654517	IRX1	0.0597	0.6068	0.2251	-0.0335	0.0142	0.0773	No
NM_002201	chr15	+	86983042	86999883	ISG20	0.1432	0.508	0.5209	0.1581	0.3362	1.1007	Yes
NM_024710	chr19	-	60656156	60664861	ISOC2	0.3059	0.3806	0.486	0.172	0.3364	0.4986	Yes
NM_014288	chr1	-	63679049	63761423	ITGB3BP	0.4229	0.5082	0.2347	0.3101	0.8096	1.2207	Yes
NM_002217	chr3	+	52803823	52818065	ITIH3	0.492	0.2173	0.2145	0.1102	0.0885	-0.1732	No
NM_023007	chr1	-	225985513	225989735	JMJD4	0.3776	0.5614	0.217	0.1844	-0.1014	-0.1789	Yes
NM_005886	chr16	+	56327160	56348663	KATNB1	0.1717	0.5149	0.154	0.102	0.0288	0.0572	Yes
NM_002236	chr2	+	10969513	10971802	KCNF1	1.0883	0.7825	0.7255	0.3548	0.2376	0.321	Yes
NM_022358	chr20	+	42807901	42813082	KCNK15	0.298	0.647	0.5223	0.2324	-9.00E-04	0.308	Yes
NM_032115	chr6	-	39390452	39398308	KCNK16	0.3482	0.5142	0.0817	0.1784	-0.1994	-0.0769	No
NM_003740	chr6	-	39264724	39305229	KCNK5	2.1046	0.8669	0.1117	0.5908	0.5759	1.0335	Yes
NM_004823	chr19	+	43502323	43511489	KCNK6	1.1713	0.3472	0.456	0.5536	0.0319	0.2198	Yes
NM_000221	chr2	+	27163114	27177123	KHK	0.2182	0.4736	0.1969	0.318	0.3777	0.4697	Yes
NM_201628	chr1	+	14797799	15317131	KIAA1026	0.5533	0.3822	0.2312	0.2909	-0.1072	-0.0706	No
NM_032551	chr19	+	868341	872015	KISS1R	0.2745	0.3014	0.227	0.0063	-0.0269	0.0667	No
NM_001093772	chr4	+	55218851	55301638	KIT	0.5213	0.1705	0.5243	0.3608	0.2873	0.3289	Yes
NM_006563	chr19	-	12856236	12859017	KLF1	0.6495	0.2665	0.0018	0.0976	-0.128	-0.1169	Yes
NM_031918	chr19	-	1803398	1814564	KLF16	0.2021	0.4377	0.4126	0.0685	0.0883	-0.1811	Yes
NM_014851	chr1	-	6573370	6585516	KLHL21	0.7422	0.4831	0.5509	0.1801	0.0915	-0.2048	Yes
NM_022046	chr19	-	56272965	56279314	KLK14	0.2085	0.3804	0.3757	-0.2675	-0.2234	0.1354	No
NM_000893	chr3	+	187917813	187944437	KNG1	0.3933	0.4257	0.2559	0.1938	0.0291	0.0167	No
NM_153490	chr17	-	36910758	36915391	KRT13	0.646	0.8659	0.7477	0.6739	0.6886	0.808	No
NM_002276	chr17	-	36933394	36938167	KRT19	0.2461	0.3353	0.2849	0.1563	0.092	0.0973	Yes
NM_000226	chr17	-	36975619	36981836	KRT9	-0.1712	0.4723	0.512	0.3724	0.054	0.2184	No
NM_001010857	chr1	+	151442542	151444220	LELP1	0.57	0.1895	0.1436	0.299	-0.1234	-0.2071	No
NM_198988	chr19	-	59664790	59666706	LENG9	0.3105	0.4219	0.0624	-0.0111	0.024	-0.1063	Yes
NM_012318	chr4	-	1783003	1827772	LETM1	0.3866	0.6521	0.3939	0.0239	0.1552	0.0312	Yes
NM_033343	chr1	+	178466064	178510811	LHX4	0.7155	0.0183	0.1927	0.0847	0.1436	0.3372	Yes
NM_017980	chr2	-	128112466	128138637	LIMS2	0.2055	0.2401	0.409	0.0664	0.0806	0.0399	No
NM_022458	chr7	-	156166330	156378663	LMBR1	0.1998	0.3033	0.7101	0.9006	1.5669	2.2545	Yes
NM_001101340	chr19	+	54883753	54886059	LOC199800	0.1976	0.3849	0.3949	0.1713	-0.1477	0.1286	Yes
NM_001012706	chr14	-	49518179	49543988	LOC283551	0.7575	0.6725	0.6824	0.6083	0.377	0.3659	Yes
NR_015366	chr20	-	36482680	36497376	LOC388796	0.3155	0.5663	0.4227	0.4559	0.1134	-0.4984	Yes
NM_001037666	chr22	-	29011106	29015616	LOC652968	1.6258	0.6643	0.1363	0.3754	0.1525	0.7549	Yes
NM_032603	chr2	-	74613453	74634570	LOXL3	-0.0003	0.5829	0.3826	0.5506	0.0349	0.5314	Yes
NM_024036	chr11	+	66381451	66384522	LRFN4	0.0654	0.6199	0.5086	0.4509	0.4001	-0.1843	Yes
NM_002333	chr19	+	38377438	38391607	LRP3	0.1919	0.6291	0.4748	-0.1013	-0.0706	-0.5804	Yes
NM_033300	chr1	-	53483799	53566409	LRP8	0.2549	0.29	0.3865	0.6075	0.7203	0.2106	Yes
NM_198565	chr3	+	197851052	197873271	LRRC33	0.5309	0.3993	0.0245	0.1723	-0.0825	-0.2003	No
NM_023942	chr7	+	149651228	149666177	LRRC61	0.1064	0.5368	0.3759	0.1433	-0.203	-0.4421	Yes
NM_002339	chr11	+	1830775	1870069	LSP1	0.2736	0.3205	0.2572	0.0342	-0.1847	-0.0852	No
NM_002347	chr8	-	144310706	144312832	LY6H	0.8491	0.2955	0.1708	0.2803	0.2595	0.1787	No
NM_017816	chr4	-	4320331	4342797	LYAR	0.3862	0.5301	0.7063	0.8	1.2024	0.3771	Yes
NM_005461	chr20	-	38747930	38751290	MAFB	0.3665	0.1448	0.5567	0.6986	0.5048	1.2387	Yes
NM_001113482	chr1	+	38032360	38039865	MANEAL	0.4762	0.63	0.5682	0.2672	0.3498	0.0192	Yes
NM_004635	chr3	+	50629604	50661723	MAPKAPK3	0.1187	0.4419	0.4136	0.2854	0.2248	-0.147	Yes
NM_032844	chr10	+	27483722	27515854	MASTL	0.4296	0.1588	0.2318	0.4257	0.7523	0.8735	Yes
NM_030592	chr20	-	43355500	43370381	MATN4	0.4935	0.4197	0.4252	0.1342	0.0643	-0.1651	No
NM_001080480	chr6	-	20208913	20320649	MBOAT1	0.5698	0.2395	0.2883	0.5014	0.7409	1.2663	Yes
NM_014507	chr22	-	41858155	41869347	MCAT	0.3177	0.3558	0.1771	-0.2785	-0.2946	0.0177	Yes
NM_182751	chr10	+	13243586	13293110	MCM10	0.2059	0.0957	0.5549	0.7116	0.8445	1.268	Yes
NM_004526	chr3	+	128799942	128823968	MCM2	0.1114	0.4521	0.4244	0.5204	0.532	0.9694	Yes
NM_006739	chr22	+	34126115	34150495	MCM5	0.2055	0.4238	0.5618	0.3241	0.577	0.9323	Yes
NM_005916	chr7	-	99528339	99537363	MCM7	0.1449	0.2603	0.5616	0.6735	0.5818	0.8967	Yes
NM_005371	chr12	-	56448617	56452181	METTL1	0.305	0.602	0.4956	0.3071	0.4123	0.2505	Yes
NM_024770	chr2	-	171882158	171999558	METTL8	0.0082	0.5065	0.3837	0.5335	0.7822	0.4536	Yes
NM_152706	chr7	-	88261355	88262967	MGC26647	0.1666	0.3732	0.4076	0.0478	-0.0061	-0.0441	No
NM_014632	chr11	+	12088713	12241907	MICAL2	0.3428	0.1131	0.3439	0.189	0.2295	0.0724	Yes
NM_005931	chr6	+	31573833	31586880	MICB	0.7323	0.0058	0.1501	0.2915	0.6584	0.4719	No
NM_032390	chr2	-	122200991	122210973	MKI67IP	0.4931	0.3041	0.2897	0.4684	0.2563	-0.0031	Yes
NM_152649	chr16	-	73263253	73292290	MLKL	0.0029	0.1214	0.7063	0.757	0.3819	0.4283	Yes
NM_032953	chr7	-	72645459	72676806	MLXIPL	0.5965	0.2532	0.0362	-0.1713	-0.1129	0.236	Yes
NM_015506	chr1	+	45738442	45749326	MMACHC	0.349	0.4243	0.3609	-0.1062	-0.0339	0.5754	Yes
NM_032355	chr3	-	49921306	49942449	MON1A	0.596	0.6927	0.3151	0.6178	0.3747	-0.0739	Yes
NM_005791	chr2	+	71210951	71230738	MPHOSPH10	0.9682	0.1945	0.3312	0.3368	1.0415	-0.3005	Yes
NM_002435	chr15	+	72969462	72977618	MPI	0.1768	0.3528	0.2677	0.0401	-0.2643	-0.0317	Yes
NM_005374	chr17	-	39308252	39340639	MPP2	0.1069	0.587	0.2534	0.0084	-0.0075	0.0599	No
NM_021126	chr22	+	35745647	35755809	MPST	0.3641	0.6835	0.6179	0.0266	0.239	0.1918	Yes
NM_018000	chr2	-	216515558	216586591	MREG	0.5001	0.429	0.7295	0.6439	1.0179	1.2135	Yes
NM_020236	chr4	+	79002828	79092968	MRPL1	0.3941	0.3499	0.1008	0.3294	0.5933	0.2027	Yes
NM_002949	chr17	+	77280811	77284953	MRPL12	0.3571	0.1766	0.3983	0.1389	0.0779	0.122	Yes
NM_032111	chr6	-	44189349	44203169	MRPL14	0.2973	0.4026	0.4145	0.1643	0.2251	0.3255	Yes
NM_022061	chr11	-	6658191	6661208	MRPL17	0.242	0.2073	0.3727	0.1179	0.3594	0.5134	Yes
NM_023937	chr19	+	17277476	17278652	MRPL34	0.203	0.5892	0.207	-0.1665	-0.0485	0.2023	Yes
NM_146388	chr19	+	10223639	10231736	MRPL4	0.2653	0.473	0.2709	0.1238	0.1569	-0.0108	Yes
NM_033362	chr19	+	44113187	44115499	MRPS12	0.2624	0.461	0.1657	0.1467	0.0748	-0.1902	Yes
NM_016034	chr9	+	137532303	137536340	MRPS2	0.2704	0.5341	0.3498	0.3026	0.1826	-0.1036	Yes
NM_016070	chr17	-	53271840	53282398	MRPS23	0.4282	0.2595	0.2736	0.0591	0.2017	0.6129	Yes
NM_016183	chr1	+	19450661	19459209	MRTO4	0.2466	0.4305	0.5596	0.2752	0.2823	0.3198	Yes
NM_018116	chr1	+	153846630	153851382	MSTO1	0.1362	0.5458	0.294	0.3071	0.4117	0.1373	Yes
NM_016498	chr22	+	29151719	29155041	MTP18	0.5202	0.8977	0.5954	0.4691	0.3665	0.3894	Yes
NM_005375	chr6	+	135544145	135582003	MYB	0.0459	0.2975	0.9178	1.0279	1.0243	1.6624	Yes
NM_014520	chr17	-	4388939	4405430	MYBBP1A	0.0894	1.0046	0.2764	0.5083	0.1848	-0.1791	Yes
NM_001080416	chr8	-	67636963	67688034	MYBL1	2.223	1.4325	2.1033	2.9136	3.1877	2.0832	Yes
NM_002466	chr20	+	41729122	41778536	MYBL2	0.1467	0.4674	0.3882	0.2438	0.4603	0.7521	Yes
NM_002467	chr8	+	128817496	128822860	MYC	0.4836	0.5321	0.4949	0.5556	0.5386	0.3803	Yes
NM_016069	chr16	-	4330252	4341301	Magmas	0.4363	0.5279	0.2468	0.1824	0.2122	-0.0352	Yes
NM_005967	chr12	+	55768943	55775526	NAB2	0.0591	0.5722	0.492	0.491	0.1912	0.2375	Yes
NM_018161	chr11	+	70841864	70890229	NADSYN1	0.3124	0.3069	0.2055	0.1494	0.1977	0.194	Yes
NM_001098622	chr19	+	13848949	13852571	NANOS3	0.1374	0.7525	-0.0883	0.1035	-0.4864	0.021	No
NM_024662	chr11	+	34083686	34125033	NAT10	-0.0763	0.3521	0.5646	0.344	0.339	0.5064	Yes
NM_178557	chr4	+	2031384	2037433	NAT8L	0.5809	0.5946	0.1366	0.0716	0.4137	-0.1127	Yes
NM_182744	chr1	+	19842312	19857532	NBL1	0.3217	0.3736	0.3079	0.3069	0.2705	0.1554	No
NM_016101	chr16	+	67931046	67934510	NIP7	0.38	0.041	0.5898	0.4068	0.4143	0.7594	Yes
NM_001014445	chr17	-	30482480	30493435	NLE1	0.3174	0.8425	0.1771	0.4424	0.1763	-0.0725	Yes
NM_022451	chr10	-	96082978	96112673	NOC3L	0.385	0.7066	0.7849	0.942	0.8288	-0.2509	Yes
NM_024078	chr12	+	131194945	131202939	NOC4L	0.3452	0.6734	-0.0635	0.134	0.2662	-0.0564	Yes
NM_139235	chr9	-	33451350	33463941	NOL6	0.5217	0.7918	0.2663	0.4118	0.2893	-0.2306	Yes
NM_017948	chr9	-	94099460	94127697	NOL8	0.4856	0.5668	0.1268	0.3001	0.6172	-0.4941	Yes
NM_004741	chr10	+	103901922	103913617	NOLC1	0.071	0.2315	0.6171	0.4498	0.7989	0.6511	Yes
NM_000270	chr14	+	20007381	20015088	NP	0.299	0.6093	0.5744	0.2399	0.4826	0.9392	Yes
NM_006993	chr10	-	103531072	103533160	NPM3	0.1579	0.4273	0.5622	0.2993	0.4408	0.3369	Yes
NM_000909	chr4	-	164464566	164473198	NPY1R	1.6717	1.4856	1.9764	3.1104	2.9735	4.0227	Yes
NM_001004354	chr9	-	139313903	139316524	NRARP	0.3956	0.1615	0.5263	0.6894	0.5514	0.3789	Yes
NM_003489	chr21	-	15255426	15358997	NRIP1	0.5977	0.6369	0.4839	1.0821	1.5147	0.6363	Yes
NM_148956	chr7	-	72355161	72360759	NSUN5	0.4056	0.6541	0.3141	0.2001	0.116	-0.0501	Yes
NM_001039576	chr7	+	74877581	74884001	NSUN5B	0.2176	0.5431	0.1195	0.1191	0.1633	-0.1924	No
NM_148936	chr7	-	72056767	72063222	NSUN5C	0.2126	0.487	0.1691	0.0931	0.2211	-0.1708	Yes
NM_020201	chr17	+	17147404	17191702	NT5M	0.4989	0.3898	0.3535	-0.0176	-0.0541	0.0786	Yes
NM_002528	chr16	-	2029816	2037868	NTHL1	0.0866	0.5026	0.4339	0.0022	0.0772	0.1076	Yes
NM_032536	chr9	+	134027154	134108041	NTNG2	0.5491	0.1878	0.3556	0.149	-0.2169	-0.0994	No
NM_012345	chr13	-	44411383	44461613	NUFIP1	0.5822	-0.0508	0.3635	0.3939	0.2367	0.0386	Yes
NM_138285	chr2	+	183697327	183734653	NUP35	1.0645	-0.0251	0.6328	0.6813	0.5795	0.5147	Yes
NM_013248	chr20	+	23279372	23283408	NXT1	0.6575	0.5972	0.5758	0.3321	0.3121	0.2154	Yes
NM_000275	chr15	-	25673615	26018053	OCA2	0.3854	0.4944	0.0171	0.1463	-0.0192	0.0469	No
NM_017855	chr4	+	71096832	71104882	ODAM	0.4461	0.286	0.177	-0.1543	-0.1935	0.1729	No
NM_020190	chr1	+	114323552	114326398	OLFML3	0.5942	-0.1765	0.5188	0.3013	0.0554	0.2472	Yes
NM_001080488	chr19	+	1704661	1726444	ONECUT3	0.1999	0.4686	0.3126	-0.1738	0.0857	0.0985	No
NR_002140	chr7	-	142469502	142471004	OR6W1P	0.5711	0.3361	-0.0203	-0.0712	-0.0593	-0.1296	No
NM_012377	chr19	+	14913300	14914260	OR7C2	0.9383	0.0374	0.0482	-0.0262	-0.094	-0.1098	No
NM_012381	chr6	+	88356561	88433887	ORC3L	0.2369	0.4504	0.1245	0.2092	0.3717	-0.0699	Yes
NM_014321	chr16	+	45281058	45289807	ORC6L	0.5381	0.2176	0.3952	0.5689	0.7282	1.1247	Yes
NM_013370	chr16	+	82540172	82557438	OSGIN1	0.761	0.3658	0.0925	0.1252	-0.0898	-0.2117	Yes
NM_016023	chr8	+	92151599	92168499	OTUD6B	0.5309	0.4823	0.0184	0.6768	0.9137	0.0662	Yes
NM_014562	chr2	+	63131468	63137816	OTX1	0.4811	0.3498	0.1484	-0.154	0.0276	0.2527	Yes
NM_002561	chr17	-	3523270	3546332	P2RX5	0.1758	0.3247	0.5257	0.4223	0.6026	0.2396	Yes
NM_002563	chr3	+	154035425	154038533	P2RY1	0.2626	0.2275	0.3423	0.1897	-0.0862	0.0697	No
NM_176072	chr11	+	72606991	72625043	P2RY2	1.2175	-0.0512	0.0889	-0.1473	-0.3237	-0.9123	Yes
NM_016233	chr1	+	17448179	17483314	PADI3	0.2252	0.5702	0.4982	-0.085	-0.2747	0.2101	No
NM_152341	chr16	+	2959342	2963486	PAQR4	0.251	0.5089	0.2783	0.3919	0.3604	0.4226	Yes
NM_018492	chr8	-	27723056	27751268	PBK	0.4593	0.0695	0.3457	0.8441	1.6578	1.9904	Yes
NM_018909	chr5	+	140187833	140372113	PCDHA6	0.284	0.2748	0.3591	0.2398	-0.1343	0.1747	Yes
NM_013363	chr3	-	144019400	144090624	PCOLCE2	0.0874	0.4944	0.4484	0.602	0.054	0.2802	Yes
NM_006198	chr21	+	40161216	40223192	PCP4	1.1289	1.0086	0.9275	1.4154	2.4748	2.6598	No
NM_024028	chr5	+	148717762	148729414	PCYOX1L	0.2736	0.5691	0.365	0.3556	0.0999	0.0798	Yes
NM_032346	chr19	+	39587142	39608912	PDCD2L	0.2994	0.7121	0.4283	0.4257	0.6417	0.4721	Yes
NM_014317	chr10	+	27026600	27075732	PDSS1	0.0546	0.3038	0.4551	0.4874	0.5072	0.4395	Yes
NM_020315	chr22	+	36384682	36392885	PDXP	0.626	0.6272	0.1832	0.6973	0.2166	0.1696	Yes
NM_002614	chr1	+	144439082	144475430	PDZK1	0.1984	0.2763	0.4837	0.7792	1.2317	1.946	Yes
NM_014389	chr17	-	4521427	4554381	PELP1	0.1508	0.7012	0.113	0.0743	0.0726	0.1728	Yes
NM_012393	chr17	+	8093320	8114533	PFAS	0.0576	0.5451	0.3047	0.3819	0.6371	0.6436	Yes
NM_052890	chr19	-	15440456	15451315	PGLYRP2	0.6602	0.4526	0.2667	-0.0512	0.1599	0.2195	Yes
NM_020393	chr1	-	151569220	151587646	PGLYRP4	0.2336	0.2672	0.417	0.4115	-0.1619	0.4549	No
NM_000926	chr11	-	100405564	100505754	PGR	0.6424	0.5902	0.5075	0.9168	1.2816	1.8275	Yes
NM_032758	chr22	-	40185666	40194654	PHF5A	0.3048	0.4455	0.305	-0.0495	0.1818	0.3571	Yes
NM_007350	chr12	-	74705493	74711823	PHLDA1	0.2593	0.2075	0.5847	0.6405	0.2836	-0.0168	Yes
NM_002644	chr1	-	205168491	205186434	PIGR	0.369	0.2878	0.2464	0.0813	-0.0118	0.0063	No
NM_002648	chr6	+	37245899	37251180	PIM1	0.2064	0.1355	0.462	0.5385	0.1839	0.0804	Yes
NM_017884	chr8	-	10660293	10734709	PINX1	0.6145	0.3363	0.0194	0.264	0.0351	0.4392	Yes
NM_014338	chr22	-	30344478	30356810	PISD	0.2717	0.277	0.3314	0.218	0.0476	0.179	Yes
NM_002653	chr5	-	134391322	134397863	PITX1	0.4416	0.5399	0.3026	0.2212	0.2609	-0.0999	Yes
NM_005029	chr10	-	103979935	103991221	PITX3	0.2526	0.5587	0.2061	-0.0884	0.124	0.0657	No
NM_181794	chr6	+	122834760	123089217	PKIB	0.8763	1.6213	1.6282	1.8122	2.2547	3.1341	Yes
NM_004203	chr16	-	2962792	2970475	PKMYT1	0.189	0.5351	0.4425	0.4607	0.6336	0.7111	Yes
NM_021796	chrX	-	133527538	133620179	PLAC1	0.6663	0.9674	0.6308	0.692	0.5993	0.8406	Yes
NM_000935	chr3	-	147269917	147361972	PLOD2	0.1791	0.3506	0.6159	1.063	1.0175	0.0839	Yes
NM_021127	chr18	+	55718171	55722518	PMAIP1	0.7821	0.3961	0.5559	1.281	1.0265	1.054	Yes
NM_015160	chr9	+	138424936	138438034	PMPCA	0.1667	0.3956	0.2309	-0.1266	0.0129	0.2378	Yes
NM_033109	chr2	-	55714701	55774515	PNPT1	0.4362	0.4387	0.4575	0.7188	0.8908	0.1529	Yes
NM_015720	chr3	+	128830728	128874342	PODXL2	0.3227	0.3938	0.3051	0.375	0.1652	-0.1539	Yes
NM_001127218	chr7	-	44120810	44129672	POLD2	0.1378	0.4752	0.4137	0.1829	0.5724	0.6022	Yes
NM_002692	chr14	-	49180028	49224685	POLE2	0.3044	-0.0235	0.5574	0.9771	1.0845	0.6478	Yes
NM_019014	chr2	+	113015962	113051198	POLR1B	0.5226	0.3435	0.2724	0.4101	0.2531	0.3296	Yes
NM_004875	chr6	+	43592768	43605092	POLR1C	0.5551	0.2975	0.4028	0.3017	0.205	0.0307	Yes
NM_012230	chr7	-	76077238	76094556	POMZP3	0.3099	0.5301	0.4711	0.4053	0.2967	0.2498	Yes
NM_020230	chr19	+	10077964	10082975	PPAN	0.3708	0.5082	0.2174	0.2016	0.2977	-0.0189	Yes
NM_003660	chr19	+	54314474	54346092	PPFIA3	0.0876	0.5636	0.1785	-0.0293	-0.0647	-0.0938	Yes
NM_005729	chr10	+	80777225	80785095	PPIF	0.8984	0.7071	0.8657	1.0393	1.2509	2.2445	Yes
NM_032192	chr17	+	35036704	35046403	PPP1R1B	0.0424	0.5248	0.8446	-0.0415	0.5257	-0.0433	No
NM_015062	chr10	+	103882776	103900080	PPRC1	0.4821	0.4624	0.5923	0.5045	0.5486	-0.0207	Yes
NM_023013	chr1	+	12774132	12778810	PRAMEF1	0.1512	0.5633	0.2364	-0.1676	-0.2494	0.0659	No
NM_000946	chr12	-	55411630	55432413	PRIM1	0.3032	0.3571	0.4916	0.5439	0.9097	1.8497	Yes
NM_002761	chr16	-	11282193	11282693	PRM1	0.4359	0.1138	0.367	0.2065	0.0425	0.1688	No
NM_006109	chr14	-	22459572	22468501	PRMT5	0.0824	0.5422	0.3238	0.2136	0.3006	0.3113	Yes
NM_144773	chr20	-	5230685	5243015	PROKR2	0.3571	0.29	0.2271	0.0808	0.1111	-0.0433	No
NM_006261	chr5	-	177351841	177355849	PROP1	0.3429	0.4239	0.1606	0.0742	-0.0587	-0.0927	No
NM_001017528	chr22	+	43443256	43512225	PRR5	-0.0546	0.5264	0.4065	0.2686	-0.0263	-0.5308	No
NM_030567	chr5	+	176806401	176815889	PRR7	0.2319	0.48	0.3723	-0.2005	0.0623	-0.6029	Yes
NM_007173	chr11	+	86189138	86199921	PRSS23	0.2069	0.5077	1.0187	1.2454	1.6957	1.5816	Yes
NM_032302	chr7	-	1573494	1576155	PSMG3	0.2063	0.4757	0.1773	-0.0193	0.1011	0.0412	Yes
NM_030783	chr11	+	440279	481387	PTDSS2	0.1796	0.3616	0.43	-0.1837	-0.2802	-0.68	Yes
NM_133170	chr20	-	40134805	41251971	PTPRT	0.2662	0.6631	0.1097	-0.182	0.0613	0.0812	No
NM_001002020	chr12	+	130979741	130994357	PUS1	0.5643	0.6543	0.6759	0.6914	0.9987	0.6606	Yes
NM_153339	chr1	+	1233856	1236920	PUSL1	0.359	0.4796	0.3704	-0.0157	0.0229	-0.2112	Yes
NM_153824	chr17	-	77483557	77488259	PYCR1	0.237	0.654	0.6523	0.4932	0.1952	0.0777	Yes
NM_023078	chr8	-	144757225	144762907	PYCRL	0.3236	1.1993	0.5857	0.4686	0.2619	0.1568	Yes
NM_022449	chr2	-	238147703	238164475	RAB17	0.2832	0.6932	0.0062	0.3015	0.2799	0.4719	Yes
NM_006868	chr18	+	9698227	9852553	RAB31	0.7756	0.9093	1.3609	1.4382	1.8043	2.8743	Yes
NM_002866	chr19	-	18168610	18175874	RAB3A	0.6919	0.6582	0.4842	0.1691	0.152	-0.5093	Yes
NM_005856	chr7	+	45163891	45190375	RAMP3	0.2136	1.1889	1.7583	2.2276	2.9386	3.3252	No
NM_016339	chr17	+	35587767	35605432	RAPGEFL1	1.131	1.4526	1.1531	1.4443	1.6831	1.775	Yes
NM_000964	chr17	+	35718971	35767420	RARA	0.3699	0.3533	0.2434	0.4594	0.3556	0.1889	No
NM_001128602	chr15	-	36567593	36644299	RASGRP1	0.6132	0.1125	0.6968	0.7737	1.1996	-0.5121	Yes
NM_006477	chr22	-	28038921	28041748	RASL10A	0.0802	0.727	0.0187	0.0288	0.0035	-0.4384	Yes
NM_133452	chr19	-	10287888	10305314	RAVER1	0.1691	0.514	0.4147	0.2672	-0.0949	-0.1841	Yes
NM_153020	chr6	+	17390910	17402076	RBM24	0.4218	0.2264	0.7095	0.9442	0.3458	1.2126	Yes
NM_052960	chr1	+	9979841	9998664	RBP7	0.4151	1.0715	1.0031	1.0289	1.2591	1.9662	No
NM_005772	chr9	+	4782833	4851064	RCL1	0.4629	0.0686	0.3153	0.317	0.6088	0.8746	Yes
