Gene ID	Description	Functional class	Comment	SG enrichment (log2-fold)
AAEL012905	conserved hypothetical protein	DIV		0.890330928
AAEL012555	maltose phosphorylase	DIV		0.889937938
AAEL012805	hypothetical protein	DIV		0.889044659
AAEL014358	conserved hypothetical protein	DIV		0.885870582
AAEL008685	lim homeobox protein	DIV		0.88499137
AAEL007231	conserved hypothetical protein	DIV		0.883765024
AAEL002008	abrupt protein	DIV		0.883301182
AAEL011924	conserved hypothetical protein	DIV		0.883071234
AAEL001421	high density lipoprotien binding protein / vigilin	DIV		0.882520738
AAEL010527	endo beta n-acetylglucosaminidase	DIV		0.881675531
AAEL001746	juvenile hormone resistance protein	DIV		0.881556475
AAEL004279	hypothetical protein	DIV		0.881223697
AAEL012299	protein phosphatase 2c	DIV		0.880556007
AAEL002342	conserved hypothetical protein	DIV		0.880419594
AAEL003019	conserved hypothetical protein	DIV		0.879795435
AAEL000290	conserved hypothetical protein	DIV		0.878797634
AAEL011028	conserved hypothetical protein	DIV		0.878747004
AAEL002266	p15-2b protein, putative	DIV		0.878472201
AAEL012594	nuclear lamin L1 alpha, putative	DIV		0.876176625
AAEL000205	conserved hypothetical protein	DIV		0.875573183
AAEL014373	dopamine receptor, invertebrate	DIV		0.875363688
AAEL009960	conserved hypothetical protein	DIV		0.874916619
AAEL005069	raslated protein Rab-1A, putative	DIV		0.874178811
AAEL014687	conserved hypothetical protein	DIV		0.872727409
AAEL008170	conserved hypothetical protein	DIV		0.872487226
AAEL001714	p15-2a protein, putative	DIV		0.872090646
AAEL014815	vacuolar protein sorting-associated protein (vps13)	DIV		0.871913926
AAEL011881	conserved hypothetical protein	DIV		0.870850489
AAEL015487	zinc finger protein, putative	DIV		0.870666793
AAEL013155	conserved hypothetical protein	DIV		0.870178341
AAEL004565	adpbosylation factor, arf	DIV		0.869940524
AAEL001120	conserved hypothetical protein	DIV		0.869728739
AAEL008655	cardioacceleratory peptide receptor	DIV		0.869303438
AAEL011578	serine/threonine protein kinase	DIV		0.867921472
AAEL008524	conserved hypothetical protein	DIV		0.867271091
AAEL002341	conserved hypothetical protein	DIV		0.866839212
AAEL009875	alanine aminotransferase	DIV		0.865863796
AAEL007203	conserved hypothetical protein	DIV		0.864226907
AAEL001459	deltex, putative	DIV		0.861047248
AAEL004860	acireductone dioxygenase	DIV		0.86061617
AAEL011840	conserved hypothetical protein	DIV		0.86055915
AAEL014768	glutamate synthase	DIV		0.859832726
AAEL014578	ssm4 protein	DIV		0.85917068
AAEL003016	hypothetical protein	DIV		0.859153861
AAEL006219	heparan sulfate 2-o-sulfotransferase	DIV		0.858543858
AAEL013000	conserved hypothetical protein	DIV		0.858226564
AAEL007627	hypothetical protein	DIV		0.857892296
AAEL005239	gh regulated tbc protein-1	DIV		0.857766727
AAEL011798	allergen, putative	DIV		0.856560799
AAEL005600	conserved hypothetical protein	DIV		0.856174227
AAEL014434	conserved hypothetical protein	DIV		0.855976563
AAEL008450	conserved hypothetical protein	DIV		0.855232291
AAEL011675	hypothetical protein	DIV		0.8551931
AAEL011844	5-hydroxytryptamine receptor 1	DIV		0.855071478
AAEL016997	GPCR Gastrin/Bombesin Family	DIV		0.854527578
AAEL012240	protein transport protein sec13	DIV		0.854080946
AAEL006567	max binding protein, mnt	DIV		0.852999505
AAEL004204	conserved hypothetical protein	DIV		0.852984679
AAEL012230	flagellar protein, putative	DIV		0.851950756
AAEL001108	protein kinase c	DIV		0.851472132
AAEL007513	conserved hypothetical protein	DIV		0.850304495
AAEL007538	conserved hypothetical protein	DIV		0.850300752
AAEL001669	hypothetical protein	DIV		0.849815095
AAEL014011	conserved hypothetical protein	DIV		0.848200873
AAEL011860	hypothetical protein	DIV		0.848187136
AAEL006054	peptidyl-prolyl cis-trans isomerase (cyclophilin)	DIV		0.847381649
AAEL000554	fasciclin, putative	DIV		0.847011289
AAEL013736	conserved hypothetical protein	DIV		0.846598485
AAEL012879	hypothetical protein	DIV		0.846066907
AAEL004367	conserved hypothetical protein	DIV		0.845354523
AAEL009230	conserved hypothetical protein	DIV		0.845045454
AAEL003958	neurotransmitter gated ion channel	DIV		0.844243683
AAEL001125	p15-2b protein, putative	DIV		0.843913399
AAEL013565	hypothetical protein	DIV		0.843688586
AAEL004218	conserved hypothetical protein	DIV		0.843145091
AAEL008929	furrowed	DIV		0.841710546
AAEL013750	conserved hypothetical protein	DIV		0.840010539
AAEL014226	hypothetical protein	DIV		0.839648787
AAEL001247	conserved hypothetical protein	DIV		0.839216235
AAEL006977	serine/threonine protein phosphatase 2a regulatory subunit a	DIV		0.839006732
AAEL006366	conserved hypothetical protein	DIV		0.838986341
AAEL009281	protein arginine n-methyltransferase	DIV		0.838288014
AAEL011121	endoplasmic reticulumsident kdel protein	DIV		0.838228927
AAEL001930	pra1 protein	DIV		0.837939374
AAEL011027	conserved hypothetical protein	DIV		0.837594268
AAEL007072	conserved hypothetical protein	DIV		0.837538925
AAEL004114	UNC93A protein, putative	DIV		0.83689591
AAEL001236	conserved hypothetical protein	DIV		0.836376934
AAEL007688	serine/threonine protein kinase, putative	DIV		0.836014531
AAEL000672	cyclin a	DIV		0.835836357
AAEL003736	sec15	DIV		0.835370842
AAEL005790	malic enzyme	DIV		0.834733103
AAEL011460	conserved hypothetical protein	DIV		0.834714822
AAEL002690	beat protein	DIV		0.834253162
AAEL001557	mucolipin	DIV		0.834136149
AAEL001606	g protein-coupled receptor	DIV		0.833745921
AAEL001549	protein kinase c	DIV		0.832514795
AAEL014734	saccharopine dehydrogenase	DIV		0.831915203
AAEL004520	camp/cgmp cyclic nucleotide phosphodiesterase	DIV		0.830139092
AAEL002471	proto-oncogene tyrosine-protein kinase src	DIV		0.829975986
AAEL011663	conserved hypothetical protein	DIV		0.829775445
AAEL000505	conserved hypothetical protein	DIV		0.829384682
AAEL017414	GPCR Neurokinin/Tachykinin Family	DIV		0.827261603
AAEL004287	fas-associated protein	DIV		0.824964511
AAEL001226	conserved hypothetical protein	DIV		0.824732656
AAEL008550	conserved hypothetical protein	DIV		0.823901479
AAEL004195	membrane associated progesterone receptor	DIV		0.823516875
AAEL006973	ubiquitin conjugating enzyme 7 interacting protein	DIV		0.823202573
AAEL013896	smad4	DIV		0.822816289
AAEL005095	insl3/relaxin receptor	DIV		0.822408061
AAEL012576	pyruvate kinase	DIV		0.822098828
AAEL008109	cell fate determining protein mab21l2	DIV		0.821874798
AAEL002277	camp-dependent protein kinase type i-beta regulatory subunit	DIV		0.821276333
AAEL000592	hypothetical protein	DIV		0.820836463
AAEL000954	conserved hypothetical protein	DIV		0.818322943
AAEL001033	methyl-cpg binding protein, mbd	DIV		0.81746211
AAEL001527	conserved hypothetical protein	DIV		0.815821555
AAEL002949	Osiris, putative	DIV		0.815790077
AAEL007411	conserved hypothetical protein	DIV		0.815089652
AAEL013758	conserved hypothetical protein	DIV		0.814834639
AAEL006315	26S proteasome regulatory subunit rpn1	DIV		0.814693891
AAEL015553	5-hydroxytryptamine 2 receptor	DIV		0.814505338
AAEL009981	chaperone atp11p	DIV		0.814023399
AAEL008269	conserved hypothetical protein	DIV		0.813594342
AAEL006074	endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	DIV		0.813535795
AAEL002882	conserved hypothetical protein	DIV		0.812065246
AAEL011747	M protein type, putative	DIV		0.812013112
AAEL007282	syntaxin binding protein-1,2,3	DIV		0.809948926
AAEL014832	conserved hypothetical protein	DIV		0.809927125
AAEL011053	hypothetical protein	DIV		0.809704083
AAEL007665	hypothetical protein	DIV		0.809178545
AAEL010800	conserved hypothetical protein	DIV		0.808952388
AAEL002265	conserved hypothetical protein	DIV		0.808322137
AAEL009876	hypothetical protein	DIV		0.806158862
AAEL004217	conserved hypothetical protein	DIV		0.805880272
AAEL009826	phosphatidylinositol 3-kinase class	DIV		0.80547711
AAEL007835	serine/threonine protein kinase	DIV		0.804697289
AAEL011324	hypothetical protein	DIV		0.804319077
AAEL013070	conserved hypothetical protein	DIV		0.803087986
AAEL008602	conserved hypothetical protein	DIV		0.80203058
AAEL003413	f-spondin	DIV		0.801385154
AAEL000120	hypothetical protein	DIV		0.80126471
AAEL000912	conserved hypothetical protein	DIV		0.801156578
AAEL013366	conserved hypothetical protein	DIV		0.80110965
AAEL007682	conserved hypothetical protein	DIV		0.801003892
AAEL004845	conserved hypothetical protein	DIV		0.800818111
AAEL009641	ladybird homeobox corepressor	DIV		0.799899572
AAEL011839	hypothetical protein	DIV		0.798975778
AAEL002941	conserved hypothetical protein	DIV		0.796989236
AAEL009521	tyrosine-protein kinase	DIV		0.796633273
AAEL007350	expressed protein (HR83)	DIV		0.796482941
AAEL012938	zinc finger protein	DIV		0.79615269
AAEL013452	conserved hypothetical protein	DIV		0.795427141
AAEL011034	conserved hypothetical protein	DIV		0.795259166
AAEL000863	SPASIC protein, putative	DIV		0.795102619
AAEL007967	conserved hypothetical protein	DIV		0.793990368
AAEL011728	hypothetical protein	DIV		0.79390272
AAEL000329	conserved hypothetical protein	DIV		0.793749999
AAEL011813	conserved hypothetical protein	DIV		0.792887842
AAEL010879	conserved hypothetical protein	DIV		0.791822569
AAEL005425	conserved hypothetical protein	DIV		0.79172676
AAEL001982	endoplasmic reticulumsident kdel protein	DIV		0.790635219
AAEL012255	conserved hypothetical protein	DIV		0.788380199
AAEL009173	fasciclin ii (fas ii)	DIV		0.7871284
AAEL005378	set domain protein	DIV		0.785593234
AAEL000737	rab6 gtpase activating protein, gapcena (rabgap1 protein)	DIV		0.78526165
AAEL007804	semaphorin	DIV		0.784721823
AAEL002300	conserved hypothetical protein	DIV		0.784450841
AAEL005778	conserved hypothetical protein	DIV		0.783668114
AAEL006604	conserved hypothetical protein	DIV		0.783189686
AAEL011643	homothorax homeobox protein	DIV		0.782777167
AAEL010804	calcium/calmodulin-dependent protein kinase kinase	DIV		0.782467607
AAEL001617	conserved hypothetical protein	DIV		0.782182059
AAEL001302	expressed protein (HR39)	DIV		0.781704283
AAEL006377	conserved hypothetical protein	DIV		0.78167475
AAEL014183	conserved hypothetical protein	DIV		0.780278884
AAEL003924	hypothetical protein	DIV		0.779900507
AAEL003941	conserved hypothetical protein	DIV		0.779478048
AAEL004087	conserved hypothetical protein	DIV		0.778886337
AAEL006213	tartan protein, putative	DIV		0.778857098
AAEL009391	Misexpression suppressor of ras, putative	DIV		0.778773128
AAEL009364	cdc2l5	DIV		0.778438557
AAEL001890	hypothetical protein	DIV		0.777125257
AAEL006145	dynactin	DIV		0.77608013
AAEL000630	cardioacceleratory peptide 2a, putative	DIV		0.775973344
AAEL000603	conserved hypothetical protein	DIV		0.775746081
AAEL010692	OCP-II protein, putative	DIV		-5.908746467
AAEL002473	hypothetical protein	DIV		-5.628574218
AAEL014128	hypothetical protein	DIV		-5.600577896
AAEL010097	nuclein acid binding	DIV		-5.380618029
AAEL009962	hypothetical protein	DIV		-5.176673031
AAEL013338	lethal(2)essential for life protein, l2efl	DIV		-5.031651842
AAEL013510	smaug protein	DIV		-4.712413362
AAEL000776	conserved hypothetical protein	DIV		-4.597545975
AAEL002554	anosmin, putative	DIV		-4.498598276
AAEL000923	conserved hypothetical protein	DIV		-4.335303806
AAEL013344	lethal(2)essential for life protein, l2efl	DIV		-4.322413528
AAEL010670	lethal(2)essential for life protein, l2efl	DIV		-4.27144721
AAEL010583	ubiquitin conjugating enzyme 7 interacting protein	DIV		-4.202206884
AAEL001666	nucleic acid binding, zinc ion binding	DIV		-4.120706184
AAEL008076	PIWI	DIV		-4.019916727
AAEL006422	conserved hypothetical protein	DIV		-4.009842485
AAEL012545	proliferating cell nuclear antigen	DIV		-3.958365447
AAEL006607	Juvenile hormone-inducible protein, putative	DIV		-3.866549538
AAEL014001	yellow protein precursor, putative	DIV		-3.854814756
AAEL009654	hypothetical protein	DIV		-3.803738136
AAEL004048	UNC93A protein, putative	DIV		-3.767945595
AAEL008595	conserved hypothetical protein	DIV		-3.719870664
AAEL003235	conserved hypothetical protein	DIV		-3.549215214
AAEL012532	tetraspanin 29fb	DIV		-3.483242845
AAEL008678	conserved hypothetical protein	DIV		-3.477753169
AAEL011870	rap55	DIV		-3.405140366
AAEL002417	troponin t, invertebrate	DIV		-3.398367441
AAEL009973	hypothetical protein	DIV		-3.377043523
AAEL013799	hypothetical protein	DIV		-3.359151282
AAEL013231	hypothetical protein	DIV		-3.330839562
AAEL012646	conserved hypothetical protein	DIV		-3.307872185
AAEL005938	hypothetical protein	DIV		-3.287599228
AAEL012865	conserved hypothetical protein	DIV		-3.268559039
AAEL012107	conserved hypothetical protein	DIV		-3.232140485
AAEL005288	conserved hypothetical protein	DIV		-3.210435127
AAEL002920	hypothetical protein	DIV		-3.201914863
AAEL014180	conserved hypothetical protein	DIV		-3.190188436
AAEL010205	conserved hypothetical protein	DIV		-3.18303824
AAEL014440	Juvenile hormone-inducible protein, putative	DIV		-3.174226822
AAEL007594	conserved hypothetical protein	DIV		-3.123765052
AAEL013596	phosphatidylinositol 3-kinase regulatory subunit	DIV		-3.120838986
AAEL006712	serine/threonine protein kinase	DIV		-3.116611171
AAEL015375	serine/threonine protein kinase	DIV		-3.107330977
AAEL005038	ubiquitin-conjugating enzyme E2	DIV		-3.099735032
AAEL007783	centromere protein-A, putative	DIV		-3.088959138
AAEL006730	traf2 and nck interacting kinase, tnik	DIV		-3.039897949
AAEL001246	Thymidylate kinase, putative	DIV		-3.025611342
AAEL008772	hypothetical protein	DIV		-2.999709794
AAEL000294	conserved hypothetical protein	DIV		-2.988856742
AAEL000442	conserved hypothetical protein	DIV		-2.977469617
AAEL003179	protein arginine n-methyltransferase 1, putative	DIV		-2.960303855
AAEL011653	thyroid hormone receptor interactor	DIV		-2.938885405
AAEL012098	synaptic vesicle protein	DIV		-2.937482143
AAEL006575	troponin C	DIV		-2.934920662
AAEL005432	conserved hypothetical protein	DIV		-2.894688703
AAEL010469	conserved hypothetical protein	DIV		-2.801699898
AAEL014365	chromaffin granule amine transporter, putative	DIV		-2.723827458
AAEL009968	hypothetical protein	DIV		-2.721666529
AAEL001667	multicopper oxidase	DIV		-2.699456204
AAEL008753	conserved hypothetical protein	DIV		-2.693900792
AAEL005536	tetraspanin 29fb	DIV		-2.631924354
AAEL001490	acylphosphatase, putative	DIV		-2.629802975
AAEL005885	arginyltransferase, putative	DIV		-2.627464819
AAEL010747	vasodilator-stimulated phosphoprotein	DIV		-2.617781271
AAEL005580	conserved hypothetical protein	DIV		-2.615939377
AAEL004492	cyclin-dependent kinases regulatory subunit. putative	DIV		-2.603166838
AAEL006572	troponin C	DIV		-2.591956233
AAEL002381	conserved hypothetical protein	DIV		-2.528879595
AAEL003508	serine-pyruvate aminotransferase	DIV		-2.522331374
AAEL007474	geminin, putative	DIV		-2.503558751
AAEL000500	conserved hypothetical protein	DIV		-2.469204232
AAEL005289	ornithine aminotransferase	DIV		-2.468556346
AAEL006023	Vanin-like protein 1 precursor, putative	DIV		-2.46742292
AAEL006660	conserved hypothetical protein	DIV		-2.461211631
AAEL008316	mitotic spindle assembly checkpoint protein mad2	DIV		-2.455727023
AAEL005383	conserved hypothetical protein	DIV		-2.437363123
AAEL004407	allergen, putative	DIV		-2.435427877
AAEL001306	conserved hypothetical protein	DIV		-2.430123632
AAEL011849	hypothetical protein	DIV		-2.392096789
AAEL005543	conserved hypothetical protein	DIV		-2.39023451
AAEL007489	synaptic vesicle protein	DIV		-2.388204161
AAEL000509	rho gtpase activating protein	DIV		-2.383723854
AAEL008098	PIWI	DIV		-2.368827836
AAEL002404	receptor protein tyrosine kinase	DIV		-2.368297857
AAEL005445	hypothetical protein	DIV		-2.352679146
AAEL005506	hypothetical protein	DIV		-2.347232577
AAEL007799	regulator of chromosome condensation	DIV		-2.33659837
AAEL003313	alkaline phosphatase	DIV		-2.330476058
AAEL015076	conserved hypothetical protein	DIV		-2.326187576
AAEL005348	hypothetical protein	DIV		-2.317454155
AAEL006006	swiprosin	DIV		-2.308569924
AAEL008844	calcium-binding protein, putative	DIV		-2.293606348
AAEL005923	conserved hypothetical protein	DIV		-2.292241774
AAEL013343	lethal(2)essential for life protein, l2efl	DIV		-2.291828509
AAEL010253	conserved hypothetical protein	DIV		-2.281191869
AAEL011109	conserved hypothetical protein	DIV		-2.245877139
AAEL003371	f-box and wd-40 domain protein	DIV		-2.243731714
AAEL008415	hypothetical protein	DIV		-2.236327481
AAEL017337	Fat body protein, putative	DIV		-2.2221262
AAEL008029	raslated protein, putative	DIV		-2.217528112
AAEL009773	geminin, putative	DIV		-2.212839148
AAEL012521	hypothetical protein	DIV		-2.206209854
AAEL000005	hypothetical protein	DIV		-2.184417362
AAEL003036	conserved hypothetical protein	DIV		-2.184224464
AAEL002506	glutamate receptor, ionotropic kainate 1, 2, 3 (glur5, glur6, glur7)	DIV		-2.148135528
AAEL005766	fructose-bisphosphate aldolase	DIV		-2.147844667
AAEL009491	hypothetical protein	DIV		-2.141995137
AAEL010199	conserved hypothetical protein	DIV		-2.14053886
AAEL006392	hypothetical protein	DIV		-2.136284509
AAEL014744	conserved hypothetical protein	DIV		-2.13469636
AAEL008863	protein regulator of cytokinesis 1 prc1	DIV		-2.133192273
AAEL011085	conserved hypothetical protein	DIV		-2.129645069
AAEL007053	hypothetical protein	DIV		-2.125121101
AAEL005216	conserved hypothetical protein	DIV		-2.121415187
AAEL009278	conserved hypothetical protein	DIV		-2.094927162
AAEL008621	cdk1	DIV		-2.094446062
AAEL015046	hypothetical protein	DIV		-2.092784466
AAEL006787	conserved hypothetical protein	DIV		-2.087772259
AAEL008963	tyrosine aminotransferase	DIV		-2.06166144
AAEL001852	conserved hypothetical protein	DIV		-2.058928251
AAEL009263	conserved hypothetical protein	DIV		-2.047596082
AAEL000217	serine/threonine protein kinase	DIV		-2.034073885
AAEL000859	hypothetical protein	DIV		-2.031655591
AAEL013559	uncoordinated protein	DIV		-2.024565384
AAEL011279	requim, req/dpf2	DIV		-2.021668347
AAEL008686	hypothetical protein	DIV		-2.021594005
AAEL015064	conserved hypothetical protein	DIV		-2.007933359
AAEL015376	conserved hypothetical protein	DIV		-2.00526534
AAEL010046	maintenance of ploidy protein mob1 (mps1 binder 1)	DIV		-2.003678411
AAEL001155	hypothetical protein	DIV		-2.002562895
AAEL013044	hypothetical protein	DIV		-1.993950014
AAEL002261	GTP cyclohydrolase i	DIV		-1.990180285
AAEL014014	ornithine cyclodeaminase	DIV		-1.989901498
AAEL003471	hypothetical protein	DIV		-1.983103609
AAEL000149	sap30	DIV		-1.983052793
AAEL015543	conserved hypothetical protein	DIV		-1.980723743
AAEL009906	hypothetical protein	DIV		-1.979875993
AAEL006820	lipid storage droplets surface binding protein 2 (lsd2)	DIV		-1.973762223
AAEL000900	conserved hypothetical protein	DIV		-1.973297833
AAEL010392	hypothetical protein	DIV		-1.972939213
AAEL004713	hypothetical protein	DIV		-1.971611699
AAEL007211	conserved hypothetical protein	DIV		-1.964043014
AAEL000744	troponin C	DIV		-1.962579327
AAEL000766	ubiquinol cytochrome C oxidoreductase-subunit 6.4kD-subunit, putative	DIV		-1.961866684
AAEL006884	conserved hypothetical protein	DIV		-1.961650546
AAEL009924	type II keratin, putative	DIV		-1.959820256
AAEL011980	hypothetical protein	DIV		-1.959745928
AAEL005904	conserved hypothetical protein	DIV		-1.952803775
AAEL012725	conserved hypothetical protein	DIV		-1.951080184
AAEL012556	Ofd1 protein, putative	DIV		-1.946351704
AAEL003298	alkaline phosphatase	DIV		-1.943321749
AAEL003122	conserved hypothetical protein	DIV		-1.939190403
AAEL008857	deoxyribonuclease I, putative	DIV		-1.938570273
AAEL011669	hypothetical protein	DIV		-1.936524918
AAEL006279	hypothetical protein	DIV		-1.933474897
AAEL006876	igf2 mRNA binding protein, putative	DIV		-1.933218466
AAEL009904	conserved hypothetical protein	DIV		-1.932974766
AAEL008575	regulator of chromosome condensation	DIV		-1.913455586
AAEL012810	conserved hypothetical protein	DIV		-1.907716852
AAEL012071	ras	DIV		-1.90616626
AAEL009077	alkaline phosphatase	DIV		-1.905514934
AAEL007793	alkyldihydroxyacetonephosphate synthase	DIV		-1.90394503
AAEL007457	insect origin recognition complex subunit	DIV		-1.899600749
AAEL001684	boule protein, putative	DIV		-1.899359384
AAEL006298	conserved hypothetical protein	DIV		-1.896568649
AAEL008027	hypothetical protein	DIV		-1.881486627
AAEL012866	conserved hypothetical protein	DIV	acetyltransferase (GNAT) family domain	-1.879301986
AAEL000053	myotubularin	DIV		-1.875723962
AAEL014310	hypothetical protein	DIV		-1.869923129
AAEL000915	hypothetical protein	DIV		-1.86683927
AAEL012176	conserved hypothetical protein	DIV		-1.866072751
AAEL001621	conserved hypothetical protein	DIV	allergen domain	-1.864396572
AAEL005309	conserved hypothetical protein	DIV		-1.861318177
AAEL012019	conserved hypothetical protein	DIV		-1.85680972
AAEL013347	lethal(2)essential for life protein, l2efl	DIV		-1.854702696
AAEL001274	hypothetical protein	DIV		-1.841141176
AAEL013329	cdk1	DIV		-1.840235453
AAEL007701	conserved hypothetical protein	DIV		-1.836939894
AAEL009205	conserved hypothetical protein	DIV		-1.833721381
AAEL005395	conserved hypothetical protein	DIV		-1.833627894
AAEL003317	alkaline phosphatase	DIV		-1.830858841
AAEL011838	conserved hypothetical protein	DIV		-1.82785968
AAEL002116	supercoiling factor, putative	DIV		-1.825226824
AAEL000661	t-cell specific transcription factor, tcf	DIV		-1.814775567
AAEL012706	conserved hypothetical protein	DIV		-1.814752909
AAEL014592	frazzled protein	DIV		-1.812909437
AAEL014051	nop14	DIV		-1.809034784
AAEL000416	hypothetical protein	DIV		-1.808314872
AAEL013830	bmp-induced factor	DIV		-1.80776902
AAEL013430	hypothetical protein	DIV		-1.805343378
AAEL000065	conserved hypothetical protein	DIV		-1.801450156
AAEL011341	apyrase, putative	DIV		-1.800760871
AAEL003382	Ro ribonucleoprotein autoantigen, putative	DIV		-1.797147597
AAEL010850	troponin i	DIV		-1.795845057
AAEL004967	myo inositol monophosphatase	DIV		-1.791835856
AAEL013351	lethal(2)essential for life protein, l2efl	DIV		-1.791308347
AAEL008049	hypothetical protein	DIV		-1.791019444
AAEL014509	zinc finger protein	DIV		-1.784686902
AAEL011250	conserved hypothetical protein	DIV		-1.784435658
AAEL005312	conserved hypothetical protein	DIV		-1.777690071
AAEL013341	lethal(2)essential for life protein, l2efl	DIV		-1.773958069
AAEL012963	hypothetical protein	DIV		-1.77356581
AAEL008320	conserved hypothetical protein	DIV		-1.768845301
AAEL002751	conserved hypothetical protein	DIV		-1.758087162
AAEL013522	pinn	DIV		-1.755376064
AAEL013390	serine/threonine protein kinase	DIV		-1.754945813
AAEL000102	conserved hypothetical protein	DIV		-1.75194672
AAEL017055	Conserved hypothetical protein (	DIV	Zinc-finger associated domain	-1.74669883
AAEL004221	glycogen synthase	DIV		-1.741087205
AAEL001587	hypothetical protein	DIV		-1.738782586
AAEL015447	hypothetical protein	DIV		-1.73751062
AAEL002115	hypothetical protein	DIV		-1.736773359
AAEL007672	myst histone acetyltransferase	DIV		-1.72886286
AAEL006836	dihydropteridine reductase	DIV		-1.724452461
AAEL011899	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase, putative	DIV		-1.722189024
AAEL008758	conserved hypothetical protein	DIV		-1.718915913
AAEL014436	conserved hypothetical protein	DIV		-1.717965036
AAEL010659	lethal(2)essential for life protein, l2efl	DIV		-1.712591788
AAEL005916	hypothetical protein	DIV		-1.711313119
AAEL011168	GTP-binding protein (i) alpha subunit, gnai	DIV		-1.707592014
AAEL001920	conserved hypothetical protein	DIV		-1.706129346
AAEL009112	conserved hypothetical protein	DIV		-1.705550251
AAEL002565	titin	DIV		-1.702840478
AAEL010835	mitogen-activated protein kinase kinase kinase	DIV		-1.702575122
AAEL003881	anopheles stephensi ubiquitin, putative	DIV		-1.700654656
AAEL009910	conserved hypothetical protein	DIV		-1.70044893
AAEL012224	zinc finger protein	DIV		-1.698174327
AAEL004501	s-adenosylmethionine synthetase	DIV		-1.69662245
AAEL011202	bhlhzip transcription factor bigmax	DIV		-1.696414014
AAEL008413	serine/threonine protein kinase	DIV		-1.696319485
AAEL017082	conserved hypothetical protein	DIV	RNA recognition motif	-1.683069596
AAEL017288	conserved hypothetical protein	DIV	FLYWCH zinc finger domain	-1.682925368
AAEL010568	chromosome-associated kinesin KIF4A (chromokinesin)	DIV		-1.682855142
AAEL013237	pom1	DIV		-1.674853989
AAEL002681	vanin-like protein 1 precursor, putative	DIV		-1.671520311
AAEL010865	conserved hypothetical protein	DIV		-1.667925593
AAEL007650	chaperonin	DIV		-1.666743324
AAEL012935	slingshot dual specificity phosphatase	DIV		-1.666329211
AAEL012047	conserved hypothetical protein	DIV		-1.664206821
AAEL013913	stretch regulated skeletal muscle protein, putative	DIV		-1.658475714
AAEL006866	muscle lim protein	DIV		-1.657980489
AAEL009862	conserved hypothetical protein	DIV		-1.655246048
AAEL000262	conserved hypothetical protein	DIV		-1.652159761
AAEL001706	p15-2a protein, putative	DIV		-1.64837357
AAEL003874	conserved hypothetical protein	DIV		-1.645929235
AAEL002711	conserved hypothetical protein	DIV		-1.64499756
AAEL001737	conserved hypothetical protein	DIV		-1.63605025
AAEL006453	B-cell lymphoma/leukaemia 11A extra long form, putative	DIV		-1.632034009
AAEL002462	hypothetical protein	DIV		-1.629747354
AAEL010579	hypothetical protein	DIV		-1.628088385
AAEL000221	mediator complex, subunit, putative	DIV		-1.627952153
AAEL004838	conserved hypothetical protein	DIV		-1.626542197
AAEL017240	Protein binding, DNA binding	DIV		-1.624523807
AAEL008547	conserved hypothetical protein	DIV		-1.622688026
AAEL002569	serine/threonine kinase	DIV		-1.619206042
AAEL012166	conserved hypothetical protein	DIV		-1.618004628
AAEL003388	axis inhibition protein, axin	DIV		-1.61596197
AAEL000045	nmda receptor glutamate-binding chain	DIV		-1.615734835
AAEL013540	conserved hypothetical protein	DIV		-1.615319056
AAEL001748	hypothetical protein	DIV		-1.615005682
AAEL013859	mitogen-activated protein kinase kinase kinase 3, mapkkk3, mekk3	DIV		-1.614607248
AAEL002472	hypothetical protein	DIV		-1.614499335
AAEL009037	GTP-binding protein (i) alpha subunit, gnai	DIV		-1.609898797
AAEL008555	conserved hypothetical protein	DIV		-1.604693678
AAEL008899	conserved hypothetical protein	DIV		-1.60286373
AAEL013822	protein binding	DIV		-1.601849199
AAEL007422	cp27, putative	DIV		-1.600809917
AAEL000421	protein farnesyltransferase alpha subunit/rab geranylgeranyl transferase alpha subunit	DIV		-1.596495086
AAEL009257	conserved hypothetical protein	DIV		-1.595628401
AAEL001715	chaperonin	DIV		-1.594578245
AAEL002802	wdpeat protein	DIV		-1.594503024
AAEL005349	conserved hypothetical protein	DIV		-1.594194639
AAEL003542	conserved hypothetical protein	DIV		-1.593244181
AAEL005613	hypothetical protein	DIV		-1.592152817
AAEL004111	hypothetical protein	DIV		-1.591712076
AAEL010753	conserved hypothetical protein	DIV		-1.591214053
AAEL005042	hypothetical protein	DIV		-1.58925148
AAEL001635	conserved hypothetical protein	DIV		-1.589039948
AAEL008256	cyclin A3, putative	DIV		-1.584664426
AAEL011918	hypothetical protein	DIV		-1.580758933
AAEL002267	conserved hypothetical protein	DIV		-1.580109871
AAEL012020	conserved hypothetical protein	DIV		-1.579766644
AAEL009704	conserved hypothetical protein	DIV		-1.578860921
AAEL012236	hypothetical protein	DIV		-1.577862485
AAEL000157	hypothetical protein	DIV		-1.577477309
AAEL005358	conserved hypothetical protein	DIV		-1.57698988
AAEL003104	tripartite motif protein trim2,3	DIV		-1.576007092
AAEL004417	conserved hypothetical protein	DIV		-1.572539668
AAEL015199	wdpeat protein	DIV		-1.570481777
AAEL005074	hypothetical protein	DIV		-1.570322077
AAEL001500	insulinprotein enhancer protein isl	DIV		-1.56974008
