gene_assignment	Gene Symbol	RefSeq	p-value(Dose)	p-value(Scan Date)	alt-splicing(Dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_017839 // LPCAT2 // lysophosphatidylcholine acyltransferase 2 // 16q12.2 // 5	LPCAT2	NM_017839	0.13707	0.23733	5.08968E-06	0.000806415	9.41916	9.37836	9.0555	8.99659	0.14066	1.30294	1.30294	0 up vs 10
NM_015497 // TMEM87A // transmembrane protein 87A // 15q15.1 // 25963 /// NM_001	TMEM87A	NM_015497	0.452879	0.107712	5.25865E-06	0.000825772	10.845	10.7863	10.6958	10.6344	0.470776	1.111	1.111	0 up vs 10
NM_018204 // CKAP2 // cytoskeleton associated protein 2 // 13q14 // 26586 /// NM	CKAP2	NM_018204	0.0318412	0.00732095	5.55628E-06	0.000865006	10.2355	10.0106	9.40357	9.229	0.0511853	1.71906	1.71906	0 up vs 10
NM_001987 // ETV6 // ets variant gene 6 (TEL oncogene) // 12p13 // 2120 /// ENST	ETV6	NM_001987	0.281034	0.00251802	5.85558E-06	0.000903539	9.03826	9.11087	8.92375	8.99733	0.311623	1.08187	1.08187	0 up vs 10
NM_016436 // PHF20 // PHD finger protein 20 // 20q11.22-q11.23 // 51230 /// ENST	PHF20	NM_016436	0.0143573	0.630421	6.07228E-06	0.000925558	9.47766	9.47526	9.18454	9.16989	0.0156672	1.23573	1.23573	0 up vs 10
NM_020899 // ZBTB4 // zinc finger and BTB domain containing 4 // 17p13.1 // 5765	ZBTB4	NM_020899	0.0553525	0.181676	6.1077E-06	0.000925558	9.48905	9.51685	9.2445	9.27359	0.0691262	1.18367	1.18367	0 up vs 10
NM_138714 // NFAT5 // nuclear factor of activated T-cells 5, tonicity-responsive	NFAT5	NM_138714	0.259619	0.0826503	6.40381E-06	0.000961057	9.6594	9.70863	9.45538	9.5232	0.329461	1.13716	1.13716	0 up vs 10
NM_004922 // SEC24C // SEC24 related gene family, member C (S. cerevisiae) // 10	SEC24C	NM_004922	0.177413	0.390761	6.51273E-06	0.000969148	10.0413	10.0289	9.9385	9.92846	0.210382	1.07212	1.07212	0 up vs 10
NM_015213 // DENND5A // DENN/MADD domain containing 5A // 11p15.4 // 23258 /// E	DENND5A	NM_015213	0.00887467	0.437662	6.57326E-06	0.000969721	11.018	11.0235	10.7745	10.79	0.014788	1.17572	1.17572	0 up vs 10
NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 //	MDM2	NM_002392	1.99244E-05	0.114865	6.95055E-06	0.001017115	10.4723	10.5413	11.5465	11.5593	4.85661E-05	0.493822	-2.02502	0 down vs 10
NM_022362 // MMS19 // MMS19 nucleotide excision repair homolog (S. cerevisiae) /	MMS19	NM_022362	0.483284	0.19753	7.13073E-06	0.001024908	9.59607	9.61795	9.50903	9.54571	0.581209	1.05135	1.05135	0 up vs 10
NM_000259 // MYO5A // myosin VA (heavy chain 12, myoxin) // 15q21 // 4644 /// EN	MYO5A	NM_000259	0.381456	0.350471	7.17223E-06	0.001024908	9.50934	9.49407	9.35604	9.31332	0.333028	1.13347	1.13347	0 up vs 10
NM_152307 // C14orf172 // chromosome 14 open reading frame 172 // 14q32.33 // 11	C14orf172	NM_152307	0.209512	0.716809	7.2931E-06	0.001024908	8.65007	8.64141	8.75943	8.77881	0.143845	0.909156	-1.09992	0 down vs 10
NM_006077 // CBARA1 // calcium binding atopy-related autoantigen 1 // 10q22.1 //	CBARA1	NM_006077	0.369409	0.301999	7.2971E-06	0.001024908	10.185	10.239	10.0498	10.0512	0.247072	1.13907	1.13907	0 up vs 10
NR_002816 // THSD1P // thrombospondin, type I, domain containing 1 pseudogene //	THSD1P	NR_002816	0.0155819	0.127214	7.30332E-06	0.001024908	7.8027	7.88316	8.70106	8.8	0.0187101	0.52967	-1.88797	0 down vs 10
NM_004998 // MYO1E // myosin IE // 15q21-q22 // 4643 /// ENST00000288235 // MYO1	MYO1E	NM_004998	0.551726	0.602145	7.36429E-06	0.001024999	11.254	11.2907	11.1319	11.1329	0.470668	1.11557	1.11557	0 up vs 10
NM_006939 // SOS2 // son of sevenless homolog 2 (Drosophila) // 14q21 // 6655 //	SOS2	NM_006939	0.299712	0.520913	7.51831E-06	0.001038903	9.48205	9.46879	9.26273	9.22892	0.285826	1.18088	1.18088	0 up vs 10
NM_005004 // NDUFB8 // NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19k	NDUFB8	NM_005004	0.186755	0.0249906	7.59598E-06	0.001041622	10.2293	10.2623	10.3072	10.3261	0.298631	0.956741	-1.04521	0 down vs 10
NM_174916 // UBR1 // ubiquitin protein ligase E3 component n-recognin 1 // 15q13	UBR1	NM_174916	0.348437	0.373222	8.21201E-06	0.001116366	9.39334	9.37328	9.24279	9.21242	0.345084	1.11795	1.11795	0 up vs 10
NM_002267 // KPNA3 // karyopherin alpha 3 (importin alpha 4) // 13q14.3 // 3839	KPNA3	NM_002267	0.0297853	0.109988	8.37874E-06	0.001128509	10.555	10.5325	10.2745	10.2288	0.0272454	1.23432	1.23432	0 up vs 10
NM_006721 // ADK // adenosine kinase // 10q22|10q11-q24 // 132 /// NM_001123 //	ADK	NM_006721	0.100676	0.273125	8.4348E-06	0.001128509	10.0013	9.98545	9.68555	9.63017	0.0843079	1.27923	1.27923	0 up vs 10
NM_015062 // PPRC1 // peroxisome proliferator-activated receptor gamma, coactiva	PPRC1	NM_015062	0.00764921	0.577596	8.62199E-06	0.001144236	8.53487	8.52757	8.27333	8.29626	0.0190832	1.1739	1.1739	0 up vs 10
NM_030922 // NIPA2 // non imprinted in Prader-Willi/Angelman syndrome 2 // 15q11	NIPA2	NM_030922	0.0319137	0.0607997	8.67948E-06	0.001144236	10.1423	10.1055	9.8809	9.83964	0.037869	1.20236	1.20236	0 up vs 10
NM_003127 // SPTAN1 // spectrin, alpha, non-erythrocytic 1 (alpha-fodrin) // 9q3	SPTAN1	NM_003127	0.468664	0.608365	8.85154E-06	0.001157808	11.1371	11.1498	11.0656	11.0706	0.450066	1.05637	1.05637	0 up vs 10
NM_001100588 // RC3H2 // ring finger and CCCH-type zinc finger domains 2 // 9q34	RC3H2	NM_001100588	0.424757	0.426993	9.04105E-06	0.001173773	9.4097	9.43101	9.27287	9.29969	0.468665	1.0953	1.0953	0 up vs 10
NM_020751 // COG6 // component of oligomeric golgi complex 6 // 13q13.3 // 57511	COG6	NM_020751	0.443209	0.74283	9.65903E-06	0.001244914	10.2186	10.2063	9.98615	9.96376	0.450395	1.18312	1.18312	0 up vs 10
NM_016046 // EXOSC1 // exosome component 1 // 10q24 // 51013 /// ENST00000370902	EXOSC1	NM_016046	0.0101191	0.947568	1.04312E-05	0.001330353	10.0921	10.1041	9.83879	9.82867	0.00888695	1.21034	1.21034	0 up vs 10
NM_003566 // EEA1 // early endosome antigen 1 // 12q22 // 8411 /// ENST000003223	EEA1	NM_003566	0.251178	0.39088	1.06294E-05	0.001345966	10.3086	10.3561	10.0199	10.0473	0.247398	1.23873	1.23873	0 up vs 10
NM_031858 // NBR1 // neighbor of BRCA1 gene 1 // 17q21.31 // 4077 /// NM_005899	NBR1	NM_031858	0.614062	0.0391223	1.06813E-05	0.001348747	9.3665	9.46622	9.26718	9.32961	0.515235	1.09932	1.09932	0 up vs 10
NM_001099412 // MYST3 // MYST histone acetyltransferase (monocytic leukemia) 3 /	MYST3	NM_001099412	0.00878146	0.0506858	1.13377E-05	0.001414056	9.2762	9.25128	9.057	9.02949	0.011221	1.16618	1.16618	0 up vs 10
NM_016284 // CNOT1 // CCR4-NOT transcription complex, subunit 1 // 16q21 // 2301	CNOT1	NM_016284	0.0218427	0.0297189	1.14619E-05	0.00142873	10.5582	10.5241	10.3605	10.3296	0.0303391	1.14432	1.14432	0 up vs 10
NM_014930 // ZNF510 // zinc finger protein 510 // 9q22.33 // 22869 /// ENST00000	ZNF510	NM_014930	0.0645082	0.782235	1.20442E-05	0.0014802	7.66602	7.69194	7.32143	7.31199	0.0563307	1.3013	1.3013	0 up vs 10
NM_015496 // KIAA1429 // KIAA1429 // 8q22.1 // 25962 /// NM_183009 // KIAA1429 /	KIAA1429	NM_015496	0.17607	0.480215	1.22308E-05	0.001494197	9.70779	9.70259	9.50587	9.47526	0.15354	1.17066	1.17066	0 up vs 10
NM_000051 // ATM // ataxia telangiectasia mutated // 11q22-q23 // 472 /// NM_138	ATM	NM_000051	0.2692	0.872923	1.24387E-05	0.001507997	9.27016	9.25522	8.98176	8.98245	0.321094	1.20812	1.20812	0 up vs 10
NM_013320 // HCFC2 // host cell factor C2 // 12q23.3 // 29915 /// ENST0000022933	HCFC2	NM_013320	0.0472815	0.392559	1.25926E-05	0.001521604	9.36146	9.34304	8.94628	8.9073	0.0491813	1.35261	1.35261	0 up vs 10
NM_005968 // HNRNPM // heterogeneous nuclear ribonucleoprotein M // 19p13.3-p13.	HNRNPM	NM_005968	0.330734	0.00951067	1.28093E-05	0.001535022	11.0535	10.9859	10.9037	10.8022	0.265225	1.13579	1.13579	0 up vs 10
NM_207036 // TCF12 // transcription factor 12 // 15q21 // 6938 /// NM_207037 //	TCF12	NM_207036	0.0130033	0.0220104	0.000012856	0.001536346	10.598	10.5575	10.3257	10.28	0.0158076	1.21208	1.21208	0 up vs 10
BC003648 // C4orf15 // chromosome 4 open reading frame 15 // 4p16.3 // 79441 ///	C4orf15	BC003648	0.128315	0.00227498	0.000013061	0.001549479	8.178	8.05875	7.90564	7.78286	0.144192	1.21075	1.21075	0 up vs 10
NM_025235 // TNKS2 // tankyrase, TRF1-interacting ankyrin-related ADP-ribose pol	TNKS2	NM_025235	0.133457	0.975611	1.35683E-05	0.001597676	9.82699	9.83112	9.61259	9.60702	0.138501	1.16805	1.16805	0 up vs 10
NM_139015 // UNQ1887 // signal peptide peptidase 3 // 12q24.31 // 121665 /// ENS	UNQ1887	NM_139015	0.230166	0.0500554	1.36868E-05	0.001598549	9.36228	9.43024	9.18155	9.22586	0.203211	1.15219	1.15219	0 up vs 10
NM_020791 // TAOK1 // TAO kinase 1 // 17q11.2 // 57551 /// ENST00000261716 // TA	TAOK1	NM_020791	0.0432372	0.850583	1.43569E-05	0.00166895	10.0677	10.0511	9.80161	9.81038	0.0758636	1.1816	1.1816	0 up vs 10
BC001916 // C14orf94 // chromosome 14 open reading frame 94 // 14q11.2 // 54930	C14orf94	BC001916	0.392134	0.369144	1.44607E-05	0.001669337	9.24498	9.2065	9.02761	8.98526	0.410764	1.16574	1.16574	0 up vs 10
NM_003859 // DPM1 // dolichyl-phosphate mannosyltransferase polypeptide 1, catal	DPM1	NM_003859	0.0568656	0.576097	1.46083E-05	0.001669718	10.6492	10.6815	10.3409	10.3375	0.0472523	1.26923	1.26923	0 up vs 10
NM_018312 // SAPS3 // SAPS domain family, member 3 // 11q13 // 55291 /// ENST000	SAPS3	NM_018312	0.0282848	0.00719571	1.48218E-05	0.001681455	10.633	10.5937	10.4628	10.4224	0.0351967	1.12613	1.12613	0 up vs 10
NM_003688 // CASK // calcium/calmodulin-dependent serine protein kinase (MAGUK f	CASK	NM_003688	0.573414	0.843994	1.53879E-05	0.001738187	9.53528	9.5251	9.30818	9.29053	0.583319	1.17655	1.17655	0 up vs 10
NM_015275 // KIAA1033 // KIAA1033 // 12q24.11 // 23325 /// ENST00000332180 // KI	KIAA1033	NM_015275	0.165798	0.386115	1.58429E-05	0.001771755	10.5495	10.5377	10.3145	10.2761	0.147998	1.19878	1.19878	0 up vs 10
NM_020921 // NIN // ninein (GSK3B interacting protein) // 14q22.1 // 51199 /// N	NIN	NM_020921	0.102821	0.0298117	1.63419E-05	0.00181603	8.29635	8.25637	8.11388	8.06227	0.101962	1.14401	1.14401	0 up vs 10
NM_153186 // KANK1 // KN motif and ankyrin repeat domains 1 // 9p24.3 // 23189 /	KANK1	NM_153186	0.128322	0.023971	1.66003E-05	0.001837599	8.43354	8.46456	8.27662	8.3354	0.226018	1.09366	1.09366	0 up vs 10
NM_198433 // AURKA // aurora kinase A // 20q13.2-q13.3 // 6790 /// NM_003600 //	AURKA	NM_198433	0.00289986	0.021069	1.68145E-05	0.001847893	9.55589	9.38744	8.41989	8.31147	0.00562791	2.10815	2.10815	0 up vs 10
NM_015310 // PSD3 // pleckstrin and Sec7 domain containing 3 // 8pter-p23.3 // 2	PSD3	NM_015310	0.518011	0.672622	1.79807E-05	0.001967354	9.71127	9.69055	9.50397	9.47712	0.53009	1.15944	1.15944	0 up vs 10
NM_001123385 // BCOR // BCL6 co-repressor // Xp21.2-p11.4 // 54880 /// NM_017745	BCOR	NM_001123385	0.0113634	0.239882	1.86179E-05	0.002020147	8.67852	8.7162	8.28231	8.30023	0.0119682	1.3342	1.3342	0 up vs 10
NM_001080779 // MYO1C // myosin IC // 17p13 // 4641 /// NM_001080950 // MYO1C //	MYO1C	NM_001080779	0.866023	0.402575	1.96041E-05	0.002113039	11.5283	11.5439	11.5128	11.5249	0.845229	1.01326	1.01326	0 up vs 10
NM_005537 // ING1 // inhibitor of growth family, member 1 // 13q34 // 3621 /// N	ING1	NM_005537	0.82487	0.300353	1.96905E-05	0.002113039	8.04268	8.04111	8.02458	8.05701	0.854519	0.989043	-1.01108	0 down vs 10
NM_006832 // FERMT2 // fermitin family homolog 2 (Drosophila) // 14q22.2 // 1097	FERMT2	NM_006832	0.0863685	0.236649	2.09547E-05	0.002238574	10.9826	10.959	10.6989	10.6564	0.0849429	1.23332	1.23332	0 up vs 10
NM_003470 // USP7 // ubiquitin specific peptidase 7 (herpes virus-associated) //	USP7	NM_003470	0.0285119	0.0103122	2.12849E-05	0.002256624	10.782	10.7333	10.5676	10.5222	0.0387747	1.15755	1.15755	0 up vs 10
NM_018482 // DDEF1 // development and differentiation enhancing factor 1 // 8q24	DDEF1	NM_018482	0.194414	0.529175	2.15772E-05	0.002271135	10.6477	10.6757	10.4105	10.4217	0.190704	1.19243	1.19243	0 up vs 10
NM_007055 // POLR3A // polymerase (RNA) III (DNA directed) polypeptide A, 155kDa	POLR3A	NM_007055	0.328166	0.00481673	2.16677E-05	0.002271135	8.57861	8.52238	8.4934	8.44142	0.378497	1.05772	1.05772	0 up vs 10
NM_014177 // C18orf55 // chromosome 18 open reading frame 55 // 18q22.3 // 29090	C18orf55	NM_014177	0.135168	0.0254014	2.22218E-05	0.002288909	8.30835	8.24838	8.04115	7.94713	0.115012	1.23222	1.23222	0 up vs 10
NM_017827 // SARS2 // seryl-tRNA synthetase 2, mitochondrial // 19q13.2 // 54938	SARS2	NM_017827	0.189207	0.313282	2.22316E-05	0.002288909	8.45908	8.46874	8.57724	8.59899	0.174046	0.913678	-1.09448	0 down vs 10
NM_014634 // PPM1F // protein phosphatase 1F (PP2C domain containing) // 22q11.2	PPM1F	NM_014634	0.108276	0.949186	2.23071E-05	0.002288909	8.62613	8.61932	8.71418	8.72214	0.0812553	0.931211	-1.07387	0 down vs 10
NM_014515 // CNOT2 // CCR4-NOT transcription complex, subunit 2 // 12q15 // 4848	CNOT2	NM_014515	0.0683856	0.658474	2.23593E-05	0.002288909	10.08	10.107	9.8467	9.8379	0.0509241	1.20506	1.20506	0 up vs 10
NM_007007 // CPSF6 // cleavage and polyadenylation specific factor 6, 68kDa // 1	CPSF6	NM_007007	0.0183607	0.000350344	0.000023001	0.002336394	10.3017	10.2384	10.1193	10.0577	0.0250496	1.1334	1.1334	0 up vs 10
NM_014142 // NUDT5 // nudix (nucleoside diphosphate linked moiety X)-type motif	NUDT5	NM_014142	0.0737679	0.616928	2.33184E-05	0.002353027	8.75599	8.7913	8.39109	8.38881	0.0647241	1.32179	1.32179	0 up vs 10
NM_001042576 // RRBP1 // ribosome binding protein 1 homolog 180kDa (dog) // 20p1	RRBP1	NM_001042576	0.834754	0.859472	2.42754E-05	0.002439748	10.7337	10.7419	10.7145	10.7119	0.759044	1.02102	1.02102	0 up vs 10
NM_017762 // MTMR10 // myotubularin related protein 10 // 15q13.3 // 54893 /// B	MTMR10	NM_017762	0.197637	0.888462	2.45461E-05	0.00244561	8.73363	8.74086	8.55059	8.55008	0.204826	1.14138	1.14138	0 up vs 10
NM_003873 // NRP1 // neuropilin 1 // 10p12 // 8829 /// NM_001024628 // NRP1 // n	NRP1	NM_003873	0.220103	0.450228	2.48757E-05	0.002467	11.3646	11.3393	11.1649	11.1479	0.264098	1.14187	1.14187	0 up vs 10
NM_004855 // PIGB // phosphatidylinositol glycan anchor biosynthesis, class B //	PIGB	NM_004855	0.131967	0.950569	2.49604E-05	0.002467	9.0025	9.01597	8.69877	8.68944	0.127428	1.25399	1.25399	0 up vs 10
NM_005491 // MAMLD1 // mastermind-like domain containing 1 // Xq28 // 10046 ///	MAMLD1	NM_005491	0.294609	0.724012	2.52336E-05	0.002472607	9.26333	9.25615	9.08651	9.07323	0.305971	1.13518	1.13518	0 up vs 10
NM_005647 // TBL1X // transducin (beta)-like 1X-linked // Xp22.3 // 6907 /// ENS	TBL1X	NM_005647	0.137417	0.0506476	2.55518E-05	0.002483631	8.39887	8.43223	8.21421	8.2711	0.212642	1.11816	1.11816	0 up vs 10
NM_003750 // EIF3A // eukaryotic translation initiation factor 3, subunit A // 1	EIF3A	NM_003750	0.0770108	0.0774287	0.000025557	0.002483631	11.0275	11.0767	10.7835	10.8204	0.0793695	1.19443	1.19443	0 up vs 10
NM_005188 // CBL // Cas-Br-M (murine) ecotropic retroviral transforming sequence	CBL	NM_005188	0.00706956	0.758801	2.58806E-05	0.002498699	9.15785	9.14986	8.80118	8.82068	0.0145332	1.2563	1.2563	0 up vs 10
NM_001083335 // ZFP112 // zinc finger protein 112 homolog (mouse) // 19q13.2 //	ZFP112	NM_001083335	0.139604	0.739462	0.000026633	0.002551974	7.2331	7.23904	6.90027	6.86942	0.12401	1.29201	1.29201	0 up vs 10
NM_017769 // KIAA1333 // KIAA1333 // 14q12 // 55632 /// ENST00000206595 // KIAA1	KIAA1333	NM_017769	0.00264911	0.0517729	2.77288E-05	0.002642825	8.56194	8.39985	7.49593	7.45238	0.00737317	1.92848	1.92848	0 up vs 10
NM_001797 // CDH11 // cadherin 11, type 2, OB-cadherin (osteoblast) // 16q22.1 /	CDH11	NM_001797	0.435026	0.448505	2.80239E-05	0.002656769	11.7241	11.7547	11.5814	11.5998	0.424528	1.11335	1.11335	0 up vs 10
NM_014494 // TNRC6A // trinucleotide repeat containing 6A // 16p11.2 // 27327 //	TNRC6A	NM_014494	0.114827	0.501775	2.85836E-05	0.002698871	9.23248	9.21187	9.03951	9.03278	0.161008	1.13217	1.13217	0 up vs 10
NM_007373 // SHOC2 // soc-2 suppressor of clear homolog (C. elegans) // 10q25 //	SHOC2	NM_007373	0.0387862	0.102129	2.89016E-05	0.002712359	11.3154	11.2803	10.9882	10.9362	0.040086	1.26942	1.26942	0 up vs 10
NM_015902 // UBR5 // ubiquitin protein ligase E3 component n-recognin 5 // 8q22	UBR5	NM_015902	0.0278278	0.829597	0.000030935	0.00288439	10.2031	10.1973	9.94735	9.94546	0.0378259	1.19074	1.19074	0 up vs 10
NM_004864 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518 /// E	GDF15	NM_004864	0.00103865	0.0394176	3.25095E-05	0.002994518	7.62514	7.76078	9.12596	9.25903	0.00154517	0.353982	-2.825	0 down vs 10
NM_005901 // SMAD2 // SMAD family member 2 // 18q21.1 // 4087 /// NM_001003652 /	SMAD2	NM_005901	0.0560252	0.617447	3.25291E-05	0.002994518	10.6279	10.6464	10.3802	10.3823	0.0549244	1.20095	1.20095	0 up vs 10
NM_031966 // CCNB1 // cyclin B1 // 5q12 // 891 /// ENST00000256442 // CCNB1 // c	CCNB1	NM_031966	0.135355	0.0316032	3.26432E-05	0.002994518	11.1204	10.8836	10.231	9.98045	0.150752	1.87018	1.87018	0 up vs 10
NM_000893 // KNG1 // kininogen 1 // 3q27 // 3827 /// NM_001102416 // KNG1 // kin	KNG1	NM_000893	0.596887	0.701908	3.28769E-05	0.003006085	4.37026	4.36636	4.43528	4.45575	0.495302	0.93992	-1.06392	0 down vs 10
NM_000617 // SLC11A2 // solute carrier family 11 (proton-coupled divalent metal	SLC11A2	NM_000617	0.501166	0.222446	3.34826E-05	0.003044797	9.05331	9.10765	8.9135	8.95161	0.47968	1.11422	1.11422	0 up vs 10
NM_004278 // PIGL // phosphatidylinositol glycan anchor biosynthesis, class L //	PIGL	NM_004278	0.145265	0.597927	3.38873E-05	0.003065021	8.53629	8.54346	8.45087	8.45406	0.150036	1.06393	1.06393	0 up vs 10
NM_003324 // TULP3 // tubby like protein 3 // 12p13.3 // 7289 /// ENST0000022824	TULP3	NM_003324	0.12619	0.0992769	3.74314E-05	0.003363857	10.2888	10.2373	10.0468	10.0049	0.161388	1.17479	1.17479	0 up vs 10
NM_003170 // SUPT6H // suppressor of Ty 6 homolog (S. cerevisiae) // 17q11.2 //	SUPT6H	NM_003170	0.575695	0.189979	0.000038027	0.003400114	10.3021	10.3339	10.2463	10.2627	0.50213	1.05063	1.05063	0 up vs 10
NM_032311 // POLDIP3 // polymerase (DNA-directed), delta interacting protein 3 /	POLDIP3	NM_032311	0.0404842	0.000126653	0.000039128	0.0034538	10.4308	10.4065	10.3676	10.3321	0.0263055	1.05294	1.05294	0 up vs 10
NM_198968 // DZIP1 // DAZ interacting protein 1 // 13q32.1 // 22873 /// NM_01493	DZIP1	NM_198968	0.170831	0.466277	0.000039155	0.0034538	9.00175	9.03175	8.78663	8.7955	0.157673	1.17793	1.17793	0 up vs 10
NM_004800 // TM9SF2 // transmembrane 9 superfamily member 2 // 13q32.3 // 9375 /	TM9SF2	NM_004800	0.207246	0.610923	3.92157E-05	0.0034538	11.6218	11.6458	11.4181	11.422	0.192859	1.1678	1.1678	0 up vs 10
NM_003829 // MPDZ // multiple PDZ domain protein // 9p24-p22 // 8777 /// ENST000	MPDZ	NM_003829	0.281807	0.0235327	3.95041E-05	0.003462566	8.91431	8.99002	8.74479	8.81158	0.285228	1.13166	1.13166	0 up vs 10
NM_007345 // ZNF236 // zinc finger protein 236 // 18q22-q23 // 7776 /// ENST0000	ZNF236	NM_007345	0.374708	0.899987	4.04214E-05	0.003523574	7.8734	7.86599	7.81675	7.82139	0.505586	1.0314	1.0314	0 up vs 10
NM_145160 // MAP2K5 // mitogen-activated protein kinase kinase 5 // 15q23 // 560	MAP2K5	NM_145160	0.172675	0.0700079	0.000040879	0.00354878	7.65029	7.69969	7.48881	7.51862	0.151805	1.13372	1.13372	0 up vs 10
NM_032807 // FBXO18 // F-box protein, helicase, 18 // 10p15.1 // 84893 /// NM_17	FBXO18	NM_032807	0.485741	0.309901	4.10993E-05	0.00354878	10.0542	10.0731	9.99134	10.0053	0.478944	1.04806	1.04806	0 up vs 10
NM_014230 // SRP68 // signal recognition particle 68kDa // 17q25.1 // 6730 /// E	SRP68	NM_014230	0.69994	0.205923	4.57138E-05	0.003906898	10.7529	10.7638	10.7365	10.7454	0.683741	1.01284	1.01284	0 up vs 10
NM_003626 // PPFIA1 // protein tyrosine phosphatase, receptor type, f polypeptid	PPFIA1	NM_003626	0.142549	0.688939	4.57425E-05	0.003906898	9.71919	9.72217	9.5683	9.57904	0.184547	1.1043	1.1043	0 up vs 10
AK295862 // KIAA0528 // KIAA0528 // 12p12.1 // 9847 /// BC117143 // KIAA0528 //	KIAA0528	AK295862	0.0633521	0.0376037	4.60713E-05	0.003919386	8.89431	8.827	8.54107	8.46466	0.0709252	1.28551	1.28551	0 up vs 10
NM_006091 // CORO2B // coronin, actin binding protein, 2B // 15q23 // 10391 ///	CORO2B	NM_006091	0.771742	0.0120479	4.62682E-05	0.003919386	8.45016	8.54141	8.49592	8.57428	0.844099	0.977477	-1.02304	0 down vs 10
NM_058004 // PI4KA // phosphatidylinositol 4-kinase, catalytic, alpha // 22q11.2	PI4KA	NM_058004	0.652537	0.123776	4.72988E-05	0.003984506	10.2309	10.269	10.1784	10.2081	0.623121	1.04312	1.04312	0 up vs 10
NM_025134 // CHD9 // chromodomain helicase DNA binding protein 9 // 16q12.2 // 8	CHD9	NM_025134	0.675499	0.891603	4.87661E-05	0.004079488	9.11668	9.11563	9.04407	9.05343	0.734834	1.04406	1.04406	0 up vs 10
NM_177441 // TMUB2 // transmembrane and ubiquitin-like domain containing 2 // 17	TMUB2	NM_177441	0.1152	0.096489	4.88841E-05	0.004079488	9.59985	9.63312	9.43212	9.46196	0.127765	1.12596	1.12596	0 up vs 10
NM_003607 // CDC42BPA // CDC42 binding protein kinase alpha (DMPK-like) // 1q42.	CDC42BPA	NM_003607	0.130211	0.233992	5.01033E-05	0.004159504	9.98485	9.96947	9.85648	9.83709	0.139896	1.0961	1.0961	0 up vs 10
NM_173691 // C9orf75 // chromosome 9 open reading frame 75 // 9q34.3 // 286262 /	C9orf75	NM_173691	0.581656	0.690244	5.26394E-05	0.00434192	7.67899	7.65805	7.7531	7.79291	0.352449	0.910754	-1.09799	0 down vs 10
NM_207647 // FSD1L // fibronectin type III and SPRY domain containing 1-like //	FSD1L	NM_207647	0.0836688	0.174254	5.28304E-05	0.00434192	6.7925	6.71961	6.43675	6.41423	0.14994	1.23575	1.23575	0 up vs 10
NM_006311 // NCOR1 // nuclear receptor co-repressor 1 // 17p11.2 // 9611 /// NR_	NCOR1	NM_006311	0.0621362	0.113423	0.000053846	0.004403186	9.64539	9.62258	9.47393	9.44681	0.0697493	1.12957	1.12957	0 up vs 10
NM_022344 // C17orf75 // chromosome 17 open reading frame 75 // 17q11.2 // 64149	C17orf75	NM_022344	0.264788	0.727747	5.44603E-05	0.004439436	8.47181	8.4538	8.27321	8.27002	0.326581	1.13586	1.13586	0 up vs 10
NM_000629 // IFNAR1 // interferon (alpha, beta and omega) receptor 1 // 21q22.1|	IFNAR1	NM_000629	0.163708	0.985594	5.55098E-05	0.004499669	10.4019	10.4153	10.1412	10.1289	0.150688	1.21961	1.21961	0 up vs 10
NM_005475 // SH2B3 // SH2B adaptor protein 3 // 12q24 // 10019 /// ENST000003412	SH2B3	NM_005475	0.179711	0.101272	5.63717E-05	0.004536097	9.14859	9.11409	8.99219	8.95731	0.202426	1.1148	1.1148	0 up vs 10
NM_007245 // ATXN2L // ataxin 2-like // 16p11 // 11273 /// NM_148414 // ATXN2L /	ATXN2L	NM_007245	0.4269	0.332215	5.65707E-05	0.004536097	8.91718	8.92892	8.83499	8.85904	0.52152	1.04963	1.04963	0 up vs 10
NM_022374 // ARL6IP2 // ADP-ribosylation factor-like 6 interacting protein 2 //	ARL6IP2	NM_022374	0.0562994	0.0210417	5.69172E-05	0.004536097	9.52885	9.46438	9.2689	9.21625	0.0802928	1.18767	1.18767	0 up vs 10
NM_024808 // C13orf34 // chromosome 13 open reading frame 34 // 13q22.1 // 79866	C13orf34	NM_024808	0.0021549	0.0234794	5.69616E-05	0.004536097	7.94709	7.75513	6.75141	6.67223	0.00552282	2.11829	2.11829	0 up vs 10
NM_152716 // PATL1 // protein associated with topoisomerase II homolog 1 (yeast)	PATL1	NM_152716	0.103313	0.235431	5.85235E-05	0.004634112	10.1281	10.178	9.92783	9.92761	0.0613613	1.18949	1.18949	0 up vs 10
NM_005032 // PLS3 // plastin 3 (T isoform) // Xq23 // 5358 /// ENST00000289290 /	PLS3	NM_005032	0.138221	0.00098019	6.06154E-05	0.004745086	12.0778	12.002	11.8959	11.7822	0.0969026	1.16453	1.16453	0 up vs 10
NM_014716 // CENTB1 // centaurin, beta 1 // 17p13.1 // 9744 /// ENST00000158762	CENTB1	NM_014716	0.138607	0.52964	6.06308E-05	0.004745086	6.77753	6.77438	7.0047	7.04016	0.106658	0.831749	-1.20229	0 down vs 10
