Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
DDEF1	Development and differentiation enhancing factor 1	43_60	0.787486574	0.127729617	0.659756957	1.579816458	yes	yes	yes	chr8:131485151-131486958 (+) // 43.2 // q24.21	NP_060952.2	NM_018482	43087 // regulation of GTPase activity // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation	5096 // GTPase activator activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
DDEF2	development and differentiation enhancing factor 2	101_34	0.28660533	-0.290197234	0.576802564	1.491539893	yes	yes	yes	chr2:9264344-9463257 (+) // 96.97 // p25.1	NP_003878.1	NM_003887	43087 // regulation of GTPase activity // inferred from electronic annotation	---	5096 // GTPase activator activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 8047 // enzyme activator activity // traceable author statement	---
DAGLBETA	diacylglycerol lipase beta	322_62	0.881918261	0.294576407	0.587341854	1.502475904	yes	yes	yes	chr7:6415284-6416060 (-) // 94.51 // p22.1	NP_631918.1	NM_139179	6629 // lipid metabolism // inferred from electronic annotation	---	4806 // triacylglycerol lipase activity // inferred from electronic annotation	---
DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	226_49	0.239609233	1.131479654	-0.891870421	1.855580282	yes	yes	yes	chr2:119841040-119846448 (+) // 99.51 // q14.2	NP_065438.1	NM_020548	6810 // transport // inferred from electronic annotation	---	62 // acyl-CoA binding // inferred from electronic annotation /// 8289 // lipid binding // inferred from electronic annotation /// 30156 // benzodiazepine receptor binding // traceable author statement	---
DKK1	dickkopf homolog 1 (Xenopus laevis)	261_66	3.165021088	3.851428325	-0.686407236	1.609270934	yes	yes	yes	chr10:53744083-53747149 (+) // 95.95 // q21.1	NP_036374.1	NM_012242	7275 // development // inferred from electronic annotation /// 16055 // Wnt receptor signaling pathway // inferred from electronic annotation /// 30178 // negative regulation of Wnt receptor signaling pathway // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation	4871 // signal transducer activity // traceable author statement /// 8083 // growth factor activity // traceable author statement	---
DHFR /// LOC643509	dihydrofolate reductase /// similar to Dihydrofolate reductase	343_73	-0.308256432	0.379299738	-0.68755617	1.610553036	yes	yes	yes	chr18:22002472-22005303 (-) // 48.33 // q11.2 /// chr5:79958449-79986119 (-) // 48.09 // q14.1	NP_000782.1 /// XP_933249.1 /// XP_937759.1	NM_000791 /// XM_928156 /// XM_932666	6545 // glycine biosynthesis // non-traceable author statement /// 6730 // one-carbon compound metabolism // inferred from electronic annotation /// 9165 // nucleotide biosynthesis // non-traceable author statement /// 6545 // glycine biosynthesis // inferred from electronic annotation /// 9165 // nucleotide biosynthesis // inferred from electronic annotation	---	4146 // dihydrofolate reductase activity // non-traceable author statement /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 50661 // NADP binding // inferred from electronic annotation /// 4146 // dihydrofolate reductase activity // inferred from electronic annotation	Nucleotide_Metabolism // GenMAPP /// One carbon pool by folate // KEGG /// Folate biosynthesis // KEGG
DDAH2	dimethylarginine dimethylaminohydrolase 2	314_29	0.200459016	0.764686595	-0.564227579	1.478595655	yes	yes	yes	chr6:31802795-31805540 (-) // 98.53 // p21.33 /// chr6_cox_hap1:3140940-3143685 (-) // 98.53 // /// chr6_qbl_hap2:2942393-2945138 (-) // 98.53 //	NP_039268.1	NM_013974	6527 // arginine catabolism // traceable author statement /// 6809 // nitric oxide biosynthesis // traceable author statement /// 6916 // anti-apoptosis // traceable author statement /// 7263 // nitric oxide mediated signal transduction // traceable author statement	---	16403 // dimethylargininase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 3824 // catalytic activity // traceable author statement	---
DIRAS3	DIRAS family, GTP-binding RAS-like 3	103_89	0.383083426	1.077392094	-0.694308668	1.618108858	yes	yes	yes	chr1:68284411-68285972 (-) // 100.0 // p31.3	NP_004666.1	NM_004675	79 // regulation of cyclin-dependent protein kinase activity // traceable author statement /// 6349 // imprinting // traceable author statement /// 7264 // small GTPase mediated signal transduction // traceable author statement /// 7264 // small GTPase mediated signal transduction // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // traceable author statement /// 5525 // GTP binding // inferred from electronic annotation	---
DCBLD2	discoidin, CUB and LCCL domain containing 2	328_32	3.140721452	1.941873794	1.198847658	2.295562414	yes	yes	yes	chr3:99997505-100000947 (-) // 96.53 // q12.1	NP_563615.3	NM_080927	7155 // cell adhesion // inferred from electronic annotation /// 30308 // negative regulation of cell growth // inferred from direct assay /// 30308 // negative regulation of cell growth // inferred from sequence or structural similarity /// 30522 // intracellular receptor-mediated signaling pathway // inferred from sequence or structural similarity /// 30522 // intracellular receptor-mediated signaling pathway // non-traceable author statement /// 42060 // wound healing // inferred from direct assay /// 42060 // wound healing // inferred from sequence or structural similarity	5887 // integral to plasma membrane // inferred from direct assay /// 5887 // integral to plasma membrane // inferred from sequence or structural similarity /// 9986 // cell surface // inferred from direct assay /// 9986 // cell surface // inferred from s	5515 // protein binding // inferred from sequence or structural similarity /// 5515 // protein binding // non-traceable author statement	---
DLG7	discs, large homolog 7 (Drosophila)	218_31	-0.171475535	0.469012543	-0.640488079	1.558856447	yes	yes	yes	chr14:54684600-54725528 (-) // 99.89 // q22.3	NP_055565.2	NM_014750	87 // M phase of mitotic cell cycle // inferred from direct assay /// 87 // M phase of mitotic cell cycle // inferred from sequence or structural similarity /// 7049 // cell cycle // inferred from electronic annotation /// 7079 // mitotic chromosome movement towards spindle pole // inferred from sequence or structural similarity /// 7079 // mitotic chromosome movement towards spindle pole // non-traceable author statement /// 7267 // cell-cell signaling // inferred from electronic annotation /// 8283 // cell proliferation // inferred from sequence or structural similarity /// 8283 // cell proliferation // non-traceable author statement /// 45842 // positive regulation of mitotic metaphase/anaphase transition // inferred from sequence or structural similarity /// 45842 // positive regulation of mitotic metaphase/anaphase transition // non-traceable author statement	5634 // nucleus // inferred from direct assay /// 5634 // nucleus // inferred from sequence or structural similarity /// 31616 // spindle pole centrosome // inferred from direct assay /// 31616 // spindle pole centrosome // inferred from sequence or struc	4721 // phosphoprotein phosphatase activity // inferred from direct assay /// 4721 // phosphoprotein phosphatase activity // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from physical interaction	---
DNAPTP6	DNA polymerase-transactivated protein 6	47_57	2.359398626	1.028453653	1.330944973	2.51567399	yes	yes	yes	chr2:200879309-201051497 (+) // 98.04 // q33.1	NP_056350.1	NM_015535	---	---	---	---
DDIT4L	DNA-damage-inducible transcript 4-like	178_62	0.340930829	0.888867295	-0.547936466	1.461993063	yes	yes	yes	chr4:101326049-101330629 (-) // 98.14 // q23	NP_660287.1	NM_145244	---	---	---	---
DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	272_60	0.286695271	-0.369963601	0.656658872	1.576427555	yes	yes	yes	chr7:107997607-108001380 (+) // 73.15 // q31.1	NP_036460.1	NM_012328	6457 // protein folding // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation /// 5730 // nucleolus // inferred from sequence or structural similarity /// 5737 // cytoplasm // inferred from sequence or structural similarity	30188 // chaperone regulator activity // inferred from sequence or structural similarity /// 31072 // heat shock protein binding // inferred from electronic annotation /// 51082 // unfolded protein binding // inferred from electronic annotation	---
DOM3Z	dom-3 homolog Z (C. elegans)	196_42	-0.242877878	0.455358011	-0.698235889	1.622519581	yes	yes	yes	chr6:32045632-32047719 (-) // 99.92 // p21.32 /// chr6_cox_hap1:3383916-3386003 (-) // 99.92 // /// chr6_qbl_hap2:3185389-3187476 (-) // 99.92 //	NP_005501.2	NM_005510	---	---	5515 // protein binding // inferred from physical interaction /// 42802 // identical protein binding // inferred from physical interaction	---
DCT	dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	193_29	-0.008639294	-0.649539693	0.640900399	1.55930203	yes	yes	yes	chr13:93887119-93929924 (-) // 94.43 // q32.1	NP_001913.2	NM_001922	6582 // melanin metabolism // non-traceable author statement /// 6583 // melanin biosynthesis from tyrosine // inferred from sequence or structural similarity /// 8152 // metabolism // inferred from electronic annotation /// 8544 // epidermis development // traceable author statement /// 6583 // melanin biosynthesis from tyrosine // inferred from electronic annotation /// 6583 // melanin biosynthesis from tyrosine // traceable author statement	5792 // microsome // inferred from sequence or structural similarity /// 5829 // cytosol // inferred from sequence or structural similarity /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author	4167 // dopachrome isomerase activity // inferred from sequence or structural similarity /// 4167 // dopachrome isomerase activity // non-traceable author statement /// 5507 // copper ion binding // traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 16853 // isomerase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4167 // dopachrome isomerase activity // inferred from electronic annotation	Tyrosine metabolism // KEGG
DPY19L1	dpy-19-like 1 (C. elegans)	363_11	0.632387597	1.520554817	-0.88816722	1.850823369	yes	yes	yes	chr7:34927604-34944258 (-) // 83.11 // p14.3	XP_371891.2 /// XP_940819.1 /// XP_943836.1	XM_371891 /// XM_935726 /// XM_938743	---	---	---	---
DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)	242_83	-0.203974373	0.387477312	-0.591451685	1.506762136	yes	yes	yes	chr1_random:196343-198668 (+) // 42.31 // /// chr1_random:215819-216673 (+) // 36.58 // /// chr1:1343664-1347012 (-) // 77.54 // p36.33	NP_006433.2	NM_006442	122 // negative regulation of transcription from RNA polymerase II promoter // traceable author statement /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3700 // transcription factor activity // traceable author statement /// 3714 // transcription corepressor activity // traceable author statement /// 43565 // sequence-specific DNA binding // inferred from electronic annotation	---
DUSP22	Dual specificity phosphatase 22	350_57	-0.792118526	-0.197806789	-0.594311737	1.50975216	yes	yes	yes	chr6:290856-296134 (+) // 93.63 // p25.3	NP_064570.1	NM_020185	188 // inactivation of MAPK activity // traceable author statement /// 6470 // protein amino acid dephosphorylation // traceable author statement /// 6915 // apoptosis // traceable author statement /// 7275 // development // traceable author statement /// 8283 // cell proliferation // traceable author statement /// 6470 // protein amino acid dephosphorylation // inferred from electronic annotation	5634 // nucleus // inferred from electronic annotation	4725 // protein tyrosine phosphatase activity // inferred from electronic annotation /// 8138 // protein tyrosine/serine/threonine phosphatase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 4721 // phosphoprotein phosphatase activity // inferred from electronic annotation	---
DUSP5	dual specificity phosphatase 5	145_28	2.918926668	1.856966823	1.061959846	2.087765746	yes	yes	yes	chr10:112247824-112261111 (+) // 96.59 // q25.2	NP_004410.3	NM_004419	6470 // protein amino acid dephosphorylation // inferred from electronic annotation /// 6470 // protein amino acid dephosphorylation // traceable author statement	5634 // nucleus // inferred from electronic annotation	4725 // protein tyrosine phosphatase activity // traceable author statement /// 16787 // hydrolase activity // inferred from electronic annotation /// 17017 // MAP kinase phosphatase activity // inferred from electronic annotation /// 4721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 4725 // protein tyrosine phosphatase activity // inferred from electronic annotation /// 8138 // protein tyrosine/serine/threonine phosphatase activity // inferred from electronic annotation	Cell adhesion molecules (CAMs) // KEGG /// Adherens junction // KEGG /// Jak-STAT signaling pathway // KEGG /// T cell receptor signaling pathway // KEGG /// B cell receptor signaling pathway // KEGG /// Leukocyte transendothelial migration // KEGG /// Insulin signaling pathway // KEGG /// Adipocytokine signaling pathway // KEGG /// Type I diabetes mellitus // KEGG /// Epithelial cell signaling in Helicobacter pylori // KEGG /// Calcium signaling pathway // KEGG /// Apoptosis // KEGG /// Wnt signaling pathway // KEGG /// TGF-beta signaling pathway // KEGG /// Axon guidance // KEGG /// VEGF signaling pathway // KEGG /// Focal adhesion // KEGG /// Tight junction // KEGG /// T cell receptor signaling pathway // KEGG /// B cell receptor signaling pathway // KEGG /// Long-term potentiation // KEGG /// Long-term depression // KEGG /// Insulin signaling pathway // KEGG
DUSP6	dual specificity phosphatase 6	356_88	2.210588717	1.52011094	0.690477777	1.613817877	yes	yes	yes	chr12:88265969-88270295 (-) // 99.0 // q21.33	NP_001937.2 /// NP_073143.2	NM_001946 /// NM_022652	74 // regulation of progression through cell cycle // non-traceable author statement /// 188 // inactivation of MAPK activity // inferred from direct assay /// 6470 // protein amino acid dephosphorylation // traceable author statement /// 6470 // protein amino acid dephosphorylation // inferred from electronic annotation	5625 // soluble fraction // traceable author statement /// 5737 // cytoplasm // inferred from direct assay	4722 // protein serine/threonine phosphatase activity // inferred from direct assay /// 4725 // protein tyrosine phosphatase activity // inferred from direct assay /// 16787 // hydrolase activity // inferred from electronic annotation /// 17017 // MAP kinase phosphatase activity // inferred from electronic annotation /// 4721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 4725 // protein tyrosine phosphatase activity // inferred from electronic annotation /// 8138 // protein tyrosine/serine/threonine phosphatase activity // inferred from electronic annotation	Cell adhesion molecules (CAMs) // KEGG /// Adherens junction // KEGG /// Jak-STAT signaling pathway // KEGG /// T cell receptor signaling pathway // KEGG /// B cell receptor signaling pathway // KEGG /// Leukocyte transendothelial migration // KEGG /// Insulin signaling pathway // KEGG /// Adipocytokine signaling pathway // KEGG /// Type I diabetes mellitus // KEGG /// Epithelial cell signaling in Helicobacter pylori // KEGG /// Calcium signaling pathway // KEGG /// Apoptosis // KEGG /// Wnt signaling pathway // KEGG /// TGF-beta signaling pathway // KEGG /// Axon guidance // KEGG /// VEGF signaling pathway // KEGG /// Focal adhesion // KEGG /// Tight junction // KEGG /// T cell receptor signaling pathway // KEGG /// B cell receptor signaling pathway // KEGG /// Long-term potentiation // KEGG /// Long-term depression // KEGG /// Insulin signaling pathway // KEGG
DYNLT1	dynein, light chain, Tctex-type 1	249_97	0.880345032	1.460776314	-0.580431282	1.495296189	yes	yes	yes	chr6:158977493-158985728 (-) // 97.48 // q25.3	NP_006510.1	NM_006519	---	5868 // cytoplasmic dynein complex // inferred from sequence or structural similarity /// 5874 // microtubule // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation /// 5882 // intermediate filament // inferred f	3777 // microtubule motor activity // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from physical interaction /// 5198 // structural molecule activity // inferred from electronic annotation /// 3774 // motor activity // inferred from electronic annotation	---
DBNDD2	Dysbindin (dystrobrevin binding protein 1) domain containing 2	290_19	0.376907867	1.114414347	-0.737506481	1.66729164	yes	yes	yes	chr20:43431855-43435100 (-) // 67.3 // q13.12	NP_060948.2 /// NP_291020.1	NM_018478 /// NM_033542	15031 // protein transport // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation	5737 // cytoplasm // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	5515 // protein binding // inferred from electronic annotation	---
ENC1	ectodermal-neural cortex (with BTB-like domain)	75_12	-0.724235185	0.374394022	-1.098629206	2.141511176	yes	yes	yes	chr5:73961504-73972293 (-) // 97.16 // q13.3	NP_003624.1	NM_003633	7275 // development // traceable author statement /// 7399 // nervous system development // traceable author statement /// 7275 // development // inferred from electronic annotation	5634 // nucleus // traceable author statement /// 5856 // cytoskeleton // inferred from electronic annotation	3779 // actin binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	---
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	111_23	0.231374962	-0.555246416	0.786621378	1.725029911	yes	yes	yes	chr14:73494371-73552375 (-) // 94.17 // q24.3	NP_001240.1	NM_001249	---	5783 // endoplasmic reticulum // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	287 // magnesium ion binding // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 17110 // nucleoside-diphosphatase activity // inferred from electronic annotation	---
EFTUD2	elongation factor Tu GTP binding domain containing 2	338_46	-0.919912082	-0.182338496	-0.737573586	1.667369195	yes	yes	yes	chr17:40283804-40327421 (-) // 97.07 // q21.31	NP_004238.2	NM_004247	398 // nuclear mRNA splicing, via spliceosome // inferred from electronic annotation /// 6412 // protein biosynthesis // inferred from electronic annotation /// 8380 // RNA splicing // traceable author statement /// 6397 // mRNA processing // inferred from electronic annotation /// 6397 // mRNA processing // traceable author statement	5634 // nucleus // inferred from electronic annotation /// 5681 // spliceosome complex // traceable author statement /// 30529 // ribonucleoprotein complex // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3924 // GTPase activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5525 // GTP binding // inferred from electronic annotation	---
EMID1	EMI domain containing 1	346_70	0.566413698	0.009292411	0.557121287	1.471330435	yes	yes	yes	chr22:27957039-27985585 (+) // 97.74 // q12.2	NP_597712.2	NM_133455	6817 // phosphate transport // inferred from electronic annotation	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5737 // cytoplasm // inferred from electronic annotation	---	---
ERN2	endoplasmic reticulum to nucleus signalling 2	123_6	-0.073576892	0.522788255	-0.596365147	1.511902543	yes	yes	yes	chr16:23609133-23609596 (-) // 38.3 // p12.1	NP_150296.2	NM_033266	6118 // electron transport // inferred from electronic annotation /// 6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6397 // mRNA processing // inferred from electronic annotation /// 6468 // protein amino acid phosphorylation // inferred from direct assay /// 6915 // apoptosis // inferred from electronic annotation /// 6917 // induction of apoptosis // inferred from mutant phenotype /// 16075 // rRNA catabolism // inferred from direct assay /// 16481 // negative regulation of transcription // inferred from mutant phenotype /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation	5783 // endoplasmic reticulum // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 287 // magnesium ion binding // inferred from direct assay /// 4519 // endonuclease activity // inferred from direct assay /// 4674 // protein serine/threonine kinase activity // inferred from direct assay /// 5524 // ATP binding // inferred from direct assay /// 16740 // transferase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 16891 // endoribonuclease activity, producing 5-phosphomonoesters // inferred from electronic annotation /// 287 // magnesium ion binding // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
EMP1	epithelial membrane protein 1	56_100	-1.49104317	-0.86133848	-0.62970469	1.54724825	yes	yes	yes	chr12:13240986-13241975 (+) // 65.96 // p13.1	NP_001414.1	NM_001423	7275 // development // traceable author statement /// 8219 // cell death // not recorded /// 8283 // cell proliferation // traceable author statement /// 8544 // epidermis development // traceable author statement /// 16049 // cell growth // inferred from electronic annotation	5624 // membrane fraction // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation	---	---
ERRFI1	ERBB receptor feedback inhibitor 1	175_8	0.658651538	1.702139998	-1.04348846	2.061205662	yes	yes	yes	chr1:7994371-8008940 (-) // 98.88 // p36.23	NP_061821.1	NM_018948	6950 // response to stress // traceable author statement	5737 // cytoplasm // traceable author statement	5100 // Rho GTPase activator activity // traceable author statement	---
EPB41 /// MRPS15 /// C10orf38	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) /// mitochondrial ribosomal protein S15 /// chromosome 10 open reading frame 38	230_16	0.130641508	0.80154373	-0.670902221	1.592068291	yes	yes	yes	chr1:36693961-36697317 (-) // 65.98 // p34.3	NP_001010924.1 /// NP_004428.1 /// NP_112570.2 /// NP_976217.1 /// NP_976218.1	NM_001010924 /// NM_004437 /// NM_031280 /// NM_203342 /// NM_203343	8015 // circulation // traceable author statement /// 30866 // cortical actin cytoskeleton organization and biogenesis // inferred from electronic annotation /// 6412 // protein biosynthesis // non-traceable author statement /// 6412 // protein biosynthesis // inferred from electronic annotation /// 30036 // actin cytoskeleton organization and biogenesis // non-traceable author statement	5634 // nucleus // inferred from electronic annotation /// 5737 // cytoplasm // inferred from electronic annotation /// 5856 // cytoskeleton // inferred from electronic annotation /// 5886 // plasma membrane // traceable author statement /// 8091 // spect	3779 // actin binding // inferred from electronic annotation /// 5200 // structural constituent of cytoskeleton // traceable author statement /// 3735 // structural constituent of ribosome // non-traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5198 // structural molecule activity // inferred from electronic annotation /// 5488 // binding // inferred from electronic annotation /// 8092 // cytoskeletal protein binding // inferred from electronic annotation /// 3735 // structural constituent of ribosome // inferred from electronic annotation	---
ETNK2	Ethanolamine kinase 2	269_57	-3.615213268	-2.993045268	-0.622168	1.539186446	yes	yes	yes	chr1:202377158-202378758 (+) // 80.17 // q32.1	NP_060678.1	NM_018208	---	---	166 // nucleotide binding // inferred from electronic annotation /// 4103 // choline kinase activity // non-traceable author statement /// 4305 // ethanolamine kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	---
EIF2AK2	eukaryotic translation initiation factor 2-alpha kinase 2	299_28	0.336852185	0.944460937	-0.607608752	1.52373155	yes	yes	yes	chr2:37187202-37229907 (-) // 88.28 // p22.2	NP_002750.1	NM_002759	6355 // regulation of transcription, DNA-dependent // not recorded /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 6468 // protein amino acid phosphorylation // traceable author statement /// 6915 // apoptosis // not recorded /// 6955 // immune response // inferred from electronic annotation /// 7049 // cell cycle // not recorded /// 8285 // negative regulation of cell proliferation // traceable author statement /// 9615 // response to virus // inferred from electronic annotation /// 6955 // immune response // not recorded	5622 // intracellular // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 3725 // double-stranded RNA binding // inferred from electronic annotation /// 3725 // double-stranded RNA binding // traceable author statement /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 4694 // eukaryotic translation initiation factor 2alpha kinase activity // traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 5524 // ATP binding // inferred from electronic annotation /// 8601 // protein phosphatase type 2A regulator activity // traceable author statement /// 16740 // transferase activity // inferred from electronic annotation /// 3723 // RNA binding // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 3743 // translation initiation factor activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // traceable author statement	Translation_Factors // GenMAPP /// Translation_Factors // GenMAPP /// Translation_Factors // GenMAPP
EIF2C2	Eukaryotic translation initiation factor 2C, 2	38_57	0.850885199	0.130424901	0.720460298	1.647707659	yes	yes	yes	chr8:141599436-141601303 (-) // 96.0 // q24.3	NP_036286.2	NM_012154	6412 // protein biosynthesis // non-traceable author statement /// 6412 // protein biosynthesis // inferred from electronic annotation	---	3743 // translation initiation factor activity // non-traceable author statement /// 5515 // protein binding // inferred from physical interaction /// 3743 // translation initiation factor activity // inferred from electronic annotation	---
EIF3S6	eukaryotic translation initiation factor 3, subunit 6 48kDa	324_89	1.333409881	0.655647537	0.677762344	1.599656723	yes	yes	yes	chr6:74058402-74059731 (+) // 91.09 // q13 /// chr8:109283277-109330113 (-) // 98.19 // q23.1	NP_001559.1	NM_001568	6412 // protein biosynthesis // inferred from electronic annotation	---	3743 // translation initiation factor activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction	Translation_Factors // GenMAPP /// Translation_Factors // GenMAPP /// Translation_Factors // GenMAPP
EIF4E3	eukaryotic translation initiation factor 4E member 3	113_40	1.050594609	0.452052059	0.59854255	1.514186121	yes	yes	yes	chr3:71810961-71815769 (-) // 86.79 // p13	NP_775495.1	NM_173359	6413 // translational initiation // inferred from electronic annotation	5737 // cytoplasm // inferred from electronic annotation	3723 // RNA binding // inferred from electronic annotation /// 3743 // translation initiation factor activity // inferred from electronic annotation	---
EXOC3	exocyst complex component 3	170_7	-0.422083138	0.482786413	-0.904869551	1.872375187	yes	yes	yes	chr5:524575-525050 (+) // 90.12 // p15.33	NP_009208.2	NM_007277	6887 // exocytosis // inferred from electronic annotation /// 15031 // protein transport // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation	---	---	---
EXOSC4	exosome component 4	338_44	0.16592735	0.767988701	-0.602061351	1.5178838	yes	yes	yes	chr8:145205516-145207538 (+) // 98.77 // q24.3	NP_061910.1	NM_019037	6364 // rRNA processing // non-traceable author statement /// 6364 // rRNA processing // inferred from electronic annotation /// 6396 // RNA processing // inferred from electronic annotation	178 // exosome (RNase complex) // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation /// 5730 // nucleolus // non-traceable author statement /// 5737 // cytoplasm // non-traceable author statement	175 // 3-5-exoribonuclease activity // non-traceable author statement /// 3723 // RNA binding // inferred from electronic annotation /// 4527 // exonuclease activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 16787 // hydrolase activity // inferred from electronic annotation /// 175 // 3-5-exoribonuclease activity // inferred from electronic annotation /// 4518 // nuclease activity // inferred from electronic annotation	---
XPO7	exportin 7	21_86	-0.036916946	-0.79976906	0.762852114	1.696841857	yes	yes	yes	chr8:21880310-21918545 (+) // 99.18 // p21.3	NP_055839.2	NM_015024	59 // protein import into nucleus, docking // inferred from electronic annotation /// 6611 // protein export from nucleus // inferred from direct assay /// 15031 // protein transport // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation	5634 // nucleus // inferred from direct assay /// 5643 // nuclear pore // inferred from direct assay /// 5737 // cytoplasm // inferred from direct assay /// 5634 // nucleus // inferred from electronic annotation /// 5643 // nuclear pore // inferred from e	5049 // nuclear export signal receptor activity // inferred from direct assay /// 5488 // binding // inferred from electronic annotation /// 8565 // protein transporter activity // inferred from electronic annotation	---
FAM105A	family with sequence similarity 105, member A	140_4	0.279853302	0.937353617	-0.657500315	1.577347265	yes	yes	yes	chr5:14634931-14664205 (+) // 95.43 // p15.2	NP_061891.1	NM_019018	---	---	---	---
FAM125B	family with sequence similarity 125, member B	298_3	1.02290796	0.434548586	0.588359375	1.503535961	yes	yes	yes	chr9:128128968-128309140 (+) // 92.91 // q33.3	NP_001011703.1 /// NP_258257.1	NM_001011703 /// NM_033446	---	---	---	---
FAM22B	family with sequence similarity 22, member B	140_26	0.710258705	0.052583294	0.657675411	1.577538715	yes	yes	yes	chr10:81136222-81142516 (+) // 95.53 // q22.3 /// chr10:81456421-81462704 (+) // 95.06 // q22.3 /// chr10:81594327-81600611 (+) // 95.01 // q22.3 /// chr10:88978418-88984714 (+) // 94.82 // q23.2 /// chr10:89110636-89116931 (+) // 94.82 // q23.2 /// chr10	XP_374817.3	XM_374817	---	---	---	---
