Probe Set ID	p-value	Gene Symbol
218759_at	0.006874279	DVL2
218825_at	0.009576078	EGFL7
218876_at	0.00963557	TPPP3
218889_at	0.006958267	NOC3L
218965_s_at	0.005523086	TUT1
218987_at	0.003009979	ATF7IP
218999_at	0.00220179	TMEM140
219013_at	0.003427618	GALNT11
219016_at	0.006348008	FASTKD5
219020_at	0.002719187	HS1BP3
219040_at	0.001886309	CORO7 /// Magmas
219057_at	0.004253896	LOC100133585 /// RABEP2
219114_at	0.002812726	C3orf18
219119_at	0.005825789	LSM8
219121_s_at	0.009251258	RBM35A
219135_s_at	0.008312035	LMF1
219217_at	0.00564157	NARS2
219257_s_at	0.006292538	SPHK1
219275_at	0.004178223	PDCD5
219290_x_at	0.001280998	DAPP1
219330_at	0.005774534	VANGL1
219364_at	0.000952152	DHX58
219396_s_at	0.005051816	NEIL1
219401_at	0.00456129	XYLT2
219424_at	0.000936373	EBI3
219425_at	0.008066994	SULT4A1
219434_at	0.001155978	TREM1
219449_s_at	0.001978445	TMEM70
219486_at	0.001195509	DUS2L
219577_s_at	0.003970722	ABCA7
219641_at	0.007090556	DET1
219658_at	0.005529061	PTCD2
219708_at	0.004493602	NT5M
219713_at	0.007141749	SHPK
219815_at	0.005375184	GAL3ST4
219849_at	0.002398814	ZNF671
219897_at	0.002117069	RNF122
219953_s_at	0.008512069	C11orf17
219986_s_at	0.001493917	ACAD10
219993_at	0.007454478	SOX17
220036_s_at	0.006250118	LMBR1L
220074_at	0.003310272	MUPCDH
220081_x_at	0.006157233	HSD17B7
220113_x_at	0.002194701	POLR1B
220130_x_at	0.004944531	LTB4R2
220147_s_at	0.00070728	FAM60A
220185_at	0.002908278	SPTBN4
220208_at	0.006520937	ADAMTS13
220213_at	0.007107298	TSHZ2
220274_at	0.007917931	IQCA
220284_at	0.008612447	DKKL1
220318_at	0.0013031	EPN3
220341_s_at	0.000188943	LOC51149
220344_at	0.007354876	C11orf16
220349_s_at	0.00136417	FLJ21865
220352_x_at	0.007652761	FLJ42627
220374_at	0.003758919	KLHL28
220404_at	0.008656023	GPR97
220411_x_at	0.00077565	PODNL1
220477_s_at	0.002484815	C20orf30
220519_s_at	0.009440488	LIM2
220526_s_at	0.003952299	LOC642393 /// MRPL20
220557_s_at	0.000804871	PACS1
220558_x_at	0.004595164	TSPAN32
220604_x_at	0.009678672	FTCD
220641_at	0.007425781	NOX5
220647_s_at	0.000804269	CHCHD8
220653_at	0.007385256	ZIM2
220713_at	0.007114858
220720_x_at	0.001619008	FAM128B
220743_at	0.008141954
220778_x_at	1.77516E-05	SEMA6B
220782_x_at	0.004789959	KLK12
220796_x_at	0.00336983	SLC35E1
220838_at	0.00587107	FLJ20433
220890_s_at	0.004281716	DDX47
220940_at	0.006431552	ANKRD36B
220989_s_at	0.006147342	AMN
220999_s_at	0.008302548	CYFIP2
221013_s_at	0.008188923	APOL2
221020_s_at	0.003954832	SLC25A32
221049_s_at	0.006283063	POLL
221065_s_at	0.007792807	CHST8
221134_at	0.000120888	ANGPT4
221171_at	0.007338125	RP4-692D3.1
221191_at	0.00865305	STAG3L1
221192_x_at	0.006361673	MFSD11
221240_s_at	0.006999436	B3GNT4
221381_s_at	0.009433984	MORF4 /// MORF4L1
221387_at	0.006635082	NPFFR1
221426_s_at	0.006252378	OR3A3
221449_s_at	0.000519091	ITFG1
221452_s_at	0.000868124	TMEM14B
221471_at	0.006899111	SERINC3
221482_s_at	0.000618327	ARPP-19
221483_s_at	0.002394637	ARPP-19
221497_x_at	0.006980652	EGLN1
221522_at	0.004057813	ANKRD27
221532_s_at	0.00546779	WDR61
221570_s_at	0.000832424	METTL5
221652_s_at	0.001173545	C12orf11
221709_s_at	0.005049443	C14orf131
221761_at	0.00034441	ADSS
221772_s_at	0.006438798	PPP2R2D
221804_s_at	0.003884927	FAM45A /// FAM45B
221817_at	0.005389593	DOLPP1
221835_at	0.001018172	DTX3
221847_at	0.008222146	LOC100129361
221887_s_at	0.000775156	DFNB31
221896_s_at	0.004793888	HIGD1A
221946_at	0.007649647	C9orf116
221991_at	0.007955827	NXPH3
222000_at	0.008012904	C1orf174
222012_at	0.006688004	LOC90379
222042_x_at	0.009468606	MEX3D
222064_s_at	0.008580799	AARSD1
222099_s_at	0.004618454	LSM14A
222104_x_at	0.002025064	GTF2H3
222109_at	0.004420663	GNL3L
222169_x_at	0.009709136	SH2D3A
222201_s_at	0.001979491	CASP8AP2
222220_s_at	0.00748238	TSNAXIP1
222252_x_at	0.007759985	UBQLN4
222265_at	0.003321917	TNS4
222282_at	0.000517414
222339_x_at	0.00483245
