gene_assignment	Gene Symbol	RefSeq	p-value(dose)	p-value(Scan Date)	alt-splicing(dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_001100407 // C17orf62 // chromosome 17 open reading frame 62 // 17q25.3 // 79	C17orf62	NM_001100407	0.454767	0.0578529	0.00109887	0.1707406	9.44423	9.42993	9.37328	9.36257	0.492986	1.04779	1.04779	0 up vs 10
AF370412 // LOC100131492 // PP12901 // 2q14.3 // 100131492 /// XM_001723505 // L	LOC100131492	AF370412	0.885597	0.3826	0.00111448	0.17162	6.02249	6.07398	5.99774	6.01112	0.726287	1.04454	1.04454	0 up vs 10
NM_021057 // IFNA7 // interferon, alpha 7 // 9p22 // 3444 /// NM_002172 // IFNA1	IFNA7	NM_021057	0.0676148	0.140793	0.00115115	0.1756981	3.15128	3.14863	2.87813	2.84713	0.0559353	1.23243	1.23243	0 up vs 10
NM_080732 // EGLN2 // egl nine homolog 2 (C. elegans) // 19q13.2 // 112398 /// N	EGLN2	NM_080732	0.391074	0.560481	0.00119321	0.1805201	7.92109	7.89196	7.80714	7.81369	0.563727	1.05576	1.05576	0 up vs 10
NM_033632 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294	FBXW7	NM_033632	0.117656	0.197642	0.00126768	0.1901189	9.34892	9.37906	9.65316	9.6556	0.161375	0.825566	-1.21129	0 down vs 10
NM_012294 // RAPGEF5 // Rap guanine nucleotide exchange factor (GEF) 5 // 7p15.3	RAPGEF5	NM_012294	0.0171534	0.359836	0.00130295	0.193724	6.15222	6.1484	5.74295	5.73688	0.0196035	1.33009	1.33009	0 up vs 10
BC012108 // LOC440700 // carbonic anhydrase XIV (CA14) pseudogene // 1q24.1 // 4	LOC440700	BC012108	0.66612	0.642574	0.00132252	0.193789	4.39494	4.37228	4.31165	4.3186	0.787989	1.03791	1.03791	0 up vs 10
NM_024571 // C16orf33 // chromosome 16 open reading frame 33 // 16p13.3 // 79622	C16orf33	NM_024571	0.260714	0.244994	0.00132586	0.193789	9.84451	9.82878	10.0751	10.0789	0.242565	0.840828	-1.1893	0 down vs 10
NM_144698 // ANKRD35 // ankyrin repeat domain 35 // 1q21.1 // 148741 /// ENST000	ANKRD35	NM_144698	0.186255	0.103782	0.00133908	0.1940766	5.54613	5.5352	5.73848	5.71595	0.225943	0.882244	-1.13347	0 down vs 10
NM_006343 // MERTK // c-mer proto-oncogene tyrosine kinase // 2q14.1 // 10461 //	MERTK	NM_006343	0.20342	0.0173558	0.00141243	0.2010152	6.18973	6.23485	5.93228	5.95896	0.191511	1.21074	1.21074	0 up vs 10
NM_001040056 // MAPK3 // mitogen-activated protein kinase 3 // 16p11.2 // 5595 /	MAPK3	NM_001040056	0.197762	0.00317353	0.00142762	0.2010152	9.01163	8.995	9.10271	9.08623	0.21228	0.938722	-1.06528	0 down vs 10
NM_144718 // CCDC52 // coiled-coil domain containing 52 // 3q13.2 // 152185 ///	CCDC52	NM_144718	0.414939	0.333843	0.00143271	0.2010152	6.86503	6.87645	6.73827	6.7516	0.438421	1.09039	1.09039	0 up vs 10
NM_139018 // CD300LF // CD300 molecule-like family member f // 17q25.1 // 146722	CD300LF	NM_139018	0.429901	0.237441	0.00144065	0.2010152	5.51491	5.5359	5.61973	5.60387	0.616406	0.953975	-1.04825	0 down vs 10
NM_005668 // ST8SIA4 // ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransfera	ST8SIA4	NM_005668	0.00264377	0.0496562	0.00144926	0.2010152	9.02162	9.07241	8.36508	8.42044	0.00330538	1.57131	1.57131	0 up vs 10
NM_006480 // RGS14 // regulator of G-protein signaling 14 // 5q35.3 // 10636 ///	RGS14	NM_006480	0.167698	0.145932	0.00146404	0.2010152	9.44019	9.42017	9.24274	9.22651	0.189145	1.14366	1.14366	0 up vs 10
NM_020448 // NPAL3 // NIPA-like domain containing 3 // 1p36.12-p35.1 // 57185 //	NPAL3	NM_020448	0.153051	0.86345	0.00146854	0.2010152	7.57411	7.58035	7.33438	7.34635	0.175408	1.17609	1.17609	0 up vs 10
NM_006980 // MTERF // mitochondrial transcription termination factor // 7q21-q22	MTERF	NM_006980	0.397012	0.0329189	0.00148897	0.2022068	7.43127	7.47056	7.3557	7.41846	0.567416	1.03677	1.03677	0 up vs 10
NM_017675 // PCDH24 // protocadherin 24 // 5q35.2 // 54825 /// ENST00000261944 /	PCDH24	NM_017675	0.847014	0.0645589	0.00154159	0.2065228	6.1857	6.18037	6.16702	6.14433	0.721213	1.0253	1.0253	0 up vs 10
NM_001114759 // ZNF683 // zinc finger protein 683 // 1p36.11 // 257101 /// NM_17	ZNF683	NM_001114759	0.0588308	0.121946	0.0015447	0.2065228	6.06541	6.07895	6.3286	6.33294	0.0739283	0.838576	-1.1925	0 down vs 10
NM_002592 // PCNA // proliferating cell nuclear antigen // 20pter-p12 // 5111 //	PCNA	NM_002592	3.36E-05	0.0195399	0.00157028	0.2083278	10.7297	10.7036	11.4337	11.4154	3.93E-05	0.610534	-1.63791	0 down vs 10
NM_130802 // MEN1 // multiple endocrine neoplasia I // 11q13 // 4221 /// NM_1308	MEN1	NM_130802	0.303491	0.40063	0.00172178	0.2266835	7.398	7.38487	7.52324	7.50715	0.331105	0.918732	-1.08846	0 down vs 10
NM_198461 // LONRF2 // LON peptidase N-terminal domain and ring finger 2 // 2q11	LONRF2	NM_198461	0.471428	0.0582475	0.00176256	0.2292632	4.97197	4.96586	5.03665	5.04547	0.397892	0.946314	-1.05673	0 down vs 10
NM_004997 // MYBPH // myosin binding protein H // 1q32.1 // 4608 /// ENST0000025	MYBPH	NM_004997	0.599679	0.151343	0.00176796	0.2292632	6.65726	6.66156	6.72346	6.73589	0.571427	0.949778	-1.05288	0 down vs 10
NM_001951 // E2F5 // E2F transcription factor 5, p130-binding // 8q21.2 // 1875	E2F5	NM_001951	0.000183706	0.0178143	0.00179658	0.2312359	8.50481	8.48975	8.00787	8.00833	0.000270953	1.39611	1.39611	0 up vs 10
NM_007203 // PALM2-AKAP2 // PALM2-AKAP2 // 9q31-q33 // 445815 /// NM_147150 // P	PALM2-AKAP2	NM_007203	0.332667	0.0406038	0.00185188	0.236588	7.29248	7.27139	7.18613	7.15123	0.29568	1.08686	1.08686	0 up vs 10
NM_003122 // SPINK1 // serine peptidase inhibitor, Kazal type 1 // 5q32 // 6690	SPINK1	NM_003122	0.573308	0.452333	0.00193058	0.2448288	3.2972	3.32318	3.42515	3.42338	0.669406	0.932904	-1.07192	0 down vs 10
NM_002610 // PDK1 // pyruvate dehydrogenase kinase, isozyme 1 // 2q31.1 // 5163	PDK1	NM_002610	0.0938045	0.171549	0.00195309	0.2452234	9.24906	9.28623	8.87843	8.91424	0.103088	1.29414	1.29414	0 up vs 10
NM_004457 // ACSL3 // acyl-CoA synthetase long-chain family member 3 // 2q34-q35	ACSL3	NM_004457	0.00326493	0.00186146	0.00197401	0.2452234	8.48479	8.41618	8.02211	7.95918	0.00417424	1.37268	1.37268	0 up vs 10
ENST00000343010 // C3orf62 // chromosome 3 open reading frame 62 // 3p21.31 // 3	C3orf62	ENST00000343010	0.428092	0.0758248	0.00200658	0.2452234	7.88142	7.93082	7.7783	7.8332	0.46833	1.07	1.07	0 up vs 10
NM_001732 // BTN1A1 // butyrophilin, subfamily 1, member A1 // 6p22.1 // 696 ///	BTN1A1	NM_001732	0.0554508	0.0252029	0.00201284	0.2452234	4.91748	4.9386	5.08998	5.07406	0.123405	0.910384	-1.09844	0 down vs 10
NM_001712 // CEACAM1 // carcinoembryonic antigen-related cell adhesion molecule	CEACAM1	NM_001712	0.0538553	0.334863	0.00202485	0.2452234	5.86329	5.80807	6.76974	6.70882	0.062154	0.535609	-1.86703	0 down vs 10
NM_001010887 // ASAH3L // N-acylsphingosine amidohydrolase 3-like // 9p22.1 // 3	ASAH3L	NM_001010887	0.00218711	0.931465	0.00203232	0.2452234	5.75211	5.71691	6.96941	6.95993	0.00238802	0.422486	-2.36694	0 down vs 10
NM_032138 // KBTBD7 // kelch repeat and BTB (POZ) domain containing 7 // 13q14.1	KBTBD7	NM_032138	0.930662	0.0097824	0.00203322	0.2452234	6.77973	6.82496	6.77338	6.80753	0.818494	1.01215	1.01215	0 up vs 10
NM_020996 // FGF6 // fibroblast growth factor 6 // 12p13 // 2251 /// ENST0000022	FGF6	NM_020996	0.799013	0.0728952	0.00205956	0.2466752	6.01711	6.00148	6.05117	6.06118	0.669314	0.959467	-1.04225	0 down vs 10
NM_181342 // FKBP7 // FK506 binding protein 7 // 2q31.2 // 51661 /// ENST0000035	FKBP7	NM_181342	0.531943	0.0140374	0.0021246	0.2527102	5.92778	5.8891	5.86666	5.82924	0.555073	1.04236	1.04236	0 up vs 10
NM_024808 // C13orf34 // chromosome 13 open reading frame 34 // 13q22.1 // 79866	C13orf34	NM_024808	0.00122132	0.645994	0.00214224	0.2530631	8.17982	8.19149	7.33157	7.36315	0.00168189	1.77565	1.77565	0 up vs 10
NM_032527 // ZGPAT // zinc finger, CCCH-type with G patch domain // 20q13.3 // 8	ZGPAT	NM_032527	0.880931	0.29369	0.00220942	0.2592236	8.48787	8.44145	8.4701	8.48295	0.737391	0.971644	-1.02918	0 down vs 10
NM_015713 // RRM2B // ribonucleotide reductase M2 B (TP53 inducible) // 8q23.1 /	RRM2B	NM_015713	0.00182025	0.981707	0.0023604	0.274159	9.02445	9.03429	9.97741	9.9705	0.00241487	0.522605	-1.91349	0 down vs 10
NM_006848 // CCDC85B // coiled-coil domain containing 85B // 11q12.1 // 11007 //	CCDC85B	NM_006848	0.809994	0.141326	0.00236851	0.274159	9.09862	9.02835	9.04755	9.03339	0.981744	0.996514	-1.0035	0 down vs 10
NM_003534 // HIST1H3G // histone cluster 1, H3g // 6p21.3 // 8355 /// ENST000003	HIST1H3G	NM_003534	0.00227372	0.0314902	0.0024347	0.2799418	9.02174	9.05872	8.50848	8.52504	0.00226745	1.44762	1.44762	0 up vs 10
NM_153026 // PRICKLE1 // prickle homolog 1 (Drosophila) // 12q12 // 144165 /// E	PRICKLE1	NM_153026	0.465472	0.0744106	0.00252559	0.2884692	6.08802	6.12603	6.01602	6.03476	0.378585	1.0653	1.0653	0 up vs 10
NM_004336 // BUB1 // BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast	BUB1	NM_004336	4.16E-05	0.288648	0.0026487	0.2989255	9.52414	9.53836	8.36977	8.37912	5.06E-05	2.23339	2.23339	0 up vs 10
NM_005995 // TBX10 // T-box 10 // 11q13.2 // 347853 /// ENST00000335385 // TBX10	TBX10	NM_005995	0.0952479	0.353174	0.0026518	0.2989255	5.87236	5.87458	6.11413	6.10322	0.121902	0.853438	-1.17173	0 down vs 10
NM_006845 // KIF2C // kinesin family member 2C // 1p34.1 // 11004 /// ENST000003	KIF2C	NM_006845	0.000120202	0.348071	0.00274904	0.3078746	8.40604	8.40879	7.59501	7.63551	0.000194548	1.70915	1.70915	0 up vs 10
NM_006651 // CPLX1 // complexin 1 // 4p16.3 // 10815 /// BC002471 // CPLX1 // co	CPLX1	NM_006651	0.0775521	0.102615	0.00282382	0.3142092	6.84529	6.83449	7.07608	7.06452	0.0874728	0.852619	-1.17286	0 down vs 10
NM_001017402 // LAMB3 // laminin, beta 3 // 1q32 // 3914 /// NM_001127641 // LAM	LAMB3	NM_001017402	0.764264	0.0164473	0.00284887	0.3149645	6.38334	6.36593	6.35557	6.34212	0.804323	1.01664	1.01664	0 up vs 10
NM_005400 // PRKCE // protein kinase C, epsilon // 2p21 // 5581 /// ENST00000306	PRKCE	NM_005400	0.273831	0.135996	0.00310783	0.341406	7.96881	7.89755	7.68443	7.60512	0.278414	1.2247	1.2247	0 up vs 10
NM_013361 // ZNF223 // zinc finger protein 223 // 19q13.2 // 7766 /// ENST000002	ZNF223	NM_013361	0.886372	0.939665	0.00324729	0.3544684	5.44295	5.43565	5.38125	5.40983	0.954082	1.01806	1.01806	0 up vs 10
NM_001128850 // RRAD // Ras-related associated with diabetes // 16q22 // 6236 //	RRAD	NM_001128850	0.0327887	0.0877511	0.00328941	0.3568079	7.01801	6.83868	7.85915	7.73227	0.0302366	0.538272	-1.8578	0 down vs 10
NM_018494 // LRDD // leucine-rich repeats and death domain containing // 11p15.5	LRDD	NM_018494	0.00800458	0.0230313	0.00335441	0.3590208	7.9658	7.9167	8.66734	8.60816	0.0101275	0.619226	-1.61492	0 down vs 10
NM_016354 // SLCO4A1 // solute carrier organic anion transporter family, member	SLCO4A1	NM_016354	0.0557126	0.0340541	0.00336604	0.3590208	7.86418	7.84458	7.69386	7.66405	0.052235	1.1333	1.1333	0 up vs 10
NM_174923 // CCDC107 // coiled-coil domain containing 107 // 9p13.3 // 203260 //	CCDC107	NM_174923	0.994775	0.484073	0.00337226	0.3590208	8.99158	8.9721	8.99243	8.98684	0.912555	0.989839	-1.01027	0 down vs 10
NM_005014 // OMD // osteomodulin // 9q22.31 // 4958 /// ENST00000375550 // OMD /	OMD	NM_005014	0.761581	0.652406	0.00348626	0.3688805	2.8895	2.89341	2.92246	2.90034	0.950889	0.995211	-1.00481	0 down vs 10
NM_138693 // KLF14 // Kruppel-like factor 14 // 7q32.2 // 136259 /// ENST0000031	KLF14	NM_138693	0.31606	0.164697	0.00359316	0.3710095	6.47177	6.46241	6.62227	6.62537	0.297939	0.89319	-1.11958	0 down vs 10
NM_015015 // JMJD2B // jumonji domain containing 2B // 19p13.3 // 23030 /// ENST	JMJD2B	NM_015015	0.301358	0.057071	0.00361063	0.3710095	8.17481	8.17256	8.12563	8.11928	0.283173	1.03762	1.03762	0 up vs 10
NM_201589 // MAFA // v-maf musculoaponeurotic fibrosarcoma oncogene homolog A (a	MAFA	NM_201589	0.322287	0.461761	0.00361363	0.3710095	7.67268	7.6691	7.84269	7.83311	0.35545	0.892541	-1.1204	0 down vs 10
NM_145654 // RDM1 // RAD52 motif 1 // 17q11.2 // 201299 /// NM_001034836 // RDM1	RDM1	NM_145654	0.504158	0.505076	0.00362472	0.3710095	6.28164	6.25645	6.12885	6.12368	0.574236	1.0964	1.0964	0 up vs 10
NM_001988 // EVPL // envoplakin // 17q25 // 2125 /// ENST00000301607 // EVPL //	EVPL	NM_001988	0.0595191	0.0534117	0.00362798	0.3710095	6.70822	6.68532	6.94487	6.92954	0.0608514	0.844274	-1.18445	0 down vs 10
NM_014053 // FLVCR1 // feline leukemia virus subgroup C cellular receptor 1 // 1	FLVCR1	NM_014053	0.0968279	0.0521094	0.00363545	0.3710095	7.9871	8.019	7.83919	7.8569	0.0834539	1.11891	1.11891	0 up vs 10
NM_007135 // ZNF79 // zinc finger protein 79 // 9q34 // 7633 /// ENST00000342483	ZNF79	NM_007135	1.49E-05	0.346267	0.00367651	0.3717152	8.00169	8.00526	9.11814	9.12821	1.81E-05	0.459153	-2.17792	0 down vs 10
NM_017771 // PXK // PX domain containing serine/threonine kinase // 3p14.3 // 54	PXK	NM_017771	0.00411949	0.0240526	0.00368547	0.3717152	7.13638	7.11939	6.72405	6.69402	0.00426667	1.34291	1.34291	0 up vs 10
NM_006564 // CXCR6 // chemokine (C-X-C motif) receptor 6 // 3p21 // 10663 /// EN	CXCR6	NM_006564	0.859533	0.206131	0.00372664	0.3736823	4.43102	4.44916	4.41024	4.40472	0.71694	1.03128	1.03128	0 up vs 10
BC036456 // C2orf69 // chromosome 2 open reading frame 69 // 2q33.1 // 205327 //	C2orf69	BC036456	0.00341486	0.0948457	0.00379786	0.3786225	8.17828	8.19541	7.78354	7.79781	0.00397209	1.31731	1.31731	0 up vs 10
NM_144696 // C1orf125 // chromosome 1 open reading frame 125 // 1q25.2 // 126859	C1orf125	NM_144696	0.152286	0.434212	0.00383785	0.3804103	3.94268	3.97632	3.82139	3.82695	0.100087	1.10909	1.10909	0 up vs 10
NM_033126 // PSKH2 // protein serine kinase H2 // 8q21.2 // 85481 /// ENST000002	PSKH2	NM_033126	0.0914281	0.233169	0.00387822	0.3822152	4.99147	4.96486	5.21567	5.20201	0.0870069	0.848417	-1.17867	0 down vs 10
NM_015069 // ZNF423 // zinc finger protein 423 // 16q12 // 23090 /// ENST0000026	ZNF423	NM_015069	0.180232	0.614809	0.00394654	0.3867385	5.00008	5.00789	5.26067	5.24971	0.224521	0.845677	-1.18249	0 down vs 10
NM_015464 // SOSTDC1 // sclerostin domain containing 1 // 7p21.1 // 25928 /// EN	SOSTDC1	NM_015464	0.748824	0.530238	0.00397549	0.3873744	4.07006	4.11224	4.12607	4.14193	0.869827	0.97963	-1.02079	0 down vs 10
BC028708 // C20orf26 // chromosome 20 open reading frame 26 // 20p11.23 // 26074	C20orf26	BC028708	0.230465	0.292802	0.00410843	0.3955204	4.51528	4.49285	4.62962	4.61545	0.217713	0.918528	-1.0887	0 down vs 10
NM_001243 // TNFRSF8 // tumor necrosis factor receptor superfamily, member 8 //	TNFRSF8	NM_001243	0.0088854	0.00696744	0.00412916	0.3955204	9.99272	10.0081	9.68436	9.69854	0.0103472	1.23934	1.23934	0 up vs 10
NM_014988 // LIMCH1 // LIM and calponin homology domains 1 // 4p13 // 22998 ///	LIMCH1	NM_014988	0.840995	0.0618695	0.00413447	0.3955204	4.71677	4.69364	4.69741	4.67863	0.880967	1.01046	1.01046	0 up vs 10
NM_198481 // VSTM1 // V-set and transmembrane domain containing 1 // 19q13.42 //	VSTM1	NM_198481	0.144331	0.898831	0.00415082	0.3955204	5.06883	5.05161	5.23776	5.22923	0.140473	0.884165	-1.13101	0 down vs 10
NM_004053 // BYSL // bystin-like // 6p21.1 // 705 /// ENST00000230340 // BYSL //	BYSL	NM_004053	0.14649	0.506096	0.00429533	0.4070415	7.20925	7.16833	7.5093	7.49212	0.134108	0.798968	-1.25161	0 down vs 10
NM_201397 // GPX1 // glutathione peroxidase 1 // 3p21.3 // 2876 /// NM_000581 //	GPX1	NM_201397	0.0794645	0.00850951	0.00437159	0.4120044	7.62824	7.57591	7.85129	7.80105	0.0864089	0.855511	-1.16889	0 down vs 10
NM_024578 // OCEL1 // occludin/ELL domain containing 1 // 19p13.11 // 79629 ///	OCEL1	NM_024578	0.25841	0.121754	0.00458075	0.4259712	6.83912	6.80992	6.92877	6.90798	0.236873	0.934287	-1.07033	0 down vs 10
NM_019113 // FGF21 // fibroblast growth factor 21 // 19q13.1-qter // 26291 /// E	FGF21	NM_019113	0.45883	0.768276	0.00458884	0.4259712	5.18688	5.19509	5.31586	5.29409	0.580127	0.933677	-1.07103	0 down vs 10
NM_003719 // PDE8B // phosphodiesterase 8B // 5q14.1 // 8622 /// NM_001029854 //	PDE8B	NM_003719	0.241142	0.0615717	0.00459388	0.4259712	4.5534	4.54827	4.64501	4.64546	0.232573	0.934855	-1.06969	0 down vs 10
NM_012310 // KIF4A // kinesin family member 4A // Xq13.1 // 24137 /// NM_0010992	KIF4A	NM_012310	0.0302556	0.236801	0.00482375	0.443247	8.4663	8.46064	8.05498	8.05741	0.0373998	1.32246	1.32246	0 up vs 10
NM_001033503 // SAR1B // SAR1 gene homolog B (S. cerevisiae) // 5q31.1 // 51128	SAR1B	NM_001033503	0.203172	0.149706	0.00484044	0.443247	8.61234	8.636	8.37179	8.41106	0.246137	1.16873	1.16873	0 up vs 10
AB209653 // DHRS2 // dehydrogenase/reductase (SDR family) member 2 // 14q11.2 //	DHRS2	AB209653	0.40761	0.0452934	0.00485729	0.443247	7.00683	6.90764	6.87406	6.79789	0.505419	1.07904	1.07904	0 up vs 10
NM_001042576 // RRBP1 // ribosome binding protein 1 homolog 180kDa (dog) // 20p1	RRBP1	NM_001042576	0.446684	0.848305	0.00490421	0.4451732	8.72925	8.72241	8.55109	8.60053	0.611301	1.08815	1.08815	0 up vs 10
NM_032793 // MFSD2 // major facilitator superfamily domain containing 2 // 1p34.	MFSD2	NM_032793	0.00835008	0.0257516	0.00493458	0.4455848	8.36227	8.31505	8.07572	8.03838	0.0115411	1.21139	1.21139	0 up vs 10
NM_018381 // C19orf66 // chromosome 19 open reading frame 66 // 19p13.2 // 55337	C19orf66	NM_018381	0.0718128	0.411015	0.00503683	0.452449	8.85935	8.87052	8.71444	8.72762	0.0837779	1.10412	1.10412	0 up vs 10
NM_032343 // CHCHD6 // coiled-coil-helix-coiled-coil-helix domain containing 6 /	CHCHD6	NM_032343	0.5633	0.262779	0.00517805	0.4608541	8.03447	7.99374	7.97017	7.94524	0.672728	1.03419	1.03419	0 up vs 10
NM_006240 // PPEF1 // protein phosphatase, EF-hand calcium binding domain 1 // X	PPEF1	NM_006240	0.92626	0.017299	0.00518384	0.4608541	3.92114	3.95342	3.92949	3.94468	0.925673	1.00607	1.00607	0 up vs 10
NM_000694 // ALDH3B1 // aldehyde dehydrogenase 3 family, member B1 // 11q13 // 2	ALDH3B1	NM_000694	0.359644	0.0301302	0.00529319	0.4681623	6.7461	6.72313	6.82527	6.81307	0.319963	0.939561	-1.06433	0 down vs 10
NM_020230 // PPAN // peter pan homolog (Drosophila) // 19p13 // 56342 /// NM_001	PPAN	NM_020230	0.258056	0.278293	0.00536149	0.4700709	9.58346	9.54755	9.43319	9.40967	0.312269	1.10028	1.10028	0 up vs 10
NM_015431 // TRIM58 // tripartite motif-containing 58 // 1q44 // 25893 /// NM_00	TRIM58	NM_015431	0.796487	0.0338419	0.00536949	0.4700709	6.26512	6.28518	6.24332	6.23202	0.550257	1.03753	1.03753	0 up vs 10
NM_006108 // SPON1 // spondin 1, extracellular matrix protein // 11p15.2 // 1041	SPON1	NM_006108	0.242621	0.722825	0.0054155	0.4700709	4.98701	4.98902	5.15791	5.15183	0.279733	0.89328	-1.11947	0 down vs 10
NM_006803 // AP3M2 // adaptor-related protein complex 3, mu 2 subunit // 8p11.2	AP3M2	NM_006803	0.000123952	0.00182098	0.00542379	0.4700709	9.40783	9.40009	8.92845	8.92879	0.000169104	1.38635	1.38635	0 up vs 10
NM_020919 // ALS2 // amyotrophic lateral sclerosis 2 (juvenile) // 2q33.1 // 576	ALS2	NM_020919	0.708857	0.0325905	0.00547028	0.4701465	6.34902	6.36188	6.39159	6.39584	0.773791	0.976731	-1.02382	0 down vs 10
NM_153046 // TDRD9 // tudor domain containing 9 // 14q32.33 // 122402 /// ENST00	TDRD9	NM_153046	0.155291	0.158266	0.00548366	0.4701465	3.69395	3.69015	3.80171	3.8091	0.135079	0.920857	-1.08594	0 down vs 10
AK289689 // FAM55C // family with sequence similarity 55, member C // 3q12.3 //	FAM55C	AK289689	0.0179042	0.0533542	0.00550992	0.4701465	8.11165	8.18857	7.52321	7.61178	0.022604	1.49153	1.49153	0 up vs 10
AK128232 // FLJ46365 // hypothetical LOC401459 // 8q11.21 // 401459	FLJ46365	AK128232	0.307388	0.130397	0.00555757	0.4701465	5.67143	5.65214	5.85403	5.83267	0.329506	0.882377	-1.1333	0 down vs 10
NM_017434 // DUOX1 // dual oxidase 1 // 15q15.3 // 53905 /// NM_175940 // DUOX1	DUOX1	NM_017434	0.564322	0.4091	0.00556513	0.4701465	6.0704	6.08331	6.13268	6.14976	0.554222	0.954981	-1.04714	0 down vs 10
NM_033407 // DOCK7 // dedicator of cytokinesis 7 // 1p31.3 // 85440 /// ENST0000	DOCK7	NM_033407	0.0431373	0.222395	0.00561332	0.4701465	7.47796	7.4723	7.12831	7.13955	0.0577915	1.25941	1.25941	0 up vs 10
NM_021151 // CROT // carnitine O-octanoyltransferase // 7q21.1 // 54677 /// ENST	CROT	NM_021151	0.0402972	0.692218	0.00561548	0.4701465	7.17195	7.15371	7.75533	7.72074	0.0506074	0.675006	-1.48147	0 down vs 10
NM_002078 // GOLGA4 // golgi autoantigen, golgin subfamily a, 4 // 3p22-p21.3 //	GOLGA4	NM_002078	0.559927	0.00287427	0.00571844	0.4764538	8.593	8.65912	8.65723	8.71708	0.611433	0.96062	-1.04099	0 down vs 10
NM_182911 // TSGA10 // testis specific, 10 // 2q11.2 // 80705 /// NM_025244 // T	TSGA10	NM_182911	0.0494953	0.340192	0.0058389	0.4839533	4.64374	4.68991	5.06604	5.11318	0.0557343	0.74573	-1.34097	0 down vs 10
AK125867 // FLJ43879 // FLJ43879 protein // 2q37.3 // 401039	FLJ43879	AK125867	0.681223	0.139619	0.00589175	0.4839533	5.11716	5.11984	5.17217	5.14158	0.87507	0.985043	-1.01518	0 down vs 10
NM_182532 // TMEM61 // transmembrane protein 61 // 1p32.3 // 199964 /// ENST0000	TMEM61	NM_182532	0.415759	0.0356738	0.00590029	0.4839533	6.34452	6.31342	6.44184	6.39615	0.501539	0.944267	-1.05902	0 down vs 10
NM_001113523 // PARP15 // poly (ADP-ribose) polymerase family, member 15 // 3q21	PARP15	NM_001113523	0.196754	0.039966	0.00592069	0.4839533	8.03872	8.06081	7.44214	7.43055	0.190432	1.54784	1.54784	0 up vs 10
NM_004974 // KCNA2 // potassium voltage-gated channel, shaker-related subfamily,	KCNA2	NM_004974	0.173268	0.167913	0.0060046	0.4878294	5.75375	5.772	5.58693	5.56157	0.109829	1.15704	1.15704	0 up vs 10
NM_144639 // UROC1 // urocanase domain containing 1 // 3q21.2-q21.3 // 131669 //	UROC1	NM_144639	0.921163	0.0889758	0.00602468	0.4878294	6.10233	6.08088	6.11417	6.117	0.772083	0.975274	-1.02535	0 down vs 10
NM_022767 // AEN // apoptosis enhancing nuclease // 15q26.1 // 64782 /// ENST000	AEN	NM_022767	0.000121835	0.87831	0.00610178	0.4916422	8.48421	8.46215	9.446	9.45158	0.000128975	0.503676	-1.9854	0 down vs 10
BC034822 // MGC34796 // SPR pseudogene // 1p32 // 414927	MGC34796	BC034822	0.0574056	0.0976996	0.00613305	0.4916422	6.1114	6.04938	6.5155	6.47914	0.0532671	0.742385	-1.34701	0 down vs 10
NM_000602 // SERPINE1 // serpin peptidase inhibitor, clade E (nexin, plasminogen	SERPINE1	NM_000602	0.00183144	0.0593993	0.0061605	0.4916422	6.55899	6.53338	7.206	7.13482	0.00319165	0.659096	-1.51723	0 down vs 10
BC111723 // FLJ33534 // hypothetical LOC285150 // 2p25.1 // 285150 /// AK090853	FLJ33534	BC111723	0.60863	0.264227	0.0061935	0.4916422	5.23677	5.23815	5.15648	5.14539	0.570229	1.06641	1.06641	0 up vs 10
NM_006355 // TRIM38 // tripartite motif-containing 38 // 6p21.3 // 10475 /// ENS	TRIM38	NM_006355	0.687656	0.0177271	0.0062357	0.4916422	8.32038	8.40228	8.38612	8.48278	0.636627	0.945729	-1.05739	0 down vs 10
NM_181489 // ZNF445 // zinc finger protein 445 // 3p21.32 // 353274 /// ENST0000	ZNF445	NM_181489	0.464372	0.068693	0.00625915	0.4916422	8.03198	8.0315	7.98797	7.98578	0.464538	1.0322	1.0322	0 up vs 10
NM_152375 // KLHDC7A // kelch domain containing 7A // 1p36.13 // 127707 /// ENST	KLHDC7A	NM_152375	0.594085	0.127969	0.00630607	0.4916422	6.61781	6.63728	6.67833	6.66897	0.786301	0.978269	-1.02221	0 down vs 10
NM_000210 // ITGA6 // integrin, alpha 6 // 2q31.1 // 3655 /// NM_001079818 // IT	ITGA6	NM_000210	0.0759937	0.0690263	0.00634721	0.4916422	4.37306	4.37932	4.23583	4.22983	0.0659066	1.10918	1.10918	0 up vs 10
BC018109 // C1orf109 // chromosome 1 open reading frame 109 // 1p34.3 // 54955 /	C1orf109	BC018109	0.899316	0.45211	0.00636735	0.4916422	6.79791	6.78384	6.81251	6.78782	0.973505	0.997246	-1.00276	0 down vs 10
