Curated Gene Symbol	InsermSymbole	Symbole	Nom	RefSeq
CCNI	CCNI___________-1A-1a	CCNI	cyclin I	NM_006835
CNNM1	CNNM1__________-1A-1a	CNNM1	cyclin M1	NM_020348
CDK5R2	CDK5R2_________-1A-1a	CDK5R2	cyclin-dependent kinase 5, regulatory subunit 2 (p39)	NM_003936
CDKN1A	CDKN1A_________-1A-1a	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NM_000389
CDKN1C	CDKN1C_________-1A-1a	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	NM_000076
CYLD	CYLD___________-1A-1a	CYLD	cylindromatosis (turban tumor syndrome)	NM_015247
CSTB	CSTB___________-1A-1a	CSTB	cystatin B (stefin B)	NM_000100
CST3	CST3___________-1A-1a	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)	NM_000099
CSRP3	CSRP3__________-1A-1a	CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	NM_003476
CRIM1	CRIM1__________-1A-1a	CRIM1	cysteine-rich motor neuron 1	NM_016441
CRIP1	CRIP1__________-1A-1a	CRIP1	cysteine-rich protein 1 (intestinal)	NM_001311
CYR61	CYR61__________-1A-1a	CYR61	cysteine-rich, angiogenic inducer, 61	NM_001554
CTNS	CTNS___________-1A-1a	CTNS	cystinosis, nephropathic	NM_004937
CYBA	CYBA___________-1A-1a	CYBA	cytochrome b-245, alpha polypeptide	NM_000101
CYBB	CYBB___________-1A-1a	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	NM_000397
CYB5A	CYB5___________-1A-1a	CYB5	cytochrome b-5	NM_001914
COX4I1	COX4I1_________-1A-1a	COX4I1	cytochrome c oxidase subunit IV isoform 1	NM_001861
COX5A	COX5A__________-1A-1a	COX5A	cytochrome c oxidase subunit Va	NM_004255
COX5B	COX5B__________-1A-1a	COX5B	cytochrome c oxidase subunit Vb	NM_001862
COX7A1	COX7A1_________-1A-1a	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	NM_001864
COX7B	COX7B__________-1A-1a	COX7B	cytochrome c oxidase subunit VIIb	NM_001866
	CYCL___________-1A-1a	CYCL	cytochrome c-like antigen
CYP1B1	CYP1B1_________-1A-1a	CYP1B1	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)	NM_000104
CYP2D6	CYP2D6_________-1A-1a	CYP2D6	cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolizing), polypeptide 6	NM_000106
CYP4A11	CYP4A11________-1A-1a	CYP4A11	cytochrome P450, subfamily IVA, polypeptide 11	NM_000778
CYP4B1	CYP4B1_________-1A-1a	CYP4B1	cytochrome P450, subfamily IVB, polypeptide 1	NM_000779
CYP11A1	CYP11A_________-1A-1a	CYP11A	cytochrome P450, subfamily XIA (cholesterol side chain cleavage)	NM_000781
CYP17A1	CYP17__________-1A-1a	CYP17	cytochrome P450, subfamily XVII (steroid 17-alpha-hydroxylase), adrenal hyperplasia	NM_000102
CRLF1	CRLF1__________-1A-1a	CRLF1	cytokine receptor-like factor 1	NM_004750
CYFIP2	CYFIP2_________-1A-1a	CYFIP2	cytoplasmic FMR1 interacting protein 2	NM_014376
TBCB	CKAP1__________-1A-1a	CKAP1	cytoskeleton-associated protein 1	NM_001281
CKAP4	CKAP4__________-1A-1a	CKAP4	cytoskeleton-associated protein 4	NM_006825
CFD	DF_____________-1A-1a	DF	D component of complement (adipsin)	NM_001928
DDB1	DDB1___________-1A-1a	DDB1	damage-specific DNA binding protein 1, 127kDa	NM_001923
DAZAP1	DAZAP1_________-1A-1a	DAZAP1	DAZ associated protein 1	NM_018959
DBF4B	DRF1___________-1A-1a	DRF1	Dbf4-related factor 1	NM_025104
DDT	DDT____________-1A-1a	DDT	D-dopachrome tautomerase	NM_001355
ARID3B	DRIL2__________-1A-1a	DRIL2	dead ringer (Drosophila)-like 2 (bright and dead ringer)	NM_006465
ARID3A	DRIL1__________-1A-1a	DRIL1	dead ringer-like 1 (Drosophila)	NM_005224
DDX27	DDX27__________-1A-1a	DDX27	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 27	NM_017895
DDX3X	DDX3___________-1A-1a	DDX3	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3	NM_001356
DDX39A	DDX39__________-1A-1a	DDX39	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 39	NM_005804
DDX5	DDX5___________-1A-1a	DDX5	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 5 (RNA helicase, 68kDa)	NM_004396
NLRP1	DEFCAP_________-1A-1a	DEFCAP	death effector filament-forming Ced-4-like apoptosis protein	NM_014922
DAPK1	DAPK1__________-1A-1a	DAPK1	death-associated protein kinase 1	NM_004938
C10orf10	DEPP___________-1A-1a	DEPP	decidual protein induced by progesterone	NM_007021
DCN	DCN____________-1A-1a	DCN	decorin	NM_001920
DAD1	DAD1___________-1A-1a	DAD1	defender against cell death 1	NM_001344
	DEGS___________-1A-1a	DEGS	degenerative spermatocyte homolog, lipid desaturase (Drosophila)	NM_003676
DIO3	DIO3___________-1A-1a	DIO3	deiodinase, iodothyronine, type III	NM_001362
DMBT1	DMBT1__________-1A-1a	DMBT1	deleted in malignant brain tumors 1	NM_007329
SHFM1	DSS1___________-1A-1a	DSS1	Deleted in split-hand/split-foot 1 region	NM_006304
DLL3	DLL3___________-1A-1a	DLL3	delta-like 3 (Drosophila)	NM_016941
DMP1	DMP1___________-1A-1a	DMP1	dentin matrix acidic phosphoprotein	NM_004407
DNASE1L1	DNASE1L1_______-1A-1a	DNASE1L1	deoxyribonuclease I-like 1	NM_006730
DNASE1L2	DNASE1L2_______-1A-1a	DNASE1L2	deoxyribonuclease I-like 2	NM_001374
DTYMK	DTYMK__________-1A-1a	DTYMK	deoxythymidylate kinase (thymidylate kinase)	NM_012145
DPT	DPT____________-1A-1a	DPT	dermatopontin	NM_001937
DES	DES____________-1A-1a	DES	desmin	NM_001927
DSC2	DSC2___________-1A-1a	DSC2	desmocollin 2	NM_004949
DSC3	DSC3___________-1A-1a	DSC3	desmocollin 3	NM_001941
DSC3	DSC3___________-2A-1a	DSC3	desmocollin 3	NM_001941
DSG1	DSG1___________-1A-1a	DSG1	desmoglein 1	NM_001942
DSP	DSP____________-1A-1a	DSP	desmoplakin (DPI, DPII)	NM_004415
DSTN	DSTN___________-1A-1a	DSTN	destrin (actin depolymerizing factor)	NM_006870
DGKD	DGKD___________-1A-1a	DGKD	diacylglycerol kinase, delta 130kDa	NM_003648
DGKQ	DGKQ___________-1A-1a	DGKQ	diacylglycerol kinase, theta 110kDa	NM_001347
DIAPH2	DIAPH2_________-1A-1a	DIAPH2	diaphanous homolog 2 (Drosophila)	NM_006729
DBI	DBI____________-1A-1a	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	NM_020548
DKK3	DKK3___________-1A-1a	DKK3	dickkopf homolog 3 (Xenopus laevis)	NM_013253
DGCR14	DGCR14_________-1A-1a	DGCR14	DiGeorge syndrome critical region gene 14	NM_022719
DLD	DLD____________-1A-1a	DLD	dihydrolipoamide dehydrogenase	NM_000108
DLST	DLST___________-1A-1a	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	NM_001933
DPYSL3	DPYSL3_________-1A-1a	DPYSL3	dihydropyrimidinase-like 3	NM_001387
DPYSL4	DPYSL4_________-1A-1a	DPYSL4	dihydropyrimidinase-like 4	NM_006426
DDAH2	DDAH2__________-1A-1a	DDAH2	dimethylarginine dimethylaminohydrolase 2	NM_013974
APPL2	DIP13B_________-1A-1a	DIP13B	DIP13 beta	NM_018171
DPP4	DPP4___________-1A-1a	DPP4	dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2)	NM_001935
HBEGF	DTR____________-1A-1a	DTR	diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)	NM_001945
DLG1	DLG1___________-1A-1a	DLG1	discs, large (Drosophila) homolog 1	NM_004087
DLG4	DLG4___________-1A-1a	DLG4	discs, large (Drosophila) homolog 4	NM_001365
	DJ467N11.1_____-1A-1a	DJ467N11.1	dJ467N11.1  protein	NM_022091
GPATCH4	DKFZP434F1735__-1A-1a	DKFZP434F1735	DKFZP434F1735 protein	NM_015590
HERC4	DKFZP564G092___-1A-1a	DKFZP564G092	DKFZP564G092 protein	NM_015601
TMEM98	DKFZP564K1964__-1A-1a	DKFZP564K1964	DKFZP564K1964 protein	NM_015544
TMEM186	DKFZP564K2062__-1A-1a	DKFZP564K2062	DKFZP564K2062 protein
ANAPC15	DKFZP564M082___-1A-1a	DKFZP564M082	DKFZP564M082 protein	NM_014042
RSL1D1	DKFZP564M182___-1A-1a	DKFZP564M182	DKFZP564M182 protein
ABHD14A	DKFZP564O243___-1A-1a	DKFZP564O243	DKFZP564O243 protein	NM_015407
C10orf12	DKFZP564P1916__-1A-1a	DKFZP564P1916	DKFZP564P1916 protein	NM_015652
RWDD3	DKFZP566K023___-1A-1a	DKFZP566K023	DKFZP566K023 protein	NM_015485
DAK	DKFZP586B1621__-1A-1a	DKFZP586B1621	DKFZP586B1621 protein	NM_015533
METTL21B	DKFZP586D0919__-1A-1a	DKFZP586D0919	DKFZP586D0919 protein	NM_015433
	DKFZP586N0819__-1A-1a	DKFZP586N0819	DKFZP586N0819 protein
RRP1	D21S2056E______-1A-1a	D21S2056E	DNA segment on chromosome 21 (unique) 2056 expressed sequence	NM_003683
LAGE3	DXS9879E_______-1A-1a	DXS9879E	DNA segment on chromosome X (unique) 9879 expressed sequence	NM_006014
FAM50A	DXS9928E_______-1A-1a	DXS9928E	DNA segment on chromosome X (unique) 9928 expressed sequence	NM_004699
MYCNOS	NCYM___________-1A-1a	NCYM	DNA-binding transcriptional activator	NM_006316
DNAJA3	DNAJA3_________-1A-1a	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3	NM_005147
DNAJA4	DNAJA4_________-1A-1a	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	NM_018602
DNAJB11	DNAJB11________-1A-1a	DNAJB11	DnaJ (Hsp40) homolog, subfamily B, member 11	NM_016306
DNAJB2	DNAJB2_________-1A-1a	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	NM_006736
DNAJB2	DNAJB2_________-1B-1a	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	NM_006736
DCDC2	DCDC2__________-1A-1a	DCDC2	doublecortin domain containing 2	NM_016356
RCAN2	DSCR1L1________-1A-1a	DSCR1L1	Down syndrome critical region gene 1-like 1	NM_005822
RCAN3	DSCR1L2________-1A-1a	DSCR1L2	Down syndrome critical region gene 1-like 2	NM_013441
DRAP1	DRAP1__________-1A-1a	DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)	NM_006442
DUSP1	DUSP1__________-1A-1a	DUSP1	dual specificity phosphatase 1	NM_004417
DUSP10	DUSP10_________-1A-1a	DUSP10	dual specificity phosphatase 10	NM_007207
DUSP22	DUSP22_________-1A-1a	DUSP22	dual specificity phosphatase 22	NM_020185
DUSP3	DUSP3__________-1A-1a	DUSP3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	NM_004090
DUSP6	DUSP6__________-1A-1a	DUSP6	dual specificity phosphatase 6	NM_001946
DUSP9	DUSP9__________-1A-1a	DUSP9	dual specificity phosphatase 9	NM_001395
STEAP3	TSAP6__________-1A-1a	TSAP6	dudulin 2	NM_018234
DCTN1	DCTN1__________-1A-1a	DCTN1	dynactin 1 (p150, glued homolog, Drosophila)	NM_004082
DCTN2	DCTN2__________-1A-1a	DCTN2	dynactin 2 (p50)	NM_006400
DCTN3	DCTN3__________-1A-1a	DCTN3	dynactin 3 (p22)	NM_007234
DNAI1	DNAI1__________-1A-1a	DNAI1	dynein, axonemal, intermediate polypeptide 1	NM_012144
DYSF	DYSF___________-1A-1a	DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	NM_003494
DKC1	DKC1___________-1A-1a	DKC1	dyskeratosis congenita 1, dyskerin	NM_001363
DTNA	DTNA___________-1A-1a	DTNA	dystrobrevin, alpha	NM_001390
DAG1	DAG1___________-1A-1a	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	NM_004393
DMPK	DMPK___________-1A-1a	DMPK	dystrophia myotonica-protein kinase	NM_004409
DMD	DMD____________-1A-1a	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	NM_004023
DMD	DMD____________-2A-1a	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	NM_004023
COA4	E2IG2__________-1A-1a	E2IG2	E2IG2 protein	NM_016565
ELF2	ELF2___________-1A-1a	ELF2	E74-like factor 2 (ets domain transcription factor)	NM_006874
ELF3	ELF3___________-1A-1a	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	NM_004433
ELF4	ELF4___________-1A-1a	ELF4	E74-like factor 4 (ets domain transcription factor)	NM_001421
EGR1	EGR1___________-1A-1a	EGR1	early growth response 1	NM_001964
EVI2A	EVI2A__________-1A-1a	EVI2A	ecotropic viral integration site 2A	NM_014210
EVI5	EVI5___________-1A-1a	EVI5	ecotropic viral integration site 5	NM_005665
	LOC51295_______-1A-1a	LOC51295	ECSIT	NM_016581
EDAR	EDAR___________-1A-1a	EDAR	ectodysplasin 1, anhidrotic receptor	NM_022336
EDA2R	XEDAR__________-1A-1a	XEDAR	ectodysplasin A2 isoform receptor	NM_021783
ENTPD1	ENTPD1_________-1A-1a	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	NM_001776
EFEMP1	EFEMP1_________-1A-1a	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	NM_004105
EHD2	EHD2___________-1A-1a	EHD2	EH-domain containing 2	NM_014601
ELANE	ELA2___________-1A-1a	ELA2	elastase 2, neutrophil	NM_001972
ELN	ELN____________-1A-1a	ELN	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)	NM_000501
ETFA	ETFA___________-1A-1a	ETFA	electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)	NM_000126
ELK4	ELK4___________-1A-1a	ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	NM_001973
EVC	EVC____________-1A-1a	EVC	Ellis van Creveld syndrome	NM_014556
ELL2	ELL2___________-1A-1a	ELL2	ELL-related RNA polymerase II, elongation factor	NM_012081
EEF2K	EEF2K__________-1A-1a	EEF2K	elongation factor-2 kinase	NM_013302
EMD	EMD____________-1A-1a	EMD	emerin (Emery-Dreifuss muscular dystrophy)	NM_000117
EBP	EBP____________-1A-1a	EBP	emopamil binding protein (sterol isomerase)	NM_006579
MRC2	MRC2___________-1A-1a	MRC2	endocytic receptor (macrophage mannose receptor family)	NM_006039
ENG	ENG____________-1A-1a	ENG	endoglin (Osler-Rendu-Weber syndrome 1)	NM_000118
ENSA	ENSA___________-1A-1a	ENSA	endosulfine alpha	NM_004436
TYMP	ECGF1__________-1A-1a	ECGF1	endothelial cell growth factor 1 (platelet-derived)	NM_001953
S1PR4	EDG6___________-1A-1a	EDG6	endothelial differentiation, G-protein-coupled receptor 6	NM_003775
BUD31	EDG2___________-1A-1a	EDG2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	NM_001401
LPAR2	EDG4___________-1A-1a	EDG4	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	NM_004720
LPAR3	EDG7___________-1A-1a	EDG7	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 7	NM_012152
HEXIM1	EDG1___________-1A-1a	EDG1	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	NM_001400
EDF1	EDF1___________-1A-1a	EDF1	endothelial differentiation-related factor 1
EPAS1	EPAS1__________-1A-1a	EPAS1	endothelial PAS domain protein 1	NM_001430
MED28	EG1____________-1A-1a	EG1	endothelial-derived gene 1	NM_025205
EDN1	EDN1___________-1A-1a	EDN1	endothelin 1	NM_001955
EDN2	EDN2___________-1A-1a	EDN2	endothelin 2	NM_001956
ECE1	ECE1___________-1A-1a	ECE1	endothelin converting enzyme 1	NM_001397
ECE2	ECE2___________-1A-1a	ECE2	endothelin converting enzyme 2	NM_014693
EDNRA	EDNRA__________-1A-1a	EDNRA	endothelin receptor type A	NM_001957
EDNRB	EDNRB__________-1A-1a	EDNRB	endothelin receptor type B	NM_000115
CCNB1IP1	HEI10__________-1A-1a	HEI10	enhancer of invasion 10	NM_021178
ENO1	ENO1___________-1A-1a	ENO1	enolase 1, (alpha)	NM_001428
ENO2	ENO2___________-1A-1a	ENO2	enolase 2, (gamma, neuronal)	NM_001975
ENO3	ENO3___________-1A-1a	ENO3	enolase 3, (beta, muscle)	NM_001976
ECH1	ECH1___________-1A-1a	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	NM_001398
CLINT1	ENTH___________-1A-1a	ENTH	enthoprotin	NM_014666
EPHA3	EPHA3__________-1A-1a	EPHA3	EphA3	NM_005233
EPHA4	EPHA4__________-1A-1a	EPHA4	EphA4	NM_004438
EPHA7	EPHA7__________-1A-1a	EPHA7	EphA7	NM_004440
EPHB1	EPHB1__________-1A-1a	EPHB1	EphB1	NM_004441
EPHB4	EPHB4__________-1A-1a	EPHB4	EphB4	NM_004444
EFNA2	EFNA2__________-1A-1a	EFNA2	ephrin-A2	NM_001405
EFNB2	EFNB2__________-1A-1a	EFNB2	ephrin-B2	NM_004093
EGF	EGF____________-1A-1a	EGF	epidermal growth factor (beta-urogastrone)	NM_001963
EMP2	EMP2___________-1A-1a	EMP2	epithelial membrane protein 2	NM_001424
EMP3	EMP3___________-1A-1a	EMP3	epithelial membrane protein 3	NM_001425
LIMA1	EPLIN__________-1A-1a	EPLIN	epithelial protein lost in neoplasm beta	NM_016357
EPHX1	EPHX1__________-1A-1a	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	NM_000120
ERO1L	ERO1L__________-1A-1a	ERO1L	ERO1-like (S. cerevisiae)	NM_014584
ESD	ESD____________-1A-1a	ESD	esterase D/formylglutathione hydrolase
ETV7	ETV7___________-1A-1a	ETV7	ets variant gene 7 (TEL2 oncogene )	NM_016135
ERF	ERF____________-1A-1a	ERF	Ets2 repressor factor	NM_006494
	EU-HMTASE1_____-1A-1a	Eu-HMTase1	euchromatic histone methyltransferase 1	NM_024757
EEF1A1	EEF1A1_________-1A-1a	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	NM_001402
EEF1A2	EEF1A2_________-1A-1a	EEF1A2	eukaryotic translation elongation factor 1 alpha 2	NM_001958
EEF1B2	EEF1B2_________-1A-1a	EEF1B2	eukaryotic translation elongation factor 1 beta 2	NM_001959
EEF1G	EEF1G__________-1A-1a	EEF1G	eukaryotic translation elongation factor 1 gamma	NM_001404
EEF2	EEF2___________-1A-1a	EEF2	eukaryotic translation elongation factor 2	NM_001961
EIF2S1	EIF2S1_________-1A-1a	EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	NM_004094
EIF3A	EIF3S10________-1A-1a	EIF3S10	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	NM_003750
EIF3D	EIF3S7_________-1A-1a	EIF3S7	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	NM_003753
EIF3C	EIF3S8_________-1A-1a	EIF3S8	eukaryotic translation initiation factor 3, subunit 8, 110kDa	NM_003752
EIF3B	EIF3S9_________-1A-1a	EIF3S9	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa	NM_003751
EIF4G1	EIF4G1_________-1A-1a	EIF4G1	eukaryotic translation initiation factor 4 gamma, 1	NM_004953
EIF4G2	EIF4G2_________-1A-1a	EIF4G2	eukaryotic translation initiation factor 4 gamma, 2	NM_001418
EIF4E	EIF4E__________-1A-1a	EIF4E	eukaryotic translation initiation factor 4E	NM_001968
EIF4EBP1	EIF4EBP1_______-1A-1a	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	NM_004095
EIF4E2	EIF4EL3________-1A-1a	EIF4EL3	eukaryotic translation initiation factor 4E-like 3	NM_004846
EIF5	EIF5___________-1A-1a	EIF5	eukaryotic translation initiation factor 5	NM_001969
EWSR1	EWSR1__________-1A-1a	EWSR1	Ewing sarcoma breakpoint region 1	NM_005243
ERCC1	ERCC1__________-1A-1a	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1	NM_001983
ERCC4	ERCC4__________-1A-1a	ERCC4	excision repair cross-complementing rodent repair deficiency, complementation group 4	NM_005236
EXT1	EXT1___________-1A-1a	EXT1	exostoses (multiple) 1	NM_000127
XPO1	XPO1___________-1A-1a	XPO1	exportin 1 (CRM1 homolog, yeast)	NM_003400
ECM1	ECM1___________-1A-1a	ECM1	extracellular matrix protein 1	NM_004425
F11R	F11R___________-1A-1a	F11R	F11 receptor	NM_016946
EDDM3A	FAM12A_________-1A-1a	FAM12A	family with sequence similarity 12, member A	NM_006683
EDDM3B	FAM12B_________-1A-1a	FAM12B	family with sequence similarity 12, member B (epididymal)	NM_022360
IFI27L2	FAM14A_________-1A-1a	FAM14A	family with sequence similarity 14, member A	NM_032036
FAM3A	FAM3A__________-1A-1a	FAM3A	family with sequence similarity 3, member A	NM_021806
FUBP1	FUBP1__________-1A-1a	FUBP1	far upstream element (FUSE) binding protein 1	NM_003902
FUBP3	FUBP3__________-1A-1a	FUBP3	far upstream element (FUSE) binding protein 3
FDFT1	FDFT1__________-1A-1a	FDFT1	farnesyl-diphosphate farnesyltransferase 1	NM_004462
FAIM2	FAIM2__________-1A-1a	FAIM2	Fas apoptotic inhibitory molecule 2	NM_012306
FASTK	FASTK__________-1A-1a	FASTK	FAST kinase	NM_006712
CD36	FAT____________-1A-1a	FAT	FAT tumor suppressor homolog 1 (Drosophila)	NM_005245
FABP3	FABP3__________-1A-1a	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth	NM_004102
FABP4	FABP4__________-1A-1a	FABP4	fatty acid binding protein 4, adipocyte	NM_001442
FASN	FASN___________-1A-1a	FASN	fatty acid synthase	NM_004104
ACSL1	FACL2__________-1A-1a	FACL2	fatty-acid-Coenzyme A ligase, long-chain 2	NM_021122
FBXO2	FBXO2__________-1A-1a	FBXO2	F-box only protein 2	NM_012168
FBXO3	FBXO3__________-1A-1a	FBXO3	F-box only protein 3	NM_012175
FCGRT	FCGRT__________-1A-1a	FCGRT	Fc fragment of IgG, receptor, transporter, alpha	NM_004107
MYOF	FER1L3_________-1A-1a	FER1L3	fer-1-like 3, myoferlin (C. elegans)	NM_013451
FER1L4	FER1L4_________-1A-1a	FER1L4	fer-1-like 4 (C. elegans)	NM_025206
FDX1	FDX1___________-1A-1a	FDX1	ferredoxin 1	NM_004109
FTH1	FTH1___________-1A-1a	FTH1	ferritin, heavy polypeptide 1	NM_002032
FTL	FTL____________-1A-1a	FTL	ferritin, light polypeptide	NM_000146
FECH	FECH___________-1A-1a	FECH	ferrochelatase (protoporphyria)	NM_000140
FATE1	FATE___________-1A-1a	FATE	fetal and adult testis expressed transcript protein	NM_033085
FBN1	FBN1___________-1A-1a	FBN1	fibrillin 1 (Marfan syndrome)	NM_000138
FAP	FAP____________-1A-1a	FAP	fibroblast activation protein, alpha	NM_004460
FIBP	FIBP___________-1A-1a	FIBP	fibroblast growth factor (acidic) intracellular binding protein	NM_004214
FGF1	FGF1___________-1A-1a	FGF1	fibroblast growth factor 1 (acidic)	NM_000800
FGF12	FGF12__________-1A-1a	FGF12	fibroblast growth factor 12	NM_004113
FGF2	FGF2___________-1A-1a	FGF2	fibroblast growth factor 2 (basic)	NM_002006
FGF3	FGF3___________-1A-1a	FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	NM_005247
FGF5	FGF5___________-1A-1a	FGF5	fibroblast growth factor 5	NM_004464
FGF6	FGF6___________-1A-1a	FGF6	fibroblast growth factor 6	NM_020996
FGFR1	FGFR1__________-1A-1a	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	NM_000604
FGFR3	FGFR3__________-1A-1a	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	NM_000142
FMOD	FMOD___________-1A-1a	FMOD	fibromodulin	NM_002023
FN1	FN1____________-1A-1a	FN1	fibronectin 1	NM_002026
FN1	FN1____________-2A-1a	FN1	fibronectin 1	NM_002026
FBLN1	FBLN1__________-1A-1a	FBLN1	fibulin 1	NM_001996
FBLN2	FBLN2__________-1A-1a	FBLN2	fibulin 2	NM_001998
FBLN5	FBLN5__________-1A-1a	FBLN5	fibulin 5	NM_006329
FCN1	FCN1___________-1A-1a	FCN1	ficolin (collagen/fibrinogen domain containing) 1	NM_002003
FLNA	FLNA___________-1A-1a	FLNA	filamin A, alpha (actin binding protein 280)	NM_001456
FLNC	FLNC___________-1A-1a	FLNC	filamin C, gamma (actin binding protein 280)	NM_001458
FAU	FAU____________-1A-1a	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)	NM_001997
FKBP11	FKBP11_________-1A-1a	FKBP11	FK506 binding protein 11, 19 kDa	NM_016594
MTOR	FRAP1__________-1A-1a	FRAP1	FK506 binding protein 12-rapamycin associated protein 1	NM_004958
FKBP1A	FKBP1A_________-1A-1a	FKBP1A	FK506 binding protein 1A, 12kDa	NM_000801
FKBP1B	FKBP1B_________-1A-1a	FKBP1B	FK506 binding protein 1B, 12.6 kDa	NM_004116
FKBP3	FKBP3__________-1A-1a	FKBP3	FK506 binding protein 3, 25kDa	NM_002013
FKBP4	FKBP4__________-1A-1a	FKBP4	FK506 binding protein 4, 59kDa	NM_002014
FKBP5	FKBP5__________-1A-1a	FKBP5	FK506 binding protein 5	NM_004117
FKBP8	FKBP8__________-1A-1a	FKBP8	FK506 binding protein 8, 38kDa	NM_012181
NACAP1	FKSG17_________-1A-1a	FKSG17	FKSG17	NM_032031
TRAFD1	FLN29__________-1A-1a	FLN29	FLN29 gene product	NM_006700
FLOT1	FLOT1__________-1A-1a	FLOT1	flotillin 1	NM_005803
FLT1	FLT1___________-1A-1a	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	NM_002019
FLT3	FLT3___________-1A-1a	FLT3	fms-related tyrosine kinase 3	NM_004119
C11orf75	FN5____________-1A-1a	FN5	FN5 protein	NM_020179
FOLR2	FOLR2__________-1A-1a	FOLR2	folate receptor 2 (fetal)	NM_000803
FST	FST____________-1A-1a	FST	follistatin	NM_006350
FSTL1	FSTL1__________-1A-1a	FSTL1	follistatin-like 1	NM_007085
FSTL3	FSTL3__________-1A-1a	FSTL3	follistatin-like 3 (secreted glycoprotein)	NM_005860
FOXC1	FOXC1__________-1A-1a	FOXC1	forkhead box C1	NM_001453
ALDH1L1	FTHFD__________-1A-1a	FTHFD	formyltetrahydrofolate dehydrogenase	NM_012190
FOSL1	FOSL1__________-1A-1a	FOSL1	FOS-like antigen 1	NM_005438
FHL1	FHL1___________-1A-1a	FHL1	four and a half LIM domains 1	NM_001449
FHL2	FHL2___________-1A-1a	FHL2	four and a half LIM domains 2	NM_001450
FHL3	FHL3___________-1A-1a	FHL3	four and a half LIM domains 3	NM_004468
FXR1	FXR1___________-1A-1a	FXR1	fragile X mental retardation, autosomal homolog 1	NM_005087
FXR2	FXR2___________-1A-1a	FXR2	fragile X mental retardation, autosomal homolog 2	NM_004860
NCS1	FREQ___________-1A-1a	FREQ	frequenin homolog (Drosophila)	NM_014286
FXN	FRDA___________-1A-1a	FRDA	Friedreich ataxia	NM_000144
FZD7	FZD7___________-1A-1a	FZD7	frizzled homolog 7 (Drosophila)	NM_003507
