Curated Gene Symbol	Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (0 Gy)	Geom mean of intensities in class 2 (0.1 Gy)	Geom mean of intensities in class 3 (0.5 Gy)	Geom mean of intensities in class 4 (2 Gy)	Unique id	Description	GB acc	Gene symbol	Fold change 0.1/0 Gy	Fold change 0.5/0 Gy	Fold change 2/0 Gy
TREM2	109	< 1e-07	< 1e-07	50.8049141	64.7848255	98.5812674	149.8658074	A_24_P12397	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	NM_018965	TREM2	1.275168488	1.940388428	2.949828969
SMTN	110	< 1e-07	< 1e-07	36.0816124	39.0943592	47.5612851	61.1683567	A_23_P211428	Homo sapiens smoothelin (SMTN), transcript variant 2, mRNA [NM_134269]	NM_134269	SMTN	1.08349812	1.318158528	1.695277806
NFKB2	111	< 1e-07	< 1e-07	353.8989383	378.3866464	428.7824835	596.8402689	A_23_P202156	Homo sapiens nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) (NFKB2), transcript variant 3, mRNA [NM_001077493]	NM_001077493	NFKB2	1.069194071	1.211595846	1.686470922
MAP4K4	112	< 1e-07	< 1e-07	1651.561311	1870.542821	2231.122468	2711.257198	A_23_P108604	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	NM_145686	MAP4K4	1.132590603	1.350917131	1.641632787
OSCP1	113	< 1e-07	< 1e-07	84.9484999	91.1935904	110.9328046	165.1265914	A_23_P103433	Homo sapiens chromosome 1 open reading frame 102 (C1orf102), transcript variant 1, mRNA [NM_145047]	NM_145047	C1orf102	1.073516195	1.305883032	1.943843524
FAM129C	114	< 1e-07	< 1e-07	184.9071029	179.3774112	149.8990962	87.6206765	A_23_P345799	Homo sapiens family with sequence similarity 129, member C (FAM129C), mRNA [NM_173544]	NM_173544	FAM129C	0.970094758	0.810672461	0.473863227
FCRL5	115	< 1e-07	< 1e-07	153.9246904	167.0226611	284.4258217	532.2242423	A_23_P201211	Homo sapiens Fc receptor-like 5 (FCRL5), mRNA [NM_031281]	NM_031281	FCRL5	1.08509337	1.84782455	3.457692466
	116	< 1e-07	< 1e-07	9.9690033	10.9002429	13.0703715	30.749636	A_24_P84130	Homo sapiens cDNA: FLJ21027 fis, clone CAE07110. [AK024680]	AK024680	AK024680	1.093413511	1.311101131	3.084524608
TNFRSF10D	117	< 1e-07	< 1e-07	8.7638681	12.962266	13.4781101	24.3945131	A_23_P95417	Homo sapiens tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain (TNFRSF10D), mRNA [NM_003840]	NM_003840	TNFRSF10D	1.479057632	1.537917954	2.783532662
	118	< 1e-07	< 1e-07	97.0691613	99.3752678	124.4910052	207.4881256	A_24_P633575	Homo sapiens full length insert cDNA clone ZD54C08. [AF086329]	AF086329	AF086329	1.023757355	1.282498	2.137528777
PLXNA2	119	< 1e-07	< 1e-07	127.2809386	143.0381692	188.8589823	241.5753404	A_23_P46618	Homo sapiens plexin A2 (PLXNA2), mRNA [NM_025179]	NM_025179	PLXNA2	1.123798825	1.483796273	1.897969508
TP53I3	120	< 1e-07	< 1e-07	305.3513352	342.1003509	399.1887617	537.0279083	A_23_P5392	Homo sapiens tumor protein p53 inducible protein 3 (TP53I3), transcript variant 1, mRNA [NM_004881]	NM_004881	TP53I3	1.120349943	1.307309698	1.758721336
NTPCR	121	< 1e-07	< 1e-07	263.6725604	295.0979871	359.5140701	478.4760518	A_23_P200252	Homo sapiens chromosome 1 open reading frame 57 (C1orf57), mRNA [NM_032324]	NM_032324	C1orf57	1.119183531	1.363486855	1.814660013
	122	< 1e-07	< 1e-07	85.7712387	90.3190853	74.244799	36.7863866	A_32_P156786	Unknown	THC2651023	THC2651023	1.053022979	0.865614163	0.428889534
MIR155HG	123	< 1e-07	< 1e-07	29.9261021	31.282926	33.9980775	57.5118697	A_32_P108156	Homo sapiens BIC transcript (BIC) on chromosome 21 [NR_001458]	NR_001458	BIC	1.045339146	1.136067684	1.921796213
MAP4K4	124	< 1e-07	< 1e-07	200.7830447	230.2027133	273.726393	336.2189535	A_23_P102192	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]	NM_145686	MAP4K4	1.146524666	1.363294363	1.674538575
CCL17	125	< 1e-07	< 1e-07	21.0959173	17.4778792	17.8126619	32.3225701	A_23_P26325	Homo sapiens chemokine (C-C motif) ligand 17 (CCL17), mRNA [NM_002987]	NM_002987	CCL17	0.828495815	0.844365364	1.532171825
RGS12	126	0.0000001	0.0000085	166.8538198	181.9366482	238.7122536	292.5534377	A_24_P220786	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 1, mRNA [NM_198229]	NM_198229	RGS12	1.090395464	1.430666999	1.753351755
TRAF5	127	0.0000001	0.0000085	2741.560532	2687.624203	2361.689653	1805.842661	A_23_P201731	Homo sapiens TNF receptor-associated factor 5 (TRAF5), transcript variant 1, mRNA [NM_004619]	NM_004619	TRAF5	0.980326413	0.861439908	0.658691515
FHL2	128	0.0000001	0.0000085	156.1658562	166.2806398	200.5565033	332.9999984	A_23_P108751	Homo sapiens four and a half LIM domains 2 (FHL2), transcript variant 5, mRNA [NM_001039492]	NM_001039492	FHL2	1.064769495	1.284253218	2.132348303
TNFSF9	129	0.0000001	0.0000085	65.091499	75.2743808	90.1439761	121.2243702	A_24_P5856	Homo sapiens tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA [NM_003811]	NM_003811	TNFSF9	1.156439504	1.384880937	1.862368697
SLC7A6	130	0.0000001	0.0000085	126.9545105	140.0409354	159.0227595	217.1350678	A_24_P159312	Homo sapiens solute carrier family 7 (cationic amino acid transporter, y+ system), member 6 (SLC7A6), transcript variant 2, mRNA [NM_001076785]	NM_001076785	SLC7A6	1.103079637	1.252596374	1.710337561
ANXA4	131	0.0000001	0.0000085	966.3120873	1034.574461	1238.294446	1592.057019	A_23_P16976	Homo sapiens annexin A4 (ANXA4), mRNA [NM_001153]	NM_001153	ANXA4	1.07064216	1.281464304	1.647559872
LOR	132	0.0000001	0.0000085	9.7452096	10.8018585	14.7406305	23.8573817	A_23_P34452	Homo sapiens loricrin (LOR), mRNA [NM_000427]	NM_000427	LOR	1.108427519	1.512602715	2.448113758
ELL3	133	0.0000001	0.0000085	100.8894041	101.3347238	88.4680687	58.0337576	A_23_P3237	Homo sapiens elongation factor RNA polymerase II-like 3 (ELL3), mRNA [NM_025165]	NM_025165	ELL3	1.004413939	0.876881666	0.575221532
APLF	134	0.0000001	0.0000085	59.2373397	59.6227818	73.0721166	100.266509	A_32_P16339	Homo sapiens chromosome 2 open reading frame 13 (C2orf13), mRNA [NM_173545]	NM_173545	C2orf13	1.006506742	1.233548248	1.692623428
ITLN2	135	0.0000001	0.0000085	57.6142883	63.8931397	78.604618	127.8374813	A_24_P53778	Homo sapiens intelectin 2 (ITLN2), mRNA [NM_080878]	NM_080878	ITLN2	1.108980803	1.364325071	2.218850307
IER5	136	0.0000002	0.0000166	30747.73238	35501.45792	43314.81663	51679.18596	A_23_P86330	Homo sapiens immediate early response 5 (IER5), mRNA [NM_016545]	NM_016545	IER5	1.154604102	1.408715807	1.680747878
TRIM32	137	0.0000002	0.0000166	40.4626604	49.6238475	60.2660395	81.2309931	A_23_P112311	Homo sapiens tripartite motif-containing 32 (TRIM32), mRNA [NM_012210]	NM_012210	TRIM32	1.226410894	1.489423555	2.007554429
RRAD	138	0.0000002	0.0000166	17.0553507	20.5477224	21.925792	40.094779	A_24_P262127	Homo sapiens Ras-related associated with diabetes (RRAD), mRNA [NM_004165]	NM_004165	RRAD	1.204766924	1.285566764	2.350862184
HRK	139	0.0000003	0.0000241	212.4072746	202.8298754	194.3833195	87.4511036	A_23_P25194	Homo sapiens harakiri, BCL2 interacting protein (contains only BH3 domain) (HRK), mRNA [NM_003806]	NM_003806	HRK	0.954910211	0.915144361	0.411714259
CD40	140	0.0000003	0.0000241	209.2092196	229.242895	267.6507475	358.7787377	A_23_P57036	Homo sapiens CD40 molecule, TNF receptor superfamily member 5 (CD40), transcript variant 1, mRNA [NM_001250]	NM_001250	CD40	1.095759047	1.279344897	1.714927948
GNG7	141	0.0000003	0.0000241	505.239532	478.8219455	396.7350192	297.9478491	A_23_P153897	Homo sapiens guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA [NM_052847]	NM_052847	GNG7	0.947712748	0.785241443	0.589716026
	142	0.0000003	0.0000241	579.3034511	597.0537309	694.3583543	890.8636713	A_24_P196774	Homo sapiens, clone IMAGE:3029191, mRNA. [BC014395]	BC014395	BC014395	1.030640729	1.198609042	1.537818685
	143	0.0000003	0.0000241	424.760033	485.1747897	573.74998	733.8885941	A_24_P677525	Homo sapiens NM-4 mRNA, complete cds. [AF336795]	AF336795	AF336795	1.142232677	1.350762632	1.727772241
METTL7A	144	0.0000004	0.0000317	358.32866	328.2012678	497.228658	679.2475792	A_24_P941773	Homo sapiens methyltransferase like 7A (METTL7A), mRNA [NM_014033]	NM_014033	METTL7A	0.91592246	1.387632957	1.895599362
ZNF337	145	0.0000004	0.0000317	297.9149752	328.3286395	367.8593555	494.1155318	A_24_P318939	Homo sapiens zinc finger protein 337 (ZNF337), mRNA [NM_015655]	NM_015655	ZNF337	1.102088404	1.234779672	1.658579034
RASGEF1A	146	0.0000007	0.0000543	588.6415403	576.0708303	505.3579702	375.4533518	A_23_P391344	Homo sapiens RasGEF domain family, member 1A, mRNA (cDNA clone MGC:26821 IMAGE:4814750), complete cds. [BC022548]	BC022548	RASGEF1A	0.978644541	0.858515643	0.637830201
TNFRSF18	147	0.0000007	0.0000543	159.2995508	161.8548121	175.2813224	298.5956762	A_24_P411121	Homo sapiens tumor necrosis factor receptor superfamily, member 18 (TNFRSF18), transcript variant 2, mRNA [NM_148901]	NM_148901	TNFRSF18	1.016040606	1.100325277	1.874428865
SOGA1	148	0.0000007	0.0000543	25.6595242	23.626397	29.8778661	45.4426966	A_23_P5936	Homo sapiens mRNA for KIAA0889 protein, partial cds. [AB020696]	AB020696	C20orf117	0.920765203	1.164396731	1.770987499
GHRL	149	0.0000009	0.0000694	1018.605927	1063.951938	1231.23782	1822.388596	A_23_P40956	Homo sapiens ghrelin/obestatin preprohormone (GHRL), mRNA [NM_016362]	NM_016362	GHRL	1.044517718	1.208747944	1.789100719
GNG7	150	0.0000015	0.0001149	44.3300851	41.4037084	34.7263416	26.757586	A_24_P279749	Homo sapiens guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA [NM_052847]	NM_052847	GNG7	0.933986666	0.783358334	0.603598796
	151	0.0000016	0.0001217	84.9571761	86.9516915	78.0462466	46.5085959	A_32_P12454	Homo sapiens cDNA clone IMAGE:5287818. [BC041686]	BC041686	BC041686	1.023476715	0.918653964	0.547435756
ECE1	152	0.0000017	0.0001285	526.232573	514.8336792	545.3666359	791.0698799	A_24_P154080	Homo sapiens endothelin converting enzyme 1 (ECE1), mRNA [NM_001397]	NM_001397	ECE1	0.978338677	1.036360469	1.503270456
	153	0.0000019	0.0001426	131.5197503	157.8483363	204.8640098	308.192925	A_32_P165407	Homo sapiens cDNA: FLJ21273 fis, clone COL01778. [AK024926]	AK024926	AK024926	1.200187317	1.557667265	2.343320485
CD79A	154	0.0000024	0.0001778	6239.596157	5749.013043	4961.81714	3657.932255	A_23_P107735	Homo sapiens CD79a molecule, immunoglobulin-associated alpha (CD79A), transcript variant 1, mRNA [NM_001783]	NM_001783	CD79A	0.921375823	0.795214468	0.586245033
ABTB2	155	0.0000024	0.0001778	148.4967247	148.8157512	162.5922618	253.9520004	A_23_P356616	Homo sapiens ankyrin repeat and BTB (POZ) domain containing 2 (ABTB2), mRNA [NM_145804]	NM_145804	ABTB2	1.002148374	1.094921535	1.7101522
IER5L	156	0.0000025	0.0001841	3946.371333	4076.639921	4955.982002	6178.466307	A_24_P383450	Homo sapiens immediate early response 5-like (IER5L), mRNA [NM_203434]	NM_203434	IER5L	1.033009714	1.255832659	1.56560693
CHI3L2	157	0.0000033	0.0002399	98.1404749	112.2996437	127.1212917	171.176669	A_23_P12082	Homo sapiens chitinase 3-like 2 (CHI3L2), transcript variant 3, mRNA [NM_001025199]	NM_001025199	CHI3L2	1.144274509	1.295299333	1.744200537
	158	0.0000033	0.0002399	40.0878023	32.3450525	28.3045699	23.9464772	A_32_P32043	Homo sapiens cDNA FLJ39086 fis, clone NT2RP7019135. [AK096405]	AK096405	AK096405	0.806855219	0.706064396	0.597350711
CD80	159	0.0000036	0.0002601	13.8288131	14.2046202	14.5791307	29.1504626	A_24_P320033	Homo sapiens CD80 molecule (CD80), mRNA [NM_005191]	NM_005191	CD80	1.027175658	1.054257556	2.107951159
ZP1	160	0.0000038	0.0002728	15.7634894	17.9651462	21.7895823	30.1758995	A_23_P1912	Homo sapiens zona pellucida glycoprotein 1 (sperm receptor) (ZP1), mRNA [NM_207341]	NM_207341	ZP1	1.139668112	1.38228166	1.914290595
	161	0.0000047	0.0003332	52.5544661	50.8593009	59.7110752	112.9036495	A_32_P12994	full-length cDNA clone CS0DI015YJ05 of Placenta Cot 25-normalized of Homo sapiens (human). [CR601322]	CR601322	CR601322	0.967744602	1.136175089	2.148316934
GNG4	162	0.0000047	0.0003332	76.4082136	77.0022216	84.0427593	119.3982933	A_23_P335329	Homo sapiens guanine nucleotide binding protein (G protein), gamma 4 (GNG4), mRNA [NM_004485]	NM_004485	GNG4	1.007774138	1.099917867	1.56263689
FAR2	163	0.0000048	0.0003382	83.5710378	78.6203972	63.1039768	47.5134291	A_23_P150903	Homo sapiens male sterility domain containing 1 (MLSTD1), mRNA [NM_018099]	NM_018099	MLSTD1	0.940761288	0.755093851	0.568539417
TP63	164	0.0000058	0.0004062	23.5979434	27.8013098	37.1447543	62.5340111	A_23_P327380	Homo sapiens tumor protein p73-like (TP73L), mRNA [NM_003722]	NM_003722	TP73L	1.178124268	1.574067438	2.649977163
SYT17	165	0.0000064	0.0004455	69.1714385	79.5669649	104.6064768	129.5952115	A_23_P163697	Homo sapiens synaptotagmin XVII (SYT17), mRNA [NM_016524]	NM_016524	SYT17	1.150286399	1.512278464	1.873536452
RELB	166	0.0000076	0.0005259	10009.92595	10728.57027	12462.65126	17471.62303	A_23_P55706	Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian) (RELB), mRNA [NM_006509]	NM_006509	RELB	1.07179317	1.245029316	1.745429798
GNG8	167	0.0000078	0.0005365	153.8354202	158.0325317	190.2771226	288.3303314	A_24_P79070	Homo sapiens guanine nucleotide binding protein (G protein), gamma 8 (GNG8), mRNA [NM_033258]	NM_033258	GNG8	1.027283128	1.236887593	1.87427792
	168	0.0000085	0.0005811	35.5009742	39.0291863	52.7540178	55.8715109	A_24_P767901	PREDICTED: Homo sapiens hypothetical LOC648960 (LOC648960), mRNA [XR_018450]	XR_018450	LOC648960	1.099383529	1.485987892	1.573802189
FCRL3	169	0.0000086	0.0005845	137.3057889	148.7135832	190.8770734	265.7971384	A_23_P358438	Homo sapiens Fc receptor-like 3 (FCRL3), mRNA [NM_052939]	NM_052939	FCRL3	1.083083127	1.390160422	1.935804313
FAS	170	0.0000095	0.0006419	531.9897424	570.5452056	689.144912	994.7595407	A_23_P63896	Homo sapiens Fas (TNF receptor superfamily, member 6) (FAS), transcript variant 1, mRNA [NM_000043]	NM_000043	FAS	1.072474073	1.29541015	1.869884814
SLC34A1	171	0.0000104	0.0006986	133.4005494	116.2653812	108.4535404	83.5203002	A_23_P58729	Homo sapiens solute carrier family 34 (sodium phosphate), member 1 (SLC34A1), mRNA [NM_003052]	NM_003052	SLC34A1	0.871550992	0.812991707	0.626086628
	172	0.0000108	0.0007212	66.6766478	80.5252761	108.2213154	114.9845766	A_24_P694820	Unknown	THC2533951	THC2533951	1.207698329	1.623076729	1.72451046
EI24	173	0.000013	0.0008631	242.2843351	286.9809957	326.0468261	402.9265452	A_24_P4661	Homo sapiens etoposide induced 2.4 mRNA (EI24), transcript variant 1, mRNA [NM_004879]	NM_004879	EI24	1.184480192	1.345719796	1.663031764
AP1S3	174	0.0000143	0.000944	12.2326059	13.4906751	16.2206629	22.376761	A_23_P385295	Homo sapiens adaptor-related protein complex 1, sigma 3 subunit, mRNA (cDNA clone MGC:17284 IMAGE:4340257), complete cds. [BC021898]	BC021898	AP1S3	1.10284556	1.326018596	1.829271799
MTHFD1L	175	0.0000151	0.0009911	71.4771358	86.1041685	101.7432986	137.0475846	A_32_P135243	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L), mRNA [NM_015440]	NM_015440	MTHFD1L	1.204639323	1.423438383	1.917362567
ESR2	176	0.0000158	0.0010253	9.60658	11.5299457	13.8132331	16.2557003	A_23_P54100	Homo sapiens estrogen receptor 2 (ER beta) (ESR2), transcript variant a, mRNA [NM_001437]	NM_001437	ESR2	1.200213364	1.437892892	1.692142292
FCRL3	177	0.0000158	0.0010253	17.2256982	19.1466181	24.4311469	36.7890426	A_23_P103803	Homo sapiens Fc receptor-like 3 (FCRL3), mRNA [NM_052939]	NM_052939	FCRL3	1.111514777	1.418296467	2.135706906
KCNN4	178	0.000016	0.0010324	2214.042514	2592.574458	2830.106817	3623.965116	A_23_P67529	Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4 (KCNN4), mRNA [NM_002250]	NM_002250	KCNN4	1.170968688	1.27825315	1.636809182
USP15	179	0.0000173	0.0011101	199.5293894	180.102839	151.7239955	133.6782451	A_23_P325802	Homo sapiens ubiquitin specific peptidase 15, mRNA (cDNA clone IMAGE:5176281), complete cds. [BC110908]	BC110908	USP15	0.90263815	0.760409261	0.669967695
RASAL2	180	0.0000177	0.0011295	75.6989429	84.9887754	95.6894121	135.8251357	A_24_P419250	Homo sapiens RAS protein activator like 2 (RASAL2), transcript variant 2, mRNA [NM_170692]	NM_170692	RASAL2	1.122720769	1.264078578	1.794280481
AGRN	181	0.0000181	0.0011423	30.987563	35.9134852	33.8621427	51.6208803	A_24_P24819	Homo sapiens agrin (AGRIN), mRNA [NM_198576]	NM_198576	AGRIN	1.158964492	1.092765594	1.665858019
TTC21A	182	0.0000181	0.0011423	868.0894597	836.1640904	718.6388628	538.0436753	A_23_P428248	Homo sapiens tetratricopeptide repeat domain 21A (TTC21A), mRNA [NM_145755]	NM_145755	TTC21A	0.963223411	0.827839637	0.619802106
	183	0.0000189	0.0011863	301.0167915	297.9541222	244.2228942	202.7165847	A_24_P212565	PREDICTED: Homo sapiens similar to CG31232-PA, isoform A (LOC651831), mRNA [XM_941086]	XM_941086	LOC651831	0.989825587	0.811326481	0.673439457
ZDHHC14	184	0.0000196	0.0012169	27.0411501	29.6229433	37.5006493	43.548303	A_24_P269129	Homo sapiens zinc finger, DHHC-type containing 14 (ZDHHC14), transcript variant 2, mRNA [NM_153746]	NM_153746	ZDHHC14	1.095476457	1.386799347	1.610445667
	185	0.0000196	0.0012169	14.0152179	16.4683705	19.1187182	27.519608	A_32_P226768	Unknown	THC2668193	THC2668193	1.175034924	1.364139918	1.963551919
DBN1	186	0.0000223	0.0013771	1251.19322	1231.653518	1096.043376	847.0633573	A_23_P156284	Homo sapiens drebrin 1 (DBN1), transcript variant 2, mRNA [NM_080881]	NM_080881	DBN1	0.984383146	0.875998493	0.677004434
AP1S3	187	0.0000229	0.0014066	25.0575186	22.3266014	31.3872139	51.1160392	A_24_P105747	Homo sapiens adaptor-related protein complex 1, sigma 3 subunit (AP1S3), mRNA [NM_001039569]	NM_001039569	AP1S3	0.891014061	1.252606629	2.039948169
	188	0.0000235	0.0014358	25.9993217	37.5520926	59.4298428	50.7849594	A_32_P30489	BX118699 Soares adult brain N2b5HB55Y Homo sapiens cDNA clone IMAGp998K21329, mRNA sequence [BX118699]	BX118699	BX118699	1.444348935	2.285822818	1.953318628
	189	0.000024	0.0014585	12.5269842	12.0713255	13.8099955	22.2306055	A_23_P65851	Homo sapiens mRNA for KIAA2002 protein. [AB082533]	AB082533	KIAA2002	0.963625826	1.102419807	1.774617509
	190	0.0000242	0.001463	14.7715332	15.6098439	18.5891366	41.5610616	A_24_P871940	Q5PP12_ARATH (Q5PP12) At5g40730, partial (23%) [THC2622092]	THC2622092	THC2622092	1.056751773	1.258443274	2.813591591
	191	0.0000265	0.001583	46.7931351	51.1105739	56.5275109	76.3603037	A_32_P92563	Homo sapiens cDNA FLJ40574 fis, clone THYMU2007036. [AK097893]	AK097893	LOC257396	1.0922665	1.208029998	1.631869793
	192	0.0000265	0.001583	103.1900494	108.1272671	122.1164687	155.2978885	A_32_P203728	Unknown	THC2631297	THC2631297	1.04784587	1.183413221	1.504969611
	193	0.0000266	0.001583	180.2615019	195.7667619	238.3529529	277.803854	A_32_P174214	CT149_MOUSE (Q9CR37) UPF0362 protein C20orf149 homolog, partial (13%) [THC2637838]	THC2637838	THC2637838	1.086015371	1.322262105	1.541115829
VPREB3	194	0.000027	0.0015986	329.6640744	293.3764988	246.3002372	171.8910655	A_23_P166371	Homo sapiens pre-B lymphocyte gene 3 (VPREB3), mRNA [NM_013378]	NM_013378	VPREB3	0.889925599	0.747124896	0.521412792
USP49	195	0.0000297	0.0017405	21.2998064	24.788994	28.9292439	33.5504065	A_23_P331770	Homo sapiens ubiquitin specific peptidase 49 (USP49), mRNA [NM_018561]	NM_018561	USP49	1.163813113	1.35819281	1.575150772
DYX1C1	196	0.0000297	0.0017405	150.2221636	145.5232003	120.6344964	86.7477367	A_23_P37505	Homo sapiens dyslexia susceptibility 1 candidate 1 (DYX1C1), transcript variant 1, mRNA [NM_130810]	NM_130810	DYX1C1	0.968719907	0.8030406	0.57746297
APOBEC3G	197	0.0000331	0.0019299	1164.472878	1337.655203	1482.911517	1888.984018	A_23_P143713	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G (APOBEC3G), mRNA [NM_021822]	NM_021822	APOBEC3G	1.148721648	1.273461619	1.622179489
TYMS	198	0.0000354	0.0020536	87.6746797	102.2668689	115.2687665	184.556218	A_23_P50096	Homo sapiens thymidylate synthetase (TYMS), mRNA [NM_001071]	NM_001071	TYMS	1.166435615	1.314732679	2.105011602
	199	0.0000396	0.0022857	110.6392142	97.5998716	82.6304762	66.8444113	A_32_P63113	Q9T6M0_GLOPA (Q9T6M0) NADH-ubiquinone oxidoreductase subunit 1, partial (6%) [THC2706386]	THC2706386	THC2706386	0.88214538	0.746846196	0.604165637
LILRB5	200	0.0000468	0.0026877	82.9080102	88.9682392	114.948889	140.9869251	A_23_P4773	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5 (LILRB5), mRNA [NM_006840]	NM_006840	LILRB5	1.07309582	1.386463005	1.700522359
DRAM1	201	0.0000505	0.0028858	134.895387	129.1233483	164.553204	209.9625601	A_24_P381455	Homo sapiens damage-regulated autophagy modulator (DRAM), mRNA [NM_018370]	NM_018370	DRAM	0.957211	1.219857904	1.55648436
SEC61A2	202	0.0000533	0.0030307	21.499593	23.2283832	24.4576819	35.1806641	A_23_P399921	Homo sapiens Sec61 alpha 2 subunit (S. cerevisiae), mRNA (cDNA clone MGC:32910 IMAGE:4823130), complete cds. [BC026179]	BC026179	SEC61A2	1.080410369	1.137588135	1.636340934
	203	0.0000574	0.0032478	38.7177355	44.1278442	47.7966366	68.9008391	A_32_P177797	Homo sapiens cDNA clone IMAGE:6500775, partial cds. [BC053632]	BC053632	BC053632	1.139732054	1.234489465	1.779567896
ZDHHC14	204	0.0000578	0.0032544	277.8193219	316.9450745	414.3111166	446.3826447	A_23_P250619	Homo sapiens zinc finger, DHHC-type containing 14 (ZDHHC14), transcript variant 2, mRNA [NM_153746]	NM_153746	ZDHHC14	1.140831647	1.491296983	1.606737219
CD83	205	0.0000662	0.0037091	5839.21908	5954.784087	7342.926697	9654.166875	A_23_P70670	Homo sapiens CD83 molecule (CD83), transcript variant 1, mRNA [NM_004233]	NM_004233	CD83	1.019791175	1.257518616	1.653331848
TSNAXIP1	206	0.0000718	0.003998	18.9009483	21.3595559	22.1067614	33.8108929	A_23_P129425	Homo sapiens translin-associated factor X interacting protein 1 (TSNAXIP1), mRNA [NM_018430]	NM_018430	TSNAXIP1	1.130078532	1.169611231	1.788846378
TANC1	207	0.0000723	0.003998	9.9110078	9.4700991	11.3284217	20.2028223	A_23_P388400	Homo sapiens tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 (TANC1), mRNA [NM_033394]	NM_033394	TANC1	0.955513232	1.143014104	2.038422601
KLK1	208	0.0000724	0.003998	20.6242376	20.7905511	25.7163066	38.588917	A_23_P16252	Homo sapiens kallikrein 1 (KLK1), mRNA [NM_002257]	NM_002257	KLK1	1.008063983	1.24689732	1.871046957
	209	0.0000755	0.0041492	249.8793257	256.1963732	303.4381496	374.6462055	A_23_P161644	RNA-binding protein 14 (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein). [Source:Uniprot/SWISSPROT;Acc:Q96PK6] [ENST00000310106]	ENST00000310106	ENST00000310106	1.025280393	1.214338756	1.499308534
PCDH9	210	0.0000843	0.0046108	54.6952726	55.0311955	47.6516737	31.9566426	A_24_P187218	Homo sapiens protocadherin 9 (PCDH9), transcript variant 2, mRNA [NM_020403]	NM_020403	PCDH9	1.006141717	0.871221066	0.584266996
TSPAN33	211	0.0000864	0.0047033	90.1797997	97.6684559	111.8946981	148.6876377	A_32_P123652	Homo sapiens tetraspanin 33 (TSPAN33), mRNA [NM_178562]	NM_178562	TSPAN33	1.083041393	1.240795594	1.648790951
LMNA	212	0.0000885	0.0047949	607.5519821	719.3539656	906.0684006	1178.083616	A_24_P162718	Homo sapiens lamin A/C (LMNA), transcript variant 2, mRNA [NM_005572]	NM_005572	LMNA	1.184020441	1.491343008	1.939066368
SSPN	213	0.0000919	0.0049557	210.4602187	205.2097163	186.2145162	142.2152968	A_23_P203920	Homo sapiens sarcospan (Kras oncogene-associated gene) (SSPN), mRNA [NM_005086]	NM_005086	SSPN	0.975052281	0.884796744	0.675734814
DBN1	214	0.0000957	0.0051365	207.9189955	202.4429077	177.7363313	142.017577	A_24_P97849	Homo sapiens drebrin 1 (DBN1), transcript variant 2, mRNA [NM_080881]	NM_080881	DBN1	0.973662398	0.854834504	0.68304282
C3	215	0.0001041	0.0055409	310.1964265	352.0853742	357.8698931	575.2009912	A_23_P101407	Homo sapiens complement component 3 (C3), mRNA [NM_000064]	NM_000064	C3	1.135040072	1.153687994	1.854312113
E2F5	216	0.0001042	0.0055409	78.8783953	69.3643268	62.8863631	49.5970131	A_23_P31721	Homo sapiens E2F transcription factor 5, p130-binding (E2F5), mRNA [NM_001951]	NM_001951	E2F5	0.879383088	0.797257131	0.628778171
SNX8	217	0.0001048	0.0055472	238.5026918	262.5710035	313.9083134	378.1301244	A_23_P414252	Homo sapiens sorting nexin 8 (SNX8), mRNA [NM_013321]	NM_013321	SNX8	1.100914214	1.31616256	1.585433362
TNFRSF9	218	0.0001089	0.0057168	38.6970889	36.1021465	37.4491771	70.4397476	A_23_P51936	Homo sapiens tumor necrosis factor receptor superfamily, member 9 (TNFRSF9), mRNA [NM_001561]	NM_001561	TNFRSF9	0.932942181	0.967751791	1.820285443
PRM3	219	0.000109	0.0057168	356.2669799	253.0600172	224.9414456	218.8571039	A_23_P305470	Homo sapiens protamine 3 (PRM3), mRNA [NM_021247]	NM_021247	PRM3	0.710310053	0.631384491	0.614306451
