# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_012809|NM_012809	mgi_symbol|Cnp|Cnp
refseq_dna|NM_001030034|NM_001030034	mgi_symbol|Rhbdf1|Rhbdf1
entrezgene|BM390495|300030	mgi_symbol|Rhpn1|Rhpn1
refseq_dna|NM_031103|NM_031103	mgi_symbol|Rpl19|Rpl19
refseq_dna|NM_022515|NM_022515	mgi_symbol|Rpl24|Rpl24
refseq_dna|NM_022514|NM_022514	mgi_symbol|Rpl27|Rpl27
entrezgene|X52619|64638	mgi_symbol|Rpl28|Rpl28
refseq_dna|NM_022699|NM_022699	mgi_symbol|Rpl30|Rpl30
refseq_dna|NM_022504|NM_022504	mgi_symbol|Rpl36|Rpl36
refseq_dna|NM_031106|NM_031106	mgi_symbol|Rpl37|Rpl37
embl|X57007|X57007	mgi_symbol|Rpl38|Rpl38
refseq_dna|NM_022510|NM_022510	mgi_symbol|Rpl4|Rpl4
refseq_dna|NM_139083|NM_139083	mgi_symbol|Rpl41|Rpl41
refseq_dna|NM_031109|NM_031109	mgi_symbol|Rps10|Rps10
refseq_dna|NM_031110|NM_031110	mgi_symbol|Rps11|Rps11
refseq_dna|NM_017151|NM_017151	mgi_symbol|Rps15|Rps15
refseq_dna|XM_574391|XM_574391	mgi_symbol|Rps19|Rps19
refseq_dna|NM_031111|NM_031111	mgi_symbol|Rps21|Rps21
refseq_dna|NM_001005528|NM_001005528	mgi_symbol|Rps25|Rps25
refseq_dna|NM_017153|NM_017153	mgi_symbol|Rps3a|Rps3a
refseq_dna|NM_031107|NM_031107	mgi_symbol|Rps6ka1|Rps6ka1
refseq_dna|XM_213277|XM_213277	mgi_symbol|Rnf145|Rnf145
refseq_dna|XM_343561|XM_343561	mgi_symbol|Rnf149|Rnf149
refseq_dna|XM_217263|XM_217263	mgi_symbol|Rbm5|Rbm5
refseq_dna|XM_226369|XM_226369	mgi_symbol|Rbmxrtl|Rbmxrtl
refseq_dna|XM_346355|XM_346355	mgi_symbol|Rbmx2|Rbmx2
entrezgene|AJ003232|294270	mgi_symbol|RT1-Db1|RT1-Db1
refseq_dna|NM_053485|NM_053485	mgi_symbol|S100a6|S100a6
refseq_dna|XM_343147|XM_343147	mgi_symbol|Sarnp|Sarnp
refseq_dna|XM_341781|XM_341781	mgi_symbol|Saps1|Saps1
refseq_dna|NM_001024971|NM_001024971	mgi_symbol|Ny-sar-48|Ny-sar-48
refseq_dna|XM_237825|XM_237825	mgi_symbol|Scarf2|Scarf2
refseq_dna|XM_227314|XM_227314	mgi_symbol|Sfrp2|Sfrp2
refseq_dna|NM_053372|NM_053372	mgi_symbol|Slpi|Slpi
refseq_dna|NM_013027|NM_013027	mgi_symbol|Sepw1|Sepw1
refseq_dna|XM_214459|XM_214459	mgi_symbol|Serpinb1a|Serpinb1a
refseq_dna|NM_001015025|NM_001015025	mgi_symbol|Stk38|Stk38
entrezgene|CB547252|317589	mgi_symbol|Mst4|Mst4
refseq_dna|XM_216724|XM_216724	mgi_symbol|Sdccag1-ps1|Sdccag1-ps1
refseq_dna|XM_236648|XM_236648	mgi_symbol|Setd2|Setd2
refseq_dna|NM_134457|NM_134457	mgi_symbol|Siah2|Siah2
refseq_dna|NM_133441|NM_133441	mgi_symbol|Shank2|Shank2
refseq_dna|NM_031238|NM_031238	mgi_symbol|Sh3gl3|Sh3gl3
refseq_dna|XM_214873|XM_214873	mgi_symbol|Shkbp1|Shkbp1
refseq_dna|XM_234904|XM_234904	mgi_symbol|Shc2|Shc2
refseq_dna|XM_343268|XM_343268	mgi_symbol|Siahbp1|Siahbp1
refseq_dna|NM_001011905|NM_001011905	mgi_symbol|Stat2|Stat2
refseq_dna|NM_001012226|NM_001012226	mgi_symbol|Stat4|Stat4
refseq_dna|NM_001025115|NM_001025115	mgi_symbol|Stap1|Stap1
refseq_dna|NM_031119|NM_031119	mgi_symbol|Ssb|Ssb
refseq_dna|XM_214453|XM_214453	mgi_symbol|Snrnp48|Snrnp48
refseq_dna|XM_214847|XM_214847	mgi_symbol|Snrpd2l|Snrpd2l
refseq_dna|XM_345814|XM_345814	mgi_symbol|Snrpf|Snrpf
refseq_dna|NM_012648|NM_012648	mgi_symbol|Scnn1b|Scnn1b
refseq_dna|NM_138827|NM_138827	mgi_symbol|Slc2a1|Slc2a1
refseq_dna|NM_177421|NM_177421	mgi_symbol|Slc22a17|Slc22a17
entrezgene|CA511937|501039	mgi_symbol|Slc25a36|Slc25a36
refseq_dna|NM_181090|NM_181090	mgi_symbol|Slc38a2|Slc38a2
entrezgene|AW917183|311423	mgi_symbol|Slc4a11|Slc4a11
embl|AW915950|AW915950	mgi_symbol|Sp100|Sp100
refseq_dna|XM_214777|XM_214777	mgi_symbol|Smoc2|Smoc2
refseq_dna|NM_133386|NM_133386	mgi_symbol|Sphk1|Sphk1
refseq_dna|NM_001009624|NM_001009624	mgi_symbol|Ska2|Ska2
entrezgene|CB545717|307348	mgi_symbol|Spire1|Spire1
refseq_dna|XM_343570|XM_343570	mgi_symbol|Sf3b1|Sf3b1
refseq_dna|XM_215182|XM_215182	mgi_symbol|Sf3b2|Sf3b2
refseq_dna|NM_001009255|NM_001009255	mgi_symbol|Sfrs9|Sfrs9
refseq_dna|XM_237255|XM_237255	mgi_symbol|Shd|Shd
refseq_dna|XM_234454|XM_234454	mgi_symbol|Ston2|Ston2
refseq_dna|XM_236609|XM_236609	mgi_symbol|Stag1|Stag1
refseq_dna|NM_031121|NM_031121	mgi_symbol|Ssrp1|Ssrp1
refseq_dna|XM_341092|XM_341092	mgi_symbol|Suds3|Suds3
refseq_dna|XM_218382|XM_218382	mgi_symbol|Supt5h|Supt5h
refseq_dna|XM_225203|XM_225203	mgi_symbol|Susd3|Susd3
refseq_dna|XM_219262|XM_219262	mgi_symbol|Swap70|Swap70
refseq_dna|XM_226380|XM_226380	mgi_symbol|Smarca5|Smarca5
refseq_dna|NM_032071|NM_032071	mgi_symbol|Synj2|Synj2
refseq_dna|NM_031667|NM_031667	mgi_symbol|Syt11|Syt11
refseq_dna|NM_031986|NM_031986	mgi_symbol|Sdcbp|Sdcbp
refseq_dna|NM_178345|NM_178345	mgi_symbol|Stxbp5|Stxbp5
refseq_dna|NM_001024254|NM_001024254	mgi_symbol|Taok3|Taok3
refseq_dna|NM_001014207|NM_001014207	mgi_symbol|Taf1d|Taf1d
refseq_dna|XM_214940|XM_214940	mgi_symbol|Tbc1d17|Tbc1d17
refseq_dna|XM_233266|XM_233266	mgi_symbol|Ttc22|Ttc22
refseq_dna|XM_216483|XM_216483	mgi_symbol|Ttc39a|Ttc39a
refseq_dna|XM_216713|XM_216713	mgi_symbol|Ttc6|Ttc6
refseq_dna|NM_001015020|NM_001015020	mgi_symbol|Tgif1|Tgif1
entrezgene|AW914923|361025	mgi_symbol|Txndc16|Txndc16
entrezgene|AW141246|313591	mgi_symbol|Thrap3|Thrap3
refseq_dna|XM_236360|XM_236360	mgi_symbol|Trip4|Trip4
refseq_dna|NM_198769|NM_198769	mgi_symbol|Tlr2|Tlr2
entrezgene|CB545427|362501	mgi_symbol|Topors|Topors
refseq_dna|XM_242032|XM_242032	mgi_symbol|Tlk1|Tlk1
refseq_dna|XM_341175|XM_341175	mgi_symbol|Traf3ip3|Traf3ip3
entrezgene|BC093374|406195	mgi_symbol|Tcf19|Tcf19
refseq_dna|XM_345861|XM_345861	mgi_symbol|Tcf20|Tcf20
refseq_dna|XM_216845|XM_216845	mgi_symbol|Tle2|Tle2
refseq_dna|NM_031549|NM_031549	mgi_symbol|Tagln|Tagln
refseq_dna|XM_235136|XM_235136	mgi_symbol|Tmtc2|Tmtc2
refseq_dna|NM_001014205|NM_001014205	mgi_symbol|Tmem123|Tmem123
refseq_dna|XM_341190|XM_341190	mgi_symbol|Tmem150c|Tmem150c
refseq_dna|NM_134390|NM_134390	mgi_symbol|Tmem176b|Tmem176b
refseq_dna|NM_032055|NM_032055	mgi_symbol|Tap1|Tap1
refseq_dna|XM_214485|XM_214485	mgi_symbol|Trim27|Trim27
refseq_dna|XM_344861|XM_344861	mgi_symbol|Trim28|Trim28
refseq_dna|XM_236207|XM_236207	mgi_symbol|Trim29|Trim29
entrezgene|BC079190|684980	mgi_symbol|Tsc22d4|Tsc22d4
refseq_dna|NM_012680|NM_012680	mgi_symbol|Tsc2|Tsc2
refseq_dna|NM_001007004|NM_001007004	mgi_symbol|Tuba4a|Tuba4a
refseq_dna|NM_001013886|NM_001013886	mgi_symbol|Tubb2b|Tubb2b
refseq_dna|NM_181384|NM_181384	mgi_symbol|Tnfsf9|Tnfsf9
refseq_dna|XM_230296|XM_230296	mgi_symbol|Tp53i11|Tp53i11
refseq_dna|NM_001013194|NM_001013194	mgi_symbol|Tssc4|Tssc4
refseq_dna|NM_017092|NM_017092	mgi_symbol|Tyro3|Tyro3
refseq_dna|NM_031687|NM_031687	mgi_symbol|Uba52|Uba52
refseq_dna|NM_053299|NM_053299	mgi_symbol|Ubd|Ubd
refseq_dna|NM_001014058|NM_001014058	mgi_symbol|Usp18|Usp18
entrezgene|AA850333|315639	mgi_symbol|Usp28|Usp28
refseq_dna|NM_001025424|NM_001025424	mgi_symbol|Usp3|Usp3
refseq_dna|XM_219292|XM_219292	mgi_symbol|Usp31|Usp31
refseq_dna|NM_198785|NM_198785	mgi_symbol|Usp48|Usp48
refseq_dna|NM_001013933|NM_001013933	mgi_symbol|Ube2a|Ube2a
entrezgene|CF110335|25573	mgi_symbol|Ube2i|Ube2i
refseq_dna|XM_223308|XM_223308	mgi_symbol|Uba6|Uba6
refseq_dna|XM_219801|XM_219801	mgi_symbol|Uhrf2|Uhrf2
refseq_dna|NM_133553|NM_133553	mgi_symbol|B3galt4|B3galt4
refseq_dna|NM_001009539|NM_001009539	mgi_symbol|B4galt3|B4galt3
refseq_dna|NM_017188|NM_017188	mgi_symbol|Unc119|Unc119
refseq_dna|NM_138844|NM_138844	mgi_symbol|Unc13d|Unc13d
refseq_dna|NM_013167|NM_013167	mgi_symbol|Ucp3|Ucp3
refseq_dna|XM_233312|XM_233312	mgi_symbol|Upf3b|Upf3b
refseq_dna|XM_218951|XM_218951	mgi_symbol|Uvrag|Uvrag
refseq_dna|XM_219672|XM_219672	mgi_symbol|Vps13a|Vps13a
refseq_dna|NM_213563|NM_213563	mgi_symbol|Vars2|Vars2
refseq_dna|XM_341799|XM_341799	mgi_symbol|Vasp|Vasp
refseq_dna|NM_012759|NM_012759	mgi_symbol|Vav1|Vav1
entrezgene|BF287543|296603	mgi_symbol|Vav2|Vav2
refseq_dna|XM_215451|XM_215451	mgi_symbol|Vcan|Vcan
refseq_dna|NM_001013938|NM_001013938	mgi_symbol|Vwa1|Vwa1
refseq_dna|XM_236612|XM_236612	mgi_symbol|Vprbp|Vprbp
refseq_dna|NM_001025640|NM_001025640	mgi_symbol|Vta1|Vta1
refseq_dna|XM_226076|XM_226076	mgi_symbol|Wdr33|Wdr33
refseq_dna|NM_001013909|NM_001013909	mgi_symbol|Wdr70|Wdr70
refseq_dna|XM_574613|XM_574613	mgi_symbol|Wdr74|Wdr74
refseq_dna|NM_053751|NM_053751	mgi_symbol|Wap|Wap
refseq_dna|XM_214669|XM_214669	mgi_symbol|Wwp2|Wwp2
refseq_dna|XM_342594|XM_342594	mgi_symbol|Zbp1|Zbp1
refseq_dna|NM_001012002|NM_001012002	mgi_symbol|Zap70|Zap70
refseq_dna|XM_340742|XM_340742	mgi_symbol|Zc3h7a|Zc3h7a
refseq_dna|XM_227104|XM_227104	mgi_symbol|Zfp131|Zfp131
refseq_dna|NM_145724|NM_145724	mgi_symbol|Znf394|Znf394
entrezgene|AF151710|298558	mgi_symbol|Zfp46|Zfp46
refseq_dna|XM_217093|XM_217093	mgi_symbol|Zfp653|Zfp653
refseq_dna|XM_578715|XM_578715	mgi_symbol|LOC503192|LOC503192
refseq_dna|XM_345169|XM_345169	mgi_symbol|Zfr|Zfr
refseq_dna|NM_001008308|NM_001008308	mgi_symbol|Zufsp|Zufsp
refseq_dna|XM_346887|XM_346887	mgi_symbol|Zcchc10|Zcchc10
refseq_dna|XM_216407|XM_216407	mgi_symbol|Zcchc7|Zcchc7
refseq_dna|XM_232195|XM_232195	mgi_symbol|Zfyve20|Zfyve20
