probe set	gene		Accession	EntrezGene	CNR NY72-4P/CNR NY72-4NP	t statistic	P value
GgaAffx.13032.1.S1_s_at	RCJMB04_30d9	kinesin family member 23	AJ720929	415567	1.39	6.979	0.015162
GgaAffx.5281.1.S1_s_at		Finished cDNA, clone ChEST650d3	ENSGALT00000013657.1		1.39	4.218	0.013496
Gga.6651.1.S1_at	LOC425103	similar to Uncharacterized protein C20orf129	BX277390	425103	1.39	4.196	0.022042
GgaAffx.21581.1.S1_s_at	CXCL14	chemokine (C-X-C motif) ligand 14	CR523034.1	395451	1.38	3.452	0.03696
Gga.2372.1.S1_at	RAD54B	RAD54 homolog B (S. cerevisiae)	NM_204710.1	395449	1.38	4.481	0.018232
Gga.16181.1.S1_at			BU271163		1.38	4.26	0.014721
Gga.18202.1.S1_at		Finished cDNA, clone ChEST1008g24	CR389935.1		1.38	9.853	0.007306
GgaAffx.8456.1.S1_at	LOC415437	similar to rai-like protein	ENSGALT00000009049.1	415437	1.38	5.737	0.016952
GgaAffx.1153.1.S1_s_at	RCJMB04_18e19	coiled-coil domain containing 5 (spindle associated)	ENSGALT00000002704.1	416380	1.38	6.678	0.003412
Gga.7249.1.S1_a_at	LOC426254	hypothetical LOC426254	BU295332	426254	1.38	7.068	0.010087
Gga.14210.2.S1_at			CR385945.1		1.37	22.42	0.00024
Gga.10899.1.S1_at		Finished cDNA, clone ChEST981d5	BX931862.1		1.36	21.063	0.000042
GgaAffx.11430.1.S1_s_at	RCJMB04_1g20	SH3-domain kinase binding protein 1	AJ719327	418608	1.36	8.218	0.002358
Gga.1920.1.S1_at		Transcribed locus	BU239498		1.36	4.173	0.027326
Gga.2363.2.S1_a_at	LOC418275	Hypothetical LOC418275	BX261984	418275	1.36	5.825	0.013955
Gga.3705.1.S1_at	LOC395357	cardiac muscle factor 1 CMF1	NM_204645.1	395357	1.35	5.756	0.00615
Gga.5428.1.S1_at	LOC429678	similar to MGC68968 protein	BU233871	429678	1.35	6.729	0.002682
Gga.2564.1.S1_s_at	AP1S2	adaptor-related protein complex 1, sigma 2 subunit	BU332891	418621	1.35	3.743	0.036344
Gga.17470.1.S1_at		Finished cDNA, clone ChEST898m23	BU392436		1.35	11.67	0.001924
Gga.10464.1.S1_at	SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4	BU256080	419007	1.35	5.949	0.008681
GgaAffx.11680.1.S1_s_at	MYBL1	myeloblastosis oncogene-like 1	AJ719577	396158	1.35	9.971	0.005632
GgaAffx.11442.1.S1_at	RCJMB04_1i4	nuclear autoantigenic sperm protein (histone-binding)	AJ719339	424600	1.35	6.847	0.019742
Gga.1307.1.S1_s_at	IL16	interleukin 16 (lymphocyte chemoattractant factor)	NM_204352.1	374270	1.34	4.801	0.01203
Gga.3867.1.S1_at	PRNP	prion protein (p27-30)	NM_205465.1	396452	1.34	7.309	0.013623
Gga.3680.1.S1_at		Finished cDNA, clone ChEST23o20	AL586707		1.34	9.291	0.006075
Gga.6203.2.S1_a_at		Finished cDNA, clone ChEST371h9	CR354087.1		1.34	8.054	0.008537
Gga.1009.1.S1_s_at	RCJMB04_28o6	actin related protein 2/3 complex, subunit 1B, 41kDa	BU223250	416490	1.34	9.91	0.000583
Gga.3310.1.S1_at	XPAC	xpacch protein	NM_204853.1	395659	1.33	8.29	0.001244
Gga.12460.1.S1_at	LOC415952	Similar to hypothetical protein	BX932979.1	415952	1.33	7.813	0.006686
GgaAffx.11438.1.S1_s_at	RCJMB04_1h19	solute carrier organic anion transporter family, member 4A1	AJ719335	419231	1.33	7.884	0.001465
Gga.12388.1.S1_at	FANCL	Fanconi anemia, complementation group L	BU351543	421202	1.33	8.9	0.001853
GgaAffx.12701.1.S1_at	RCJMB04_20p15	polo-like kinase 1 (Drosophila)	AJ720598	416575	1.33	5.209	0.023748
GgaAffx.10847.1.S1_at	DIAPH3	diaphanous homolog 3 (Drosophila)	ENSGALT00000027378.1	418824	1.33	3.03	0.047549
Gga.31.1.S1_at	CENPI	centromere protein I	NM_204532.1	395207	1.32	6.176	0.004922
Gga.6313.1.S1_s_at	LOC415712	hypothetical LOC415712	BU398035	415712	1.32	9.393	0.010839
Gga.1153.1.S1_at	DLG7	discs, large homolog 7 (Drosophila)	AJ443371	423555	1.32	6.601	0.015115
Gga.5755.1.S1_at	LOC423104	similar to tetraspan	BU220923	423104	1.32	11.051	0.002566
GgaAffx.11749.1.S1_at	KNTC2	kinetochore associated 2	AJ719646	395134	1.32	5.292	0.033132
GgaAffx.12224.1.S1_at	DNA2L	DNA2 DNA replication helicase 2-like (yeast)	AJ720121	423688	1.32	6.09	0.02187
GgaAffx.13145.1.S1_at	RCJMB04_33e1	phosphoglucomutase 2	AJ721042	426435	1.32	23.096	0.000206
GgaAffx.20419.1.S1_at		Finished cDNA, clone ChEST761a8	CR524196.1		1.31	6.215	0.003507
Gga.5666.2.S1_a_at	LOC419860	similar to Putative lymphocyte G0/G1 switch protein 2	BX931076.1	419860	1.31	3.328	0.037329
Gga.1211.1.S1_at	ATP5S	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s (factor B)	BU476835	423574	1.31	5.296	0.006884
GgaAffx.5404.1.S1_s_at	RCJMB04_15k16	nucleolar and spindle associated protein 1	ENSGALT00000013978.1	423213	1.31	6.533	0.005576
GgaAffx.12549.1.S1_s_at	RCJMB04_17m23	similar to hypothetical protein FLJ25467	AJ720446	420392	1.31	7.234	0.002361
GgaAffx.12275.1.S1_s_at	MCM6	minichromosome maintenance deficient 6 homolog (S. cerevisiae)	AJ720172	424295	1.31	5.719	0.005719
Gga.5377.2.S1_a_at	LOC415633	similar to G protein-coupled receptor 56	BU451979	415633	1.31	5.679	0.012771
Gga.19360.1.S1_at		Finished cDNA, clone ChEST801h18	BU237751		1.3	3.629	0.022861
GgaAffx.12402.1.S1_s_at	RCJMB04_14g12	structural maintenance of chromosomes 5	AJ720299	431608	1.3	4.091	0.018319
GgaAffx.2792.1.A1_at			ENSGALT00000007202.1		1.3	4.451	0.011612
GgaAffx.21019.1.S1_at		Finished cDNA, clone ChEST168n1	CR523596.1		1.29	6.203	0.00428
Gga.6093.1.S1_at	LOC417248	similar to RIKEN cDNA 6330416G13 gene	CR353484.1	417248	1.29	6.751	0.007977
Gga.16406.1.S1_at		Finished cDNA, clone ChEST237g13	BU270848		1.29	6.026	0.020301
Gga.2883.1.S1_at	DHFR	Dihydrofolate reductase	BU394087	427317	1.28	5.653	0.027593
Gga.7526.1.S1_at	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	BU252565	422840	1.28	8.262	0.010564
Gga.3214.1.S1_at		Finished cDNA, clone ChEST295d24	CR386599.1		1.28	4.394	0.011754
Gga.9970.1.S1_at	LOC427204	similar to Beta-hexosaminidase beta chain precursor (N-acetyl-beta-glucosaminidase) (Beta-N-acetylhexosaminidase) (Hexosaminidase B) (Cervical cancer proto-oncogene 7) (HCC-7)	BU450081	427204	1.28	7.57	0.007429
Gga.17209.1.S1_at		Finished cDNA, clone ChEST203d9	BU459214		1.28	4.273	0.015023
Gga.8862.1.S1_s_at	CHAF1B	chromatin assembly factor 1, subunit B (p60)	CD735107	418514	1.28	18.195	0.001312
GgaAffx.13014.1.S1_at	RCJMB04_29l6	CKLF-like MARVEL transmembrane domain containing 3	AJ720911	414829	1.28	6.274	0.012796
Gga.4358.1.S1_a_at	KIF4A	kinesin family member 4A	NM_204975.1	395823	1.27	9.648	0.000896
Gga.537.2.S1_a_at	VEGFA	vascular endothelial growth factor A	AY168004.1	395909	1.27	6.382	0.009878
Gga.5809.1.S1_at	TTC35	tetratricopeptide repeat domain 35	BX931995.2	420273	1.27	5.744	0.020419
Gga.18101.1.S1_at		Finished cDNA, clone ChEST812o9	BU216524		1.27	3.536	0.044318
Gga.4473.1.S1_at		Finished cDNA, clone ChEST995m24	BU427150		1.27	6.56	0.002795
GgaAffx.11465.1.S1_at	RCJMB04_1k1	riboflavin 5-phosphotransferase	AJ719362	431449	1.27	11.178	0.000406
GgaAffx.26287.1.S1_s_at		Transcribed locus, weakly similar to XP_363105.1  protein MG08689.4 [Magnaporthe grisea 70-15]	ENSGALT00000007470.1		1.27	3.978	0.025483
GgaAffx.6598.1.S1_at	LOC425049	similar to Tubulin alpha-3/alpha-7 chain (Alpha-tubulin 3/7) (Alpha-tubulin isotype M-alpha-3/7)	ENSGALT00000016997.1	425049	1.27	7.852	0.005415
GgaAffx.3691.1.S1_at			ENSGALT00000009531.1		1.27	7.95	0.006298
Gga.3402.1.S1_a_at	OLFM1	olfactomedin 1	NM_204767.1	395535	1.26	3.988	0.02163
Gga.8445.1.S1_at	DUSP6	dual specificity phosphatase 6	NM_204354.1	374272	1.26	5.907	0.007613
Gga.12588.2.S1_a_at		Finished cDNA, clone ChEST424o15	BX934136.2		1.26	7.832	0.008821
Gga.17980.1.S1_s_at	RCJMB04_3e14	similar to Auh protein	BU320477	427269	1.26	6.207	0.004646
GgaAffx.8951.1.S1_at		Transcribed locus, moderately similar to NP_083096.1  protein LOC74211 [Mus musculus]	ENSGALT00000022843.1		1.26	4.474	0.03029
GgaAffx.23188.1.A1_s_at		Finished cDNA, clone ChEST770n16	ENSGALT00000016741.1		1.26	9.654	0.001622
Gga.2067.1.S1_at	RCJMB04_9a7	kinesin heavy chain member 2A	BU306395	427156	1.26	10.22	0.008409
NC-002188.CDS142.S1_at		NC-002188.CDS142			1.25	5.642	0.024834
Gga.15337.1.S1_s_at	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	BU307906	396379	1.25	14.156	0.000145
Gga.654.1.S1_at	RET	ret proto-oncogene	NM_205190.1	396107	1.25	3.686	0.026946
Gga.5407.1.S1_at	TCEA2	transcription elongation factor A (SII), 2	CD738507	419253	1.25	3.461	0.034111
Gga.14171.1.S1_at		Finished cDNA, clone ChEST410a20	CR353065.1		1.25	5.132	0.026101
Gga.17411.1.S1_at		Finished cDNA, clone ChEST619i22	AJ444373		1.25	5.948	0.00472
GgaAffx.12568.1.S1_at	RCJMB04_18e19	coiled-coil domain containing 5 (spindle associated)	AJ720465	416380	1.25	6.068	0.008261
GgaAffx.25111.1.S1_s_at	RANBP5	RAN binding protein 5	ENSGALT00000027290.1	418783	1.25	7.669	0.001569
Gga.7609.1.S1_at	RCJMB04_18c11	Rho GTPase activating protein 19	BX263787	423846	1.25	5.736	0.009393
GgaAffx.20934.1.S1_at		Finished cDNA, clone ChEST836p19	CR523681.1		1.24	4.823	0.015218
Gga.7215.1.S1_at	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	BX935618.1	424367	1.24	4.369	0.048068
GgaAffx.11782.1.S1_s_at	CEP55	centrosomal protein 55kDa	AJ719679	423804	1.24	4.766	0.011664
Gga.3263.1.S1_at		Finished cDNA, clone ChEST75j21	CR354333.1		1.23	5.69	0.008127
Gga.7431.1.S1_at		Finished cDNA, clone ChEST1001b2	BX950450.1		1.23	5.285	0.01431
Gga.13407.1.S1_at	RCJMB04_6c16	Nedd4 family interacting protein 2	CR352953.1	418803	1.23	9.145	0.00115
GgaAffx.11696.1.S1_s_at	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	AJ719593	416027	1.23	9.269	0.008037
GgaAffx.12498.1.S1_s_at	RCJMB04_16n14	similar to LOC330189 protein	AJ720395	416847	1.23	10.075	0.00119
Gga.4074.1.S1_s_at	LOC420709	similar to RIKEN cDNA 1110059G10	BU116226	420709	1.23	5.276	0.016571
Gga.7059.1.S1_at		Transcribed locus, weakly similar to NP_001019463.1  protein LOC499330 [Rattus norvegicus]	BX256876		1.23	6.082	0.019646
Gga.2641.1.S1_at	LOC424283	similar to peripheral clock protein 2	BU392224	424283	1.23	3.905	0.017559
Gga.13253.1.S1_at	LOC421074	similar to sudD suppressor of bimD6 homolog	BU408918	421074	1.22	3.58	0.024973
GgaAffx.11490.1.S1_s_at	RCJMB04_1n3	similar to KIAA1524 protein	AJ719387	418410	1.22	6.646	0.002865
Gga.4353.1.S1_s_at	LOC769677	hypothetical protein	AJ455401	769677	1.22	7.799	0.002372
Gga.1171.1.S1_at	LY6E	lymphocyte antigen 6 complex, locus E	NM_204775.1	395550	1.21	4.095	0.019117
Gga.3731.2.S1_a_at	LOC396164	gammaFBP-A	BG710399	396164	1.21	10.27	0.000562
Gga.1551.2.S1_a_at	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	AF322051.1	374078	1.21	6.334	0.018527
Gga.17313.1.S1_at		Finished cDNA, clone ChEST865e20	BU389158		1.21	7.609	0.001714
GgaAffx.6936.1.S1_s_at	RCJMB04_19b7	similar to Ubiquitin carboxyl-terminal hydrolase 1 (Ubiquitin thiolesterase 1) (Ubiquitin-specific processing protease 1) (Deubiquitinating enzyme 1) (hUBP)	ENSGALT00000017833.1	424685	1.21	4.385	0.012123
Gga.7042.3.A1_a_at	RCJMB04_28p16	Cullin 2	BX272700	420467	1.21	2.91	0.04597
Gga.4505.1.S2_at	MYBL1	myeloblastosis oncogene-like 1	AJ441754	396158	1.2	4.772	0.041145
Gga.1039.1.S1_at	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NM_204315.1	374209	1.2	5.758	0.021555
GgaAffx.21456.1.S1_at		Denervation associated mRNA sequence	CR523159.1		1.2	4.462	0.02768
GgaAffx.12597.1.S1_at	RCJMB04_19b7	similar to Ubiquitin carboxyl-terminal hydrolase 1 (Ubiquitin thiolesterase 1) (Ubiquitin-specific processing protease 1) (Deubiquitinating enzyme 1) (hUBP)	AJ720494	424685	1.2	12.694	0.000222
Gga.8462.1.S1_at	RCJMB04_19f17	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	NM_204403.1	378922	1.19	4.733	0.028546
Gga.4761.4.S1_s_at		Hypothetical protein, clone 29o22	BX950712.1		1.19	5.523	0.027404
Gga.8147.1.S1_at		Finished cDNA, clone ChEST515b24	BU312117		1.19	4.715	0.030943
Gga.11619.1.S1_at			BU300330		1.19	5.415	0.006985
GgaAffx.12114.1.S1_at	RCJMB04_9g9	similar to family with sequence similarity 29, member A	AJ720011	427238	1.19	4.212	0.021874
GgaAffx.12559.1.S1_s_at	RCJMB04_18a5	solute carrier family 10 (sodium/bile acid cotransporter family), member 7	AJ720456	422467	1.19	5.647	0.024551
GgaAffx.10526.2.S1_s_at	LOC421939	similar to V-ATPase C2 subunit	ENSGALT00000026534.1	421939	1.19	10.239	0.006787
GgaAffx.21403.1.S1_s_at	EME1	essential meiotic endonuclease 1 homolog 1 (S. pombe)	CR523212.1	422104	1.18	6.973	0.009109
GgaAffx.21359.1.S1_at		Finished cDNA, clone ChEST368i11	CR523256.1		1.18	7.017	0.011729
Gga.3146.1.S1_at	CCNB2	cyclin B2	X62531.1	415400	1.18	4.944	0.037208
Gga.1797.1.S1_at	RCJMB04_1d3	septin 5	BU279078	416778	1.18	3.611	0.048691
Gga.13284.1.S1_at		Finished cDNA, clone ChEST975n18	CR353976.1		1.18	11.164	0.007453
Gga.16138.1.S1_at	LOC421716	hypothetical gene supported by CR385186	CR385186.1	421716	1.18	5.72	0.007249
GgaAffx.10518.1.S1_s_at	RCJMB04_7d18	maternal embryonic leucine zipper kinase	ENSGALT00000026518.1	428391	1.18	4.603	0.039421
Gga.1009.2.S1_s_at	RCJMB04_28o6	actin related protein 2/3 complex, subunit 1B, 41kDa	BU380027	416490	1.18	5.139	0.006922
Gga.2381.3.S1_at	RCJMB04_7i20	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	BU108195	422713	1.18	5.135	0.007277
GgaAffx.21326.1.S1_at	AHCY	S-adenosylhomocysteine hydrolase	CR523289.1	419146	1.17	6.899	0.005689
Gga.5507.1.S1_at	GSTO1	glutathione S-transferase omega 1	BX933058.1	423881	1.17	6.453	0.005431
GgaAffx.24443.2.S1_s_at	MATN2	matrilin 2	ENSGALT00000023439.1	426584	1.17	10.331	0.004702
Gga.11182.1.S1_at		Finished cDNA, clone ChEST587j16	BU448804		1.17	4.011	0.033794
Gga.17548.1.S1_at		Finished cDNA, clone ChEST766a2	CR391500.1		1.17	5.142	0.007769
GgaAffx.23557.10.S1_s_at	SLC4A7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	ENSGALT00000018611.1	420658	1.17	6.692	0.016491
GgaAffx.11128.1.S1_at			ENSGALT00000028039.1		1.17	11.468	0.000503
Gga.2516.1.S1_at	PTPRG	protein tyrosine phosphatase, receptor type, G	NM_204314.1	374208	1.16	4.289	0.022141
Gga.10968.1.S1_at	GSTO1	glutathione S-transferase omega 1	BX931500.2	423881	1.16	3.55	0.035353
Gga.9744.1.S1_at		Finished cDNA, clone ChEST811i14	BU206386		1.16	5.032	0.031195
GgaAffx.11491.1.S1_s_at	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	AJ719388	422546	1.16	5.32	0.00603
GgaAffx.1740.1.S1_at	LOC424777	Similar to FRAP-related protein	ENSGALT00000004194.1	424777	1.16	10.068	0.000617
Gga.15348.1.S1_s_at	RCJMB04_1b15	spindle assembly 6 homolog (C. elegans)	CD762950	424471	1.15	14.094	0.000165
Gga.4954.2.S1_a_at	LOC396235	c-ets-1 oncogene	M21823.1	396235	1.15	8.922	0.002465
Gga.1689.1.S1_at		Finished cDNA, clone ChEST212e19	BU468399		1.15	15.313	0.003083
Gga.3820.3.S1_s_at	RCJMB04_1i4	nuclear autoantigenic sperm protein (histone-binding)	BU135957	424600	1.15	7.58	0.008191
Gga.5315.3.A1_at	CIZ1	CDKN1A interacting zinc finger protein 1	CR390192.1	417216	1.14	3.286	0.032415
Gga.13373.1.S1_at		Finished cDNA, clone ChEST425l10	CR352645.1		1.14	12.852	0.000986
GgaAffx.11455.1.S1_s_at	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	AJ719352	422043	1.14	7.147	0.004087
Gga.5262.3.S1_s_at	RCJMB04_34i5	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	BU313838	421587	1.14	10.437	0.004987
GgaAffx.11364.1.S1_at	LOC420354	similar to Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa	ENSGALT00000026454.1	420354	1.14	11.878	0.0007
Gga.12080.1.S1_at	RRAD	Ras-related associated with diabetes	CN220619	415790	1.13	3.544	0.033293
Gga.12519.1.S1_at		Finished cDNA, clone ChEST880g17	BX932463.2		1.13	4.72	0.011393
GgaAffx.11654.1.S1_s_at	HP1BP3	heterochromatin protein 1, binding protein 3	AJ719551	425543	1.13	4.208	0.028012
GgaAffx.25712.2.S1_s_at	NUP93	nucleoporin 93kDa	ENSGALT00000004755.1	415693	1.13	10.61	0.000514
Gga.8385.1.S1_at		Transcribed locus, weakly similar to NP_878262.1  protein kinase I gamma [Rattus norvegicus]	BU483898		1.13	13.094	0.0006
Gga.2970.1.S1_at		Transcribed locus	BU138485		1.13	11.205	0.001594
Gga.5193.1.S1_at	RCJMB04_34b5	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa	CR391516.1	424587	1.12	4.279	0.016342
Gga.16698.1.S1_at		Finished cDNA, clone ChEST875h18	BU481651		1.12	4.217	0.036544
Gga.1320.1.S1_at		Finished cDNA, clone ChEST855m19	BU390594		1.12	5.96	0.008191
Gga.10636.1.S1_at		Finished cDNA, clone ChEST156j9	BX932098.2		1.12	5.893	0.004945
GgaAffx.5621.1.S1_at	DCLRE1A	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)	ENSGALT00000014524.1	423902	1.12	3.92	0.018735
GgaAffx.2921.1.S1_at	RCJMB04_34k20	Similar to Moesin (Membrane-organizing extension spike protein)	ENSGALT00000007503.1	422173	1.12	5.608	0.005314
Gga.6168.2.S1_a_at		Transcribed locus	BM488237		1.12	11.444	0.001851
Gga.7820.1.S1_at		Finished cDNA, clone ChEST969a15	BX260518		1.11	5.29	0.013961
Gga.9887.1.S1_s_at	TACC3	transforming, acidic coiled-coil containing protein 3	BX262585	422899	1.11	6.591	0.003855
GgaAffx.12751.1.S1_at	WDR8	WD repeat domain 8	AJ720648	419383	1.11	3.197	0.045674
GgaAffx.8957.1.S1_at	RCJMB04_4p8	similar to cytochrome b-5 reductase	ENSGALT00000022856.1	418220	1.11	4.382	0.016068
Gga.7087.1.S1_at	CKAP5	Cytoskeleton associated protein 5	BX272807	423190	1.11	6.905	0.004786
Gga.16140.1.S1_at		Transcribed locus	CN235576		1.11	6.635	0.015927
Gga.2476.1.S1_at	HAT1	histone acetyltransferase 1	NM_204207.1	374037	1.1	7.169	0.0038
Gga.2064.1.S2_at	ERG	v-ets erythroblastosis virus E26 oncogene	BU300572	374146	1.1	7.706	0.004106
Gga.8512.1.S1_at		Finished cDNA, clone ChEST303a9	BU239320		1.1	4.687	0.027893
Gga.13220.1.S1_at		Finished cDNA, clone ChEST79g9	CR352403.1		1.1	3.979	0.025545
GgaAffx.12588.1.S1_at	RCJMB04_18m15	similar to BC027088 protein	AJ720485	426385	1.1	7.701	0.00153
GgaAffx.22221.1.S1_s_at	LOC416984	similar to citron; rho-interacting, serine/threonine kinase 21	ENSGALT00000011894.1	416984	1.1	4.235	0.035509
Gga.4512.2.S1_at			CD764022		1.1	6.55	0.003023
Gga.4712.1.S1_a_at	OXCT1	3-oxoacid CoA transferase 1	BX272991	427190	1.1	4.29	0.013459
Gga.2029.1.S1_at	RCJMB04_8c5	hypothetical protein	BU333269	769298	1.1	6.357	0.006823
GgaAffx.21220.1.S1_s_at		Finished cDNA, clone ChEST881h18	CR523395.1		1.09	3.699	0.03565
Gga.2240.2.S1_a_at	FREQ	frequenin homolog (Drosophila)	BX934267.1	396336	1.09	11.082	0.006452
GgaAffx.20772.1.S1_at		Finished cDNA, clone ChEST936b17	CR523843.1		1.09	3.477	0.025522
Gga.13466.1.S1_at	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	CR352387.1	423686	1.09	8.46	0.001708
Gga.7238.1.S1_s_at	RCJMB04_19j12	similar to 2-oxoglutarate dehydrogenase E1 component, mitochondrial precursor (Alpha-ketoglutarate dehydrogenase)	BU122219	426429	1.09	7.322	0.01177
GgaAffx.3414.1.S1_at	RCJMB04_10p19	zinc finger, DHHC-type containing 21	ENSGALT00000008729.1	427356	1.09	3.604	0.02401
Gga.7121.1.S1_at	RCJMB04_17m6	CD81 molecule	BU113320	374256	1.09	6.908	0.002605
Gga.3723.1.S1_at	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	NM_205423.1	396394	1.08	16.575	0.000577
Gga.4036.1.S1_at	PCNA	proliferating cell nuclear antigen	NM_204170.1	373984	1.08	3.512	0.026089
Gga.687.1.S1_at	CYCB3	cyclin B3	NM_205239.1	396167	1.08	6.112	0.019756
Gga.6241.1.S1_at		Finished cDNA, clone ChEST507j12	BU439448		1.08	3.284	0.040172
Gga.9558.1.S1_at	RCL1	RNA terminal phosphate cyclase-like 1	BX935195.1	427222	1.08	5.781	0.004514
Gga.13254.1.S1_at		Finished cDNA, clone ChEST361a6	BU435375		1.08	4.03	0.028163
Gga.2100.1.S1_s_at	DNA2L	DNA2 DNA replication helicase 2-like (yeast)	AJ445649	423688	1.08	5.364	0.010237
Gga.9590.1.S1_at		Finished cDNA, clone ChEST368i14	BU446698		1.08	3.251	0.037953
GgaAffx.12146.1.S1_at	SNRPA1	small nuclear ribonucleoprotein polypeptide A	AJ720043	415523	1.08	5.037	0.023513
GgaAffx.10497.1.S1_at	LOC420352	hypothetical LOC420352	ENSGALT00000026443.1	420352	1.08	4.567	0.018259
Gga.5974.1.S1_at	CHTF18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	BU336637	416531	1.08	5.237	0.008221
Gga.1251.2.S1_a_at	INCENP	inner centromere protein antigens 135/155kDa	Z25420.1	396270	1.07	4.482	0.028002
Gga.5496.1.S1_at		Finished cDNA, clone ChEST233c16	CR390318.1		1.07	5.454	0.021013
Gga.5196.1.S1_at	SAP30	Sin3A-associated protein, 30kDa	BX934443.1	422562	1.07	7.629	0.005957
Gga.9212.1.S1_at	LOC422880	similar to RIKEN cDNA 2610033H07 gene	BU308976	422880	1.07	3.546	0.033919
GgaAffx.11645.1.S1_at	RCJMB04_3d14	septin 6	AJ719542	422369	1.07	4.659	0.013329
Gga.4974.1.S1_at	PG-M	proteoglycan	NM_204787.1	395565	1.06	4.325	0.029895
Gga.3615.1.S1_at	FST	follistatin	NM_205200.1	396119	1.06	7.334	0.009876
Gga.12893.1.S1_at		Transcribed locus, weakly similar to XP_367840.1  protein MG07744.4 [Magnaporthe grisea 70-15]	BU435998		1.06	3.972	0.017513
Gga.772.1.S1_at	NNF1	Nnf1 protein	BI394262	693253	1.06	5.02	0.014995
Gga.11314.1.S1_at	ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	BX929322.2	424689	1.06	6.489	0.003011
GgaAffx.26418.1.S1_s_at	IVNS1ABP	influenza virus NS1A binding protein	ENSGALT00000008230.1	426862	1.06	5.614	0.014155
GgaAffx.26468.1.S1_at	CCBP2	chemokine binding protein 2	ENSGALT00000008506.1	420393	1.06	5.243	0.011201
Gga.5501.2.S1_a_at	DUS1L	dihydrouridine synthase 1-like (S. cerevisiae)	CR389654.1	417381	1.05	2.914	0.048164
Gga.13855.1.S1_at		Finished cDNA, clone ChEST380p8	BU408394		1.05	5.042	0.026521
Gga.12965.1.S1_s_at	LOC418494	similar to Putative protein C21orf45	CR354097.1	418494	1.05	6.382	0.004008
Gga.7215.2.S1_a_at	HSD17B7	Hydroxysteroid (17-beta) dehydrogenase 7	BX950661.1	424367	1.05	2.814	0.048156
Gga.13038.1.S1_at	RCJMB04_2p14	similar to NADPH cytochrome B5 oxidoreductase; flavohemoprotein b5+b5R	CR338954.2	421837	1.05	4.78	0.013362
Gga.16806.4.S1_a_at	HOMER3	homer homolog 3 (Drosophila)	BU127262	420115	1.05	4.973	0.037067
GgaAffx.26203.1.S1_at	LOC417595	similar to NSP5beta3beta	ENSGALT00000007019.1	417595	1.05	12.209	0.001393
GgaAffx.7275.1.S1_at			ENSGALT00000018703.1		1.05	3.121	0.042333
GgaAffx.23312.2.S1_s_at	RCJMB04_21k5	TBC1 domain family, member 24	ENSGALT00000017470.1	416753	1.05	5.029	0.019946
Gga.7528.1.S1_at	KLF2	Kruppel-like factor 2 (lung)	BU295493	420148	1.05	5.083	0.026705
Gga.7018.1.S1_s_at	FGD3	FYVE, RhoGEF and PH domain containing 3	BU222860	415989	1.05	19.225	0.000088
Gga.9242.1.S1_at	LOC428996	similar to FLI-LRR associated protein-1	BU460917	428996	1.05	4.774	0.0111
Gga.8908.1.S1_at	TXNRD3	thioredoxin reductase 3	CD727517	416031	1.04	7.961	0.007242
Gga.9212.1.S1_s_at	LOC422880	similar to RIKEN cDNA 2610033H07 gene	BU308976	422880	1.04	12.676	0.000612
Gga.19048.1.S1_at	ATAD3B	ATPase family, AAA domain containing 3B	BU470687	419412	1.04	7.866	0.002393
GgaAffx.12241.1.S1_s_at	RCJMB04_11f7	geminin, DNA replication inhibitor	AJ720138	421004	1.04	6.99	0.012064
GgaAffx.2307.1.S1_s_at	LOC427443	similar to nucleoporin 155	ENSGALT00000005842.1	427443	1.04	4.695	0.009372
GgaAffx.2423.1.S1_s_at	LOC419679	hypothetical LOC419679	ENSGALT00000006168.1	419679	1.04	3.82	0.024922
Gga.5793.1.S1_at	LOC425304	similar to Non-SMC condensin I complex, subunit H	BU280392	425304	1.04	7.063	0.004406
Gga.9262.1.S1_at	HMGA1	high mobility group AT-hook 1	NM_204369.1	378795	1.03	3.106	0.038072
