mouse_unigeneid	mouse_mean_by_grade	human_unigeneid	human mean_by_grade	differ_by_grade_human_mouse_NB	mouse_genetitle	human_genetitle	mouse_genesymbol	human_gene_symbol
Mm.32518	2	Hs.523829	3.119048	1.119048	polymerase (DNA-directed), delta 4	polymerase (DNA-directed), delta 4	Pold4	POLD4
Mm.440177	2	Hs.524506	3.119048	1.119048	ankyrin repeat domain 52	ankyrin repeat domain 52	Ankrd52	ANKRD52
Mm.19223	1	Hs.116602	2.111111	1.111111	methionine-tRNA synthetase 2 (mitochondrial)	methionyl-tRNA synthetase 2, mitochondrial	Mars2	MARS2
Mm.4757	2	Hs.405662	3.111111	1.111111	cellular retinoic acid binding protein II	cellular retinoic acid binding protein 2	Crabp2	CRABP2
Mm.103760	1	Hs.37035	2.103175	1.103175	motor neuron and pancreas homeobox 1	motor neuron and pancreas homeobox 1	Mnx1	MNX1
Mm.121498	1	Hs.585579	2.095238	1.095238	leucine-rich repeats and transmembrane domains 2	leucine-rich repeats and transmembrane domains 2	Lrtm2	LRTM2
Mm.33065	2	Hs.662006	3.095238	1.095238	sphingosine-1-phosphate receptor 4	sphingosine-1-phosphate receptor 4	S1pr4	S1PR4
Mm.41416	2	Hs.534497	3.087301	1.087301	Rab interacting lysosomal protein	Rab interacting lysosomal protein	Rilp	RILP
Mm.4559	1	Hs.568255	2.087301	1.087301	gamma-glutamyltransferase 1	gamma-glutamyltransferase 1 /// gamma-glutamyltransferase 2 /// gamma-glutamyltransferase 3 pseudogene /// gamma-glutamyltransferase light chain 2 /// gamma-glutamyltransferase light chain 3	Ggt1	GGT1 /// GGT2 /// GGT3P /// GGTLC2 /// GGTLC3
Mm.913	1	Hs.389457	2.079365	1.079365	brachyury	T, brachyury homolog (mouse)	T	T
Mm.271634	1	Hs.369331	2.079365	1.079365	sulfotransferase family, cytosolic, 2B, member 1	sulfotransferase family, cytosolic, 2B, member 1	Sult2b1	SULT2B1
Mm.84435	1	Hs.146544	2.071429	1.071429	radial spokehead-like 1	radial spokehead-like 1	Rshl1	RSHL1
Mm.468160	1	Hs.632441	2.071429	1.071429	gap junction protein, alpha 8	gap junction protein, alpha 8, 50kDa	Gja8	GJA8
Mm.335350	1	Hs.598590	2.071429	1.071429	zinc finger protein of the cerebellum 1	hypothetical protein LOC100132739 /// Zic family member 1 (odd-paired homolog, Drosophila)	Zic1	LOC100132739 /// ZIC1
Mm.267570	1	Hs.99171	2.063492	1.063492	neurotrophin 3	neurotrophin 3	Ntf3	NTF3
Mm.174523	1	Hs.171971	2.063492	1.063492	ectodysplasin-A receptor	ectodysplasin A receptor	Edar	EDAR
Mm.159799	1	Hs.664975	2.063492	1.063492	leucine rich repeat containing 52	leucine rich repeat containing 52	Lrrc52	LRRC52
Mm.45580	1	Hs.298023	2.063492	1.063492	aquaporin 5 /// similar to aquaporin 5	aquaporin 5	Aqp5 /// LOC100046616	AQP5
Mm.370933	2.941176	Hs.400295	4	1.058824	predicted gene, 100040182 /// predicted gene, 677010 /// predicted gene, EG433003 /// predicted gene, EG619883 /// predicted gene, EG625281 /// predicted gene, EG664969 /// ribosomal protein L30	ribosomal protein L30	100040182 /// 677010 /// EG433003 /// EG619883 /// EG625281 /// EG664969 /// Rpl30	RPL30
Mm.23963	2	Hs.80776	3.055556	1.055556	phospholipase C, delta 1	phospholipase C, delta 1	Plcd1	PLCD1
Mm.283495	1	Hs.438712	2.055556	1.055556	glycerophosphodiester phosphodiesterase domain containing 2	glycerophosphodiester phosphodiesterase domain containing 2	Gdpd2	GDPD2
Mm.439647	1	Hs.533357	2.055556	1.055556	homeo box A4	homeobox A4	Hoxa4	HOXA4
Mm.42139	1	Hs.348615	2.055556	1.055556	tectorin beta	tectorin beta	Tectb	TECTB
Mm.66334	1	Hs.660142	2.055556	1.055556	family with sequence similarity 26, member E	family with sequence similarity 26, member E	Fam26e	FAM26E
Mm.4257	1	Hs.531682	2.055556	1.055556	aldehyde dehydrogenase family 3, subfamily A1	aldehyde dehydrogenase 3 family, memberA1	Aldh3a1	ALDH3A1
Mm.5151	1	Hs.302029	2.047619	1.047619	LIM homeobox protein 5	LIM homeobox 5	Lhx5	LHX5
Mm.12825	1	Hs.655516	2.047619	1.047619	retinol binding protein 2, cellular	retinol binding protein 2, cellular	Rbp2	RBP2
Mm.383183	1	Hs.278658	2.039683	1.039683	keratin 86	keratin 86 /// hypothetical protein LOC100134394	Krt86	KRT86 /// LOC100134394
Mm.87382	1	Hs.126780	2.039683	1.039683	septin 12	septin 12	12-Sep	12-Sep
Mm.196668	2	Hs.277101	3.039683	1.039683	cytochrome c oxidase subunit IV isoform 2	cytochrome c oxidase subunit IV isoform 2 (lung)	Cox4i2	COX4I2
Mm.313662	1	Hs.511775	2.039683	1.039683	urocortin 3	urocortin 3 (stresscopin)	Ucn3	UCN3
Mm.74996	1	Hs.631862	2.035714	1.035714	RIKEN cDNA 1700019B03 gene	chromosome 19 open reading frame 45	1700019B03Rik	C19orf45
Mm.77381	1	Hs.444536	2.031746	1.031746	solute carrier family 5 (iodide transporter), member 8	solute carrier family 5 (iodide transporter), member 8	Slc5a8	SLC5A8
Mm.4559	1	Hs.650223	2.031746	1.031746	gamma-glutamyltransferase 1	gamma-glutamyltransferase 1 /// gamma-glutamyltransferase 2 /// gamma-glutamyltransferase 3 pseudogene /// gamma-glutamyltransferase 4 pseudogene /// gamma-glutamyltransferase 8 pseudogene	Ggt1	GGT1 /// GGT2 /// GGT3P /// GGT4P /// GGT8P
Mm.78373	1	Hs.647705	2.031746	1.031746	coiled-coil domain containing 19	coiled-coil domain containing 19	Ccdc19	CCDC19
Mm.440170	2	Hs.422676	3.031746	1.031746	occludin/ELL domain containing 1	occludin/ELL domain containing 1	Ocel1	OCEL1
Mm.86439	2	Hs.706845	3.031746	1.031746	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)	Syde1	SYDE1
Mm.156282	1	Hs.253603	2.031746	1.031746	Kruppel like factor (Klf14 gene)	Sp6 transcription factor	Sp6	SP6
Mm.30370	1	Hs.213284	2.031746	1.031746	solute carrier family 6 (neurotransmitter transporter), member 18	solute carrier family 6, member 18	Slc6a18	SLC6A18
Mm.280573	2	Hs.460558	3.031746	1.031746	GIY-YIG domain containing 2	GIY-YIG domain containing 1 /// GIY-YIG domain containing 2 /// sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3 /// sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4	Giyd2	GIYD1 /// GIYD2 /// SULT1A3 /// SULT1A4
Mm.1386	1	Hs.158301	2.031746	1.031746	paired like homeodomain factor 1	PROP paired-like homeobox 1	Prop1	PROP1
Mm.250391	2.970588	Hs.507122	4	1.029412	SET domain containing 1B	SET domain containing 1B	Setd1b	SETD1B
Mm.33351	1	Hs.234895	2.023809	1.023809	lysozyme-like 4	lysozyme-like 4	Lyzl4	LYZL4
Mm.441696	1	Hs.104633	2.023809	1.023809	agouti related protein	agouti related protein homolog (mouse)	Agrp	AGRP
Mm.62083	2	Hs.710284	3.023809	1.023809	zinc finger protein 446	zinc finger protein 446	Zfp446	ZNF446
Mm.105759	1	Hs.93764	2.023809	1.023809	carboxypeptidase A4	carboxypeptidase A4	Cpa4	CPA4
Mm.45780	2	Hs.406461	3.023809	1.023809	family with sequence similarity 86	family with sequence similarity 86, member A	Fam86	FAM86A
Mm.335973	1	Hs.765	2.019841	1.019841	GATA binding protein 1	GATA binding protein 1 (globin transcription factor 1)	Gata1	GATA1
Mm.441140	1	Hs.1011	2.015873	1.015873	protein Z, vitamin K-dependent plasma glycoprotein	protein Z, vitamin K-dependent plasma glycoprotein	Proz	PROZ
Mm.5243	1	Hs.372	2.015873	1.015873	opioid receptor, delta 1	opioid receptor, delta 1	Oprd1	OPRD1
Mm.133268	1	Hs.18844	2.015873	1.015873	proprotein convertase subtilisin/kexin type 9	proprotein convertase subtilisin/kexin type 9	Pcsk9	PCSK9
Mm.188505	1	Hs.375985	2.015873	1.015873	coiled-coil domain containing 105	coiled-coil domain containing 105	Ccdc105	CCDC105
Mm.40974	1	Hs.303208	2.015873	1.015873	SH2 domain containing 4A	SH2 domain containing 4A	Sh2d4a	SH2D4A
Mm.278554	1	Hs.567888	2.015873	1.015873	DnaJ (Hsp40) related, subfamily B, member 13	DnaJ (Hsp40) related, subfamily B, member 13	Dnajb13	DNAJB13
Mm.440044	1	Hs.557609	2.007936	1.007936	S100 calcium binding protein A3	S100 calcium binding protein A3	S100a3	S100A3
Mm.439659	1	Hs.654464	2.007936	1.007936	paired box gene 5	paired box 5	Pax5	PAX5
Mm.160043	1	Hs.590943	2.007936	1.007936	transmembrane protein 190	transmembrane protein 190	Tmem190	TMEM190
Mm.195555	1	Hs.194710	2.007936	1.007936	glucosaminyl (N-acetyl) transferase 3, mucin type	glucosaminyl (N-acetyl) transferase 3, mucin type	Gcnt3	GCNT3
Mm.17413	1	Hs.107922	2.007936	1.007936	family with sequence similarity 178, member B	family with sequence similarity 178, member B	Fam178b	FAM178B
Mm.378231	3	Hs.655320	4	1	expressed sequence AI316807	chromosome 8 open reading frame 40	AI316807	C8orf40
Mm.304088	3	Hs.479728	4	1	predicted gene, 100039556 /// predicted gene, 100039840 /// predicted gene, 100040109 /// predicted gene, 100041204 /// predicted gene, 100041236 /// predicted gene, 100042148 /// predicted gene, 100043724 /// predicted gene, 640374 /// predict	glyceraldehyde-3-phosphate dehydrogenase	100039556 /// 100039840 /// 100040109 /// 100041204 /// 100041236 /// 100042148 /// 100043724 /// 640374 /// 671215 /// EG433184 /// EG435963 /// EG546736 /// EG665129 /// EG665233 /// EG666891 /// EG667204 /// EG668018 /// EG668242 /// ENSMUSG	GAPDH
Mm.303028	3	Hs.483877	4	1	predicted gene, EG664869 /// predicted gene, EG668829 /// ribosomal protein L24	ribosomal protein L24 /// solute carrier family 36 (proton/amino acid symporter), member 2	EG664869 /// EG668829 /// Rpl24	RPL24 /// SLC36A2
Mm.26775	3	Hs.32196	4	1	mitochondrial ribosomal protein L36	mitochondrial ribosomal protein L36	Mrpl36	MRPL36
Mm.273271	1	Hs.147111	2	1	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	Atp12a	ATP12A
Mm.328321	1	Hs.675519	2	1	interleukin 1 receptor accessory protein-like 2	interleukin 1 receptor accessory protein-like 2	Il1rapl2	IL1RAPL2
Mm.132231	3	Hs.477287	4	1	RIKEN cDNA 4930455C21 gene	chromosome 3 open reading frame 1	4930455C21Rik	C3orf1
Mm.371575	3	Hs.632169	4	1	ribosomal protein L21	hypothetical LOC653737 /// ribosomal protein L21-like /// ribosomal protein L21	Rpl21	LOC653737 /// LOC729402 /// RPL21
Mm.284855	1	Hs.1407	2	1	endothelin 2	endothelin 2	Edn2	EDN2
Mm.259716	3	Hs.37616	4	1	stimulated by retinoic acid 13	stimulated by retinoic acid 13 homolog (mouse)	Stra13	STRA13
Mm.472488	3	Hs.4988	4	1	mannoside acetylglucosaminyltransferase 5	hypothetical LOC151162	Mgat5	LOC151162
Mm.441891	1	Hs.709235	2	1	keratin 6B	keratin 6A /// keratin 6B /// keratin 6C	Krt6b	KRT6A /// KRT6B /// KRT6C
Mm.22473	3	Hs.11417	4	1	Rab acceptor 1 (prenylated)	Rab acceptor 1 (prenylated)	Rabac1	RABAC1
Mm.309520	3	Hs.464333	4	1	nuclear protein localization 4 homolog (S. cerevisiae)	nuclear protein localization 4 homolog (S. cerevisiae)	Nploc4	NPLOC4
Mm.17670	1	Hs.709341	2	1	expressed sequence AU042651	similar to CG4995 gene product	AU042651	LOC153328
Mm.337074	3	Hs.632731	4	1	predicted gene, EG433297 /// predicted gene, ENSMUSG00000060467 /// myosin, light polypeptide 6, alkali, smooth muscle and non-muscle /// predicted gene, OTTMUSG00000004549	myosin, light chain 6, alkali, smooth muscle and non-muscle /// myosin, light chain 6B, alkali, smooth muscle and non-muscle	EG433297 /// ENSMUSG00000060467 /// Myl6 /// OTTMUSG00000004549	MYL6 /// MYL6B
Mm.261818	3	Hs.7158	4	1	ring finger protein 167	ring finger protein 167	Rnf167	RNF167
Mm.391592	3	Hs.4988	4	1	mannoside acetylglucosaminyltransferase 5	hypothetical LOC151162	Mgat5	LOC151162
Mm.6471	3	Hs.715637	4	1	leucine zipper, down-regulated in cancer 1-like	leucine zipper, down-regulated in cancer 1-like	Ldoc1l	LDOC1L
Mm.158897	3	Hs.522789	4	1	CAAX box 1 homolog C (human)	family with sequence similarity 127, member A	Cxx1c	FAM127A
Mm.386752	3	Hs.411480	4	1	ancient ubiquitous protein 1	ancient ubiquitous protein 1	Aup1	AUP1
Mm.213925	3	Hs.591886	4	1	RIKEN cDNA C730025P13 gene	transmembrane protein 203	C730025P13Rik	TMEM203
Mm.476828	3	Hs.288912	4	1	TM2 domain containing 3	TM2 domain containing 3	Tm2d3	TM2D3
Mm.303028	3	Hs.649475	4	1	predicted gene, EG664869 /// predicted gene, EG668829 /// ribosomal protein L24	ribosomal protein L24	EG664869 /// EG668829 /// Rpl24	RPL24
Mm.386838	3	Hs.568945	4	1	RIKEN cDNA 2700081O15 gene	hypothetical protein MGC3032	2700081O15Rik	MGC3032
Mm.1536	1	Hs.567624	2	1	metallothionein 4	metallothionein 4	Mt4	MT4
Mm.41940	3	Hs.309753	4	1	STARD3 N-terminal like	STARD3 N-terminal like	Stard3nl	STARD3NL
Mm.87321	1	Hs.189105	2	1	cation channel, sperm associated 1	cation channel, sperm associated 1	Catsper1	CATSPER1
Mm.182944	3	Hs.432360	4	1	sodium channel modifier 1	sodium channel modifier 1	Scnm1	SCNM1
Mm.35790	3	Hs.108969	4	1	cDNA sequence BC056474	chromosome 19 open reading frame 56	BC056474	C19orf56
Mm.389075	3	Hs.653202	4	1	ADP-ribosylation factor 5 /// similar to ADP-ribosylation factor	ADP-ribosylation factor 5	Arf5 /// LOC100046958	ARF5
Mm.108491	1	Hs.485352	2	1	EPS8-like 3	EPS8-like 3	Eps8l3	EPS8L3
Mm.441906	2	Hs.591957	1	-1	gene model 962, (NCBI)	DKFZp761E198 protein	Gm962	DKFZp761E198
Mm.1001	2	Hs.997	1	-1	placental protein 11 related	26 serine protease	Pp11r	P11
Mm.333558	2	Hs.638578	1	-1	zinc finger protein 583	zinc finger protein 583	Zfp583	ZNF583
Mm.158506	2	Hs.231897	1	-1	testis expressed gene 19.2	FLJ35767 protein	Tex19.2	FLJ35767
Mm.45901	2	Hs.278909	1	-1	interleukin 1 family, member 8	interleukin 1 family, member 8 (eta)	Il1f8	IL1F8
Mm.21789	2	Hs.655653	1	-1	dimethylglycine dehydrogenase precursor	dimethylglycine dehydrogenase	Dmgdh	DMGDH
Mm.94020	2	Hs.657356	1	-1	leucine rich repeat containing 38	leucine rich repeat containing 38	Lrrc38	LRRC38
Mm.439652	2	Hs.36973	1	-1	guanine nucleotide binding protein, alpha transducing 2	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 2	Gnat2	GNAT2
Mm.389362	2	Hs.115366	1	-1	barrier to autointegration factor 2	barrier to autointegration factor 2	Banf2	BANF2
Mm.328925	2	Hs.407002	1	-1	patatin-like phospholipase domain containing 1	patatin-like phospholipase domain containing 1	Pnpla1	PNPLA1
Mm.129420	3	Hs.234763	2	-1	NK2 transcription factor related, locus 9 (Drosophila)	NK2 homeobox 8	Nkx2-9	NKX2-8
Mm.5105	2	Hs.306831	1	-1	prostaglandin D receptor	prostaglandin D2 receptor (DP)	Ptgdr	PTGDR
Mm.74363	2	Hs.150981	1	-1	transient receptor potential cation channel, subfamily C, member 3	transient receptor potential cation channel, subfamily C, member 3	Trpc3	TRPC3
Mm.32231	2	Hs.646291	1	-1	family with sequence similarity 170, member B	family with sequence similarity 170, member B	Fam170b	FAM170B
Mm.475210	2	Hs.307052	1	-1	lactate dehydrogenase A-like 6B	lactate dehydrogenase A-like 6B	Ldhal6b	LDHAL6B
Mm.252481	2	Hs.419815	1	-1	epidermal growth factor	epidermal growth factor (beta-urogastrone)	Egf	EGF
Mm.458435	2	Hs.254338	1	-1	RIKEN cDNA 5830443L24 gene /// predicted gene, EG634650 /// guanylate binding protein 4	guanylate binding protein family, member 6	5830443L24Rik /// EG634650 /// Gbp4	GBP6
Mm.5133	2	Hs.243467	1	-1	melatonin receptor 1A	melatonin receptor 1A	Mtnr1a	MTNR1A
Mm.83623	2	Hs.438779	1	-1	StAR-related lipid transfer (START) domain containing 6	StAR-related lipid transfer (START) domain containing 6	Stard6	STARD6
Mm.284891	2	Hs.479372	1	-1	solute carrier family 34 (sodium phosphate), member 2	solute carrier family 34 (sodium phosphate), member 2	Slc34a2	SLC34A2
Mm.240586	3	Hs.592194	2	-1	ring finger protein 215	ring finger protein 215	Rnf215	RNF215
Mm.8003	2	Hs.248145	1	-1	melanocortin 5 receptor	melanocortin 5 receptor	Mc5r	MC5R
Mm.463003	2	Hs.534318	1	-1	goosecoid homebox 2	goosecoid homeobox 2	Gsc2	GSC2
Mm.46117	2	Hs.351816	1	-1	RIKEN cDNA 1700025E21 gene	chromosome 7 open reading frame 45	1700025E21Rik	C7orf45
Mm.439725	2	Hs.519507	1	-1	testis-specific serine kinase 1	testis-specific serine kinase 1A pseudogene /// testis-specific serine kinase 1B	Tssk1	TSSK1A /// TSSK1B
Mm.46395	2	Hs.711174	1	-1	prostate stem cell antigen	prostate stem cell antigen	Psca	PSCA
Mm.159949	2	Hs.67639	1	-1	nucleoporin 210-like	nucleoporin 210kDa-like	Nup210l	NUP210L
Mm.3006	2	Hs.960	1	-1	interleukin 9	interleukin 9	Il9	IL9
Mm.213206	2	Hs.375623	1	-1	diencephalon/mesencephalon homeobox 1	diencephalon/mesencephalon homeobox 1	Dmbx1	DMBX1
Mm.25335	2.029412	Hs.567757	1	-1.029412	CDC14 cell division cycle 14 homolog B (S. cerevisiae)	CDC14 cell division cycle 14 homolog B (S. cerevisiae) /// CDC14 cell division cycle 14 homolog C (S. cerevisiae) /// hypothetical LOC100131447	Cdc14b	CDC14B /// CDC14C /// LOC100131447
Mm.17621	4	Hs.445377	2.952381	-1.047619	RIKEN cDNA 1700003E16 gene	chromosome 2 open reading frame 81	1700003E16Rik	C2orf81
Mm.311393	2.058824	Hs.404139	1	-1.058824	synaptotagmin XVI	synaptotagmin XVI	Syt16	SYT16
Mm.334680	4	Hs.657204	2.936508	-1.063492	RIKEN cDNA 1500041N16 gene	mitogen-activated protein kinase organizer 1	1500041N16Rik	MORG1
Mm.10661	2.088235	Hs.380691	1	-1.088235	solute carrier family 2 (facilitated glucose transporter), member 4	solute carrier family 2 (facilitated glucose transporter), member 4	Slc2a4	SLC2A4
Mm.275872	3	Hs.631627	1.896825	-1.103175	RIKEN cDNA 1700030K09 gene	chromosome 19 open reading frame 44	1700030K09Rik	C19orf44
Mm.35771	3.117647	Hs.287729	2	-1.117647	cytokine receptor-like factor 2	cytokine receptor-like factor 2	Crlf2	CRLF2
Mm.131234	2.117647	Hs.93698	1	-1.117647	triggering receptor expressed on myeloid cells-like 4	triggering receptor expressed on myeloid cells-like 3 /// triggering receptor expressed on myeloid cells-like 4	Treml4	TREML3 /// TREML4
Mm.182737	2.117647	Hs.334176	1	-1.117647	structural maintenance of chromosomes 1B	structural maintenance of chromosomes 1B	Smc1b	SMC1B
Mm.12955	2.117647	Hs.306973	1	-1.117647	potassium voltage-gated channel, shaker-related subfamily, member 7	potassium voltage-gated channel, shaker-related subfamily, member 7	Kcna7	KCNA7
Mm.86747	2.117647	Hs.631552	1	-1.117647	zinc finger protein 27	zinc finger protein 585A /// zinc finger protein 585B	Zfp27	ZNF585A /// ZNF585B
Mm.196137	4	Hs.709296	2.880952	-1.119048	ferredoxin 1-like /// GATA-like 1	GATA like protein-1	Fdx1l /// Glp1	GLP-1
Mm.276383	4	Hs.515664	2.865079	-1.134921	abhydrolase domain containing 8	abhydrolase domain containing 8	Abhd8	ABHD8
Mm.23095	4	Hs.279704	2.833333	-1.166667	chromatin accessibility complex 1	chromatin accessibility complex 1	Chrac1	CHRAC1
Mm.103354	2.176471	Hs.184907	1	-1.176471	G protein-coupled receptor 1	G protein-coupled receptor 1	Gpr1	GPR1
Mm.34790	4	Hs.351558	2.81746	-1.18254	transmembrane protein 149 /// U2 small nuclear RNA auxiliary factor 1-like 4	U2 small nuclear RNA auxiliary factor 1-like 4	Tmem149 /// U2af1l4	U2AF1L4
Mm.327442	4	Hs.709666	2.801587	-1.198413	LIM domain binding 1	LIM domain binding 1	Ldb1	LDB1
Mm.450664	3	Hs.502982	1.793651	-1.206349	ATP-grasp domain containing 1	ATP-grasp domain containing 1	Atpgd1	ATPGD1
Mm.279923	4	Hs.1565	2.785714	-1.214286	neural precursor cell expressed, developmentally down-regulated 4	neural precursor cell expressed, developmentally down-regulated 4	Nedd4	NEDD4
Mm.88831	4	Hs.109672	2.738095	-1.261905	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	St6galnac6	ST6GALNAC6
Mm.101656	4	Hs.355952	2.722222	-1.277778	YdjC homolog (bacterial)	YdjC homolog (bacterial)	Ydjc	YDJC
Mm.25410	4	Hs.632268	2.722222	-1.277778	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	Dsn1	DSN1
Mm.333624	3	Hs.515479	1.708995	-1.291005	coiled-coil domain containing 61	Coiled-coil domain containing 61 (CCDC61), mRNA	Ccdc61	CCDC61
Mm.151485	2.352941	Hs.408385	1	-1.352941	progestin and adipoQ receptor family member IX	progestin and adipoQ receptor family member IX	Paqr9	PAQR9
Mm.202653	3	Hs.108268	1.642857	-1.357143	expressed sequence AI132487	chromosome 14 open reading frame 68	AI132487	C14orf68
Mm.325522	3	Hs.179100	1.634921	-1.365079	family with sequence similarity 55, member D	family with sequence similarity 55, member D	Fam55d	FAM55D
Mm.246436	4	Hs.591176	2.595238	-1.404762	dynein light chain LC8-type 2	dynein, light chain, LC8-type 2	Dynll2	DYNLL2
Mm.246881	4	Hs.289015	2.595238	-1.404762	glycerophosphodiester phosphodiesterase domain containing 3	glycerophosphodiester phosphodiesterase domain containing 3	Gdpd3	GDPD3
Mm.182867	3	Hs.314225	1.571429	-1.428571	family with sequence similarity 123, member B	family with sequence similarity 123B	Fam123b	FAM123B
Mm.440007	4	Hs.655082	2.563492	-1.436508	KTI12 homolog, chromatin associated (S. cerevisiae)	KTI12 homolog, chromatin associated (S. cerevisiae)	Kti12	KTI12
Mm.146	3	Hs.679587	1.563492	-1.436508	makorin, ring finger protein, 3	makorin ring finger protein 3	Mkrn3	MKRN3
Mm.28101	4	Hs.532296	2.511905	-1.488095	RIKEN cDNA D030056L22 gene	chromosome 9 open reading frame 40	D030056L22Rik	C9orf40
Mm.205224	2.5	Hs.655319	1	-1.5	Neurobeachin like 1, mRNA (cDNA clone IMAGE:6835095)	neurobeachin-like 1	Nbeal1	NBEAL1
Mm.253335	3	Hs.655655	1.5	-1.5	torsin A interacting protein 2	torsin A interacting protein 2	Tor1aip2	TOR1AIP2
Mm.198399	3	Hs.302025	1.496032	-1.503968	glial cell line derived neurotrophic factor family receptor alpha 4	GDNF family receptor alpha 4	Gfra4	GFRA4
Mm.329729	2.529412	Hs.207465	1	-1.529412	membrane-spanning 4-domains, subfamily A, member 15	membrane-spanning 4-domains, subfamily A, member 15	Ms4a15	MS4A15
Mm.276518	2.588235	Hs.660022	1	-1.588235	mitochondrial carrier triple repeat 6	mitochondrial carrier triple repeat 6	Mcart6	MCART6
Mm.241152	4	Hs.23413	2.388889	-1.611111	ATPase family, AAA domain containing 3A	ATPase family, AAA domain containing 3A /// ATPase family, AAA domain containing 3B /// ATPase family, AAA domain containing 3C /// similar to AAA-ATPase  TOB3	Atad3a	ATAD3A /// ATAD3B /// ATAD3C /// LOC732419
Mm.180333	3	Hs.282624	1.373016	-1.626984	mutY homolog (E. coli)	Putative CYPC2C9 gene [human, liver, mRNA, 1814 nt]	Mutyh	CYP2C9
Mm.296088	4	Hs.64968	2.357143	-1.642857	mitochondrial GTPase 1 homolog (S. cerevisiae)	Shadow of prion protein homolog (zebrafish), mRNA (cDNA clone MGC:42296 IMAGE:4816858)	Mtg1	SPRN
Mm.304899	4	Hs.161429	2.349206	-1.650794	glutathione S-transferase, C-terminal domain containing	glutathione S-transferase, C-terminal domain containing	Gstcd	GSTCD
Mm.35241	4	Hs.714333	2.309524	-1.690476	Fas (TNFRSF6) binding factor 1	Fas (TNFRSF6) binding factor 1	Fbf1	FBF1
Mm.221301	2.705882	Hs.484990	1	-1.705882	histone cluster 1, H3a /// histone cluster 1, H3b /// histone cluster 1, H3c /// histone cluster 1, H3d /// histone cluster 1, H3e /// histone cluster 1, H3f /// histone cluster 1, H3g /// histone cluster 1, H3h /// histone cluster 1, H3i /// h	Histone cluster 1, H3j (HIST1H3J), mRNA	Hist1h3a /// Hist1h3b /// Hist1h3c /// Hist1h3d /// Hist1h3e /// Hist1h3f /// Hist1h3g /// Hist1h3h /// Hist1h3i /// Hist2h3b /// Hist2h3c1 /// Hist2h3c2	HIST1H3J
Mm.187326	3	Hs.118248	1.293651	-1.706349	ataxin 7-like 2	ataxin 7-like 2	Atxn7l2	ATXN7L2
Mm.260210	4	Hs.645492	2.253968	-1.746032	mitochondrial carrier triple repeat 1	mitochondrial carrier triple repeat 1	Mcart1	MCART1
Mm.4438	4	Hs.518805	2.238095	-1.761905	high mobility group AT-hook 1	high mobility group AT-hook 1	Hmga1	HMGA1
Mm.478119	3	Hs.239459	1.222222	-1.777778	DNA-damage inducible protein 2 /// regulatory solute carrier protein, family 1, member 1	DDI1, DNA-damage inducible 1, homolog 2 (S. cerevisiae)	Ddi2 /// Rsc1a1	DDI2
Mm.296142	3	Hs.696047	1.164399	-1.835601	t-complex 11 (mouse) like 2	t-complex 11 (mouse)-like 2	Tcp11l2	TCP11L2
Mm.371575	3	Hs.452943	1.15873	-1.84127	ribosomal protein L21	similar to ribosomal protein L21 /// similar to mCG9390 /// similar to hCG2016451 /// hypothetical LOC100133773 /// similar to 60S ribosomal protein L21 /// similar to ribosomal protein L21 /// similar to 60S ribosomal protein L21 /// similar t	Rpl21	LOC100129141 /// LOC100131672 /// LOC100133273 /// LOC100133773 /// LOC387753 /// LOC389156 /// LOC402176 /// LOC440575 /// LOC442160 /// LOC641293 /// LOC642738 /// LOC645157 /// LOC645174 /// LOC646279 /// LOC650059 /// LOC653079 /// LOC65366
Mm.95512	4	Hs.459632	2.150794	-1.849206	WD repeat domain 24	WD repeat domain 24	Wdr24	WDR24
Mm.347545	4	Hs.143774	2.134921	-1.865079	leucine rich repeat containing 45	leucine rich repeat containing 45	Lrrc45	LRRC45
Mm.472488	3	Hs.651869	1.126984	-1.873016	mannoside acetylglucosaminyltransferase 5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	Mgat5	MGAT5
Mm.391592	3	Hs.651869	1.126984	-1.873016	mannoside acetylglucosaminyltransferase 5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	Mgat5	MGAT5
Mm.84502	3	Hs.515858	1.107143	-1.892857	testis-specific serine kinase substrate	testis-specific kinase substrate	Tsks	TSKS
Mm.294441	3	Hs.596584	1.103175	-1.896825	chibby homolog 1 (Drosophila)	chibby homolog 1 (Drosophila)	Cby1	CBY1
