Curated Gene Symbol	UniGene ID	OMIM	Gene name	Symbol	1.5 h	3 h	16 h	24 h	48 h	AA	q-value
HLA-C	Hs.534125	142840	major histocompatibility complex, class I, C	HLA-C	-0.14	-0.14	-0.13	0.67	0.31	-0.47	0.048
					-0.08	0.28	1.16	1.54	1.08	0.17	0.048
TUBA1A	Hs.524395	602529	tubulin, alpha 3	TUBA3	0	-0.06	-0.44	-0.81	-0.65	-0.31	0.048
					-0.07	-0.06	0.41	1.15	0.2	0.2	0.048
					-0.05	-0.27	-0.58	-0.96	-0.27	-0.16	0.048
KLF6	Hs.285313	602053	Kruppel-like factor 6	KLF6	-1.36	-1.41	-0.66	-0.96	-1.05	-1.05	0.048
CD74	Hs.436568	142790	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	CD74	0.04	-0.1	0.1	0.37	0.62	-0.55	0.048
MSN	Hs.87752	309845	moesin	MSN	0.19	-0.16	-0.52	-0.14	-0.72	0.14	0.048
AKAP10	Hs.462457	604694	A kinase (PRKA) anchor protein 10	AKAP10	0.07	0	-0.05	0.05	-0.85	0.3	0.048
					0.01	-0.03	-0.38	-0.52	-0.54	-0.04	0.048
EGR1	Hs.326035	128990	early growth response 1	EGR1	-1.72	-1.33	-0.35	-0.36	0.15	-1.64	0.049
EGR1	Hs.326035	128990	early growth response 1	EGR1	-1.6	-1.48	-0.12	-0.25	-0.19	-1.43	0.049
FAM110A	Hs.534072		chromosome 20 open reading frame 55	C20orf55	0.12	-0.2	-0.85	-0.18	-0.26	0.17	0.049
					-0.21	0.05	0.28	0.56	-0.39	0.06	0.049
					-0.01	0.07	0.47	0.11	-0.04	0.24	0.049
					-0.2	-0.07	-0.61	-0.81	-0.11	0.24	0.049
					1.66	0.54	0.1	-0.24	0.56	-1.04	0.049
					-0.47	-1.41	-0.36	-0.76	-0.23	-0.89	0.049
					0.38	0.42	0.77	0.65	0.08	0.44	0.049
					-0.51	-0.04	0.05	0.22	0.18	-0.05	0.049
TUBA1A	Hs.524395	602529	tubulin, alpha 3	TUBA3	0.06	-0.06	-0.42	-0.59	-0.62	-0.2	0.049
					0.09	0.14	-0.6	-0.45	-0.73	0.23	0.049
					-0.11	0.16	1.27	0.77	0.7	1.12	0.049
					0.17	0.1	-0.46	-0.42	-0.64	-0.72	0.049
					0.04	0.17	0.68	0.77	0.66	0.05	0.049
					0.04	-0.05	-0.41	-0.79	-0.56	-0.29	0.049
					-0.42	-0.26	-0.19	0.48	0.81	0.37	0.049
POLR3H	Hs.532891		polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)	POLR3H	-0.08	-0.02	0.59	0.68	0.64	0.71	0.049
TUBA1A	Hs.524395	602529	tubulin, alpha 3	TUBA3	0.01	-0.03	-0.57	-0.85	-0.58	-0.25	0.049
PPP2R1A	Hs.467192	605983	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	PPP2R1A	-0.2	-0.03	-0.3	0.51	-0.44	0.19	0.049
					-0.03	-0.08	0.19	0.41	-0.37	0.24	0.049
					-0.14	-0.09	-0.81	-0.68	-0.73	-0.27	0.049
ANXA11	Hs.530291	602572	annexin A11	ANXA11	0.05	-0.17	-0.52	-0.03	-0.11	0.2	0.049
					0.2	-0.76	-0.21	0.54	-0.36	-0.25	0.049
					0.07	-0.06	-0.33	-0.5	-0.46	0.5	0.049
					-0.06	-0.02	-0.44	-0.07	-0.64	-1.5	0.049
					0	0.06	-0.47	-0.19	-0.53	-0.31	0.049
					-0.01	0.23	-0.81	-0.71	-0.77	-0.25	0.049
					0	-0.01	-0.4	-0.7	-0.49	-0.21	0.05
COX8A	Hs.433901	123870	cytochrome c oxidase subunit 8A (ubiquitous)	COX8A	-0.1	0.09	0.31	0.57	0.83	0.71	0.05
					0.08	0.02	0.71	0.82	0.51	0.13	0.05
ACTB	Hs.520640	102630	actin, beta	ACTB	0.02	-0.43	-0.88	0.15	-0.28	-0.59	0.05
