# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1415835_at|1415835_at	refseq_dna|NM_008865|NM_008865	mgi_symbol|Csh2|Csh2
affy_mouse430_2|1455137_at|1455137_at	refseq_dna|NM_175930|NM_175930	mgi_symbol|Rapgef5|Rapgef5
affy_mouse430_2|1455522_at|1455522_at	refseq_dna|NM_177566|NM_177566	mgi_symbol|Arhgef15|Arhgef15
affy_mouse430_2|1455660_at|1455660_at	refseq_dna|NM_007780|NM_007780	mgi_symbol|Csf2rb1|Csf2rb1
affy_mouse430_2|1455771_at|1455771_at	refseq_dna|NM_172449|NM_172449	mgi_symbol|Bzrap1|Bzrap1
affy_mouse430_2|1456061_at|1456061_at	refseq_dna|NM_001077410|NM_001077410	mgi_symbol|Gimap8|Gimap8
affy_mouse430_2|1456135_s_at|1456135_s_at	refseq_dna|NM_011223|NM_011223	mgi_symbol|Pxn|Pxn
affy_mouse430_2|1456482_at|1456482_at	refseq_dna|NM_181585|NM_181585	mgi_symbol|Pik3r3|Pik3r3
affy_mouse430_2|1460239_at|1460239_at	refseq_dna|NM_025359|NM_025359	mgi_symbol|Tspan13|Tspan13
affy_mouse430_2|1460273_a_at|1460273_a_at	refseq_dna|NM_010872|NM_010872	mgi_symbol|Birc1b|Birc1b
affy_mouse430_2|1460356_at|1460356_at	refseq_dna|NM_027102|NM_027102	mgi_symbol|Esam1|Esam1
affy_mouse430_2|1460651_at|1460651_at	refseq_dna|NM_010689|NM_010689	mgi_symbol|Lat|Lat
