Symbol	Name	ProbeId	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Mfhas1	malignant fibrous histiocytoma amplified sequence 1	A_51_P494825	Pup:1.2181001582151	Pup:2.61499784132619e-05	Adult:1.88864838659191	Adult:7.14367771867448e-08
Alkbh2	alkB, alkylation repair homolog 2 (E. coli)	A_51_P496780	Pup:1.30797603682632	Pup:0.000589792422586196	Adult:1.76666152520131	Adult:3.26762287366001e-05
5730433N10Rik	RIKEN cDNA 5730433N10 gene	A_51_P128356	Pup:1.14655652024615	Pup:0.0479373060608053	Adult:1.92275580315931	Adult:0.00215575181528884
Rec8	REC8 homolog (yeast)	A_51_P246677	Pup:1.28273886191333	Pup:1.47217612412304e-05	Adult:1.77403275247757	Adult:2.40725366212513e-07
Zfp599	zinc finger protein 599	A_51_P418859	Pup:1.61567472169553	Pup:0.00189251428985914	Adult:1.43212724985369	Adult:0.00832648926887885
Tob1	transducer of ErbB-2.1	A_51_P293339	Pup:1.2674962455279	Pup:0.00036615357802901	Adult:1.76817520038712	Adult:1.14859576351291e-05
Ngef	neuronal guanine nucleotide exchange factor	A_51_P170823	Pup:1.69072884249853	Pup:2.38777985220329e-05	Adult:1.32267112032649	Adult:0.000894895608052765
Bag2	BCL2-associated athanogene 2	A_51_P204913	Pup:1.95225917364974	Pup:1.05249265337261e-10	Adult:1.04446358301524	Adult:9.7910368363089e-06
Timp4	tissue inhibitor of metalloproteinase 4	A_51_P355427	Pup:1.66036894987623	Pup:3.58566954084985e-06	Adult:1.33443045905915	Adult:0.000153469075014785
Wdr65	WD repeat domain 65	A_51_P112203	Pup:1.67387446339666	Pup:0.00343808438242551	Adult:1.31012765852735	Adult:0.0287252935745013
Pcca	propionyl-Coenzyme A carboxylase, alpha polypeptide	A_51_P484254	Pup:1.5667706503552	Pup:7.35721354636755e-09	Adult:1.40223425666772	Adult:1.23261820735812e-07
Igdcc3	immunoglobulin superfamily, DCC subclass, member 3	A_51_P436559	Pup:1.48529263821877	Pup:0.000717162084415563	Adult:1.47785011290225	Adult:0.00136845928200746
Map4k2	mitogen-activated protein kinase kinase kinase kinase 2	A_52_P204689	Pup:1.5942763127566	Pup:8.52399203435747e-06	Adult:1.29812183357689	Adult:0.000267037868104488
Kif1c	kinesin family member 1C	A_52_P113465	Pup:1.20276682195144	Pup:7.29234398528918e-06	Adult:1.68607759244592	Adult:8.53382511955448e-08
Bhlhb9	basic helix-loop-helix domain containing, class B9	A_51_P323081	Pup:1.32126968309333	Pup:2.07219190333977e-06	Adult:1.56661919007671	Adult:3.35747574522256e-07
1700026J04Rik	RIKEN cDNA 1700026J04 gene	A_51_P247421	Pup:1.11433727644412	Pup:0.0323236303826174	Adult:1.76978896451329	Adult:0.00175108623675212
Hdlbp	high density lipoprotein (HDL) binding protein	A_52_P36586	Pup:1.28673365950768	Pup:0.00648383361680104	Adult:1.57442180904626	Adult:0.00194650051153792
Nos3	nitric oxide synthase 3, endothelial cell	A_51_P139651	Pup:1.25937232395611	Pup:0.000101391352392898	Adult:1.5992880289079	Adult:9.08251973734472e-06
Cdc37l1	cell division cycle 37 homolog (S. cerevisiae)-like 1	A_52_P676406	Pup:1.57848990018801	Pup:0.00233258531930228	Adult:1.27590412613213	Adult:0.0182750393842971
Sesn1	sestrin 1	A_51_P233954	Pup:1.24817265187379	Pup:1.74808192636864e-05	Adult:1.57241586278609	Adult:1.33503076298327e-06
Pcp4l1	Purkinje cell protein 4-like 1	A_51_P361150	Pup:1.50261212510302	Pup:5.357374187367e-07	Adult:1.3001885244268	Adult:1.17192484076202e-05
Usp6nl	USP6 N-terminal like	A_51_P442719	Pup:1.37377703746516	Pup:4.07617298275138e-06	Adult:1.41740297440387	Adult:6.05687691501609e-06
Ndufaf4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4	A_52_P325265	Pup:1.03632983738929	Pup:0.0400441161149018	Adult:1.75136519468742	Adult:0.00142899168467514
Ebpl	emopamil binding protein-like	A_51_P394973	Pup:1.48338545879226	Pup:0.000435729081852228	Adult:1.30244092200007	Adult:0.00280463956214846
5730403B10Rik	RIKEN cDNA 5730403B10 gene	A_52_P602996	Pup:1.11214297102959	Pup:0.000335790166837352	Adult:1.66723799391459	Adult:3.54266095419792e-06
Gipc3	GIPC PDZ domain containing family, member 3	A_51_P102005	Pup:1.25933211424281	Pup:0.0118760575309559	Adult:1.51583843233038	Adult:0.0046581296752646
Phc1	polyhomeotic-like 1 (Drosophila)	A_52_P243553	Pup:1.02402076652427	Pup:0.000263383768242035	Adult:1.74550799005301	Adult:3.27087366240035e-07
Mrps5	mitochondrial ribosomal protein S5	A_52_P147870	Pup:1.29055322416622	Pup:0.000265261879488219	Adult:1.47276110749938	Adult:0.000113518962947198
Lhpp	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	A_51_P286946	Pup:1.6550929305449	Pup:1.31663793792664e-08	Adult:1.08754997173078	Adult:2.45663194399912e-05
Ifnar1	interferon (alpha and beta) receptor 1	A_51_P168545	Pup:1.04774392802759	Pup:8.18708020213953e-08	Adult:1.6945049024753	Adult:3.59709667159658e-11
Frmd4b	FERM domain containing 4B	A_51_P392350	Pup:1.27349436973879	Pup:1.03920604924062e-07	Adult:1.46397728778763	Adult:2.40035835092864e-08
Fahd2a	fumarylacetoacetate hydrolase domain containing 2A	A_51_P475613	Pup:1.43548705943431	Pup:7.48443339597598e-08	Adult:1.29523703048283	Adult:1.00719233009183e-06
Ank	progressive ankylosis	A_51_P155152	Pup:1.3279169799082	Pup:0.000251882558841702	Adult:1.40199162232393	Adult:0.000267037868104488
Arl2bp	ADP-ribosylation factor-like 2 binding protein	A_52_P153189	Pup:1.20018709101774	Pup:5.31544342105673e-07	Adult:1.52679453206822	Adult:2.30837164118941e-08
Exoc2	exocyst complex component 2	A_51_P404339	Pup:1.35060972437407	Pup:1.283214681799e-05	Adult:1.37569858469254	Adult:2.22512983128687e-05
Fam98b	family with sequence similarity 98, member B	A_51_P202040	Pup:1.36288462414023	Pup:0.00192120255250366	Adult:1.36297414216875	Adult:0.00325306478872443
Zbtb24	zinc finger and BTB domain containing 24	A_51_P209451	Pup:1.15357088993859	Pup:0.000160148876944551	Adult:1.56238233991587	Adult:6.18003739404729e-06
Vmn1r65	vomeronasal 1 receptor 65	A_51_P514862	Pup:1.08823945395508	Pup:0.00622069964307527	Adult:1.62537035956842	Adult:0.000233480201854639
4930455F23Rik	RIKEN cDNA 4930455F23 gene	A_51_P190437	Pup:1.09977781173921	Pup:6.23710528521552e-05	Adult:1.60042406875131	Adult:6.16334225361004e-07
Hspb7	heat shock protein family, member 7 (cardiovascular)	A_51_P447874	Pup:1.32121782871231	Pup:2.62649680342028e-05	Adult:1.31497891709603	Adult:6.08318674312534e-05
Ccdc17	coiled-coil domain containing 17	A_51_P426724	Pup:1.3710306715218	Pup:0.0121666570055189	Adult:1.26123686114892	Adult:0.0294799657680056
Myl9	myosin, light polypeptide 9, regulatory	A_51_P308298	Pup:1.35169048004027	Pup:0.0235053869368436	Adult:1.25302679945132	Adult:0.0482450952118699
Tbc1d16	TBC1 domain family, member 16	A_51_P412225	Pup:1.29455007764109	Pup:0.000572163289109219	Adult:1.29823460169831	Adult:0.00102626092245413
Mad2l2	MAD2 mitotic arrest deficient-like 2 (yeast)	A_51_P179987	Pup:1.10453769826221	Pup:6.75540964626084e-06	Adult:1.46263345975579	Adult:2.04817247347208e-07
Inpp1	inositol polyphosphate-1-phosphatase	A_52_P402885	Pup:1.09981746096505	Pup:0.00302564647943326	Adult:1.46683131177349	Adult:0.000314844545452144
Tarsl2	threonyl-tRNA synthetase-like 2	A_51_P340355	Pup:1.15983406968344	Pup:4.42627232889601e-06	Adult:1.40460902914661	Adult:5.43812184797583e-07
Drd4	dopamine receptor D4	A_52_P196278	Pup:1.17448931672584	Pup:0.0272460122038237	Adult:1.38201362265439	Adult:0.0146454596907837
Aig1	androgen-induced 1	A_51_P168203	Pup:1.08210341406255	Pup:0.00836014694544415	Adult:1.47281289234119	Adult:0.000974172134846727
4930590J08Rik	RIKEN cDNA 4930590J08 gene	A_51_P155565	Pup:1.40201755520019	Pup:2.24157068759193e-07	Adult:1.13744570574448	Adult:1.353503541806e-05
D1Bwg0212e	DNA segment, Chr 1, Brigham & Womens Genetics 0212 expressed	A_52_P585362	Pup:1.28712096843112	Pup:0.00903975451165425	Adult:1.24937374114538	Adult:0.0166117211914883
Clybl	citrate lyase beta like	A_51_P274163	Pup:1.06059820618187	Pup:0.000325492643777443	Adult:1.46039405211838	Adult:1.18156713537661e-05
Trpm6	transient receptor potential cation channel, subfamily M, member 6	A_52_P184322	Pup:1.15467305388787	Pup:5.21439955218129e-05	Adult:1.36494286457196	Adult:1.19764267296368e-05
Hprt	hypoxanthine guanine phosphoribosyl transferase	A_51_P239673	Pup:1.36058829947818	Pup:0.00011564460795778	Adult:1.14675561447944	Adult:0.00140830936819059
Crygc	crystallin, gamma C	A_51_P116796	Pup:1.2336551317105	Pup:4.87993584341907e-07	Adult:1.26705604044541	Adult:7.892140081926e-07
Eif2ak4	eukaryotic translation initiation factor 2 alpha kinase 4	A_51_P408644	Pup:1.22035135162427	Pup:0.000191784026536419	Adult:1.26220308902309	Adult:0.000258777077227549
Kifc2	kinesin family member C2	A_51_P505689	Pup:1.01622232560048	Pup:0.0331605103740685	Adult:1.45851028302527	Adult:0.00444816591076533
Wasf1	WASP family 1	A_51_P322801	Pup:1.17045386331292	Pup:1.84973496164444e-05	Adult:1.30311992245413	Adult:9.34679689656162e-06
Zfp354a	zinc finger protein 354A	A_51_P117236	Pup:1.33210455938458	Pup:3.0267783347637e-05	Adult:1.12620877214753	Adult:0.000483230140171471
Fxyd7	FXYD domain-containing ion transport regulator 7	A_51_P379698	Pup:1.03425707096388	Pup:0.0344291071384937	Adult:1.39868236163652	Adult:0.00741635479218057
4833408A19Rik	RIKEN cDNA 4833408A19 gene	A_51_P346630	Pup:1.35761433064549	Pup:1.40859989662598e-05	Adult:1.06722966803404	Adult:0.000573986791320445
Tnk2	tyrosine kinase, non-receptor, 2	A_51_P386189	Pup:1.36677783215149	Pup:0.000124939307616489	Adult:1.05758099271269	Adult:0.00325306478872443
Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	A_52_P656545	Pup:1.21481968707964	Pup:0.00265808781918494	Adult:1.20731184145935	Adult:0.00462756461886805
Nphp1	nephronophthisis 1 (juvenile) homolog (human)	A_51_P260721	Pup:1.00534327866958	Pup:0.000107915376298429	Adult:1.4129615900403	Adult:2.13083451269283e-06
Otud7b	OTU domain containing 7B	A_52_P623738	Pup:1.13096188686299	Pup:0.000203803243270398	Adult:1.28298655620879	Adult:9.12776333044876e-05
Mif4gd	MIF4G domain containing	A_51_P100034	Pup:1.13844764314836	Pup:6.88735837305375e-06	Adult:1.26673967774197	Adult:3.4134436742087e-06
Glrx2	glutaredoxin 2 (thioltransferase)	A_52_P514107	Pup:1.24252566592724	Pup:0.0142913224429429	Adult:1.15799901548715	Adult:0.0313151244393337
2010305A19Rik	RIKEN cDNA 2010305A19 gene	A_51_P332392	Pup:1.08793106069779	Pup:0.00193591378222349	Adult:1.30123288551377	Adult:0.000598589733358035
Itga7	integrin alpha 7	A_51_P181671	Pup:1.01781427569295	Pup:0.000560139066754046	Adult:1.3682398805	Adult:3.26055792699513e-05
Tom1l2	target of myb1-like 2 (chicken)	A_52_P383753	Pup:1.15446777505719	Pup:5.16629499201122e-06	Adult:1.22759185707207	Adult:4.93555339499719e-06
Ube2z	ubiquitin-conjugating enzyme E2Z (putative)	A_52_P36900	Pup:1.08127779603502	Pup:0.0129729191414846	Adult:1.2918078672478	Adult:0.00547817599105288
Tcea2	transcription elongation factor A (SII), 2	A_51_P375667	Pup:1.31991850292778	Pup:0.00141735378369156	Adult:1.05293955992386	Adult:0.0141550940477754
Hint3	histidine triad nucleotide binding protein 3	A_51_P290819	Pup:1.14426841772658	Pup:1.87316635249481e-05	Adult:1.22428378970201	Adult:1.64082656614496e-05
1810037I17Rik	RIKEN cDNA 1810037I17 gene	A_51_P217967	Pup:1.16606552010067	Pup:0.000142695468186359	Adult:1.20179042965556	Adult:0.000201482256994305
Tprkb	Tp53rk binding protein	A_52_P400613	Pup:1.04889049836149	Pup:0.000596531762746045	Adult:1.31681177976083	Adult:8.65114015973819e-05
Prkag2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	A_51_P460869	Pup:1.20372519477661	Pup:0.000170817878611292	Adult:1.14559172175018	Adult:0.000583252321218395
Zfp551	zinc fingr protein 551	A_52_P500077	Pup:1.13689074510045	Pup:0.00474398364694506	Adult:1.19848424108828	Adult:0.00498262555424097
Olfr202	olfactory receptor 202	A_51_P354419	Pup:1.2141954764038	Pup:0.00131703580757324	Adult:1.11374953617891	Adult:0.00481271704598347
Ddx43	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43	A_52_P98287	Pup:1.09154588596303	Pup:0.0341300120852815	Adult:1.23039290561637	Adult:0.0247128500936281
Crybb3	crystallin, beta B3	A_52_P286511	Pup:1.10222998590441	Pup:0.0297794139097635	Adult:1.20457557615604	Adult:0.0255694110264425
4930414N08Rik	RIKEN cDNA 4930414N08 gene	A_51_P338304	Pup:1.12964681233375	Pup:0.000194056466953263	Adult:1.17550553621033	Adult:0.000243634566185888
Flrt2	fibronectin leucine rich transmembrane protein 2	A_52_P615362	Pup:1.17625692457438	Pup:0.0014375834330816	Adult:1.07576653366817	Adult:0.00528858872713935
Mrpl41	mitochondrial ribosomal protein L41	A_52_P209172	Pup:1.16414763271044	Pup:2.90003742407226e-05	Adult:1.0835486565153	Adult:0.000154946160340866
4930542C12Rik	RIKEN cDNA 4930542C12 gene	A_52_P389017	Pup:1.13079233250905	Pup:0.0117654649196872	Adult:1.10838761169475	Adult:0.0197736490603538
Nek3	NIMA (never in mitosis gene a)-related expressed kinase 3	A_51_P484510	Pup:1.10113290831655	Pup:0.000327158846457435	Adult:1.13754661461282	Adult:0.000444145975426671
Slc35a5	solute carrier family 35, member A5	A_52_P618379	Pup:1.0871225527373	Pup:0.0125179551319412	Adult:1.15054764199425	Adult:0.0128062136677024
Bbip1	BBSome interacting protein 1	A_52_P606638	Pup:1.18626698204799	Pup:0.00058826922981286	Adult:1.03992990995263	Adult:0.00362425107200569
Zfp940	zinc finger protein 940	A_51_P281123	Pup:1.03991159075726	Pup:0.00675029639599019	Adult:1.17604608956376	Adult:0.00407834513955769
Mtmr6	myotubularin related protein 6	A_51_P205481	Pup:1.08393736926207	Pup:1.68614399527257e-05	Adult:1.11334462674137	Adult:2.59238326169573e-05
Parvb	parvin, beta	A_51_P198645	Pup:1.03487889117041	Pup:0.000343183871036724	Adult:1.14961612525959	Adult:0.000203561203105618
Osgepl1	O-sialoglycoprotein endopeptidase-like 1	A_52_P121	Pup:1.14997819499001	Pup:5.69629625040579e-07	Adult:1.0166779866092	Adult:9.12379924997654e-06
Zswim1	zinc finger, SWIM domain containing 1	A_51_P232474	Pup:1.00309877411872	Pup:0.000430995935051084	Adult:1.15574998106336	Adult:0.000168707061328992
Nat8	N-acetyltransferase 8 (GCN5-related, putative)	A_51_P479230	Pup:1.05331628393385	Pup:0.0011262621193437	Adult:1.09648260006508	Adult:0.0013599519828764
Ap2b1	adaptor-related protein complex 2, beta 1 subunit	A_51_P213641	Pup:1.10296312659915	Pup:1.69599691608329e-06	Adult:1.01821649866161	Adult:1.30445442980413e-05
Dnaja4	DnaJ (Hsp40) homolog, subfamily A, member 4	A_52_P592230	Pup:1.09343714489328	Pup:0.00432155950191213	Adult:1.01788384276949	Adult:0.0115479112374746
Ropn1l	ropporin 1-like	A_51_P150770	Pup:1.03331917772632	Pup:0.00207343266866228	Adult:1.02062382620161	Adult:0.00389301891864348
Ifnar2	interferon (alpha and beta) receptor 2	A_51_P338924	Pup:1.01950815187763	Pup:5.1818684128835e-05	Adult:1.02993498833027	Adult:9.69350874628935e-05
