Transcript ID	Gene Symbol	Gene Name	Fold Change
XM_001059586 /// XM_001059704 /// XM_001059759 /// XM_001059813 /// XM_001059879 /// XM_001059950 /// XM_001060012 /// XM_001064131 /// XM_342854	Nfib	Nuclear factor I/B	-4
XM_001064459 /// XM_232351	Cops7a	COP9 (constitutive photomorphogenic) homolog, subunit 7a (Arabidopsis thaliana)	-4
NM_017235	Hsd17b7	Hydroxysteroid (17-beta) dehydrogenase 7	-4
NM_145091	Pdp2	Pyruvate dehydrogenase phosphatase isoenzyme 2	-4
NM_012637	Ptpn1	Protein tyrosine phosphatase, non-receptor type 1	-4
NM_031056	Mmp14	Matrix metallopeptidase 14 (membrane-inserted)	-4
NM_147136	LOC257642	Rrna promoter binding protein	-5
XM_001057484 /// XM_225706	Atp9b	Atpase, class II, type 9B	-5
NM_017206	Slc6a6	Solute carrier family 6 (neurotransmitter transporter, taurine), member 6	-5
NM_001008725	Il6st	Interleukin 6 signal transducer	-5
NM_031576	Por	P450 (cytochrome) oxidoreductase	-5
NM_012683	Ugt1a1	UDP glycosyltransferase 1 family, polypeptide A1	-5
NM_030872	Pdk2	Pyruvate dehydrogenase kinase, isoenzyme 2	-5
NM_133418	Slc25a10	Solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10	-5
NM_022866	Slc13a3	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3	-5
NM_145770	Acox2	Acyl-Coenzyme A oxidase 2, branched chain	-6
NM_001039549	Ugt1a5	UDP glycosyltransferase 1 family, polypeptide A5	-6
XM_001071608 /// XM_213849	Nfix	Nuclear factor I/X	-6
NM_017332	Fasn	Fatty acid synthase	-6
NM_001014264	Igha /// LOC366772	Immunoglobulin heavy chain (alpha polypeptide) /// similar to immunoglobulin heavy chain	-7
NM_019278	Resp18	Regulated endocrine-specific protein 18	-7
