Gene Symbol	Probeset ID	p-value	Fold-Change
CLCN3	201734_at	0.00157722	-2.23169
GNG12	212294_at	2.54E-05	-2.23782
	224826_at	0.000749269	-2.23977
FAM126A	231396_s_at	0.000178701	-2.24098
SLC9A7	1552671_a_at	6.27E-05	-2.24483
FLJ12993	229623_at	0.000942303	-2.2471
C21orf2	238965_at	2.76E-05	-2.24765
CTSA	200661_at	7.63E-07	-2.2514
C14orf169	219526_at	1.28E-08	-2.25277
MTERF	204871_at	4.33E-05	-2.25446
NEURL2	230283_at	0.000535722	-2.25454
SSH1	221752_at	2.67E-05	-2.25596
HSD17B14	224494_x_at	0.00047273	-2.26192
NUP50	218294_s_at	0.00144007	-2.26311
PICALM	212511_at	0.000563092	-2.27234
MFSD1	218109_s_at	6.48E-05	-2.27373
SIRPA	202896_s_at	0.00121706	-2.27628
CREBL2	201990_s_at	0.000279221	-2.2772
ATP7A	205198_s_at	5.94E-06	-2.28054
RNF19B	36564_at	5.64E-05	-2.28107
DNAJC15	227808_at	8.50E-05	-2.28476
	227167_s_at	0.000376707	-2.29008
OTUD7B	227436_at	1.09E-05	-2.29027
CADM1	209030_s_at	0.00131277	-2.29049
LRRC8C	223533_at	7.08E-06	-2.292
SLC4A2	202111_at	0.00017527	-2.2935
RDX	212397_at	0.00110717	-2.29365
ACER3	222689_at	0.000391566	-2.29512
ADI1	222400_s_at	0.00104945	-2.30244
SVIP	230006_s_at	8.87E-05	-2.30487
JPH3	229294_at	3.42E-09	-2.32594
	235424_at	4.39E-05	-2.32739
EBF3	227242_s_at	2.67E-05	-2.33732
DNAJC15	218435_at	6.93E-06	-2.35052
SERPINB1	212268_at	0.00010899	-2.36427
WNT5A	213425_at	0.00077905	-2.37429
NEFH	204412_s_at	0.000296405	-2.37618
LRRC8C	228314_at	0.000331096	-2.38253
MTHFD2L	238762_at	0.000106371	-2.39122
TRIM33	210266_s_at	5.24E-06	-2.39774
LOC441617	237393_at	1.49E-06	-2.39908
RNF19B	213038_at	2.86E-05	-2.40754
RHOQ	212120_at	0.00106607	-2.41313
KIF1B	209234_at	7.73E-06	-2.41611
LOC344595	239466_at	0.000813521	-2.424
FNTB	225851_at	1.10E-05	-2.42709
FAM126A	223625_at	1.28E-05	-2.42879
TAF7L	220325_at	7.09E-08	-2.43546
SLC6A8	202219_at	0.00122635	-2.43575
C16orf52	244835_at	3.90E-07	-2.43784
CXorf39	227133_at	0.000159829	-2.43992
HTR7P	236115_at	0.000309895	-2.44355
SUCNR1	223939_at	1.11E-05	-2.44664
CHD9	242157_at	2.58E-05	-2.4497
LDLRAP1	221790_s_at	2.48E-06	-2.45338
CA5BP	239106_at	0.000746164	-2.46325
PLEKHF2	218640_s_at	0.000151118	-2.46863
ATP10D	213238_at	0.000220872	-2.47003
GNG12	1555240_s_at	0.000410046	-2.47592
FLRT1	210414_at	0.000143366	-2.48655
TAF7L	224380_s_at	2.63E-08	-2.48857
CTTN	201059_at	1.82E-07	-2.49751
LZTS1	219042_at	0.000741439	-2.49987
	238537_at	0.00103807	-2.50113
IFI16	208966_x_at	0.000601846	-2.50269
ZNF654	219239_s_at	0.000622272	-2.50402
GLI3	227376_at	0.00012692	-2.51368
	241880_x_at	0.000960641	-2.52999
BMF	226530_at	5.31E-08	-2.53881
	235676_at	0.00115872	-2.5467
RTP4	219684_at	3.27E-05	-2.54758
NRP2	214632_at	0.000363434	-2.55068
KIAA1644	52837_at	9.37E-07	-2.56186
AP1S2	230264_s_at	0.0010141	-2.56727
SDCBP	200958_s_at	0.00138914	-2.58472
KCNG3	1552897_a_at	0.000741778	-2.58504
NRP2	211844_s_at	0.000624937	-2.58846
BAIAP2L2	228876_at	6.51E-05	-2.60608
ZNF654	222851_at	0.000114834	-2.60885
GNG12	222834_s_at	4.73E-06	-2.60999
	234986_at	2.89E-07	-2.61024
KCNAB1	210471_s_at	0.000200582	-2.61723
ZNF697	227080_at	0.000248375	-2.62457
MAPKSP1	227562_at	4.98E-06	-2.64141
QDPR	1556205_at	2.87E-06	-2.65056
TRIM33	212436_at	4.75E-06	-2.65398
SVIP	230285_at	2.76E-05	-2.67921
NRP2	210842_at	2.96E-05	-2.68136
ZNF654	241348_at	5.34E-05	-2.68298
MCOLN1	219952_s_at	1.35E-07	-2.69165
STS	203769_s_at	4.74E-05	-2.73893
NHS	228933_at	0.000101264	-2.76894
KIF13A	223520_s_at	0.000152359	-2.76902
LOC646778	243452_at	0.000115994	-2.76922
LGALS3BP /// LOC100133842	200923_at	9.66E-05	-2.77852
GPNMB	201141_at	0.000542727	-2.78714
DNAJB6	209015_s_at	6.53E-06	-2.79455
ARHGAP18	225173_at	0.00121116	-2.814
ACER3	222687_s_at	1.52E-05	-2.82039
E2F3	203693_s_at	1.43E-05	-2.82108
CYCS	229415_at	0.000861819	-2.82281
ACER3	227776_at	1.74E-05	-2.84139
SMPX	219772_s_at	1.31E-10	-2.85198
HERC5	219863_at	0.00108428	-2.85239
EBF3	227243_s_at	4.46E-06	-2.85808
C18orf51	229645_at	0.00100974	-2.85851
LZTS1	47550_at	4.41E-05	-2.85938
SRD5A3	222750_s_at	1.52E-06	-2.86584
KCNJ12	232289_at	1.54E-06	-2.8725
AP1S2	203299_s_at	0.00041538	-2.88512
GJA3	239572_at	0.000441775	-2.88615
E2F3	203692_s_at	1.77E-07	-2.91761
DAPK1	203139_at	4.27E-06	-2.92571
	230492_s_at	1.02E-05	-2.93917
MXI1	202364_at	8.38E-05	-2.94093
KCNAB1	210078_s_at	0.000259266	-2.97933
AP1S2	203300_x_at	0.000919565	-2.9843
GNPTAB	212959_s_at	4.41E-06	-3.00824
SMS	202043_s_at	3.43E-05	-3.00943
RHOQ	212122_at	8.13E-05	-3.0225
LOC727901 /// VWA1	218731_s_at	0.000716132	-3.05582
PFKFB3	202464_s_at	3.86E-05	-3.09971
CITED1	207144_s_at	0.00144453	-3.11484
ADCY1	232062_at	2.80E-06	-3.13893
	232569_at	0.000390557	-3.1626
SSX1	206626_x_at	0.000461896	-3.16378
ENOX1	219501_at	0.00104014	-3.18501
	222344_at	0.000912459	-3.18837
TMEM87A	223772_s_at	2.53E-08	-3.24198
HNMT	211732_x_at	0.00103754	-3.24656
MYO10	236718_at	0.000255532	-3.26045
MCC	226225_at	0.00139706	-3.29578
	230053_at	9.78E-06	-3.33464
GPM6B	209170_s_at	1.39E-07	-3.35875
SPSB1	219677_at	2.72E-05	-3.41439
ACER3	222688_at	6.62E-08	-3.43263
GPM6B	209167_at	1.31E-06	-3.43363
EGF	206254_at	1.04E-05	-3.50274
ARHGAP18	225171_at	1.24E-06	-3.50866
KCNJ12 /// LOC100131509 /// LOC100134444	208567_s_at	1.15E-11	-3.51879
SLC11A2	203123_s_at	4.23E-06	-3.52141
NEFH	33767_at	0.000169415	-3.53366
LOC344595	235606_at	0.000618367	-3.54232
API5	233078_at	1.34E-11	-3.55545
LBH	221011_s_at	0.000286032	-3.6046
ATOH8	228890_at	1.30E-05	-3.62151
GPM6B	209168_at	2.07E-07	-3.62686
FRMD4A	225168_at	5.02E-05	-3.63569
MBP	225407_at	0.000340459	-3.66233
QDPR	239857_at	9.14E-08	-3.66837
PRKD1	205880_at	1.14E-06	-3.69558
TMSB4X /// TMSL3	216438_s_at	0.00013454	-3.70003
ICK	204569_at	6.18E-06	-3.72568
SMAD6	207069_s_at	4.34E-08	-3.73659
	242489_at	2.85E-09	-3.74235
TM4SF18	228489_at	1.25E-07	-3.74539
KCNJ12	207110_at	1.12E-11	-3.83784
SPSB1	226075_at	6.95E-05	-3.85497
CLEC2B	209732_at	0.000132864	-3.88548
SMAD9	227719_at	1.36E-05	-3.9168
NLGN1	205893_at	0.000841873	-3.93246
SLC11A2	203124_s_at	9.06E-06	-3.93809
SAMD9	228531_at	3.52E-07	-3.94096
MYO10	244350_at	0.000798558	-4.02589
FBXL13	1553798_a_at	0.000968561	-4.03885
GPM6B	209169_at	2.06E-07	-4.11024
STS	203767_s_at	3.73E-07	-4.12003
RARB	208530_s_at	0.000410643	-4.17285
FAM176A	227828_s_at	8.01E-05	-4.21338
FAM111A	218248_at	4.22E-09	-4.26979
STK32A	1553938_a_at	0.00110197	-4.32747
LHFPL2	212658_at	1.71E-05	-4.38325
FRMD4A	225167_at	9.92E-05	-4.42065
RAB38	219412_at	9.15E-06	-4.44342
RARB	205080_at	0.000161158	-4.54426
WNT5A	205990_s_at	0.000219855	-4.58026
PRSS33	1552348_at	1.07E-09	-4.58533
MBP	207323_s_at	0.00064712	-4.61346
QDPR	209123_at	0.000395042	-4.62468
GDPD5	32502_at	4.91E-05	-4.6555
NPL	223405_at	2.67E-07	-4.65798
PTPRC	207238_s_at	0.000796271	-4.66313
LRP2	205710_at	8.58E-09	-4.67767
PLN	228202_at	5.84E-06	-4.828
LOC642103 /// MGAM	206522_at	2.96E-15	-4.83279
PLP1	210198_s_at	3.45E-06	-4.8509
GDPD5	213343_s_at	6.02E-05	-5.04051
HEY1	218839_at	0.000106506	-5.13448
GPNMB	1554018_at	3.45E-07	-5.29931
NRIP1	202599_s_at	7.96E-08	-5.48151
HEY1	44783_s_at	4.47E-05	-5.61427
PRSS33	1552349_a_at	3.09E-09	-5.67231
MYOC	210155_at	5.35E-10	-5.704
LPXN	216250_s_at	0.000922381	-5.75615
	1560240_at	8.14E-06	-5.76433
GCNT2	230788_at	2.32E-07	-5.82847
KDR	203934_at	3.87E-07	-5.85033
LRP2	230863_at	1.00E-07	-6.16565
IL1RAPL1	222963_s_at	1.03E-06	-6.28971
PLN	204940_at	7.65E-06	-6.29199
FBXL7	213249_at	0.000326403	-6.30346
ARMET	202655_at	3.06E-08	-6.5396
IGFBP7	201162_at	0.000214953	-6.67301
ADCY1	235049_at	7.07E-05	-6.77991
GHR	205498_at	3.42E-06	-6.92291
PROM1	204304_s_at	1.03E-06	-7.02122
NPL	221210_s_at	1.00E-07	-7.11454
LOC644242	1558404_at	2.53E-05	-7.36418
PLN	204939_s_at	8.91E-06	-7.71514
MBP	210136_at	3.18E-07	-7.81218
PTPRC	212588_at	0.00013971	-7.94736
DMKN	226926_at	3.90E-10	-8.61077
PLN	204938_s_at	1.34E-05	-8.86896
AKAP12	210517_s_at	0.000166089	-8.87094
CA8	220234_at	0.000607939	-9.25476
ID3	207826_s_at	6.00E-05	-9.69126
	241456_at	0.0006017	-9.87947
IL1RAPL1	220663_at	1.92E-06	-10.0983
EMX2	221950_at	3.62E-14	-10.3997
IGFBP7	201163_s_at	3.08E-06	-10.6283
KCNN2	220116_at	1.32E-08	-12.4775
CAPN3	211890_x_at	0.00045202	-12.5565
CAPN3	214475_x_at	0.000359391	-13.2972
HSPA1A	200799_at	7.17E-09	-13.7875
CAPN3	210944_s_at	8.80E-05	-14.0564
MBP	209072_at	0.000297618	-14.8727
HTN3	206786_at	7.45E-07	-24.4651
HTN1	206639_x_at	3.73E-08	-42.151
