Rank	GeneName	Genebank Accession	Description	Expression in precursor	Expression in iPS-DC	Fold change
176	Slc7a11	NM_011990	Mus musculus solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 (Slc7a11), mRNA [NM_011990]	11.14	132.6	11.90305206
177	AK079230	AK079230	Mus musculus adult male urinary bladder cDNA, RIKEN full-length enriched library, clone:9530044O11 product:unclassifiable, full insert sequence. [AK079230]	1.096	13	11.86131387
178	Sulf2	NM_028072	Mus musculus sulfatase 2 (Sulf2), mRNA [NM_028072]	37.16	438.6	11.80301399
179	Klra17	NM_133203	Mus musculus killer cell lectin-like receptor, subfamily A, member 17 (Klra17), mRNA [NM_133203]	0.897	10.55	11.76142698
180	Fgr	NM_010208	Mus musculus Gardner-Rasheed feline sarcoma viral (Fgr) oncogene homolog (Fgr), mRNA [NM_010208]	30.15	353.2	11.71475954
181	TC1709674	TC1709674	Unknown	9.802	114.6	11.69149153
182	Cd6	NM_009852	Mus musculus CD6 antigen (Cd6), transcript variant 2, mRNA [NM_009852]	3.137	36.66	11.68632451
183	Itgal	AK156251	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830013L17 product:integrin alpha L, full insert sequence. [AK156251]	57.15	666.6	11.66404199
184	H2-DMb1	NM_010387	Mus musculus histocompatibility 2, class II, locus Mb1 (H2-DMb1), mRNA [NM_010387]	99.08	1147	11.57650384
185	Epas1	AK087208	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030034H04 product:endothelial PAS domain protein 1, full insert sequence. [AK087208]	0.829	9.563	11.53558504
186	Il4i1	NM_010215	Mus musculus interleukin 4 induced 1 (Il4i1), mRNA [NM_010215]	2.817	32.36	11.48739794
187	Lrrk1	AK171849	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830014K24 product:hypothetical Cysteine-rich region profile containing protein, full insert sequence. [AK171849]	5.763	65.66	11.39337151
188	Cyp2a4	NM_009997	Mus musculus cytochrome P450, family 2, subfamily a, polypeptide 4 (Cyp2a4), mRNA [NM_009997]	2.408	27.04	11.22923588
189	Ghr	AK053579	Mus musculus 0 day neonate eyeball cDNA, RIKEN full-length enriched library, clone:E130111P21 product:growth hormone receptor, full insert sequence. [AK053579]	1.063	11.93	11.2229539
190	AI451617	AK136456	Mus musculus adult male colon cDNA, RIKEN full-length enriched library, clone:9030414N23 product:similar to Tripartite motif protein 30 (Down regulatory protein of interleukin 2 receptor) [Mus musculus], full insert sequence. [AK136456]	3.039	33.99	11.1846002
191	Il1rn	NM_031167	Mus musculus interleukin 1 receptor antagonist (Il1rn), transcript variant 1, mRNA [NM_031167]	1.184	13.23	11.17398649
192	Stac2	NM_146028	Mus musculus SH3 and cysteine rich domain 2 (Stac2), mRNA [NM_146028]	4.582	51.13	11.15888258
193	Ddhd1	AK036369	Mus musculus 16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630061G18 product:unclassifiable, full insert sequence. [AK036369]	9.051	100.9	11.14793945
194	Tacstd1	NM_008532	Mus musculus tumor-associated calcium signal transducer 1 (Tacstd1), mRNA [NM_008532]	2.358	26.2	11.11111111
195	Irf4	NM_013674	Mus musculus interferon regulatory factor 4 (Irf4), mRNA [NM_013674]	2.826	31.3	11.07572541
196	Rap2a	AK018024	Mus musculus adult male thymus cDNA, RIKEN full-length enriched library, clone:5830461H18 product:hypothetical Ras small GTPase, Rab type/Ras small GTPase, Ras type/Ras small GTPase, Rho type containing protein, full insert sequence. [AK018024]	6.185	68.48	11.07194826
197	Ptprc	AK088215	Mus musculus 2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:E430007G18 product:protein tyrosine phosphatase, receptor type, C, full insert sequence. [AK088215]	0.712	7.843	11.01544944
198	Sema4d	NM_013660	Mus musculus sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D (Sema4d), mRNA [NM_013660]	1.569	17.25	10.99426386
199	Vdr	NM_009504	Mus musculus vitamin D receptor (Vdr), mRNA [NM_009504]	11.58	127.1	10.97582038
200	Itlna	NM_010584	Mus musculus intelectin a (Itlna), mRNA [NM_010584]	1.827	20.05	10.97427477
201	Lrp1	AK078273	Mus musculus adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430558M03 product:low density lipoprotein receptor-related protein 1, full insert sequence. [AK078273]	2.832	30.92	10.9180791
202	Gng8	NM_010320	Mus musculus guanine nucleotide binding protein (G protein), gamma 8 subunit (Gng8), mRNA [NM_010320]	1.375	14.96	10.88
203	AK041551	AK041551	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630020J17 product:unclassifiable, full insert sequence. [AK041551]	1.195	12.94	10.82845188
204	Slc7a11	NM_011990	Mus musculus solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 (Slc7a11), mRNA [NM_011990]	4.271	46.23	10.82416296
205	H2-Q10	NM_010391	Mus musculus histocompatibility 2, Q region locus 10 (H2-Q10), mRNA [NM_010391]	2.218	23.9	10.7754734
206	Kynu	NM_027552	Mus musculus kynureninase (L-kynurenine hydrolase) (Kynu), mRNA [NM_027552]	10.31	110.6	10.72744908
207	Serpinb12	NM_027971	Mus musculus serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 12 (Serpinb12), mRNA [NM_027971]	3.802	40.69	10.70226197
208	Myo1e	NM_181072	Mus musculus myosin IE (Myo1e), mRNA [NM_181072]	1.788	19.08	10.67114094
209	2700019D07Rik	AK164710	Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630025J03 product:hypothetical Zn-finger, C2H2 type containing protein, full insert sequence [AK164710]	2.019	21.44	10.61911838
210	Il1rn	NM_031167	Mus musculus interleukin 1 receptor antagonist (Il1rn), transcript variant 1, mRNA [NM_031167]	22.73	241.2	10.61152662
211	BB160619	BB160619	BB160619 RIKEN full-length enriched, 16 days neonate thymus Mus musculus cDNA clone A130054D13 3. [BB160619]	1.642	17.24	10.49939099
212	Stambpl1	AK020229	Mus musculus 15 days embryo embryonic body below diaphragm cDNA, RIKEN full-length enriched library, clone:8230401J17 product:hypothetical protein, full insert sequence. [AK020229]	3.518	36.92	10.4945992
213	H2-DMb2	NM_010388	Mus musculus histocompatibility 2, class II, locus Mb2 (H2-DMb2), mRNA [NM_010388]	24.66	258.7	10.49067315
214	Lphn3	AK122367	Mus musculus mRNA for mKIAA0768 protein. [AK122367]	1.696	17.75	10.46580189
215	Oas3	NM_145226	Mus musculus 2-5 oligoadenylate synthetase 3 (Oas3), mRNA [NM_145226]	1.409	14.61	10.36905607
216	Chd5	NM_001081376	Mus musculus chromodomain helicase DNA binding protein 5 (Chd5), mRNA [NM_001081376]	2.439	25.25	10.35260353
217	Nfkb1	BC050841	Mus musculus nuclear factor of kappa light chain gene enhancer in B-cells 1, p105, mRNA (cDNA clone IMAGE:6392793), complete cds. [BC050841]	6.173	63.76	10.32885145
218	Lpl	NM_008509	Mus musculus lipoprotein lipase (Lpl), mRNA [NM_008509]	894.2	9183	10.26951465
219	2510009E07Rik	NM_001001881	Mus musculus RIKEN cDNA 2510009E07 gene (2510009E07Rik), mRNA [NM_001001881]	2.083	21.26	10.20643303
220	Actr3b	BC053106	Mus musculus ARP3 actin-related protein 3 homolog B (yeast), mRNA (cDNA clone IMAGE:5685374), partial cds [BC053106]	2.769	28.13	10.15890213
221	Tbxas1	NM_011539	Mus musculus thromboxane A synthase 1, platelet (Tbxas1), mRNA [NM_011539]	49.92	506.7	10.15024038
222	Sft2d1	NM_134114	Mus musculus SFT2 domain containing 1 (Sft2d1), mRNA [NM_134114]	0.851	8.626	10.13631022
223	Ptx3	NM_008987	Mus musculus pentraxin related gene (Ptx3), mRNA [NM_008987]	3.007	30.42	10.11639508
224	Hdac9	NM_024124	Mus musculus histone deacetylase 9 (Hdac9), mRNA [NM_024124]	1.346	13.6	10.10401189
225	Slc41a2	NM_177388	Mus musculus solute carrier family 41, member 2 (Slc41a2), mRNA [NM_177388]	6.397	64.62	10.10161013
226	Procr	NM_011171	Mus musculus protein C receptor, endothelial (Procr), mRNA [NM_011171]	14.73	148.3	10.06788866
227	B2m	AK086184	Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930011D03 product:unclassifiable, full insert sequence [AK086184]	6.567	65.9	10.0350236
228	Cd200	NM_010818	Mus musculus Cd200 antigen (Cd200), mRNA [NM_010818]	17.82	178.4	10.01122334
