Gene Symbol	Name	Fold-Chang e (SOS vs. Contro l)	p-value (SOS vs. Control)	adjusted p-value (SOS vs. Control)
NDUFAF4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4	1.67	0.0022	0.0425
CHIC2	cysteine-rich hydrophobic domain 2	1.67	0.0001	0.0152
LGALS8	lectin, galactoside-binding, soluble, 8	1.67	0.0016	0.0374
TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	1.67	0.0021	0.0422
RBMXL1	RNA binding motif protein, X-linked-like 1	1.67	0.0029	0.0481
ARPC5L	actin related protein 2/3 complex, subunit 5-like	1.67	0.0002	0.0172
PODXL	podocalyxin-like	1.67	0	0.0124
GARS	glycyl-tRNA synthetase	1.66	0.0003	0.0206
NUSAP1	nucleolar and spindle associated protein 1	1.66	0.0032	0.0497
CAPN2	calpain 2, (m/II) large subunit	1.66	0.0025	0.0447
HLA-DPB1	major histocompatibility complex, class II, DP beta 1	1.66	0.0015	0.0362
SFPQ	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein ass	1.66	0.0021	0.0417
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4	major histocompatibility complex, class II, DR beta 1 /// major histocompatibili	1.66	0.0017	0.0387
DCUN1D5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	1.66	0.0009	0.0304
AGFG1	ArfGAP with FG repeats 1	1.66	0.0009	0.0304
BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	1.66	0.0001	0.014
GFPT2	glutamine-fructose-6-phosphate transaminase 2	1.66	0.001	0.032
CD200	CD200 molecule	1.66	0.0013	0.0345
PMM2	phosphomannomutase 2	1.66	0.0014	0.0357
BICD2	bicaudal D homolog 2 (Drosophila)	1.66	0.0021	0.0425
THUMPD3	THUMP domain containing 3	1.66	0.0008	0.03
DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	1.66	0.003	0.0482
SNHG5 /// SNORD50A /// SNORD50B	small nucleolar RNA host gene 5 (non-protein coding) /// small nucleolar RNA, C/	1.66	0.001	0.0313
THADA	Thyroid adenoma associated	1.65	0.0027	0.0466
TAF1D	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa	1.65	0.0011	0.032
WIPF1	WAS/WASL interacting protein family, member 1	1.65	0.0001	0.0168
IPO7	importin 7	1.65	0.0012	0.034
LOX	lysyl oxidase	1.65	0.0027	0.0465
SRM	spermidine synthase	1.65	0.0019	0.0399
SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	1.65	0.0008	0.0293
COL5A1	collagen, type V, alpha 1	1.65	0.0006	0.0276
CALU	calumenin	1.65	0.0016	0.0372
TEAD4	TEA domain family member 4	1.65	0.0022	0.0431
S100A11	S100 calcium binding protein A11	1.65	0.0004	0.0226
TRMT11	tRNA methyltransferase 11 homolog (S. cerevisiae)	1.64	0.0006	0.0276
CRISPLD2	cysteine-rich secretory protein LCCL domain containing 2	1.64	0.0004	0.0224
UHRF1	ubiquitin-like with PHD and ring finger domains 1	1.64	0.0002	0.0171
CD93	CD93 molecule	1.64	0.0001	0.0145
CCDC86	coiled-coil domain containing 86	1.64	0.0025	0.0446
GSN	gelsolin (amyloidosis, Finnish type)	1.64	0.0011	0.033
PPA1	pyrophosphatase (inorganic) 1	1.64	0.002	0.0415
SERPINH1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen	1.64	0.0003	0.0205
TIFA	TRAF-interacting protein with forkhead-associated domain	1.64	0.0016	0.0372
GMFB	glia maturation factor, beta	1.64	0.0001	0.0167
FAM3C	family with sequence similarity 3, member C	1.64	0.0003	0.0221
KBTBD2	kelch repeat and BTB (POZ) domain containing 2	1.64	0.0015	0.0367
CASP1	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase	1.64	0.0005	0.025
ILF2	interleukin enhancer binding factor 2, 45kDa	1.63	0.0031	0.0489
PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)	1.63	0	0.0079
STC2	stanniocalcin 2	1.63	0	0.0057
IL15RA	interleukin 15 receptor, alpha	1.63	0.0021	0.042
HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	1.63	0.0024	0.0441
RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	1.63	0.0001	0.0138
SEH1L	SEH1-like (S. cerevisiae)	1.63	0.0011	0.0331
RAB8B	RAB8B, member RAS oncogene family	1.63	0.0027	0.0466
E2F3	E2F transcription factor 3	1.63	0.0002	0.0181
POGK	pogo transposable element with KRAB domain	1.63	0.0021	0.0416
BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	1.63	0.0012	0.0342
VEGFC	vascular endothelial growth factor C	1.63	0.0001	0.0166
HEPH	hephaestin	1.62	0.0007	0.0287
HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	1.62	0.0012	0.0338
THY1	Thy-1 cell surface antigen	1.62	0	0.0103
PRKCI	protein kinase C, iota	1.62	0.0032	0.0495
KPNA4	karyopherin alpha 4 (importin alpha 3)	1.62	0.001	0.0313
PDGFA	platelet-derived growth factor alpha polypeptide	1.62	0.001	0.0313
RLIM	ring finger protein, LIM domain interacting	1.62	0.0012	0.0338
GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	1.62	0.0002	0.0171
SLC7A6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	1.62	0.0001	0.013
PRPF40A	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae)	1.62	0.0009	0.0305
TES	testis derived transcript (3 LIM domains)	1.62	0.0005	0.0259
COTL1	coactosin-like 1 (Dictyostelium)	1.62	0.0008	0.0297
IARS	isoleucyl-tRNA synthetase	1.62	0.0017	0.0384
FRMD8	FERM domain containing 8	1.62	0	0.013
SRPRB	signal recognition particle receptor, B subunit	1.62	0.0026	0.0459
GSPT1	G1 to S phase transition 1	1.62	0.0013	0.0347
SETX	senataxin	1.61	0.0005	0.0242
CCDC50	coiled-coil domain containing 50	1.61	0.0004	0.0233
TNPO1	transportin 1	1.61	0.0016	0.0368
RANBP2	RAN binding protein 2	1.61	0.0006	0.0275
BAZ1A	bromodomain adjacent to zinc finger domain, 1A	1.61	0.0008	0.0289
GOLT1B	golgi transport 1 homolog B (S. cerevisiae)	1.61	0.0004	0.0235
C10orf18	chromosome 10 open reading frame 18	1.61	0.0005	0.0246
SARS	Seryl-tRNA synthetase	1.61	0.0002	0.0184
PAK2	p21 protein (Cdc42/Rac)-activated kinase 2	1.61	0.0023	0.0436
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	1.61	0.0003	0.0221
NUDCD1	NudC domain containing 1	1.61	0.0011	0.032
HMOX2	heme oxygenase (decycling) 2	1.61	0.0007	0.0282
PTPN12	protein tyrosine phosphatase, non-receptor type 12	1.6	0.0002	0.02
SELS	selenoprotein S	1.6	0.0013	0.0345
CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	1.6	0.0012	0.0341
CDKN3	cyclin-dependent kinase inhibitor 3	1.6	0.0006	0.0265
ACVR1B	activin A receptor, type IB	1.6	0.0027	0.0466
FYB	FYN binding protein (FYB-120/130)	1.59	0.0022	0.0426
TOMM40L	translocase of outer mitochondrial membrane 40 homolog (yeast)-like	1.59	0.0004	0.0235
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	1.59	0.0002	0.0202
OSBPL3	oxysterol binding protein-like 3	1.59	0	0.0121
HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	1.59	0.0031	0.0494
RGS10	regulator of G-protein signaling 10	1.59	0.0008	0.0297
IL27RA	interleukin 27 receptor, alpha	1.59	0.0004	0.0226
NLRC5	NLR family, CARD domain containing 5	1.59	0	0.011
HELLS	helicase, lymphoid-specific	1.59	0.0008	0.0297
DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	1.59	0.002	0.0407
AEBP1	AE binding protein 1	1.59	0.0001	0.013
MYO5A	myosin VA (heavy chain 12, myoxin)	1.59	0.0032	0.0499
TUSC3	tumor suppressor candidate 3	1.59	0.003	0.0484
HDGFRP3	hepatoma-derived growth factor, related protein 3	1.59	0.0001	0.0137
ESF1	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)	1.59	0.0003	0.0222
TMEM43	transmembrane protein 43	1.58	0.0022	0.0429
PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	1.58	0.0011	0.0331
MEAF6	MYST/Esa1-associated factor 6	1.58	0.0004	0.0226
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	1.58	0.0019	0.0405
C1orf55	chromosome 1 open reading frame 55	1.58	0.0023	0.0438
PPIA	peptidylprolyl isomerase A (cyclophilin A)	1.58	0.0002	0.0171
CD109	CD109 molecule	1.58	0.0005	0.0241
C9orf30	chromosome 9 open reading frame 30	1.58	0.0009	0.0304
CD8A	CD8a molecule	1.58	0.0028	0.0471
TAF1B	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	1.58	0.0009	0.0304
SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)	1.58	0.0004	0.0234
SPCS3	signal peptidase complex subunit 3 homolog (S. cerevisiae)	1.58	0.0001	0.0165
MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	1.57	0.0005	0.0237
SEC23IP	SEC23 interacting protein	1.57	0.0019	0.0404
SWAP70	SWAP switching B-cell complex 70kDa subunit	1.57	0.0029	0.0482
UBE2S	ubiquitin-conjugating enzyme E2S	1.57	0.0001	0.0166
CTR9	Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)	1.57	0.0016	0.0372
OTUD6B	OTU domain containing 6B	1.57	0.0025	0.0448
RAB6A /// RAB6C	RAB6A, member RAS oncogene family /// RAB6C, member RAS oncogene family	1.57	0.0011	0.033
SSRP1	structure specific recognition protein 1	1.57	0.0004	0.0234
FAR1	fatty acyl CoA reductase 1	1.57	0.0014	0.0355
DNM1L	dynamin 1-like	1.57	0.002	0.0412
LARS	leucyl-tRNA synthetase	1.57	0.0028	0.047
LAPTM5	lysosomal protein transmembrane 5	1.57	0.0024	0.0445
KITLG	KIT ligand	1.57	0.0031	0.0494
TRAM2	translocation associated membrane protein 2	1.56	0.003	0.0487
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta pol	1.56	0.0009	0.0307
WBP5	WW domain binding protein 5	1.56	0.0006	0.0276
BZW1 /// BZW1L1	basic leucine zipper and W2 domains 1 /// basic leucine zipper and W2 domains 1	1.56	0.0011	0.0331
ZBTB8A	zinc finger and BTB domain containing 8A	1.56	0.0005	0.0249
DLGAP4	discs, large (Drosophila) homolog-associated protein 4	1.56	0.0001	0.0168
TSHZ2	teashirt zinc finger homeobox 2	1.56	0.0004	0.0224
HCK	hemopoietic cell kinase	1.56	0.0028	0.0473
MARS	methionyl-tRNA synthetase	1.56	0.0018	0.039
GPX3	glutathione peroxidase 3 (plasma)	1.56	0.001	0.0314
SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter	1.56	0.0015	0.0365
LIMS1	LIM and senescent cell antigen-like domains 1	1.56	0.0023	0.0435
EZH2	enhancer of zeste homolog 2 (Drosophila)	1.56	0.0005	0.0242
NUP50	nucleoporin 50kDa	1.56	0.0004	0.0226
EBF1	early B-cell factor 1	1.56	0.0025	0.0447
DLAT	dihydrolipoamide S-acetyltransferase	1.56	0.0021	0.0422
ZNHIT6	zinc finger, HIT type 6	1.56	0.001	0.0316
BYSL	bystin-like	1.56	0.0032	0.0497
GOT1	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	1.56	0.0017	0.0384
PVR	poliovirus receptor	1.55	0.0022	0.0429
ZEB1	zinc finger E-box binding homeobox 1	1.55	0.0009	0.0312
HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	1.55	0.0029	0.0478
TTL	tubulin tyrosine ligase	1.55	0	0.012
MAPRE1	microtubule-associated protein, RP/EB family, member 1	1.55	0.0009	0.0304
CCNL1	Cyclin L1	1.55	0.0003	0.0216
SEC24A	SEC24 family, member A (S. cerevisiae)	1.55	0.0011	0.033
DNAJB11	DnaJ (Hsp40) homolog, subfamily B, member 11	1.55	0.0009	0.0304
TAF4B	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kD	1.55	0.0001	0.0167
UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	1.55	0.0015	0.0365
UMPS	uridine monophosphate synthetase	1.55	0.0022	0.0426
PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	1.54	0.0007	0.0283
FOXO3 /// FOXO3B	forkhead box O3 /// forkhead box O3B pseudogene	1.54	0.0008	0.029
PTN	pleiotrophin	1.54	0.003	0.0487
CD48	CD48 molecule	1.54	0.0023	0.0439
COL5A2	collagen, type V, alpha 2	1.54	0.002	0.0413
GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	1.54	0.0024	0.0444
ACTR2	ARP2 actin-related protein 2 homolog (yeast)	1.54	0.0025	0.0452
FMNL2	formin-like 2	1.54	0.0001	0.0161
COL6A3	collagen, type VI, alpha 3	1.54	0.0003	0.0205
ILF3	interleukin enhancer binding factor 3, 90kDa	1.54	0.0029	0.0477
NXT1	NTF2-like export factor 1	1.54	0.0022	0.0427
CLIC1	chloride intracellular channel 1	1.54	0.0008	0.03
RBM3	RNA binding motif (RNP1, RRM) protein 3	1.54	0.0021	0.0416
CDC16	cell division cycle 16 homolog (S. cerevisiae)	1.54	0.0028	0.0469
MAML2	mastermind-like 2 (Drosophila)	1.54	0.0027	0.0468
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	1.54	0.003	0.0487
EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	1.53	0.0016	0.0369
LOC286434 /// LOC389906 /// LOC729162	hypothetical protein LOC286434 /// similar to Serine/threonine-protein kinase PR	1.53	0.0019	0.0401
ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	1.53	0.0013	0.0346
BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor	1.53	0.0031	0.0495
HEATR1	HEAT repeat containing 1	1.53	0.0015	0.0362
ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	1.53	0.0003	0.0223
DNMT1	DNA (cytosine-5-)-methyltransferase 1	1.53	0.0001	0.0152
SRPX	sushi-repeat-containing protein, X-linked	1.53	0.0008	0.0297
RFFL	ring finger and FYVE-like domain containing 1	1.53	0.0008	0.0293
C17orf100	chromosome 17 open reading frame 100	1.53	0.003	0.0487
IWS1	IWS1 homolog (S. cerevisiae)	1.53	0.0006	0.0272
ZNF57	zinc finger protein 57	1.53	0.0026	0.0459
CDC42SE1	CDC42 small effector 1	1.53	0.0001	0.0152
CD300LG	CD300 molecule-like family member g	1.53	0.0007	0.0282
PTPN22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	1.53	0.003	0.0487
DBF4	DBF4 homolog (S. cerevisiae)	1.53	0.0004	0.0233
HS3ST2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2	1.53	0.0015	0.0361
VEZF1	vascular endothelial zinc finger 1	1.53	0.0012	0.034
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription	1.53	0.0006	0.0276
SART3	squamous cell carcinoma antigen recognized by T cells 3	1.53	0.0004	0.0237
PFKP	phosphofructokinase, platelet	1.52	0	0.011
SPA17	sperm autoantigenic protein 17	1.52	0.0032	0.0499
YME1L1	YME1-like 1 (S. cerevisiae)	1.52	0.0007	0.0279
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	1.52	0.0004	0.0226
ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3	1.52	0.0008	0.0297
MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collage	1.52	0.0003	0.0223
TAGLN2	transgelin 2	1.52	0.0019	0.0404
IVNS1ABP	influenza virus NS1A binding protein	1.52	0.0017	0.0379
CXorf26	chromosome X open reading frame 26	1.52	0.0019	0.04
RABGGTB	Rab geranylgeranyltransferase, beta subunit	1.52	0.0029	0.0477
ATP6V0A2	ATPase, H+ transporting, lysosomal V0 subunit a2	1.52	0.0013	0.0349
HN1	hematological and neurological expressed 1	1.52	0.0013	0.0346
DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	1.52	0.0023	0.0436
CXorf38	chromosome X open reading frame 38	1.52	0.0008	0.0295
SLFN11	schlafen family member 11	1.52	0.0007	0.0287
HTRA1	HtrA serine peptidase 1	1.52	0.001	0.0314
IL6	interleukin 6	1.52	0.0804	0.0248
VAMP5	vesicle-associated membrane protein 5 (myobrevin)	1.52	0.0003	0.0223
IFI30	interferon, gamma-inducible protein 30	1.52	0.0014	0.0356
LRP10	low density lipoprotein receptor-related protein 10	1.52	0	0.0102
TRBC1	T cell receptor beta constant 1	1.52	0.001	0.0313
TMSB10	thymosin beta 10	1.52	0	0.0079
DDX52	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52	1.51	0.002	0.0411
SLC16A3	solute carrier family 16, member 3 (monocarboxylic acid transporter 4)	1.51	0.0016	0.0369
LAIR1	leukocyte-associated immunoglobulin-like receptor 1	1.51	0.0001	0.0171
THEMIS	thymocyte selection associated	1.51	0.0015	0.0365
BTBD1	BTB (POZ) domain containing 1	1.51	0.0001	0.013
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	1.51	0.0015	0.0365
SFRS2	splicing factor, arginine/serine-rich 2	1.51	0.0003	0.0205
PLIN3	perilipin 3	1.51	0	0.013
NME1	non-metastatic cells 1, protein (NM23A) expressed in	1.51	0.0008	0.03
HSPA4	heat shock 70kDa protein 4	1.51	0.0002	0.0195
MIER1	mesoderm induction early response 1 homolog (Xenopus laevis)	1.51	0.0025	0.0446
WARS	tryptophanyl-tRNA synthetase	1.51	0	0.0081
CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	1.51	0.0005	0.0237
GINS1	GINS complex subunit 1 (Psf1 homolog)	1.51	0.0007	0.0286
RACGAP1	Rac GTPase activating protein 1	1.51	0.0023	0.0434
C10orf119	chromosome 10 open reading frame 119	1.51	0.002	0.0408
FAM108C1	family with sequence similarity 108, member C1	1.51	0.0028	0.0471
PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	1.51	0.0014	0.0355
UTP11L	UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)	1.5	0.0008	0.03
ACTN1	actinin, alpha 1	1.5	0	0.012
SSR1	signal sequence receptor, alpha	1.5	0.0015	0.0361
GLRX2	glutaredoxin 2	1.5	0.003	0.0487
