# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|10537|10537	refseq_dna|NM_001470|NM_001470	hgnc_symbol|UBD|UBD
entrezgene|55737|55737	refseq_dna|NM_018206|NM_018206	hgnc_symbol|VPS35|VPS35
entrezgene|51474|51474	refseq_dna|NM_001113546|NM_001113546	hgnc_symbol|LIMA1|LIMA1
entrezgene|135932|135932	refseq_dna|NM_153345|NM_153345	hgnc_symbol|TMEM139|TMEM139
entrezgene|2844|2844	refseq_dna|NM_005294|NM_005294	hgnc_symbol|GPR21|GPR21
entrezgene|930|930	refseq_dna|NM_001770|NM_001770	hgnc_symbol|CD19|CD19
entrezgene|6711|6711	refseq_dna|NM_003128|NM_003128	hgnc_symbol|SPTBN1|SPTBN1
entrezgene|2744|2744	refseq_dna|NM_014905|NM_014905	hgnc_symbol|GLS|GLS
entrezgene|3890|3890	refseq_dna|NM_033045|NM_033045	hgnc_symbol|KRT84|KRT84
entrezgene|54704|54704	refseq_dna|NM_018444|NM_018444	hgnc_symbol|PPM2C|PPM2C
entrezgene|1131|1131	refseq_dna|NM_000740|NM_000740	hgnc_symbol|CHRM3|CHRM3
entrezgene|129807|129807	refseq_dna|NM_080741|NM_080741	hgnc_symbol|NEU4|NEU4
entrezgene|135114|135114	refseq_dna|NM_138571|NM_138571	hgnc_symbol|HINT3|HINT3
entrezgene|5567|5567	refseq_dna|NM_002731|NM_002731	hgnc_symbol|PRKACB|PRKACB
entrezgene|168374|168374	refseq_dna|NM_007139|NM_007139	hgnc_symbol|ZNF92|ZNF92
entrezgene|117608|117608	refseq_dna|NM_058230|NM_058230	hgnc_symbol|ZNF354B|ZNF354B
entrezgene|5579|5579	refseq_dna|NM_002738|NM_002738	hgnc_symbol|PRKCB|PRKCB
entrezgene|3308|3308	refseq_dna|NM_002154|NM_002154	hgnc_symbol|HSPA4|HSPA4
entrezgene|11156|11156	refseq_dna|NM_007079|NM_007079	hgnc_symbol|PTP4A3|PTP4A3
entrezgene|9949|9949	refseq_dna|NM_001025580|NM_001025580	hgnc_symbol|AMMECR1|AMMECR1
entrezgene|7434|7434	refseq_dna|NM_003382|NM_003382	hgnc_symbol|VIPR2|VIPR2
entrezgene|8994|8994	refseq_dna|NM_014240|NM_014240	hgnc_symbol|LIMD1|LIMD1
entrezgene|6638|6638	refseq_dna|NM_003097|NM_003097	hgnc_symbol|SNRPN|SNRPN
entrezgene|4144|4144	refseq_dna|NM_005911|NM_005911	hgnc_symbol|MAT2A|MAT2A
entrezgene|3467|3467	refseq_dna|NM_002177|NM_002177	hgnc_symbol|IFNW1|IFNW1
entrezgene|200879|200879	refseq_dna|NM_139248|NM_139248	hgnc_symbol|LIPH|LIPH
entrezgene|1592|1592	refseq_dna|NM_000783|NM_000783	hgnc_symbol|CYP26A1|CYP26A1
entrezgene|3931|3931	refseq_dna|NM_000229|NM_000229	hgnc_symbol|LCAT|LCAT
entrezgene|148789|148789	refseq_dna|NM_152490|NM_152490	hgnc_symbol|B3GALNT2|B3GALNT2
entrezgene|4033|4033	refseq_dna|NM_006152|NM_006152	hgnc_symbol|LRMP|LRMP
entrezgene|64853|64853	refseq_dna|NM_022831|NM_022831	hgnc_symbol|AIDA|AIDA
entrezgene|9782|9782	refseq_dna|NM_018834|NM_018834	hgnc_symbol|MATR3|MATR3
