Symbol	Name	Accessions	UniGeneId	GeneId	Overlaps	Score	Found in 1076 patients	Centroid Good	Centroid Poor
DHFR	Dihydrofolate reductase	NM_000791	Hs.83765	1719	2	14	No	NA	NA
LMNB1	Lamin B1	NM_005573	Hs.89497	4001	2	14	No	NA	NA
KIF11	Kinesin family member 11	NM_004523	Hs.8878	3832	2	14	No	NA	NA
SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1	NM_003091 NM_198216	Hs.83753	6628	2	14	Yes	-0.009899679	0.064734149
RAD21	RAD21 homolog (S. pombe)	NM_006265	Hs.81848	5885	2	14	Yes	-0.01668328	0.039944693
FRY	Furry homolog (Drosophila)	NM_023037	Hs.591225	10129	2	14	Yes	0.019621823	-0.019240659
SYNCRIP	Synaptotagmin binding, cytoplasmic RNA interacting protein	NM_006372	Hs.571177	10492	2	14	No	NA	NA
VASH1	Vasohibin 1	NM_014909	Hs.525479	22846	2	14	Yes	0.017588333	-0.02828602
EXO1	Exonuclease 1	NM_130398 NM_006027 NM_003686	Hs.498248	9156	2	14	No	NA	NA
PTMA	Prothymosin, alpha (gene sequence 28)	NM_002823	Hs.459927	5757	2	14	Yes	-0.034378933	0.02092332
EIF2C2	Eukaryotic translation initiation factor 2C, 2	NM_012154	Hs.449415	27161	2	14	No	NA	NA
EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1	NM_004095	Hs.411641	1978	2	14	No	NA	NA
RLN1	Relaxin 1	NM_006911	Hs.368996	6013	2	14	No	NA	NA
IDI1	Isopentenyl-diphosphate delta isomerase 1	NM_004508	Hs.283652	3422	2	14	Yes	-0.014385234	0.030666549
ZMYM4	Zinc finger, MYM-type 4	NM_005095	Hs.269211	9202	2	14	Yes	0.007270268	-0.015982577
FAM89B	Family with sequence similarity 89, member B	NM_152832 NM_006396	Hs.25723	23625	2	14	No	NA	NA
TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	NM_012112	Hs.244580	22974	2	14	No	NA	NA
CEP55	Centrosomal protein 55kDa	NM_018131	Hs.14559	55165	2	14	No	NA	NA
FUT8	Fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	NM_178155 NM_178156 NM_178154 NM_004480 NM_178157	Hs.118722	2530	2	14	Yes	0.013209734	-0.089741234
FCGRT	Fc fragment of IgG, receptor, transporter, alpha	NM_004107	Hs.111903	2217	2	14	Yes	0.032444788	0.003126052
SPARC	Secreted protein, acidic, cysteine-rich (osteonectin)	NM_003118	Hs.111779	6678	5	13	Yes	-0.011853585	-0.050377085
COL6A1	Collagen, type VI, alpha 1	NM_001848	Hs.474053	1291	4	13	Yes	0.02226424	0.006553348
SLC39A6	Solute carrier family 39 (zinc transporter), member 6	NM_012319	Hs.79136	25800	3	13	Yes	0.042585978	-0.011177597
CXCL9	Chemokine (C-X-C motif) ligand 9	NM_002416	Hs.77367	4283	3	13	No	NA	NA
ACTB	Actin, beta	NM_001101	Hs.520640	60	3	13	No	NA	NA
CIRBP	Cold inducible RNA binding protein	NM_001280	Hs.501309	1153	3	13	No	NA	NA
DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12	NM_021800 NM_201262	Hs.260720	56521	3	13	No	NA	NA
H3F3B	H3 histone, family 3B (H3.3B)	NM_005324	Hs.180877	3021	3	13	No	NA	NA
DIAPH3	Diaphanous homolog 3 (Drosophila)	NM_030932	Hs.283127	81624	2	13	No	NA	NA
ECT2	Epithelial cell transforming sequence 2 oncogene	NM_018098	Hs.518299	1894	2	13	No	NA	NA
ALDH4A1	Aldehyde dehydrogenase 4 family, member A1	NM_003748 NM_170726	Hs.77448	8659	2	13	No	NA	NA
DTL	Denticleless homolog (Drosophila)	NM_016448	Hs.632496	51514	2	13	No	NA	NA
PALM2-AKAP2	PALM2-AKAP2 protein	NM_053016 NM_001037293 NM_007203 NM_001004065 NM_147150	Hs.591908	445815	2	13	No	NA	NA
GNAZ	Guanine nucleotide binding protein (G protein), alpha z polypeptide	NM_002073	Hs.584760	2781	2	13	Yes	-0.02097426	0.004869575
MS4A7	Membrane-spanning 4-domains, subfamily A, member 7	NM_021201 NM_206939 NM_206938 NM_206940 NM_032597 NM_139249	Hs.530735	58475	2	13	No	NA	NA
C20orf46	Chromosome 20 open reading frame 46	NM_018354	Hs.516834	55321	2	13	No	NA	NA
AP2B1	Adaptor-related protein complex 2, beta 1 subunit	NM_001030006 NM_001282	Hs.514819	163	2	13	No	NA	NA
ORC6L	Origin recognition complex, subunit 6 like (yeast)	NM_014321	Hs.49760	23594	2	13	No	NA	NA
MTDH	Metadherin	NM_178812	Hs.377155	92140	2	13	No	NA	NA
CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	NM_003607 NM_014826	Hs.35433	8476	2	13	No	NA	NA
GPR126	G protein-coupled receptor 126	NM_020455 NM_198569 NM_001032394 NM_001032395	Hs.318894	57211	2	13	No	NA	NA
OXCT1	3-oxoacid CoA transferase 1	NM_000436	Hs.278277	5019	2	13	Yes	-0.00911328	0.017237425
QSCN6L1	Quiescin Q6-like 1	NM_181701	Hs.144073	169714	2	13	No	NA	NA
LOC286052	Hypothetical protein LOC286052	AK095104	Hs.100691	286052	2	13	No	NA	NA
C17orf27	Chromosome 17 open reading frame 27	NM_020914	Hs.195642	57674	2	13	No	NA	NA
SCD	Stearoyl-CoA desaturase (delta-9-desaturase)	NM_005063	Hs.558396	6319	2	13	Yes	-0.017072944	0.040751586
TUBA3	Tubulin, alpha 3	NM_006082 NM_006009	Hs.524390	7846	2	13	No	NA	NA
LAPTM4B	Lysosomal associated protein transmembrane 4 beta	NM_018407	Hs.492314	55353	2	13	No	NA	NA
ARPC4	Actin related protein 2/3 complex, subunit 4, 20kDa	NM_015644 NM_001025930 NM_005718 NM_001024959 NM_001024960	Hs.323342	10093	2	13	Yes	-0.012815536	0.018437675
ERRFI1	ERBB receptor feedback inhibitor 1	NM_018948	Hs.11169	54206	2	13	No	NA	NA
SLC16A1	Solute carrier family 16 (monocarboxylic acid transporters), member 1	NM_003051	Hs.75231	6566	2	13	No	NA	NA
CDH3	Cadherin 3, type 1, P-cadherin (placental)	NM_001793	Hs.554598	1001	2	13	Yes	-0.010268714	0.074199863
	DNA segment on chromosome X and Y (unique) 155 expressed sequence, isoform 1	NM_005088 NM_004043	Hs.522572	8227	2	13	Yes	-0.008239714	0.002916307
TK1	Thymidine kinase 1, soluble	NM_003258	Hs.515122	7083	2	13	No	NA	NA
EDN1	Endothelin 1	NM_001955	Hs.511899	1906	2	13	No	NA	NA
TBX19	T-box 19	NM_005149 NM_199344	Hs.507978	9095	2	13	No	NA	NA
YBX1	Y box binding protein 1	NM_004559	Hs.473583	4904	2	13	Yes	-0.036861905	0.060162419
ABLIM1	Actin binding LIM protein 1	NM_001003408 NM_001003407 NM_002313 NM_006720	Hs.438236	3983	2	13	No	NA	NA
F2	Coagulation factor II (thrombin)	NM_014741 NM_024741 NM_000506	Hs.410092	2147	2	13	Yes	-0.009530177	-0.004940702
COL2A1	Collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_001844 NM_033150	Hs.408182	1280	2	13	No	NA	NA
MT1X	Metallothionein 1X	NM_005952	Hs.374950	4501	2	13	No	NA	NA
FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	NM_023110 NM_015850 NM_023111 NM_023105 NM_023106 NM_023107 NM_023108	Hs.264887	2260	2	13	Yes	0.03477326	0.032002323
C14orf45	Chromosome 14 open reading frame 45	NM_025057	Hs.260555	80127	2	13	No	NA	NA
AP2A2	Adaptor-related protein complex 2, alpha 2 subunit	NM_012305	Hs.19121	161	2	13	No	NA	NA
FUT3	Fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)	NM_000149	Hs.169238	2525	2	13	No	NA	NA
CYP2J2	Cytochrome P450, family 2, subfamily J, polypeptide 2	NM_000775	Hs.152096	1573	2	13	Yes	-0.031118091	0.009581078
CCL18	Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	NM_002988	Hs.143961	6362	2	13	No	NA	NA
SHCBP1	SHC SH2-domain binding protein 1	NM_024745	Hs.123253	79801	2	13	No	NA	NA
TACC3	Transforming, acidic coiled-coil containing protein 3	NM_006342	Hs.104019	10460	2	13	No	NA	NA
COL1A2	Collagen, type I, alpha 2	NM_000089	Hs.489142	1278	4	12	No	NA	NA
GREM1	Gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	NM_013372	Hs.40098	26585	4	12	No	NA	NA
ENO1	Enolase 1, (alpha)	NM_001428	Hs.517145	2023	3	12	No	NA	NA
SRM	Spermidine synthase	NM_003132	Hs.76244	6723	3	12	No	NA	NA
C14orf132	Chromosome 14 open reading frame 132	NM_020215	Hs.6434	56967	3	12	No	NA	NA
MT2A	Metallothionein 2A	NM_175617 NM_005953	Hs.534330	4502	3	12	No	NA	NA
TSPAN1	Tetraspanin 1	NM_005727	Hs.38972	10103	3	12	No	NA	NA
MSX2	Msh homeobox homolog 2 (Drosophila)	NM_002449	Hs.89404	4488	2	12	Yes	0.006998577	-0.015562901
C10orf116	Chromosome 10 open reading frame 116	NM_006829	Hs.642660	10974	2	12	Yes	-0.000402635	-0.089074515
TUBB	Tubulin, beta	NM_178014	Hs.533059	203068	2	12	No	NA	NA
HIF1A	Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	NM_001530 NM_181054	Hs.509554	3091	2	12	Yes	-0.043490839	0.022857503
CRABP1	Cellular retinoic acid binding protein 1	NM_004378	Hs.346950	1381	2	12	Yes	0.061259149	0.193502787
PGK1	Phosphoglycerate kinase 1	NM_000291	Hs.78771	5230	2	12	No	NA	NA
PLOD1	Procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	NM_000302	Hs.75093	5351	2	12	Yes	0.030601147	0.138791314
HRB	HIV-1 Rev binding protein	NM_004504	Hs.591619	3267	2	12	Yes	-0.020089077	0.031647098
MMP23B	Matrix metallopeptidase 23B	NM_006983	Hs.584829	8510	2	12	No	NA	NA
MAPRE2	Microtubule-associated protein, RP/EB family, member 2	NM_014268	Hs.532824	10982	2	12	Yes	-0.013291752	0.009706616
TIMP1	TIMP metallopeptidase inhibitor 1	NM_003254	Hs.522632	7076	2	12	Yes	-0.014474046	-0.022705012
GEMIN4	Gem (nuclear organelle) associated protein 4	NM_015721	Hs.499620	50628	2	12	Yes	-0.011501165	0.014028902
GOLPH2	Golgi phosphoprotein 2	NM_016548 NM_177937	Hs.494337	51280	2	12	No	NA	NA
STK3	Serine/threonine kinase 3 (STE20 homolog, yeast)	NM_006281	Hs.492333	6788	2	12	Yes	-0.003021782	0.061545277
TP53INP1	Tumor protein p53 inducible nuclear protein 1	NM_033285	Hs.492261	94241	2	12	No	NA	NA
CTPS	CTP synthase	NM_001905	Hs.473087	1503	2	12	No	NA	NA
ADM	Adrenomedullin	NM_001124	Hs.441047	133	2	12	No	NA	NA
CDC25A	Cell division cycle 25A	NM_001789 NM_201567	Hs.437705	993	2	12	Yes	-0.024658867	0.040036664
MAP3K8	Mitogen-activated protein kinase kinase kinase 8	NM_005204	Hs.432453	1326	2	12	Yes	0.013024161	0.016837561
SORBS1	Sorbin and SH3 domain containing 1	NM_001034954 NM_001034955 NM_001034956 NM_015385 NM_024991 NM_001034957 NM_006434	Hs.38621	10580	2	12	No	NA	NA
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)	NM_001276	Hs.382202	1116	2	12	Yes	-0.022651772	0.082413796
CAD	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	NM_004341	Hs.377010	790	2	12	Yes	-0.030642518	0.037169295
ZBTB4	Zinc finger and BTB domain containing 4	NM_020899	Hs.35096	57659	2	12	No	NA	NA
FOXC1	Forkhead box C1	NM_001453	Hs.348883	2296	2	12	No	NA	NA
MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)	NM_002423	Hs.2256	4316	2	12	Yes	-0.002599254	0.110467131
STMN1	Stathmin 1/oncoprotein 18	NM_203401 NM_005563 NM_203399	Hs.209983	3925	2	12	No	NA	NA
BLM	Bloom syndrome	NM_000057	Hs.169348	641	2	12	No	NA	NA
TGFB1	Transforming growth factor, beta 1 (Camurati-Engelmann disease)	NM_000660	Hs.155218	7040	2	12	Yes	0.009413786	0.022319259
NFIB	Nuclear factor I/B	NM_005596	Hs.370359	4781	4	11	Yes	-0.020942351	0.029538568
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	NM_000662	Hs.591847	9	4	11	Yes	-0.052989998	-0.1425666
	T cell receptor alpha locus	X73617	Hs.74647	6955	3	11	No	NA	NA
CELSR2	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	NM_001408	Hs.57652	1952	3	11	Yes	0.080718071	-0.003790513
HMGA1	High mobility group AT-hook 1	NM_145904 NM_145899 NM_002131 NM_145901 NM_145905 NM_145902 NM_145903	Hs.518805	3159	3	11	No	NA	NA
FBP1	Fructose-1,6-bisphosphatase 1	NM_000507	Hs.494496	2203	3	11	No	NA	NA
WISP1	WNT1 inducible signaling pathway protein 1	NM_003882 NM_080838	Hs.492974	8840	2	11	No	NA	NA
PGAM1	Phosphoglycerate mutase 1 (brain)	NM_002629	Hs.447492	5223	2	11	No	NA	NA
NOLA2	Nucleolar protein family A, member 2 (H/ACA small nucleolar RNPs)	NM_017838 NM_001034833	Hs.27222	55651	2	11	Yes	0.003587331	0.024454004
HDGFRP3	Hepatoma-derived growth factor, related protein 3	NM_016073	Hs.513954	50810	2	11	No	NA	NA
BDH2	3-hydroxybutyrate dehydrogenase, type 2	NM_020139	Hs.124696	56898	2	11	No	NA	NA
HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	NM_006410	Hs.90753	10553	2	11	Yes	-0.010513873	0.063002892
MMP1	Matrix metallopeptidase 1 (interstitial collagenase)	NM_002421	Hs.83169	4312	2	11	Yes	-0.037663274	0.219026844
CCT6A	Chaperonin containing TCP1, subunit 6A (zeta 1)	NM_001762 NM_001009186	Hs.82916	908	2	11	No	NA	NA
HSPB2	Heat shock 27kDa protein 2	NM_001541	Hs.78846	3316	2	11	No	NA	NA
CKAP4	Cytoskeleton-associated protein 4	NM_006825	Hs.74368	10970	2	11	No	NA	NA
SQLE	Squalene epoxidase	NM_003129	Hs.71465	6713	2	11	Yes	-0.015628365	0.065824281
APP	Amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	NM_000484 NM_201413 NM_201414	Hs.642685	351	2	11	Yes	-0.006408935	-0.012081467
ADCY3	Adenylate cyclase 3	NM_024322	Hs.642633	109	2	11	No	NA	NA
HNRPAB	Heterogeneous nuclear ribonucleoprotein A/B	NM_031266 NM_004499	Hs.591731	3182	2	11	No	NA	NA
PSMD14	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	NM_005805	Hs.567410	10213	2	11	Yes	-0.027429512	0.043636934
RNASEH2A	Ribonuclease H2, large subunit	NM_006397	Hs.532851	10535	2	11	No	NA	NA
TNFAIP2	Tumor necrosis factor, alpha-induced protein 2	NM_006291	Hs.525607	7127	2	11	No	NA	NA
CDCA8	Cell division cycle associated 8	NM_018101	Hs.524571	55143	2	11	No	NA	NA
APOD	Apolipoprotein D	NM_001647	Hs.522555	347	2	11	Yes	0.003759095	-0.007160339
SATB1	Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	NM_002971	Hs.517717	6304	2	11	Yes	0.034846599	0.033956636
ACSS2	Acyl-CoA synthetase short-chain family member 2	NM_018677 NM_139274	Hs.517034	55902	2	11	No	NA	NA
APBA2BP	Amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein	NM_005225 NM_031232 NM_031231 NM_007238 NM_183397	Hs.516986	63941	2	11	No	NA	NA
TAS2R5	Taste receptor, type 2, member 5	NM_018980 NM_016943 NM_016944 NM_003143	Hs.490394	54429	2	11	Yes	-0.019286651	0.029927782
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	NM_005228 NM_201284 NM_201282 NM_201283	Hs.488293	1956	2	11	Yes	-0.01744231	0.01524094
DEPDC1B	DEP domain containing 1B	NM_018369	Hs.482233	55789	2	11	No	NA	NA
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	NM_138931 NM_001706	Hs.478588	604	2	11	Yes	0.013871321	0.000418401
SEC14L1	SEC14-like 1 (S. cerevisiae)	NM_001039573 NM_003003	Hs.464184	6397	2	11	No	NA	NA
DYNLT1	Dynein, light chain, Tctex-type 1	NM_006519	Hs.445999	6993	2	11	No	NA	NA
PAXIP1	PAX interacting (with transcription-activation domain) protein 1	NM_007349	Hs.443881	22976	2	11	Yes	0.026424016	0.0000305
TSPAN4	Tetraspanin 4	NM_020376 NM_173584 NM_004357 NM_139029 NM_139030 NM_001039490 NM_001025237 NM_001025236 NM_001025234 NM_001025235 NM_003271 NM_001025239 NM_001025238 NM_001004	Hs.437594	7106	2	11	Yes	0.019954008	-0.007008883
EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	NM_001958	Hs.433839	1917	2	11	No	NA	NA
S100A8	S100 calcium binding protein A8 (calgranulin A)	NM_002964	Hs.416073	6279	2	11	No	NA	NA
SFRP4	Secreted frizzled-related protein 4	NM_003014	Hs.416007	6424	2	11	Yes	0.051954125	-0.026536567
STRA13	Stimulated by retinoic acid 13 homolog (mouse)	NM_144998	Hs.37616	201254	2	11	No	NA	NA
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NM_078467 NM_000389	Hs.370771	1026	2	11	No	NA	NA
HDAC2	Histone deacetylase 2	NM_001527	Hs.3352	3066	2	11	Yes	-0.026549802	0.074469973
MRPS6	Mitochondrial ribosomal protein S6	NM_006933 NM_032476	Hs.302742	64968	2	11	No	NA	NA
SMS	Spermine synthase	NM_004595	Hs.288487	6611	2	11	No	NA	NA
ARF1	ADP-ribosylation factor 1	NM_001024227 NM_001024228 NM_001024226 NM_001658	Hs.286221	375	2	11	Yes	-0.014880986	0.007718897
CES2	Carboxylesterase 2 (intestine, liver)	NM_003869 NM_198061	Hs.282975	8824	2	11	Yes	0.010246444	-0.004211318
TUBG1	Tubulin, gamma 1	NM_016437 NM_001070	Hs.279669	7283	2	11	Yes	0.01565945	0.022236023
JUNB	Jun B proto-oncogene	NM_002229	Hs.25292	3726	2	11	Yes	0.063781851	0.009205178
PSMA7	Proteasome (prosome, macropain) subunit, alpha type, 7	NM_002792	Hs.233952	5688	2	11	No	NA	NA
PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	NM_000963	Hs.196384	5743	2	11	Yes	-0.058289063	-0.020156039
TMEM45A	Transmembrane protein 45A	NM_018004	Hs.126598	55076	2	11	No	NA	NA
CTSF	Cathepsin F	NM_003793	Hs.11590	8722	2	11	No	NA	NA
SC4MOL	Sterol-C4-methyl oxidase-like	NM_006745 NM_001017369	Hs.105269	6307	2	11	Yes	0.05108924	0.109463618
