Probe set	Influence	SD	z-score	DMFS	Gene Symbol	Gene Title	Function
212592_at	42.76	17.85	2.4	+	IGJ	Immunoglobulin J polypeptide	Immune response
204470_at	7.85	3.3	2.38	+	CXCL1	chemokine (C-X-C motif) ligand 1	Immune response
209040_s_at	9.49	3.99	2.38	+	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8	Immune response
209687_at	14.05	5.97	2.35	+	CXCL12	chemokine (C-X-C motif) ligand 12	Immune response
222062_at	18.27	7.83	2.33	+	IL27RA	interleukin 27 receptor, alpha	Immune response
205671_s_at	14.74	6.33	2.33	+	HLA-DOB	major histocompatibility complex, class II, DO beta	Immune response
202748_at	4.75	2.04	2.33	+	GBP2	guanylate binding protein 2, interferon-inducible	Immune response
217767_at	12.27	5.31	2.31	+	C3	complement component 3	Immune response
211799_x_at	9.65	4.19	2.3	+	HLA-C	major histocompatibility complex, class I, C	Immune response
203005_at	1.51	0.66	2.29	-	LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)	Immune response
212203_x_at	2.79	1.22	2.28	+	IFITM3	interferon induced transmembrane protein 3 (1-8U)	Immune response
203666_at	5.48	2.43	2.26	+	CXCL12	chemokine (C-X-C motif) ligand 12	Immune response
214022_s_at	5.14	2.3	2.24	+	IFITM1	interferon induced transmembrane protein 1 (9-27)	Immune response
217014_s_at	15.72	7.03	2.24	+	AZGP1	alpha-2-glycoprotein 1, zinc	Immune response
211911_x_at	8.34	3.73	2.23	+	HLA-B	major histocompatibility complex, class I, B	Immune response
210514_x_at	11.98	5.36	2.23	+	HLA-G	HLA-G histocompatibility antigen, class I, G	Immune response
204116_at	6.74	3.09	2.18	+	IL2RG	interleukin 2 receptor, gamma	Immune response
209619_at	8.17	3.75	2.18	+	CD74	CD74 antigen	Immune response
208729_x_at	7.58	3.54	2.14	+	HLA-B	major histocompatibility complex, class I, B	Immune response
207323_s_at	2.28	1.08	2.12	+	MBP	myelin basic protein	Immune response
212671_s_at	15.09	7.13	2.12	+	HLA-DQA1 /// HLA-DQA2	major histocompatibility complex, class II, DQ alpha 1	Immune response
211528_x_at	6.34	3	2.11	+	HLA-G	HLA-G histocompatibility antigen, class I, G	Immune response
208402_at	11.5	5.48	2.1	+	IL17	interleukin 17	Immune response
209666_s_at	2.11	1.01	2.08	-	CHUK	conserved helix-loop-helix ubiquitous kinase	Immune response
209201_x_at	9.47	4.59	2.06	+	CXCR4	chemokine (C-X-C motif) receptor 4	Immune response
206641_at	23.27	11.37	2.05	+	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	Immune response
211734_s_at	12.74	6.25	2.04	+	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	Immune response
204806_x_at	4.7	2.33	2.02	+	HLA-F	major histocompatibility complex, class I, F	Immune response
215669_at	3.81	1.9	2.01	-	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	Immune response
206086_x_at	0.71	0.36	1.98	-	HFE	hemochromatosis	Immune response
209929_s_at	1.52	0.77	1.97	-	IKBKG	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	Immune response
202992_at	25.86	13.15	1.97	+	C7	complement component 7	Immune response
214974_x_at	8.97	4.58	1.96	+	CXCL5	chemokine (C-X-C motif) ligand 5	Immune response
215719_x_at	6.76	3.45	1.96	+	FAS	Fas (TNF receptor superfamily, member 6)	Immune response
211666_x_at	56.18	14.56	3.86	+	RPL3	ribosomal protein L3	Protein biosynthesis
217747_s_at	21.97	6.01	3.66	+	RPS9	ribosomal protein S9	Protein biosynthesis
200937_s_at	22.7	6.32	3.59	+	RPL5	ribosomal protein L5	Protein biosynthesis
200081_s_at	18.99	5.85	3.25	+	RPS6	ribosomal protein S6	Protein biosynthesis
201076_at	18.95	6.12	3.09	+	NHP2L1	NHP2 non-histone chromosome protein 2-like 1	Protein biosynthesis
211938_at	17.38	5.67	3.07	+	EIF4B	eukaryotic translation initiation factor 4B	Protein biosynthesis
200024_at	20.65	6.95	2.97	+	RPS5	ribosomal protein S5	Protein biosynthesis
208887_at	22.22	7.58	2.93	+	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	Protein biosynthesis
213687_s_at	7.25	2.48	2.92	+	RPL35A	ribosomal protein L35a	Protein biosynthesis
200036_s_at	13.18	4.52	2.91	+	RPL10A	ribosomal protein L10a	Protein biosynthesis
200823_x_at	46.07	15.87	2.9	+	RPL29	ribosomal protein L29	Protein biosynthesis
220960_x_at	20.05	7.47	2.68	+	RPL22	ribosomal protein L22	Protein biosynthesis
211710_x_at	6.88	2.58	2.66	+	RPL4	ribosomal protein L4	Protein biosynthesis
202247_s_at	16.72	6.28	2.66	+	MTA1	metastasis associated 1	Protein biosynthesis
200005_at	8.27	3.11	2.66	+	EIF3S7	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	Protein biosynthesis
200013_at	4.18	1.59	2.63	+	RPL24	ribosomal protein L24	Protein biosynthesis
221726_at	12.88	4.9	2.63	+	RPL22	ribosomal protein L22	Protein biosynthesis
201258_at	6.53	2.49	2.62	+	RPS16	ribosomal protein S16	Protein biosynthesis
213310_at	34.83	13.7	2.54	-	EIF2C2	Eukaryotic translation initiation factor 2C, 2	Protein biosynthesis
200074_s_at	11.82	4.67	2.53	+	RPL14	ribosomal protein L14	Protein biosynthesis
200869_at	29.52	11.75	2.51	+	RPL18A	ribosomal protein L18a	Protein biosynthesis
218270_at	7.18	2.92	2.46	+	MRPL24	mitochondrial ribosomal protein L24	Protein biosynthesis
209609_s_at	10.14	4.22	2.4	-	MRPL9	mitochondrial ribosomal protein L9	Protein biosynthesis
201254_x_at	2.75	1.19	2.31	+	RPS6	ribosomal protein S6	Protein biosynthesis
201154_x_at	5.49	2.4	2.29	+	RPL4	ribosomal protein L4	Protein biosynthesis
200010_at	5.97	2.63	2.27	+	RPL11	Ribosomal protein L11	Protein biosynthesis
201064_s_at	7.61	3.38	2.25	+	PABPC4	poly(A) binding protein, cytoplasmic 4 (inducible form)	Protein biosynthesis
200022_at	8.61	3.89	2.21	+	RPL18	ribosomal protein L18	Protein biosynthesis
212450_at	10.26	4.66	2.2	-	KIAA0256	KIAA0256 gene product	Protein biosynthesis
213414_s_at	3.95	1.83	2.16	+	RPS19	ribosomal protein S19	Protein biosynthesis
221798_x_at	0.88	0.41	2.16	-	RPS2	Ribosomal protein S2	Protein biosynthesis
211937_at	8.65	4.05	2.14	+	EIF4B	eukaryotic translation initiation factor 4B	Protein biosynthesis
208264_s_at	8.58	4.08	2.1	-	EIF3S1	eukaryotic translation initiation factor 3, subunit 1 alpha, 35kDa	Protein biosynthesis
200012_x_at	8.42	4.04	2.08	+	RPL21	ribosomal protein L21	Protein biosynthesis
200858_s_at	5.06	2.44	2.07	+	RPS8	ribosomal protein S8	Protein biosynthesis
209134_s_at	3.91	1.95	2.01	+	RPS6	ribosomal protein S6	Protein biosynthesis
208695_s_at	0.96	0.49	1.97	-	RPL39	ribosomal protein L39	Protein biosynthesis
219105_x_at	18.23	5.57	3.27	-	ORC6L	origin recognition complex, subunit 6 homolog-like	DNA replication
201890_at	37.16	11.68	3.18	-	RRM2	ribonucleotide reductase M2 polypeptide	DNA replication
211577_s_at	20.37	7.88	2.58	+	IGF1	insulin-like growth factor 1 (somatomedin C)	DNA replication
221521_s_at	44.39	17.27	2.57	-	Pfs2	DNA replication complex GINS protein PSF2	DNA replication
209773_s_at	17.73	7.37	2.4	-	RRM2	ribonucleotide reductase M2 polypeptide	DNA replication
209540_at	27.99	12.37	2.26	+	IGF1	insulin-like growth factor 1 (somatomedin C)	DNA replication
213033_s_at	24.87	11.15	2.23	+	NFIB	Nuclear factor I/B	DNA replication
213734_at	5.51	2.52	2.18	-	WSB2	WD repeat and SOCS box-containing 2	DNA replication
204767_s_at	7.16	3.28	2.18	-	FEN1	flap structure-specific endonuclease 1	DNA replication
204127_at	3.68	1.82	2.02	-	RFC3	replication factor C (activator 1) 3, 38kDa	DNA replication
208752_x_at	1.16	0.59	1.97	+	NAP1L1	nucleosome assembly protein 1-like 1	DNA replication
208079_s_at	83.78	19.84	4.22	-	STK6	serine/threonine kinase 6	Oncogenesis
204092_s_at	43.3	11.83	3.66	-	STK6	serine/threonine kinase 6	Oncogenesis
213829_x_at	6.41	2.42	2.65	-	TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b, decoy	Oncogenesis
206413_s_at	36.36	14.96	2.43	-	TCL1B	T-cell leukemia/lymphoma 1B	Oncogenesis
203035_s_at	7.62	3.14	2.42	-	PIAS3	protein inhibitor of activated STAT, 3	Oncogenesis
202095_s_at	51.32	21.44	2.39	-	BIRC5	baculoviral IAP repeat-containing 5 (survivin)	Oncogenesis
210434_x_at	3.61	1.54	2.34	-	JTB	jumping translocation breakpoint	Oncogenesis
209054_s_at	3.75	1.81	2.08	-	WHSC1	Wolf-Hirschhorn syndrome candidate 1	Oncogenesis
200048_s_at	2.32	1.14	2.04	-	JTB	jumping translocation breakpoint	Oncogenesis
203554_x_at	9.16	4.61	1.98	-	PTTG1	pituitary tumor-transforming 1	Oncogenesis
203192_at	5.92	3.01	1.97	-	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	Oncogenesis
212070_at	41.12	14.17	2.9	-	GPR56	G protein-coupled receptor 56	Metabolism
221256_s_at	21.39	7.39	2.89	+	HDHD3	haloacid dehalogenase-like hydrolase domain containing 3	Metabolism
203067_at	13.34	4.66	2.86	-	PDHX	pyruvate dehydrogenase complex, component X	Metabolism
212062_at	35.52	12.7	2.8	-	ATP9A	ATPase, Class II, type 9A	Metabolism
202651_at	17.67	6.42	2.75	-	LPGAT1	lysophosphatidylglycerol acyltransferase 1	Metabolism
220892_s_at	25.32	9.5	2.67	+	PSAT1	phosphoserine aminotransferase 1	Metabolism
206335_at	9.17	3.62	2.53	-	GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase	Metabolism
202722_s_at	16.76	6.66	2.51	-	GFPT1	glutamine-fructose-6-phosphate transaminase 1	Metabolism
212353_at	45.42	18.09	2.51	-	SULF1	sulfatase 1	Metabolism
221928_at	39.21	16.23	2.42	+	ACACB	acetyl-Coenzyme A carboxylase beta	Metabolism
219616_at	10.26	4.3	2.39	-	FLJ21963	FLJ21963 protein	Metabolism
202464_s_at	48.5	20.47	2.37	-	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	Metabolism
59705_at	9.15	3.93	2.33	-	SCLY	selenocysteine lyase	Metabolism
217776_at	21.38	9.75	2.19	-	RDH11	retinol dehydrogenase 11	Metabolism
218025_s_at	9.02	4.32	2.09	+	PECI	peroxisomal D3,D2-enoyl-CoA isomerase	Metabolism
209935_at	12.2	5.92	2.06	-	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1	Metabolism
200824_at	31.66	15.69	2.02	+	GSTP1	glutathione S-transferase pi	Metabolism
201626_at	4.32	2.15	2.01	-	INSIG1	insulin induced gene 1	Metabolism
215633_x_at	13.89	3.94	3.52	+	LST1	leukocyte specific transcript 1	Cellular defense response
210629_x_at	5.76	1.66	3.47	+	LST1	leukocyte specific transcript 1	Cellular defense response
206983_at	12.57	3.83	3.28	+	CCR6	chemokine (C-C motif) receptor 6	Cellular defense response
211582_x_at	13.68	4.48	3.06	+	LST1	leukocyte specific transcript 1	Cellular defense response
211581_x_at	9.43	3.52	2.68	+	LST1	leukocyte specific transcript 1	Cellular defense response
210116_at	21	8.06	2.61	+	SH2D1A	SH2 domain protein 1A, Duncans disease	Cellular defense response
211529_x_at	6.25	2.59	2.41	+	HLA-G	HLA-G histocompatibility antigen, class I, G	Cellular defense response
210514_x_at	9.37	4.2	2.23	+	HLA-G	HLA-G histocompatibility antigen, class I, G	Cellular defense response
211528_x_at	4.96	2.35	2.11	+	HLA-G	HLA-G histocompatibility antigen, class I, G	Cellular defense response
207008_at	12.62	6.08	2.08	+	IL8RB	interleukin 8 receptor, beta	Cellular defense response
206978_at	4.21	2.05	2.05	+	CCR2	chemokine (C-C motif) receptor 2	Cellular defense response
211567_at	10.37	5.27	1.97	+	---	---	Cellular defense response
205495_s_at	7.1	3.63	1.96	+	GNLY	granulysin	Cellular defense response
206983_at	15.76	4.8	3.28	+	CCR6	chemokine (C-C motif) receptor 6	Chemotaxis
210072_at	30.51	10.9	2.8	+	CCL19	chemokine (C-C motif) ligand 19	Chemotaxis
207850_at	17.47	6.65	2.63	+	CXCL3	chemokine (C-X-C motif) ligand 3	Chemotaxis
216598_s_at	28.42	11.2	2.54	+	CCL2	chemokine (C-C motif) ligand 2	Chemotaxis
214435_x_at	4.34	1.82	2.39	-	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	Chemotaxis
204470_at	7.69	3.23	2.38	+	CXCL1	chemokine (C-X-C motif) ligand 1	Chemotaxis
209687_at	13.77	5.85	2.35	+	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Chemotaxis
203666_at	5.37	2.38	2.26	+	CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Chemotaxis
207008_at	15.81	7.61	2.08	+	IL8RB	interleukin 8 receptor, beta	Chemotaxis
209201_x_at	9.29	4.5	2.06	+	CXCR4	chemokine (C-X-C motif) receptor 4	Chemotaxis
206978_at	5.28	2.57	2.05	+	CCR2	chemokine (C-C motif) receptor 2	Chemotaxis
206337_at	6.09	3.06	1.99	+	CCR7	chemokine (C-C motif) receptor 7	Chemotaxis
211567_at	13	6.6	1.97	+	---	---	Chemotaxis
214974_x_at	8.8	4.49	1.96	+	CXCL5	chemokine (C-X-C motif) ligand 5	Chemotaxis
