ID	Name	Symbol	Accession	UniGene	Gene	Ensembl	aveA	P400vsEGFP.M	P400vsEGFP.AdjP	P400vsEGFP.FDR	P400vsEGFP.B	Description	Coordinates	A	D	C	B
A_51_P132483	RIKEN cDNA 1700013H16 gene	1700013H16Rik	AK005953	Mm.116929	75514	ENSMUST00000067940	8.713	1.809	0.75	0.001	2.667	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700013H16 product:hypothetical protein, full insert sequence. [AK005953]	chrX:48837415-48837356	1.612	-2.382	1.439	-1.804
A_51_P134262	RIKEN cDNA 1700052K11 gene	1700052K11Rik	NM_028539	Mm.351426	73431		10.336	1.808	0.01	0	7.312	Mus musculus RIKEN cDNA 1700052K11 gene (1700052K11Rik), mRNA [NM_028539]	chr11:105288952-105288893	1.768	-1.825	2.016	-1.624
A_51_P449886	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	Eef1d	NM_029663	Mm.258927	66656	ENSMUST00000089681	6.996	1.798	0.152	0	4.446	Mus musculus eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) (Eef1d), transcript variant 1, mRNA [NM_029663]	chr15:75985874-75985815	1.43	-2.16	1.788	-1.813
A_52_P326531	RIKEN cDNA A330102K23 gene	A330102K23Rik	NM_153409	Mm.102025	77771	ENSMUST00000053910	7.869	1.797	0.068	0	5.323	Mus musculus RIKEN cDNA A330102K23 gene (A330102K23Rik), mRNA [NM_153409]	chr2:65953070-65953129	1.507	-1.695	2.093	-1.893
A_52_P304902	heat shock protein 1A	Hspa1a	NM_010479	Mm.6388	193740	ENSMUST00000087328	7.492	1.794	0.062	0	5.418	Mus musculus heat shock protein 1A (Hspa1a), mRNA [NM_010479]	chr17:33068730-33068671	1.717	-2.161	1.63	-1.667
A_51_P192998	RIKEN cDNA 1700065A05 gene	1700065A05Rik	XM_283972	Mm.273718	329877	ENSMUST00000045512	8.585	1.793	0.952	0.001	2.397	PREDICTED: Mus musculus RIKEN cDNA 1700065A05 gene, transcript variant 1 (1700065A05Rik), mRNA [XM_283972]	chr4:86251692-86252498	1.178	-2.148	1.881	-1.965
A_51_P198835	DnaJ (Hsp40) homolog, subfamily B, member 9	Dnajb9	NM_013760	Mm.27432	27362	ENSMUST00000015049	10.049	1.79	0.194	0	4.18	Mus musculus DnaJ (Hsp40) homolog, subfamily B, member 9 (Dnajb9), mRNA [NM_013760]	chr12:42082369-42082310	1.351	-1.982	2.039	-1.787
A_52_P135263	cysteine-rich perinuclear theca 2	Cypt2	NM_173436	Mm.250428	245566	ENSMUST00000041758	7.097	1.788	0.021	0	6.57	Mus musculus cysteine-rich perinuclear theca 2 (Cypt2), mRNA [NM_173436]	chrX:100827722-100827781	1.671	-1.702	1.702	-2.075
A_52_P554042			NAP049475-1		NA		6.941	1.785	0.079	0	5.158		chr1:85419752-85419693	1.431	-2.045	1.875	-1.789
A_52_P355064	RIKEN cDNA 1700010N08 gene	1700010N08Rik	AK076675	Mm.212736	545951		8.166	1.782	0.001	0	9.402	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930412B11 product:unclassifiable, full insert sequence [AK076675]	chr7:35337347-35337406	1.818	-1.705	1.77	-1.833
A_52_P482203	tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae)	Tsen2	NM_199033	Mm.291208	381802	ENSMUST00000040234	13.861	1.782	0.455	0.001	3.231	Mus musculus tRNA splicing endonuclease 2 homolog (SEN2, S. cerevisiae) (Tsen2), mRNA [NM_199033]	chr6:115603904-115603963	1.543	-2.145	2.042	-1.399
A_51_P187645	immunoglobulin heavy chain (J558 family)	Igh-VJ558	BC004786	Mm.240437	16061	ENSMUST00000084880	7.408	1.78	0.266	0	3.83	Mus musculus immunoglobulin heavy chain (J558 family), mRNA (cDNA clone MGC:6727 IMAGE:3588636), complete cds. [BC004786]	chr12:110781228-110781169	2.266	-1.583	1.567	-1.703
A_52_P214828	RNA binding motif protein, Y chromosome, family 1, member A1	Rbmy1a1	NM_011253	Mm.4711	19657	ENSMUST00000078383	6.902	1.771	0.039	0	5.917	Mus musculus RNA binding motif protein, Y chromosome, family 1, member A1 (Rbmy1a1), mRNA [NM_011253]	chrY:1990586-1990645	1.53	-2.062	1.734	-1.756
A_51_P121031	membrane-associated ring finger (C3HC4) 1	28-Feb	NM_175188	Mm.380457	72925	ENSMUST00000039540	7.07	1.767	0.064	0	5.384	Mus musculus membrane-associated ring finger (C3HC4) 1 (March1), mRNA [NM_175188]	chr8:64926721-64926780	1.456	-2.047	1.822	-1.741
A_51_P169696	G protein-coupled receptor 77	Gpr77	NM_176912		319430		7.81	1.755	0.704	0.001	2.738	Mus musculus G protein-coupled receptor 77 (Gpr77), mRNA [NM_176912]	chr7:13997215-13997156	1.276	-2.013	1.602	-2.131
A_52_P487599	cDNA sequence BC051244	BC051244	NM_178413	Mm.37547	232078	ENSMUST00000067552	9.503	1.748	0.004	0	8.272	Mus musculus cDNA sequence BC051244 (BC051244), transcript variant 1, mRNA [NM_178413]	chr6:71146663-71146604	1.877	-1.607	1.768	-1.738
A_52_P592909	diacylglycerol O-acyltransferase 2	Dgat2	NM_026384	Mm.180189	67800	ENSMUST00000033001	10.682	1.748	0.025	0	6.378	Mus musculus diacylglycerol O-acyltransferase 2 (Dgat2), mRNA [NM_026384]	chr7:95185666-95185607	1.796	-1.876	1.86	-1.461
A_52_P489295	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1	Adamts1	NM_009621	Mm.1421	11504	ENSMUST00000023610	7.844	1.746	0.052	0	5.604	Mus musculus a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1 (Adamts1), mRNA [NM_009621]	chr16:85790783-85790724	1.751	-1.708	2.044	-1.484
A_52_P343787	RIKEN cDNA E330037M01 gene	E330037M01Rik	AK033305	Mm.319186	319775		6.809	1.746	0.296	0	3.712	Mus musculus 15 days embryo male testis cDNA, RIKEN full-length enriched library, clone:8030490B12 product:unclassifiable, full insert sequence. [AK033305]	chr5:24960219-24960278	1.349	-1.815	1.679	-2.143
A_52_P418952	cDNA sequence BC031593	BC031593	NM_146063	Mm.162744	223917	ENSMUST00000023799	7.676	1.745	0.041	0	5.878	Mus musculus cDNA sequence BC031593 (BC031593), mRNA [NM_146063]	chr15:101915843-101915784	1.426	-1.846	1.905	-1.803
A_52_P83905	solute carrier family 26 (sulfate transporter), member 2	Slc26a2	NM_007885	Mm.24803	13521	ENSMUST00000037603	9.737	1.744	0.008	0	7.515	Mus musculus solute carrier family 26 (sulfate transporter), member 2 (Slc26a2), mRNA [NM_007885]	chr18_random:381208-381267	1.605	-1.934	1.666	-1.769
A_51_P452506	expressed sequence AI840826	AI840826	NM_145538	Mm.4863	407243	ENSMUST00000006587	10.585	1.744	0.11	0	4.802	Mus musculus expressed sequence AI840826 (AI840826), mRNA [NM_145538]	chr2:167383970-167383911	1.652	-1.979	1.94	-1.405
A_52_P594656	RIKEN cDNA 1700049E17 gene	1700049E17Rik	BC094917	Mm.425876	73415	ENSMUST00000100701	7.386	1.743	0.089	0	5.038	Mus musculus RIKEN cDNA 1700049E17 gene, mRNA (cDNA clone MGC:107462 IMAGE:30059859), complete cds. [BC094917]	chr14:39002674-39002733	1.373	-1.869	1.78	-1.952
A_52_P376337	ACN9 homolog (S. cerevisiae)	Acn9	AK046436	Mm.389086	71238	ENSMUST00000040826	9.554	1.739	0.028	0	6.262	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230384K14 product:hypothetical ACN9 containing protein, full insert sequence. [AK046436]	chr6:6992042-6992101	1.455	-1.855	1.892	-1.756
A_52_P58145	aldehyde dehydrogenase family 1, subfamily A2	Aldh1a2	NM_009022	Mm.42016	19378	ENSMUST00000034723	9.163	1.738	0.077	0	5.185	Mus musculus aldehyde dehydrogenase family 1, subfamily A2 (Aldh1a2), mRNA [NM_009022]	chr9:71330506-71330565	1.475	-1.809	2.051	-1.619
A_51_P248935	telomerase RNA component	Terc	AK085092		21748		7.986	1.734	0.077	0	5.19	Mus musculus 13 days embryo lung cDNA, RIKEN full-length enriched library, clone:D430035J07 product:Mus musculus telomerase RNA component (Terc) on chromosome 3, full insert sequence. [AK085092]	chr3:96286566-96286507	1.374	-1.917	1.874	-1.772
A_52_P220933	Similar to RIKEN cDNA 4930572O03 gene	MGC58177	NM_198666	Mm.368256	381714	ENSMUST00000035980	6.883	1.734	1	0.001	1.425	Mus musculus Similar to RIKEN cDNA 4930572O03 gene (MGC58177), mRNA [NM_198666]	chr5:14393078-14393019	1.1	-2.269	1.744	-1.822
A_51_P315894	RIKEN cDNA 1700048B10 gene	1700048B10Rik	AK006721	Mm.418063	73465		7.227	1.731	0.009	0	7.383	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700048B10 product:unclassifiable, full insert sequence. [AK006721]	chr13:49944849-49944790	1.544	-1.883	1.806	-1.689
A_52_P195839	cathepsin C	Ctsc	NM_009982	Mm.322945	13032	ENSMUST00000032779	9.471	1.729	0.126	0	4.651	Mus musculus cathepsin C (Ctsc), mRNA [NM_009982]	chr7:84246990-84247049	1.365	-1.98	1.894	-1.678
A_51_P365744	RIKEN cDNA 9030623N16 gene	9030623N16Rik	NM_025777	Mm.171333	66811	ENSMUST00000028656	7.02	1.727	0.004	0	8.215	Mus musculus RIKEN cDNA 9030623N16 gene (9030623N16Rik), mRNA [NM_025777]	chr2:122043229-122043288	1.594	-1.864	1.736	-1.715
A_51_P157677	PDZ and LIM domain 3	Pdlim3	NM_016798	Mm.282900	53318	ENSMUST00000034053	9.579	1.725	0.294	0	3.718	Mus musculus PDZ and LIM domain 3 (Pdlim3), mRNA [NM_016798]	chr8:44697087-44697146	1.5	-2.198	1.531	-1.67
A_52_P279368	SRY-box containing gene 17	Sox17	NM_011441	Mm.279103	20671	ENSMUST00000027035	7.497	1.725	0.57	0.001	2.976	Mus musculus SRY-box containing gene 17 (Sox17), mRNA [NM_011441]	chr1:4487073-4487014	1.59	-2.242	1.692	-1.376
A_51_P516833	insulin-like growth factor 2	Igf2	NM_010514	Mm.3862	16002	ENSMUST00000097936	8.465	1.722	0.034	0	6.08	Mus musculus insulin-like growth factor 2 (Igf2), mRNA [NM_010514]	chr7:139078549-139078490	1.947	-1.808	1.471	-1.662
A_51_P253207	organic solute transporter alpha	Osta	AK147155	Mm.98775	106407		7.903	1.721	0.005	0	7.997	Mus musculus cDNA, RIKEN full-length enriched library, clone:I920191F06 product:similar to Organic solute transporter alpha [Homo sapiens], full insert sequence. [AK147155]	chr16:32150134-32150075	1.861	-1.758	1.687	-1.578
A_51_P462311	histone 1, H2bc	Hist1h2bc	NM_023422	Mm.261676	68024	ENSMUST00000018246	9.962	1.718	0.63	0.001	2.863	Mus musculus histone 1, H2bc (Hist1h2bc), mRNA [NM_023422]	chr13:23058152-23058211	1.995	-2.068	1.522	-1.289
A_51_P130639	RIKEN cDNA 2410017P07 gene	2410017P07Rik	NM_026643	Mm.338605	103268	ENSMUST00000019951	12.2	1.716	0.94	0.001	2.412	Mus musculus RIKEN cDNA 2410017P07 gene (2410017P07Rik), mRNA [NM_026643]	chr10:41529684-41529625	1.399	-2.307	1.612	-1.547
A_51_P180891	RIKEN cDNA 2810439F02 gene	2810439F02Rik	NM_028341	Mm.52526	72747	ENSMUST00000025294	10.161	1.715	0.021	0	6.592	Mus musculus RIKEN cDNA 2810439F02 gene (2810439F02Rik), mRNA [NM_028341]	chr18:13086643-13086702	1.455	-1.848	1.821	-1.738
A_51_P409250	oogenesin 1	Oog1	NM_178657	Mm.208554	193322	ENSMUST00000095509	6.905	1.713	0.027	0	6.31	Mus musculus oogenesin 1 (Oog1), mRNA [NM_178657]	chr12:85511650-85511591	1.8	-1.942	1.553	-1.556
A_52_P684138	D4, zinc and double PHD fingers, family 3	Dpf3	NM_058212	Mm.151308	70127	ENSMUST00000021644	8.023	1.712	0.08	0	5.154	Mus musculus D4, zinc and double PHD fingers, family 3 (Dpf3), mRNA [NM_058212]	chr12:81266873-81266814	1.549	-1.761	2.039	-1.499
A_51_P145693	cubilin (intrinsic factor-cobalamin receptor)	Cubn	XM_130038	Mm.313915	65969	ENSMUST00000091436	8.378	1.71	0.375	0.001	3.447	PREDICTED: Mus musculus cubilin (intrinsic factor-cobalamin receptor), transcript variant 1 (Cubn), mRNA [XM_130038]	chr2:13215578-13215519	1.96	-1.892	1.768	-1.219
A_52_P327176	PDZ domain containing RING finger 3	Pdzrn3	NM_018884	Mm.321654	55983	ENSMUST00000075994	8.26	1.707	0.315	0	3.641	Mus musculus PDZ domain containing RING finger 3 (Pdzrn3), mRNA [NM_018884]	chr6:101239943-101239884	1.42	-2.155	1.726	-1.527
A_52_P595455	RIKEN cDNA C730048C13 gene	C730048C13Rik	NM_177002	Mm.426083	319800	ENSMUST00000065651	6.806	1.704	0.179	0	4.266	Mus musculus RIKEN cDNA C730048C13 gene (C730048C13Rik), mRNA [NM_177002]	chr19:8015980-8015921	1.521	-2.019	1.403	-1.872
A_52_P188139	retinoid X receptor alpha	Rxra	NM_011305	Mm.24624	20181	ENSMUST00000077257	11.115	1.703	0.042	0	5.847	Mus musculus retinoid X receptor alpha (Rxra), mRNA [NM_011305]	chr2:27770202-27770261	1.751	-1.97	1.616	-1.474
A_51_P422751	chloride channel calcium activated 3	Clca3	NM_017474	Mm.33483	23844	ENSMUST00000029919	7.392	1.698	0.095	0	4.96	Mus musculus chloride channel calcium activated 3 (Clca3), mRNA [NM_017474]	chr3:144897712-144897653	1.82	-1.817	1.835	-1.319
A_51_P145596	similar to RIKEN cDNA 4930503E14	LOC434459	NM_001013816	Mm.359230	434459	ENSMUST00000064162	7.754	1.697	0.362	0	3.485	Mus musculus similar to RIKEN cDNA 4930503E14 (LOC434459), mRNA [NM_001013816]	chr14:46995933-46995992	1.211	-1.781	1.953	-1.842
A_51_P503736	RIKEN cDNA 4921530G04 gene	4921530G04Rik	NM_027622	Mm.158506	70956		9.893	1.691	0.005	0	7.954	Mus musculus RIKEN cDNA 4921530G04 gene (4921530G04Rik), mRNA [NM_027622]	chr11:121225584-121225525	1.682	-1.857	1.63	-1.594
A_52_P61752	tetraspanin 1	Tspan1	NM_133681	Mm.45994	66805	ENSMUST00000030465	8.613	1.691	0.178	0	4.272	Mus musculus tetraspanin 1 (Tspan1), mRNA [NM_133681]	chr4:115539340-115539281	1.279	-1.753	1.793	-1.94
A_52_P433450			NAP097631-001		NA		9.815	1.685	0.107	0	4.836		chr5:099124276-099124217	1.384	-1.717	2.005	-1.635
A_51_P152685	RIKEN cDNA E330039K12 gene	E330039K12Rik	NM_175561	Mm.145535	270109	ENSMUST00000047239	8.338	1.684	0.004	0	8.304	Mus musculus RIKEN cDNA E330039K12 gene (E330039K12Rik), transcript variant 2, mRNA [NM_175561]	chr8:124339206-124339147	1.748	-1.714	1.738	-1.536
A_52_P26737	coagulation factor C homolog (Limulus polyphemus)	Coch	NM_007728	Mm.21325	12810	ENSMUST00000085412	7.687	1.669	1	0.001	1.885	Mus musculus coagulation factor C homolog (Limulus polyphemus) (Coch), mRNA [NM_007728]	chr12:49611476-49611535	1.357	-2.241	1.327	-1.752
A_51_P385786	inhibitor of DNA binding 1	Id1	NM_010495	Mm.444	15901	ENSMUST00000038368	11.649	1.668	0.049	0	5.683	Mus musculus inhibitor of DNA binding 1 (Id1), mRNA [NM_010495]	chr2:152478157-152478216	1.852	-1.637	1.38	-1.802
A_52_P533809	inhibitor of DNA binding 1	Id1	NM_010495	Mm.444	15901	ENSMUST00000038368	11.326	1.665	0.061	0	5.435	Mus musculus inhibitor of DNA binding 1 (Id1), mRNA [NM_010495]	chr2:152478167-152478226	1.852	-1.654	1.354	-1.8
A_52_P168567	CCAAT/enhancer binding protein (C/EBP), alpha	Cebpa	NM_007678	Mm.349667	12606	ENSMUST00000042985	8.005	1.658	0.317	0	3.633	Mus musculus CCAAT/enhancer binding protein (C/EBP), alpha (Cebpa), mRNA [NM_007678]	chr7:32011212-32011271	1.547	-2.122	1.429	-1.532
A_52_P427494	GC-rich promoter binding protein 1-like 1	Gpbp1l1	NM_029868	Mm.41715	77110	ENSMUST00000030460	11.653	1.657	1	0.002	0.529	Mus musculus GC-rich promoter binding protein 1-like 1 (Gpbp1l1), mRNA [NM_029868]	chr4:115967717-115969250	0.864	-1.87	2.003	-1.893
A_52_P591310	homeo box D13	Hoxd13	AK077862	Mm.57227	15433		7.425	1.655	0.353	0	3.514	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930427E13 product:homeo box D13, full insert sequence [AK077862]	chr2:74514907-74514966	1.329	-2.036	1.793	-1.462
A_52_P638041	Similar to ubiquitin-conjugating enzyme E2D 2	MGC58426	NM_207241	Mm.302216	237009	ENSMUST00000059509	6.634	1.654	1	0.001	2.091	Mus musculus Similar to ubiquitin-conjugating enzyme E2D 2 (MGC58426), mRNA [NM_207241]	chrX:110081298-110081357	1.397	-2.266	1.46	-1.495
A_51_P379069	dickkopf homolog 1 (Xenopus laevis)	Dkk1	NM_010051	Mm.214717	13380	ENSMUST00000025803	7.048	1.651	0.004	0	8.14	Mus musculus dickkopf homolog 1 (Xenopus laevis) (Dkk1), mRNA [NM_010051]	chr19:30246145-30246086	1.61	-1.53	1.701	-1.762
A_52_P445253	dystonin	Dst	NM_133833	Mm.336625	13518	ENSMUST00000088270	8.232	1.65	0.155	0	4.428	Mus musculus dystonin (Dst), transcript variant a, mRNA [NM_133833]	chr1:34375716-34377768	1.599	-1.455	2.044	-1.501
A_52_P1180050			AK043081	Mm.341756	NA		7.758	1.645	1	0.001	2.227	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730054G07 product:unclassifiable, full insert sequence. [AK043081]	chr12:77560823-77560882	1.63	-1.585	2.166	-1.199
A_52_P1027341			TC1519880		NA		7.016	1.643	0.564	0.001	2.988		chr15:8951438-8951379	1.195	-2.046	1.682	-1.647
A_51_P482585	RIKEN cDNA 1700049E17 gene	1700049E17Rik	AK006737	Mm.57578	73415		7.648	1.642	0.241	0	3.94	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700049E17 product:hypothetical protein, full insert sequence. [AK006737]	chr14:39007168-39007227	1.309	-1.486	1.933	-1.84
A_51_P103499	sperm equatorial segment protein 1	Spesp1	NM_025721	Mm.263615	66712	ENSMUST00000056949	7.867	1.641	1	0.001	1.384	Mus musculus sperm equatorial segment protein 1 (Spesp1), mRNA [NM_025721]	chr9:62297647-62297588	1.472	-1.094	2.144	-1.854
A_52_P354363	INO80 complex homolog 1 (S. cerevisiae)	Inoc1	NM_026574	Mm.330496	68142	ENSMUST00000049920	10.44	1.638	1	0.003	0.212	Mus musculus INO80 complex homolog 1 (S. cerevisiae) (Inoc1), mRNA [NM_026574]	chr2:119123798-119123739	2.083	-1.193	2.149	-1.126
A_51_P396003	diacylglycerol O-acyltransferase 2	Dgat2	NM_026384	Mm.180189	67800	ENSMUST00000033001	8.784	1.635	0.049	0	5.679	Mus musculus diacylglycerol O-acyltransferase 2 (Dgat2), mRNA [NM_026384]	chr7:95186422-95186363	1.582	-1.827	1.766	-1.367
A_51_P206197	general transcription factor II A, 1-like factor	Gtf2a1lf	NM_023630	Mm.61330	71828	ENSMUST00000024970	8.538	1.633	0.137	0	4.565	Mus musculus general transcription factor II A, 1-like factor (Gtf2a1lf), mRNA [NM_023630]	chr17:87022273-87022332	1.461	-1.804	1.901	-1.365
A_52_P479944			NAP112027-1		NA		8.212	1.633	1	0.002	1.26		chr5:095275690-095275749	0.943	-1.938	1.785	-1.865
A_52_P401334	similar to Spetex-2E protein	LOC624633	XR_004214	Mm.429966	624633		6.794	1.633	1	0.002	0.778	PREDICTED: Mus musculus similar to Spetex-2C protein (LOC624633), mRNA [XR_004214]	chr14:39642800-39642741	0.919	-2.094	1.795	-1.724
A_52_P482875	trafficking protein, kinesin binding 2	Trak2	NM_172406	Mm.222887	70827	ENSMUST00000057069	7.037	1.631	0.062	0	5.421	Mus musculus trafficking protein, kinesin binding 2 (Trak2), mRNA [NM_172406]	chr1:59174704-59174645	1.315	-1.658	1.771	-1.781
A_52_P551476	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	Raph1	XM_894031	Mm.87452	77300	ENSMUST00000090293	10.069	1.629	0.005	0	8.104	PREDICTED: Mus musculus Ras association (RalGDS [XM_894031]	chr1:60746384-60744591	1.542	-1.768	1.572	-1.635
A_52_P340073	ephrin B2	Efnb2	NM_010111	Mm.209813	13642	ENSMUST00000001319	9.046	1.629	0.544	0.001	3.031	Mus musculus ephrin B2 (Efnb2), mRNA [NM_010111]	chr8:8588121-8588062	1.315	-1.957	1.89	-1.351
A_51_P339540	cyclin-dependent kinase inhibitor 1C (P57)	Cdkn1c	NM_009876	Mm.168789	12577	ENSMUST00000037287	11.653	1.626	0.008	0	7.595	Mus musculus cyclin-dependent kinase inhibitor 1C (P57) (Cdkn1c), mRNA [NM_009876]	chr7:139886187-139886128	1.698	-1.546	1.757	-1.501
A_52_P154971	solute carrier family 27 (fatty acid transporter), member 2	Slc27a2	NM_011978	Mm.290044	26458	ENSMUST00000099438	11.722	1.621	1	0.001	1.97	Mus musculus solute carrier family 27 (fatty acid transporter), member 2 (Slc27a2), mRNA [NM_011978]	chr2:126328667-126328726	1.064	-1.764	2.034	-1.621
A_51_P420577	olfactory receptor 983	Olfr983	NM_146827	Mm.271536	258824	ENSMUST00000050996	6.732	1.616	0.002	0	9.1	Mus musculus olfactory receptor 983 (Olfr983), mRNA [NM_146827]	chr9:40022032-40021973	1.621	-1.572	1.669	-1.6
A_51_P154524	ankyrin repeat and SOCS box-containing protein 12	Asb12	NM_080858	Mm.79122	70392	ENSMUST00000033549	6.968	1.613	0.003	0	8.657	Mus musculus ankyrin repeat and SOCS box-containing protein 12 (Asb12), mRNA [NM_080858]	chrX:90797694-90797635	1.605	-1.699	1.618	-1.529
A_52_P191193	ADP-ribosylation factor-like 15	Arl15	NM_172595	Mm.79837	218639		8.366	1.612	1	0.002	1.25	Mus musculus ADP-ribosylation factor-like 15 (Arl15), mRNA [NM_172595]	chr13:111327840-111327899	1.041	-2.161	1.647	-1.599
A_52_P218440	RIKEN cDNA 4930486L24 gene	4930486L24Rik	NM_178098	Mm.19839	214639	ENSMUST00000091569	7.952	1.611	0.037	0	5.967	Mus musculus RIKEN cDNA 4930486L24 gene (4930486L24Rik), mRNA [NM_178098]	chr13:59954520-59954461	1.51	-1.733	1.398	-1.805
A_51_P193093	phosphatidylethanolamine N-methyltransferase	Pemt	NM_008819	Mm.2731	18618	ENSMUST00000093052	8.931	1.609	0.02	0	6.64	Mus musculus phosphatidylethanolamine N-methyltransferase (Pemt), mRNA [NM_008819]	chr11:60052393-60052334	1.588	-1.689	1.394	-1.764
A_51_P393654	RIKEN cDNA D430039N05 gene	D430039N05Rik	NM_175514	Mm.330351	241520	ENSMUST00000051454	8.615	1.607	0.02	0	6.624	Mus musculus RIKEN cDNA D430039N05 gene (D430039N05Rik), mRNA [NM_175514]	chr2:83725010-83725069	1.405	-1.78	1.567	-1.678
A_51_P434124	RIKEN cDNA B430319H21 gene	B430319H21Rik	AK021026	Mm.374388	77849		7.926	1.606	0.005	0	8.12	Mus musculus 4 days neonate male adipose cDNA, RIKEN full-length enriched library, clone:B430319H21 product:hypothetical protein, full insert sequence [AK021026]	chr11:63255512-63269378	1.496	-1.598	1.729	-1.6
A_51_P367720	clusterin	Clu	NM_013492	Mm.200608	12759		10.683	1.605	0.046	0	5.741	Mus musculus clusterin (Clu), mRNA [NM_013492]	chr14:60841778-60841837	1.621	-1.641	1.82	-1.339
A_51_P298802	beaded filament structural protein 2, phakinin	Bfsp2	BC062815	Mm.335403	107993		6.963	1.599	0.006	0	7.909	Mus musculus beaded filament structural protein 2, phakinin, mRNA (cDNA clone IMAGE:582139), complete cds. [BC062815]	chr9:103139539-103139510	1.531	-1.569	1.544	-1.754
A_52_P330289	inositol polyphosphate-4-phosphatase, type II	Inpp4b	NM_001024617	Mm.324468	234515	ENSMUST00000042529	6.773	1.597	0.269	0	3.816	Mus musculus inositol polyphosphate-4-phosphatase, type II (Inpp4b), mRNA [NM_001024617]	chr8:80599562-80599621	1.3	-1.989	1.491	-1.609
A_51_P279437	major facilitator superfamily domain containing 2	Mfsd2	NM_029662	Mm.331842	76574	ENSMUST00000030408	7.468	1.593	0.08	0	5.152	Mus musculus major facilitator superfamily domain containing 2 (Mfsd2), mRNA [NM_029662]	chr4:122391644-122391585	1.485	-1.914	1.407	-1.567
A_52_P34378	resistance to inhibitors of cholinesterase 3 homolog (C. elegans)	Ric3	NM_001038624	Mm.71007	320360	ENSMUST00000055993	7.658	1.59	0.99	0.001	2.354	Mus musculus resistance to inhibitors of cholinesterase 3 homolog (C. elegans) (Ric3), transcript variant 1, mRNA [NM_001038624]	chr7:104950317-104950258	1.103	-1.922	1.844	-1.491
A_52_P32369	high mobility group nucleosomal binding domain 3	Hmgn3	NM_175074	Mm.244426	94353		9.501	1.589	0.041	0	5.86	Mus musculus high mobility group nucleosomal binding domain 3 (Hmgn3), transcript variant 2, mRNA [NM_175074]	chr9:83208492-83208433	1.398	-1.768	1.738	-1.452
A_51_P446825	RIKEN cDNA 6430573F11 gene	6430573F11Rik	NM_176952	Mm.180924	319582	ENSMUST00000036363	7.96	1.588	0.145	0	4.499	Mus musculus RIKEN cDNA 6430573F11 gene (6430573F11Rik), mRNA [NM_176952]	chr8:35279721-35279780	1.396	-1.563	1.953	-1.438
A_51_P441215	synaptonemal complex protein 1, pseudogene 1	Sycp1-ps1	AK015899	Mm.423480	20958		7.496	1.586	0.023	0	6.467	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930526B16 product:synaptonemal complex protein 1, pseudogene 1, full insert sequence [AK015899]	chr7:16469133-16469192	1.406	-1.628	1.52	-1.791
A_51_P285736	programmed cell death 1	Pdcd1	NM_008798	Mm.5024	18566	ENSMUST00000027507	6.816	1.584	0.019	0	6.66	Mus musculus programmed cell death 1 (Pdcd1), mRNA [NM_008798]	chr1:93818250-93818191	1.416	-1.746	1.493	-1.682
A_51_P340003	synaptonemal complex protein 1	Sycp1	NM_011516	Mm.243849	20957	ENSMUST00000029448	7.99	1.582	0.127	0	4.647	Mus musculus synaptonemal complex protein 1 (Sycp1), mRNA [NM_011516]	chr3:102648037-102647366	1.282	-1.77	1.482	-1.794
A_52_P637988	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	Slc1a1	NM_009199	Mm.246670	20510	ENSMUST00000025875	8.652	1.581	0.186	0	4.224	Mus musculus solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 (Slc1a1), mRNA [NM_009199]	chr19:28612364-28612423	1.624	-1.568	1.891	-1.242
A_51_P250058			TC1463322		NA		12.123	1.58	0.135	0	4.577		chr17:85135717-85135776	1.357	-1.828	1.759	-1.376
A_51_P372602	serine/threonine kinase 35	Stk35	NM_183262	Mm.389329	67333	ENSMUST00000082067	9.417	1.575	0.002	0	8.741	Mus musculus serine/threonine kinase 35 (Stk35), transcript variant 1, mRNA [NM_183262]	chr2:129552037-129568632	1.585	-1.553	1.647	-1.513
A_51_P111164	Rho family GTPase 1	Rnd1	NM_172612	Mm.274010	223881	ENSMUST00000003451	10.681	1.572	0.8	0.001	2.594	Mus musculus Rho family GTPase 1 (Rnd1), mRNA [NM_172612]	chr15:98655299-98655240	1.666	-1.868	1.699	-1.057
