Affymetrix ID	Accession	Gene Symbol	Gene Description
219569_s_at	NM_025246	MGC3295	transmembrane protein 22
206868_at	NM_014725	STARD8	START domain containing 8
220027_s_at	NM_017805	FLJ20401	Ras-interacting protein
204522_at	NM_005510	DOM3Z	dom-3 homolog Z (C. elegans)
243580_at	BG537516	GNA14	guanine nucleotide binding protein (G protein), alpha 14
228949_at	AL534095	FLJ23091	putative NFkB activating protein 373
212254_s_at	AI798790	BPAG1	bullous pemphigoid antigen 1, 230/240kDa
202429_s_at	AL353950	PPP3CA	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)
201329_s_at	NM_005239	ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)
227239_at	AV734839	DRCTNNB1A	AV734839 cdA Homo sapiens cDNA clone cdAAHD06 5, mRNA sequence.
230132_at	AA147817		LOC388543 (LOC388543), mRNA
222911_s_at	AI796127	FLJ14103	hypothetical protein FLJ14103
242605_at	AI453137	DCN	decorin
227056_at	AA181172	KIAA0141	KIAA0141 gene product
209235_at	AL031600	CLCN7	Human DNA sequence from clone LA16c-390E6 on chromosome 16, complete sequence.
223594_at	AL136855	DKFZp434K2435	hypothetical protein DKFZp434K2435
216894_x_at	D64137
226238_at	AI934339	MCEE	methylmalonyl CoA epimerase
231899_at	AB051513	KIAA1726	KIAA1726 protein
243606_at	BE883167		601508486F1 NIH_MGC_71 Homo sapiens cDNA clone IMAGE:3910053 5, mRNA sequence.
225354_s_at	AL035700	SH3BGRL2	continued from bA177G23.1 in Em:AL451064 match: proteins: Tr:O75368 Sw:P55822 Tr:Q9BPY5 Tr:Q9BRB8 Sw:Q9WUZ7; Human DNA sequence from clone RP1-75K24 on chromosome 6q13-15 Contains the the 3 end of the SH3BGRL2 gene for SH3 domain binding glutamic acid-rich protein-like 2, complete sequence.
227791_at	BE222668	SLC9A9	solute carrier family 9 (sodium/hydrogen exchanger), isoform 9
223322_at	BC004270	RASSF5	Ras association (RalGDS/AF-6) domain family 5
230609_at	BF510429	ENTH	Transcribed sequences
210664_s_at	AF021834	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
1552323_s_at	NM_138819	LOC159091	hypothetical protein BC017868
223626_x_at	AF208232	FAM14A	family with sequence similarity 14, member A
217047_s_at	AK027138	FAM13A1	family with sequence similarity 13, member A1
1558702_at	BG622833	INVS	inversin
200951_s_at	AW026491	CCND2	cyclin D2
226735_at	AI239899	FLJ90013	hypothetical protein FLJ90013
52975_at	AA534894	C9orf28	chromosome 9 open reading frame 28
211272_s_at	AF064771	DGKA	diacylglycerol kinase, alpha 80kDa
205326_at	NM_005856	RAMP3	receptor (calcitonin) activity modifying protein 3
209667_at	BF033242	CES2	601454201F1 NIH_MGC_66 Homo sapiens cDNA clone IMAGE:3857928 5, mRNA sequence.
1564746_at	BC009732	LOC133308	hypothetical protein BC009732
235554_x_at	BE048198	MGC29898	tz47c03.y1 NCI_CGAP_Brn52 Homo sapiens cDNA clone IMAGE:2291716 5 similar to contains Alu repetitive element;, mRNA sequence.
229733_s_at	N54506		Transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase
202316_x_at	AW241715	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)
206241_at	NM_002269	KPNA5	karyopherin alpha 5 (importin alpha 6)
205659_at	NM_014707	HDAC9	histone deacetylase 9
219807_x_at	NM_016154	RAB4B	RAB4B, member RAS oncogene family
204689_at	NM_001529	HHEX	synonyms: HEX, PRH, HMPH, PRHX, HOX11L-PEN; proline-rich homeodomain-containing transcription factor; go_component: nucleus [goid 0005634] [evidence NR]; go_function: DNA binding [goid 0003677] [evidence E]; go_function: transcription factor activity [goid 0003700] [evidence TAS] [pmid 10871399]; go_process: development [goid 0007275] [evidence TAS] [pmid 1360645]; go_process: antimicrobial humoral response (sensu Invertebrata) [goid 0006960] [evidence TAS] [pmid 8096636]; go_process: regulation of transcription, DNA-dependent [goid 0006355] [evidence IEA]; go_process: antimicrobial humoral response (sensu Vertebrata) [goid 0019735] [evidence TAS]; Homo sapiens hematopoietically expressed homeobox (HHEX), mRNA.
229541_at	BE669703		MRNA; cDNA DKFZp686E1648 (from clone DKFZp686E1648)
208070_s_at	NM_002912	REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)
204840_s_at	AI916242	EEA1	early endosome antigen 1, 162kD
229478_x_at	AW274311	BIVM	basic, immunoglobulin-like variable motif containing
213926_s_at	AI742626	HRB	HIV-1 Rev binding protein
218764_at	NM_024064	PRKCH	synonyms: PKCL, PKC-L, PRKCL, MGC5363; go_function: protein kinase C activity [goid 0004697] [evidence E] [pmid 1986216]; go_process: protein amino acid phosphorylation [goid 0006468] [evidence E] [pmid 1986216]; go_process: signal transduction [goid 0007165] [evidence P] [pmid 1986216]; Homo sapiens protein kinase C, eta (PRKCH), mRNA.
221556_at	BF792631	CDC14B	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
1554905_x_at	BC033851	FKSG44	hypothetical protein FKSG44
205102_at	NM_005656	TMPRSS2	transmembrane protease, serine 2
200904_at	X56841	HLA-E	major histocompatibility complex, class I, E
206417_at	NM_000087	CNGA1	cyclic nucleotide gated channel alpha 1
