FeatureID	Gene Symbol	Gene name	Gene Index U Cluster	RefSeq Acc	GenBank Acc	MGI	NSC	ESC	MAPC	K-means clustering	K-means clustering (similarity)
Z00002770-1	Gyltl1B	glycosyltransferase-like 1B	U023034	NM_172670.1	AK053214	MGI:2443769	2.3312	2.8153	3.1014	2	0.253062962
Z00024681-1	Tulp2	tubby-like protein 2	U008078	NM_008807.1	AF105712		1.895	2.6618	2.6055	2	0.255334295
Z00050730-1	Arhgap22	Rho GTPase activating protein 22	U015487	NM_153800.2	AK046097	MGI:2443418	2.9097	3.6747	3.3777	2	0.264043375
Z00030596-1	Lin28	lin-28 homolog (C. elegans)	U025630	NM_145833.1	AF285579	MGI:1890546	3.8523	4.4423	4.6164	2	0.232326555
Z00044933-1	Bc036563	cDNA sequence BC036563	U025512	NM_153159.1	AY920404		2.1921	2.9561	2.5845	2	0.294674413
Z00021589-1	Map3K6	mitogen-activated protein kinase kinase kinase 6	U004915	NM_016693.2	AB021861	MGI:1855691	2.826	3.3809	3.5899	2	0.234025752
Z00003098-1	A830007P12Rik	RIKEN cDNA A830007P12 gene	U022375	NM_146115.2	AK043559		2.244	3.007	2.6541	2	0.285615745
Z00056780-1	Ctsl	cathepsin L	U034911	NM_009984.2	AF121837	MGI:88564	4.4097	4.811	5.1659	2	0.272736249
Z00031452-1	937313) Mus Musculus Cdna Clone Image:1229771 5, Mrna Sequence	vv91d06.r1 Stratagene mouse skin (	U115207				2.1749	2.9144	2.9273	2	0.25710903
Z00052036-1	Bc008150	cDNA sequence BC008150	U036689	XM_484507.1	AK212509		2.9615	3.3943	3.7108	2	0.253692575
Z00031959-1	Isyna1	myo-inositol 1-phosphate synthase A1	U009434	NM_023627.1	AF288525		3.5708	4.32	4.211	2	0.230837405
Z00022389-1	Tex11	testis expressed gene 11	U039568	NM_031384.1	AF285572		2.1385	2.8856	2.4739	4	0.279150446
Z00052575-1	Snx7	sorting nexin 7	U024581	XM_131162.4	AK011015		3.4609	3.8858	4.2066	2	0.253943456
Z00023858-1	Gstm2	glutathione S-transferase, mu 2	U024511	NM_008183.2	AK002845	MGI:95861	2.8518	3.5965	3.173	4	0.269039778
Z00025739-1	Icosl	icos ligand	U011695	NM_015790.2	AF199027	MGI:1354701	2.7037	3.3647	3.4475	2	0.227609451
Z00045240-1	Gsta2,Gsta1	glutathione S-transferase, alpha 2 (Yc2)	U031116	NM_008181.1	AK002712	MGI:1095417	2.5358	3.2755	2.8533	4	0.266467016
Z00006029-1	Klf4	Kruppel-like factor 4 (gut)	U025080	NM_010637.1	BC010301	MGI:1342287	3.6394	4.1725	4.3771	2	0.216737311
Z00049138-1	Uck2	uridine-cytidine kinase 2	U022016	NM_030724.1	AF236636	MGI:1931744	4.2236	4.7457	4.959	2	0.216640295
Z00002737-1	B3Gnt7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	U000535	NM_145222.1	AF502429	MGI:2384394	3.3594	4.0921	3.6786	4	0.267883789
Z00054452-1	A930010I20Rik	RIKEN cDNA A930010I20 gene	U003658	NM_177857.1	AK044389		3.3994	3.8663	4.1308	2	0.226913852
Z00007161-1	Msc	musculin	U021133	NM_010827.1	AF087035	MGI:1333884	2.1001	2.8284	2.5158	2	0.254816536
Z00035984-1	Csrp2	cysteine and glycine-rich protein 2	U011996	NM_007792.2	AF037208	MGI:1202907	4.0197	4.6081	4.747	2	0.20671257
Z00016488-1	Irak2	interleukin-1 receptor-associated kinase 2	U007280	NM_172161.2	AJ440756	MGI:2429603	2.2826	2.9909	3.0023	2	0.231013248
Z00022464-1	St6Galnac2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	U033660	NM_009180.2	AB027198	MGI:107553	2.5324	3.2508	2.942	2	0.249512198
Z00035031-1	Chst12	carbohydrate sulfotransferase 12	U006375	NM_021528.2	AJ289132	MGI:1929064	3.2672	3.8074	3.9847	2	0.20062444
Z00012709-1	Map4K5	mitogen-activated protein kinase kinase kinase kinase 5	U014245	NM_201518.1	AK041311	MGI:1925503	2.8035	3.4446	3.5166	2	0.205768496
Z00034640-1	Jub	ajuba	U035555	NM_010590.2	AK012077		3.8077	4.5204	4.3763	2	0.202460961
Z00031322-1	Cast	calpastatin	U034974	NM_009817.1	AB026997		3.4347	4.1402	4.0751	2	0.204309887
Z00021291-1	Dedd2	death effector domain-containing DNA binding protein 2	U028270	NM_026117.2	AF457576	MGI:1914629	2.9801	3.6856	3.4777	2	0.207081058
Z00005537-1	Rps6Ka1	ribosomal protein S6 kinase polypeptide 1	U025627	NM_009097.1	AF084468	MGI:104558	3.3554	3.9894	4.0559	2	0.197084991
Z00027118-1	Krtcap3	keratinocyte associated protein 3	U005441	NM_027221.1	AK007999		2.9769	3.5792	3.6764	2	0.190028064
Z00034929-1	Odc1	ornithine decarboxylase, structural 1	U013795	NM_013614.1	AK077679	MGI:97402	3.6599	4.1431	4.3532	2	0.191580936
Z00063583-1	Hspa1B	heat shock protein 1B	U037729	NM_010478.1	AK078618	MGI:99517	3.1939	3.8872	3.6705	2	0.203076238
Z00006219-1	C130032J12Rik	RIKEN cDNA C130032J12 gene	U015546		AK008829		3.004	3.5318	3.6962	2	0.182832141
Z00001196-1	D8Ertd594E	DNA segment, Chr 8, ERATO Doi 594, expressed	U029802	NM_133791.3	AB045323		2.7915	3.2266	3.4828	2	0.205446777
Z00059580-1	Mdn1	midasin homolog (yeast)	U042515	XM_485364.1	AK019519		3.6546	4.3437	4.0105	2	0.253179238
Z00030689-1	Loc434376	PREDICTED: Mus musculus similar to hypothetical protein MGC37588 (LOC434376), mRNA	U207343	XM_134613.3			1.8567	2.5445	2.3585	2	0.192015197
Z00034219-1	2410018M08Rik	RIKEN cDNA 2410018M08 gene	U006236	NM_183088.1	AK010551		2.2564	2.9428	2.5966	2	0.259936358
Z00007057-1	Tmc6	transmembrane channel-like gene family 6	U033668	NM_145439.1	AK052814	MGI:1098686	3.2583	3.6351	3.9398	2	0.223945198
Z00010610-1	4930461P20Rik	RIKEN cDNA 4930461P20 gene	U036004	XM_127961.4	AK019636		3.6011	4.2801	3.9757	2	0.234941504
Z00019427-1	Serping1	serine (or cysteine) proteinase inhibitor, clade G, member 1	U022817	NM_009776.1	AF010254	MGI:894696	3.1909	3.8049	3.8699	2	0.18030573
Z00000414-1	Cdc6	cell division cycle 6 homolog (S. cerevisiae)	U013318	NM_011799.1	AJ009559	MGI:1345150	3.7397	4.0999	4.4161	2	0.228645081
Z00003287-1	Cxcl16	chemokine (C-X-C motif) ligand 16	U033002	NM_023158.3	AF277001	MGI:1932682	2.7233	3.1393	3.3983	2	0.199988436
Z00043324-1	Gpatc3	G patch domain containing 3	U004920	NM_172876.1	AK050179		2.5979	3.0213	3.272	2	0.196104928
Z00015779-1	Slc6A15	solute carrier family 6 (neurotransmitter transporter), member 15	U011977	NM_175328.1	AK036136		3.3243	3.7037	3.9983	2	0.216561389
Z00031985-1	Gzmm	granzyme M (lymphocyte met-ase 1)	U011717	NM_008504.2	AB015727	MGI:99549	4.2142	4.8434	4.8874	2	0.181433089
Z00022236-1	2610027C15Rik	RIKEN cDNA 2610027C15 gene	U004814	NM_172145.2	AK076006		3.3405	4.0083	3.9391	2	0.174035948
Z00055492-1	Msh2	mutS homolog 2 (E. coli)	U018325	NM_008628.1	AK051960		3.6405	4.2398	4.3027	2	0.1674398
Z00034176-1	Pkp2	plakophilin 2	U016852	NM_026163.1	AK004650		2.7002	3.3587	3.1171	2	0.197389265
Z00035758-1	Lmna	lamin A	U024254	NM_001002011.1	AK003174	MGI:96794	4.2924	4.7002	4.9467	2	0.186768009
Z00062585-1	Polr3G	polymerase (RNA) III (DNA directed) polypeptide G	U034993	XM_283153.3	AK009045	MGI:1914736	3.5654	4.2171	3.9037	2	0.233823565
Z00020178-1	Gclm	glutamate-cysteine ligase , modifier subunit	U042479	NM_008129.2	AK028236	MGI:104995	3.856	4.2293	4.5077	2	0.201807309
Z00006209-1	Aw544865	expressed sequence AW544865	U035082	NM_178918.2	AK049186		2.3504	2.8348	3.002	2	0.158186798
Z00035464-1	Trim13	tripartite motif protein 13	U015729	NM_023233.1	AF220129	MGI:1913847	3.3398	3.9912	3.6535	2	0.24868371
Z00053952-1	1700001L05Rik	RIKEN cDNA 1700001L05 gene	U036474		AK007732		2.6614	3.0518	3.3109	2	0.191200251
Z00025917-1	Ikbke	inhibitor of kappaB kinase epsilon	U021750	NM_019777.2	AB016589	MGI:1929612	2.5122	2.9569	3.161	2	0.167228722
Z00026378-1	Ptpn3	protein tyrosine phosphatase, non-receptor type 3	U260983		D87032	MGI:105307	3.4031	3.9309	4.0489	2	0.148709459
Z00024171-1	Figla	factor in the germline alpha	U007109	NM_012013.1	AK007695	MGI:1349421	1.1512	1.7956	1.6087	2	0.169573443
Z00000799-1	Nrk	Nik related kinase	U043795	NM_013724.1	AB020741	MGI:1351326	2.734	3.3356	3.3778	2	0.158218977
Z00045313-1	Pqlc2	PQ loop repeat containing 2	U025699	NM_145384.1	AK081661		2.7022	3.0383	3.346	2	0.216660257
Z00006495-1	Ppat	phosphoribosyl pyrophosphate amidotransferase	U026328		AK017664		3.4057	3.9689	4.0494	2	0.149564386
Z00002401-1	Set7	SET domain-containing protein 7	U024016	NM_080793.2	AF448509		2.3967	2.7079	3.0403	2	0.231832048
Z00034446-1	Upp1	uridine phosphorylase 1	U012311	NM_009477.1	BC036559	MGI:1097668	3.7453	4.3882	4.2987	2	0.153146065
Z00034626-1	Krt1-19	keratin complex 1, acidic, gene 19	U013334	NM_008471.2	BC034561	MGI:96693	3.522	3.911	4.1606	2	0.183091562
Z00045225-1	2010316F05Rik	RIKEN cDNA 2010316F05 gene	U032602	NM_026465.1	AK008574		2.7501	3.2086	3.3884	2	0.154189587
Z00018919-1	Lgtn	ligatin	U000778	NM_010709.1	AK030312	MGI:109342	3.0776	3.7121	3.5004	2	0.175175898
Z00012481-1	Hells	helicase, lymphoid specific	U043725	NM_008234.2	AF155210	MGI:106209	3.6373	4.2712	3.9821	2	0.216045676
Z00005116-1	Hbegf	heparin-binding EGF-like growth factor	U038335	NM_010415.1	BC089607	MGI:96070	3.6779	4.109	4.3075	2	0.156646375
Z00060810-1	1700049E17Rik	RIKEN cDNA 1700049E17 gene	U237684	NM_028535.1	BC016558		2.0753	2.7038	2.5436	2	0.153230614
Z00025376-1	Slc12A8	solute carrier family 12 (potassium/chloride transporters), member 8	U017040	NM_134251.1	AF319951	MGI:2443672	2.1621	2.7906	2.5393	2	0.193118993
Z00034138-1	Mel13	melanoma nuclear protein 13	U013277	XM_126589.4	AK081563		3.5426	4.1667	4.0095	2	0.150095554
Z00023108-1	Svs7	seminal vesicle protein, secretion 7	U030672	NM_020264.1	AF134204		1.3044	1.9279	1.6883	2	0.185473694
Z00030604-1	Fgd4	FYVE, RhoGEF and PH domain containing 4	U036828	NM_139232.1	AF402611	MGI:2183747	2.7665	3.2991	3.3887	2	0.132391243
Z00040311-1	Mgc54896	Mus musculus similar to CTCL tumor antigen se57-1 (MGC54896), mRNA	U018869	NM_201362.1	AK078964		2.3415	2.9619	2.7845	2	0.155274385
Z00043376-1	Avpi1	arginine vasopressin-induced 1	U039048	NM_027106.1	AK009243	MGI:1916784	3.9563	4.5741	4.5105	2	0.136497334
Z00007499-1	Tes	testis derived transcript	U057059	NM_011570.2	AJ344065	MGI:105081	2.7121	3.3286	3.1385	2	0.158908941
Z00002563-1	C78409	expressed sequence C78409	U032326	NM_177615.2	AK052641		2.2029	2.7475	2.8149	2	0.127118768
Z00025004-1	Prss16	protease, serine, 16 (thymus)	U034579	NM_019429.1	AJ131775	MGI:1859181	2.1539	2.7633	2.5887	2	0.149551905
Z00034891-1	Fem1B	feminization 1 homolog b (C. elegans)	U043863	NM_010193.3	AB022863		3.4777	3.8916	4.083	2	0.144075745
Z00023206-1	Runx1	runt related transcription factor 1	U037315	NM_009821.1	AF345649	MGI:99852	2.6607	2.9918	3.2659	2	0.189929256
Z00038833-1	Mgst2	microsomal glutathione S-transferase 2	U168215	NM_174995.1	AK048747	MGI:2448481	2.862	3.2402	3.4645	2	0.159792925
Z00005872-1	Lad1	ladinin	U000846	NM_133664.2	AK083526		2.8855	3.4879	3.3165	2	0.145422325
Z00019104-1	Aa408556	expressed sequence AA408556	U039041	NM_199447.2	AK197712		3.5572	4.1592	3.9828	2	0.147432505
Z00034264-1	Dusp12	dual specificity phosphatase 12	U022039	NM_023173.1	AF268196	MGI:1890614	3.7398	4.2753	4.3417	2	0.119491355
Z00000391-1	Flnb	filamin, beta	U015289	XM_127565.5	AF353669		4.4467	4.8176	5.0475	2	0.162521903
Z00021691-1	Gpr48	G protein-coupled receptor 48	U002223	XM_355385.2	AK033699		3.3998	4.0006	3.9836	2	0.132910089
Z00038843-1	2900073G15Rik	RIKEN cDNA 2900073G15 gene	U005647	NM_026064.1	AK013776		3.0178	3.4347	3.6174	2	0.138087194
Z00014910-1	Zdhhc12	zinc finger, DHHC domain containing 12	U022468	NM_025428.1	AK004475		3.7314	4.0942	4.3277	2	0.163651114
Z00036659-1	Nf2	Mus musculus neurofibromatosis 2 (Nf2), mRNA	U032451	NM_010898.2	AK017343	MGI:97307	2.8977	3.4938	3.2496	2	0.182390963
Z00057710-1	Ubxd4	UBX domain containing 4	U033775	NM_145441.2	AK031821		2.9623	3.5573	3.3957	2	0.138373273
Z00045017-1	Bc048403	cDNA sequence BC048403	U012107	NM_173022.2	AK087110		3.4102	3.8174	4.0045	2	0.138232
Z00001072-1	1300002F13Rik	RIKEN cDNA 1300002F13 gene	U005142	NM_133753.1	AK004851		3.5185	4.1101	3.856	2	0.187989824
Z00016072-1	Kcnk5	potassium channel, subfamily K, member 5	U035270	NM_021542.2	AF259395	MGI:1336175	2.5773	3.0768	3.1682	2	0.109924074
Z00015164-1	Dera	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	U007506	NM_172733.1	AK008033		2.9875	3.3434	3.5769	2	0.162380615
Z00010335-1	Mbc2	membrane bound C2 domain containing protein	U032360	NM_011843.1	AF098633	MGI:1344426	3.2962	3.7043	3.8853	2	0.133578519
Z00010471-1	3110005G23Rik	RIKEN cDNA 3110005G23 gene	U009383	NM_028427.1	AK013998		3.3452	3.7085	3.9339	2	0.157399034
Z00025938-1	Mmp23	matrix metalloproteinase 23	U025875	NM_011985.1	BC064108	MGI:1347361	2.6482	3.2354	3.0286	2	0.158504181
Z00013009-1	Slc39A4	solute carrier family 39 (zinc transporter), member 4	U231208	NM_028064.2	AB052762	MGI:1919277	3.3941	3.9797	3.7866	2	0.150496923
Z00011689-1	2810028N01Rik	RIKEN cDNA 2810028N01 gene	U035862	NM_028315.1	AK012840		3.3989	3.9825	3.8451	2	0.12406045
Z00015804-1	Mybl2	myeloblastosis oncogene-like 2	U002779	NM_008652.2	AK028497	MGI:101785	3.1722	3.7557	3.5898	2	0.136018577
Z00024086-1	Egfl7	EGF-like domain 7	U001521	NM_178444.3	AF184973	MGI:2449923	3.9553	4.3883	4.5374	2	0.117142121
Z00024428-1	Ap1G2	adaptor protein complex AP-1, gamma 2 subunit	U035570	NM_007455.1	AF068707	MGI:1328307	2.5328	3.1143	2.8931	2	0.165945451
Z00041585-1	Arhgap23	Rho GTPase activating protein 23	U064935	NM_021493.1	AB041572		3.5138	3.9113	4.093	2	0.130809492
Z00000504-1	Slc39A14	solute carrier family 39 (zinc transporter), member 14	U035744	NM_144808.3	AB177995		2.8886	3.4669	3.2321	2	0.174057052
Z00035991-1	Arih2	ariadne homolog 2 (Drosophila)	U031340	NM_011790.2	AF124664	MGI:1344361	3.1418	3.7159	3.6218	2	0.106998095
Z00034807-1	Slc25A13	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13	U027026	NM_015829.1	AF164632	MGI:1354721	3.7233	4.2953	4.2344	2	0.102833301
Z00046674-1	9930021J17Rik,4732486J07Rik	RIKEN cDNA 9930021J17 gene	U024214	NM_172682.1	AK029059		2.0338	2.6055	2.3511	2	0.186526816
Z00024181-1	Tnip1	TNFAIP3 interacting protein 1	U032784	NM_021327.1	AJ242777	MGI:1926194	3.2846	3.8556	3.7602	2	0.105417664
Z00026323-1	Bambi-Ps1	BMP and activin membrane-bound inhibitor, pseudogene (Xenopus laevis)	U023278		AK040009		3.7207	4.2401	4.2892	2	0.096438706
Z00058603-1	Tex15	testis expressed gene 15	U009242	NM_031374.1	AF285589		2.8309	3.2614	3.3985	2	0.106271964
Z00011955-1	Bc037674	cDNA sequence BC037674	U015499	NM_001004436.1	AB167349		3.5448	4.112	4.0079	2	0.105359087
Z00001287-1	Rybp	RING1 and YY1 binding protein	U027687	NM_019743.2	AK010548	MGI:1929059	3.7621	4.3292	4.2339	2	0.103145139
Z00035950-1	Depdc5	DEP domain containing 5	U005465	NM_177786.2	AK043137		2.8101	3.1544	3.3766	2	0.152104796
Z00007842-1	Bc004728	cDNA sequence BC004728	U036671	NM_174992.2	AK083680		2.6874	3.2525	3.0026	2	0.183172417
Z00054872-1	Tex292	testis expressed gene 292	U009781	NM_011574.1	AK173318	MGI:1096573	3.6233	4.1884	4.1876	2	0.10932057
Z00034710-1	2310008H09Rik	RIKEN cDNA 2310008H09 gene	U029176	NM_023197.1	AF034580		3.112	3.6759	3.6262	2	0.097422781
Z00031897-1	Prkcz	protein kinase C, zeta	U025868	NM_008860.1	AB110830	MGI:97602	2.9239	3.4853	3.3348	2	0.121373561
Z00035891-1	6330500D04Rik	RIKEN cDNA 6330500D04 gene	U043323		AK007145		2.4539	2.7797	3.0147	2	0.160164864
Z00022684-1	Rps8	ribosomal protein S8	U154740	NM_009098.2	AK009023		3.456	4.0153	3.9495	2	0.094076085
Z00055495-1	Riok3	RIO kinase 3 (yeast)	U018420	NM_024182.2	AK004748	MGI:1914128	2.8735	3.3309	3.4312	2	0.089849001
Z00043250-1	2810451A06Rik	RIKEN cDNA 2810451A06 gene	U016636	NM_176835.2	AK013323		2.3942	2.9457	2.8548	2	0.093438368
Z00036699-1	Eif1A	eukaryotic translation initiation factor 1A	U018700	NM_010120.3	AF026481	MGI:95298	3.9838	4.5343	4.4391	2	0.094132771
Z00001282-1	0610039J04Rik	RIKEN cDNA 0610039J04 gene	U009695		AK010304	MGI:1913333	3.486	4.0282	4.0358	2	0.093839969
Z00034449-1	Riok2	RIO kinase 2 (yeast)	U017542	NM_025934.1	AK008385		3.3537	3.8998	3.7465	2	0.118917958
Z00032468-1	Plp2	proteolipid protein 2	U039229	NM_019755.2	AB031292	MGI:1298382	3.7577	4.1608	4.3037	2	0.101161232
Z00006145-1	1110017C15Rik	RIKEN cDNA 1110017C15 gene	U009786	NM_025391.1	AK003739		4.0871	4.559	4.6315	2	0.07733484
Z00009696-1	Gnpnat1	glucosamine-phosphate N-acetyltransferase 1	U035449	NM_019425.1	AJ001006	MGI:1858963	3.5318	4.0761	4.0186	2	0.083450161
Z00001033-1	Gjb5	gap junction membrane channel protein beta 5	U025534	NM_010291.2	AK082917	MGI:95723	2.5941	2.9111	3.1382	2	0.15426802
Z00000743-1	Pik3Cb	phosphatidylinositol 3-kinase, catalytic, beta polypeptide	U031230	NM_029094.1	AK003230	MGI:1922019	3.3437	3.6923	3.8876	2	0.132362567
Z00006554-1	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	U009559	NM_197982.2	AK011285	MGI:1915528	4.4234	4.8599	4.9658	2	0.083504535
Z00007857-1	Ai462438	expressed sequence AI462438	U022814	NM_133840.1	AK053169		3.5145	4.0557	3.8913	2	0.124667526
Z00000508-1	Pyp	pyrophosphatase	U011569	NM_026438.2	AK008575		4.6602	5.133	5.1994	2	0.073441534
Z00006950-1	8430420C20Rik	RIKEN cDNA 8430420C20 gene	U008693	NM_145586.1	AK078811		3.1177	3.6475	3.6565	2	0.084282239
Z00002975-1	Nol6	nucleolar protein family 6 (RNA-associated)	U024967	NM_139236.1	AF361077	MGI:2140151	3.4725	4.0111	3.9032	2	0.093479572
Z00035144-1	Fbxo22	F-box only protein 22	U010518	NM_028049.1	AK002745		3.7902	4.3284	4.1474	2	0.134987037
Z00035142-1	Ovgp1	oviductal glycoprotein 1	U003702	NM_007696.2	AF334669	MGI:106661	3.5867	4.1249	4.0453	2	0.083311101
Z00051151-1	6330579B17Rik	RIKEN cDNA 6330579B17 gene	U025469	NM_026494.1	AK006290		3.0785	3.6164	3.4393	2	0.132388651
Z00041938-1	1190002H09Rik	RIKEN cDNA 1190002H09 gene	U038418	XM_355059.2	AK004450		3.0571	3.5947	3.4926	2	0.090640761
Z00058006-1	Loc384494	PREDICTED: Mus musculus similar to Coiled-coil-helix-coiled-coil-helix domain containing 4 (LOC384494), mRNA	U052451	XM_357672.2			2.7098	3.116	3.2465	2	0.092065174
Z00015978-1	1190002C06Rik	RIKEN cDNA 1190002C06 gene	U018752	NM_028447.1	AK004443		3.7531	4.0922	4.2891	2	0.133017876
Z00040114-1	Bcat2	branched chain aminotransferase 2, mitochondrial	U008081	NM_009737.1	AF031467	MGI:1276534	2.6641	3.1999	2.9994	2	0.14813649
Z00034765-1	Srm	spermidine synthase	U005088	NM_009272.2	AK028359	MGI:102690	3.7977	4.1374	4.3335	2	0.132459258
Z00015359-1	Af233884	cDNA sequence AF233884	U039013	NM_021315.1	AB077991	MGI:1932610	2.7125	3.2474	3.0975	2	0.114759583
Z00055430-1	Sbp	spermine binding protein	U017629	NM_011321.2	AK035423	MGI:106021	1.9672	2.3855	2.5007	2	0.083581219
Z00034991-1	1810003N24Rik	RIKEN cDNA 1810003N24 gene	U032536	NM_025443.1	AF349950		4.076	4.6072	4.5247	2	0.080565329
Z00032580-1	1100001I22Rik	RIKEN cDNA 1100001I22 gene	U044048	NM_026724.1	AK003177		3.558	3.9253	4.0888	2	0.110276348
Z00002435-1	Eya3	eyes absent 3 homolog (Drosophila)	U004903	NM_010166.2	AJ007996		2.9172	3.448	3.4285	2	0.076165102
Z00055934-1	Dapp1	dual adaptor for phosphotyrosine and 3-phosphoinositides 1	U024692	NM_011932.1	AF163255	MGI:1347063	2.7248	3.2542	3.0858	2	0.125922508
Z00034768-1	Hsp105	heat shock protein 105	U026984	NM_013559.1	AK075731	MGI:105053	3.7215	4.2507	4.1077	2	0.109610092
Z00016755-1	Adss	adenylosuccinate synthetase, non muscle	U022123	NM_007422.2	AK004877		3.5803	4.1057	3.9349	2	0.12729908
Z00036188-1	Pdzk6	PDZ domain containing 6	U003184	NM_175515.3	AK020350		2.4268	2.8223	2.952	2	0.088677303
Z00030115-1	1110006O17Rik	RIKEN cDNA 1110006O17 gene	U038327	XM_358515.2	AK030483		2.736	3.2611	3.0547	2	0.152447575
Z00008899-1	Birc3	baculoviral IAP repeat-containing 3	U030448	NM_007464.1	AK080183	MGI:1197007	2.7827	3.1507	3.3072	2	0.105078668
Z00018047-1	0610007N19Rik	RIKEN cDNA 0610007N19 gene	U036068		AK002304		3.4144	3.7528	3.9386	2	0.125064046
Z00005013-1	Ftsj3	FtsJ homolog 3 (E. coli)	U290780	NM_025310.2	AK004996	MGI:1860295	4.4013	4.9183	4.8158	2	0.083726831
Z00009697-1	D19Ertd652E	PREDICTED: Mus musculus DNA segment, Chr 19, ERATO Doi 652, expressed (D19Ertd652e), mRNA	U117449	XM_129357.3			1.8955	2.409	2.2886	2	0.093235076
Z00008785-1	4930588M11Rik	RIKEN cDNA 4930588M11 gene	U003804	NM_153806.1	AK016368		3.7239	4.1129	4.2369	2	0.082975095
Z00000250-1	D030070L09Rik	RIKEN cDNA D030070L09 gene	U038259	NM_172625.1	AK077290		3.0701	3.5821	3.5583	2	0.060925782
Z00000852-1	Wdr12	WD repeat domain 12	U021377	NM_021312.4	AB041608	MGI:1927241	3.5443	4.0561	3.8829	2	0.12887675
Z00002878-1	Pim3	proviral integration site 3	U016547	NM_145478.1	AK079623	MGI:1355297	4.1878	4.6988	4.699	2	0.065630655
Z00034228-1	Arid3B	AT rich interactive domain 3B (Bright like)	U108385	NM_019689.1	AF116847	MGI:1930768	3.4061	3.9159	3.9164	2	0.064757309
Z00005772-1	Rg9Mtd2	RNA (guanine-9-) methyltransferase domain containing 2	U003905	NM_175389.2	AK048857		3.0505	3.4812	3.5604	2	0.059113657
Z00016325-1	Ott	ovary testis transcribed	U108302	NM_011022.1			2.2858	2.6774	2.7955	2	0.078829939
Z00017989-1	Gsn	gelsolin	U001654	NM_146120.2	AK076156		4.3993	4.8221	4.9083	2	0.061592088
Z00022449-1	Ing5	inhibitor of growth family, member 5	U042194	NM_025454.1	AK006421		2.8806	3.2441	3.3886	2	0.095936345
Z00034448-1	Rpo1-2	RNA polymerase 1-2	U042369	NM_009086.1	AK052672	MGI:108014	3.2468	3.7527	3.6033	2	0.111958327
Z00039115-1	2010002N04Rik	RIKEN cDNA 2010002N04 gene	U038454	NM_134133.1	AF313412	MGI:1917088	3.3667	3.826	3.8716	2	0.049070205
Z00062253-1	Fes	feline sarcoma oncogene	U028763	NM_010194.1	AK004587	MGI:95514	3.0485	3.4333	3.5533	2	0.079331695
Z00035115-1	Lyar	Ly1 antibody reactive clone	U005527	NM_025281.1	AK006373		4.2252	4.7267	4.623	2	0.081074586
Z00000470-1	Trip13	thyroid hormone receptor interactor 13	U034962	XM_127444.4	AK010336	MGI:1916966	3.4095	3.7355	3.9101	2	0.118040006
Z00039422-1	Icrfp703B1614Q5.5	Mus musculus predicted gene ICRFP703B1614Q5.5 (ICRFP703B1614Q5.5), mRNA	U029108	NM_020609.2	AK011990	MGI:1928824	1.9179	2.2359	2.4184	2	0.124017507
Z00020306-1	Tjp2	tight junction protein 2	U038923	NM_011597.1	AF113005	MGI:1341872	3.3908	3.8893	3.865	2	0.05088261
Z00001162-1	Hmox1	heme oxygenase (decycling) 1	U009507	NM_010442.1	BC010757	MGI:96163	3.0784	3.5719	3.5	2	0.061108402
Z00024558-1	Pard6B	par-6 (partitioning defective 6) homolog beta (C. elegans)	U002859	NM_021409.1	AF252291		2.1659	2.4829	2.6588	2	0.119975166
Z00061007-1	Lats2,Xpo4	large tumor suppressor 2	U035628	NM_015771.1	AB023958		2.4295	2.8037	2.9216	2	0.077069972
Z00050476-1	Slc16A6	solute carrier family 16 (monocarboxylic acid transporters), member 6	U033571	NM_134038.1	AK032026		3.3246	3.6439	3.8163	2	0.11745988
Z00010920-1	Pspc1	paraspeckle protein 1	U035615	NM_025682.1	AK011272		3.4906	3.9822	3.9097	2	0.060897335
Z00018804-1	D8Ertd69E	DNA segment, Chr 8, ERATO Doi 69, expressed	U042916	XM_194424.3	AK015275		4.203	4.5923	4.6943	2	0.066237942
Z00034515-1	Cdk7	cyclin-dependent kinase 7 (homolog of Xenopus MO15 cdk-activating kinase)	U049049	NM_009874.1	AK039084	MGI:102956	3.5761	4.0209	4.0669	2	0.039825829
Z00004795-1	Mthfd1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase	U014111	NM_138745.1	AF364579	MGI:1342005	3.5013	3.9578	3.9918	2	0.03891087
Z00034589-1	Ibrdc3	IBR domain containing 3	U004855	XM_204030.2	AK015966		2.6975	3.0104	3.1876	2	0.121408633
Z00009253-1	1810029B16Rik	RIKEN cDNA 1810029B16 gene	U029883	NM_025465.1	AK007637		3.8208	4.3101	4.2653	2	0.047949939
Z00050809-1	1700020B09Rik	RIKEN cDNA 1700020B09 gene	U007948	NM_175240.2	AK006143		2.923	3.2409	3.4119	2	0.116805401
Z00068022-1	A530057A03Rik	RIKEN cDNA A530057A03 gene	U042368	XM_130488.3	AK040991		2.6665	3.1551	3.0353	2	0.091048587
