Probe ID	Symbol	Name	P value	M	Fold	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
1436030_at	Cachd1	cache domain containing 1	0.008	0.565	1.5	---	16020 // membrane // inferred from electronic annotation	---	---
1460126_at	Usp34	ubiquitin specific peptidase 34	0.039	0.561	1.5	6511 // ubiquitin-dependent protein catabolism // inferred from electronic annotation	---	4197 // cysteine-type endopeptidase activity // inferred from electronic annotation /// 4221 // ubiquitin thiolesterase activity // inferred from electronic annotation	---
1442187_at	Bdkrb2	bradykinin receptor, beta 2	0.004	0.560	1.5	7165 // signal transduction // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	1584 // rhodopsin-like receptor activity // inferred from electronic annotation /// 4871 // signal transducer activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 4930 // G-protein coupled receptor activity // inferred from electronic annotation /// 4947 // bradykinin receptor activity // Unknown /// 45028 // purinergic nucleotide receptor activity, G-protein coupled // Unknown /// 4947 // bradykinin receptor activity // inferred from electronic annotation	GPCRDB_Class_A_Rhodopsin-like // GenMAPP /// Peptide_GPCRs // GenMAPP /// ACE-Inhibitor_pathway_PharmGKB // GenMAPP
1449740_s_at	Dsg2	desmoglein 2	0.011	0.557	1.5	7155 // cell adhesion // inferred from electronic annotation /// 7156 // homophilic cell adhesion // inferred from electronic annotation	5856 // cytoskeleton // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation /// 30057 // desmosome // inferred from direct assay	5509 // calcium ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	---
1442340_x_at	Cyr61	cysteine rich protein 61	0.041	0.555	1.5	1558 // regulation of cell growth // inferred from electronic annotation /// 1569 // patterning of blood vessels // inferred from mutant phenotype /// 6935 // chemotaxis // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown	5515 // protein binding // inferred from electronic annotation /// 5520 // insulin-like growth factor binding // inferred from electronic annotation /// 8201 // heparin binding // inferred from electronic annotation /// 19838 // growth factor binding // inferred from electronic annotation	---
1443355_at	NA	NA	0.005	0.552	1.5	---	---	---	---
1429882_at	2610005L07Rik	RIKEN cDNA 2610005L07 gene	0.010	0.551	1.5	7156 // homophilic cell adhesion // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation	5509 // calcium ion binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation	---
1440372_at	Arl15	ADP-ribosylation factor-like 15	0.041	0.550	1.5	---	---	5525 // GTP binding // inferred from electronic annotation	---
1458069_at	Tbc1d5	TBC1 domain family, member 5	0.015	0.547	1.5	---	---	5096 // GTPase activator activity // inferred from electronic annotation	---
1438882_at	Arhgap18	Rho GTPase activating protein 18	0.034	0.545	1.5	7165 // signal transduction // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation	5096 // GTPase activator activity // inferred from electronic annotation	---
1439313_at	Lphn3	latrophilin 3	0.011	0.543	1.5	7165 // signal transduction // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // Unknown /// 7218 // neuropeptide signaling pathway // inferred from electronic annotation /// 7186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation	16020 // membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	4871 // signal transducer activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 4930 // G-protein coupled receptor activity // Unknown /// 5529 // sugar binding // Unknown /// 16524 // latrotoxin receptor activity // Unknown /// 4930 // G-protein coupled receptor activity // inferred from electronic annotation /// 16524 // latrotoxin receptor activity // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation	---
1445941_at	Atbf1	AT motif binding factor 1	0.043	0.541	1.5	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 45449 // regulation of transcription // inferred from electronic annotation /// 30182 // neuron differentiation // traceable author statement /// 6355 // regulation of transcription, DNA-dependent // non-traceable author statement	5622 // intracellular // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation /// 5739 // mitochondrion // inferred from direct assay /// 5634 // nucleus // non-traceable author statement	3676 // nucleic acid binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 3700 // transcription factor activity // traceable author statement /// 5199 // structural constituent of cell wall // inferred from electronic annotation	---
1424623_at	Serpinb5	serine (or cysteine) peptidase inhibitor, clade B, member 5	0.036	0.540	1.5	---	---	4867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation	---
1427760_s_at	Plf	proliferin	0.007	0.538	1.5	---	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown	5179 // hormone activity // inferred from electronic annotation	---
1423429_at	Rhox5	reproductive homeobox 5	0.017	-0.540	-1.5	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 30317 // sperm motility // inferred from mutant phenotype /// 35234 // germ cell programmed cell death // inferred from mutant phenotype /// 45449 // regulation of transcription // inferred from electronic annotation	5634 // nucleus // inferred from direct assay /// 5737 // cytoplasm // inferred from direct assay /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation /// 43565 // sequence-specific DNA binding // inferred from electronic annotation	---
1448377_at	Slpi	secretory leukocyte peptidase inhibitor	0.008	-0.542	-1.5	---	5615 // extracellular space // Unknown	4866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 4867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation	---
1437707_at	BC019561	cDNA sequence BC019561	0.022	-0.543	-1.5	---	---	---	---
1444070_at	AA914427	EST AA914427	0.004	-0.548	-1.5	---	---	---	---
1455688_at	Ddr2	discoidin domain receptor family, member 2	0.016	-0.548	-1.5	6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation /// 7169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from direct assay /// 8284 // positive regulation of cell proliferation // inferred from mutant phenotype /// 7169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation	16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 4713 // protein-tyrosine kinase activity // inferred from electronic annotation /// 4714 // transmembrane receptor protein tyrosine kinase activity // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	---
1426278_at	Ifi27	interferon, alpha-inducible protein 27	0.024	-0.556	-1.5	7568 // aging // inferred from direct assay /// 9615 // response to virus // inferred from direct assay /// 9613 // response to pest, pathogen or parasite // inferred from electronic annotation	---	---	---
1429761_at	Rtn1	reticulon 1	0.001	-0.561	-1.5	---	5783 // endoplasmic reticulum // inferred from direct assay /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation /// 5783 // endoplasmic reticulum // inferred from electronic annotation	---	---
1416368_at	Gsta4	glutathione S-transferase, alpha 4	0.004	-0.567	-1.5	8152 // metabolism // inferred from electronic annotation	---	4364 // glutathione transferase activity // inferred from sequence or structural similarity /// 4364 // glutathione transferase activity // traceable author statement /// 16740 // transferase activity // inferred from electronic annotation /// 4364 // glutathione transferase activity // inferred from electronic annotation	---
1416236_a_at	Eva1	epithelial V-like antigen 1	0.002	-0.573	-1.5	7155 // cell adhesion // inferred from electronic annotation	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	5515 // protein binding // inferred from electronic annotation	---
1439689_at	9030224M15Rik	RIKEN cDNA 9030224M15 gene	0.016	-0.577	-1.5	---	---	---	---
1428285_at	8430427H17Rik	RIKEN cDNA 8430427H17 gene	0.003	-0.581	-1.5	---	---	---	---
1427747_a_at	Lcn2	lipocalin 2	0.040	-0.587	-1.5	6810 // transport // inferred from electronic annotation	---	5215 // transporter activity // inferred from electronic annotation /// 5488 // binding // Unknown /// 5488 // binding // inferred from electronic annotation	---
1434709_at	C130076O07Rik	RIKEN cDNA C130076O07 gene	0.029	-0.588	-1.5	7155 // cell adhesion // inferred from electronic annotation /// 1764 // neuron migration // inferred from sequence or structural similarity /// 7409 // axonogenesis // inferred from sequence or structural similarity /// 7413 // axonal fasciculation // inferred from sequence or structural similarity /// 7416 // synaptogenesis // inferred from sequence or structural similarity /// 7417 // central nervous system development // inferred from sequence or structural similarity /// 16337 // cell-cell adhesion // inferred from sequence or structural similarity /// 30516 // regulation of axon extension // inferred from sequence or structural similarity /// 45162 // clustering of voltage-gated sodium channels // inferred from sequence or structural similarity /// 45666 // positive regulation of neuron differentiation // inferred from sequence or structural similarity /// 7411 // axon guidance // inferred from direct assay /// 7417 // central nervous system development // inferred from direct assay /// 16337 // cell-cell adhesion // inferred from direct assay	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation /// 5887 // integral to plasma membrane // inferred from sequence or structural similarity /// 9897 // external side of plasma membrane // inferred from sequence or structural similarity /// 43005 // neuron projection // inferred from sequence or structural similarity	5515 // protein binding // inferred from electronic annotation /// 5515 // protein binding // inferred from sequence or structural similarity /// 30506 // ankyrin binding // inferred from sequence or structural similarity	---
1428571_at	Col9a1	procollagen, type IX, alpha 1	0.000	-0.593	-1.5	6817 // phosphate transport // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5581 // collagen // inferred from electronic annotation /// 5615 // extracellular space // Unknown /// 5737 // cytoplasm // inferred from electronic annotation	5198 // structural molecule activity // inferred from electronic annotation /// 30020 // extracellular matrix structural constituent conferring tensile strength // inferred from electronic annotation	---
1419735_at	Csn3	casein kappa	0.014	-0.621	-1.5	---	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown	---	---
1423611_at	Akp2	alkaline phosphatase 2, liver	0.003	-0.634	-1.6	8152 // metabolism // inferred from electronic annotation	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation	287 // magnesium ion binding // inferred from electronic annotation /// 4035 // alkaline phosphatase activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 48503 // GPI anchor binding // inferred from electronic annotation	gamma-Hexachlorocyclohexane degradation // KEGG /// Folate biosynthesis // KEGG /// Two-component system - General // KEGG
1436392_s_at	Tcfap2c	transcription factor AP-2, gamma	0.002	-0.643	-1.6	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from mutant phenotype /// 6357 // regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 30154 // cell differentiation // inferred from mutant phenotype /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // inferred from direct assay /// 5667 // transcription factor complex // inferred from electronic annotation /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // inferred from direct assay /// 3700 // transcription factor activity // inferred from direct assay /// 3700 // transcription factor activity // inferred from mutant phenotype /// 5515 // protein binding // inferred from physical interaction /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation	---
1416178_a_at	Plekhb1	pleckstrin homology domain containing, family B (evectins) member 1	0.005	-0.650	-1.6	---	139 // Golgi membrane // inferred from sequence or structural similarity /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from direct assay	5515 // protein binding // inferred from physical interaction	---
1455736_at	Mybpc2	myosin binding protein C, fast-type	0.005	-0.655	-1.6	6936 // muscle contraction // inferred from physical interaction /// 6941 // striated muscle contraction // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation	5856 // cytoskeleton // traceable author statement /// 5863 // striated muscle thick filament // inferred from electronic annotation	5200 // structural constituent of cytoskeleton // traceable author statement /// 5515 // protein binding // inferred from electronic annotation	Striated_muscle_contraction // GenMAPP /// Striated_muscle_contraction // GenMAPP
1434046_at	AA467197	expressed sequence AA467197	0.003	-0.656	-1.6	---	5634 // nucleus // inferred from electronic annotation /// 5634 // nucleus // inferred from sequence or structural similarity	---	---
1451537_at	Chi3l1	chitinase 3-like 1	0.009	-0.658	-1.6	5975 // carbohydrate metabolism // inferred from electronic annotation /// 6032 // chitin catabolism // inferred from electronic annotation	5615 // extracellular space // Unknown	4553 // hydrolase activity, hydrolyzing O-glycosyl compounds // inferred from electronic annotation /// 4568 // chitinase activity // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation /// 43169 // cation binding // inferred from electronic annotation	---
1419463_at	Clca2	chloride channel calcium activated 2	0.001	-0.666	-1.6	6821 // chloride transport // inferred from sequence or structural similarity /// 6915 // apoptosis // inferred from direct assay /// 6821 // chloride transport // inferred from direct assay /// 6821 // chloride transport // inferred from electronic annotation	5887 // integral to plasma membrane // inferred from sequence or structural similarity /// 5887 // integral to plasma membrane // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	5229 // intracellular calcium activated chloride channel activity // inferred from sequence or structural similarity /// 5229 // intracellular calcium activated chloride channel activity // inferred from direct assay /// 5524 // ATP binding // inferred from electronic annotation /// 5247 // voltage-gated chloride channel activity // inferred from electronic annotation	---
1421001_a_at	Car6	carbonic anhydrase 6	0.013	-0.667	-1.6	6730 // one-carbon compound metabolism // inferred from electronic annotation	5615 // extracellular space // Unknown	4089 // carbonate dehydratase activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 16829 // lyase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	---
1448265_x_at	Eva1	epithelial V-like antigen 1	0.006	-0.673	-1.6	7155 // cell adhesion // inferred from electronic annotation	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	5515 // protein binding // inferred from electronic annotation	---
1416237_at	Eva1	epithelial V-like antigen 1	0.000	-0.708	-1.6	7155 // cell adhesion // inferred from electronic annotation	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // Unknown /// 16021 // integral to membrane // inferred from electronic annotation	5515 // protein binding // inferred from electronic annotation	---
1416676_at	Kng1	kininogen 1	0.001	-0.712	-1.6	6954 // inflammatory response // inferred from electronic annotation /// 7596 // blood coagulation // inferred from electronic annotation /// 42311 // vasodilation // inferred from electronic annotation /// 50880 // regulation of blood vessel size // inferred from electronic annotation	5615 // extracellular space // Unknown	4866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 4869 // cysteine protease inhibitor activity // inferred from electronic annotation	ACE-Inhibitor_pathway_PharmGKB // GenMAPP
1456494_a_at	AI451617	expressed sequence AI451617	0.006	-0.721	-1.6	---	5622 // intracellular // inferred from electronic annotation	4872 // receptor activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation	---
1427072_at	Stard8	START domain containing 8	0.003	-0.729	-1.7	7165 // signal transduction // inferred from electronic annotation	5622 // intracellular // inferred from electronic annotation	5096 // GTPase activator activity // inferred from electronic annotation	---
1460259_s_at	Clca2	chloride channel calcium activated 2	0.003	-0.758	-1.7	6821 // chloride transport // inferred from sequence or structural similarity /// 6915 // apoptosis // inferred from direct assay /// 6821 // chloride transport // inferred from direct assay /// 6821 // chloride transport // inferred from electronic annotation	5887 // integral to plasma membrane // inferred from sequence or structural similarity /// 5887 // integral to plasma membrane // inferred from direct assay /// 16021 // integral to membrane // inferred from electronic annotation	5229 // intracellular calcium activated chloride channel activity // inferred from sequence or structural similarity /// 5229 // intracellular calcium activated chloride channel activity // inferred from direct assay /// 5524 // ATP binding // inferred from electronic annotation /// 5247 // voltage-gated chloride channel activity // inferred from electronic annotation	---
1440889_at	BC006965	cDNA sequence BC006965	0.003	-0.759	-1.7	---	---	---	---
1452114_s_at	Igfbp5	insulin-like growth factor binding protein 5	0.016	-0.763	-1.7	1558 // regulation of cell growth // inferred from electronic annotation	5576 // extracellular region // inferred from electronic annotation /// 5615 // extracellular space // Unknown /// 16942 // insulin-like growth factor binding protein complex // Unknown	5520 // insulin-like growth factor binding // inferred from electronic annotation /// 5520 // insulin-like growth factor binding // inferred from physical interaction /// 19838 // growth factor binding // inferred from electronic annotation	Smooth_muscle_contraction // GenMAPP /// Smooth_muscle_contraction // GenMAPP
1421977_at	Mmp19	matrix metallopeptidase 19	0.033	-0.778	-1.7	270 // peptidoglycan metabolism // inferred from electronic annotation /// 1525 // angiogenesis // inferred from electronic annotation /// 6508 // proteolysis // inferred from electronic annotation /// 7275 // development // inferred from electronic annotation /// 30154 // cell differentiation // inferred from electronic annotation /// 30574 // collagen catabolism // inferred from electronic annotation	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation	4222 // metalloendopeptidase activity // inferred from sequence or structural similarity /// 5509 // calcium ion binding // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation /// 8237 // metallopeptidase activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 48503 // GPI anchor binding // inferred from electronic annotation /// 4222 // metalloendopeptidase activity // inferred from electronic annotation	Matrix_Metalloproteinases // GenMAPP
1448550_at	Lbp	lipopolysaccharide binding protein	0.015	-0.781	-1.7	6810 // transport // inferred from electronic annotation /// 6869 // lipid transport // inferred from electronic annotation /// 9613 // response to pest, pathogen or parasite // inferred from electronic annotation /// 42742 // defense response to bacteria // inferred from electronic annotation	5615 // extracellular space // Unknown /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	1530 // lipopolysaccharide binding // inferred from direct assay /// 8289 // lipid binding // inferred from electronic annotation	---
1418370_at	Tnnc1	troponin C, cardiac/slow skeletal	0.044	-0.796	-1.7	6937 // regulation of muscle contraction // inferred from electronic annotation	5861 // troponin complex // inferred from electronic annotation	5200 // structural constituent of cytoskeleton // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation	Striated_muscle_contraction // GenMAPP
1425546_a_at	Trf	transferrin	0.000	-1.006	-2.0	6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6826 // iron ion transport // Unknown /// 6879 // iron ion homeostasis // Unknown /// 6826 // iron ion transport // inferred from electronic annotation /// 6879 // iron ion homeostasis // inferred from electronic annotation	5576 // extracellular region // Unknown /// 5615 // extracellular space // Unknown /// 5768 // endosome // inferred from direct assay /// 30139 // endocytic vesicle // inferred from direct assay /// 30139 // endocytic vesicle // inferred from sequence or structural similarity /// 5576 // extracellular region // inferred from electronic annotation	5506 // iron ion binding // inferred from electronic annotation /// 8199 // ferric iron binding // Unknown /// 46872 // metal ion binding // inferred from electronic annotation /// 8199 // ferric iron binding // inferred from electronic annotation	---
1419555_at	Elf5	E74-like factor 5	0.000	-1.243	-2.4	6350 // transcription // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // Unknown /// 7398 // ectoderm development // inferred from mutant phenotype /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation	5634 // nucleus // Unknown /// 5634 // nucleus // inferred from electronic annotation	3677 // DNA binding // Unknown /// 3700 // transcription factor activity // Unknown /// 43565 // sequence-specific DNA binding // inferred from electronic annotation /// 3677 // DNA binding // inferred from electronic annotation /// 3700 // transcription factor activity // inferred from electronic annotation	---
1415897_a_at	Mgst1	microsomal glutathione S-transferase 1	0.000	-1.420	-2.7	6749 // glutathione metabolism // inferred from direct assay	5739 // mitochondrion // inferred from direct assay /// 5739 // mitochondrion // Unknown /// 5743 // mitochondrial inner membrane // inferred from direct assay /// 5783 // endoplasmic reticulum // inferred from electronic annotation /// 5792 // microsome // inferred from direct assay /// 5792 // microsome // Unknown /// 16020 // membrane // Unknown /// 5739 // mitochondrion // inferred from electronic annotation /// 5792 // microsome // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	4364 // glutathione transferase activity // inferred from direct assay /// 4364 // glutathione transferase activity // Unknown /// 16740 // transferase activity // inferred from electronic annotation /// 4364 // glutathione transferase activity // inferred from electronic annotation	Glutathione metabolism // KEGG /// Metabolism of xenobiotics by cytochrome P450 // KEGG
1444020_at	Cspg3	chondroitin sulfate proteoglycan 3	0.001	-1.633	-3.1	7155 // cell adhesion // inferred from electronic annotation	5615 // extracellular space // Unknown	5509 // calcium ion binding // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation /// 5540 // hyaluronic acid binding // inferred from electronic annotation	---
