Probe.Set.ID	Chromosome	Cytoband	Gene.Symbol	LogFold
222108_at	12	q13.11	AMIGO2	-2.28
201764_at	12	q13.11	TMEM106C	-1.4
210976_s_at	12	q13.11	PFKM	-1.37
209195_s_at	12	q13.12	ADCY6	-0.66
207170_s_at	12	q13.13	LETMD1	-1.14
209016_s_at	12	q13.13	KRT7	2.04
219599_at	12	q13.13	PRO1843	-1.08
221139_s_at	12	q13.13	CSAD	-0.98
218220_at	12	q13.13	C12orf10	-1.08
205448_s_at	12	q13.13	MAP3K12	-0.95
209002_s_at	12	q13.13	CALCOCO1	-0.7
204067_at	12	q13.2	SUOX	-0.73
204173_at	12	q13.2	MYL6B	-1.47
201320_at	12	q13.2	SMARCC2	-0.83
201321_s_at	12	q13.2	SMARCC2	-1.11
203117_s_at	12	q13.2	USP52	-1.14
212803_at	12	q13.3	NAB2	-1.17
201475_x_at	12	q13.3	MARS	0.71
203226_s_at	12	q14.1	TSPAN31	-0.61
203227_s_at	12	q14.1	TSPAN31	-0.9
219206_x_at	12	q14.3	TMBIM4	-0.59
202971_s_at	12	q15	DYRK2	1.6
202969_at	12	q15		1.83
203203_s_at	12	q21.2	KRR1	-0.74
211126_s_at	12	q21.2	CSRP2	1.66
207030_s_at	12	q21.2	CSRP2	2.23
204823_at	12	q21.2	NAV3	-2.31
201523_x_at	12	q22	UBE2N	0.78
201658_at	12	q23.2	ARL1	-0.63
221675_s_at	12	q23.2	CHPT1	-1.15
212794_s_at	12	q23.3	KIAA1033	0.92
200998_s_at	12	q23.3	CKAP4	1.46
200999_s_at	12	q23.3	CKAP4	1.28
221676_s_at	12	q24.11	CORO1C	2.04
218584_at	12	q24.11	FLJ21127	-1.4
213473_at	12	q24.12	BRAP	-0.75
219682_s_at	12	q24.21	TBX3	-1.96
216109_at	12	q24.21	THRAP2	-3.37
212207_at	12	q24.21	THRAP2	-1.42
212208_at	12	q24.21	THRAP2	-1.49
212209_at	12	q24.21	THRAP2	-1.5
201760_s_at	12	q24.23	WSB2	0.87
211941_s_at	12	q24.23	PEBP1	-0.76
205353_s_at	12	q24.23	PEBP1	-0.7
219022_at	12	q24.31	C12orf43	-0.79
204088_at	12	q24.31	P2RX4	-0.62
221704_s_at	12	q24.31	VPS37B	1.68
201938_at	12	q24.31	CDK2AP1	0.69
207760_s_at	12	q24.31	NCOR2	-1.09
201819_at	12	q24.31	SCARB1	-0.87
219076_s_at	12	q24.33	PXMP2	-0.7
218803_at	12	q24.33	CHFR	0.84
208740_at	13	q12.11	SAP18	-0.98
204072_s_at	13	q13.1	FRY	-1.65
213375_s_at	13	q13.1	CG018	-1.24
202259_s_at	13	q13.1	PFAAP5	-0.9
214753_at	13	q13.1	PFAAP5	-0.72
213103_at	13	q13.1	STARD13	-1.04
203156_at	13	q14.11	AKAP11	-0.73
218435_at	13	q14.11	DNAJC15	1.49
208885_at	13	q14.12	LCP1	1.58
203614_at	13	q14.3	UTP14C	-0.82
205471_s_at	13	q21.33	DACH1	-2.37
204085_s_at	13	q22.3	CLN5	-0.73
204011_at	13	q31.1	SPRY2	-1.41
201910_at	13	q32.2	FARP1	-0.68
214927_at	13	q33.1	ITGBL1	-1.06
209184_s_at	13	q34	IRS2	-1.69
209185_s_at	13	q34	IRS2	-1.67
206958_s_at	13	q34	UPF3A	-0.87
209671_x_at	14	q11.2	TRAC	2.13
209670_at	14	q11.2	TRAC	2.22
210972_x_at	14	q11.2	TRDV2, TRAV20, TRAC	2.75
213398_s_at	14	q12	C14orf124	-0.61
205794_s_at	14	q12	NOVA1	-3.71
217936_at	14	q12	ARHGAP5	-1.27
212460_at	14	q13.1	C14orf147	1.63
213049_at	14	q13.2	GARNL1	-1.11
213304_at	14	q21.3	KIAA0423	-1.06
219166_at	14	q22.1	C14orf104	-0.93
217906_at	14	q22.1	KLHDC2	-0.76
213995_at	14	q22.1	ATP5S	-1.73
218276_s_at	14	q22.1	SAV1	-1.03
204224_s_at	14	q22.2	GCH1	1.74
200989_at	14	q23.2	HIF1A	1.04
203988_s_at	14	q23.3	FUT8	-1.12
220773_s_at	14	q23.3	GPHN	-1.53
220494_s_at	14	q24.3		-0.9
220173_at	14	q24.3	C14orf45	-2.12
221588_x_at	14	q24.3	ALDH6A1	-0.75
204290_s_at	14	q24.3	ALDH6A1	-0.89
203127_s_at	14	q24.3	SPTLC2	0.69
216202_s_at	14	q24.3	SPTLC2	1.85
213063_at	14	q31.3	ZC3H14	-1.05
213064_at	14	q31.3	ZC3H14	-1.01
212508_at	14	q32.12	MOAP1	-0.87
209443_at	14	q32.13	SERPINA5	-2.17
202376_at	14	q32.13	SERPINA3	-1.46
217838_s_at	14	q32.2	EVL	-2.36
216850_at	15	q11.2	SNRPN	-0.77
213128_s_at	15	q11.2	UBE3A	-0.8
217902_s_at	15	q13.1	HERC2	-0.78
203678_at	15	q13.2	KIAA1018	-0.9
208798_x_at	15	q14	GOLGA8A	-0.91
212156_at	15	q15.1	VPS39	-0.83
217781_s_at	15	q15.1	ZFP106	-0.7
204012_s_at	15	q15.3	LCMT2	-0.69
213266_at	15	q15.3	76P	-0.87
204578_at	15	q15.3	HISPPD2A, LOC649951	-1.46
203406_at	15	q15.3	MFAP1	-0.71
211698_at	15	q21.1	CRI1	-0.99
207121_s_at	15	q21.2	MAPK6	0.75
204000_at	15	q21.2	GNB5	-1.16
214152_at	15	q21.3	CCPG1	-0.61
221511_x_at	15	q21.3	CCPG1	-1.06
221213_s_at	15	q21.3	SUHW4	-1.12
222111_at	15	q22.1		-1.36
217828_at	15	q22.1	SLTM	-0.63
214164_x_at	15	q22.2	CA12	-1.74
204508_s_at	15	q22.2	CA12	-2.21
203963_at	15	q22.2	CA12	-2.06
210735_s_at	15	q22.2	CA12	-2.2
213364_s_at	15	q22.31	SNX1	-1.34
206081_at	15	q22.31	SLC24A1	-1.23
218284_at	15	q22.33	SMAD3	-1.47
204756_at	15	q23	MAP2K5	-0.66
212367_at	15	q23	FEM1B	-0.72
212769_at	15	q23	TLE3	-1.28
212770_at	15	q23	TLE3	-0.96
215304_at	15	q23		-3.3
215397_x_at	15	q23		-2.92
219639_x_at	15	q23	PARP6	-0.76
202958_at	15	q24.2	PTPN9	-0.8
200972_at	15	q24.3	TSPAN3	-0.86
218152_at	15	q24.3	HMG20A	-0.72
221531_at	15	q25.1	WDR61	-0.75
213212_x_at	15	q25.2	LOC161527, LOC642346, LOC643696	-0.65
209524_at	15	q25.2	HDGFRP3	-1.43
209526_s_at	15	q25.2	HDGFRP3	-1.29
213215_at	15	q26.1		-0.86
210046_s_at	15	q26.1	IDH2	1.4
217722_s_at	15	q26.1	NGRN	-0.59
219999_at	15	q26.1	MAN2A2	-0.6
203627_at	15	q26.3	IGF1R	-2.43
203628_at	15	q26.3	IGF1R	-3.04
207414_s_at	15	q26.3	PCSK6	-3.79
219135_s_at	16	p13.3		-0.79
204792_s_at	16	p13.3	IFT140	-0.75
204862_s_at	16	p13.3	NME3	-1.31
205012_s_at	16	p13.3	HAGH	-0.75
220587_s_at	16	p13.3	GBL	-0.62
218524_at	16	p13.3	E4F1	-0.7
204343_at	16	p13.3	ABCA3	-1.24
218474_s_at	16	p13.3	KCTD5	0.9
207435_s_at	16	p13.3	SRRM2	-0.61
218368_s_at	16	p13.3	TNFRSF12A	1.38
218537_at	16	p13.3	HCFC1R1	-0.84
45714_at	16	p13.3	HCFC1R1	-0.92
204576_s_at	16	p13.3	CLUAP1	-1.17
204497_at	16	p13.3	ADCY9	-1.43
213639_s_at	16	p13.3	ZNF500	-0.69
218506_x_at	16	p13.3	N-PAC	-0.75
209459_s_at	16	p13.2	ABAT	-2.34
209460_at	16	p13.2	ABAT	-1.89
218259_at	16	p13.12	MKL2	-0.72
201497_x_at	16	p13.11	MYH11	-0.93
205613_at	16	p12.3	SYT17	-2.68
213190_at	16	p12.1	COG7	-0.68
208913_at	16	p12.1	GGA2	-1.53
208914_at	16	p12.1	GGA2	-1.45
40149_at	16	p11.2	SH2B	-0.7
209083_at	16	p11.2	CORO1A	3.35
213527_s_at	16	p11.2	ZNF688	-0.73
221864_at	16	p11.2	MGC13024	-0.98
202030_at	16	p11.2	BCKDK	-0.83
221833_at	16	q12.1	LONPL	-1.16
221834_at	16	q12.1	LONPL	-0.99
32069_at	16	q12.1	N4BP1	0.92
204601_at	16	q12.1	N4BP1	0.76
202203_s_at	16	q13	AMFR	-2.13
202204_s_at	16	q13	AMFR	-2.13
202697_at	16	q13	NUDT21	0.98
212859_x_at	16	q13	MT1E	-0.7
213629_x_at	16	q13	MT1F	-0.8
221597_s_at	16	q22.1	HSPC171	0.69
202397_at	16	q22.1	NUTF2	1.89
203580_s_at	16	q22.1	SLC7A6	1.36
215867_x_at	16	q22.3	CA12	-1.89
201705_at	16	q22.3	PSMD7	1.07
219429_at	16	q23.1	FA2H	4.64
221059_s_at	16	q23.1	COTL1	1.6
218447_at	16	q23.2	C16orf61	1.26
203740_at	16	q23.3	MPHOSPH6	1.75
221843_s_at	16	q24.1	KIAA1609	1.82
204057_at	16	q24.1	IRF8	2.64
209092_s_at	17	p13.3	C17orf25	-0.64
219204_s_at	17	p13.3	SRR	-0.82
203223_at	17	p13.2	RABEP1	-1.37
201557_at	17	p13.1	VAMP2	-0.94
218526_s_at	17	p13.1	RANGNRF	-1.51
212372_at	17	p13.1	MYH10	-0.82
203266_s_at	17	p12	MAP2K4	-1.46
218446_s_at	17	p11.2	FAM18B	-0.95
204630_s_at	17	q11.2	GOSR1	-0.67
211742_s_at	17	q11.2	EVI2B	2.64
212678_at	17	q11.2		-0.95
1405_i_at	17	q12	CCL5	1.99
213557_at	17	q12	CRKRS	3.19
221811_at	17	q12	PERLD1	2.65
202991_at	17	q12	STARD3	3.73
55616_at	17	q12	PERLD1	3.68
216836_s_at	17	q12	ERBB2	2.79
210761_s_at	17	q12	GRB7	3.95
201508_at	17	q21.2	IGFBP4	-0.76
204078_at	17	q21.2	SC65	-0.71
202416_at	17	q21.2	DNAJC7	-0.65
202182_at	17	q21.2	GCN5L2	-0.87
201913_s_at	17	q21.31	COASY	-1.07
212697_at	17	q21.31	LOC162427	-1.03
203894_at	17	q21.31	TUBG2	-0.9
203249_at	17	q21.31	EZH1	-0.8
32259_at	17	q21.31	EZH1	-0.98
208946_s_at	17	q21.31	BECN1	-0.69
208945_s_at	17	q21.31	BECN1	-0.62
200988_s_at	17	q21.31	PSME3	-0.79
222064_s_at	17	q21.31	AARSD1	-0.61
201384_s_at	17	q21.31	NBR1, LOC653347	-0.9
221759_at	17	q21.31	G6PC3	-0.68
44654_at	17	q21.31	G6PC3	-1.03
202455_at	17	q21.31	HDAC5	-0.92
218419_s_at	17	q21.31	MGC3123	-0.63
212485_at	17	q21.31	KIAA0553	-1.32
214188_at	17	q21.31	HEXIM1	-0.62
202815_s_at	17	q21.31	HEXIM1	-1.01
202814_s_at	17	q21.31	HEXIM1	-1.05
203928_x_at	17	q21.31	MAPT	-1.5
203929_s_at	17	q21.31	MAPT	-2.13
206401_s_at	17	q21.31	MAPT	-1.89
201455_s_at	17	q21.32	NPEPPS, LOC649270	-0.84
218740_s_at	17	q21.32	CDK5RAP3	-0.59
214179_s_at	17	q21.32	NFE2L1	-0.62
220990_s_at	17	q23.1	TMEM49, MIRN21	1.59
201827_at	17	q23.3	SMARCD2	0.93
205596_s_at	17	q24.1	SMURF2	2.09
213353_at	17	q24.3	ABCA5	-1.25
213230_at	17	q25.1	CDR2L	2.67
217755_at	17	q25.1	HN1	3.5
212968_at	17	q25.3	RFNG	-0.59
219602_s_at	18	p11.22	FAM38B	-5.39
203344_s_at	18	q11.2	RBBP8	-1.53
209485_s_at	18	q11.2	OSBPL1A	-1.19
208158_s_at	18	q11.2	OSBPL1A	-1.04
202501_at	18	q12.1	MAPRE2	1.74
201723_s_at	18	q12.2	GALNT1	0.61
202088_at	18	q12.2	SLC39A6	-1.84
202089_s_at	18	q12.2	SLC39A6	-2.5
214594_x_at	18	q21.31	ATP8B1	-0.61
212448_at	18	q21.31	NEDD4L	-1.71
204285_s_at	18	q21.32	PMAIP1	-3.27
204286_s_at	18	q21.32	PMAIP1	-1.78
219048_at	18	q21.33	PIGN	-0.91
203685_at	18	q21.33	BCL2	-3.06
214934_at	18	q23	ATP9B	-1.03
215760_s_at	19	p13.3	KIAA0963	1.11
200810_s_at	19	p13.3	CIRBP	-0.78
200811_at	19	p13.3	CIRBP	-0.65
213730_x_at	19	p13.3	TCF3	0.62
213811_x_at	19	p13.3	TCF3	1.07
210776_x_at	19	p13.3	TCF3	0.85
204431_at	19	p13.3	TLE2	-0.92
215616_s_at	19	p13.3	JMJD2B	-1.14
212492_s_at	19	p13.3	JMJD2B	-1.4
212495_at	19	p13.3	JMJD2B	-1.27
212496_s_at	19	p13.3	JMJD2B	-1.42
214088_s_at	19	p13.3	FUT3	2.09
219379_x_at	19	p13.2	ZNF358	-0.59
216206_x_at	19	p13.2	MAP2K7	-0.67
202638_s_at	19	p13.2	ICAM1	2.04
204949_at	19	p13.2	ICAM3	1.71
212520_s_at	19	p13.2	SMARCA4	0.66
202067_s_at	19	p13.2	LDLR	2.6
202068_s_at	19	p13.2	LDLR	2.24
215359_x_at	19	p13.2	ZNF44	-0.75
219145_at	19	p13.12	LPHN1	-0.7
203488_at	19	p13.12	LPHN1	-0.65
201584_s_at	19	p13.12	DDX39	0.76
208336_s_at	19	p13.12	GPSN2	-1.12
212481_s_at	19	p13.12	TPM4	0.97
213827_at	19	q13.12	SNX26	-1.62
206754_s_at	19	q13.2	CYP2B7P1	-3.46
201884_at	19	q13.2	CEACAM5	4.04
203009_at	19	q13.32	BCAM	-1.34
40093_at	19	q13.32	BCAM	-1.77
203149_at	19	q13.32	PVRL2	-0.85
221560_at	19	q13.32	MARK4	-0.59
55065_at	19	q13.32	MARK4	-0.88
34408_at	19	q13.32	RTN2	-0.91
214077_x_at	19	q13.32	MEIS3P1	-1.51
208751_at	19	q13.32	NAPA	-0.88
203576_at	19	q13.33	BCAT2	-1.16
201221_s_at	19	q13.33	SNRP70	-0.59
218831_s_at	19	q13.33	FCGRT	-1.22
212032_s_at	19	q13.33	PTOV1	-0.8
218466_at	19	q13.33	TBC1D17	-0.78
220748_s_at	19	q13.42	ZNF580	-0.94
50376_at	19	q13.42	ZNF444	-0.91
205917_at	19	q13.43	ZNF264	-0.68
219981_x_at	19	q13.43	ZNF587	-1.06
60794_f_at	19	q13.43	LOC400721	-1.46
40569_at	19	q13.43	ZNF42	-0.71
204139_x_at	19	q13.43	ZNF42	-1.06
210336_x_at	19	q13.43	ZNF42	-0.74
213795_s_at	20	p13	PTPRA	-0.79
212517_at	20	p13	ATRN	-0.72
203895_at	20	p12.2	PLCB4	2.06
206048_at	20	p11.23	OVOL2	-0.67
211778_s_at	20	p11.23	OVOL2	-1.87
219951_s_at	20	p11.23	C20orf12	-0.73
201360_at	20	p11.21	CST3	-0.91
210720_s_at	20	q11.22	APBA2BP	-1.3
219428_s_at	20	q11.22	PXMP4	1.54
217918_at	20	q11.22	DYNLRB1	-0.61
217835_x_at	20	q11.23	C20orf24	0.7
210306_at	20	q13.11	L3MBTL	-1.51
202071_at	20	q13.12	SDC4	-0.95
218094_s_at	20	q13.12	DBNDD2	-2.55
217770_at	20	q13.12	PIGT	-1.11
203892_at	20	q13.12	WFDC2	-2.95
217875_s_at	20	q13.31	TMEPAI	1.35
221499_s_at	20	q13.32	STX16	-1.03
218821_at	20	q13.32	NPEPL1	-1.18
204540_at	20	q13.33	EEF1A2	-3.18
55872_at	20	q13.33	GM632	-0.74
221869_at	20	q13.33	GM632	-0.64
203919_at	20	q13.33	TCEA2	-2.63
212406_s_at	20	q13.33	PCMTD2	-1.19
202599_s_at	21	q11.2	NRIP1	-1.1
202600_s_at	21	q11.2	NRIP1	-1.46
213134_x_at	21	q21.1	BTG3	1.36
219935_at	21	q21.3	ADAMTS5	-2.51
221677_s_at	21	q22.11	DONSON	1.15
219767_s_at	21	q22.11	CRYZL1	-0.96
209360_s_at	21	q22.12	RUNX1	-0.7
221689_s_at	21	q22.13	PIGP	-0.88
204979_s_at	21	q22.2	SH3BGR	-0.61
204567_s_at	21	q22.3	ABCG1	-1.24
220177_s_at	21	q22.3	TMPRSS3	-2.77
218928_s_at	21	q22.3	SLC37A1	1.33
203994_s_at	21	q22.3	C21orf2	-0.6
202803_s_at	21	q22.3	ITGB2	1.86
212480_at	22	q11.23	KIAA0376	-0.71
200670_at	22	q12.1	XBP1	-0.87
213651_at	22	q12.2	PIB5PA	-1.39
36545_s_at	22	q12.2	SFI1	-1.04
202392_s_at	22	q12.2	PISD	-1.2
214955_at	22	q12.3	TMPRSS6	-0.69
210026_s_at	22	q13.1	CARD10	-2.84
210276_s_at	22	q13.1	TRIOBP	-0.7
209842_at	22	q13.1	SOX10	-1.77
215938_s_at	22	q13.1	PLA2G6	-1.15
210647_x_at	22	q13.1	PLA2G6	-0.74
208719_s_at	22	q13.1	DDX17	-3.23
212914_at	22	q13.1	CBX7	-0.99
204287_at	22	q13.1	SYNGR1	-0.93
202221_s_at	22	q13.2	EP300	-0.91
208832_at	22	q13.31	ATXN10	-1.1
218272_at	22	q13.31	FLJ20699	-1.03
41660_at	22	q13.31	CELSR1	-3.11
202792_s_at	22	q13.33	SAPS2	-0.73
210069_at	22	q13.33	CHKB, CPT1B	-1.01
210070_s_at	22	q13.33	CHKB, CPT1B	-1.46
219151_s_at	22	q13.33	RABL2B, RABL2A	-1.04
36553_at	X	p22.33	ASMTL	-1.09
209394_at	X	p22.33	ASMTL	-0.72
36554_at	X	p22.33	ASMTL	-1.26
201028_s_at	X	p22.33	CD99	1.48
201029_s_at	X	p22.33	CD99	0.96
203767_s_at	X	p22.31	STS	3.29
201869_s_at	X	p22.31	TBL1X	-0.79
213400_s_at	X	p22.2	TBL1X	-1.05
207551_s_at	X	p22.2	MSL3L1	1.56
201018_at	X	p22.12	EIF1AX	-0.91
221641_s_at	X	p22.11	ACOT9	1.44
212741_at	X	p11.3	MAOA	-2.59
204041_at	X	p11.3	MAOB	-2.16
217221_x_at	X	p11.3	RBM10	-0.61
211704_s_at	X	p11.1	SPIN2, SPIN-2	-1.08
204116_at	X	q13.1	IL2RG	1.82
200738_s_at	X	q21.1	PGK1	0.97
217356_s_at	X	q21.1	PGK1	1.28
214430_at	X	q22.1	GLA	-1.87
218694_at	X	q22.1	ARMCX1	-1.9
203404_at	X	q22.1	ARMCX2	-1.25
202371_at	X	q22.2	TCEAL4	-1.08
204045_at	X	q22.2	TCEAL1	-0.94
219795_at	X	q23	SLC6A14	3.55
210904_s_at	X	q24	IL13RA1	1.76
211612_s_at	X	q24	IL13RA1	1.69
201888_s_at	X	q24	IL13RA1	1.05
201898_s_at	X	q24	UBE2A	0.75
209023_s_at	X	q25	STAG2	-0.75
212221_x_at	X	q28	IDS	-0.71
207809_s_at	X	q28	ATP6AP1	-0.86
205756_s_at	X	q28	F8	-1.71
